date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2018-11-24,"Trojan Arena, Troy, Alabama",NORTH-ALABAMA,TROY,Home,47.4,9,3.0,1,114.9,76.7,23,0.39,59,0.322,19,0.305,18,0.667,12,4,200.0,86.6,29.3,12,14,58,6.0,4,0.542,32.0,0.25,8.0,49.3,35,0.429,15.2,12,27.0,0.407,11.0,0.333,2,56.58,56.58,55.17283950617284,13.2,13.2,13.160493827160495,7.24,7.24,6.7061728395061735,2.6,2.6,2.555555555555556,94.67999999999999,94.67999999999999,94.39135802469139,81.9,81.9,80.80246913580248,26.2,26.2,26.259259259259267,0.4532,0.4532,0.45893827160493833,62.0,62.0,62.44444444444445,0.37839999999999996,0.37839999999999996,0.38504938271604944,23.4,23.4,23.97530864197531,0.3548,0.3548,0.3745802469135803,21.8,21.8,23.19753086419753,0.6458,0.6458,0.6349012345679013,13.8,13.8,14.370370370370372,2.0,2.0,2.2592592592592595,200.0,200.0,200.0,92.4,92.4,92.97283950617285,22.919999999999998,22.919999999999998,21.524691358024693,8.8,8.8,8.370370370370372,21.2,21.2,20.740740740740744,70.0,70.0,71.65432098765433,8.32,8.32,8.32098765432099,6.4,6.4,6.51851851851852,0.4638,0.4638,0.46901234567901245,29.0,29.0,29.481481481481485,0.3158,0.3158,0.3100617283950618,9.4,9.4,9.333333333333336,49.6,49.6,48.47160493827161,35.0,35.0,34.62962962962963,0.48339999999999994,0.48339999999999994,0.48737037037037045,15.64,15.64,15.662962962962965,13.2,13.2,13.456790123456791,33.0,33.0,32.96296296296297,0.4316,0.4316,0.45154320987654323,14.0,14.0,14.641975308641978,0.29660000000000003,0.29660000000000003,0.287604938271605,1.0,1.0,1.1358024691358026
2018-11-28,"John F. Savage Hall, Toledo, Ohio",NORTH-ALABAMA,TOLEDO,Home,39.1,9,0.0,0,115.9,60.0,15,0.411,62,0.371,23,0.161,10,0.8,8,5,200.0,85.5,30.6,11,13,59,10.1,7,0.306,19.0,0.263,5.0,42.6,26,0.442,14.2,11,43.0,0.419,18.0,0.286,2,56.06,55.050000000000004,52.58189300411523,12.6,12.5,11.773662551440331,7.419999999999999,6.533333333333334,5.4707818930041165,2.6,2.3333333333333335,2.0370370370370376,94.62,98.05,101.22757201646093,82.46000000000001,81.03333333333333,79.43497942386833,27.4,25.666666666666668,25.17283950617285,0.445,0.4426666666666667,0.4359588477366256,59.4,61.5,61.296296296296305,0.3762,0.369,0.3640329218106997,22.4,22.666666666666668,22.31687242798354,0.3686,0.3465,0.35138683127572024,22.0,21.166666666666668,21.46502057613169,0.638,0.6493333333333333,0.6456008230452676,13.8,13.5,13.580246913580249,2.6,2.3333333333333335,2.8395061728395063,200.0,200.0,200.0,90.97999999999999,91.43333333333334,90.8485596707819,24.52,23.983333333333334,24.116460905349797,9.2,9.333333333333334,9.580246913580249,20.8,20.0,18.49382716049383,66.8,68.0,67.10288065843622,6.74,7.933333333333334,7.547325102880661,5.0,6.0,5.679012345679014,0.47220000000000006,0.4768333333333334,0.49334156378600835,28.2,29.5,30.320987654320994,0.288,0.30483333333333335,0.29004115226337457,8.2,9.166666666666666,8.888888888888891,51.739999999999995,49.550000000000004,48.747736625514406,36.6,35.0,34.75308641975309,0.4768,0.47433333333333333,0.46791358024691365,16.639999999999997,15.566666666666668,15.508641975308644,13.8,13.0,12.971193415637861,31.2,32.0,30.975308641975314,0.4574,0.4275,0.43669547325102887,14.2,13.5,13.427983539094653,0.3632,0.3026666666666667,0.30273662551440333,1.4,1.1666666666666667,1.4238683127572018
2018-12-01,"Flowers Hall, Florence, Alabama",JACKSONVILLE-STATE,NORTH-ALABAMA,Away,68.4,13,9.3,4,101.3,76.3,29,0.381,59,0.322,19,0.458,27,0.741,20,6,200.0,86.7,26.5,9,25,65,4.0,3,0.525,31.0,0.226,7.0,52.8,38,0.452,16.5,14,28.0,0.429,12.0,0.25,2,51.7,52.771428571428565,48.087928669410154,11.6,12.0,10.849108367626888,4.76,5.6000000000000005,3.6471879286694113,1.8,2.0,1.3580246913580252,101.64000000000001,100.60000000000001,106.1183813443073,78.34,78.02857142857144,72.95665294924555,24.6,24.142857142857142,21.781893004115236,0.43220000000000003,0.43814285714285717,0.4276392318244171,59.8,61.57142857142857,61.530864197530875,0.3738,0.3692857142857143,0.3663552812071331,22.4,22.714285714285715,22.544581618655695,0.3174,0.31999999999999995,0.2879245541838135,19.0,19.571428571428573,17.64334705075446,0.6779999999999999,0.6708571428571428,0.6970672153635118,12.4,12.714285714285714,11.7201646090535,3.4,2.7142857142857144,3.5596707818930042,200.0,200.0,200.0,88.35999999999999,90.58571428571429,89.06570644718794,23.419999999999998,24.928571428571427,26.27764060356653,8.8,9.571428571428571,10.053497942386834,19.0,19.0,16.66255144032922,64.2,66.71428571428571,64.40192043895749,6.5600000000000005,8.242857142857144,8.398216735253774,4.8,6.142857142857143,6.119341563786009,0.4234,0.45242857142857146,0.4308943758573389,25.4,28.0,26.547325102880663,0.274,0.2988571428571429,0.28102743484224973,7.0,8.571428571428571,7.592592592592595,48.6,48.55714285714286,46.698491083676274,33.4,33.714285714285715,31.83539094650206,0.465,0.46971428571428575,0.4592757201646091,16.18,15.37142857142857,15.072427983539097,13.2,12.714285714285714,12.314128943758575,34.4,33.57142857142857,34.98353909465021,0.4524,0.42628571428571427,0.4307969821673526,15.4,14.142857142857142,14.951989026063103,0.3204,0.30028571428571427,0.29715775034293557,1.6,1.2857142857142858,1.6159122085048012
2018-12-04,"Bartow Arena, Birmingham, Alabama",NORTH-ALABAMA,ALABAMA-BIRMINGHAM,Home,54.2,13,0.0,0,110.6,60.0,21,0.567,52,0.462,24,0.231,12,0.667,8,7,200.0,101.5,14.3,4,13,67,6.1,4,0.596,31.0,0.355,11.0,39.7,25,0.581,19.6,14,21.0,0.619,13.0,0.222,2,54.379999999999995,54.725,54.858619112940104,12.0,12.125,11.566072245084593,5.4799999999999995,6.0625,5.531458619112941,2.2,2.25,2.238683127572017,102.46000000000001,100.6875,104.5122542295382,75.53999999999999,77.8125,74.0711019661637,24.8,24.75,24.18792866941016,0.4298,0.431,0.4120928212162781,60.4,61.25,60.68724279835392,0.3668,0.363375,0.3515701874714221,22.2,22.25,21.36305441243713,0.3412,0.33725,0.3446163694558757,20.6,20.5,20.76223136716964,0.6788,0.679625,0.7117114769090079,13.6,13.625,14.480109739369,4.2,3.125,4.373113854595337,200.0,200.0,200.0,89.36,90.1,88.27713763145863,25.38,25.125,26.35176040237769,9.4,9.5,9.702331961591224,19.4,19.75,19.441700960219478,65.6,66.5,64.60128029263834,6.5200000000000005,7.7125,6.932144490169183,4.8,5.75,5.0795610425240065,0.4748,0.4615,0.462262917238226,28.6,28.375,28.03155006858711,0.2658,0.28975,0.2626849565614998,7.6,8.375,7.3950617283950635,49.019999999999996,49.0875,48.732327389117515,34.2,34.25,33.890260631001375,0.4662,0.4675,0.45685048010973944,15.9,15.5125,15.5482853223594,13.2,12.875,12.876085962505718,31.8,32.875,32.65569272976681,0.46019999999999994,0.426625,0.4301979881115684,14.6,13.875,13.96799268404207,0.3038,0.294,0.2814385002286237,1.8,1.375,1.7439414723365343
2018-12-13,"Flowers Hall, Florence, Alabama","Huntingdon
			",NORTH-ALABAMA,Home,43.3,13,15.2,5,76.3,66.7,24,0.573,62,0.484,30,0.419,26,0.731,19,7,200.0,118.4,31.3,10,24,90,14.5,11,0.581,36.0,0.306,11.0,50.0,34,0.605,13.0,11,26.0,0.731,19.0,0.3,3,51.06,54.666666666666664,54.63907940862674,11.2,12.222222222222221,12.044048163389729,3.8600000000000003,5.388888888888889,3.687639079408628,1.6,2.0,1.4924554183813448,105.12,101.78888888888889,106.54150281969214,69.47999999999999,75.83333333333333,69.38073464410914,23.4,24.333333333333332,23.125285779606774,0.44659999999999994,0.44611111111111107,0.4637285474775188,58.8,60.22222222222222,57.79149519890262,0.3792,0.37433333333333335,0.3883801249809481,22.2,22.444444444444443,22.24203627495809,0.344,0.3254444444444444,0.30674424630391717,20.4,19.555555555555557,17.841487578113096,0.6892,0.6782222222222223,0.696807651272672,13.6,13.0,12.320073159579334,5.0,3.5555555555555554,5.248742569730224,200.0,200.0,200.0,91.58,91.36666666666666,92.68475842097243,24.24,23.922222222222224,22.334506934918462,8.8,8.88888888888889,7.801554641060816,16.6,19.0,17.294467306812987,65.8,66.55555555555556,65.40085352842556,7.2,7.533333333333333,6.6547629934461225,5.2,5.555555555555555,4.719707361682671,0.49060000000000004,0.47644444444444445,0.506841944825484,28.6,28.666666666666668,29.021033379058075,0.2722,0.297,0.29345663770766656,7.8,8.666666666666666,8.596707818930042,46.36,48.044444444444444,45.721551592745016,32.2,33.22222222222222,30.926840420667585,0.4826,0.4801111111111111,0.498233653406493,16.520000000000003,15.966666666666665,16.898856881572932,13.4,13.0,13.250723975003812,30.2,31.555555555555557,28.770461819844545,0.48739999999999994,0.448,0.49313199207437897,14.4,13.777777777777779,13.645328456028047,0.2982,0.286,0.2616256668190825,2.0,1.4444444444444444,1.829294314891023
2018-12-15,"Fleming Gymnasium, Greensboro, North Carolina",NORTH-ALABAMA,NORTH-CAROLINA-GREENSBORO,Home,36.8,7,15.0,6,84.1,71.4,30,0.393,56,0.339,19,0.107,6,0.667,4,8,200.0,76.2,24.2,8,21,48,4.8,3,0.429,24.0,0.25,6.0,50.7,38,0.408,18.1,13,32.0,0.406,13.0,0.273,3,50.480000000000004,53.529999999999994,50.85938627241783,11.4,12.3,12.362698775593152,5.5,6.37,7.525092719605752,2.0,2.3,2.661636945587563,103.8,99.24,96.46100187979476,67.94,74.92,68.4871564294061,22.4,24.3,23.416857186404517,0.46440000000000003,0.4588,0.5001523649850126,58.8,60.4,59.19433013260175,0.3922,0.38530000000000003,0.42025341665396543,23.0,23.2,24.828024183305395,0.3148000000000001,0.3348,0.3441628308692781,18.6,20.2,20.560991718742066,0.7212,0.6835,0.708205100848448,13.4,13.6,14.546715439719556,5.8,3.9,5.832495046486816,200.0,200.0,200.0,95.74,94.07000000000001,101.25650561398163,26.4,24.66,25.323004623278976,9.2,9.0,8.53436976070721,17.8,19.5,19.52964487120866,67.8,68.9,73.60056901895038,8.14,8.23,9.269841995630749,5.8,6.1,6.813138241121781,0.51,0.4869,0.5315612965503227,29.8,29.4,31.34735558603872,0.27999999999999997,0.2979,0.2976377584717777,8.4,8.9,9.397805212620028,46.88,48.239999999999995,47.14770106183001,31.6,33.3,31.951226947111724,0.5018,0.49260000000000004,0.5338224356043286,15.7,15.669999999999998,15.599237921048623,12.4,12.8,12.500482650002542,29.0,31.0,27.846974546563033,0.521,0.4763,0.572421328049586,14.6,14.3,15.430218970685367,0.2782,0.2874,0.27441711121272166,2.2,1.6,2.2195295432606823
2018-12-18,"Pete Mathews Coliseum, Jacksonville, Alabama",NORTH-ALABAMA,JACKSONVILLE-STATE,Home,56.3,9,2.4,1,92.8,68.8,22,0.406,48,0.333,16,0.292,14,0.786,11,9,200.0,72.5,23.3,7,21,50,7.2,5,0.5,24.0,0.292,7.0,46.8,29,0.457,24.9,18,24.0,0.375,9.0,0.25,3,48.36,52.00909090909091,46.17292418161189,11.0,11.818181818181818,10.575132517062102,7.9,7.154545454545455,10.016728479737168,3.0,2.6363636363636362,3.774424630391709,97.64,97.86363636363636,92.34066791986318,66.88000000000001,74.60000000000001,69.45810428627074,23.8,24.818181818181817,25.61123812426968,0.465,0.4528181818181818,0.4644349099900084,58.2,60.0,58.1295534217345,0.39560000000000006,0.3810909090909091,0.393168944435977,23.0,22.818181818181817,22.885349455536932,0.2752,0.3140909090909091,0.2651085539128521,16.2,18.90909090909091,15.707327812494713,0.7212,0.6819999999999999,0.6944700672322988,11.8,12.727272727272727,11.031143626479706,6.6,4.2727272727272725,6.554996697657877,200.0,200.0,200.0,93.66000000000001,92.44545454545454,92.90433707598777,25.38,24.61818181818182,24.94866974885265,8.4,8.909090909090908,8.356246507138142,19.2,19.636363636363637,20.01976324747244,65.8,67.0,65.0670460126336,7.9,7.918181818181818,7.779894663753833,5.6,5.818181818181818,5.542092160747854,0.48739999999999994,0.48163636363636364,0.4973741977002152,28.2,28.90909090909091,28.89823705735915,0.27999999999999997,0.29354545454545455,0.2817585056478518,8.0,8.636363636363637,8.26520347508002,47.160000000000004,48.46363636363637,48.33180070788668,32.2,33.72727272727273,33.96748463140782,0.4976,0.4849090909090909,0.49188162373621913,16.28,15.890909090909092,16.432825280699085,12.6,12.818181818181818,12.666988433335028,30.0,31.09090909090909,29.23131636437536,0.5208,0.4699090909090909,0.5169475520330574,15.0,14.181818181818182,14.620145980456911,0.2662,0.2860909090909091,0.27394474080848114,2.4,1.7272727272727273,2.4796863621737883
2018-12-21,"Cameron Hall, Lexington, Virginia",NORTH-ALABAMA,VIRGINIA-MILITARY-INSTITUTE,Home,18.5,5,8.1,3,112.7,71.8,28,0.439,66,0.409,27,0.227,15,0.667,10,10,200.0,86.1,23.7,9,18,68,6.3,5,0.242,16.0,0.25,4.0,48.1,37,0.465,17.1,15,50.0,0.46,23.0,0.231,3,51.8,52.36666666666667,49.548616121074595,11.0,11.583333333333334,10.050088344708069,8.379999999999999,6.758333333333333,7.477818986491446,3.2,2.5,2.84961642026114,93.02,97.44166666666666,92.49377861324211,68.64000000000001,74.11666666666666,69.23873619084716,25.2,24.583333333333332,24.407492082846453,0.46399999999999997,0.44891666666666663,0.4449566066600057,55.4,59.0,54.75303561448967,0.388,0.3770833333333334,0.37311262962398467,21.6,22.25,20.590232970357956,0.3014,0.31224999999999997,0.2740723692752347,17.0,18.5,15.138218541663143,0.7184000000000001,0.6906666666666667,0.7249800448215326,12.4,12.583333333333334,11.020762417653138,7.4,4.666666666666667,7.369997798438585,200.0,200.0,200.0,91.06000000000002,90.78333333333335,86.10289138399185,23.919999999999998,24.508333333333336,24.39911316590177,7.6,8.75,7.9041643380920945,20.8,19.75,20.346508831648293,64.0,65.58333333333333,60.044697341755736,7.3199999999999985,7.858333333333333,7.586596442502556,5.2,5.75,5.361394773831903,0.5262,0.4831666666666667,0.4982494651334768,29.2,28.5,27.265491371572768,0.28579999999999994,0.29341666666666666,0.28517233709856793,8.4,8.5,7.84346898338668,48.0,48.324999999999996,47.821200471924456,32.8,33.333333333333336,32.31165642093855,0.5006,0.48258333333333336,0.48025441582414613,18.419999999999998,16.641666666666666,19.25521685379939,14.0,13.25,14.444658955556687,26.2,30.5,27.487544242916908,0.5119999999999999,0.46199999999999997,0.46963170135537163,13.2,13.75,12.746763986971276,0.259,0.28308333333333335,0.26596316053898744,2.6,1.8333333333333333,2.6531242414491922
2018-12-28,"McCarthey Athletic Center, Spokane, Washington",NORTH-ALABAMA,GONZAGA,Home,33.3,6,5.1,2,128.0,69.7,23,0.364,55,0.327,18,0.364,20,0.55,11,11,200.0,68.0,15.2,5,19,51,5.3,4,0.345,19.0,0.211,4.0,42.4,28,0.395,20.1,16,36.0,0.389,14.0,0.214,3,41.82000000000001,49.76153846153846,39.19907741404973,9.4,11.076923076923077,8.366725563138713,8.139999999999999,6.861538461538462,7.685212657660964,3.0,2.5384615384615383,2.8997442801740934,95.3,98.61538461538461,99.2291857421614,67.74,73.93846153846154,70.09249079389811,25.0,24.846153846153847,25.604994721897636,0.4756,0.4481538461538461,0.4429710711066705,56.8,59.53846153846154,58.50202374299312,0.40540000000000004,0.37953846153846155,0.38507508641598975,23.2,22.615384615384617,22.72682198023864,0.2552,0.30569230769230765,0.25838157951682317,14.6,18.23076923076923,15.092145694442097,0.7036,0.6888461538461539,0.7056533632143551,10.4,12.384615384615385,10.680508278435425,8.2,5.076923076923077,8.246665198959057,200.0,200.0,200.0,90.94,90.42307692307692,86.1019275893279,23.359999999999996,24.446153846153848,24.166075443934513,7.6,8.76923076923077,8.269442892061397,19.4,19.615384615384617,19.564339221098862,64.6,65.76923076923077,62.696464894503826,7.779999999999999,7.738461538461538,7.157730961668371,5.6,5.6923076923076925,5.240929849221269,0.46959999999999996,0.4646153846153846,0.4128329767556512,26.2,27.53846153846154,23.510327581048514,0.29059999999999997,0.29007692307692307,0.2734482247323786,7.8,8.153846153846153,6.56231265559112,47.06,48.30769230769231,47.91413364794964,32.6,33.61538461538461,33.87443761395903,0.5032,0.48123076923076924,0.47516961054943074,18.54,16.676923076923078,18.53681123586626,14.2,13.384615384615385,14.629772637037792,30.6,32.0,34.9916961619446,0.5182,0.4618461538461538,0.46642113423691445,15.4,14.461538461538462,16.16450932464752,0.2552,0.2790769230769231,0.2543087736926583,2.8,1.9230769230769231,2.7687494942994615
2018-12-30,"Lantz Arena, Charleston, Illinois",NORTH-ALABAMA,EASTERN-ILLINOIS,Home,50.0,11,2.6,1,115.7,80.0,24,0.482,56,0.393,22,0.429,24,0.667,16,12,200.0,100.0,25.0,10,25,70,5.7,4,0.536,30.0,0.333,10.0,48.6,34,0.519,17.4,14,26.0,0.462,12.0,0.2,3,37.64,48.58571428571429,37.232718276033154,8.0,10.714285714285714,7.577817042092476,9.16,6.735714285714286,6.82347510510731,3.4,2.5,2.5998295201160624,98.78,100.71428571428571,108.81945716144094,69.67999999999999,73.63571428571429,69.9616605292654,25.4,24.714285714285715,24.736663147931758,0.43499999999999994,0.4421428571428571,0.4166473807377804,57.4,59.214285714285715,57.33468249532875,0.3784,0.3757857142857143,0.36571672427732654,22.0,22.285714285714285,21.151214653492428,0.28179999999999994,0.3098571428571429,0.2935877196778821,16.2,18.357142857142858,16.728097129628065,0.6801999999999999,0.6789285714285714,0.6537689088095702,11.0,12.285714285714286,10.787005518956951,9.0,5.5,9.164443465972706,200.0,200.0,200.0,84.24,88.82142857142857,80.06795172621861,23.54,23.785714285714285,21.17738362928968,7.8,8.5,7.179628594707598,20.6,19.571428571428573,19.376226147399244,61.4,64.71428571428571,58.797643263002556,7.619999999999999,7.564285714285715,6.538487307778914,5.6,5.571428571428571,4.827286566147513,0.4193999999999999,0.45607142857142857,0.3902219845037675,23.8,26.928571428571427,22.006885054032345,0.2618,0.2844285714285714,0.25263214982158577,6.4,7.857142857142857,5.7082084370607475,47.6,47.885714285714286,46.0760890986331,33.2,33.214285714285715,31.916291742639356,0.466,0.47507142857142853,0.44844640703295385,18.64,16.92142857142857,19.057874157244175,14.6,13.571428571428571,15.086515091358528,33.6,32.285714285714285,35.327797441296404,0.47220000000000006,0.45664285714285713,0.44061408949127634,15.6,14.428571428571429,15.44300621643168,0.2536,0.2744285714285714,0.24087251579510555,3.0,2.0,2.845832996199641
