date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-07,"Reed Arena, College Station, Texas",NORTH-TEXAS,TEXAS-AM,Home,60.9,14,11.1,4,119.0,60.9,16,0.463,54,0.426,23,0.407,22,0.682,15,3,200.0,103.2,41.2,12,21,65,11.1,7,0.296,16.0,0.25,4.0,49.1,28,0.504,18.0,14,38.0,0.5,19.0,0.625,5,47.1,47.1,47.05432098765433,11.4,11.4,11.135802469135804,8.22,8.22,6.811111111111113,4.0,4.0,3.4197530864197536,100.8,100.8,99.21975308641976,66.18,66.18,64.4172839506173,25.2,25.2,24.90123456790124,0.487,0.487,0.4876790123456791,55.0,55.0,54.17283950617285,0.4342,0.4342,0.42870370370370375,24.0,24.0,23.407407407407412,0.5212,0.5212,0.534888888888889,28.2,28.2,28.518518518518526,0.7176,0.7176,0.7079876543209878,21.0,21.0,21.135802469135804,1.2,1.2,1.3580246913580247,210.0,210.0,209.87654320987656,98.86,98.86,98.88024691358025,29.679999999999996,29.679999999999996,29.024691358024693,7.6,7.6,7.3456790123456805,19.2,19.2,18.61728395061729,74.8,74.8,74.2962962962963,5.4,5.4,5.360493827160495,4.2,4.2,4.135802469135803,0.3264,0.3264,0.35224691358024696,17.8,17.8,18.83950617283951,0.3144,0.3144,0.3250123456790124,5.8,5.8,6.34567901234568,49.3,49.3,48.40987654320989,32.8,32.8,32.24691358024692,0.5436,0.5436,0.5451851851851852,18.76,18.76,18.797530864197533,15.4,15.4,15.308641975308644,37.2,37.2,35.333333333333336,0.4816,0.4816,0.4709506172839507,18.2,18.2,17.06172839506173,0.7462,0.7462,0.745851851851852,3.0,3.0,3.3703703703703707
2009-12-13,"Super Pit, Denton, Texas",LOUISIANA-MONROE,NORTH-TEXAS,Home,60.7,17,10.8,4,89.9,54.1,21,0.653,49,0.571,28,0.51,25,0.6,15,3,200.0,114.5,38.5,9,21,79,10.1,7,0.306,15.0,0.533,8.0,47.6,30,0.649,23.1,18,34.0,0.588,20.0,0.667,6,49.660000000000004,49.4,51.66954732510288,11.6,11.833333333333334,12.09053497942387,8.86,8.700000000000001,8.240740740740742,3.8,4.0,3.613168724279836,104.17999999999999,103.83333333333333,105.81316872427985,65.47999999999999,65.3,63.2448559670782,22.2,23.666666666666668,21.93415637860083,0.4796,0.48300000000000004,0.47945267489711946,54.4,54.833333333333336,54.11522633744857,0.42460000000000003,0.43283333333333335,0.42780246913580255,23.2,23.833333333333332,23.271604938271608,0.40259999999999996,0.5021666666666667,0.49225925925925934,21.2,27.166666666666668,26.345679012345684,0.6996,0.7116666666666666,0.6993251028806586,15.2,20.0,19.09053497942387,1.8,1.5,1.9053497942386832,200.0,208.33333333333334,206.58436213991772,98.68,99.58333333333333,100.3201646090535,31.02,31.599999999999998,33.083127572016465,8.4,8.333333333333334,8.897119341563787,18.0,19.5,19.41152263374486,67.6,73.16666666666667,71.19753086419755,6.18,6.3500000000000005,7.27366255144033,4.2,4.666666666666667,5.090534979423868,0.333,0.3213333333333333,0.3334979423868313,18.0,17.5,17.89300411522634,0.32439999999999997,0.3036666666666667,0.30000823045267494,6.0,5.5,5.563786008230453,48.580000000000005,49.26666666666667,48.639917695473265,30.6,32.0,30.831275720164612,0.5242,0.537,0.5314567901234568,18.140000000000004,18.633333333333336,18.531687242798355,14.2,15.166666666666666,14.872427983539097,36.4,37.333333333333336,36.22222222222223,0.4673999999999999,0.48466666666666663,0.4806337448559672,17.2,18.333333333333332,17.707818930041157,0.6712,0.726,0.705567901234568,3.6,3.3333333333333335,3.9135802469135808
2009-12-22,"Super Pit, Denton, Texas",SOUTHEASTERN-LOUISIANA,NORTH-TEXAS,Home,29.2,7,8.3,4,88.4,52.6,21,0.481,53,0.453,24,0.453,24,0.833,20,4,200.0,102.9,29.2,6,15,71,8.7,6,0.321,17.0,0.176,3.0,43.5,27,0.551,15.9,12,36.0,0.583,21.0,0.636,7,52.64,51.01428571428572,54.67969821673526,12.8,12.571428571428571,13.727023319615913,9.02,9.0,9.093827160493829,3.8,4.0,3.7421124828532246,98.03999999999999,101.84285714285714,100.50877914951991,61.120000000000005,63.7,60.196570644718804,21.6,23.285714285714285,21.62277091906722,0.5188,0.5072857142857143,0.5373017832647464,52.6,54.0,52.410150891632384,0.45600000000000007,0.45257142857142857,0.47553497942386835,24.0,24.428571428571427,24.847736625514408,0.4426,0.5032857142857143,0.4981728395061729,22.6,26.857142857142858,25.89711934156379,0.653,0.6957142857142857,0.6662167352537725,15.2,19.285714285714285,17.727023319615917,2.2,1.7142857142857142,2.270233196159122,200.0,207.14285714285714,204.38957475994516,101.58,101.71428571428571,105.04677640603569,31.860000000000003,32.58571428571428,34.888751714677646,8.2,8.428571428571429,8.931412894375859,18.4,19.714285714285715,19.94101508916324,69.8,74.0,73.79835390946504,7.619999999999999,6.885714285714286,8.215775034293554,5.2,5.0,5.727023319615912,0.33899999999999997,0.3191428571428571,0.32433196159122085,17.8,17.142857142857142,16.928669410150896,0.36839999999999995,0.3364285714285714,0.37767215363511664,6.6,5.857142857142857,6.375857338820302,47.480000000000004,49.028571428571425,48.293278463648846,29.8,31.714285714285715,30.55418381344308,0.5518,0.553,0.5706378600823045,19.46,19.271428571428572,20.054458161865572,15.2,15.571428571428571,15.914951989026067,34.8,36.857142857142854,35.48148148148149,0.4946,0.49942857142857144,0.5164224965706449,17.4,18.571428571428573,18.471879286694104,0.6712,0.7175714285714285,0.6927119341563788,4.4,3.7142857142857144,4.609053497942387
2009-12-28,"Super Pit, Denton, Texas",TEXAS-SOUTHERN,NORTH-TEXAS,Home,52.2,12,0.0,0,100.0,72.0,20,0.556,45,0.511,23,0.6,27,0.778,21,4,200.0,102.9,22.7,3,13,71,7.2,5,0.289,13.0,0.308,4.0,48.9,23,0.614,20.9,14,32.0,0.594,19.0,0.667,8,49.38,48.2875,46.18646547782351,12.2,11.875,11.484682213077278,7.640000000000001,8.9125,8.829218106995887,3.2,4.0,3.828074988568817,99.60000000000001,100.1625,96.47251943301329,57.96,62.3125,57.66438042981254,20.6,23.0,21.41518061271148,0.519,0.504,0.5185345221764976,53.2,53.875,52.60676726108826,0.4586,0.452625,0.46802331961591226,24.4,24.375,24.56515775034294,0.42119999999999996,0.497,0.48311522633744863,21.8,26.5,25.264746227709196,0.6768,0.712875,0.7218111568358483,15.2,19.375,18.484682213077278,2.8,2.0,2.846822130772748,200.0,206.25,202.92638317329678,103.28,101.8625,104.33118427069047,33.260000000000005,32.1625,32.99250114311843,8.2,8.125,7.95427526291724,17.4,19.125,18.29401005944216,70.4,73.625,72.8655692729767,7.7,7.1125,8.377183356195703,5.2,5.125,5.818015546410608,0.34720000000000006,0.319375,0.3232213077274806,18.4,17.125,16.95244627343393,0.3464,0.316375,0.3104481024234111,6.4,5.5,5.250571559213536,46.34,48.3375,46.6955189757659,28.8,31.125,29.36945587562872,0.5546,0.5527500000000001,0.5640919067215364,18.98,18.85,18.66963877457705,14.8,15.125,14.609967992684046,34.8,36.75,35.65432098765433,0.5112,0.509875,0.5386149977137633,18.0,18.875,19.314586191129404,0.6484,0.707375,0.6738079561042526,5.2,4.125,5.406035665294924
2009-12-31,"Jack Stephens Center, Little Rock, Arkansas",NORTH-TEXAS,ARKANSAS-LITTLE-ROCK,Away,79.3,23,4.3,2,113.0,50.0,16,0.62,54,0.537,29,0.407,22,0.727,16,4,200.0,120.3,29.6,7,16,83,1.4,1,0.444,24.0,0.375,9.0,40.4,23,0.644,15.9,12,30.0,0.667,20.0,0.692,9,49.480000000000004,48.72222222222222,48.19097698521568,11.6,11.88888888888889,11.656454808718186,6.459999999999999,7.922222222222222,5.886145404663925,2.6,3.5555555555555554,2.5520499923792115,98.54,100.14444444444445,97.64834628867553,60.36,63.388888888888886,62.4429202865417,20.2,22.666666666666668,20.943453741807655,0.5222,0.5097777777777778,0.5310230147843318,49.8,52.888888888888886,50.07117817405884,0.46719999999999995,0.4591111111111111,0.4823488797439415,23.2,24.22222222222222,24.043438500228632,0.5024,0.5084444444444445,0.5220768175582992,24.8,26.555555555555557,25.843164151806132,0.7323999999999999,0.7201111111111111,0.7405407712238989,18.2,19.555555555555557,19.323121475384852,3.2,2.2222222222222223,3.2312147538484988,200.0,205.55555555555554,201.9509221155312,104.4,101.97777777777777,103.85412284712699,31.32,31.11111111111111,29.561667428745622,7.4,7.555555555555555,6.30285017527816,17.2,18.444444444444443,16.52934003962811,70.0,73.33333333333333,72.24371284865114,8.34,7.122222222222222,7.984788904130468,5.6,5.111111111111111,5.5453436976070725,0.334,0.316,0.31181420515165376,16.6,16.666666666666668,15.634964182289288,0.3262,0.3154444444444444,0.3096320682822741,5.4,5.333333333333333,4.833714372809024,47.06,48.400000000000006,47.430345983843935,27.6,30.22222222222222,27.246303917085818,0.5696,0.5595555555555556,0.5807279378143577,18.94,19.077777777777776,19.4130925163847,14.0,15.0,14.406645328456031,33.2,36.22222222222222,34.436213991769556,0.53,0.5192222222222223,0.5570766651425089,17.8,18.88888888888889,19.209724127419605,0.6618,0.7028888888888889,0.6715386374028351,6.2,4.555555555555555,6.27069044352995
2010-01-02,"Convocation Center, Jonesboro, Arkansas",NORTH-TEXAS,ARKANSAS-STATE,Home,52.6,10,4.3,2,107.6,71.4,20,0.36,57,0.333,19,0.333,19,0.789,15,5,200.0,84.8,38.5,15,13,56,4.5,3,0.281,16.0,0.188,3.0,52.2,35,0.424,19.7,16,41.0,0.39,16.0,0.643,9,56.46,51.779999999999994,58.56065132347712,14.6,13.0,15.437636539145458,6.9,7.56,5.35743026977595,2.8,3.4,2.3680333282528077,102.06,101.42999999999999,102.76556419245037,57.92,62.05,58.2952801910278,18.8,22.0,19.29563582787177,0.5546,0.5208,0.5606820098562213,51.0,53.0,51.38078544937257,0.49959999999999993,0.4669,0.5005659198292944,25.4,24.7,25.69562566681909,0.47539999999999993,0.49829999999999997,0.4837178783721995,24.0,26.1,24.562109434537422,0.724,0.7208,0.7360271808159327,17.4,19.2,18.215414316923237,3.6,2.4,3.4874765025656664,200.0,205.0,201.30061474368748,108.75999999999999,103.80999999999999,109.33608189808466,32.239999999999995,30.96,29.574444952497085,7.4,7.5,6.535233450185441,17.2,18.2,16.352893359752073,73.8,74.3,75.82914189910076,7.7,6.55,5.789859269420313,5.2,4.7,4.030229131738048,0.3312,0.32880000000000004,0.3558761367677692,17.0,17.4,18.423309454859528,0.32839999999999997,0.3214,0.3314213788548494,5.6,5.7,6.222476248539349,45.9,47.6,45.08689732256262,26.2,29.5,25.830869278057214,0.5924,0.568,0.6018186252095719,18.76,18.759999999999998,18.242061677589803,14.0,14.7,13.60443021897069,34.0,35.6,32.95747599451304,0.5863999999999999,0.534,0.5937177767616726,19.8,19.0,19.47314941827974,0.6574,0.7018,0.6783590916018901,7.0,5.0,7.1804602956866335
2010-01-07,"Cajundome, Lafayette, Louisiana",NORTH-TEXAS,LOUISIANA-LAFAYETTE,Home,47.6,10,2.4,1,107.2,68.2,17,0.5,46,0.457,21,0.739,34,0.765,26,6,200.0,104.3,56.0,12,22,72,0.0,0,0.217,10.0,0.4,4.0,61.7,29,0.579,26.5,21,36.0,0.472,17.0,0.6,9,54.8,51.85454545454545,56.57376754898475,13.8,12.727272727272727,13.625091026096975,5.540000000000001,7.263636363636365,5.004953513183967,2.4,3.272727272727273,2.2453555521685384,99.78,101.9909090909091,104.37704279496691,60.02,62.900000000000006,62.66352012735187,19.6,21.818181818181817,19.53042388524785,0.534,0.5061818181818182,0.49378800657081423,51.6,53.36363636363637,53.253856966248385,0.48100000000000004,0.4547272727272727,0.44471061321952965,24.6,24.181818181818183,23.46375044454606,0.4606,0.48327272727272724,0.43347858558146635,23.4,25.454545454545453,22.708072956358283,0.7454,0.727,0.7536847872106218,17.4,18.818181818181817,17.143609544615494,4.0,2.6363636363636362,3.9916510017104443,200.0,204.54545454545453,200.86707649579165,105.08,102.08181818181819,101.15738793205645,31.7,31.645454545454548,32.54962996833139,8.0,8.181818181818182,9.356822300123628,15.6,17.727272727272727,15.235262239834718,72.0,72.63636363636364,69.21942793273385,6.38,6.363636363636363,5.359906179613542,4.4,4.545454545454546,3.6868194211586993,0.3282,0.32445454545454544,0.33091742451184614,17.0,17.272727272727273,17.61553963657302,0.31599999999999995,0.3092727272727273,0.28361425256989964,5.4,5.454545454545454,5.148317499026233,46.519999999999996,48.01818181818182,47.457931548375086,27.6,30.0,28.88724618537148,0.5764,0.5549090909090909,0.5425457501397146,19.1,18.845454545454547,18.7280411183932,14.4,14.818181818181818,14.402953479313794,34.6,36.09090909090909,35.63831732967536,0.5643999999999999,0.5209090909090909,0.5258118511744485,19.2,18.727272727272727,18.315432945519827,0.661,0.6964545454545454,0.6665727277345934,7.8,5.363636363636363,7.7869735304577565
2010-01-09,"Super Pit, Denton, Texas",NEW-ORLEANS,NORTH-TEXAS,Home,37.5,9,7.7,3,86.4,69.4,26,0.5,55,0.436,24,0.473,26,0.615,16,6,200.0,107.6,34.4,10,16,71,9.1,6,0.327,18.0,0.389,7.0,52.9,36,0.527,15.3,12,37.0,0.459,17.0,0.625,10,52.17999999999999,51.5,53.58251169932317,12.4,12.5,12.416727350731318,3.8600000000000003,6.858333333333333,4.136635675455978,1.8,3.0833333333333335,1.8302370347790258,103.24000000000001,102.425,105.31802852997795,62.839999999999996,63.34166666666667,64.50901341823459,18.8,21.416666666666668,18.686949256831902,0.5034000000000001,0.5056666666666667,0.4958586710472095,51.0,52.75,50.835904644165595,0.4582,0.45491666666666664,0.44880707547968646,23.2,23.916666666666668,22.64250029636404,0.5064,0.5045833333333333,0.5353190570543109,25.2,26.166666666666668,26.47204863757219,0.7784,0.7301666666666667,0.7574565248070813,19.6,19.416666666666668,20.09573969641033,4.6,2.9166666666666665,4.661100667806963,200.0,204.16666666666666,200.57805099719445,103.04,102.26666666666667,102.20492528803764,35.2,33.675000000000004,40.36641997888759,8.6,8.5,10.237881533415752,15.8,18.083333333333332,17.49017482655648,70.6,72.58333333333333,70.14628528848924,4.359999999999999,5.833333333333333,3.5732707864090285,3.0,4.166666666666667,2.4578796141057997,0.3104,0.3155,0.2929449496745641,16.0,16.666666666666668,15.077026424382012,0.2894,0.31683333333333336,0.32240950171326643,4.6,5.333333333333333,4.765544999350823,49.339999999999996,49.15833333333333,52.20528769891673,27.4,29.916666666666668,28.924830790247654,0.5624,0.5569166666666666,0.5546971667598097,19.78,19.483333333333334,21.3186940789288,15.0,15.333333333333334,16.601968986209197,35.0,36.083333333333336,35.758878219783576,0.5412,0.5168333333333334,0.5078745674496323,18.6,18.583333333333332,17.876955297013218,0.6476,0.6884166666666666,0.644381818489729,8.4,5.666666666666667,8.191315686971837
2010-01-16,"Super Pit, Denton, Texas",ARKANSAS-STATE,NORTH-TEXAS,Away,54.5,12,2.2,1,120.3,61.9,15,0.435,54,0.407,22,0.556,30,0.767,23,7,200.0,101.4,39.4,11,17,70,10.1,7,0.278,15.0,0.2,3.0,48.1,26,0.513,16.2,13,39.0,0.487,19.0,0.611,11,53.839999999999996,50.42307692307692,48.221674466215454,12.8,12.23076923076923,11.277818233820879,3.7399999999999998,6.923076923076923,5.324423783637319,1.6,3.076923076923077,2.220158023186017,102.84,101.1923076923077,99.0120190199853,66.20000000000002,63.80769230769231,66.13934227882307,19.8,21.76923076923077,21.124632837887937,0.5072,0.5052307692307693,0.49723911403147303,51.4,52.92307692307692,52.22393642944374,0.4548,0.4534615384615384,0.444538050319791,23.2,23.923076923076923,23.095000197576027,0.5104,0.5021538461538462,0.5145460380362074,25.6,26.153846153846153,26.314699091714793,0.7348000000000001,0.7213076923076923,0.7099710165380542,18.8,19.153846153846153,18.73049313094022,5.0,3.1538461538461537,5.107400445204642,200.0,203.84615384615384,200.385367331463,103.97999999999999,102.67692307692307,104.00328352535843,36.24,33.73076923076923,38.3776133192584,9.4,8.615384615384615,10.158587688943836,16.0,17.923076923076923,16.99344988437099,70.6,72.46153846153847,70.43085685899283,4.4399999999999995,6.084615384615384,5.415513857606019,3.0,4.3076923076923075,3.6385864094038665,0.3116,0.31638461538461543,0.30429663311637606,16.2,16.76923076923077,16.05135094958801,0.332,0.3223846153846154,0.344606334475511,5.4,5.461538461538462,5.510363332900548,51.220000000000006,49.44615384615384,52.43685846594449,29.2,30.384615384615383,31.283220526831773,0.5576,0.5546153846153846,0.5454647778398732,19.66,19.161538461538463,19.312462719285868,15.0,15.076923076923077,15.067979324139467,35.2,36.15384615384615,36.17258547985572,0.5164,0.5123846153846153,0.4915830449664216,17.8,18.46153846153846,17.58463686467548,0.6454000000000001,0.6835384615384614,0.637921212326486,9.0,6.0,8.794210457981226
2010-01-21,"Super Pit, Denton, Texas",SOUTH-ALABAMA,NORTH-TEXAS,Home,38.7,12,7.1,4,106.8,57.9,23,0.524,63,0.492,31,0.381,24,0.833,20,7,200.0,117.8,71.4,19,19,86,6.8,5,0.238,15.0,0.267,4.0,63.6,42,0.578,20.5,19,48.0,0.563,27.0,0.632,12,54.3,50.714285714285715,50.314449644143636,12.8,12.214285714285714,11.51854548921392,4.18,6.585714285714286,4.282949189091546,1.8,2.9285714285714284,1.8134386821240116,106.9,102.55714285714285,106.10801267999021,64.17999999999999,63.67142857142858,64.72622818588205,18.8,21.285714285714285,19.08308855859196,0.483,0.5002142857142857,0.47649274268764874,53.2,53.0,52.81595761962917,0.434,0.4501428571428571,0.4320253668798607,23.0,23.785714285714285,22.730000131717354,0.5016,0.506,0.5283640253574716,26.2,26.428571428571427,27.543132727809866,0.7326,0.7245714285714285,0.7289806776920362,19.2,19.428571428571427,20.153662087293483,5.6,3.4285714285714284,5.738266963469762,200.0,203.57142857142858,200.25691155430866,103.67999999999999,102.58571428571429,103.13552235023896,39.58,34.135714285714286,38.7184088795056,11.0,8.785714285714286,10.439058459295891,16.8,17.857142857142858,16.995633256247327,70.4,72.28571428571429,70.28723790599523,5.0200000000000005,6.371428571428572,6.977009238404013,3.4,4.5,4.759057606269245,0.3094,0.31364285714285717,0.2955310887442507,16.6,16.642857142857142,15.700900633058675,0.3104,0.31364285714285717,0.296404222983674,5.2,5.285714285714286,4.673575555267032,51.06,49.35,50.99123897729633,29.8,30.071428571428573,29.522147017887853,0.5374000000000001,0.5516428571428571,0.5346431852265822,18.72,18.95,18.27497514619058,14.8,14.928571428571429,14.378652882759646,36.6,36.357142857142854,37.11505698657048,0.495,0.5105714285714286,0.49005536331094773,17.8,18.5,18.056424576450322,0.6342,0.6783571428571429,0.628947474884324,9.6,6.357142857142857,9.529473638654151
