date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-01,"Butler Hancock Sports Pavilion, Greeley, Colorado",COLORADO-STATE,NORTHERN-COLORADO,Home,52.6,10,2.9,1,95.5,47.4,18,0.478,46,0.413,19,0.761,35,0.743,26,0,200.0,106.1,34.5,10,20,70,6.1,4,0.326,15.0,0.4,6.0,41.8,28,0.559,16.3,12,31.0,0.419,13.0,1.0,7,48.0,48.0,47.56666666666668,12.4,12.4,12.209876543209878,6.220000000000001,6.220000000000001,6.514814814814816,2.0,2.0,2.024691358024692,85.24000000000001,85.24000000000001,84.06049382716051,68.06,68.06,71.8530864197531,21.4,21.4,22.32098765432099,0.5469999999999999,0.5469999999999999,0.545716049382716,52.6,52.6,52.85185185185186,0.4856,0.4856,0.48129629629629633,25.4,25.4,25.234567901234573,0.5662,0.5662,0.5453827160493828,28.6,28.6,27.419753086419757,0.7230000000000001,0.7230000000000001,0.713888888888889,20.8,20.8,19.7283950617284,0.0,0.0,0.0,200.0,200.0,200.0,108.38,108.38,108.63580246913581,28.18,28.18,29.037037037037038,7.0,7.0,7.765432098765434,21.2,21.2,20.901234567901238,78.2,78.2,77.16049382716051,13.680000000000001,13.680000000000001,14.24814814814815,9.8,9.8,10.012345679012347,0.321,0.321,0.31225925925925935,16.8,16.8,16.395061728395063,0.3912,0.3912,0.4211111111111112,6.6,6.6,6.962962962962964,49.36,49.36,51.51728395061728,28.4,28.4,30.086419753086425,0.5913999999999999,0.5913999999999999,0.5865802469135803,17.68,17.68,17.42345679012346,13.8,13.8,13.469135802469138,35.8,35.8,36.4567901234568,0.5388,0.5388,0.5179012345679013,18.8,18.8,18.271604938271608,1.0,1.0,1.0,3.0,3.0,3.3950617283950617
2009-12-04,"Worthington Arena, Bozeman, Montana",NORTHERN-COLORADO,MONTANA-STATE,Home,38.1,8,3.2,1,124.3,69.0,21,0.455,55,0.382,21,0.327,18,0.722,13,1,200.0,90.0,25.0,8,24,63,2.9,2,0.527,29.0,0.276,8.0,44.6,29,0.496,19.3,15,26.0,0.5,13.0,0.875,7,46.16,48.76666666666667,49.244444444444454,10.2,12.0,11.473251028806587,4.38,5.666666666666667,5.309876543209878,1.4,1.8333333333333333,1.6831275720164613,86.08,86.95,87.87366255144035,62.239999999999995,64.61666666666666,63.70205761316873,19.8,20.833333333333332,20.880658436213995,0.5088,0.5355,0.5231440329218107,50.0,51.5,50.56790123456791,0.45299999999999996,0.4735,0.4585308641975309,22.4,24.333333333333332,23.15637860082305,0.62,0.5986666666666667,0.6172551440329219,29.8,29.666666666666668,29.946502057613174,0.7198,0.7263333333333333,0.7235925925925928,21.6,21.666666666666668,21.818930041152267,0.0,0.0,0.0,200.0,200.0,200.0,104.33999999999999,108.0,107.79053497942388,29.0,29.233333333333334,30.85802469135803,7.6,7.5,8.510288065843623,21.6,21.0,20.600823045267493,72.0,76.83333333333333,74.77366255144034,11.9,12.416666666666666,11.532098765432101,8.2,8.833333333333334,8.0082304526749,0.3218,0.32183333333333336,0.31683950617283957,16.0,16.5,15.930041152263376,0.35540000000000005,0.39266666666666666,0.41407407407407415,5.6,6.5,6.641975308641976,46.14,48.099999999999994,48.278189300411526,27.4,28.333333333333332,29.390946502057616,0.5644,0.586,0.5773868312757202,17.68,17.45,17.04897119341564,13.4,13.5,12.97942386831276,34.0,35.0,34.637860082304535,0.5075999999999999,0.5188333333333334,0.4849341563786009,16.8,17.833333333333332,16.514403292181072,1.0,1.0,1.0,4.2,3.6666666666666665,4.5967078189300405
2009-12-05,"Adams Center/Dahlberg Arena, Missoula, Montana",NORTHERN-COLORADO,MONTANA,Away,33.3,5,5.3,2,84.2,61.1,22,0.415,41,0.366,15,0.732,30,0.833,25,1,200.0,103.5,37.0,10,19,59,8.8,5,0.293,12.0,0.333,4.0,50.8,32,0.534,16.9,11,29.0,0.379,11.0,0.889,8,45.44,47.24285714285714,45.52962962962964,9.8,11.428571428571429,10.315500685871058,3.8,5.314285714285715,4.606584362139919,1.2,1.7142857142857142,1.4554183813443076,96.96000000000001,92.28571428571429,100.01577503429357,66.03999999999999,65.24285714285715,65.46803840877917,21.0,20.857142857142858,20.920438957475998,0.5052000000000001,0.524,0.5004293552812071,49.8,52.0,52.04526748971195,0.4436,0.4604285714285714,0.4330205761316873,21.8,23.857142857142858,22.437585733882035,0.5854,0.5598571428571428,0.5205034293552814,27.8,28.0,25.96433470507545,0.7214,0.7257142857142858,0.7230617283950619,20.2,20.428571428571427,18.879286694101513,0.2,0.14285714285714285,0.3333333333333333,200.0,200.0,200.0,102.34,105.42857142857143,101.86035665294926,26.9,28.62857142857143,28.90534979423869,7.6,7.571428571428571,8.34019204389575,21.8,21.428571428571427,21.73388203017833,70.0,74.85714285714286,70.8491083676269,8.639999999999999,11.057142857142855,8.654732510288069,5.8,7.857142857142857,6.005486968449934,0.36640000000000006,0.35114285714285715,0.3868930041152264,18.4,18.285714285714285,20.286694101508917,0.3518,0.376,0.3680493827160495,6.2,6.714285714285714,7.094650205761319,46.7,47.6,47.05212620027436,28.6,28.428571428571427,29.26063100137175,0.5582,0.5731428571428572,0.5502578875171469,17.94,17.714285714285715,17.799314128943763,13.4,13.714285714285714,13.65294924554184,31.4,33.714285714285715,31.758573388203025,0.5102,0.5161428571428571,0.48995610425240066,15.6,17.142857142857142,15.342935528120716,0.975,0.9821428571428571,0.9583333333333334,5.2,4.142857142857143,5.397805212620026
2009-12-12,"Casper Events Center, Casper, Wyoming",WYOMING,NORTHERN-COLORADO,Away,68.0,17,5.7,2,96.2,71.4,25,0.455,66,0.379,25,0.273,18,0.556,10,2,200.0,88.6,27.5,11,31,70,11.4,9,0.455,30.0,0.333,10.0,48.0,36,0.469,15.9,14,36.0,0.417,15.0,0.8,8,43.3,45.5,41.45308641975309,8.6,10.625,8.54366712391404,4.32,5.3125,4.83772290809328,1.4,1.75,1.6369455875628718,93.52000000000001,91.275,94.74385002286239,66.84,64.725,64.01202560585278,21.0,21.0,21.280292638317334,0.48040000000000005,0.510375,0.47195290352080477,47.8,50.625,48.36351165980797,0.41879999999999995,0.448625,0.41068038408779156,19.8,22.75,19.95839048925469,0.5984,0.581375,0.5910022862368542,27.0,28.25,27.309556470050303,0.735,0.739125,0.7597078189300412,20.0,21.0,20.919524462734344,0.4,0.25,0.5555555555555556,200.0,200.0,200.0,101.14,105.1875,102.40690443529952,30.02,29.675,31.60356652949246,8.8,7.875,8.893461362597167,20.4,21.125,20.822588020118886,65.6,72.875,66.89940557841794,9.319999999999999,10.775,8.703155006858713,6.0,7.5,5.67032464563329,0.3466,0.343875,0.3555953360768176,16.8,17.5,17.52446273433928,0.3684,0.370625,0.35636625514403303,6.0,6.375,6.063100137174213,48.6,48.0,48.30141746684957,29.8,28.875,30.1737540009145,0.5444000000000001,0.56825,0.544838591678098,18.240000000000002,17.6125,17.499542752629175,13.2,13.375,12.768632830361227,31.0,33.125,30.83904892546869,0.457,0.499,0.4529707361682671,13.8,16.375,13.895290352080478,0.9528000000000001,0.9705,0.9352222222222223,6.2,4.625,6.265203475080018
2009-12-16,"Butler Hancock Sports Pavilion, Greeley, Colorado",LOUISIANA-MONROE,NORTHERN-COLORADO,Home,56.7,17,3.0,1,109.1,66.7,19,0.612,58,0.517,30,0.569,33,0.727,24,2,200.0,123.4,40.0,9,25,95,13.0,10,0.379,22.0,0.5,11.0,51.9,28,0.645,17.1,15,36.0,0.528,19.0,0.818,9,45.9,48.0,50.30205761316873,9.8,11.333333333333334,11.362444749276026,4.96,5.355555555555556,5.12514860539552,1.6,1.7777777777777777,1.7579637250419147,93.98,91.82222222222222,95.22923334857492,65.12,65.46666666666667,66.4746837372352,22.0,21.444444444444443,22.52019509221156,0.4556,0.5042222222222222,0.4663019356805366,53.4,52.333333333333336,54.24234110653865,0.3894,0.4408888888888889,0.40012025605852775,20.8,23.0,21.63892699283646,0.48979999999999996,0.5471111111111111,0.4850015241579029,24.4,27.11111111111111,24.206370980033537,0.7041999999999999,0.7187777777777778,0.6918052126200276,17.6,19.77777777777778,17.27968297515623,0.8,0.4444444444444444,1.037037037037037,200.0,200.0,200.0,98.85999999999999,103.34444444444445,97.80460295686636,32.8,29.43333333333333,30.235711019661643,10.4,8.222222222222221,9.595640908398112,23.4,22.22222222222222,24.21505868007926,66.4,72.55555555555556,67.93293705227863,9.780000000000001,10.844444444444443,9.60210333790581,6.6,7.666666666666667,6.780216430422193,0.37439999999999996,0.3562222222222222,0.38873022405121177,20.4,18.88888888888889,21.68297515622619,0.3684,0.36644444444444446,0.3485775034293554,7.2,6.777777777777778,7.3754000914494755,48.42,48.0,48.20094497789972,32.4,29.666666666666668,32.11583600060967,0.513,0.5572222222222222,0.519559061118732,16.46,17.422222222222224,16.96636183508612,12.6,13.444444444444445,13.179088553574152,33.0,33.44444444444444,32.55936595031246,0.41739999999999994,0.4898888888888889,0.4409804907788447,13.6,16.22222222222222,14.263526901386987,0.9128000000000001,0.9515555555555556,0.8901481481481484,7.0,5.0,6.843468983386678
2009-12-19,"Lloyd Noble Center, Norman, Oklahoma",NORTHERN-COLORADO,OKLAHOMA,Home,64.5,20,0.0,0,115.9,75.0,26,0.545,66,0.47,31,0.121,8,0.875,7,3,200.0,114.5,39.4,11,18,79,8.7,6,0.364,24.0,0.417,10.0,56.9,37,0.566,14.7,12,42.0,0.5,21.0,0.75,9,49.739999999999995,48.87,52.43470507544582,11.4,11.9,13.241629832850684,4.0200000000000005,5.12,4.416765736930347,1.4,1.7,1.5053091500279432,101.86,93.55,99.85282223238329,63.120000000000005,65.59,66.54978915815681,21.0,21.2,21.34679672814104,0.483,0.515,0.5148679571203577,53.2,52.9,55.49489407102577,0.4114,0.44849999999999995,0.4390801707056852,22.0,23.7,24.42595132855764,0.5324,0.5493,0.5130010161052686,26.8,27.7,27.137580653355695,0.7162000000000001,0.7196,0.7035368084133518,19.6,20.2,19.519788650104154,1.2,0.6,1.3580246913580247,200.0,200.0,200.0,102.32000000000001,105.35,106.33640197124424,32.8,30.49,33.490474013107765,9.6,8.3,9.397093938932075,23.8,22.5,24.476705786719506,71.4,74.8,76.95529136818575,8.440000000000001,11.059999999999999,10.734735558603873,6.0,7.9,7.8534776202814625,0.396,0.3585,0.38548681603414126,21.6,19.2,21.788650104150793,0.3684,0.3798,0.3990516689529036,7.8,7.2,8.583600060966317,47.42,48.39,49.433963318599815,30.6,29.5,30.743890667073114,0.5406000000000001,0.5660000000000001,0.561372707412488,17.1,17.39,17.010907890057414,13.4,13.6,13.786059035716102,31.6,33.7,33.70624396687498,0.4486,0.4937,0.46998699385256315,14.2,16.5,15.842351267591326,0.8764,0.9381999999999999,0.866098765432099,7.8,5.4,7.5623126555911195
2009-12-21,"Butler Hancock Sports Pavilion, Greeley, Colorado",SAN-JOSE-STATE,NORTHERN-COLORADO,Home,60.6,20,2.6,1,104.5,74.1,21,0.677,62,0.532,33,0.194,12,0.75,9,3,200.0,140.9,38.5,9,19,93,12.1,8,0.597,37.0,0.486,18.0,56.6,30,0.687,11.8,9,25.0,0.6,15.0,0.769,10,52.120000000000005,50.290909090909096,56.45647005029722,13.4,12.636363636363637,15.494419888567123,3.44,4.654545454545455,2.944510491286898,1.2,1.5454545454545454,1.0035394333519623,105.93999999999998,95.58181818181819,105.20188148825554,68.64,66.44545454545454,69.36652610543788,22.6,21.636363636363637,22.897864485427363,0.49640000000000006,0.5177272727272727,0.5249119714135718,57.2,54.09090909090909,58.996596047350515,0.42279999999999995,0.45045454545454544,0.4493867804704569,24.4,24.363636363636363,26.617300885705095,0.4044,0.5103636363636364,0.38233401073684575,21.4,25.90909090909091,20.758387102237133,0.7426,0.7337272727272727,0.7606912056089012,15.8,19.0,15.346525766736104,1.8,0.8181818181818182,1.9053497942386832,200.0,200.0,200.0,104.0,106.18181818181819,109.05760131416284,33.78,31.3,35.460316008738516,9.8,8.545454545454545,9.93139595928805,23.4,22.09090909090909,22.317803857813008,73.2,75.18181818181819,77.63686091212384,8.959999999999999,10.845454545454546,10.056490372402582,6.4,7.7272727272727275,7.235651746854309,0.40359999999999996,0.359,0.37832454402276083,23.4,19.636363636363637,22.52576673610053,0.3718,0.3831818181818182,0.4050344459686024,8.6,7.454545454545454,9.055733373977546,50.44,49.16363636363636,51.92264221239988,32.4,30.181818181818183,32.82926044471541,0.542,0.566,0.562915138274992,16.78,17.145454545454545,16.240605260038276,13.4,13.454545454545455,13.190706023810735,33.8,34.45454545454545,36.470829311249986,0.4648,0.4942727272727273,0.4799913292350422,15.8,16.90909090909091,17.561567511727553,0.8263999999999999,0.9210909090909091,0.8273991769547328,8.2,5.7272727272727275,8.04154177039408
2009-12-28,"Butler Hancock Sports Pavilion, Greeley, Colorado",DENVER,NORTHERN-COLORADO,Home,42.3,11,14.3,4,95.0,87.0,22,0.518,57,0.456,26,0.368,21,0.619,13,3,200.0,120.0,50.0,14,14,72,10.0,6,0.281,16.0,0.438,7.0,65.5,36,0.538,12.0,9,41.0,0.463,19.0,0.786,11,56.61999999999999,51.15,57.83764670019815,15.8,13.25,16.996279925711416,3.3200000000000003,4.483333333333333,2.8296736608579325,1.2,1.5,1.0023596222346416,101.98,96.325,104.96792099217036,69.66,67.08333333333333,70.9443507369586,22.6,21.583333333333332,22.26524299028491,0.5408000000000001,0.531,0.5756079809423813,58.6,54.75,59.99773069823368,0.45280000000000004,0.45725,0.47692452031363797,26.8,25.083333333333332,28.744867257136733,0.3778,0.484,0.31955600715789717,20.2,24.75,17.838924734824758,0.7482,0.7350833333333333,0.7571274704059342,15.0,18.166666666666668,13.23101717782407,2.2,1.0,2.270233196159122,200.0,200.0,200.0,114.17999999999999,109.075,119.67173420944191,36.480000000000004,31.900000000000002,36.47354400582568,10.0,8.583333333333334,9.620930639525367,22.4,21.833333333333332,21.211869238542008,79.2,76.66666666666667,82.75790727474923,10.8,10.950000000000001,10.737660248268389,7.6,7.75,7.490434497902873,0.4176,0.37883333333333336,0.4512163626818406,25.0,21.083333333333332,27.350511157400355,0.4138,0.39175,0.43202296397906825,10.6,8.333333333333334,12.037155582651698,52.839999999999996,49.78333333333333,53.48176147493326,32.6,30.166666666666668,31.886173629810276,0.5801999999999999,0.5760833333333334,0.6042767588499947,15.280000000000001,16.7,14.760403506692185,12.2,13.083333333333334,11.793804015873825,33.6,33.666666666666664,32.647219540833326,0.4848,0.5030833333333333,0.5199942194900281,16.2,16.75,16.707711674485036,0.8051999999999999,0.9084166666666667,0.8079327846364885,8.8,6.083333333333333,8.694361180262721
2009-12-30,"Daniel-Meyer Coliseum, Fort Worth, Texas",NORTHERN-COLORADO,TEXAS-CHRISTIAN,Away,45.5,10,4.0,1,88.3,58.3,16,0.553,47,0.468,22,0.277,13,0.923,12,3,200.0,106.7,28.0,5,11,64,13.3,8,0.489,23.0,0.348,8.0,42.9,21,0.602,21.0,14,24.0,0.583,14.0,0.8,12,58.42,50.46923076923077,52.65843113346544,17.0,13.076923076923077,14.997519950474278,5.12,5.238461538461538,6.653115773905288,1.6,1.6923076923076923,2.001573081489761,104.14000000000001,96.22307692307693,101.64528066144692,74.84,68.61538461538461,76.29623382463907,22.6,21.615384615384617,22.17682866018994,0.5614,0.53,0.5564053206282542,61.8,54.92307692307692,58.998487132155795,0.4708,0.45715384615384613,0.469949680209092,29.0,25.153846153846153,27.829911504757824,0.305,0.47507692307692306,0.33570400477193146,18.4,24.46153846153846,18.892616489883174,0.7054,0.7261538461538461,0.711084980270623,12.6,17.76923076923077,13.154011451882713,2.6,1.1538461538461537,2.5134887974394147,200.0,200.0,200.0,117.47999999999999,109.91538461538462,119.78115613962795,39.08,33.292307692307695,40.98236267055046,10.8,9.0,11.080620426350244,21.4,21.23076923076923,18.80791282569467,81.8,76.3076923076923,79.17193818316616,11.040000000000001,10.876923076923077,10.491773498845593,7.8,7.615384615384615,6.993622998601916,0.4152,0.3713076923076923,0.3944775751212271,25.8,20.692307692307693,23.567007438266906,0.43479999999999996,0.3953076923076923,0.4340153093193788,11.2,8.23076923076923,10.358103721767801,55.779999999999994,50.99230769230769,57.48784098328885,33.4,30.615384615384617,33.25744908654019,0.5810000000000001,0.5731538461538462,0.5821845058999965,14.3,16.338461538461537,13.840269004461458,11.8,12.76923076923077,10.86253601058255,36.0,34.23076923076923,35.43147969388889,0.5016,0.5,0.5009961463266854,17.8,16.923076923076923,17.471807782990027,0.7846,0.8989999999999999,0.8006218564243258,9.4,6.461538461538462,9.462907453508482
2010-01-02,"Walkup Skydome, Flagstaff, Arizona",NORTHERN-COLORADO,NORTHERN-ARIZONA,Away,54.5,12,5.9,2,97.1,63.6,22,0.51,49,0.449,22,0.592,29,0.862,25,3,200.0,110.3,29.2,6,22,75,11.8,8,0.265,13.0,0.462,6.0,49.1,28,0.597,16.3,11,36.0,0.444,16.0,0.812,13,53.92,50.114285714285714,50.2722874223103,15.6,12.857142857142858,13.331679966982854,4.78,5.1499999999999995,5.768743849270193,1.4,1.6428571428571428,1.667715387659841,102.55999999999999,95.65714285714286,97.19685377429795,72.22,67.87857142857142,70.29748921642604,20.8,21.214285714285715,20.11788577345996,0.5810000000000001,0.5316428571428571,0.5552702137521695,58.0,54.357142857142854,54.998991421437196,0.48860000000000003,0.4579285714285714,0.4692997868060613,28.4,24.928571428571427,25.88660766983855,0.30579999999999996,0.46092857142857147,0.31613600318128765,17.4,23.642857142857142,16.92841099325545,0.7788,0.7402142857142857,0.7817233201804153,13.0,17.357142857142858,12.76934096792181,2.8,1.2857142857142858,2.6756591982929434,200.0,200.0,200.0,121.1,109.68571428571428,115.42077075975197,39.18,32.91428571428572,36.65490844703364,9.6,8.714285714285714,9.053746950900162,17.4,20.5,16.20527521712978,80.6,75.42857142857143,74.11462545544411,11.419999999999998,11.049999999999999,11.427848999230395,7.6,7.642857142857143,7.329081999067945,0.422,0.3797142857142857,0.4259850500808181,24.4,20.857142857142858,23.378004958844606,0.4378,0.39192857142857146,0.4053435395462526,10.8,8.214285714285714,9.572069147845202,54.75999999999999,50.41428571428571,52.625227322192565,30.4,29.928571428571427,29.17163272436013,0.6075999999999999,0.5752142857142858,0.5887896705999978,15.319999999999999,16.67142857142857,16.226846002974305,11.8,12.857142857142858,11.908357340388367,33.6,33.5,31.620986462592594,0.5348,0.5059285714285714,0.5283307642177903,17.6,16.714285714285715,16.314538521993352,0.7846,0.8919285714285714,0.8004145709495507,10.2,6.857142857142857,10.308604969005655
