date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-22,"Virgin Islands Sport & Fitness Center , St. Thomas",Fordham,Nevada,Home,68.0,17,4.2,1,84.5,80.0,24,0.563,56,0.446,25,0.25,14,0.786,11,3,200,104.2,14.8,4,20,74,9.9,7,0.554,31,0.419,13,49.1,28,0.591,17.3,13,25,0.48,12,0.5,3,56.04,56.04,52.31358024691359,14.0,14.0,13.086419753086421,10.86,10.86,8.32345679012346,3.6,3.6,2.8148148148148158,104.62,104.62,110.0382716049383,78.47999999999999,78.47999999999999,77.09135802469136,26.6,26.6,25.345679012345684,0.5128,0.5128,0.5238765432098766,58.6,58.6,57.777777777777786,0.43900000000000006,0.43900000000000006,0.4523456790123458,25.4,25.4,25.67901234567902,0.3202,0.3202,0.29681481481481486,18.4,18.4,16.83950617283951,0.736,0.736,0.7429876543209878,13.0,13.0,12.098765432098766,1.6,1.6,1.888888888888889,200.0,200.0,200.0,97.92,97.92,98.02345679012348,21.439999999999998,21.439999999999998,22.97901234567901,6.6,6.6,6.814814814814817,21.0,21.0,20.135802469135808,72.6,72.6,71.9135802469136,7.040000000000001,7.040000000000001,6.5925925925925934,5.2,5.2,4.839506172839506,0.44580000000000003,0.44580000000000003,0.4247901234567902,26.4,26.4,25.000000000000004,0.34299999999999997,0.34299999999999997,0.34502469135802477,8.8,8.8,8.456790123456791,50.660000000000004,50.660000000000004,50.59135802469136,33.2,33.2,32.1604938271605,0.5426,0.5426,0.551962962962963,16.080000000000002,16.080000000000002,17.477777777777778,12.8,12.8,13.753086419753087,32.2,32.2,32.77777777777778,0.5154,0.5154,0.519888888888889,16.6,16.6,17.22222222222222,0.41340000000000005,0.41340000000000005,0.392641975308642,1.4,1.4,1.5061728395061729
2019-11-24,"Virgin Islands Sport & Fitness Center , St. Thomas",Valparaiso,Nevada,Home,46.9,15,10.3,4,78.7,72.2,26,0.597,62,0.516,32,0.226,14,0.714,10,3,200,112.0,23.1,6,18,84,9.3,7,0.371,23,0.435,10,51.6,32,0.612,15.0,12,39,0.564,22,0.571,4,57.5,58.03333333333334,57.54238683127573,14.0,14.5,14.390946502057615,8.92,9.75,6.948971193415641,2.8,3.1666666666666665,2.2098765432098775,101.0,101.26666666666667,101.52551440329222,80.03999999999999,78.73333333333333,78.06090534979424,26.2,26.166666666666668,24.89711934156379,0.5268,0.5211666666666667,0.5369176954732511,56.2,58.166666666666664,57.18518518518519,0.44580000000000003,0.44016666666666665,0.45023045267489725,24.8,25.333333333333332,25.452674897119348,0.3438,0.3085,0.28120987654320995,19.4,17.666666666666668,15.89300411522634,0.7376,0.7443333333333334,0.7573251028806586,13.8,12.666666666666666,11.732510288065845,2.0,1.8333333333333333,2.2592592592592595,200.0,200.0,200.0,99.53999999999999,98.96666666666665,100.082304526749,22.82,20.333333333333332,20.25267489711934,6.8,6.166666666666667,5.876543209876544,19.2,20.833333333333332,20.09053497942387,72.6,72.83333333333333,72.6090534979424,7.459999999999999,7.516666666666667,7.695061728395062,5.4,5.5,5.559670781893004,0.46840000000000004,0.4638333333333334,0.4678600823045268,26.6,27.166666666666668,27.000000000000004,0.3534,0.35566666666666663,0.36968312757201655,9.2,9.5,9.971193415637861,52.64000000000001,50.4,50.09423868312758,33.0,32.333333333333336,30.773662551440335,0.5584,0.5506666666666667,0.5649753086419753,18.0,16.283333333333335,17.41851851851852,14.2,12.833333333333334,13.502057613168727,29.6,31.0,30.185185185185187,0.522,0.5095000000000001,0.5065925925925927,15.6,15.833333333333334,15.481481481481483,0.5134000000000001,0.42783333333333334,0.4284279835390947,2.0,1.6666666666666667,2.004115226337449
2019-11-25,"Virgin Islands Sport & Fitness Center , St. Thomas",Nevada,Bowling Green State,Away,48.3,14,6.4,3,87.3,68.3,28,0.493,72,0.403,29,0.167,12,0.5,6,3,200,108.5,37.2,16,15,77,5.6,4,0.375,27,0.481,13,52.4,44,0.495,9.4,8,45,0.356,16,0.625,5,56.04,56.44285714285714,53.994924554183825,14.4,14.571428571428571,14.593964334705078,8.040000000000001,9.828571428571427,8.065980795610429,2.6,3.2857142857142856,2.8065843621399185,97.86,98.04285714285713,93.91700960219482,76.42,77.8,76.10727023319616,25.8,26.142857142857142,25.264746227709196,0.548,0.532,0.5569451303155007,57.4,58.714285714285715,58.79012345679013,0.46319999999999995,0.451,0.4721536351165982,26.4,26.285714285714285,27.63511659807957,0.31040000000000006,0.2967142857142857,0.26280658436214,17.8,17.142857142857142,15.262002743484228,0.7258,0.74,0.7428834019204391,12.4,12.285714285714286,11.155006858710564,2.4,2.0,2.5061728395061733,200.0,200.0,200.0,101.66,100.82857142857142,104.05486968449934,23.3,20.728571428571428,21.20178326474623,6.8,6.142857142857143,5.91769547325103,18.6,20.428571428571427,19.39368998628258,75.0,74.42857142857143,76.40603566529494,7.340000000000001,7.771428571428572,8.230041152263375,5.4,5.714285714285714,6.039780521262003,0.4354,0.45057142857142857,0.4355733882030179,25.2,26.571428571428573,25.66666666666667,0.3938,0.367,0.39145541838134434,9.8,9.571428571428571,9.980795610425242,51.620000000000005,50.57142857142857,50.596159122085055,32.6,32.285714285714285,31.182441700960226,0.5724,0.5594285714285714,0.5806502057613169,18.14,16.1,16.61234567901235,14.4,12.714285714285714,13.001371742112486,32.2,32.142857142857146,33.123456790123456,0.504,0.5172857142857142,0.5257283950617285,16.6,16.714285714285715,17.654320987654323,0.5276,0.4482857142857143,0.47595198902606317,2.6,2.0,2.6694101508916326
2019-12-04,"Lawlor Events Center, Reno, Nevada",Santa Clara,Nevada,Home,76.5,26,10.3,4,87.0,78.7,37,0.641,64,0.531,34,0.422,27,0.593,16,3,200,127.3,33.3,11,19,98,7.8,6,0.438,28,0.5,14,60.0,48,0.638,12.7,11,36,0.556,20,0.667,6,52.36,55.425000000000004,52.09661636945589,13.6,14.5,14.395976223136719,5.040000000000001,9.4,7.510653863740286,2.0,3.25,2.8710562414266123,97.3,96.7,91.71133973479655,74.35999999999999,76.6125,73.50484682213079,24.8,26.375,26.176497485139464,0.5362,0.527125,0.5356300868770005,60.2,60.375,63.19341563786009,0.4506,0.445,0.44910242341106554,26.8,26.625,28.090077732053047,0.2404,0.2805,0.23087105624142668,14.2,16.5,14.174668495656153,0.7192000000000001,0.71,0.6619222679469594,10.4,11.5,9.436671239140377,2.8,2.125,2.670781893004116,200.0,200.0,200.0,103.6,101.7875,105.53657978966623,25.9,22.7875,26.53452217649749,8.4,7.375,9.27846364883402,17.4,19.75,17.92912665752172,74.4,74.75,76.6040237768633,7.220000000000001,7.5,7.353360768175584,5.2,5.5,5.3598536808413355,0.438,0.441125,0.41538225880201196,26.4,26.625,26.111111111111118,0.39479999999999993,0.38125,0.4213036122542296,10.4,10.0,10.987197073616828,51.160000000000004,50.8,51.19743941472338,33.2,33.75,35.454961133973484,0.5606,0.551375,0.5521001371742112,16.360000000000003,15.262500000000001,14.2082304526749,12.8,12.125,11.334247828074991,33.8,33.75,37.08230452674897,0.48339999999999994,0.49712500000000004,0.4691522633744857,16.4,16.625,17.102880658436217,0.5192,0.470375,0.5256346593507089,3.2,2.375,3.446273433927755
2019-12-07,"Clune Arena , Colorado Springs, Colorado",Nevada,Air Force,Away,50.0,15,10.0,3,111.8,87.9,29,0.689,53,0.566,30,0.604,32,0.844,27,3,200,131.6,20.0,5,26,100,7.9,6,0.434,23,0.565,13,58.6,34,0.733,15.2,12,30,0.567,17,0.7,7,53.660000000000004,57.766666666666666,60.231077579637265,16.0,15.777777777777779,18.263984148757814,6.24,9.5,8.440435909160191,2.4,3.3333333333333335,3.2473708276177415,93.88,95.62222222222222,90.14089315653104,75.4,76.84444444444445,75.23656454808719,27.2,27.555555555555557,29.784331656759644,0.5808,0.5397777777777777,0.5707533912513337,60.8,60.77777777777778,63.46227709190673,0.49119999999999997,0.4545555555555556,0.47640161560737704,29.6,27.444444444444443,30.0600518213687,0.269,0.2962222222222222,0.29458070416095117,16.2,17.666666666666668,18.449778997104104,0.6614,0.697,0.6389481786313063,10.6,12.0,11.624447492760252,3.0,2.2222222222222223,2.780521262002744,200.0,200.0,200.0,110.97999999999999,104.62222222222222,112.79105319311083,28.339999999999996,23.955555555555556,28.789681450998327,9.0,7.777777777777778,9.85230909922268,17.4,19.666666666666668,18.286084438347814,80.8,77.33333333333333,83.7360158512422,7.6800000000000015,7.533333333333333,7.502240512117056,5.6,5.555555555555555,5.573235787227557,0.4076000000000001,0.44077777777777777,0.42292150586800803,24.8,26.77777777777778,26.740740740740748,0.43360000000000004,0.39444444444444443,0.4475357415028197,11.0,10.444444444444445,11.991464715744552,54.0,51.82222222222222,54.13162627648226,36.2,35.333333333333336,39.63664075598233,0.5926,0.561,0.5807334247828075,16.139999999999997,14.97777777777778,13.705486968449934,12.8,12.0,11.222831885383329,36.0,34.0,36.72153635116598,0.5226000000000001,0.5036666666666667,0.4981015089163238,18.6,17.0,18.068587105624147,0.5526,0.49222222222222217,0.5727564395671393,4.0,2.7777777777777777,4.297515622618503
2019-12-10,"Marriott Center, Provo, Utah",Nevada,BYU,Home,31.3,5,16.1,5,104.2,72.5,29,0.269,65,0.246,16,0.185,12,0.583,7,4,200,58.3,17.4,8,13,42,5.6,4,0.354,23,0.13,3,43.0,37,0.297,12.5,10,42,0.31,13,0.636,7,57.94,56.989999999999995,56.82071838642484,17.4,15.7,17.17598943250521,8.24,9.55,8.960290606106796,3.0,3.3,3.164913885078495,89.86,97.24,97.36059543768737,77.42,77.95,79.4577096987248,28.8,27.7,29.522887771173096,0.5965999999999999,0.5547,0.6101689275008891,61.4,60.0,59.974851394604485,0.49239999999999995,0.4657,0.5062677437382515,30.0,27.7,30.040034547579136,0.3338,0.327,0.3977204694406341,19.8,19.1,22.966519331402736,0.6874,0.7117,0.7072987857542042,14.0,13.5,16.74963166184017,3.0,2.3,2.853680841335163,200.0,200.0,200.0,116.71999999999998,107.32000000000001,119.06070212874056,25.679999999999996,23.56,25.859787633998884,8.4,7.5,8.23487273281512,19.6,20.3,20.85738962556521,86.6,79.6,89.15734390082814,8.100000000000001,7.57,7.634827008078037,6.0,5.6,5.715490524818372,0.4344,0.4401,0.4266143372453387,26.4,26.4,25.493827160493836,0.48,0.41150000000000003,0.48669049433521316,12.6,10.7,12.327643143829702,54.339999999999996,52.5,55.62108418432151,37.2,35.2,37.75776050398822,0.6138,0.5782,0.6314889498552051,13.919999999999998,15.0,14.203657978966623,11.2,12.0,11.481887923588886,35.0,33.6,34.481024234110656,0.5046,0.51,0.5210676726108826,17.4,17.0,17.712391403749432,0.6126,0.513,0.6151709597114262,5.0,3.2,5.198343748412336
2019-12-18,"Lawlor Events Center, Reno, Nevada",Texas Southern,Nevada,Home,70.4,19,8.2,4,90.1,74.0,37,0.544,57,0.474,27,0.544,31,0.935,29,4,200,112.3,24.0,6,24,91,4.9,4,0.404,23,0.348,8,57.3,43,0.634,16.5,14,34,0.559,19,0.667,8,50.6,54.654545454545456,48.31381225761656,15.0,14.727272727272727,13.117326288336809,10.620000000000001,10.145454545454545,11.340193737404531,3.8,3.4545454545454546,3.776609256718997,93.8,97.87272727272726,99.64039695845825,75.92,77.45454545454545,77.1384731324832,29.8,27.818181818181817,29.34859184744873,0.5378000000000001,0.5287272727272727,0.49644595166725947,63.2,60.45454545454545,61.649900929736326,0.4523999999999999,0.44572727272727275,0.41951182915883434,28.2,26.636363636363637,25.360023031719425,0.32080000000000003,0.3140909090909091,0.3268136462937561,19.4,18.454545454545453,19.311012887601827,0.6468,0.7000000000000001,0.6658658571694696,13.2,12.909090909090908,13.49975444122678,3.2,2.4545454545454546,3.2357872275567754,200.0,200.0,200.0,107.53999999999999,102.86363636363636,98.80713475249371,26.2,23.0,23.039858422665922,9.2,7.545454545454546,8.156581821876747,18.2,19.636363636363637,18.23825975037681,80.2,76.18181818181819,73.43822926721876,7.24,7.390909090909091,6.9565513387186915,5.4,5.454545454545454,5.143660349878915,0.3944,0.43227272727272725,0.40240955816355917,24.8,26.09090909090909,24.662551440329224,0.42219999999999996,0.3859090909090909,0.36779366289014215,10.6,10.0,9.218428762553136,53.120000000000005,51.63636363636363,51.41405612288101,39.0,35.36363636363637,37.50517366932549,0.5549999999999999,0.5526363636363636,0.5199926332368034,12.959999999999999,14.772727272727273,13.63577198597775,10.6,11.818181818181818,10.987925282392592,38.4,34.36363636363637,36.98734948940711,0.4706,0.4918181818181818,0.45071178174058846,17.6,16.636363636363637,16.14159426916629,0.6397999999999999,0.5241818181818182,0.6221139731409508,5.8,3.5454545454545454,5.798895832274891
2019-12-21,"Chase Center, San Francisco, California",Nevada,Saint Mary's,Home,45.8,11,7.7,3,101.5,75.8,25,0.482,56,0.429,24,0.161,9,1.0,9,5,200,94.0,25.0,7,22,63,3.0,2,0.286,16,0.375,6,52.5,32,0.523,20.0,15,40,0.45,18,0.615,8,55.3,55.96666666666667,55.67587483841105,15.8,15.083333333333334,15.078217525557875,10.2,9.983333333333333,10.293462491603021,3.8,3.5,3.851072837812665,96.08,97.22500000000001,96.46026463897218,76.28,77.16666666666667,76.09231542165547,32.0,28.583333333333332,31.899061231632487,0.5271999999999999,0.53,0.5122973011115064,62.2,60.166666666666664,60.09993395315755,0.44399999999999995,0.44808333333333333,0.43767455277255624,27.2,26.666666666666668,25.906682021146285,0.3844,0.33325,0.3992090975291708,22.8,19.5,23.207341925067887,0.6910000000000001,0.7195833333333334,0.7555772381129797,17.0,14.25,18.666502960817855,3.4,2.5833333333333335,3.490524818371184,200.0,200.0,200.0,107.6,103.64999999999999,103.30475650166247,26.379999999999995,23.083333333333332,23.359905615110616,9.2,7.416666666666667,7.437721214584498,19.4,20.0,20.15883983358454,81.6,77.41666666666667,79.2921528448125,6.360000000000001,7.183333333333334,6.271034225812462,4.8,5.333333333333333,4.76244023325261,0.40099999999999997,0.42991666666666667,0.4029397054423728,24.8,25.833333333333332,24.10836762688615,0.4048,0.38275,0.3611957752600948,10.2,9.833333333333334,8.812285841702092,54.260000000000005,52.10833333333333,53.376037415254004,41.2,36.0,39.33678244621699,0.5594,0.5594166666666667,0.5579950888245356,13.26,14.916666666666666,14.5905146573185,11.0,12.0,11.991950188261729,37.4,34.333333333333336,35.99156632627141,0.46959999999999996,0.4974166666666667,0.4868078544937257,17.0,16.833333333333332,17.094396179444196,0.659,0.5360833333333334,0.6370759820939673,6.6,3.9166666666666665,6.532597221516594
2020-01-01,"Lawlor Events Center, Reno, Nevada",Colorado State,Nevada,Home,60.0,15,19.0,8,81.3,85.3,29,0.492,60,0.417,25,0.15,9,0.889,8,5,200,89.3,16.7,5,19,67,6.7,5,0.433,26,0.346,9,53.1,34,0.521,18.0,14,34,0.471,16,0.643,9,54.8,55.184615384615384,52.383916558940705,15.2,14.76923076923077,13.718811683705251,10.46,9.807692307692308,9.428974994402015,3.8,3.4615384615384617,3.5673818918751103,98.92,97.55384615384615,98.14017642598145,77.78,77.06153846153846,75.99487694777031,31.4,28.307692307692307,29.59937415442166,0.525,0.5263076923076923,0.5021982007410043,59.0,59.84615384615385,58.733289302105035,0.4492,0.44661538461538464,0.43478303518170414,26.2,26.46153846153846,25.27112134743086,0.38320000000000004,0.32,0.3198060650194472,22.2,18.692307692307693,18.47156128337859,0.791,0.7411538461538462,0.8370514920753198,17.6,13.846153846153847,15.444335307211905,3.8,2.769230769230769,3.993683212247456,200.0,200.0,200.0,104.7,102.9076923076923,100.20317100110832,23.939999999999998,23.23076923076923,23.90660374340708,7.4,7.384615384615385,7.291814143056333,20.8,20.153846153846153,20.77255988905636,78.8,76.3076923076923,73.86143522987501,5.840000000000001,6.861538461538462,5.180689483874976,4.4,5.076923076923077,3.841626822168407,0.3832,0.41884615384615387,0.36395980362824853,22.6,25.076923076923077,21.4055784179241,0.38360000000000005,0.3821538461538462,0.36579718350672985,8.8,9.538461538461538,7.874857227801395,54.279999999999994,52.138461538461534,53.084024943502676,38.8,35.69230769230769,36.891188297477996,0.5650000000000001,0.5566153846153846,0.5463300592163571,15.38,15.307692307692308,16.393676438212335,12.4,12.23076923076923,12.994633458841154,36.4,34.76923076923077,37.327710884180945,0.48840000000000006,0.4937692307692308,0.47453856966248387,17.4,16.923076923076923,17.396264119629464,0.657,0.5421538461538462,0.6297173213959782,7.2,4.230769230769231,7.021731481011063
2020-01-04,"Lawlor Events Center, Reno, Nevada",Boise State,Nevada,Home,63.6,21,9.4,3,100.0,76.3,29,0.678,59,0.559,33,0.102,6,0.5,3,5,200,125.8,34.8,8,20,83,1.5,1,0.492,29,0.483,14,60.7,37,0.671,17.4,13,30,0.633,19,0.667,10,51.5,55.528571428571425,54.922611039293805,13.0,14.785714285714286,14.145874455803503,12.2,10.464285714285714,12.619316662934677,4.6,3.7857142857142856,5.044921261250074,97.78,96.39285714285714,92.52678428398764,79.1,77.64999999999999,79.09658463184687,29.8,28.357142857142858,29.39958276961444,0.4952,0.5238571428571428,0.4987988004940029,58.2,59.857142857142854,59.15552620140336,0.42639999999999995,0.4445,0.42885535678780273,24.4,26.357142857142858,25.180747564953908,0.32880000000000004,0.3078571428571429,0.26320404334629816,18.6,18.0,15.314374188919063,0.8501999999999998,0.7517142857142858,0.8543676613835466,16.0,13.428571428571429,12.962890204807938,4.2,2.9285714285714284,4.3291221414983045,200.0,200.0,200.0,97.1,101.93571428571428,96.56878066740555,20.619999999999997,22.764285714285712,21.504402495604722,6.2,7.214285714285714,6.527876095370889,20.8,20.071428571428573,20.18170659270424,72.6,75.64285714285714,71.57429015325002,5.62,6.8500000000000005,5.6871263225833175,4.2,5.071428571428571,4.227751214778938,0.3822,0.4198571428571429,0.3869732024188324,22.2,25.142857142857142,22.93705227861607,0.3528,0.37957142857142856,0.3591981223378199,7.8,9.5,8.249904818534265,52.9,52.207142857142856,53.08934996233512,36.0,35.57142857142857,35.92745886498533,0.5416000000000001,0.5540714285714285,0.5378867061442382,16.439999999999998,15.5,16.92911762547489,13.0,12.357142857142858,13.329755639227436,36.0,34.714285714285715,36.2184739227873,0.47140000000000004,0.4921428571428571,0.47335904644165594,16.6,16.857142857142858,16.930842746419643,0.6522,0.5493571428571429,0.6341448809306522,7.8,4.571428571428571,7.681154320674042
