date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-12-01,"Echols Memorial Hall, Norfolk, Virginia",Niagara,Norfolk State,Away,68.2,15,6.3,2,89.7,68.6,24,0.473,55,0.4,22,0.364,20,0.65,13,5,200,95.6,18.2,6,15,65,7.4,5,0.509,28,0.286,8,44.1,30,0.504,12.4,9,27,0.519,14,0.167,1,48.12,48.12,44.91975308641976,11.0,11.0,10.592592592592593,4.46,4.46,4.265432098765432,1.6,1.6,1.432098765432099,112.04,112.04,108.94074074074075,66.26,66.26,66.94567901234569,19.0,19.0,19.38271604938272,0.4652,0.4652,0.4597530864197531,57.0,57.0,58.271604938271615,0.41900000000000004,0.41900000000000004,0.4188518518518519,23.6,23.6,24.148148148148152,0.213,0.213,0.19638271604938276,10.8,10.8,10.308641975308642,0.6856,0.6856,0.6930617283950617,7.6,7.6,7.271604938271605,3.0,3.0,3.3950617283950617,200.0,200.0,200.0,83.22,83.22,83.49012345679013,18.72,18.72,18.006172839506178,5.6,5.6,5.518518518518519,17.4,17.4,16.19753086419753,59.8,59.8,60.12345679012346,6.659999999999999,6.659999999999999,6.695061728395062,4.8,4.8,4.839506172839506,0.3242,0.3242,0.3192222222222223,18.0,18.0,18.172839506172842,0.2824,0.2824,0.25686419753086426,5.0,5.0,4.555555555555555,41.08,41.08,41.1641975308642,24.6,24.6,24.90123456790124,0.48179999999999995,0.48179999999999995,0.47767901234567905,18.82,18.82,17.969135802469136,14.2,14.2,13.654320987654323,39.0,39.0,40.09876543209877,0.48439999999999994,0.48439999999999994,0.4970370370370371,18.6,18.6,19.592592592592595,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-08,"Gallagher Center, Niagara University, New York",Colgate,Niagara,Home,42.4,14,6.5,2,103.8,73.7,28,0.615,61,0.541,33,0.377,23,0.783,18,5,225,117.7,10.7,3,11,93,16.5,13,0.361,22,0.409,9,47.0,31,0.647,13.4,11,39,0.615,24,0.286,2,52.48,51.46666666666667,52.67983539094651,11.4,11.666666666666666,12.06172839506173,5.720000000000001,4.766666666666667,4.943621399176955,2.0,1.6666666666666667,1.6213991769547327,109.7,108.31666666666666,102.52716049382718,65.36,66.64999999999999,67.4971193415638,20.0,19.833333333333332,20.92181069958848,0.4614,0.46649999999999997,0.46416872427983547,55.6,56.666666666666664,57.18106995884774,0.4086,0.41583333333333333,0.412567901234568,22.4,23.333333333333332,23.4320987654321,0.27280000000000004,0.23816666666666667,0.2522551440329218,14.0,12.333333333333334,13.539094650205762,0.6656000000000001,0.6796666666666668,0.6787078189300413,9.6,8.5,9.181069958847736,3.8,3.3333333333333335,3.9300411522633745,200.0,200.0,200.0,84.32000000000001,85.28333333333333,87.52674897119343,20.3,18.633333333333333,18.070781893004117,6.2,5.666666666666667,5.679012345679013,17.0,17.0,15.798353909465023,60.0,60.666666666666664,61.74897119341564,6.74,6.783333333333334,6.930041152263375,4.8,4.833333333333333,4.893004115226338,0.3776,0.355,0.38248148148148153,20.6,19.666666666666668,21.448559670781897,0.273,0.283,0.2665761316872428,5.6,5.5,5.703703703703704,41.9,41.583333333333336,42.14279835390947,26.2,25.5,26.600823045267497,0.4824,0.48550000000000004,0.4864526748971194,18.36,17.75,16.11275720164609,13.8,13.333333333333334,12.102880658436217,35.0,37.0,35.73251028806585,0.4904,0.49016666666666664,0.5043580246913582,16.8,17.833333333333332,17.7283950617284,0.0334,0.027833333333333335,0.05566666666666667,0.2,0.16666666666666666,0.3333333333333333
2019-12-14,"SEFCU Arena, Albany, New York",Niagara,Albany (NY),Home,50.0,14,3.2,1,125.4,73.7,14,0.588,57,0.491,28,0.246,14,0.929,13,6,200,119.4,14.3,4,23,80,9.0,6,0.439,25,0.44,11,38.3,18,0.628,11.2,8,32,0.531,17,0.25,2,48.459999999999994,50.17142857142857,49.25322359396434,12.2,12.0,12.707818930041153,5.0200000000000005,5.014285714285714,5.46241426611797,1.6,1.7142857142857142,1.7475994513031554,103.58,107.67142857142858,102.95144032921813,66.46,67.65714285714286,69.56474622770921,22.6,21.0,23.281207133058988,0.5132,0.48771428571428566,0.514445816186557,57.4,57.285714285714285,58.454046639231834,0.45520000000000005,0.4337142857142857,0.4553786008230454,25.8,24.714285714285715,26.621399176954736,0.3366,0.258,0.2938367626886146,18.0,13.857142857142858,16.692729766803843,0.6888000000000001,0.6944285714285714,0.7134718792866943,12.8,9.857142857142858,12.12071330589849,4.4,3.5714285714285716,4.286694101508917,205.0,203.57142857142858,208.33333333333334,95.67999999999999,89.91428571428571,97.58449931412896,18.919999999999998,17.5,15.613854595336079,5.6,5.285714285714286,4.786008230452675,16.0,16.142857142857142,14.198902606310016,70.8,65.28571428571429,72.16598079561044,9.1,8.171428571428573,10.12002743484225,6.8,6.0,7.595336076817558,0.37679999999999997,0.35585714285714287,0.3753209876543211,21.2,20.0,21.632373113854598,0.30219999999999997,0.30100000000000005,0.3140507544581619,6.4,6.0,6.80246913580247,43.8,42.357142857142854,43.761865569272985,28.2,26.285714285714285,28.067215363511664,0.5388,0.5085714285714286,0.539968449931413,16.639999999999997,17.12857142857143,15.208504801097394,13.0,13.0,11.735253772290811,36.2,37.285714285714285,36.821673525377236,0.5468,0.508,0.5412386831275722,19.4,18.714285714285715,19.818930041152267,0.09059999999999999,0.06471428571428571,0.13244444444444445,0.6,0.42857142857142855,0.8888888888888888
2019-12-18,"Reilly Center, St. Bonaventure, New York",Niagara,St. Bonaventure,Home,66.7,14,3.1,1,126.1,66.7,18,0.49,51,0.412,21,0.412,21,0.952,20,7,200,101.4,6.5,2,18,70,7.2,5,0.471,24,0.333,8,34.5,20,0.574,13.0,9,27,0.481,13,0.222,2,45.66,50.15,49.5021490626429,11.8,12.25,13.138545953360769,5.180000000000001,4.7875,4.708276177411981,1.6,1.625,1.4983996342021038,105.23999999999998,109.8875,110.4342935528121,70.02000000000001,68.4125,70.94316415180614,21.6,20.125,20.187471422039327,0.502,0.50025,0.5389638774577047,59.8,57.25,57.96936442615456,0.44220000000000004,0.440875,0.467252400548697,26.4,25.125,27.08093278463649,0.2524,0.2565,0.2778911751257431,14.8,13.875,15.79515317786923,0.728,0.72375,0.7853145861911296,11.0,10.25,12.413808870598995,5.0,3.875,4.857796067672611,205.0,203.125,205.55555555555557,98.5,93.6,104.85633287608599,15.779999999999998,17.1,15.175903063557389,5.2,5.125,4.52400548696845,15.0,17.0,17.13260173754001,70.8,67.125,74.77732053040697,9.320000000000002,8.275,9.7466849565615,6.8,6.0,7.06355738454504,0.3846,0.36625,0.39654732510288077,22.6,20.625,22.7549154092364,0.3014,0.318375,0.3560338363054413,7.0,6.625,8.20164609053498,42.2,41.85,41.94124371284866,26.8,25.25,24.71147690900778,0.5294000000000001,0.5235,0.5693122999542753,13.579999999999998,16.3875,13.87233653406493,10.4,12.375,10.490169181527207,37.2,36.625,35.21444901691816,0.5269999999999999,0.510875,0.5378257887517148,19.4,18.5,18.879286694101513,0.1406,0.08787500000000001,0.17162962962962963,1.0,0.625,1.2592592592592593
2019-12-21,"Alumni Arena, Buffalo, New York",Niagara,Buffalo,Home,37.9,11,10.3,3,127.8,57.1,12,0.471,69,0.42,29,0.116,8,0.875,7,8,200,100.0,23.1,9,7,72,15.3,11,0.29,20,0.35,7,35.0,21,0.495,9.9,8,49,0.449,22,0.2,2,54.56,51.98888888888889,55.23476604176194,13.4,12.444444444444445,13.425697302240513,5.119999999999999,4.6,4.172184118274654,1.6,1.5555555555555556,1.3322664228014025,111.0,111.6888888888889,115.65619570187474,70.38000000000001,68.22222222222223,69.5287761012041,20.4,19.88888888888889,19.458314281359552,0.5172,0.4991111111111111,0.5226425849718032,56.0,56.55555555555556,55.64624295076971,0.4474,0.43766666666666665,0.44883493369913136,25.2,24.666666666666668,25.053955189757662,0.31199999999999994,0.2737777777777778,0.3225941167504954,17.4,14.666666666666666,17.530102118579485,0.8184000000000001,0.7491111111111111,0.8408763907940864,14.2,11.333333333333334,14.942539247065998,5.6,4.222222222222222,5.571864045115074,205.0,202.77777777777777,203.70370370370372,102.24,94.46666666666667,103.70422191739067,13.279999999999998,15.922222222222224,12.283935375704926,4.0,4.777777777777778,3.682670324645634,15.8,17.11111111111111,17.421734491693343,72.4,67.44444444444444,73.18488035360465,9.16,8.155555555555557,8.897789971041,6.6,5.888888888888889,6.3757049230300264,0.4274,0.3778888888888889,0.4213648834019205,23.8,21.0,23.169943606157602,0.3236,0.32,0.3483558908702942,7.8,6.777777777777778,8.134430727023322,41.0,41.03333333333333,39.46082914189911,24.4,24.666666666666668,23.14098460600519,0.5602,0.5291111111111112,0.5708748666361836,13.779999999999998,16.01111111111111,13.58155768937662,10.2,12.0,9.993446121018138,32.2,35.55555555555556,32.47629934461211,0.5347999999999999,0.5075555555555555,0.51888385916781,17.4,17.88888888888889,16.919524462734344,0.185,0.10277777777777779,0.18841975308641978,1.4,0.7777777777777778,1.5061728395061729
2019-12-28,"Carrier Dome, Syracuse, New York",Niagara,Syracuse,Home,72.7,16,17.2,5,104.4,64.3,18,0.368,68,0.324,22,0.132,9,0.778,7,9,200,83.8,27.7,13,17,57,19.1,13,0.397,27,0.222,6,41.3,31,0.394,11.1,9,41,0.39,16,0.182,2,53.04,50.58,49.45651069450796,13.6,12.3,12.61713153482701,5.88,5.17,6.214789412183103,1.8,1.7,1.888177615200935,114.55999999999999,113.3,119.7041304679165,67.96000000000001,67.11,65.38585073413607,19.2,19.1,16.972209520906368,0.5273999999999999,0.4963,0.5054283899812021,58.6,57.8,60.097495300513145,0.45280000000000004,0.4359,0.4392232891327542,26.6,25.1,26.36930345983844,0.30300000000000005,0.258,0.25372941116699693,17.2,14.0,14.353401412386324,0.8378,0.7617,0.8522509271960577,14.2,10.9,12.295026164710666,6.2,4.6,6.381242696743383,205.0,202.5,202.46913580246917,106.82000000000001,95.02000000000001,102.46948127826045,14.559999999999999,16.64,15.889290250469951,4.8,5.2,5.455113549763756,14.8,16.1,13.947822994462229,76.0,67.9,72.78992023573645,11.080000000000002,8.870000000000001,11.031859980694001,8.0,6.4,7.917136615353352,0.414,0.3691,0.37757658893461366,23.8,20.9,22.113295737438403,0.36360000000000003,0.323,0.3489039272468628,8.6,6.8,7.756287151348881,39.779999999999994,40.43,37.97388609459941,24.0,24.3,22.427323070670127,0.5696,0.5257,0.5455832444241224,11.98,15.4,12.354371792917746,9.0,11.6,9.328964080678759,34.8,36.9,37.98419956307474,0.5189999999999999,0.5017,0.4955892394452067,18.0,18.3,18.613016308489563,0.225,0.1125,0.19227983539094656,1.8,0.9,1.6707818930041154
2020-01-03,"Gallagher Center, Niagara University, New York",Fairfield,Niagara,Home,57.1,16,0.0,0,103.1,48.6,18,0.625,52,0.538,28,0.25,13,0.769,10,9,200,117.2,20.8,5,15,75,12.5,8,0.385,20,0.45,9,37.7,23,0.645,14.8,10,32,0.594,19,0.25,3,53.94000000000001,52.59090909090909,57.204340463005316,13.8,12.636363636363637,13.74475435655134,8.06,6.263636363636365,9.876526274788734,2.4,2.0,2.92545174346729,117.5,112.4909090909091,114.60275364527767,67.1,66.85454545454546,65.02390048942405,18.0,19.0,17.314806347270913,0.5064,0.4846363636363636,0.45961892665413473,61.2,58.72727272727273,62.73166353367543,0.43760000000000004,0.42572727272727273,0.40081552608850285,26.6,24.818181818181817,24.912868973225628,0.2566,0.24654545454545457,0.21315294077799796,15.0,13.545454545454545,12.568934274924217,0.8634000000000001,0.7631818181818182,0.8275006181307052,13.0,10.545454545454545,10.530017443140444,7.0,5.0,7.254161797828923,205.0,202.27272727272728,201.64609053497946,104.46,94.0,96.24632085217362,16.46,17.645454545454545,19.826193500313302,6.2,5.909090909090909,7.970075699842504,15.2,16.181818181818183,14.965215329641486,74.4,66.9090909090909,67.52661349049097,13.420000000000002,9.8,13.721239987129335,9.6,7.0,9.611424410235568,0.39160000000000006,0.37163636363636365,0.3840510592897425,23.6,21.454545454545453,23.74219715829227,0.3508,0.31381818181818183,0.30660261816457524,8.2,6.7272727272727275,7.170858100899255,39.22,40.50909090909091,39.08259072973294,24.2,24.90909090909091,25.28488204711342,0.5476000000000001,0.5137272727272727,0.49505549628274836,11.719999999999999,15.009090909090908,11.936247861945164,9.0,11.363636363636363,9.219309387119173,37.6,37.27272727272727,38.98946637538316,0.4932,0.49154545454545456,0.4603928262968045,18.4,18.09090909090909,17.742010872326375,0.22799999999999998,0.11881818181818181,0.1888532235939644,2.0,1.0,1.7805212620027437
2020-01-05,"Gallagher Center, Niagara University, New York",Manhattan,Niagara,Away,43.5,10,5.9,2,104.7,67.6,23,0.466,59,0.39,23,0.169,10,0.7,7,10,200,96.9,24.2,8,16,62,6.3,4,0.373,22,0.409,9,46.3,31,0.486,11.2,8,37,0.378,14,0.231,3,56.88000000000001,52.96666666666667,57.16956030867021,14.2,12.916666666666666,14.49650290436756,6.760000000000001,5.741666666666667,6.584350849859157,2.0,1.8333333333333333,1.950301162311527,117.35999999999999,111.70833333333333,110.76850243018512,62.08,65.33333333333333,59.54926699294937,16.0,18.916666666666668,17.543204231513943,0.5084,0.4963333333333333,0.5147459511027566,59.4,58.166666666666664,59.15444235578363,0.437,0.4350833333333333,0.44654368405900197,25.6,25.083333333333332,25.941912648817087,0.2312,0.24683333333333335,0.22543529385199867,13.0,13.5,12.71262284994948,0.8606,0.7636666666666666,0.8080004120871368,11.4,10.5,10.35334496209363,7.8,5.333333333333333,7.836107865219282,200.0,202.08333333333334,201.09739368998632,104.35999999999999,95.93333333333334,103.23088056811575,18.479999999999997,17.908333333333335,20.15079566687554,6.6,5.833333333333333,6.98005046656167,16.0,16.083333333333332,14.976810219760992,70.8,67.58333333333333,70.01774232699398,12.620000000000001,10.025,13.314159991419558,8.6,7.083333333333333,9.074282940157046,0.3964,0.37274999999999997,0.38436737285982836,23.2,21.333333333333332,22.494798105528183,0.359,0.32516666666666666,0.35440174544305014,8.2,6.916666666666667,7.780572067266171,37.36,40.275,38.6217271531553,22.6,24.75,24.52325469807562,0.5471999999999999,0.5246666666666667,0.5450369975218323,12.0,14.991666666666667,12.890831907963443,8.8,11.25,9.479539591412783,36.2,36.833333333333336,36.65964425025544,0.489,0.5000833333333333,0.5049285508645364,17.4,18.166666666666668,18.161340581550917,0.22080000000000002,0.12975,0.20923548239597628,2.2,1.1666666666666667,2.187014174668496
2020-01-10,"TD Bank Sports Center, Hamden, Connecticut",Niagara,Quinnipiac,Home,43.5,10,22.6,7,97.1,61.8,21,0.427,62,0.371,23,0.065,4,0.75,3,11,200,81.2,7.7,3,17,56,11.6,8,0.403,25,0.28,7,32.9,24,0.438,11.1,8,37,0.432,16,0.214,3,55.580000000000005,52.23846153846154,52.613040205780145,13.4,12.692307692307692,12.997668602911709,7.3,5.753846153846154,6.356233899906106,2.2,1.8461538461538463,1.9668674415410181,113.22,111.16923076923078,108.74566828679008,60.85999999999999,65.50769230769231,62.23284466196625,17.8,19.23076923076923,19.36213615434263,0.484,0.494,0.49849730073517107,59.8,58.23076923076923,59.102961570522424,0.4168,0.4316153846153846,0.427695789372668,24.6,24.923076923076923,24.96127509921139,0.2158,0.24084615384615388,0.20662352923466581,12.2,13.23076923076923,11.808415233299655,0.8148,0.7587692307692309,0.7720002747247579,10.2,10.23076923076923,9.23556330806242,8.6,5.6923076923076925,8.557405243479522,200.0,201.92307692307693,200.73159579332423,99.86000000000001,96.0076923076923,101.1205870454105,20.46,18.392307692307693,21.500530444583696,7.4,6.0,7.320033644374448,14.6,16.076923076923077,15.317873479840664,67.2,67.15384615384616,67.34516155132933,12.080000000000002,9.73846153846154,10.976106660946373,8.2,6.846153846153846,7.3828552934380305,0.3832,0.3727692307692308,0.380578248573219,22.6,21.384615384615383,22.329865403685456,0.3528,0.3316153846153846,0.3726011636287001,7.8,7.076923076923077,8.187048044844115,38.959999999999994,40.73846153846154,41.18115143543687,25.2,25.23076923076923,26.68216979871708,0.5187999999999999,0.5216923076923077,0.5253579983478882,12.0,14.7,12.32722127197563,8.8,11.0,8.986359727608523,37.2,36.84615384615385,36.773096166836964,0.4584,0.49069230769230765,0.46261903390969095,16.8,17.846153846153847,16.77422705436728,0.21700000000000003,0.13753846153846155,0.21649032159731751,2.4,1.3076923076923077,2.4580094497789977
2020-01-12,"Hynes Athletics Center, New Rochelle, New York",Niagara,Iona,Away,58.3,14,11.8,4,100.0,66.7,24,0.516,61,0.393,24,0.164,10,0.7,7,11,200,101.4,22.5,9,16,70,10.1,7,0.426,26,0.577,15,43.4,33,0.532,13.3,10,35,0.257,9,0.267,4,50.94,51.614285714285714,49.57536013718677,12.6,12.5,11.998445735274473,11.2,6.957142857142857,11.770822599937404,3.4,2.2142857142857144,3.6445782943606786,107.42,110.16428571428571,104.86377885786005,59.879999999999995,65.24285714285715,62.08856310797751,18.4,19.357142857142858,19.908090769561753,0.47140000000000004,0.4892142857142857,0.47466486715678075,62.0,58.5,60.06864104701495,0.4086,0.4272857142857143,0.408797192915112,25.0,24.785714285714285,24.3075167328076,0.14640000000000003,0.2282857142857143,0.1594156861564439,8.8,12.571428571428571,9.205610155533105,0.7744,0.7581428571428572,0.7646668498165053,6.8,9.714285714285714,7.157042205374948,9.4,6.071428571428571,9.371603495653016,200.0,201.78571428571428,200.48773052888282,95.82000000000001,94.95,94.48039136360701,20.7,17.62857142857143,16.900353629722467,7.6,5.785714285714286,5.880022429582966,14.4,16.142857142857142,15.878582319893777,64.4,66.35714285714286,63.56344103421955,12.959999999999999,9.87142857142857,11.184071107297584,8.8,6.928571428571429,7.588570195625355,0.3696,0.3749285714285714,0.3880521657154794,22.8,21.642857142857142,23.219910269123638,0.3422,0.32792857142857146,0.3417341090858001,7.6,7.071428571428571,7.79136536322941,38.64,40.17857142857143,38.420767623624585,26.0,25.142857142857142,25.78811319914472,0.49160000000000004,0.5157142857142857,0.49623866556525886,11.62,14.442857142857141,11.91814751465042,8.6,10.785714285714286,8.657573151739015,39.2,36.857142857142854,36.84873077789131,0.4486,0.4865,0.4524126892731273,17.4,17.714285714285715,16.51615136957819,0.21540000000000004,0.14300000000000002,0.2156602143982117,2.6,1.4285714285714286,2.638672966519332
