date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2010-12-04,"Memorial Gym, Moscow, Idaho",North Dakota,Eastern Michigan,Away,42.9,6,6.7,2,76.6,72.7,24,0.33,47,0.298,14,0.596,28,0.821,23,4,200.0,84.4,25.0,8,17,54,3.1,2,0.255,12.0,0.25,3.0,49.2,32,0.448,16.8,12,35.0,0.314,11.0,0.429,3,39.9,39.9,39.7,7.2,7.2,6.950617283950618,6.74,6.74,5.391358024691359,2.2,2.2,1.851851851851852,107.92,107.92,108.47901234567902,69.02000000000001,69.02000000000001,65.29012345679013,18.0,18.0,17.259259259259263,0.43520000000000003,0.43520000000000003,0.41132098765432107,49.8,49.8,51.22222222222222,0.3696,0.3696,0.3514197530864198,18.2,18.2,17.740740740740744,0.32120000000000004,0.32120000000000004,0.2685185185185186,15.6,15.6,13.370370370370374,0.7902,0.7902,0.7945925925925927,11.6,11.6,9.888888888888891,2.2,2.2,2.5925925925925926,200.0,200.0,200.0,85.25999999999999,85.25999999999999,81.10493827160495,24.7,24.7,23.690123456790126,7.8,7.8,7.765432098765434,18.2,18.2,16.97530864197531,54.4,54.4,51.38271604938272,10.540000000000001,10.540000000000001,11.060493827160496,6.8,6.8,7.074074074074075,0.4394,0.4394,0.4340493827160494,21.8,21.8,22.283950617283956,0.2976,0.2976,0.27749382716049387,6.4,6.4,6.012345679012347,45.339999999999996,45.339999999999996,42.91728395061729,25.8,25.8,25.024691358024693,0.47919999999999996,0.47919999999999996,0.4506543209876544,20.02,20.02,19.311111111111114,14.2,14.2,13.679012345679014,28.0,28.0,28.938271604938276,0.4298,0.4298,0.41124691358024695,11.8,11.8,11.728395061728396,0.48,0.48,0.438604938271605,1.8,1.8,1.8024691358024696
2010-12-05,"Memorial Gym, Moscow, Idaho",Monmouth,North Dakota,Away,60.0,12,6.7,2,95.0,76.0,19,0.462,52,0.385,20,0.096,5,0.8,4,5,200.0,86.7,19.2,5,16,52,11.7,7,0.404,21.0,0.381,8.0,47.1,24,0.478,16.9,11,31.0,0.387,12.0,0.375,3,42.92,40.4,40.76666666666667,7.4,7.0,6.6337448559670795,7.56,6.733333333333333,5.827572016460906,2.4,2.1666666666666665,1.901234567901235,96.67999999999999,102.7,97.85267489711936,73.03999999999999,69.63333333333334,67.76008230452675,20.8,19.0,19.506172839506178,0.41600000000000004,0.41766666666666663,0.3842139917695474,49.8,49.333333333333336,49.81481481481482,0.35259999999999997,0.35766666666666663,0.33361316872427993,17.4,17.5,16.49382716049383,0.3596,0.367,0.3776790123456791,17.4,17.666666666666668,18.24691358024692,0.8176,0.7953333333333333,0.8033950617283951,13.6,13.5,14.25925925925926,2.8,2.5,3.0617283950617287,200.0,200.0,200.0,85.58,85.11666666666666,82.20329218106997,23.7,24.75,24.126748971193418,7.6,7.833333333333333,7.843621399176957,18.0,18.0,16.983539094650208,54.6,54.333333333333336,52.25514403292182,8.66,9.3,8.406995884773664,5.6,6.0,5.382716049382718,0.43499999999999994,0.4086666666666667,0.374366255144033,21.6,20.166666666666668,18.855967078189305,0.286,0.2896666666666667,0.26832921810699595,6.2,5.833333333333333,5.008230452674899,47.42,45.98333333333333,45.01152263374486,28.4,26.833333333333332,27.34979423868313,0.4742,0.474,0.44976954732510294,18.9,19.483333333333334,18.474074074074075,13.4,13.833333333333334,13.11934156378601,28.2,29.166666666666668,30.958847736625522,0.4102,0.41050000000000003,0.3788312757201646,11.2,11.666666666666666,11.485596707818932,0.46580000000000005,0.47150000000000003,0.43540329218107,2.2,2.0,2.2016460905349797
2010-12-11,"Bison Sports Arena, Fargo, North Dakota",North Dakota,North Dakota State,Home,26.3,5,4.3,2,114.1,59.4,19,0.315,62,0.306,19,0.355,22,0.727,16,6,200.0,77.5,34.1,15,23,55,5.6,4,0.21,13.0,0.077,1.0,44.7,34,0.38,17.3,15,49.0,0.367,18.0,0.333,3,44.92,43.199999999999996,47.177777777777784,8.0,7.714285714285714,8.422496570644721,6.32,6.728571428571429,6.118381344307272,2.0,2.142857142857143,1.9341563786008233,96.64000000000001,101.60000000000001,96.90178326474626,70.96000000000001,70.54285714285714,70.50672153635117,20.8,19.0,19.337448559670786,0.40619999999999995,0.424,0.41014266117969833,51.4,49.714285714285715,50.543209876543216,0.3478,0.3615714285714286,0.3507421124828533,17.8,17.857142857142858,17.66255144032922,0.27880000000000005,0.3282857142857143,0.28378600823045275,14.0,15.857142857142858,13.831275720164612,0.8048,0.796,0.8022633744855969,10.6,12.142857142857142,10.839506172839508,3.6,2.857142857142857,3.7078189300411526,200.0,200.0,200.0,82.6,85.34285714285714,83.70219478738,22.159999999999997,23.957142857142856,22.484499314128946,7.2,7.428571428571429,6.895747599451305,17.2,17.714285714285715,16.655692729766805,52.2,54.0,52.170096021947884,9.42,9.642857142857142,9.504663923182443,6.0,6.142857142857143,5.9218106995884785,0.3976,0.408,0.384244170096022,20.6,20.285714285714285,19.57064471879287,0.29300000000000004,0.30271428571428566,0.30588614540466397,6.0,6.142857142857143,6.005486968449933,46.0,46.142857142857146,45.70768175582991,28.0,26.428571428571427,26.23319615912209,0.45220000000000005,0.4745714285714286,0.4591796982167353,17.919999999999998,19.114285714285717,17.949382716049385,12.6,13.428571428571429,12.412894375857341,30.8,29.428571428571427,30.97256515775035,0.38760000000000006,0.40714285714285714,0.38155418381344314,11.8,11.714285714285714,11.657064471879288,0.4074,0.45771428571428574,0.4152688614540467,2.4,2.142857142857143,2.4677640603566533
2010-12-18,"Swinney Recreation Center, Kansas City, Missouri",North Dakota,UMKC,Home,58.3,14,14.8,4,106.2,65.4,17,0.491,54,0.444,24,0.315,17,0.471,8,7,200.0,93.8,28.1,9,24,61,13.8,9,0.278,15.0,0.333,5.0,44.8,26,0.491,15.2,11,39.0,0.487,19.0,0.364,4,42.18,41.0875,40.21851851851852,7.4,7.375,7.281664380429815,4.5200000000000005,6.425,5.512254229538181,1.6,2.125,1.9561042524005492,99.17999999999999,103.1625,102.63452217649751,66.58,69.15,66.80448102423412,19.4,19.0,19.224965706447193,0.38079999999999997,0.410375,0.3784284407864656,53.4,51.25,54.36213991769548,0.33199999999999996,0.35462499999999997,0.33582807498856887,17.6,18.0,18.10836762688615,0.25739999999999996,0.331625,0.3075240054869685,13.6,16.625,16.554183813443075,0.8252,0.787375,0.777175582990398,10.8,12.625,12.559670781893006,4.4,3.25,4.471879286694103,200.0,200.0,200.0,80.67999999999999,84.3625,81.63479652492,22.7,25.225,26.356332876085965,8.0,8.375,9.597165066300871,17.0,18.375,18.770461819844538,51.0,54.125,53.11339734796526,7.960000000000001,9.1375,8.203109282121629,5.0,5.875,5.281207133058986,0.3666,0.38325,0.3261627800640147,19.4,19.375,17.380429812528583,0.2452,0.2745,0.22959076360310934,5.0,5.5,4.336991312299956,43.900000000000006,45.9625,45.37178783721994,27.4,27.375,28.82213077274806,0.43200000000000005,0.46275,0.43278646547782357,17.3,18.8875,17.73292181069959,12.4,13.625,13.275262917238228,34.0,31.875,36.9817101051669,0.37620000000000003,0.402125,0.37670278920896216,12.6,12.5,13.771376314586192,0.374,0.442125,0.38784590763603116,2.6,2.25,2.645176040237769
2010-12-20,"Resch Center, Green Bay, Wisconsin",North Dakota,Green Bay,Home,68.0,17,3.4,1,102.9,77.3,17,0.538,53,0.472,25,0.415,22,0.5,11,8,200.0,97.1,19.2,5,30,68,8.6,6,0.245,13.0,0.538,7.0,45.8,22,0.536,18.3,14,40.0,0.45,18.0,0.333,4,46.839999999999996,43.0,46.24567901234568,8.8,8.11111111111111,9.521109586953209,7.480000000000001,7.355555555555556,8.608169486358788,2.4,2.3333333333333335,2.6374028349336998,98.38,103.5,103.82301478433169,66.55999999999999,68.73333333333333,66.33632068282276,19.0,18.77777777777778,18.483310470964796,0.381,0.41933333333333334,0.41595229385764376,54.4,51.55555555555556,54.24142661179699,0.3392,0.3645555555555556,0.37188538332571264,18.4,18.666666666666668,20.07224508459077,0.304,0.3297777777777778,0.31001600365797904,16.2,16.666666666666668,16.702789208962052,0.7194,0.7522222222222221,0.6751170553269321,11.6,12.11111111111111,11.039780521262005,5.2,3.6666666666666665,5.314586191129402,200.0,200.0,200.0,81.82000000000001,85.41111111111111,85.68986434994667,26.02,25.544444444444444,26.937555250723978,9.2,8.444444444444445,9.398110044200582,18.6,19.0,20.513641213229693,52.8,54.888888888888886,55.74226489864351,9.7,9.655555555555557,10.068739521414418,6.2,6.222222222222222,6.520804755372658,0.3242,0.37155555555555553,0.3101085200426765,17.6,18.88888888888889,16.58695320835239,0.2452,0.28099999999999997,0.26406050906873957,4.4,5.444444444444445,4.557994208199971,44.86,45.833333333333336,45.18119189147996,28.2,27.22222222222222,27.881420515165374,0.42800000000000005,0.46588888888888885,0.4521909769852157,16.52,18.477777777777778,16.888614540466392,12.2,13.333333333333334,12.516841944825487,36.8,32.666666666666664,37.6544734034446,0.37760000000000005,0.4115555555555555,0.4134685261393081,14.0,13.222222222222221,15.514250876390797,0.3668,0.43344444444444447,0.3798972717573541,3.0,2.4444444444444446,3.0967840268251794
2011-01-03,"Bob Devaney Sports Center, Lincoln, Nebraska",North Dakota,Nebraska,Home,37.5,6,11.1,4,114.9,74.1,20,0.336,58,0.276,16,0.259,15,0.467,7,9,200.0,68.7,23.1,9,18,46,9.0,6,0.5,29.0,0.241,7.0,43.9,29,0.353,15.7,12,29.0,0.31,9.0,0.357,5,51.1,45.5,53.49711934156379,10.8,9.0,12.014073057968805,7.1800000000000015,6.960000000000001,6.87211299090586,2.2,2.2,2.0916018899558,98.96000000000001,103.44000000000001,103.51534318955447,70.16,69.59,69.99088045521518,19.2,18.6,17.988873647309866,0.4272,0.4312,0.45663486257176256,53.6,51.7,53.827617741198,0.38099999999999995,0.3753,0.40525692221714177,20.4,19.3,21.714830056393847,0.35539999999999994,0.3383,0.34501066910531936,18.8,17.2,18.468526139308036,0.6638,0.727,0.6167447035512881,12.4,12.0,11.026520347508004,6.0,4.1,6.209724127419602,200.0,200.0,200.0,87.9,86.58,89.49324289996446,25.119999999999997,24.91,24.35837016714932,8.4,8.1,7.932073362800388,22.0,20.1,23.675760808819795,58.0,56.2,59.82817659909568,8.559999999999999,9.55,9.579159680942947,5.6,6.2,6.347203170248439,0.27840000000000004,0.3589,0.288405680028451,14.8,18.3,15.391302138901594,0.3158,0.30670000000000003,0.3553736727124931,4.8,5.6,5.371996138799981,46.32000000000001,45.83,45.38746126098664,27.6,26.7,25.92094701011025,0.4666,0.4729,0.48012731799014385,16.9,18.46,17.35907636031093,12.6,13.4,13.011227963216992,38.8,33.4,38.4363156022964,0.4010000000000001,0.4154,0.42564568409287207,15.6,13.7,16.342833917593865,0.3668,0.4234,0.3642648478382361,3.4,2.6,3.397856017883453
2011-01-09,"Betty Engelstad Sioux Center , Grand Forks, North Dakota",Longwood,North Dakota,Home,60.0,18,13.9,5,101.4,80.6,25,0.591,55,0.545,30,0.509,28,0.893,25,9,200.0,123.3,32.0,8,20,90,11.0,8,0.218,12.0,0.417,5.0,58.9,33,0.659,16.2,13,43.0,0.581,25.0,0.4,6,50.019999999999996,44.77272727272727,48.164746227709195,10.8,8.727272727272727,10.009382038645871,8.059999999999999,7.336363636363637,8.281408660603907,2.6,2.3636363636363638,2.727734593303867,106.62,104.48181818181818,107.31022879303632,70.44,70.0,71.36058697014346,18.4,18.727272727272727,18.65924909820658,0.4284,0.4225454545454545,0.4164232417145084,55.8,52.27272727272727,55.21841182746533,0.3766,0.36627272727272725,0.3621712814780945,20.8,19.0,19.809886704262567,0.288,0.3310909090909091,0.31634044607021294,16.2,17.0,17.312350759538692,0.5930000000000001,0.7033636363636364,0.5668298023675254,9.2,11.545454545454545,9.68434689833867,7.0,4.545454545454546,7.139816084946402,200.0,200.0,200.0,84.76,84.95454545454545,82.56216193330965,24.740000000000002,24.745454545454546,23.938913444766214,8.6,8.181818181818182,8.288048908533593,22.2,19.90909090909091,21.783840539213198,56.4,55.27272727272727,55.21878439939712,9.739999999999998,9.5,9.386106453961965,6.4,6.181818181818182,6.231468780165627,0.3274,0.37172727272727274,0.3589371200189674,18.2,19.272727272727273,19.92753475926773,0.314,0.30072727272727273,0.3172491151416621,5.6,5.7272727272727275,5.914664092533321,45.260000000000005,45.654545454545456,44.891640840657764,27.0,26.90909090909091,26.94729800674017,0.4476,0.46199999999999997,0.4377515453267626,16.68,18.20909090909091,16.806050906873953,12.6,13.272727272727273,12.674151975477995,37.6,33.0,35.2908770681976,0.40020000000000006,0.40581818181818186,0.38709712272858143,15.2,13.272727272727273,13.895222611729244,0.3524,0.4173636363636364,0.3618432318921574,3.8,2.8181818181818183,3.931904011922302
2011-01-15,"Betty Engelstad Sioux Center , Grand Forks, North Dakota",South Dakota,North Dakota,Home,61.5,16,7.0,3,91.2,76.9,30,0.492,59,0.441,26,0.373,22,0.773,17,9,200.0,110.3,34.3,12,16,75,5.9,4,0.254,15.0,0.4,6.0,56.8,42,0.54,11.6,9,44.0,0.455,20.0,0.471,8,50.019999999999996,46.041666666666664,52.1098308184728,12.0,9.5,12.672921359097248,9.5,7.883333333333334,10.154272440402604,3.2,2.5833333333333335,3.4851563955359115,107.9,104.22500000000001,105.34015252869088,71.35999999999999,70.88333333333334,74.44039131342898,19.6,19.25,20.772832732137722,0.4542,0.4365833333333333,0.474615494476339,56.4,52.5,55.1456078849769,0.4086,0.38116666666666665,0.42311418765206305,22.8,19.916666666666668,23.206591136175046,0.37059999999999993,0.34591666666666665,0.38056029738014197,20.8,17.916666666666668,20.874900506359126,0.6115999999999999,0.7191666666666667,0.6755532015783503,13.4,12.666666666666666,14.789564598892447,7.8,4.916666666666667,7.759877389964268,200.0,200.0,200.0,92.08,88.14999999999999,96.1414412888731,27.3,25.349999999999998,26.62594229651081,9.2,8.166666666666666,8.192032605689063,23.0,19.916666666666668,21.189227026142134,64.0,58.166666666666664,66.81252293293142,9.6,9.625,9.924070969307976,6.6,6.333333333333333,6.820979186777086,0.2902,0.3589166666666667,0.3119580800126449,16.4,18.666666666666668,17.285023172845154,0.32120000000000004,0.3104166666666667,0.3504994100944414,5.0,5.666666666666667,5.609776061688881,47.62,46.75833333333333,49.56109389377185,28.8,27.416666666666668,28.964865337826783,0.4838,0.47841666666666666,0.5115010302178418,16.54,18.041666666666668,16.60403393791597,13.0,13.25,12.782767983651997,40.0,33.833333333333336,37.86058471213174,0.43900000000000006,0.42041666666666666,0.4517314151523876,17.8,14.25,17.596815074486162,0.35740000000000005,0.41591666666666666,0.3745621545947716,4.4,3.0833333333333335,4.621269341281534
2011-01-20,"Betty Engelstad Sioux Center , Grand Forks, North Dakota",Utah Valley,North Dakota,Away,36.7,11,21.6,11,109.2,70.7,29,0.4,80,0.375,30,0.675,54,0.593,32,10,300.0,98.0,31.6,18,32,96,8.2,8,0.238,19.0,0.211,4.0,48.0,47,0.454,8.8,10,61.0,0.426,26.0,0.444,8,57.06,47.23076923076923,55.2398872123152,14.2,10.0,13.7819475727315,10.040000000000001,7.815384615384616,9.102848293601737,3.4,2.6153846153846154,3.323437597023941,103.32000000000001,103.22307692307693,100.6267683524606,74.86,71.34615384615384,75.26026087561932,21.8,20.076923076923077,23.848555154758483,0.4896,0.44084615384615383,0.4804103296508927,55.8,53.0,56.43040525665127,0.4356,0.38576923076923075,0.4290761251013754,24.2,20.384615384615383,24.137727424116697,0.3742,0.348,0.37804019825342805,20.8,18.23076923076923,21.249933670906085,0.6208,0.7233076923076923,0.7080354677189002,13.6,13.0,15.526376399261633,8.4,5.230769230769231,8.173251593309512,200.0,200.0,200.0,98.64,89.85384615384615,100.86096085924873,27.339999999999996,26.03846153846154,29.183961531007206,8.6,8.461538461538462,9.461355070459376,21.6,19.615384615384617,19.459484684094758,68.0,59.46153846153846,69.54168195528761,9.66,9.338461538461539,8.582713979538653,6.6,6.153846153846154,5.880652791184724,0.299,0.35084615384615386,0.29263872000842994,16.8,18.384615384615383,16.52334878189677,0.38580000000000003,0.3173076923076923,0.3669996067296276,6.0,5.6923076923076925,5.739850707792588,50.04,47.53076923076923,51.9740625958479,30.4,28.53846153846154,33.30991022521786,0.5158,0.48315384615384616,0.5210006868118946,15.4,17.546153846153846,14.936022625277314,11.8,12.923076923076923,11.521845322434666,39.0,34.61538461538461,39.9070564747545,0.4566,0.4230769230769231,0.4528209434349251,18.2,14.692307692307692,18.39787671632411,0.38499999999999995,0.42015384615384616,0.40670810306318106,5.4,3.4615384615384617,5.74751289418769
2011-01-27,"Betty Engelstad Sioux Center , Grand Forks, North Dakota",Texas-Rio Grande Valley,North Dakota,Home,69.0,20,16.7,5,120.6,75.0,21,0.745,47,0.617,29,0.574,27,0.778,21,10,200.0,133.8,14.3,3,27,91,5.9,4,0.404,19.0,0.632,12.0,49.0,24,0.761,15.7,11,28.0,0.607,17.0,0.474,9,52.739999999999995,46.478571428571435,49.05992480821014,13.6,10.071428571428571,12.854631715154333,11.400000000000002,8.8,13.268565529067825,4.8,3.2142857142857144,5.882291731349294,103.92,103.65,103.48451223497375,75.91999999999999,71.3,73.74017391707956,24.2,20.714285714285715,25.565703436505657,0.47140000000000004,0.43792857142857144,0.45360688643392855,61.0,54.92857142857143,64.28693683776751,0.4218,0.38499999999999995,0.4110507500675836,25.4,21.071428571428573,26.091818282744466,0.4462,0.37135714285714283,0.4770267988356187,28.2,20.785714285714285,32.166622447270726,0.6452,0.7140000000000001,0.6696903118126002,18.4,14.357142857142858,21.017584266174424,9.0,5.571428571428571,8.78216772887301,220.0,207.14285714285714,233.33333333333334,99.47999999999999,90.43571428571428,99.90730723949918,28.040000000000003,26.435714285714287,29.98930768733814,10.4,9.142857142857142,12.307570046972918,23.2,20.5,23.63965645606317,75.0,62.07142857142857,78.36112130352508,8.540000000000001,9.257142857142856,8.455142653025769,6.4,6.285714285714286,6.587101860789817,0.29100000000000004,0.34278571428571425,0.27442581333895333,17.6,18.428571428571427,17.34889918793118,0.36140000000000005,0.3097142857142857,0.31499973781975177,5.8,5.571428571428571,5.159900471861725,50.68,47.56428571428571,50.6493750638986,34.6,29.857142857142858,37.87327348347858,0.5084,0.4810714285714286,0.4986671245412631,14.12,16.92142857142857,12.890681750184877,11.6,12.714285714285714,11.014563548289779,43.4,36.5,46.93803764983633,0.4444,0.4232857142857143,0.44388062895661673,19.6,15.5,20.93191781088274,0.40099999999999997,0.4218571428571428,0.4191387353754541,6.2,3.7857142857142856,6.49834192945846
