date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-15,"Williams Arena, Minneapolis, Minnesota",Northern Illinois,Minnesota,Home,47.4,9,7.3,3,125.4,59.1,18,0.333,60,0.317,19,0.217,13,0.615,8,6,200.0,67.6,38.1,11,13,48,16.9,12,0.333,20.0,0.1,2.0,45.3,29,0.363,24.2,19,40.0,0.425,17.0,0.143,1,45.1,45.1,42.8567901234568,10.4,10.4,9.34567901234568,6.2,6.2,5.083950617283952,2.2,2.2,1.7037037037037042,95.53999999999999,95.53999999999999,95.96296296296296,62.92,62.92,63.3604938271605,22.2,22.2,21.32098765432099,0.4378,0.4378,0.41793827160493835,55.8,55.8,54.061728395061735,0.39740000000000003,0.39740000000000003,0.3835308641975309,22.2,22.2,20.790123456790127,0.3386,0.3386,0.34604938271604946,18.4,18.4,18.4320987654321,0.5726,0.5726,0.5967407407407408,10.0,10.0,10.419753086419755,2.8,2.8,3.246913580246914,200.0,200.0,200.0,85.14,85.14,82.97777777777777,40.339999999999996,40.339999999999996,39.441975308641986,11.4,11.4,10.666666666666666,23.4,23.4,22.44444444444445,59.0,59.0,55.814814814814824,9.52,9.52,10.29753086419753,6.4,6.4,6.7407407407407405,0.359,0.359,0.3700123456790124,19.8,19.8,19.876543209876544,0.22759999999999997,0.22759999999999997,0.18797530864197534,4.6,4.6,3.8148148148148153,50.480000000000004,50.480000000000004,49.646913580246924,33.6,33.6,31.987654320987662,0.45380000000000004,0.45380000000000004,0.4408271604938272,22.54,22.54,22.283950617283953,18.2,18.2,17.419753086419757,36.0,36.0,34.18518518518519,0.49479999999999996,0.49479999999999996,0.49909876543209886,17.6,17.6,16.97530864197531,0.14,0.14,0.14944444444444444,0.6,0.6,0.7037037037037037
2009-12-19,"UIC Pavilion, Chicago, Illinois",Northern Illinois,UIC,Home,29.4,5,5.6,2,116.9,53.1,18,0.343,54,0.315,17,0.463,25,0.48,12,7,200.0,83.1,56.8,20,21,49,1.7,1,0.296,16.0,0.188,3.0,55.1,38,0.372,19.8,16,38.0,0.368,14.0,0.125,1,39.58,45.48333333333333,44.37119341563787,9.2,10.166666666666666,9.230452674897121,5.4399999999999995,6.383333333333333,5.822633744855969,2.2,2.3333333333333335,2.135802469135803,98.3,100.51666666666667,105.77530864197531,61.620000000000005,62.28333333333333,61.940329218106996,21.4,21.5,20.213991769547327,0.41859999999999997,0.4203333333333334,0.38962551440329224,58.0,56.5,56.04115226337449,0.37920000000000004,0.38400000000000006,0.36135390946502066,22.0,21.666666666666668,20.193415637860085,0.27579999999999993,0.3183333333333333,0.30303292181069963,15.8,17.5,16.621399176954736,0.5955999999999999,0.5796666666666667,0.6028271604938272,9.0,9.666666666666666,9.613168724279838,3.8,3.3333333333333335,4.1646090534979425,200.0,200.0,200.0,82.72,82.21666666666667,77.85185185185185,41.5,39.96666666666667,38.994650205761324,11.8,11.333333333333334,10.777777777777779,19.4,21.666666666666668,19.2962962962963,57.6,57.166666666666664,53.20987654320989,11.16,10.75,12.49835390946502,7.6,7.333333333333333,8.493827160493828,0.3522,0.3546666666666667,0.35767489711934164,20.2,19.833333333333332,19.91769547325103,0.2254,0.20633333333333334,0.15865020576131691,4.6,4.166666666666667,3.209876543209877,49.699999999999996,49.61666666666667,48.197942386831286,33.2,32.833333333333336,30.991769547325113,0.4368,0.4386666666666667,0.4148847736625515,22.98,22.816666666666666,22.922633744855972,18.6,18.333333333333332,17.946502057613174,37.8,36.666666666666664,36.12345679012346,0.4636,0.4831666666666667,0.4743991769547326,17.4,17.5,16.983539094650208,0.1686,0.14049999999999999,0.14729629629629631,0.8,0.6666666666666666,0.8024691358024691
2009-12-22,"Convocation Center, DeKalb, Illinois",Maryland-Eastern Shore,Northern Illinois,Home,46.9,15,11.4,5,87.3,64.9,26,0.508,66,0.485,32,0.424,28,0.714,20,7,200.0,110.1,50.0,15,21,87,15.2,12,0.227,15.0,0.2,3.0,57.7,41,0.549,17.0,16,51.0,0.569,29.0,0.222,2,39.059999999999995,43.18571428571429,39.380795610425245,8.6,9.428571428571429,7.820301783264748,5.34,6.271428571428571,5.748422496570646,2.0,2.2857142857142856,2.090534979423869,101.16,102.85714285714286,109.48353909465023,59.739999999999995,60.971428571428575,58.99355281207133,20.4,21.0,19.47599451303155,0.4064,0.4092857142857143,0.3740836762688615,55.2,56.142857142857146,55.360768175583,0.3686,0.37414285714285717,0.3459026063100138,20.4,21.0,19.128943758573392,0.3332,0.339,0.3563552812071331,18.4,18.571428571428573,19.414266117969824,0.5916,0.5654285714285715,0.5618847736625515,10.2,10.0,10.408779149519892,4.8,3.857142857142857,5.109739368998628,200.0,200.0,200.0,83.69999999999999,82.34285714285714,79.60123456790123,45.16,42.371428571428574,44.92976680384088,13.4,12.571428571428571,13.851851851851853,18.2,21.571428571428573,19.864197530864203,55.2,56.0,51.80658436213993,9.96,9.457142857142857,8.898902606310015,6.6,6.428571428571429,5.995884773662552,0.3556,0.34628571428571425,0.33711659807956107,19.6,19.285714285714285,18.611796982167355,0.2104,0.2037142857142857,0.16843347050754462,4.2,4.0,3.1399176954732515,50.86,50.4,50.49862825788753,33.8,33.57142857142857,33.32784636488341,0.4284,0.42914285714285716,0.4005898491083677,22.82,22.385714285714283,21.88175582990398,18.0,18.0,17.297668038408784,35.6,36.857142857142854,36.74897119341564,0.4556,0.4667142857142857,0.43893278463648844,16.2,17.0,15.98902606310014,0.1936,0.1382857142857143,0.1398641975308642,1.0,0.7142857142857143,0.8683127572016462
2009-12-30,"Convocation Center, DeKalb, Illinois",Temple,Northern Illinois,Away,36.4,8,11.4,4,102.9,61.5,19,0.403,62,0.355,22,0.258,16,0.625,10,8,200.0,88.2,36.6,12,22,60,10.3,7,0.355,22.0,0.273,6.0,46.3,31,0.431,16.9,14,40.0,0.4,16.0,0.2,2,36.18,43.65,41.88719707361683,7.8,10.125,10.213534522176499,5.5200000000000005,6.9125,7.6322816643804305,2.2,2.625,3.0603566529492463,103.22,100.9125,102.08902606310015,59.720000000000006,61.4625,60.96236854138089,20.0,21.625,21.6506630086877,0.3816,0.421625,0.4187224508459077,57.0,57.375,58.907178783722,0.3568,0.388,0.39226840420667586,20.6,22.375,23.419295839048928,0.3232,0.349625,0.3789035208047554,18.6,19.75,22.27617741197988,0.6382,0.584,0.6125898491083677,11.6,11.25,13.605852766346596,5.8,4.25,5.739826245999086,200.0,200.0,200.0,82.74,85.8125,89.76748971193416,44.58,43.325,46.61984453589392,13.2,12.875,14.23456790123457,19.2,21.5,20.24279835390947,55.6,59.875,63.53772290809329,11.639999999999999,10.175,10.999268404206678,8.0,7.125,7.997256515775035,0.3274,0.33137500000000003,0.3004110653863741,18.4,18.75,17.407864654778237,0.1552,0.20325,0.17895564700502975,2.8,3.875,3.0932784636488346,50.5,51.3125,52.89908550525836,33.2,34.5,35.88523090992228,0.4164,0.444125,0.4500598994055785,21.22,21.7125,20.254503886602656,16.6,17.75,16.865112025605857,38.6,38.625,41.499314128943766,0.45280000000000004,0.4795,0.4822885230909923,17.8,18.5,20.32601737540009,0.17140000000000002,0.14875,0.16724279835390948,1.2,0.875,1.245541838134431
2010-01-02,"Convocation Center, DeKalb, Illinois","North Dakota
			",Northern Illinois,Home,81.8,18,16.0,4,76.3,64.3,21,0.529,51,0.431,22,0.333,17,0.706,12,8,200.0,111.9,46.2,9,24,66,16.9,10,0.49,25.0,0.4,10.0,55.6,30,0.559,15.8,11,26.0,0.462,12.0,0.273,3,37.58,42.84444444444444,40.058131382411226,8.4,9.88888888888889,9.475689681451,7.140000000000001,7.411111111111111,8.88818777625362,2.8,2.7777777777777777,3.3735711019661645,106.17999999999999,101.13333333333334,102.35935070873344,61.4,61.46666666666667,61.14157902758726,20.0,21.333333333333332,20.76710867245847,0.3872,0.41955555555555557,0.4134816338972719,59.0,57.888888888888886,59.938119189148004,0.3624,0.38433333333333336,0.37984560280445057,21.6,22.333333333333332,22.94619722603262,0.344,0.33944444444444444,0.3386023472031703,20.2,19.333333333333332,20.184118274653255,0.6132,0.5885555555555555,0.6167265660722452,12.4,11.11111111111111,12.403901844231065,6.6,4.666666666666667,6.493217497332724,200.0,200.0,200.0,85.11999999999999,86.07777777777778,89.24499314128946,43.66,42.577777777777776,43.279896357262615,13.2,12.777777777777779,13.48971193415638,18.6,21.555555555555557,20.828532235939647,58.6,59.888888888888886,62.358481938728865,11.319999999999999,10.18888888888889,10.766178936137786,8.0,7.111111111111111,7.664837677183357,0.3176,0.334,0.3186073769242494,18.6,19.11111111111111,18.938576436518826,0.1622,0.211,0.21030376467001985,3.0,4.111111111111111,4.062185642432556,50.36,50.75555555555556,50.69939033683891,33.2,34.111111111111114,34.25682060661485,0.422,0.44266666666666665,0.44370659960371905,19.5,21.177777777777777,19.13633592440177,16.0,17.333333333333332,15.910074683737239,40.4,38.77777777777778,40.99954275262918,0.4554,0.4706666666666666,0.45485901539399487,18.6,18.22222222222222,18.884011583600063,0.1714,0.15444444444444447,0.178161865569273,1.4,1.0,1.4970278920896207
2010-01-06,"Emil and Patricia Jones Convocation Center, Chicago, Illinois",Northern Illinois,Chicago State,Away,67.7,21,6.0,3,109.4,66.7,26,0.685,54,0.574,31,0.685,37,0.676,25,8,200.0,116.5,43.3,13,21,99,10.6,9,0.389,21.0,0.571,12.0,56.5,39,0.692,26.2,25,33.0,0.576,19.0,0.333,4,48.379999999999995,46.739999999999995,53.97208758827415,11.0,10.7,12.317126454300666,10.34,8.27,11.258791850835747,3.6,2.9,3.5823807346441097,101.76,98.65,93.67290047248898,60.58,61.75,62.19438601839151,20.4,21.3,20.844739114972313,0.4232,0.4305,0.45198775593151463,58.6,57.2,56.958746126098674,0.3806,0.389,0.3968970685363004,22.4,22.3,22.630798150688413,0.3390000000000001,0.3388,0.3367348981354469,19.8,19.1,19.122745516435504,0.6279999999999999,0.6003000000000001,0.6464843773814968,12.4,11.2,12.269267896154044,7.2,5.0,6.99547833155515,200.0,200.0,200.0,92.17999999999999,88.66,96.79666209419298,45.540000000000006,42.94,44.25326423817508,13.4,12.4,11.993141289437588,20.2,21.8,21.8856881572931,62.0,60.5,63.57232129248592,12.2,10.86,12.81078595742519,8.4,7.4,8.443225118122239,0.34019999999999995,0.3496,0.37573825128283295,19.6,19.7,20.959050957679217,0.23220000000000002,0.2299,0.27353584311334656,4.8,4.7,6.041457094955037,52.0,51.239999999999995,52.332926891225945,33.8,33.7,32.8378804044099,0.4548,0.45430000000000004,0.4821377330691461,18.740000000000002,20.64,18.024223949601183,15.2,16.7,14.273383122491493,39.0,37.5,35.99969516841946,0.4448,0.46979999999999994,0.4572393435959966,17.6,17.6,16.589341055733378,0.1926,0.1663,0.20977457704618202,1.8,1.2,1.998018594726414
2010-01-09,"Worthen Arena, Muncie, Indiana",Northern Illinois,Ball State,Away,78.9,15,4.3,2,76.2,68.3,30,0.449,49,0.388,19,0.49,24,0.75,18,8,200.0,98.4,36.4,10,16,62,12.7,8,0.327,16.0,0.375,6.0,54.1,40,0.513,16.8,12,33.0,0.394,13.0,0.385,5,52.44,48.64545454545455,58.54805839218277,13.4,11.636363636363637,15.211417636200446,10.080000000000002,8.063636363636364,9.5058612338905,3.6,2.909090909090909,3.3882538230960733,98.55999999999999,99.62727272727274,98.91526698165933,62.1,62.2,63.69625734559435,22.0,21.727272727272727,22.563159409981544,0.4936,0.45363636363636367,0.5296585039543431,57.4,56.90909090909091,55.97249741739912,0.43200000000000005,0.40581818181818186,0.4559313790242003,24.8,23.09090909090909,25.420532100458942,0.43260000000000004,0.3702727272727273,0.45282326542363127,24.6,20.727272727272727,25.08183034429034,0.6401999999999999,0.6071818181818182,0.6563229182543313,15.8,12.454545454545455,16.512845264102694,7.6,5.2727272727272725,7.330318887703434,200.0,200.0,200.0,101.96,91.19090909090909,103.36444139612865,46.58,42.97272727272727,43.93550949211672,13.8,12.454545454545455,12.32876085962506,21.8,21.727272727272727,21.590458771528734,72.2,64.0,75.38154752832395,10.94,10.836363636363636,12.073857304950128,7.8,7.545454545454546,8.628816745414827,0.3514,0.35318181818181815,0.38015883418855534,19.8,19.818181818181817,20.972700638452814,0.3264,0.2609090909090909,0.3726905620755644,6.8,5.363636363636363,8.027638063303359,54.239999999999995,51.71818181818182,53.721951260817306,35.8,34.18181818181818,34.8919202696066,0.5206,0.47590909090909095,0.5520918220460974,19.139999999999997,21.145454545454545,20.749482633067455,16.4,17.454545454545453,17.848922081660994,37.6,37.09090909090909,34.999796778946305,0.475,0.47945454545454547,0.49682622906399776,18.0,17.727272727272727,17.392894037155585,0.2306,0.18145454545454545,0.25084971803078804,2.4,1.4545454545454546,2.6653457298176093
2010-01-13,"Convocation Center, DeKalb, Illinois",Western Michigan,Northern Illinois,Home,75.0,21,24.3,9,106.9,69.6,19,0.557,61,0.459,28,0.525,32,0.594,19,8,200.0,120.8,44.4,13,20,87,6.9,5,0.328,20.0,0.6,12.0,54.2,32,0.571,13.8,12,41.0,0.39,16.0,0.429,6,62.339999999999996,51.166666666666664,65.33203892812185,15.4,11.916666666666666,15.1409450908003,9.82,7.75,7.770574155926999,3.6,2.8333333333333335,2.925502548730716,90.42,97.675,91.34351132110623,65.14,62.708333333333336,65.23083823039624,24.4,22.416666666666668,25.042106273321032,0.5148,0.45325,0.5027723359695622,56.4,56.25,53.64833161159942,0.4466,0.4043333333333334,0.4332875860161336,25.2,22.75,23.280354733639296,0.438,0.38025,0.46521551028242086,24.4,21.0,24.721220229526896,0.6942,0.6190833333333333,0.6875486121695542,17.0,12.916666666666666,17.008563509401796,7.8,5.5,7.553545925135623,200.0,200.0,200.0,105.02000000000001,91.79166666666667,101.70962759741911,42.5,42.425000000000004,41.423672994744486,11.8,12.25,11.552507239750042,20.8,21.25,19.72697251435249,74.8,63.833333333333336,70.92103168554931,13.139999999999997,10.991666666666667,12.28257153663342,9.2,7.583333333333333,8.419211163609885,0.3576,0.351,0.36243922279237023,19.8,19.5,19.315133758968543,0.3638,0.2704166666666667,0.37346037471704296,7.4,5.416666666666667,7.351758708868906,54.04,51.916666666666664,53.84796750721154,36.2,34.666666666666664,36.59461351307107,0.5488000000000001,0.47900000000000004,0.5390612146973983,18.54,20.783333333333335,19.43298842204497,15.6,17.0,15.899281387773998,36.6,36.75,34.333197852630875,0.48020000000000007,0.4723333333333333,0.4625508193759985,17.8,17.333333333333332,15.928596024770393,0.2826,0.19841666666666669,0.29556647868719205,3.2,1.75,3.443563819878406
2010-01-16,"Convocation Center, DeKalb, Illinois",Eastern Michigan,Northern Illinois,Home,54.2,13,17.1,6,88.5,61.1,26,0.5,53,0.453,24,0.547,29,0.828,24,8,200.0,98.7,31.0,5,26,77,11.5,9,0.358,19.0,0.263,5.0,47.7,31,0.577,22.4,19,34.0,0.559,19.0,0.467,7,67.96,53.0,68.55469261874791,16.6,12.615384615384615,17.093963393866865,12.4,9.023076923076923,13.280382770618,4.4,3.3076923076923075,4.9503350324871445,94.34,98.38461538461539,96.52900754740416,66.08,63.23846153846154,66.68722548693083,23.0,22.153846153846153,23.028070848880688,0.5246000000000001,0.4612307692307693,0.5208482239797082,55.4,56.61538461538461,56.09888774106628,0.44139999999999996,0.4085384615384615,0.4418583906774224,24.4,23.153846153846153,24.8535698224262,0.45820000000000005,0.3913846153846154,0.4851436735216139,25.2,21.846153846153847,27.14748015301793,0.6702,0.6171538461538462,0.6563657414463695,16.8,13.384615384615385,17.672375672934532,8.0,5.6923076923076925,7.702363950090415,200.0,200.0,200.0,107.16,94.02307692307691,108.07308506494608,41.38,42.57692307692308,42.41578199649633,11.4,12.307692307692308,12.035004826500028,20.6,21.153846153846153,19.817981676234993,74.8,65.61538461538461,76.28068779036622,11.48,10.676923076923078,10.488381024422281,7.8,7.384615384615385,7.2794741090732575,0.3778,0.34923076923076923,0.3509594818615802,20.8,19.53846153846154,19.54342250597903,0.4438,0.29576923076923073,0.4489735831446953,9.2,5.923076923076923,8.901172472579272,53.339999999999996,52.0923076923077,53.96531167147437,34.4,34.46153846153846,35.063075675380716,0.5532,0.4860769230769231,0.5497074764649322,17.9,20.246153846153845,17.55532561469665,14.8,16.615384615384617,14.599520925182667,34.6,37.07692307692308,36.555465235087254,0.4444,0.46599999999999997,0.4383672129173324,15.2,17.23076923076923,15.95239734984693,0.324,0.21615384615384617,0.3400443191247947,4.0,2.076923076923077,4.295709213252271
2010-01-20,"John F. Savage Hall, Toledo, Ohio",Northern Illinois,Toledo,Away,61.1,11,10.0,3,83.1,74.3,27,0.429,49,0.367,18,0.51,25,0.64,16,8,200.0,89.2,25.7,8,14,58,7.7,5,0.367,18.0,0.333,6.0,50.0,35,0.476,16.7,12,31.0,0.387,12.0,0.5,8,71.52000000000001,53.08571428571429,63.76979507916528,17.6,12.642857142857142,15.729308929244578,13.540000000000001,9.6,14.553588513745336,4.8,3.5,5.30022335499143,91.46000000000001,97.67857142857143,93.85267169826945,66.0,63.08571428571429,64.82481699128722,24.4,22.428571428571427,24.018713899253793,0.544,0.464,0.5138988159864721,53.6,56.357142857142854,55.065925160710854,0.46099999999999997,0.41171428571428575,0.4455722604516149,24.8,23.214285714285715,24.569046548284135,0.516,0.40249999999999997,0.5057624490144093,27.8,22.357142857142858,27.764986768678625,0.7108,0.6322142857142856,0.7135771609642463,19.6,14.142857142857142,19.781583781956357,8.0,5.857142857142857,7.8015759667269435,200.0,200.0,200.0,109.25999999999999,94.35714285714286,104.94872337663074,40.260000000000005,41.75,38.61052133099756,10.0,11.785714285714286,9.690003217666685,21.4,21.5,21.87865445082333,78.2,66.42857142857143,76.52045852691082,11.719999999999999,10.735714285714286,10.825587349614855,8.2,7.5,7.852982739382172,0.37839999999999996,0.3498571428571428,0.3533063212410535,20.2,19.5,19.36228167065269,0.4417999999999999,0.2934285714285714,0.38698238876313024,9.0,5.857142857142857,7.600781648386182,53.620000000000005,51.778571428571425,51.876874447649584,34.4,34.214285714285715,33.70871711692048,0.5824,0.49257142857142855,0.5588049843099548,19.0,20.400000000000002,19.170217076464432,15.8,16.785714285714285,16.066347283455112,33.4,36.857142857142854,35.70364349005817,0.47620000000000007,0.47264285714285714,0.4785781419448883,15.8,17.357142857142858,16.968264899897953,0.3774,0.23407142857142857,0.38236287941652986,5.0,2.4285714285714284,5.197139475501514
