date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-12,"Hinkle Fieldhouse, Indianapolis, Indiana",OHIO-STATE,BUTLER,Home,48.0,12,22.2,8,115.6,59.5,22,0.539,51,0.49,25,0.353,18,0.611,11,2,200.0,103.1,21.7,5,19,66,6.3,4,0.333,17.0,0.294,5.0,45.0,27,0.554,14.5,10,34.0,0.588,20.0,0.778,7,56.25999999999999,56.25999999999999,58.4358024691358,18.8,18.8,19.71604938271605,16.08,16.08,13.529629629629632,5.6,5.6,4.666666666666667,79.03999999999999,79.03999999999999,78.51481481481483,66.92,66.92,68.71851851851854,24.4,24.4,24.543209876543212,0.639,0.639,0.6455432098765432,60.6,60.6,60.74074074074075,0.5454000000000001,0.5454000000000001,0.5470246913580248,33.0,33.0,33.18518518518519,0.35,0.35,0.3731975308641976,21.0,21.0,22.419753086419753,0.6397999999999999,0.6397999999999999,0.655,13.6,13.6,14.753086419753089,0.8,0.8,0.8024691358024691,200.0,200.0,200.0,128.94,128.94,129.90740740740742,39.68,39.68,37.708641975308645,9.6,9.6,9.333333333333334,14.6,14.6,14.395061728395063,90.8,90.8,92.92592592592594,14.0,14.0,13.733333333333336,9.8,9.8,9.740740740740742,0.422,0.422,0.43149382716049384,25.4,25.4,26.01234567901235,0.42699999999999994,0.42699999999999994,0.4372098765432099,11.2,11.2,11.802469135802472,53.98,53.98,53.991358024691365,34.0,34.0,33.87654320987655,0.642,0.642,0.6491975308641976,13.6,13.6,13.077777777777781,11.0,11.0,10.641975308641978,35.2,35.2,34.7283950617284,0.6284,0.6284,0.6241975308641976,21.8,21.8,21.38271604938272,0.873,0.873,0.8820617283950618,4.8,4.8,5.197530864197532
2009-12-16,"Value City Arena, Columbus, Ohio","Presbyterian
			",OHIO-STATE,Home,55.2,16,13.8,4,72.7,81.8,27,0.62,54,0.537,29,0.352,19,0.579,11,2,200.0,118.2,29.6,8,13,78,12.1,8,0.389,21.0,0.429,9.0,58.3,35,0.619,15.0,11,33.0,0.606,20.0,0.8,8,57.2,54.883333333333326,54.95720164609054,18.6,17.666666666666668,17.1440329218107,17.86,17.099999999999998,16.419753086419757,6.4,6.0,5.777777777777779,89.22,85.13333333333334,90.87654320987656,63.48,65.68333333333334,65.6456790123457,23.4,24.0,23.695473251028808,0.6498,0.6223333333333333,0.6100288065843622,57.6,59.0,57.49382716049384,0.5524,0.5361666666666667,0.5280164609053499,32.0,31.666666666666668,30.456790123456795,0.3842,0.3505,0.36646502057613173,22.2,20.5,20.94650205761317,0.6286,0.635,0.6403333333333334,14.2,13.166666666666666,13.502057613168727,1.2,1.0,1.2016460905349795,200.0,200.0,200.0,128.38,124.63333333333333,120.97160493827161,37.160000000000004,36.68333333333333,32.3724279835391,9.0,8.833333333333334,7.888888888888889,15.6,15.333333333333334,15.930041152263378,89.6,86.66666666666667,83.95061728395063,12.02,12.716666666666667,11.255555555555558,8.4,8.833333333333334,7.8271604938271615,0.437,0.4071666666666667,0.39866255144032925,25.4,24.0,23.0082304526749,0.43879999999999997,0.4048333333333333,0.38947325102880664,11.4,10.166666666666666,9.534979423868315,52.220000000000006,52.48333333333333,50.994238683127584,32.4,32.833333333333336,31.584362139917705,0.6524000000000001,0.6273333333333334,0.6174650205761318,14.26,13.75,13.551851851851854,11.2,10.833333333333334,10.427983539094653,32.2,35.0,34.485596707818935,0.6397999999999999,0.6216666666666667,0.6121316872427984,20.6,21.5,20.92181069958848,0.8286,0.8571666666666666,0.8473744855967079,5.8,5.166666666666667,5.798353909465021
2009-12-19,"Value City Arena, Columbus, Ohio",DELAWARE-STATE,OHIO-STATE,Home,63.6,14,14.3,4,88.0,62.5,11,0.676,37,0.595,22,0.378,14,0.714,10,2,200.0,120.0,35.3,5,10,60,12.0,6,0.459,17.0,0.353,6.0,48.5,16,0.687,23.1,13,20.0,0.8,16.0,0.818,9,57.339999999999996,54.92857142857143,55.03813443072703,18.2,17.428571428571427,16.76268861454047,17.119999999999997,16.628571428571426,15.546502057613171,5.8,5.714285714285714,5.185185185185186,85.47999999999999,83.35714285714286,84.81769547325105,68.22,67.98571428571428,71.03045267489713,25.0,24.428571428571427,24.79698216735254,0.6388,0.622,0.6133525377229081,57.0,58.285714285714285,56.329218106995896,0.5439999999999999,0.5362857142857143,0.5310109739369,31.2,31.285714285714285,29.971193415637863,0.395,0.3507142857142857,0.3616433470507545,22.6,20.285714285714285,20.29766803840878,0.6619999999999999,0.627,0.6198888888888889,15.0,12.857142857142858,12.668038408779152,1.4,1.1428571428571428,1.467764060356653,200.0,200.0,200.0,128.02,123.71428571428571,120.0477366255144,35.88,35.67142857142857,31.4482853223594,9.0,8.714285714285714,7.925925925925927,15.2,15.0,14.953360768175585,88.4,85.42857142857143,81.96707818930042,12.16,12.62857142857143,11.53703703703704,8.4,8.714285714285714,7.884773662551442,0.43759999999999993,0.4045714285714285,0.3954417009602195,25.2,23.571428571428573,22.33882030178327,0.42460000000000003,0.4082857142857143,0.4026488340192045,11.0,10.0,9.356652949245543,54.239999999999995,53.31428571428571,53.42949245541839,34.0,33.142857142857146,32.72290809327847,0.6472,0.6261428571428571,0.6179766803840879,13.7,13.928571428571429,14.03456790123457,10.6,10.857142857142858,10.618655692729769,31.8,34.714285714285715,33.99039780521262,0.6352,0.6194285714285714,0.610087791495199,20.2,21.285714285714285,20.61454046639232,0.8286000000000001,0.849,0.8315829903978054,6.6,5.571428571428571,6.532235939643348
2009-12-22,"Value City Arena, Columbus, Ohio",CLEVELAND-STATE,OHIO-STATE,Home,66.7,14,23.3,7,89.4,64.5,22,0.557,44,0.477,21,0.705,31,0.742,23,2,200.0,109.1,32.0,6,13,72,9.1,6,0.318,14.0,0.5,7.0,50.0,28,0.613,21.7,15,30.0,0.467,14.0,0.833,10,58.779999999999994,56.012499999999996,57.89208962048468,16.6,17.0,15.841792409693646,13.1,16.3375,15.131001371742116,4.4,5.5,4.790123456790124,89.06,83.9375,85.87846364883404,66.75999999999999,67.3,68.18696844993143,21.2,22.75,20.197988111568364,0.6272,0.62875,0.6342350251486054,52.0,55.625,49.886145404663935,0.5372000000000001,0.543625,0.5523406492912667,27.8,30.125,27.314128943758575,0.3996,0.354125,0.36709556470050303,21.0,19.5,18.19844535893919,0.632,0.637875,0.6512592592592593,13.2,12.5,11.778692272519436,1.6,1.25,1.6451760402377689,200.0,200.0,200.0,119.17999999999999,123.25,120.03182441700962,30.76,35.625,32.73219021490627,7.2,8.25,6.950617283950619,14.0,14.375,13.30224051211706,78.4,82.25,74.64471879286695,10.98,12.55,11.691358024691361,7.2,8.375,7.256515775034296,0.42939999999999995,0.411375,0.4166278006401464,22.4,22.75,20.55921353452218,0.4114,0.401375,0.38609922267946967,9.6,9.5,8.237768632830363,50.6,52.7125,51.786328303612265,28.4,31.0,27.14860539551898,0.6328,0.63375,0.640984453589392,15.88,15.075,17.05637860082305,11.2,11.125,11.412437128486513,29.6,32.875,29.32693187014175,0.6274,0.642,0.6733918609967994,18.2,20.625,19.076360310928216,0.8256,0.845125,0.8270553269318702,7.4,6.0,7.354823959762233
2009-12-31,"Kohl Center, Madison, Wisconsin",OHIO-STATE,WISCONSIN,Home,35.7,5,16.7,4,110.2,76.0,21,0.372,43,0.326,14,0.442,19,0.579,11,3,200.0,72.9,13.8,2,16,43,13.6,8,0.302,13.0,0.308,4.0,42.6,23,0.413,18.9,11,30.0,0.333,10.0,0.769,10,60.92,57.199999999999996,60.828059746989794,16.6,16.666666666666668,15.227861606462431,15.979999999999999,17.11111111111111,17.854000914494744,5.0,5.666666666666667,5.526748971193417,88.92,84.54444444444444,87.0523090992227,69.14,66.98888888888888,66.95797896662096,21.2,22.666666666666668,20.79865874104558,0.6318,0.6207777777777778,0.608490016765737,49.2,54.333333333333336,47.92409693644262,0.5464,0.5362222222222223,0.5272270995275111,27.0,29.11111111111111,25.20941929583905,0.45099999999999996,0.3931111111111111,0.479730376467002,22.0,20.77777777777778,22.465630239292793,0.665,0.6494444444444444,0.6815061728395062,14.8,13.666666666666666,15.519128181679624,1.8,1.3333333333333333,1.763450693491846,200.0,200.0,200.0,119.3,121.67777777777776,116.38788294467308,29.880000000000003,35.22222222222222,32.48812680993751,6.4,8.0,6.6337448559670795,13.8,14.222222222222221,13.201493674744707,77.4,81.11111111111111,73.76314586191131,10.260000000000002,12.166666666666666,10.827572016460909,6.6,8.11111111111111,6.837677183356198,0.3964,0.401,0.38375186709343095,19.6,21.77777777777778,18.37280902301479,0.42560000000000003,0.41233333333333333,0.42406614845297985,8.6,9.222222222222221,7.8251790885535755,51.58,52.41111111111111,51.190885535741515,27.6,30.666666666666668,27.432403597012655,0.646,0.6314444444444445,0.631656302392928,17.28,15.811111111111112,18.6042524005487,11.8,11.555555555555555,12.608291418991008,29.6,32.55555555555556,29.551287913427835,0.6342,0.6225555555555555,0.6045945739978663,18.4,19.88888888888889,17.38424020728548,0.8208,0.8437777777777778,0.8290368846212468,8.2,6.444444444444445,8.236549306508156
2010-01-03,"Crisler Arena, Ann Arbor, Michigan",OHIO-STATE,MICHIGAN,Home,54.2,13,5.6,2,117.7,72.0,19,0.446,65,0.369,24,0.123,8,0.75,6,4,200.0,103.2,45.0,17,17,64,8.1,5,0.492,32.0,0.313,10.0,55.4,36,0.465,15.9,13,33.0,0.424,14.0,0.714,10,53.839999999999996,55.05,52.45203983132653,12.2,15.5,11.818574404308288,18.06,17.07,17.4693339429965,5.4,5.5,5.017832647462278,95.18,87.11,94.76820606614848,68.85999999999999,67.89,69.97198597774731,20.6,22.5,20.865772494030388,0.5528000000000001,0.5959000000000001,0.5296600111771581,45.8,53.2,46.28273129096175,0.48500000000000004,0.5152,0.4601513996850074,22.2,27.6,21.472946197226037,0.446,0.398,0.4671535843113347,20.2,20.6,21.31042015952853,0.6449999999999999,0.6424,0.6473374485596708,13.2,13.4,14.01275212111975,2.2,1.5,2.1756337956612306,200.0,200.0,200.0,104.66,116.8,101.8919219631154,26.48,33.08,26.258751206625007,5.2,7.4,5.0891632373113875,14.2,14.4,14.134329116496474,63.8,77.3,63.508763907940875,10.62,12.309999999999999,11.751714677640607,6.4,8.1,7.2251181222374665,0.3602,0.3911,0.35650124472895395,16.4,20.9,16.58187268200986,0.37679999999999997,0.40190000000000003,0.3853774323019866,6.2,8.7,6.550119392369051,48.88,51.42999999999999,48.327257023827684,25.8,29.9,25.95493573134177,0.5772,0.6096,0.5587708682619521,18.64,16.119999999999997,18.702834933699133,12.0,11.5,12.07219427932734,29.4,32.3,29.700858608951894,0.5588,0.5936,0.5140630493319109,16.0,18.9,14.922826804856989,0.7996,0.8362999999999999,0.8090245897474979,8.8,6.8,8.824366204338771
2010-01-06,"Value City Arena, Columbus, Ohio",INDIANA,OHIO-STATE,Home,66.7,16,0.0,0,72.0,69.7,25,0.538,52,0.462,24,0.615,32,0.719,23,4,200.0,105.3,26.7,6,20,79,10.7,8,0.365,19.0,0.421,8.0,49.2,31,0.588,19.5,15,33.0,0.485,16.0,0.733,11,55.08,54.972727272727276,53.034693220884364,12.4,15.272727272727273,12.212382936205525,14.739999999999998,16.027272727272727,13.512889295331002,4.2,5.181818181818182,4.011888431641519,95.6,89.89090909090909,102.41213737743233,71.35999999999999,68.26363636363637,70.64799065183155,20.0,22.181818181818183,20.243848329353593,0.5342,0.5822727272727273,0.5017733407847721,48.6,54.27272727272727,52.52182086064117,0.4608,0.5019090909090909,0.42976759979000495,22.0,27.272727272727273,22.31529746481736,0.4,0.373,0.35243572287422315,18.2,19.454545454545453,16.873613439685688,0.6728,0.6521818181818181,0.6815582990397806,12.2,12.727272727272727,11.341834747413168,2.6,1.7272727272727273,2.7837558637741537,200.0,200.0,200.0,104.67999999999999,115.56363636363636,102.32794797541027,31.139999999999997,34.163636363636364,32.50583413775001,7.6,8.272727272727273,9.059442158207592,13.8,14.636363636363637,15.089552744330984,63.4,76.0909090909091,63.67250927196059,10.98,11.927272727272726,10.534476451760405,6.6,7.818181818181818,6.483412081491645,0.392,0.40027272727272734,0.40166749648596933,19.4,21.90909090909091,21.72124845467324,0.3806,0.3938181818181818,0.3612516215346578,7.2,8.818181818181818,7.700079594912701,50.96,51.790909090909096,50.68483801588512,27.6,30.454545454545453,29.30329048756118,0.5593999999999999,0.5964545454545455,0.5275139121746347,18.919999999999998,16.099999999999998,17.76855662246609,12.6,11.636363636363637,12.381462852884894,29.2,32.36363636363637,30.80057240596793,0.526,0.5781818181818182,0.4840420328879406,14.8,18.454545454545453,14.61521786990466,0.7867999999999999,0.8251818181818181,0.777349726498332,9.4,7.090909090909091,9.216244136225848
2010-01-09,"Williams Arena, Minneapolis, Minnesota",OHIO-STATE,MINNESOTA,Home,52.0,13,14.3,3,107.4,60.9,16,0.5,55,0.455,25,0.236,13,0.538,7,5,200.0,91.2,35.5,9,20,62,17.6,12,0.327,18.0,0.278,5.0,46.3,25,0.507,23.8,17,37.0,0.541,20.0,0.688,11,57.38000000000001,55.949999999999996,57.58979548058958,12.4,15.333333333333334,13.47492195747035,11.98,14.691666666666665,9.008592863554002,3.4,4.75,2.674592287761013,95.46000000000001,88.39999999999999,92.27475825162156,68.94000000000001,68.38333333333334,70.3319937678877,19.6,22.416666666666668,21.829232219569064,0.5178,0.5785833333333333,0.5138488938565148,48.2,54.083333333333336,52.34788057376079,0.44580000000000003,0.4985833333333334,0.4405117331933367,21.0,27.0,22.87686497654491,0.4526,0.39316666666666666,0.4399571485828154,20.8,20.5,21.91574229312379,0.7008,0.65775,0.6940388660265204,14.6,13.583333333333334,15.22788983160878,3.0,1.9166666666666667,3.189170575849436,200.0,200.0,200.0,102.1,114.70833333333333,103.31863198360685,30.560000000000002,33.541666666666664,30.57055609183334,7.2,8.083333333333334,8.039628105471728,15.2,15.083333333333334,16.72636849622066,63.6,76.33333333333333,68.78167284797374,10.7,11.825000000000001,10.58965096784027,6.6,7.833333333333333,6.988941387661097,0.3872,0.3973333333333333,0.3894449976573129,19.0,21.666666666666668,20.814165636448827,0.379,0.39608333333333334,0.38116774768977185,7.0,8.75,7.800053063275135,49.14,51.574999999999996,50.189892010590086,26.8,30.5,29.86886032504079,0.5532,0.59575,0.5476759414497565,19.82,16.383333333333333,18.345704414977394,13.4,11.916666666666666,13.25430856858993,29.2,32.416666666666664,31.533714937311956,0.5018,0.5704166666666667,0.4843613552586271,14.0,18.25,15.076811913269776,0.7734,0.8175,0.7625664843322214,10.0,7.416666666666667,9.810829424150565
2010-01-12,"Mackey Arena, West Lafayette, Indiana",OHIO-STATE,PURDUE,Away,40.0,10,6.9,2,101.5,68.8,23,0.561,49,0.51,25,0.367,18,0.833,15,5,200.0,107.7,36.0,8,12,70,13.8,9,0.224,11.0,0.455,5.0,54.4,31,0.608,21.9,16,38.0,0.526,20.0,0.706,12,55.06,55.646153846153844,55.72653032039305,12.2,15.153846153846153,13.316614638313567,11.979999999999999,14.661538461538461,10.772395242369335,3.2,4.615384615384615,2.7830615251740087,99.34,89.86153846153846,97.31650550108105,68.62,67.8076923076923,67.18799584525846,20.6,21.923076923076923,19.886154813046044,0.48260000000000003,0.5725384615384616,0.5092325959043432,51.8,54.15384615384615,53.2319203825072,0.4178,0.4952307692307692,0.4453411554622245,21.6,26.846153846153847,23.58457665102994,0.4242,0.38107692307692304,0.37197143238854363,20.6,19.923076923076923,18.94382819541586,0.6656000000000001,0.6485384615384615,0.642025910684347,14.0,13.076923076923077,12.485259887739186,3.6,2.1538461538461537,3.792780383899624,200.0,200.0,200.0,96.34,112.9,99.27908798907123,30.6,33.69230769230769,32.21370406122223,8.0,8.153846153846153,8.359752070314485,17.2,15.461538461538462,17.81757899748044,64.0,75.23076923076923,66.52111523198249,11.82,12.26923076923077,12.926433978560182,7.8,8.153846153846153,8.659294258440731,0.36079999999999995,0.39192307692307693,0.3686299984382086,19.2,21.384615384615383,19.87611042429922,0.364,0.38699999999999996,0.34677849845984793,6.8,8.461538461538462,6.866702042183423,48.7,51.16923076923077,48.893261340393394,28.6,30.076923076923077,28.245906883360526,0.5172,0.588923076923077,0.5341172942998377,19.96,16.953846153846154,20.163802943318267,14.2,12.307692307692308,14.502872379059955,32.6,32.76923076923077,33.35580995820797,0.45,0.5681538461538461,0.5032409035057515,14.8,18.384615384615383,16.717874608846518,0.7474,0.8075384615384615,0.7377109895548143,10.4,7.6923076923076925,10.207219616100378
2010-01-16,"Value City Arena, Columbus, Ohio",WISCONSIN,OHIO-STATE,Home,41.7,10,9.5,2,91.1,69.2,19,0.554,46,0.522,24,0.261,12,0.75,9,5,200.0,107.1,25.0,5,16,60,8.9,5,0.13,6.0,0.5,3.0,48.0,24,0.58,17.7,11,40.0,0.525,21.0,0.722,13,49.720000000000006,54.528571428571425,50.4843535469287,11.4,14.785714285714286,12.21107642554238,8.7,14.107142857142858,9.481596828246225,2.2,4.428571428571429,2.522041016782673,101.76000000000002,90.69285714285715,98.71100366738737,69.47999999999999,67.87857142857142,67.72533056350564,20.8,22.0,20.924103208697364,0.48340000000000005,0.5717142857142857,0.5264883972695622,52.8,53.785714285714285,51.82128025500481,0.4244,0.49628571428571433,0.46689410364148304,22.4,26.714285714285715,24.05638443401996,0.3566,0.38007142857142856,0.3703142882590291,18.0,19.785714285714285,18.62921879694391,0.6838,0.6617142857142857,0.7056839404562314,12.4,13.214285714285714,13.323506591826126,4.2,2.357142857142857,4.195186922599749,200.0,200.0,200.0,96.06,112.52857142857144,102.08605865938083,31.4,33.857142857142854,33.47580270748149,8.4,8.142857142857142,8.23983471354299,17.0,15.214285714285714,15.878385998320294,63.6,74.85714285714286,67.68074348798834,12.76,12.37857142857143,13.217622652373455,8.4,8.214285714285714,8.772862838960489,0.34199999999999997,0.37992857142857145,0.32041999895880574,18.6,20.642857142857142,16.917406949532815,0.355,0.39185714285714285,0.38285233230656535,6.4,8.214285714285714,6.244468028122283,49.58,51.4,50.7288408935956,29.2,30.142857142857142,29.16393792224035,0.5162,0.5902857142857142,0.5587448628665586,20.0,17.307142857142857,20.742535295545512,14.4,12.571428571428571,15.001914919373306,34.2,33.142857142857146,34.90387330547198,0.46180000000000004,0.5651428571428572,0.5108272690038343,16.0,18.5,17.81191640589768,0.722,0.8002857142857144,0.7271406597032095,10.8,8.0,10.804813077400253
