date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-09,"Convocation Center, Athens, Ohio",Austin Peay,Ohio,Away,39.1,9,17.9,7,97.1,58.8,23,0.405,63,0.365,23,0.317,20,0.75,15,3,200.0,94.3,38.2,10,18,66,11.4,8,0.381,24.0,0.208,5.0,48.5,33,0.455,13.3,11,39.0,0.462,18.0,0.571,4,57.239999999999995,57.239999999999995,56.103703703703715,13.6,13.6,12.851851851851855,7.859999999999999,7.859999999999999,5.839506172839507,3.2,3.2,2.4197530864197536,89.9,89.9,92.63456790123459,63.58,63.58,61.25185185185186,25.6,25.6,24.098765432098773,0.4424,0.4424,0.4281851851851853,61.0,61.0,61.55555555555557,0.3888,0.3888,0.3752222222222223,23.6,23.6,22.92592592592593,0.488,0.488,0.48553086419753094,28.8,28.8,28.876543209876548,0.752,0.752,0.7473827160493829,21.6,21.6,21.543209876543216,0.6,0.6,0.8888888888888888,200.0,200.0,200.0,100.3,100.3,99.4604938271605,36.739999999999995,36.739999999999995,36.03950617283951,10.6,10.6,10.320987654320989,21.8,21.8,22.888888888888893,75.6,75.6,74.14814814814815,12.3,12.3,11.56666666666667,9.2,9.2,8.555555555555557,0.3364,0.3364,0.33103703703703713,20.8,20.8,20.567901234567906,0.3218,0.3218,0.3280123456790124,6.8,6.8,6.753086419753087,49.38,49.38,47.37901234567902,36.2,36.2,34.41975308641976,0.5052,0.5052,0.49213580246913585,16.18,16.18,15.040740740740745,14.2,14.2,13.111111111111112,40.2,40.2,40.98765432098766,0.4154,0.4154,0.39329629629629637,16.8,16.8,16.172839506172842,0.8934000000000001,0.8934000000000001,0.8445555555555557,3.4,3.4,3.5061728395061733
2009-12-12,"Bob Carpenter Center, Newark, Delaware",Ohio,Delaware,Away,55.6,15,0.0,0,95.9,63.6,21,0.577,52,0.519,27,0.673,35,0.743,26,3,200.0,117.8,27.6,8,25,86,13.7,10,0.269,14.0,0.429,6.0,46.8,29,0.627,15.1,11,38.0,0.553,21.0,0.625,5,52.56,54.21666666666667,50.435802469135815,12.4,12.833333333333334,11.567901234567904,10.319999999999999,9.533333333333333,9.859670781893005,4.2,3.8333333333333335,3.946502057613169,91.88000000000001,91.10000000000001,94.12304526748973,61.06,62.78333333333333,60.43456790123457,25.6,25.166666666666668,23.732510288065853,0.4194,0.43616666666666665,0.4204567901234569,63.6,61.333333333333336,62.03703703703705,0.3658,0.38483333333333336,0.3718148148148149,23.4,23.5,22.95061728395062,0.3914,0.4595,0.4293539094650206,24.8,27.333333333333332,25.917695473251037,0.757,0.7516666666666666,0.7482551440329219,18.8,20.5,19.36213991769548,1.2,1.0,1.5925925925925926,200.0,200.0,200.0,98.4,99.3,97.74032921810701,37.72,36.983333333333334,36.75967078189301,11.0,10.5,10.213991769547327,21.0,21.166666666666668,21.259259259259263,72.6,74.0,71.4320987654321,12.520000000000001,12.15,11.511111111111113,9.2,9.0,8.370370370370372,0.3686,0.34383333333333327,0.3476913580246914,23.4,21.333333333333332,21.711934156378604,0.2906,0.30283333333333334,0.288008230452675,7.0,6.5,6.168724279835391,48.92,49.23333333333333,47.75267489711935,36.6,35.666666666666664,33.94650205761317,0.4788,0.4968333333333333,0.4797572016460906,14.280000000000001,15.700000000000001,14.460493827160498,12.4,13.666666666666666,12.407407407407408,40.2,40.0,40.32510288065844,0.40520000000000006,0.4231666666666667,0.41619753086419764,16.4,17.0,16.78189300411523,0.8076000000000001,0.8396666666666667,0.7533703703703705,3.8,3.5,3.670781893004116
2009-12-16,"Convocation Center, Athens, Ohio",Illinois State,Ohio,Home,65.4,17,19.5,8,85.1,56.8,24,0.563,56,0.464,26,0.232,13,0.923,12,3,200.0,111.9,37.0,7,13,75,4.5,3,0.446,25.0,0.44,11.0,48.4,31,0.603,17.4,13,31.0,0.484,15.0,0.667,6,49.68,54.41428571428571,52.15720164609055,11.2,13.142857142857142,12.711934156378604,7.739999999999999,8.17142857142857,6.573113854595337,3.4,3.2857142857142856,2.631001371742113,90.82000000000001,91.78571428571429,94.71536351165983,58.779999999999994,62.9,61.48971193415639,23.8,24.571428571428573,22.821673525377236,0.429,0.4562857142857143,0.4726378600823046,60.4,60.0,58.69135802469137,0.3814,0.40399999999999997,0.4208765432098766,22.8,24.0,24.30041152263375,0.44960000000000006,0.49000000000000005,0.5105692729766804,26.6,28.428571428571427,28.94513031550069,0.744,0.7504285714285714,0.7465034293552812,19.8,21.285714285714285,21.57475994513032,1.8,1.2857142857142858,2.0617283950617287,200.0,200.0,200.0,99.0,101.94285714285715,104.42688614540468,35.540000000000006,35.642857142857146,33.706447187928674,9.6,10.142857142857142,9.475994513031551,22.2,21.714285714285715,22.506172839506178,71.2,75.71428571428571,76.28806584362141,12.540000000000001,12.37142857142857,12.240740740740742,9.0,9.142857142857142,8.913580246913583,0.34,0.33314285714285713,0.3214609053497943,20.6,20.285714285714285,19.141289437585737,0.2906,0.32085714285714284,0.33500548696845,5.8,6.428571428571429,6.112482853223595,46.88000000000001,48.885714285714286,47.43511659807957,33.4,34.714285714285715,32.29766803840879,0.48840000000000006,0.5154285714285713,0.5288381344307271,14.3,15.614285714285714,14.673662551440334,11.8,13.285714285714286,11.938271604938272,39.8,39.714285714285715,39.55006858710563,0.4258,0.4417142857142857,0.46179835390946516,17.0,17.571428571428573,18.187928669410155,0.7326,0.809,0.7105802469135805,4.2,3.7142857142857144,4.113854595336077
2009-12-19,"Convocation Center, Athens, Ohio",Eastern Kentucky,Ohio,Home,79.2,19,0.0,0,92.5,79.3,24,0.509,54,0.444,24,0.407,22,0.864,19,3,200.0,110.4,32.3,9,16,74,13.4,9,0.519,28.0,0.25,7.0,55.0,33,0.574,14.7,11,26.0,0.654,17.0,0.7,7,54.42,55.7875,56.57146776406037,12.6,13.625,14.141289437585737,8.5,9.587499999999999,10.882075903063559,3.4,3.875,4.420667581161409,95.4,90.95,91.51024234110656,57.86,62.1375,59.926474622770925,22.4,24.5,23.21444901691816,0.45519999999999994,0.46962499999999996,0.5027585733882031,59.8,59.5,57.79423868312758,0.3928,0.4115,0.43525102880658445,23.2,24.25,24.866941015089168,0.40780000000000005,0.45775000000000005,0.41771284865112035,24.0,26.5,23.630086877000462,0.7748,0.772,0.8053356195701875,18.2,20.125,18.383173296753547,2.4,1.5,2.374485596707819,200.0,200.0,200.0,102.2,103.1875,106.91792409693646,34.46,35.8125,34.80429812528578,9.0,9.75,8.650663008687701,21.2,20.625,19.337448559670786,72.0,75.625,75.85871056241427,10.2,11.3875,9.660493827160495,7.2,8.375,6.942386831275722,0.37160000000000004,0.34725,0.3629739368998629,22.2,20.875,21.094192958390494,0.34340000000000004,0.33575,0.3700036579789667,7.4,7.0,7.741655235482398,45.92,48.825,47.75674439871972,31.4,34.25,31.86511202560586,0.5094,0.526375,0.5535587562871515,13.7,15.8375,15.582441700960223,10.8,13.25,12.292181069958849,37.6,38.625,36.70004572473709,0.4226,0.447,0.46919890260631014,15.8,17.25,17.12528577960677,0.666,0.79125,0.696053497942387,4.6,4.0,4.7425697302240515
2009-12-22,"Petersen Events Center, Pittsburgh, Pennsylvania",Ohio,Pitt,Home,35.3,6,4.4,2,105.7,59.1,16,0.275,71,0.239,17,0.211,15,0.667,10,4,200.0,70.0,34.5,17,17,49,17.1,12,0.296,21.0,0.238,5.0,41.3,33,0.314,12.4,11,50.0,0.24,12.0,0.636,7,58.260000000000005,58.388888888888886,64.11431184270691,14.6,14.222222222222221,15.760859625057158,7.479999999999999,8.52222222222222,7.25471726870904,3.0,3.4444444444444446,2.9471117207742727,95.72,91.12222222222222,91.84016156073771,62.82000000000001,64.04444444444444,66.38431641518062,22.4,24.444444444444443,23.47629934461211,0.49499999999999994,0.474,0.5048390489254687,59.0,58.888888888888886,56.52949245541839,0.4298,0.4151111111111111,0.438167352537723,25.0,24.22222222222222,24.577960676726114,0.403,0.45211111111111113,0.41414189910074695,23.4,26.0,23.086724584666975,0.8116,0.7822222222222223,0.8248904130467918,18.6,20.0,18.588782197835698,2.8,1.6666666666666667,2.582990397805213,200.0,200.0,200.0,108.22,103.98888888888888,108.07861606462431,34.1,35.422222222222224,33.96953208352386,9.2,9.666666666666666,8.767108672458468,19.6,20.11111111111111,18.224965706447193,76.2,75.44444444444444,75.23914037494285,10.459999999999999,11.61111111111111,10.906995884773664,7.4,8.444444444444445,7.628257887517148,0.38580000000000003,0.3663333333333333,0.41498262459990864,22.6,21.666666666666668,23.396128638926996,0.3472,0.3262222222222222,0.3300024386526445,7.6,7.0,7.494436823654932,48.279999999999994,49.51111111111111,50.17116293247982,31.6,34.111111111111114,32.24340801707058,0.5484,0.5316666666666667,0.5603725041914343,13.88,15.711111111111112,15.288294467306816,10.8,13.0,11.861454046639233,36.4,37.22222222222222,33.133363816491396,0.49720000000000003,0.47000000000000003,0.5307992684042068,17.4,17.22222222222222,17.08352385307118,0.6460000000000001,0.7811111111111111,0.6973689986282581,5.2,4.333333333333333,5.495046486816035
2009-12-29,"Convocation Center, Athens, Ohio",Elon,Ohio,Home,70.8,17,2.2,1,83.1,68.2,31,0.518,57,0.421,24,0.316,18,0.667,12,4,200.0,100.0,36.8,13,17,71,11.3,8,0.474,27.0,0.407,11.0,53.7,44,0.542,21.7,18,30.0,0.433,13.0,0.667,8,54.92,56.08,54.50954122847128,13.2,13.4,12.507239750038107,8.36,8.11,6.3031448458060275,3.4,3.3,2.631407813849515,95.26,92.58,96.46010770715849,63.519999999999996,63.55,63.956210943453755,21.6,23.6,20.98419956307474,0.46579999999999994,0.45410000000000006,0.42822603261697917,59.2,60.1,61.35299497027893,0.4062,0.3975,0.3717782350251487,23.4,23.5,22.051973784484076,0.368,0.42800000000000005,0.3464279327338313,21.0,24.9,20.39114972311132,0.7894,0.7706999999999999,0.772260275364528,16.4,19.0,15.725854798557133,3.2,1.9,3.055326931870142,200.0,200.0,200.0,100.88,100.59,95.38574404308288,33.92,35.33,34.146354722349244,10.2,10.4,11.511405781638977,17.8,19.8,17.81664380429813,70.0,72.8,66.4927602499619,12.02,12.16,12.97133058984911,8.4,8.8,9.085505258344767,0.3822,0.3593,0.3753217497332725,22.4,21.6,22.597419092617997,0.313,0.3174,0.299334959101763,6.8,6.8,6.662957882436622,48.0,48.69,47.21410862165322,31.8,34.0,32.495605344713724,0.5146,0.5099,0.47824833612762285,14.580000000000002,15.38,14.325529644871212,11.4,12.8,11.574302697759489,36.8,38.5,38.75557587766093,0.47859999999999997,0.44699999999999995,0.4338661789361379,16.6,16.7,15.389015902047456,0.6397999999999999,0.7666000000000001,0.6769126657521721,5.8,4.6,5.996697657877357
2010-01-02,"Charles L. Sewall Center, Coraopolis, Pennsylvania",Ohio,Robert Morris,Home,61.5,16,2.2,1,115.7,51.4,20,0.574,54,0.481,26,0.407,22,0.773,17,5,200.0,112.9,25.0,5,24,79,14.3,10,0.407,22.0,0.455,10.0,41.0,25,0.613,18.0,14,32.0,0.5,16.0,0.615,8,61.260000000000005,57.41818181818182,59.93969415231419,14.8,13.727272727272727,14.004826500025406,5.22,7.572727272727272,4.935429897204019,2.2,3.090909090909091,2.0876052092330104,92.46,91.71818181818182,92.00673847143901,65.4,63.972727272727276,65.37080729563584,23.2,24.272727272727273,24.322799708716495,0.48840000000000006,0.45990909090909093,0.45815068841131945,58.0,59.81818181818182,59.90199664685262,0.41740000000000005,0.3996363636363636,0.3881854900167658,23.6,23.545454545454547,22.70131585632272,0.3678,0.4178181818181818,0.3362852884892209,20.6,24.272727272727273,19.594099815407546,0.7727999999999999,0.7612727272727273,0.7371735169096854,15.8,18.363636363636363,14.48390319903809,3.4,2.090909090909091,3.370217954580095,200.0,200.0,200.0,102.02000000000001,100.53636363636365,96.92382936205526,33.64,35.46363636363637,35.03090314823283,10.8,10.636363636363637,12.007603854425986,17.6,19.545454545454547,17.544429202865423,71.0,72.63636363636364,67.99517349997461,12.0,12.081818181818182,12.414220393232743,8.4,8.727272727272727,8.723670172229845,0.4008,0.36972727272727274,0.40821449982218166,23.0,22.09090909090909,24.06494606174533,0.3528,0.3255454545454545,0.335223306067842,8.0,7.181818181818182,8.108638588291083,49.04,49.14545454545455,49.376072414435484,34.0,34.90909090909091,36.33040356314248,0.5319999999999999,0.5128181818181818,0.4994988907517486,16.259999999999998,15.954545454545455,16.78368642991414,12.8,13.272727272727273,13.716201798506326,35.0,37.72727272727273,35.83705058510729,0.4728,0.44572727272727275,0.4335774526240919,15.6,16.363636363636363,14.59267726803164,0.659,0.7575454545454545,0.6736084438347815,6.6,4.909090909090909,6.664465105251572
2010-01-06,"The Jungle, Indianapolis, Indiana",Ohio,IUPUI,Away,66.7,16,8.6,3,95.4,54.5,17,0.474,58,0.414,24,0.207,12,0.667,8,5,200.0,96.9,45.5,10,17,63,18.5,12,0.379,22.0,0.318,7.0,49.1,27,0.495,19.2,15,36.0,0.472,17.0,0.643,9,62.44,57.75833333333333,60.4597961015428,15.0,13.916666666666666,14.669884333350272,5.659999999999999,7.125,4.023619931469346,2.4,2.9166666666666665,1.7250701394886736,96.42,93.71666666666665,99.90449231429267,62.96,62.925000000000004,60.7138715304239,23.0,23.916666666666668,22.881866472477668,0.4878,0.46941666666666665,0.4967671256075463,58.4,59.333333333333336,57.934664431235085,0.4098,0.40641666666666665,0.41912366001117723,23.4,23.75,23.80087723754848,0.3146,0.41691666666666666,0.35985685899281394,18.0,24.083333333333332,20.39606654360503,0.7788,0.76225,0.7491156779397903,14.0,18.25,15.322602132692062,3.8,2.3333333333333335,3.9134786363867304,200.0,200.0,200.0,101.04,101.56666666666666,102.24921957470352,33.12,34.59166666666667,31.687268765488554,10.2,10.166666666666666,9.671735902950658,17.4,19.916666666666668,19.696286135243618,69.6,73.16666666666667,71.66344899998307,12.120000000000001,12.266666666666666,13.042813595488497,8.4,8.833333333333334,9.14911344815323,0.4284,0.37283333333333335,0.4078096665481211,24.6,22.083333333333332,23.376630707830223,0.358,0.3363333333333333,0.37514887071189473,8.8,7.416666666666667,8.739092392194056,47.879999999999995,48.46666666666667,46.584048276290325,33.2,34.083333333333336,32.553602375428326,0.5292,0.5211666666666667,0.537332593834499,16.84,16.125,17.189124286609427,13.4,13.333333333333334,13.810801199004217,33.8,37.25,34.55803372340486,0.4622,0.45025000000000004,0.45571830174939465,14.6,16.333333333333332,15.061784845354428,0.6569999999999999,0.7456666666666667,0.6540722958898544,7.2,5.166666666666667,7.109643403501048
2010-01-09,"Convocation Center, Athens, Ohio",Kent State,Ohio,Away,55.0,11,10.8,4,84.9,73.5,25,0.409,55,0.364,20,0.4,22,0.682,15,6,200.0,82.2,31.4,11,19,60,12.3,9,0.418,23.0,0.217,5.0,52.2,36,0.458,20.8,17,32.0,0.469,15.0,0.6,9,62.7,58.44615384615384,62.539864067695206,14.8,14.076923076923077,15.113256222233517,3.4799999999999995,7.238461538461538,5.549079954312898,1.4,2.923076923076923,2.1500467596591157,98.47999999999999,93.84615384615384,98.40299487619512,62.5,62.276923076923076,58.642581020282606,21.6,23.384615384615383,20.921244314985113,0.47000000000000003,0.4697692307692308,0.48917808373836424,58.8,59.23076923076923,57.95644295415673,0.3998,0.40700000000000003,0.41741577334078483,23.0,23.76923076923077,23.867251491698987,0.3096,0.40076923076923077,0.308904572661876,17.8,23.153846153846153,17.59737769573669,0.7276,0.7549230769230769,0.7217437852931936,13.2,17.46153846153846,12.881734755128042,4.2,2.5384615384615383,4.275652424257821,200.0,200.0,200.0,98.04,101.20769230769231,100.46614638313568,34.82,35.43076923076923,36.2915125103257,10.8,10.153846153846153,9.781157268633773,18.2,19.692307692307693,18.797524090162412,67.2,72.38461538461539,68.77563266665538,14.919999999999998,12.746153846153845,14.861875730325664,10.2,9.076923076923077,10.099408965435487,0.4149999999999999,0.3733076923076923,0.3982064443654141,24.0,22.076923076923077,22.91775380522015,0.3336,0.33492307692307693,0.3560992471412632,8.0,7.384615384615385,8.159394928129371,48.02,48.51538461538462,47.42269885086022,32.4,33.53846153846154,30.702401583618887,0.5076,0.5191538461538461,0.5232217292229994,17.2,16.361538461538462,17.859416191072953,13.8,13.461538461538462,14.207200799336146,34.8,37.15384615384615,35.03868914893658,0.4598,0.4519230769230769,0.46114553449959644,15.0,16.384615384615383,15.707856563569619,0.6522,0.7377692307692307,0.6503815305932363,7.8,5.461538461538462,7.739762269000699
2010-01-13,"Convocation Center, Athens, Ohio",Akron,Ohio,Away,45.5,10,5.4,2,98.5,54.1,20,0.46,50,0.44,22,0.42,21,0.762,16,7,200.0,91.2,30.8,8,19,62,13.2,9,0.16,8.0,0.25,2.0,44.4,28,0.517,21.3,15,42.0,0.476,20.0,0.562,9,57.86,58.199999999999996,60.02657604513014,13.2,13.857142857142858,13.742170814822344,5.639999999999999,7.492857142857142,7.299386636208599,2.2,3.0,2.766697839772744,96.96000000000001,93.20714285714287,93.90199658413009,61.34000000000001,63.07857142857143,63.59505401352174,21.8,23.5,22.28082954332341,0.45,0.4654285714285714,0.4624520558255762,59.0,58.92857142857143,56.97096196943782,0.38380000000000003,0.40392857142857147,0.3996105155605233,22.2,23.5,22.57816766113266,0.3082,0.40071428571428575,0.33926971510791737,17.8,23.071428571428573,19.064918463824462,0.6912,0.7497142857142858,0.7084958568621291,12.4,17.285714285714285,13.587823170085363,4.8,2.7857142857142856,4.850434949505214,200.0,200.0,200.0,92.4,99.85000000000001,94.37743092209047,34.64,35.142857142857146,34.66100834021714,11.2,10.214285714285714,10.187438179089183,18.8,19.642857142857142,18.865016060108275,64.4,71.5,65.85042177777026,14.7,12.714285714285714,14.007917153550444,10.2,9.071428571428571,9.732939310290325,0.39479999999999993,0.3765,0.4048042962436094,23.0,22.142857142857142,22.945169203480102,0.327,0.32649999999999996,0.30973283142750885,7.6,7.214285714285714,7.1062632854195815,47.46,48.778571428571425,49.01513256724015,33.0,33.714285714285715,32.46826772241259,0.48439999999999994,0.5147857142857143,0.5014811528153329,18.42,16.678571428571427,18.83961079404864,15.0,13.714285714285714,15.138133866224099,36.0,36.785714285714285,34.02579276595772,0.42279999999999995,0.4531428571428572,0.46376368966639764,14.6,16.285714285714285,15.47190437571308,0.6321999999999999,0.7279285714285715,0.6335876870621576,8.2,5.714285714285714,8.159841512667132
