date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-27,"Barclays Center, Brooklyn, New York",Oklahoma State,Syracuse,Away,63.0,17,8.0,2,91.1,74.3,26,0.573,55,0.491,27,0.509,28,0.821,23,0,200,108.9,34.5,10,24,86,15.2,12,0.473,26,0.346,9,56.3,36,0.63,21.1,18,29,0.621,18,1.0,6,48.14,48.14,48.93580246913581,12.4,12.4,12.34567901234568,19.04,19.04,18.458024691358027,5.8,5.8,5.666666666666668,83.56,83.56,85.2567901234568,79.34,79.34,78.58024691358025,28.0,28.0,28.222222222222225,0.4812,0.4812,0.4651851851851853,60.4,60.4,61.55555555555557,0.43079999999999996,0.43079999999999996,0.41295061728395066,25.8,25.8,25.234567901234573,0.32120000000000004,0.32120000000000004,0.3383580246913581,19.6,19.6,20.962962962962965,0.7,0.7,0.6775432098765433,13.6,13.6,14.185185185185189,0.0,0.0,0.0,200.0,200.0,200.0,100.06,100.06,99.0382716049383,28.080000000000002,28.080000000000002,28.943209876543214,9.8,9.8,10.91358024691358,16.2,16.2,16.95061728395062,71.2,71.2,70.98765432098767,11.26,11.26,11.017283950617285,8.0,8.0,7.888888888888889,0.3274,0.3274,0.3474691358024692,19.8,19.8,21.395061728395063,0.2906,0.2906,0.2893086419753087,6.0,6.0,6.333333333333334,54.239999999999995,54.239999999999995,53.60370370370371,37.8,37.8,39.13580246913581,0.5156000000000001,0.5156000000000001,0.5003456790123457,14.8,14.8,14.417283950617286,12.2,12.2,12.111111111111112,40.6,40.6,40.1604938271605,0.48739999999999994,0.48739999999999994,0.47041975308641987,19.8,19.8,18.901234567901238,1.0,1.0,1.0,3.0,3.0,3.3950617283950617
2019-11-29,"Barclays Center, Brooklyn, New York",Ole Miss,Oklahoma State,Home,39.3,11,13.2,5,48.7,81.4,35,0.516,62,0.452,28,0.242,15,0.933,14,0,200,102.6,18.8,6,14,78,14.5,11,0.435,27,0.296,8,54.7,41,0.564,15.9,13,35,0.571,20,1.0,7,50.3,50.616666666666674,53.62386831275721,13.4,13.166666666666666,13.897119341563787,14.48,17.2,14.972016460905351,3.8,5.166666666666667,4.4444444444444455,84.91999999999999,84.81666666666666,87.2045267489712,79.2,78.5,77.15349794238685,26.0,27.666666666666668,27.481481481481488,0.5072,0.4965,0.5011234567901236,59.2,59.5,59.37037037037038,0.45359999999999995,0.44083333333333335,0.4389670781893005,26.6,26.0,25.823045267489718,0.3116,0.35250000000000004,0.3952386831275721,18.4,21.0,23.308641975308646,0.7112,0.7201666666666666,0.7253621399176955,13.0,15.166666666666666,17.12345679012346,0.0,0.0,0.0,200.0,200.0,200.0,103.85999999999999,101.53333333333335,102.3255144032922,30.98,29.150000000000002,30.795473251028813,10.2,9.833333333333334,10.609053497942387,16.4,17.5,19.30041152263375,72.4,73.66666666666667,75.99176954732512,12.5,11.916666666666666,12.411522633744857,8.8,8.666666666666666,9.25925925925926,0.34340000000000004,0.3516666666666666,0.38931275720164615,20.2,20.833333333333332,22.930041152263378,0.2932,0.29983333333333334,0.3082057613168725,6.2,6.5,7.222222222222223,55.5,54.583333333333336,54.50246913580248,36.2,37.5,38.09053497942388,0.538,0.5346666666666667,0.5435637860082305,14.680000000000001,15.85,16.644855967078193,11.6,13.166666666666666,14.074074074074076,39.0,38.666666666666664,36.440329218107,0.5306000000000001,0.5096666666666666,0.52061316872428,20.4,19.5,18.600823045267493,1.0,1.0,1.0,4.0,3.5,4.263374485596708
2019-12-04,"Gallagher-Iba Arena, Stillwater, Oklahoma",Georgetown,Oklahoma State,Away,48.0,12,11.9,5,108.0,62.1,18,0.5,62,0.403,25,0.258,16,0.75,12,1,200,98.7,20.0,7,17,74,9.3,7,0.516,32,0.375,12,39.1,25,0.532,14.8,12,30,0.433,13,0.875,7,52.44,49.0,48.849245541838144,14.0,12.857142857142858,12.931412894375859,12.68,16.62857142857143,14.381344307270236,3.6,5.142857142857143,4.629629629629631,79.2,79.65714285714286,74.36968449931415,76.85999999999999,78.91428571428571,78.5689986282579,27.6,28.714285714285715,29.98765432098766,0.5104,0.4992857142857143,0.5060823045267491,60.0,59.857142857142854,60.246913580246925,0.4474,0.44242857142857145,0.4433113854595337,26.6,26.285714285714285,26.548696844993145,0.3048,0.33671428571428574,0.3441591220850481,18.2,20.142857142857142,20.539094650205765,0.7602,0.7505714285714286,0.7945747599451304,13.6,15.0,16.082304526748974,0.0,0.0,0.0,200.0,200.0,200.0,103.47999999999999,101.68571428571428,102.41700960219481,28.320000000000004,27.671428571428574,26.796982167352542,9.6,9.285714285714286,9.072702331961592,16.8,17.0,17.533607681755832,74.2,74.28571428571429,76.66117969821676,13.879999999999999,12.285714285714286,13.107681755829905,10.0,9.0,9.839506172839506,0.396,0.36357142857142855,0.4045418381344308,23.6,21.714285714285715,24.28669410150892,0.31239999999999996,0.2992857142857143,0.3041371742112483,7.4,6.714285714285714,7.481481481481483,53.8,54.6,54.56831275720166,37.2,38.0,39.06035665294925,0.5456,0.5388571428571429,0.5503758573388203,15.420000000000002,15.857142857142858,16.396570644718796,12.4,13.142857142857142,13.71604938271605,36.4,38.142857142857146,35.960219478738004,0.5364,0.5184285714285715,0.53740877914952,19.2,19.571428571428573,19.067215363511664,1.0,1.0,1.0,5.0,4.0,5.175582990397805
2019-12-08,"Gallagher-Iba Arena, Stillwater, Oklahoma",Wichita State,Oklahoma State,Away,45.0,9,5.4,2,108.1,62.5,20,0.413,52,0.385,20,0.5,26,0.692,18,2,200,82.4,27.0,10,18,61,8.1,6,0.308,16,0.188,3,43.5,30,0.474,22.1,18,36,0.472,17,0.778,7,47.760000000000005,48.875,48.56616369455877,12.4,12.75,12.620941929583907,11.86,16.0375,13.55422953818016,3.8,5.125,4.753086419753087,83.92,83.2,85.57978966620944,74.74,76.8125,73.0793324188386,26.4,27.375,25.99176954732511,0.49000000000000005,0.499375,0.5040548696844994,61.6,60.125,60.83127572016462,0.4242,0.4375,0.4298742569730225,26.0,26.125,26.032464563328766,0.32300000000000006,0.326875,0.31543941472336545,19.6,19.625,19.02606310013718,0.7323999999999999,0.7505,0.779716506630087,14.4,14.625,14.721536351165984,0.2,0.125,0.3333333333333333,200.0,200.0,200.0,100.4,101.3125,101.17800640146322,27.1,26.712500000000002,24.5313214449017,9.8,9.0,8.381801554641061,17.2,17.0,17.35573845450389,74.4,74.25,75.77411979881117,12.620000000000001,11.9125,11.838454503886604,9.4,8.75,8.893004115226338,0.42140000000000005,0.382625,0.4416945587562872,25.8,23.0,26.857796067672616,0.3016,0.30875,0.3277581161408322,8.0,7.375,8.987654320987655,50.9,52.6625,49.41220850480111,36.2,36.375,34.37357110196617,0.5268,0.538,0.5442505715592136,15.180000000000001,15.725,15.864380429812533,12.6,13.0,13.144032921810702,35.8,37.125,33.973479652492,0.5077999999999999,0.50775,0.5026058527663466,18.0,18.75,17.04481024234111,0.975,0.984375,0.9583333333333334,5.8,4.375,5.783721993598537
2019-12-15,"Hofheinz Pavilion, Houston, Texas",Oklahoma State,Houston,Away,57.1,12,9.4,3,90.2,61.0,25,0.451,51,0.412,21,0.373,19,0.789,15,2,200,100.0,29.0,9,18,61,4.9,3,0.275,14,0.286,4,47.2,34,0.508,13.2,9,37,0.459,17,0.8,8,49.06,48.44444444444444,47.37744246303918,12.2,12.333333333333334,11.413961286389272,11.280000000000001,14.855555555555554,10.836153025453442,3.8,4.777777777777778,3.8353909465020584,89.7,85.96666666666667,93.08652644413962,72.53999999999999,75.22222222222223,69.55288827922574,25.4,26.555555555555557,23.994513031550078,0.4864,0.4897777777777778,0.473703246456333,59.0,59.22222222222222,57.88751714677642,0.4212000000000001,0.4316666666666667,0.4149161713153484,24.8,25.444444444444443,24.021643042219182,0.37679999999999997,0.34611111111111115,0.37695960981557697,21.8,20.333333333333332,21.35070873342479,0.7642,0.744,0.7504776710867247,16.4,15.0,15.81435756744399,0.6,0.3333333333333333,0.8888888888888888,200.0,200.0,200.0,99.10000000000001,99.21111111111111,94.91867093430882,27.5,26.744444444444447,25.354214296601135,9.8,9.11111111111111,8.921201036427375,18.4,17.11111111111111,17.570492303002595,73.8,72.77777777777777,70.84941319920745,10.9,11.488888888888889,10.59230300259107,8.2,8.444444444444445,7.928669410150893,0.4246,0.3743333333333333,0.3971297058375248,25.2,22.22222222222222,23.238530711781745,0.297,0.29533333333333334,0.2811720774272215,7.8,6.888888888888889,6.991769547325104,50.14,51.644444444444446,47.441472336534076,35.2,35.666666666666664,32.91571406797745,0.5328,0.530888888888889,0.5208337143728091,16.940000000000005,16.433333333333334,17.942920286541693,14.0,13.555555555555555,14.762688614540469,33.8,37.0,34.64898643499467,0.5065999999999999,0.5037777777777778,0.4924039018442311,17.0,18.555555555555557,17.029873494894076,0.9306000000000001,0.9614444444444445,0.8982222222222223,6.4,4.666666666666667,6.189147995732358
2019-12-21,"BOK Center, Tulsa, Oklahoma",Minnesota,Oklahoma State,Away,40.0,10,5.9,2,121.1,68.2,15,0.467,60,0.417,25,0.25,15,0.667,10,3,200,93.0,30.3,10,16,66,11.3,8,0.267,16,0.375,6,45.5,25,0.492,17.4,14,44,0.432,19,0.727,8,50.480000000000004,49.31,50.618294975359454,12.2,12.3,11.609307524259515,9.58,14.309999999999999,10.357435350302294,3.4,4.6,3.556927297668039,89.22,86.39,92.12435096275975,68.26,73.8,66.70192551948384,24.8,26.4,24.32967535436672,0.4906,0.4859,0.46613549763755535,56.4,58.4,55.59167809785095,0.42860000000000004,0.42969999999999997,0.4139441142102323,24.2,25.0,23.01442869481279,0.3764,0.3488,0.37563973987705135,20.8,20.2,20.567139155616527,0.7969999999999999,0.7485,0.7633184473911498,16.4,15.0,15.54290504496266,1.0,0.5,1.2592592592592593,200.0,200.0,200.0,98.52000000000001,99.28999999999999,96.61244728953922,25.860000000000003,26.97,26.56947619773409,8.4,9.1,8.947467357618251,18.2,17.2,17.713661535335063,72.0,71.6,67.56627546613831,10.4,10.83,8.694868668394047,7.8,7.9,6.285779606767263,0.40140000000000003,0.3644,0.35641980389168326,23.0,21.4,20.159020474521164,0.29819999999999997,0.2944,0.282781384951481,7.2,6.6,5.99451303155007,48.160000000000004,51.2,47.360981557689385,33.2,35.5,33.277142711984965,0.5416000000000001,0.5286,0.5165558095818727,17.419999999999998,16.11,16.361946857694463,14.0,13.1,12.841792409693648,33.4,37.0,35.43265762332978,0.5112,0.4993,0.4812692678961541,17.0,18.4,17.01991566326272,0.8906000000000001,0.9452999999999999,0.8654814814814815,7.0,5.0,6.792765330488239
2019-12-29,"Gallagher-Iba Arena, Stillwater, Oklahoma",Southeastern Louisiana,Oklahoma State,Home,59.3,16,7.9,3,44.3,78.7,37,0.517,60,0.45,27,0.417,25,0.8,20,3,200,117.1,35.3,12,11,82,11.4,8,0.45,27,0.296,8,60.5,49,0.57,12.3,10,33,0.576,19,0.75,9,45.88,48.46363636363637,47.07886331690631,10.8,12.090909090909092,11.072871682839677,9.16,13.545454545454545,8.871623566868198,3.4,4.363636363636363,3.0379515317786927,95.22,89.54545454545455,101.78290064183983,67.04,73.2909090909091,67.20128367965589,22.6,25.363636363636363,21.219783569577817,0.4694,0.48418181818181816,0.46642366509170363,57.4,58.54545454545455,57.06111873190064,0.4138,0.42854545454545456,0.41496274280682155,23.8,25.0,23.676285796541862,0.32460000000000006,0.3398181818181818,0.33375982658470094,18.2,19.727272727272727,18.71142610374435,0.7662,0.741090909090909,0.7312122982607667,13.8,14.545454545454545,13.69527002997511,1.6,0.7272727272727273,1.8395061728395063,200.0,200.0,200.0,95.34,98.71818181818183,95.40829819302616,25.02,27.272727272727273,27.81298413182273,8.4,9.181818181818182,9.2983115717455,16.6,17.09090909090909,17.14244102355671,68.0,71.0909090909091,67.04418364409221,9.620000000000001,10.872727272727273,9.563245778929366,7.0,7.909090909090909,6.857186404511509,0.3602,0.35554545454545455,0.32661320259445553,21.0,20.90909090909091,18.772680316347444,0.304,0.30172727272727273,0.31352092330098735,6.6,6.545454545454546,5.99634202103338,46.0,50.68181818181818,46.74065437179293,31.0,34.54545454545455,30.51809514132331,0.514,0.5252727272727273,0.5083705397212486,16.68,16.227272727272727,16.70796457179631,13.2,13.181818181818182,13.227861606462433,36.4,37.63636363636363,38.28843841555319,0.4734,0.49318181818181817,0.46484617859743604,17.2,18.454545454545453,17.67994377550848,0.836,0.9254545454545454,0.819320987654321,7.4,5.2727272727272725,7.19517688699216
2020-01-04,"United Supermarkets Arena, Lubbock, Texas",Oklahoma State,Texas Tech,Home,40.0,6,9.7,3,126.9,73.1,19,0.375,52,0.288,15,0.346,18,0.611,11,4,200,74.6,20.0,7,19,50,6.0,4,0.519,27,0.333,9,42.6,26,0.413,18.9,14,25,0.24,6,0.692,9,49.88,49.36666666666667,51.152575544604204,11.8,12.416666666666666,12.715247788559786,8.1,13.075000000000001,8.547749044578799,3.0,4.25,3.0253010211857956,94.33999999999999,85.77499999999999,82.62193376122656,66.5,73.74166666666666,71.03418911977059,23.0,26.333333333333332,26.47985571305188,0.46959999999999996,0.48691666666666666,0.48328244339446913,57.0,58.666666666666664,58.0407458212671,0.41340000000000005,0.4303333333333333,0.426641828537881,23.6,25.166666666666668,24.78419053102791,0.35960000000000003,0.34625,0.36150655105646734,20.2,20.166666666666668,20.807617402496234,0.7396,0.746,0.7541415321738445,15.0,15.0,15.796846686650074,2.2,0.9166666666666666,2.226337448559671,200.0,200.0,200.0,98.24,100.25,102.63886546201743,28.32,27.941666666666666,30.308656087881822,9.6,9.416666666666666,10.198874381163668,16.0,16.583333333333332,15.094960682371141,68.8,72.0,72.02945576272815,9.0,10.916666666666666,10.17549718595291,6.4,7.916666666666667,7.238124269674341,0.3632,0.36341666666666667,0.3677421350629704,21.0,21.416666666666668,21.515120210898296,0.304,0.30125,0.3076806155339916,6.6,6.666666666666667,6.664228014022253,47.160000000000004,51.5,51.32710291452862,32.6,35.75,36.67873009421554,0.5152,0.529,0.528913693147499,15.959999999999999,15.9,15.238643047864208,12.6,12.916666666666666,12.151907737641622,36.0,37.25,36.52562561036879,0.4744,0.5000833333333333,0.5018974523982908,17.0,18.5,18.119962517005654,0.786,0.9108333333333333,0.7962139917695474,7.8,5.583333333333333,7.796784591328107
2020-01-06,"Gallagher-Iba Arena, Stillwater, Oklahoma",West Virginia,Oklahoma State,Away,21.4,3,12.0,3,80.9,72.4,21,0.302,48,0.292,14,0.417,20,0.6,12,5,200,60.3,25.6,10,18,41,14.7,10,0.417,20,0.05,1,45.6,31,0.357,24.1,18,28,0.464,13,0.643,9,48.279999999999994,48.646153846153844,47.43505036306948,10.6,11.923076923076923,10.476831859039859,7.660000000000001,12.815384615384614,8.931832696385866,2.6,4.153846153846154,3.016867347457197,98.11999999999999,88.93846153846154,97.38128917415105,68.7,73.6923076923077,71.72279274651373,23.2,25.76923076923077,23.98657047536792,0.4446,0.4783076923076923,0.4471882955963128,55.0,58.15384615384615,56.02716388084474,0.39039999999999997,0.41938461538461536,0.3804278856919207,21.6,24.384615384615383,21.522793687351943,0.37720000000000004,0.34623076923076923,0.3563377007043116,20.6,20.0,19.87174493499749,0.7118,0.7356153846153847,0.7064276881158964,14.8,14.692307692307692,14.19789779110005,2.8,1.1538461538461537,2.817558299039781,200.0,200.0,200.0,93.42,98.27692307692307,93.2925769746783,28.32,27.33076923076923,26.872437391921217,9.6,9.23076923076923,9.132582920775778,16.4,16.76923076923077,16.396640454914095,64.0,70.3076923076923,64.68630384181877,8.34,10.538461538461538,8.783664790635274,5.8,7.615384615384615,6.158749513116227,0.3638,0.37538461538461537,0.4181614233753136,20.0,21.846153846153847,23.3434134739322,0.2956,0.3036923076923077,0.3161204103559944,6.0,6.846153846153846,7.442818676014836,47.86,50.815384615384616,48.41806860968575,32.8,35.0,33.119153396143695,0.49139999999999995,0.5200769230769231,0.49027579543166605,16.78,16.13076923076923,16.459095365242806,13.0,13.0,12.767938491761083,35.0,36.30769230769231,32.68375040691253,0.43579999999999997,0.48007692307692307,0.4145983015988606,15.6,17.53846153846154,14.079975011337103,0.7494,0.894,0.7614759945130316,8.2,5.846153846153846,8.19785639421874
2020-01-11,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",Oklahoma State,TCU,Home,62.5,10,13.0,3,83.9,74.2,23,0.321,53,0.302,16,0.151,8,0.75,6,6,200,64.5,19.4,7,15,40,8.1,5,0.358,19,0.105,2,44.8,30,0.352,18.7,13,34,0.412,14,0.6,9,43.559999999999995,46.699999999999996,38.75670024204632,9.4,11.285714285714286,7.98455457269324,8.98,12.757142857142856,9.95455513092391,2.8,4.071428571428571,3.0112448983047986,92.67999999999999,88.36428571428571,91.88752611610072,70.67999999999999,73.60000000000001,71.94852849767582,23.4,25.428571428571427,22.991046983578613,0.4224,0.4657142857142857,0.39879219706420854,54.2,57.42857142857143,53.35144258722983,0.3718,0.41028571428571425,0.3509519237946138,20.4,23.642857142857142,19.01519579156796,0.3606,0.3512857142857143,0.3765584671362078,19.4,20.0,19.91449662333166,0.6933999999999999,0.7259285714285715,0.6709517920772643,13.6,14.5,13.465265194066701,3.4,1.4285714285714286,3.5450388660265206,200.0,200.0,200.0,89.0,95.56428571428572,82.2950513164522,28.04,27.207142857142856,26.448291594614147,9.6,9.285714285714286,9.421721947183853,16.4,16.857142857142858,16.931093636609397,60.0,68.21428571428571,56.790869227879185,9.66,10.835714285714285,10.755776527090184,6.6,7.785714285714286,7.439166342077485,0.3856,0.37835714285714284,0.4177742822502091,20.8,21.714285714285715,22.2289423159548,0.268,0.2855714285714286,0.2274136069039963,5.6,6.428571428571429,5.295212450676558,48.28,50.44285714285714,47.47871240645716,33.0,34.714285714285715,32.41276893076247,0.46799999999999997,0.5084285714285715,0.4458505302877774,17.18,16.7,19.006063576828538,13.0,13.357142857142858,14.51195899450739,33.4,35.714285714285715,31.122500271275022,0.4342,0.4789285714285714,0.43106553439924045,14.8,17.214285714285715,13.719983340891403,0.7224,0.8760714285714286,0.7219839963420212,8.6,6.071428571428571,8.465237596145826
