date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-27,"Imperial Arena at Atlantis Resort, Paradise Island",Oregon,Seton Hall,Away,40.0,10,9.4,3,101.5,77.4,24,0.519,53,0.472,25,0.528,28,0.571,16,0,200,104.4,43.3,13,12,71,7.4,5,0.283,15,0.333,5,60.7,37,0.535,16.6,13,38,0.526,20,1.0,6,53.17999999999999,53.17999999999999,53.24197530864198,16.2,16.2,15.09876543209877,7.779999999999999,7.779999999999999,7.938271604938273,2.6,2.6,2.6666666666666665,89.78,89.78,89.74691358024693,69.16,69.16,68.00617283950618,28.2,28.2,27.679012345679013,0.5924,0.5924,0.5784197530864198,57.4,57.4,55.777777777777786,0.52,0.52,0.5055061728395063,29.8,29.8,28.049382716049386,0.3382,0.3382,0.3532098765432099,19.2,19.2,19.395061728395067,0.6752,0.6752,0.6899753086419754,13.0,13.0,13.506172839506174,0.0,0.0,0.0,200.0,200.0,200.0,113.82000000000001,113.82000000000001,112.21975308641977,26.7,26.7,25.28024691358025,8.0,8.0,7.641975308641977,17.6,17.6,16.641975308641975,80.8,80.8,77.53086419753087,8.92,8.92,8.190123456790126,6.4,6.4,5.728395061728396,0.3388,0.3388,0.35224691358024696,19.2,19.2,19.296296296296298,0.4056,0.4056,0.388246913580247,8.2,8.2,7.9259259259259265,53.239999999999995,53.239999999999995,51.344444444444456,36.2,36.2,35.320987654320994,0.6113999999999999,0.6113999999999999,0.6014938271604939,15.88,15.88,15.672839506172842,12.6,12.6,12.086419753086421,38.2,38.2,36.48148148148149,0.5678,0.5678,0.5568024691358027,21.6,21.6,20.12345679012346,1.0,1.0,1.0,3.0,3.0,3.3950617283950617
2019-11-28,"Imperial Arena at Atlantis Resort, Paradise Island",Oregon,Gonzaga,Home,37.0,10,17.6,6,98.6,66.7,24,0.388,80,0.338,27,0.175,14,0.714,10,1,225,97.3,34.0,17,18,72,12.2,9,0.35,28,0.286,8,47.7,41,0.415,6.5,6,52,0.365,19,0.857,6,52.379999999999995,50.98333333333333,48.82798353909466,16.0,15.166666666666666,13.399176954732514,7.56,8.049999999999999,8.425514403292183,2.8,2.6666666666666665,2.7777777777777777,94.02,91.73333333333333,93.66460905349795,68.64000000000001,70.53333333333335,71.13744855967079,27.4,27.5,26.452674897119344,0.6112000000000001,0.5801666666666667,0.5586131687242799,56.0,56.666666666666664,54.85185185185186,0.531,0.512,0.4943374485596709,29.8,29.0,27.03292181069959,0.3538,0.3698333333333334,0.4114732510288066,19.4,20.666666666666668,22.263374485596714,0.6412,0.6578333333333334,0.6503168724279836,12.2,13.5,14.337448559670783,0.0,0.0,0.0,200.0,200.0,200.0,114.7,112.25,109.61316872427986,27.02,29.46666666666667,31.286831275720168,7.6,8.833333333333334,9.427983539094651,17.6,16.666666666666668,15.094650205761317,80.8,79.16666666666667,75.35390946502059,8.139999999999999,8.666666666666666,7.926748971193418,5.8,6.166666666666667,5.485596707818931,0.352,0.32949999999999996,0.329164609053498,19.6,18.5,17.8641975308642,0.45680000000000004,0.3935,0.36983127572016466,9.0,7.666666666666667,6.950617283950619,53.260000000000005,54.48333333333333,54.462962962962976,35.0,36.333333333333336,35.880658436214,0.621,0.5986666666666667,0.579329218106996,16.140000000000004,16.0,15.981893004115229,12.6,12.666666666666666,12.390946502057616,36.4,38.166666666666664,36.98765432098766,0.5708,0.5608333333333334,0.5465349794238685,20.8,21.333333333333332,20.082304526748974,1.0,1.0,1.0,4.0,3.5,4.263374485596708
2019-11-29,"Imperial Arena at Atlantis Resort, Paradise Island",Oregon,UNC,Home,52.0,13,10.3,4,113.0,46.7,14,0.443,70,0.357,25,0.286,20,0.6,12,2,200,107.2,40.5,17,18,74,11.6,8,0.429,30,0.4,12,43.1,31,0.465,8.2,7,40,0.325,13,0.75,6,46.92,48.98571428571428,44.88532235939644,12.6,14.428571428571429,12.266117969821678,10.080000000000002,9.414285714285715,11.483676268861457,3.6,3.142857142857143,3.851851851851852,94.0,92.71428571428571,95.30973936899863,67.70000000000002,69.9857142857143,69.65829903978053,26.2,27.0,25.635116598079566,0.5272,0.5527142857142857,0.5017421124828533,60.0,60.0,63.23456790123458,0.4586,0.48714285714285716,0.4422249657064473,26.8,28.714285714285715,27.02194787379973,0.34540000000000004,0.342,0.3326488340192045,19.6,19.714285714285715,19.508916323731142,0.6456000000000001,0.6658571428571428,0.6715445816186558,12.4,13.0,12.891632373113858,0.2,0.14285714285714285,0.3333333333333333,205.0,203.57142857142858,208.33333333333334,106.25999999999999,110.11428571428571,105.50877914951991,31.160000000000004,30.114285714285717,32.191220850480114,10.6,10.0,11.9519890260631,16.6,16.857142857142858,16.06310013717421,74.0,78.14285714285714,74.23593964334707,8.22,9.171428571428573,9.351165980795614,5.8,6.571428571428571,6.657064471879288,0.3586,0.3324285714285714,0.3361097393689987,21.4,19.857142857142858,21.242798353909464,0.3772,0.37814285714285717,0.34188751714677645,8.0,7.714285714285714,7.3004115226337465,51.58,53.51428571428572,52.20864197530865,36.8,37.0,37.587105624142666,0.5438000000000001,0.5724285714285714,0.5245528120713308,14.360000000000003,14.642857142857142,12.821262002743486,11.4,11.714285714285714,10.260631001371745,38.6,40.142857142857146,41.991769547325106,0.5024,0.5328571428571428,0.4860233196159124,18.8,21.0,19.721536351165984,0.9714,0.9795714285714286,0.9523333333333334,4.8,3.857142857142857,4.842249657064473
2019-12-07,"Matthew Knight Arena, Eugene, Oregon",Hawaii,Oregon,Home,62.5,20,7.4,2,97.0,77.4,24,0.725,51,0.627,32,0.333,17,0.882,15,2,200,134.8,40.0,6,16,89,7.6,5,0.373,19,0.526,10,65.2,30,0.753,17.0,12,32,0.688,22,0.778,7,46.28,49.3625,47.256881572930965,12.0,14.25,12.510745313214453,11.280000000000001,9.525,11.089117512574305,4.0,3.25,3.901234567901235,97.38,95.25,101.20649291266577,64.94,67.075,62.00553269318702,24.4,25.375,21.75674439871971,0.5042000000000001,0.539,0.48216140832190224,62.0,61.25,65.48971193415639,0.43339999999999995,0.470875,0.4138166438042982,26.0,28.25,26.34796524919982,0.31260000000000004,0.335,0.31709922267946966,18.2,19.75,19.67261088248743,0.6544000000000001,0.657625,0.6476963877457705,11.8,12.875,12.594421582075906,0.6,0.375,0.8888888888888888,205.0,203.125,205.55555555555557,106.4,109.75,106.07251943301328,30.880000000000003,31.4125,34.960813900320076,11.4,10.875,13.634659350708734,16.0,17.0,16.708733424782807,72.4,77.625,74.15729309556471,8.719999999999999,9.475,10.100777320530408,6.0,6.75,7.104709647919526,0.3678,0.3445,0.3670731595793325,22.8,21.125,24.161865569272976,0.379,0.380875,0.3612583447645177,8.6,8.25,8.866941015089164,49.760000000000005,52.2125,49.17242798353911,35.8,36.25,35.39140374942845,0.5242,0.559,0.5047018747142206,12.0,13.8375,11.280841335162325,9.2,11.125,9.173754000914498,39.2,40.125,41.327846364883406,0.45920000000000005,0.506875,0.43234887974394165,17.4,20.0,17.481024234110656,0.9214,0.950875,0.884888888888889,5.4,4.125,5.228166438042982
2019-12-14,"Crisler Arena, Ann Arbor, Michigan",Oregon,Michigan,Away,22.2,6,7.5,3,100.0,80.0,24,0.585,53,0.509,27,0.245,13,0.692,9,2,225,101.4,19.2,5,15,71,8.6,6,0.302,16,0.5,8,51.8,29,0.6,18.1,13,37,0.514,19,0.8,8,51.379999999999995,50.82222222222222,52.33792104862064,14.0,14.88888888888889,15.007163542142969,9.82,9.28888888888889,9.859411675049538,3.4,3.111111111111111,3.267489711934157,102.32000000000001,95.44444444444444,99.80432860844385,65.22,68.22222222222223,67.13702179545803,21.6,25.22222222222222,22.50449626581314,0.5442,0.5596666666666666,0.5631076055479348,60.4,60.111111111111114,60.65980795610427,0.46720000000000006,0.4882222222222222,0.48487776253619885,27.0,28.666666666666668,28.23197683279988,0.352,0.3347777777777778,0.3223994817863131,20.0,19.444444444444443,18.781740588324954,0.7058,0.6825555555555556,0.7257975918305137,13.8,13.11111111111111,13.396281054717273,1.0,0.5555555555555556,1.2592592592592593,205.0,202.77777777777777,203.70370370370372,112.74000000000001,112.53333333333333,115.64834628867554,34.06,32.36666666666667,36.64054260021339,11.2,10.333333333333334,11.089772900472491,16.0,16.88888888888889,16.472488949855205,76.8,78.88888888888889,79.10486206370982,9.0,9.266666666666667,9.267184880353607,6.2,6.555555555555555,6.403139765279684,0.3746,0.3476666666666667,0.36904877305288836,22.6,20.88888888888889,22.441243712848653,0.4042,0.397,0.41617222984301183,9.0,8.444444444444445,9.244627343392777,51.4,53.65555555555555,54.51495198902608,32.8,35.55555555555556,33.594269166285635,0.5682,0.5805555555555555,0.5874679164761472,12.88,14.18888888888889,13.187227556774884,9.8,11.222222222222221,10.115836000609665,37.8,39.22222222222222,38.21856424325561,0.49939999999999996,0.527,0.5175659198292945,18.0,20.22222222222222,18.987349489407105,0.877,0.9316666666666666,0.8492592592592594,6.0,4.444444444444445,5.818777625361989
2019-12-18,"Matthew Knight Arena, Eugene, Oregon",Montana,Oregon,Home,59.4,19,5.7,2,64.9,96.9,31,0.61,59,0.542,32,0.288,17,0.529,9,2,200,109.5,29.6,8,10,81,16.2,12,0.356,21,0.381,8,66.1,39,0.604,17.4,14,38,0.632,24,0.818,9,42.739999999999995,47.96,42.2919473657471,11.8,14.0,12.00477569476198,10.440000000000001,9.110000000000001,9.072941116699692,3.6,3.1,3.1783264746227715,102.02000000000001,95.9,99.86955240562924,69.64000000000001,69.4,71.42468119697202,22.0,25.1,23.002997510542095,0.532,0.5622,0.5704050703652899,61.4,59.4,58.10653863740285,0.4606,0.49030000000000007,0.492918508357466,27.2,28.5,27.821317888533255,0.3134,0.3258,0.2965996545242088,18.4,18.8,16.854493725549972,0.6918,0.6835,0.7145317278870091,12.4,12.7,11.930854036478182,1.4,0.7,1.5061728395061729,210.0,205.0,210.8024691358025,109.02000000000001,111.42,110.8988975257837,35.4,31.05,30.827028400142257,11.6,9.8,9.059848600314995,15.8,16.7,15.981659299903471,75.4,78.1,76.40324137580654,9.48,9.2,9.044789920235738,6.6,6.5,6.26875984351979,0.34740000000000004,0.3431,0.34669918203525896,21.6,20.4,20.294162475232437,0.409,0.40730000000000005,0.4441148198953413,8.6,8.4,8.829751562261851,53.7,53.470000000000006,53.609967992684055,33.6,34.9,32.062846110857095,0.5536000000000001,0.5825,0.5916452776507648,13.280000000000001,14.580000000000002,14.824818371183257,10.2,11.4,11.077224000406444,39.8,39.0,37.81237616217041,0.48360000000000003,0.5257,0.5163772798861963,18.6,20.1,18.991566326271403,0.8370000000000001,0.9185000000000001,0.8328395061728397,6.6,4.8,6.545851750241326
2019-12-21,"Matthew Knight Arena, Eugene, Oregon",Texas Southern,Oregon,Home,46.2,12,2.9,1,105.4,62.1,18,0.62,50,0.52,26,0.54,27,0.815,22,2,200,113.5,40.0,10,16,84,12.2,9,0.5,25,0.4,10,51.9,28,0.669,23.5,19,25,0.64,16,0.833,10,46.62,49.0,47.99463157716473,13.6,14.454545454545455,14.336517129841322,9.7,8.799999999999999,7.948627411133128,3.4,3.0,2.7855509830818477,94.7,93.08181818181818,88.21303493708618,73.54,71.9,79.91645413131468,23.4,25.636363636363637,25.668665007028064,0.5502,0.5665454545454546,0.5836033802435265,62.6,59.36363636363637,58.404359091601904,0.4746,0.49500000000000005,0.5092790055716441,28.6,28.818181818181817,29.214211925688836,0.26539999999999997,0.3223636363636364,0.2937331030161392,16.2,18.636363636363637,16.902995817033315,0.6834,0.6694545454545454,0.6526878185913395,11.0,12.363636363636363,10.953902690985455,1.8,0.8181818181818182,1.6707818930041154,210.0,204.54545454545453,207.201646090535,110.04,111.24545454545455,110.43259835052247,32.66,30.91818181818182,30.418018933428176,10.6,9.636363636363637,8.70656573354333,15.4,16.09090909090909,13.987772866602317,77.4,78.36363636363636,77.9354942505377,11.24,9.836363636363636,11.429859946823825,8.0,7.0,8.179173229013195,0.362,0.3442727272727273,0.34979945469017265,22.8,20.454545454545453,20.529441650154958,0.41859999999999997,0.4049090909090909,0.42307654659689425,9.2,8.363636363636363,8.553167708174568,54.779999999999994,54.61818181818182,57.773311995122704,34.0,35.27272727272727,34.375230740571396,0.5673999999999999,0.5844545454545454,0.5957635184338432,13.440000000000001,14.836363636363638,15.683212247455504,10.4,11.636363636363637,12.05148266693763,39.8,38.90909090909091,37.87491744144694,0.5048,0.5353636363636364,0.5549181865907975,19.4,20.454545454545453,20.66104421751427,0.8006,0.9093636363636364,0.8278930041152265,7.2,5.181818181818182,7.363901166827551
2019-12-29,"Matthew Knight Arena, Eugene, Oregon",Alabama State,Oregon,Home,71.8,28,15.8,6,84.3,63.3,19,0.689,66,0.591,39,0.197,13,0.538,7,2,200,140.0,46.7,14,15,98,18.6,13,0.394,26,0.5,13,55.0,33,0.679,13.3,11,40,0.65,26,0.846,11,48.46,48.76666666666667,47.396421051443156,14.0,14.25,13.557678086560882,6.760000000000001,8.308333333333334,6.265751607422086,2.4,2.8333333333333335,2.1903673220545654,96.06,94.10833333333333,93.9420232913908,72.62,71.08333333333333,73.97763608754312,22.2,25.0,23.11244333801871,0.5965999999999999,0.5710000000000001,0.5957355868290177,56.6,58.583333333333336,55.60290606106794,0.511,0.4970833333333333,0.512852670381096,28.4,28.583333333333332,28.14280795045923,0.3384,0.3405,0.3758220686774262,18.8,19.333333333333332,20.26866387802221,0.7036,0.6815833333333333,0.706791879060893,13.4,13.166666666666666,14.635935127323638,2.0,0.9166666666666666,1.7805212620027437,205.0,204.16666666666666,204.80109739369001,113.28,111.43333333333334,111.45506556701498,33.86,31.675,33.61201262228545,9.2,9.666666666666666,9.137710489028887,15.0,16.083333333333332,14.658515244401546,79.8,78.83333333333333,79.95699616702514,11.239999999999998,10.033333333333333,11.68657329788255,8.0,7.166666666666667,8.452782152675464,0.392,0.35725,0.3998663031267818,22.2,20.833333333333332,22.019627766769972,0.44139999999999996,0.4045,0.4153843643979296,9.6,8.5,9.035445138783047,55.620000000000005,54.39166666666667,55.81554133008181,31.4,34.666666666666664,32.2501538270476,0.6182000000000001,0.5915,0.6201756789558955,16.84,15.558333333333335,18.288808164970337,13.0,12.25,14.367655111291754,34.4,37.75,33.58327829429796,0.5597999999999999,0.5440833333333334,0.5832787910605317,18.8,20.083333333333332,19.107362811676182,0.7958,0.903,0.8295953360768177,8.0,5.583333333333333,8.242600777885034
2020-01-02,"Coors Events/Conference Center, Boulder, Colorado",Oregon,Colorado,Home,36.0,9,8.6,3,102.8,87.9,29,0.473,56,0.446,25,0.304,17,0.706,12,3,200,90.3,11.8,4,23,65,6.9,5,0.321,18,0.167,3,49.3,33,0.507,17.0,13,38,0.579,22,0.786,11,52.42,50.53846153846154,55.53094736762877,17.0,15.307692307692308,18.37178539104059,7.859999999999999,8.884615384615385,9.443834404948058,2.8,3.076923076923077,3.4602448813697104,90.32000000000001,93.35384615384615,90.72801552759387,75.94,70.4846153846154,70.41842405836208,23.2,24.53846153846154,21.741628892012475,0.6457999999999999,0.5800769230769232,0.6268237245526784,55.8,59.15384615384615,59.06860404071197,0.5578000000000001,0.5043076923076923,0.5389017802540641,31.2,29.384615384615383,31.761871966972823,0.32060000000000005,0.3294615384615385,0.3162147124516175,17.4,18.846153846153847,17.845775918681476,0.6912,0.6705384615384615,0.6505279193739287,12.4,12.692307692307692,12.09062341821576,2.0,1.0,1.8536808413351626,205.0,203.84615384615384,203.20073159579334,119.84,113.63076923076923,120.97004371134332,35.1,32.830769230769235,37.974675081523635,8.6,10.0,10.758473659352592,14.4,16.0,14.772343496267698,84.6,80.3076923076923,85.97133077801676,12.639999999999999,10.692307692307692,13.991048865255035,9.0,7.615384615384615,9.968521435116976,0.38499999999999995,0.36007692307692307,0.39791086875118786,21.4,21.23076923076923,23.346418511179984,0.4614000000000001,0.41184615384615386,0.4435895762652864,9.8,8.846153846153847,10.356963425855366,58.0,54.43846153846154,55.54369422005455,31.8,34.53846153846154,32.50010255136507,0.661,0.5982307692307692,0.639783785970597,17.86,15.384615384615385,16.62587210998023,13.8,12.153846153846153,13.245103407527836,34.4,37.92307692307692,35.72218552953198,0.6248,0.5522307692307693,0.6055191940403546,21.4,20.53846153846154,21.404908541117457,0.8150000000000001,0.8986153846153846,0.8350635573845451,9.0,6.0,9.161733851923357
2020-01-04,"Jon M. Huntsman Center, Salt Lake City, Utah",Oregon,Utah,Away,63.3,19,17.2,5,97.0,73.7,28,0.5,66,0.455,30,0.061,4,0.75,3,3,200,104.5,33.3,11,19,69,9.1,6,0.258,17,0.353,6,54.9,39,0.508,12.9,10,49,0.49,24,0.8,12,47.12,49.5,49.020631578419184,14.8,14.857142857142858,15.247856927360393,8.1,8.864285714285716,9.162556269965371,3.0,3.0714285714285716,3.3068299209131404,91.47999999999999,94.02857142857144,94.75201035172925,78.04,71.72857142857143,76.24561603890805,24.2,24.857142857142858,24.16108592800832,0.5953999999999999,0.5724285714285714,0.5755491497017856,56.8,58.92857142857143,58.04573602714132,0.5216000000000001,0.5001428571428571,0.5079345201693761,29.8,29.071428571428573,29.50791464464855,0.31479999999999997,0.3276428571428571,0.3121431416344117,17.4,18.714285714285715,17.563850612454317,0.656,0.6730714285714285,0.6690186129159525,11.8,12.642857142857142,12.06041561214384,2.2,1.1428571428571428,2.2357872275567754,205.0,203.57142857142858,202.13382106386223,110.94000000000001,111.96428571428571,110.74669580756222,29.46,31.32857142857143,29.249783387682427,8.2,9.571428571428571,8.505649106235063,15.8,16.5,17.514895664178468,79.8,79.21428571428571,78.98088718534451,12.5,10.421428571428573,11.627365910170024,9.0,7.428571428571429,8.312347623411318,0.3746,0.35728571428571426,0.37227391250079195,21.2,21.0,21.564279007453322,0.3896,0.39435714285714285,0.35139305084352435,8.4,8.428571428571429,7.904642283903578,54.81999999999999,54.07142857142857,53.4624628133697,32.4,34.42857142857143,32.66673503424338,0.6118,0.5917142857142857,0.5955225239803981,17.86,15.5,16.750581406653488,14.0,12.214285714285714,13.163402271685225,35.6,37.92857142857143,36.48145701968799,0.603,0.5541428571428572,0.5966794626935698,21.4,20.642857142857142,21.603272360744974,0.8166,0.8905714285714286,0.8187090382563634,9.8,6.357142857142857,9.774489234615572
