date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-27,"Barclays Center, Brooklyn, New York",Ole Miss,Penn State,Away,61.5,16,26.1,12,96.1,75.8,25,0.491,58,0.448,26,0.31,18,0.833,15,1,200,93.5,19.4,6,20,72,13.0,10,0.328,19,0.263,5,48.4,31,0.541,19.5,16,39,0.538,21,0.833,5,57.220000000000006,57.220000000000006,57.11728395061729,16.6,16.6,16.148148148148152,15.0,15.0,16.10493827160494,5.6,5.6,5.777777777777779,80.06,80.06,81.0,78.78,78.78,80.20987654320989,27.4,27.4,27.370370370370374,0.541,0.541,0.5193333333333334,64.0,64.0,64.65432098765433,0.4678,0.4678,0.45450617283950623,29.8,29.8,29.17283950617285,0.3352,0.3352,0.2939506172839507,21.2,21.2,18.629629629629633,0.665,0.665,0.6838271604938273,13.6,13.6,12.185185185185187,0.0,0.0,0.0,200.0,200.0,200.0,109.0,109.0,106.74074074074075,32.62,32.62,33.36172839506173,11.4,11.4,12.0,16.2,16.2,15.345679012345682,82.4,82.4,78.69135802469137,14.4,14.4,14.917283950617286,10.8,10.8,10.8641975308642,0.41859999999999997,0.41859999999999997,0.4042592592592593,26.6,26.6,25.938271604938276,0.33999999999999997,0.33999999999999997,0.31028395061728403,9.2,9.2,8.160493827160494,55.279999999999994,55.279999999999994,55.70370370370371,38.8,38.8,39.370370370370374,0.5559999999999999,0.5559999999999999,0.5349876543209877,14.3,14.3,13.03456790123457,12.4,12.4,11.111111111111112,37.4,37.4,38.71604938271605,0.5474,0.5474,0.5406296296296297,20.6,20.6,21.01234567901235,1.0,1.0,1.0,3.0,3.0,3.3950617283950617
2019-11-29,"Barclays Center, Brooklyn, New York",Penn State,Syracuse,Away,66.7,18,11.8,4,84.2,86.1,31,0.478,67,0.403,27,0.463,31,0.677,21,1,200,111.8,52.6,20,21,85,7.9,6,0.448,30,0.333,10,68.9,51,0.52,13.9,13,37,0.459,17,0.857,6,56.42,57.93333333333334,58.57818930041153,16.0,16.5,16.09876543209877,13.940000000000001,16.849999999999998,19.436625514403296,5.8,6.666666666666667,7.851851851851853,86.5,82.73333333333333,86.03333333333333,78.32,78.28333333333333,78.73991769547327,27.4,27.0,26.58024691358025,0.5186000000000001,0.5326666666666667,0.509888888888889,64.0,63.0,62.43621399176956,0.4574,0.46449999999999997,0.45233744855967084,29.2,29.166666666666668,28.11522633744857,0.3144,0.331,0.29930041152263387,20.0,20.666666666666668,18.419753086419757,0.715,0.693,0.7335514403292183,13.8,13.833333333333334,13.12345679012346,0.2,0.16666666666666666,0.3333333333333333,200.0,200.0,200.0,104.35999999999999,106.41666666666667,102.32716049382717,28.380000000000003,30.416666666666668,28.707818930041157,10.0,10.5,10.0,16.8,16.833333333333332,16.897119341563787,80.0,80.66666666666667,76.46090534979425,14.219999999999999,14.166666666666666,14.278189300411526,10.8,10.666666666666666,10.5761316872428,0.3774,0.4035,0.37883950617283957,24.2,25.333333333333332,23.625514403292186,0.31520000000000004,0.32716666666666666,0.29452263374485604,7.8,8.5,7.106995884773664,53.08,54.13333333333333,53.269135802469144,37.4,37.5,36.580246913580254,0.5432,0.5535,0.5369917695473252,14.6,15.166666666666666,15.189711934156382,12.6,13.0,12.740740740740742,39.8,37.666666666666664,38.81069958847737,0.5290000000000001,0.5458333333333334,0.5397530864197532,21.4,20.666666666666668,21.0082304526749,0.9666,0.9721666666666667,0.9443333333333334,3.8,3.3333333333333335,3.9300411522633745
2019-12-04,"Bryce Jordan Center, University Park, Pennsylvania",Wake Forest,Penn State,Home,40.0,12,13.0,6,70.1,78.0,32,0.478,68,0.441,30,0.25,17,0.647,11,1,200,98.7,39.5,15,21,76,15.6,12,0.412,28,0.179,5,59.5,47,0.5,15.6,14,40,0.625,25,0.875,7,59.1,59.18571428571429,61.28545953360769,16.4,16.714285714285715,16.732510288065846,15.319999999999999,16.12857142857143,16.891083676268863,6.2,6.285714285714286,6.567901234567902,87.74000000000001,82.94285714285715,85.42222222222223,79.06,79.39999999999999,81.19327846364885,28.0,27.571428571428573,28.053497942386834,0.505,0.5248571428571428,0.49925925925925935,64.4,63.57142857142857,63.95747599451305,0.44560000000000005,0.4557142857142857,0.4358916323731139,28.6,28.857142857142858,27.743484224965716,0.3054,0.3498571428571428,0.35386694101508925,19.6,22.142857142857142,22.613168724279838,0.7292,0.6907142857142857,0.7147009602194789,14.0,14.857142857142858,15.74897119341564,0.4,0.2857142857142857,0.5555555555555556,200.0,200.0,200.0,104.52000000000001,107.18571428571428,105.48477366255145,33.339999999999996,33.58571428571428,36.67187928669411,12.0,11.857142857142858,13.333333333333334,17.2,17.428571428571427,18.264746227709193,78.8,81.28571428571429,79.30727023319616,13.6,13.27142857142857,12.15212620027435,10.2,10.0,9.050754458161867,0.37460000000000004,0.40985714285714286,0.4018930041152264,24.2,26.0,25.750342935528124,0.3084,0.328,0.30734842249657074,7.6,8.714285714285714,8.07133058984911,56.0,56.24285714285714,58.47942386831277,40.0,39.42857142857143,41.38683127572017,0.5344,0.5487142857142857,0.5313278463648835,14.76,14.985714285714286,14.759807956104256,12.8,13.0,12.827160493827162,40.2,37.57142857142857,38.207133058984915,0.5122,0.5334285714285715,0.5128353909465021,21.0,20.142857142857142,19.6721536351166,0.938,0.9557142857142856,0.9152222222222223,4.6,3.7142857142857144,4.62002743484225
2019-12-07,"Value City Arena, Columbus, Ohio",Penn State,Ohio State,Home,28.0,7,10.7,3,147.2,64.7,11,0.508,59,0.424,25,0.339,20,0.7,14,2,200,102.8,24.2,8,25,74,6.9,5,0.492,29,0.345,10,38.0,19,0.54,12.9,10,30,0.5,15,0.778,7,53.52,56.7875,54.19030635573847,15.0,16.125,15.155006858710566,15.84,15.7375,15.594055784179243,6.4,6.25,6.378600823045269,85.46000000000001,81.3375,80.31481481481482,80.38,79.225,80.12885230909924,28.4,28.125,29.36899862825789,0.491,0.519,0.4921728395061729,65.4,64.125,65.30498399634203,0.445,0.45387500000000003,0.43759442158207595,29.0,29.0,28.495656149977147,0.3014,0.337375,0.3192446273433929,19.6,21.5,20.742112482853226,0.7173999999999999,0.68525,0.6921339734796527,13.8,14.375,14.165980795610427,0.6,0.375,0.7037037037037037,200.0,200.0,200.0,104.25999999999999,106.125,103.22318244170097,36.1,34.325,37.614586191129405,13.2,12.25,13.888888888888891,17.2,17.875,19.176497485139464,77.8,80.625,78.20484682213078,13.02,13.5625,13.301417466849568,9.6,10.25,10.033836305441245,0.36500000000000005,0.410125,0.4052620027434843,24.0,26.25,26.500228623685416,0.25460000000000005,0.309375,0.26456561499771386,6.0,8.25,7.047553726566074,57.779999999999994,56.65,58.81961591220852,41.6,40.375,43.257887517146784,0.5204000000000001,0.542625,0.5208852309099223,13.459999999999999,15.0625,15.03987197073617,11.6,13.125,13.218106995884774,41.4,37.875,38.804755372656615,0.549,0.544875,0.5502235939643347,23.0,20.75,21.448102423411065,0.9129999999999999,0.9456249999999999,0.9018148148148148,5.4,4.125,5.413351623228166
2019-12-10,"Bryce Jordan Center, University Park, Pennsylvania",Maryland,Penn State,Home,65.5,19,29.4,10,92.0,62.2,23,0.478,68,0.426,29,0.206,14,0.786,11,2,200,101.3,21.1,8,16,76,13.3,10,0.279,19,0.368,7,41.3,31,0.509,9.7,8,49,0.449,22,0.8,8,51.42,53.58888888888889,45.46020423715899,13.4,15.11111111111111,12.436671239140377,15.180000000000001,15.177777777777777,13.962703856119496,5.8,5.888888888888889,5.252400548696847,96.24,88.65555555555555,102.60987654320988,79.03999999999999,77.61111111111111,74.9859015393995,25.6,26.22222222222222,23.245999085505265,0.465,0.5177777777777778,0.497448559670782,64.2,63.55555555555556,63.203322664228025,0.4098,0.45055555555555554,0.433062947721384,26.2,28.555555555555557,27.3304374333181,0.2984,0.33755555555555555,0.32582975156226196,19.0,21.333333333333332,20.494741655235487,0.727,0.6868888888888889,0.6947559823197684,13.6,14.333333333333334,14.110653863740286,1.0,0.5555555555555556,1.1358024691358026,200.0,200.0,200.0,98.67999999999999,105.75555555555555,103.08212162780066,33.36,33.2,33.14305746075294,12.6,11.777777777777779,11.925925925925927,20.4,18.666666666666668,21.117664990092976,73.0,79.88888888888889,76.80323121475385,12.26,12.822222222222221,11.167611644566378,9.0,9.666666666666666,8.355890870294164,0.4142,0.4192222222222222,0.4341746684956562,26.6,26.555555555555557,27.33348574912361,0.261,0.3133333333333333,0.29137707666514256,7.0,8.444444444444445,8.031702484377384,54.120000000000005,54.577777777777776,51.87974394147235,38.2,38.0,35.17192501143119,0.49939999999999996,0.5423333333333333,0.5272568206066149,13.9,14.822222222222223,14.326581313824114,11.8,12.777777777777779,12.145404663923184,37.6,37.0,35.869836915104415,0.5102,0.5398888888888889,0.5334823959762232,19.2,20.11111111111111,19.298734948940712,0.8686,0.927,0.8605432098765433,6.0,4.444444444444445,5.942234415485444
2019-12-14,"Bryce Jordan Center, University Park, Pennsylvania",Alabama,Penn State,Home,60.9,14,16.3,7,86.6,73.5,36,0.429,63,0.365,23,0.413,26,0.731,19,2,200,89.0,20.0,8,14,73,7.3,6,0.429,27,0.296,8,49.4,44,0.484,17.7,16,36,0.417,15,0.818,9,52.34000000000001,54.779999999999994,52.140136158105996,14.4,15.5,14.624447492760254,18.2,16.6,19.108469237412997,7.0,6.3,6.8349336991312315,97.91999999999999,88.99,99.0732510288066,73.36,76.07000000000001,70.72393435959967,24.4,25.9,23.163999390336844,0.4866,0.5138,0.490965706447188,64.0,64.0,64.80221510948536,0.4284,0.4481,0.430708631814256,27.4,28.6,27.886958288878738,0.3136,0.32439999999999997,0.285886501041508,20.0,20.6,18.329827770156992,0.7286,0.6968,0.7251706548798457,14.4,14.0,13.073769242493524,1.4,0.7,1.4238683127572018,200.0,200.0,200.0,101.61999999999999,105.30999999999999,102.48808108520045,31.360000000000003,31.99,29.128704973835298,11.4,11.4,10.617283950617285,20.6,18.4,19.411776660061985,76.6,79.5,76.53548747650257,11.34,12.87,11.878407763044253,8.6,9.7,8.903927246862777,0.39180000000000004,0.40520000000000006,0.3824497789971042,25.0,25.8,24.55565716608241,0.2976,0.31880000000000003,0.3169180511100951,7.4,8.3,7.687801656251589,51.21999999999999,53.25,48.35316262764824,35.8,37.3,33.78128334095413,0.522,0.5389999999999999,0.5211712137377433,14.319999999999999,14.309999999999999,12.78438754254941,12.2,12.3,10.763603109282123,39.0,38.2,40.24655794340295,0.5142,0.5307999999999999,0.5053215973174822,20.0,20.3,20.199156632627144,0.8286,0.9143000000000001,0.8403621399176957,6.6,4.8,6.628156276990296
2019-12-20,"Bryce Jordan Center, University Park, Pennsylvania",Central Connecticut,Penn State,Home,72.7,24,23.3,10,77.3,77.8,28,0.623,61,0.541,33,0.213,13,0.846,11,2,200,116.0,22.2,6,17,87,12.0,9,0.492,30,0.333,10,54.0,34,0.648,16.3,13,31,0.742,23,0.833,10,52.220000000000006,55.33636363636364,55.060090772070666,14.0,15.363636363636363,14.416298328506837,16.240000000000002,16.572727272727274,18.172312824941997,6.0,6.363636363636363,6.889955799420822,96.02000000000001,88.77272727272727,94.91550068587107,72.9,75.83636363636364,71.64928957306645,26.6,26.818181818181817,27.442666260224563,0.4742,0.5060909090909091,0.47031047096479206,65.0,63.90909090909091,64.20147673965691,0.41180000000000005,0.4405454545454546,0.40880575454283735,26.8,28.09090909090909,26.257972192585825,0.33419999999999994,0.33245454545454545,0.32825766736100537,21.6,21.09090909090909,20.88655184677133,0.7081999999999999,0.6999090909090909,0.7271137699198971,15.2,14.454545454545455,15.049179494995684,1.6,0.8181818181818182,1.6159122085048012,200.0,200.0,200.0,100.72,103.82727272727271,97.9920540568003,31.48,30.9,26.085803315890203,11.8,11.090909090909092,9.744855967078191,19.4,18.0,17.60785110670799,76.8,78.9090909090909,75.35699165100172,10.200000000000001,12.363636363636363,10.352271842029502,7.8,9.363636363636363,7.935951497908518,0.41200000000000003,0.40736363636363637,0.3979665193314028,26.6,25.90909090909091,25.370438110721608,0.30419999999999997,0.31672727272727275,0.30994536740673007,8.0,8.272727272727273,7.7918677708343935,51.42,52.9,48.70210841843216,38.4,37.90909090909091,37.18752222730276,0.5105999999999999,0.5339999999999999,0.5087808091584956,13.959999999999999,14.618181818181819,14.422925028366276,12.2,12.636363636363637,12.509068739521416,38.4,38.0,38.8310386289353,0.49000000000000005,0.5204545454545455,0.4758810648783215,18.8,19.818181818181817,18.46610442175143,0.8256,0.9055454545454545,0.8329080932784638,7.4,5.181818181818182,7.418770851326864
2019-12-29,"Bryce Jordan Center, University Park, Pennsylvania",Cornell,Penn State,Home,45.7,16,8.6,3,84.3,72.7,24,0.582,67,0.522,35,0.269,18,0.667,12,2,200,128.6,46.7,14,17,90,11.4,8,0.388,26,0.308,8,60.3,38,0.596,12.8,11,41,0.659,27,0.846,11,53.42,56.78333333333333,60.940060514713785,15.2,16.083333333333332,17.61086555233789,18.54,17.133333333333333,19.881541883294666,7.2,6.666666666666667,7.926637199613881,94.63999999999999,87.81666666666666,89.04366712391405,71.24,76.0,73.6995263820443,26.0,26.916666666666668,27.628444173483043,0.5032,0.5158333333333333,0.5212069806431947,63.8,63.666666666666664,63.13431782643795,0.4394,0.4489166666666667,0.4528705030285583,28.0,28.5,28.50531479505722,0.28419999999999995,0.3225,0.28983844490733696,18.0,20.416666666666668,18.25770123118089,0.742,0.7120833333333333,0.7667425132799315,13.2,14.166666666666666,13.69945299666379,1.8,0.9166666666666666,1.7439414723365343,200.0,200.0,200.0,101.56,104.84166666666665,103.99470270453355,25.4,30.175,24.790535543926804,9.0,10.666666666666666,8.496570644718794,18.6,17.916666666666668,17.40523407113866,77.2,79.58333333333333,79.23799443400115,11.02,12.333333333333334,10.901514561353002,8.4,9.333333333333334,8.290634331939014,0.4208,0.41441666666666666,0.4293110128876019,26.6,26.25,26.91362540714774,0.30419999999999997,0.31808333333333333,0.31763024493782005,8.0,8.416666666666666,8.52791184722293,48.44,52.99166666666667,50.46807227895478,35.0,37.583333333333336,36.12501481820184,0.5362,0.5435,0.5551872061056637,14.440000000000001,14.758333333333333,15.04861668557752,12.2,12.666666666666666,12.672712493014277,37.2,37.416666666666664,36.2206924192902,0.5466,0.5389166666666667,0.5645873765855477,20.0,20.083333333333332,19.97740294783429,0.8208,0.8995000000000001,0.8329387288523092,8.2,5.583333333333333,8.279180567551244
2020-01-04,"The Palestra, Philadelphia, Pennsylvania",Iowa,Penn State,Home,39.4,13,12.8,5,113.2,61.3,19,0.514,72,0.458,33,0.306,22,0.682,15,2,200,117.1,36.6,15,16,89,14.5,11,0.389,28,0.286,8,47.2,34,0.54,7.9,7,44,0.568,25,0.857,12,54.56,55.93076923076923,55.86004034314253,16.0,16.076923076923077,17.073910368225263,17.66,16.476923076923075,16.121027922196443,6.6,6.384615384615385,6.284424799742588,97.47999999999999,87.54615384615384,87.46244474927603,70.17999999999999,75.74615384615385,73.36635092136288,24.4,26.692307692307693,26.41896278232203,0.5239999999999999,0.5209230769230769,0.5414713204287965,63.6,63.92307692307692,64.42287855095864,0.4556,0.4545384615384615,0.47591366868570556,29.0,29.0,30.670209863371483,0.288,0.3183846153846154,0.28289229660489135,18.2,20.23076923076923,18.17180082078726,0.7459999999999999,0.7086153846153846,0.7334950088532877,13.4,14.0,13.132968664442528,2.0,1.0,1.829294314891023,200.0,200.0,200.0,107.54,106.66923076923078,112.19646846968904,26.840000000000003,31.446153846153848,32.09369036261787,8.8,10.923076923076923,10.331047096479196,17.8,17.846153846153847,17.270156047425775,80.0,80.38461538461539,82.82532962266744,10.180000000000001,12.261538461538462,11.067676374235337,7.6,9.23076923076923,8.193756221292677,0.41600000000000004,0.41238461538461535,0.4155406752584013,26.2,26.23076923076923,26.60908360476516,0.32999999999999996,0.3173076923076923,0.31442016329188005,8.6,8.384615384615385,8.351941231481954,48.6,53.55384615384615,53.745381519303194,33.2,37.61538461538461,36.75000987880123,0.5554,0.5475384615384615,0.5687914707371091,13.88,14.607692307692307,14.299077790385013,11.6,12.538461538461538,12.115141662009519,37.4,37.69230769230769,37.81379494619347,0.5534,0.5481538461538462,0.5960582510570318,20.4,20.615384615384617,22.318268631889527,0.8150000000000001,0.8953846153846154,0.8372924859015396,9.0,6.0,9.186120378367496
2020-01-07,"Louis Brown Athletic Center, New Brunswick, New Jersey",Penn State,Rutgers,Home,40.9,9,8.3,4,97.3,75.0,24,0.41,61,0.361,22,0.213,13,0.846,11,3,200,82.4,18.4,7,23,61,5.4,4,0.426,26,0.231,6,44.3,31,0.454,17.3,14,35,0.457,16,0.8,12,56.839999999999996,54.75,50.37336022876169,17.2,15.857142857142858,15.715940245483509,18.08,16.214285714285715,15.014018614797632,7.0,6.285714285714286,5.856283199828393,90.67999999999999,89.37857142857142,96.0416298328507,69.5,74.71428571428571,69.34423394757525,26.0,26.142857142857142,23.94597518821469,0.5252,0.5204285714285714,0.5323142136191977,66.2,64.5,66.9485857006391,0.46240000000000003,0.4547857142857143,0.4699424457904704,30.6,29.285714285714285,31.44680657558099,0.2814,0.3175,0.29059486440326093,18.6,20.357142857142858,19.447867213858174,0.7424000000000001,0.7067142857142857,0.7163300059021918,13.6,14.071428571428571,13.755312442961687,2.0,1.0714285714285714,1.8861962099273488,200.0,200.0,200.0,110.4,107.41428571428571,113.8309789797927,29.320000000000004,31.814285714285713,33.59579357507858,10.2,11.214285714285714,11.887364730986132,16.0,17.714285714285715,16.84677069828385,83.0,81.0,84.8835530817783,11.7,12.421428571428573,12.211784249490226,8.8,9.357142857142858,9.129170814195119,0.3954,0.4107142857142857,0.4066937835056009,26.0,26.357142857142858,27.072722403176776,0.3182,0.31507142857142856,0.30494677552792004,8.2,8.357142857142858,8.234627487654636,50.44,53.1,51.563587679535466,36.2,37.357142857142854,35.833339919200824,0.5554,0.547,0.5591943138247395,12.88,14.12857142857143,12.166051860256676,11.0,12.142857142857142,10.41009444133968,40.2,38.142857142857146,39.87586329746232,0.567,0.5495714285714286,0.5867055007046879,22.4,20.928571428571427,23.21217908792635,0.8308,0.8926428571428572,0.8438616572676931,10.0,6.428571428571429,10.124080252244998
