date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-23,"TD Bank Sports Center, Hamden, Connecticut",Presbyterian,Quinnipiac,Home,76.9,20,11.1,2,112.3,70.0,21,0.484,61,0.426,26,0.148,9,0.556,5,5,200,98.5,23.5,8,19,64,6.2,4,0.279,17,0.412,7,45.3,29,0.49,12.2,9,44,0.432,19,0.167,1,51.92,51.92,56.38641975308643,11.8,11.8,12.60493827160494,7.88,7.88,7.443209876543212,2.4,2.4,2.246913580246914,110.55999999999999,110.55999999999999,109.88641975308641,69.32000000000001,69.32000000000001,69.37283950617285,20.6,20.6,20.160493827160497,0.4508,0.4508,0.43592592592592605,58.2,58.2,58.814814814814824,0.3944,0.3944,0.38227160493827167,23.0,23.0,22.45679012345679,0.1636,0.1636,0.1364814814814815,9.6,9.6,7.975308641975311,0.5534,0.5534,0.5627777777777778,5.4,5.4,4.4938271604938285,2.2,2.2,2.5925925925925926,205.0,205.0,202.46913580246917,84.62,84.62,80.55555555555557,23.5,23.5,22.346913580246916,8.6,8.6,8.246913580246915,14.6,14.6,14.765432098765434,58.0,58.0,55.71604938271606,10.620000000000001,10.620000000000001,11.265432098765434,7.4,7.4,7.962962962962964,0.3722,0.3722,0.3723950617283951,21.6,21.6,21.851851851851855,0.3068,0.3068,0.2891851851851852,6.6,6.6,6.3086419753086425,43.94,43.94,42.94444444444445,29.2,29.2,28.407407407407412,0.45899999999999996,0.45899999999999996,0.4440246913580247,18.759999999999998,18.759999999999998,19.393827160493828,14.4,14.4,15.024691358024693,36.6,36.6,36.96296296296297,0.45120000000000005,0.45120000000000005,0.44109876543209886,16.4,16.4,16.148148148148152,0.2566,0.2566,0.22093827160493834,0.8,0.8,0.8024691358024691
2019-11-24,"TD Bank Sports Center, Hamden, Connecticut",Albany (NY),Presbyterian,Away,50.0,11,0.0,0,100.0,70.0,21,0.429,56,0.393,22,0.286,16,0.75,12,6,200,92.3,30.6,11,22,60,9.2,6,0.268,15,0.267,4,48.5,32,0.472,17.1,13,41,0.439,18,0.143,1,56.17999999999999,56.083333333333336,63.22427983539096,13.8,13.166666666666666,15.069958847736627,8.879999999999999,8.416666666666666,8.662139917695475,2.4,2.3333333333333335,2.1646090534979425,110.12,110.85000000000001,110.69094650205761,69.38000000000001,69.43333333333334,69.58189300411524,20.2,20.666666666666668,20.440329218107,0.46719999999999995,0.4563333333333333,0.45195061728395075,60.2,58.666666666666664,59.543209876543216,0.409,0.39966666666666667,0.3968477366255144,24.6,23.5,23.637860082304528,0.15799999999999997,0.161,0.140320987654321,9.6,9.5,8.31687242798354,0.5758,0.5538333333333333,0.5605185185185186,5.6,5.333333333333333,4.662551440329219,3.0,2.6666666666666665,3.3950617283950617,205.0,204.16666666666666,201.64609053497946,91.28,86.93333333333334,86.53703703703705,23.759999999999998,23.5,22.73127572016461,8.6,8.5,8.164609053497944,16.4,15.333333333333334,16.17695473251029,61.8,59.0,58.47736625514405,9.540000000000001,9.883333333333335,9.57695473251029,6.6,6.833333333333333,6.641975308641976,0.3574,0.3566666666666667,0.34126337448559674,21.4,20.833333333333332,20.23456790123457,0.3336,0.3243333333333333,0.33012345679012345,7.0,6.666666666666667,6.539094650205762,44.019999999999996,44.166666666666664,43.729629629629635,28.8,29.166666666666668,28.604938271604944,0.4756,0.46416666666666667,0.45934979423868316,15.86,17.666666666666668,16.995884773662553,12.2,13.5,13.016460905349797,38.8,37.833333333333336,39.308641975308646,0.4588,0.448,0.4380658436213992,17.6,16.833333333333332,17.09876543209877,0.29,0.24166666666666667,0.2029588477366256,1.0,0.8333333333333334,0.8683127572016462
2019-11-30,"Ross E.Templeton Center, Clinton, South Carolina","Toccoa Falls
			",Presbyterian,Home,47.1,16,7.4,2,78.7,74.4,29,0.562,65,0.523,34,0.308,20,0.7,14,6,200,116.0,28.1,9,13,87,17.3,13,0.354,23,0.217,5,53.5,38,0.584,11.9,10,42,0.69,29,0.25,2,57.9,55.214285714285715,58.816186556927306,13.6,12.857142857142858,13.713305898491086,6.74,7.214285714285714,5.7747599451303175,1.8,2.0,1.4430727023319618,108.74000000000001,109.3,107.12729766803841,68.22,69.51428571428572,69.7212620027435,19.4,20.714285714285715,20.62688614540467,0.445,0.45242857142857146,0.4443004115226339,58.8,58.285714285714285,58.36213991769548,0.3956,0.3987142857142857,0.395565157750343,23.2,23.285714285714285,23.091906721536354,0.1518,0.17885714285714285,0.188880658436214,8.8,10.428571428571429,10.877914951989027,0.6058,0.581857142857143,0.6236790123456791,5.6,6.285714285714286,7.108367626886146,4.0,3.142857142857143,4.263374485596708,200.0,203.57142857142858,201.09739368998632,87.52000000000001,87.7,88.45802469135805,23.560000000000002,24.514285714285712,25.354183813443075,8.4,8.857142857142858,9.10973936899863,18.0,16.285714285714285,18.117969821673526,57.8,59.142857142857146,58.9849108367627,9.16,9.785714285714286,9.45130315500686,6.2,6.714285714285714,6.427983539094652,0.3444,0.344,0.31684224965706453,20.2,20.0,18.489711934156382,0.2918,0.31614285714285717,0.309082304526749,5.8,6.285714285714286,5.692729766803842,43.3,44.785714285714285,45.31975308641976,27.8,29.571428571428573,29.7366255144033,0.4596,0.4652857142857143,0.46356652949245547,16.419999999999998,17.585714285714285,17.03058984910837,12.4,13.428571428571429,13.010973936899866,38.6,38.285714285714285,39.8724279835391,0.45619999999999994,0.4467142857142857,0.43837722908093285,17.4,17.0,17.399176954732514,0.2186,0.22757142857142856,0.1829725651577504,1.0,0.8571428571428571,0.9122085048010975
2019-12-07,"SHM Memorial Center, Orangeburg, South Carolina",Presbyterian,South Carolina State,Home,33.3,8,2.2,1,112.7,71.8,28,0.455,56,0.429,24,0.393,22,0.773,17,7,200,95.8,29.4,10,21,68,5.6,4,0.286,16,0.188,3,52.1,38,0.512,18.6,15,40,0.525,21,0.222,2,59.14,54.2,54.91079103795154,15.0,13.25,14.475537265660726,6.640000000000001,7.2375,6.316506630086879,1.6,2.0,1.6287151348879747,100.42,105.475,97.65153177869229,71.24,70.125,71.28084133516234,22.0,21.75,23.417924096936446,0.46820000000000006,0.466125,0.48353360768175596,60.6,59.125,60.574759945130324,0.42160000000000003,0.41425,0.4380434385002287,25.6,24.625,26.72793781435757,0.18119999999999997,0.195,0.22858710562414267,11.0,11.625,13.918609967992685,0.6346,0.596625,0.6491193415637861,7.4,7.25,9.405578417924097,4.8,3.5,4.842249657064473,200.0,203.125,200.73159579332423,93.54,91.2375,97.63868312757204,25.18,24.9625,26.26945587562872,8.8,8.875,9.07315957933242,17.2,15.875,16.411979881115684,64.2,62.625,68.32327389117515,11.36,10.725,12.06753543667124,8.0,7.5,8.618655692729767,0.3294,0.34525,0.32922816643804304,20.0,20.375,19.993141289437588,0.2852,0.30375,0.2783882030178327,5.6,6.125,5.461819844535895,46.58,45.875,48.046502057613175,30.8,30.625,32.49108367626887,0.4852,0.480125,0.503711019661637,15.459999999999999,16.875,15.320393232738915,12.0,13.0,12.007315957933244,40.6,38.75,40.581618655692736,0.49420000000000003,0.477125,0.5222514860539553,20.0,18.5,21.26611796982168,0.202,0.230375,0.20531504343850027,1.2,1.0,1.2748056698673984
2019-12-10,"Pope Physical Education Center, Brooklyn Heights, New York",Presbyterian,St. Francis (NY),Home,47.8,11,7.3,3,94.1,71.8,28,0.553,47,0.489,23,0.34,16,0.688,11,8,200,92.6,18.5,5,19,63,7.4,5,0.34,16,0.375,6,50.0,33,0.577,23.9,17,31,0.548,17,0.2,2,56.239999999999995,51.87777777777777,47.707194025301035,14.4,12.666666666666666,12.317024843773819,5.48,6.677777777777778,4.944337753391253,1.4,1.8888888888888888,1.41914342325865,102.3,106.27777777777777,102.66768785246153,71.32000000000001,70.3111111111111,71.45389422344155,23.6,22.444444444444443,24.945282731290966,0.4664,0.4648888888888889,0.47402240512117066,60.8,58.77777777777778,59.04983996342022,0.42379999999999995,0.41588888888888886,0.4350289590001525,25.8,24.555555555555557,25.818625209571717,0.2452,0.21699999999999997,0.2833914037494285,14.6,12.777777777777779,16.61240664532846,0.6891999999999999,0.6162222222222222,0.6904128943758574,10.4,8.333333333333334,11.937052278616065,5.6,3.888888888888889,5.561499771376315,200.0,202.77777777777777,200.48773052888282,95.32,91.74444444444445,97.02578875171469,26.22,25.455555555555556,27.31297058375248,9.2,9.0,9.382106386221615,18.2,16.444444444444443,17.94131992074379,67.2,63.22222222222222,68.2155159274501,10.52,10.155555555555557,9.911690291114162,7.6,7.111111111111111,7.079103795153179,0.31020000000000003,0.33866666666666667,0.31481877762536203,19.0,19.88888888888889,18.662094192958392,0.2752,0.29088888888888886,0.2482588020118885,5.2,5.777777777777778,4.641213229690597,47.82,46.56666666666667,49.39766803840879,32.8,31.444444444444443,34.32738911751258,0.4943999999999999,0.48366666666666663,0.5064740131077581,15.940000000000001,17.066666666666666,16.41359548849261,12.8,13.222222222222221,13.004877305288831,41.8,38.888888888888886,40.38774577046183,0.4934,0.4824444444444444,0.5231676573693036,20.6,18.77777777777778,21.17741197988112,0.19640000000000002,0.22944444444444445,0.21087669562566685,1.4,1.1111111111111112,1.5165371132449323
2019-12-18,"Ross E.Templeton Center, Clinton, South Carolina",Jacksonville,Presbyterian,Away,30.0,6,6.7,2,122.7,61.5,16,0.489,46,0.435,20,0.348,16,0.813,13,9,200,87.9,19.2,5,15,58,6.1,4,0.457,21,0.238,5,40.4,21,0.541,25.3,18,25,0.6,15,0.182,2,51.019999999999996,51.470000000000006,47.738129350200694,13.2,12.5,11.87801656251588,5.6,6.74,5.7295585022608355,1.6,2.0,1.9460956155057667,99.55999999999999,105.05999999999999,99.81179190164102,71.6,70.46000000000001,71.5692628156277,25.4,23.0,25.963521820860645,0.49659999999999993,0.4737,0.5003482700807804,57.0,57.6,55.03322664228015,0.45200000000000007,0.4232,0.45301930600010165,25.8,24.4,24.879083473047814,0.29500000000000004,0.2293,0.3022609358329523,16.6,13.1,16.408271096885642,0.6934,0.6234,0.6896085962505716,11.8,8.6,11.624701519077377,6.4,4.3,6.374333180917544,200.0,202.5,200.3251536859219,99.03999999999999,91.83,95.55052583447646,26.02,24.759999999999998,24.37531372250166,8.6,8.6,7.921404257481077,18.8,16.7,18.29421328049586,68.4,63.2,66.47701061830007,9.14,9.879999999999999,9.07446019407611,6.4,6.9,6.386069196768787,0.3054,0.3388,0.32321251841690807,17.4,19.5,17.774729461972264,0.2918,0.2993,0.29050586800792566,5.0,5.8,5.0941421531270645,49.879999999999995,46.910000000000004,49.598445358939195,34.0,31.6,33.88492607834172,0.5269999999999999,0.493,0.5299826754051721,16.740000000000002,17.75,18.909063658995073,12.8,13.6,14.336584870192555,39.6,38.1,37.258497180307884,0.5268,0.489,0.5314451049128691,20.8,18.6,19.784941319920748,0.1964,0.2265,0.20725113041711124,1.6,1.2,1.677691408829955
2019-12-21,"Crisler Arena, Ann Arbor, Michigan",Presbyterian,Michigan,Home,41.2,7,3.8,1,132.3,53.8,14,0.308,60,0.283,17,0.183,11,0.636,7,10,200,67.7,21.1,8,19,44,6.2,4,0.333,20,0.15,3,34.4,22,0.337,14.5,11,40,0.35,14,0.167,2,41.64,49.51818181818182,41.82541956680046,10.4,11.909090909090908,9.918677708343921,4.720000000000001,6.736363636363635,6.053039001507225,1.6,2.0,1.9640637436705113,101.64000000000001,106.66363636363636,107.44119460109403,69.9,69.64545454545454,68.21284187708514,24.4,22.363636363636363,22.642347880573766,0.4976,0.47509090909090906,0.49656551338718696,54.0,56.54545454545455,52.02215109485344,0.45380000000000004,0.42427272727272725,0.44701287066673445,24.6,24.0,23.25272231536521,0.33499999999999996,0.2400909090909091,0.3175072905553016,18.0,13.363636363636363,16.272180731257095,0.7447999999999999,0.6406363636363636,0.7307390641670477,13.4,9.0,12.083134346051585,7.2,4.7272727272727275,7.24955545394503,200.0,202.27272727272728,200.21676912394793,96.91999999999999,91.47272727272728,93.00035055631764,25.16,24.254545454545454,22.65020914833444,8.0,8.272727272727273,6.947602838320719,18.0,16.545454545454547,17.196142186997243,67.2,62.72727272727273,63.65134041220006,9.12,9.536363636363637,8.082973462717408,6.4,6.636363636363637,5.590712797845859,0.341,0.34954545454545455,0.36780834561127207,18.2,19.636363636363637,18.849819641314845,0.257,0.2937272727272727,0.2730039120052838,4.6,5.7272727272727275,5.062761435418043,48.9,46.31818181818182,46.53229690595947,32.4,30.636363636363637,29.58995071889448,0.5372,0.4973636363636364,0.5336551169367814,19.36,18.436363636363637,21.039375772663384,14.6,14.0,15.557723246795037,35.8,36.90909090909091,33.17233145353859,0.5603999999999999,0.4990909090909091,0.5542967366085795,20.0,18.272727272727273,18.189960879947165,0.1994,0.22245454545454546,0.19883408694474086,1.8,1.2727272727272727,1.785127605886637
2019-12-29,"Ross E.Templeton Center, Clinton, South Carolina","Kentucky Christian
			",Presbyterian,Home,51.4,18,6.9,2,83.6,89.2,33,0.602,64,0.547,35,0.141,9,0.444,4,10,200,120.9,26.7,8,15,81,10.4,7,0.297,19,0.368,7,61.2,41,0.593,8.1,6,45,0.622,28,0.231,3,39.88,48.824999999999996,41.61694637786698,9.6,11.5,8.945785138895948,5.4799999999999995,6.491666666666667,5.302026001004817,1.8,1.9166666666666667,1.6427091624470076,108.1,108.8,115.72746306739603,66.66,68.325,63.4085612513901,23.0,21.666666666666668,19.761565253715844,0.4734,0.46116666666666667,0.43371034225812466,54.8,56.833333333333336,54.681434063235635,0.4318000000000001,0.41250000000000003,0.392341913777823,23.6,23.416666666666668,21.16848154357681,0.3144,0.2353333333333333,0.27267152703686776,17.0,13.166666666666666,14.514787154171398,0.7219999999999999,0.64025,0.6991593761113651,12.4,8.833333333333334,10.388756230701059,8.0,5.166666666666667,8.166370302630021,200.0,202.08333333333334,200.14451274929863,92.0,89.49166666666667,84.56690037087843,23.259999999999998,23.991666666666664,22.133472765556295,7.4,8.25,7.298401892213814,17.4,16.75,17.79742812466483,64.0,61.166666666666664,57.100893608133376,8.52,9.258333333333333,7.455315641811606,6.0,6.416666666666667,5.060475198563906,0.354,0.3481666666666667,0.35620556374084805,19.2,19.666666666666668,19.233213094209898,0.23360000000000003,0.28175,0.23200260800352254,4.4,5.5,4.375174290278696,46.08,45.324999999999996,42.48819793730631,30.4,29.916666666666668,27.059967145929654,0.5102,0.484,0.4681034112911876,18.84,18.108333333333334,18.859583848442256,14.2,13.75,14.038482164530025,35.6,37.166666666666664,35.448220969025726,0.5426,0.48666666666666664,0.4861978244057197,19.2,17.916666666666668,16.79330725329811,0.20420000000000002,0.21783333333333332,0.18822272462982725,2.0,1.3333333333333333,1.856751737257758
2020-01-02,"Ross E.Templeton Center, Clinton, South Carolina",UNC Asheville,Presbyterian,Home,53.1,17,12.5,4,106.9,82.1,23,0.714,49,0.653,32,0.265,13,0.692,9,10,200,109.7,33.3,5,15,79,9.7,7,0.286,14,0.429,6,65.1,28,0.716,26.8,20,35,0.743,26,0.286,4,40.739999999999995,49.02307692307692,44.87796425191132,10.0,12.0,11.963856759263965,5.380000000000001,6.523076923076923,5.834684000669879,1.8,1.9230769230769231,1.7618061082980052,109.08,106.86153846153846,105.01830871159736,69.62,69.93076923076923,72.00570750092675,23.8,22.53846153846154,24.174376835810563,0.4814,0.47200000000000003,0.4898068948387498,54.6,57.38461538461539,57.78762270882376,0.4366,0.4228461538461538,0.4438946091852154,23.8,24.307692307692307,25.778987695717873,0.281,0.22807692307692307,0.2287810180245785,14.8,12.846153846153847,12.6765247694476,0.6708,0.6251538461538462,0.6141062507409102,10.4,8.461538461538462,8.259170820467373,8.8,5.538461538461538,8.777580201753349,200.0,201.92307692307693,200.09634183286576,92.97999999999999,91.9076923076923,96.67793358058563,22.98,24.200000000000003,23.655648510370863,7.2,8.23076923076923,7.532267928142543,17.8,16.615384615384617,16.864952083109888,62.8,62.69230769230769,65.06726240542226,7.140000000000001,9.346153846153847,8.436877094541071,4.8,6.461538461538462,5.706983465709271,0.3426,0.34423076923076923,0.33647037582723205,18.4,19.615384615384617,19.155475396139934,0.2638,0.2883846153846154,0.27733507200234836,4.8,5.615384615384615,5.25011619351913,47.62,46.54615384615385,48.725465291537546,31.0,30.76923076923077,31.706644763953108,0.512,0.49238461538461537,0.5097356075274584,18.080000000000002,17.338461538461537,15.273055898961504,13.4,13.153846153846153,11.358988109686685,36.2,37.76923076923077,38.63214731268382,0.5289999999999999,0.4970769230769231,0.5314652162704798,19.0,18.692307692307693,20.52887150219874,0.2004,0.21884615384615386,0.20248181641988483,2.2,1.4615384615384615,2.237834491505172
2020-01-04,"Paul Porter Arena, Boiling Springs, North Carolina",Presbyterian,Gardner-Webb,Away,50.0,10,16.7,5,84.9,73.2,30,0.418,55,0.364,20,0.491,27,0.815,22,10,200,93.2,36.1,13,21,68,5.5,4,0.382,21,0.286,6,55.8,43,0.501,21.2,18,34,0.412,14,0.333,5,44.7,49.31428571428571,47.618642834607556,11.8,12.357142857142858,13.642571172842644,7.44,6.95,8.056456000446586,2.4,2.0714285714285716,2.507870738865337,107.92,106.86428571428571,105.64553914106492,71.67999999999999,70.8,75.3704716672845,22.8,22.571428571428573,23.782917890540375,0.5332,0.48928571428571427,0.5645379298925,53.2,56.785714285714285,54.85841513921585,0.4814,0.43928571428571433,0.513596406123477,25.4,24.857142857142858,27.85265846381192,0.2554,0.2307142857142857,0.24085401201638568,13.0,12.857142857142858,12.7843498462984,0.6546,0.6299285714285714,0.6400708338272735,8.8,8.5,8.506113880311583,9.4,5.857142857142857,9.185053467835566,200.0,201.78571428571428,200.0642278885772,95.76,93.17857142857143,101.01862238705709,23.759999999999998,24.849999999999998,26.87043234024724,6.2,8.0,6.688178618761697,16.6,16.5,16.243301388739926,65.0,63.857142857142854,69.71150827028151,7.959999999999999,9.37142857142857,8.85791806302738,5.4,6.5,6.137988977139514,0.3426,0.3400714285714286,0.31964691721815475,18.0,19.214285714285715,17.436983597426625,0.312,0.29842857142857143,0.32789004800156557,5.4,5.642857142857143,5.500077462346087,50.22,47.871428571428574,54.1836435276917,29.0,30.571428571428573,30.471096509302072,0.5528000000000001,0.5083571428571428,0.5784904050183056,19.720000000000002,18.014285714285712,19.11537059930767,14.4,13.642857142857142,14.239325406457791,35.2,37.57142857142857,37.42143154178922,0.5726,0.5146428571428572,0.6019768108469865,20.0,19.214285714285715,22.35258100146583,0.21319999999999997,0.22364285714285717,0.2303212109465899,2.6,1.6428571428571428,2.8252229943367815
