date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-11-28,"Dunkin' Donuts Center, Providence, Rhode Island",Boston College,Providence,Away,46.7,14,14.5,8,115.5,52.8,20,0.473,74,0.405,30,0.176,13,0.538,7,2,200.0,108.5,36.6,14,21,77,9.9,7,0.324,24.0,0.417,10.0,44.2,34,0.48,7.0,6,50.0,0.4,20.0,0.667,4,44.17999999999999,44.17999999999999,45.95061728395062,14.0,14.0,15.222222222222225,13.52,13.52,12.611111111111114,5.6,5.6,5.320987654320989,93.26,93.26,90.39012345679015,63.760000000000005,63.760000000000005,63.20987654320989,26.2,26.2,26.111111111111114,0.48460000000000003,0.48460000000000003,0.49956790123456796,72.6,72.6,73.65432098765433,0.42000000000000004,0.42000000000000004,0.4314814814814815,30.6,30.6,31.913580246913583,0.3316,0.3316,0.33125925925925936,24.0,24.0,24.2962962962963,0.6604,0.6604,0.6684197530864198,15.8,15.8,16.23456790123457,0.4,0.4,0.5555555555555556,200.0,200.0,200.0,116.12,116.12,117.65185185185187,51.64,51.64,51.82592592592593,19.4,19.4,18.97530864197531,19.8,19.8,20.7283950617284,86.4,86.4,90.17283950617285,12.52,12.52,14.170370370370375,9.6,9.6,11.197530864197532,0.398,0.398,0.3791111111111112,28.8,28.8,27.888888888888893,0.3278,0.3278,0.36340740740740746,9.4,9.4,10.111111111111112,57.36,57.36,57.19629629629631,45.6,45.6,45.086419753086425,0.5142,0.5142,0.5283580246913581,12.1,12.1,13.095061728395063,11.6,11.6,12.950617283950619,43.8,43.8,45.76543209876544,0.487,0.487,0.4809506172839506,21.2,21.2,21.802469135802472,0.9099999999999999,0.9099999999999999,0.877777777777778,2.6,2.6,2.8395061728395063
2009-12-01,"Matthews Arena, Boston, Massachusetts",Providence,Northeastern,Away,45.2,14,8.3,4,107.5,61.3,20,0.618,55,0.564,31,0.236,13,0.615,8,2,200.0,113.4,42.3,10,17,76,9.0,6,0.2,11.0,0.545,6.0,52.6,30,0.621,20.9,16,44.0,0.568,25.0,0.714,5,42.959999999999994,44.6,46.20041152263375,13.0,14.0,14.814814814814817,10.56,13.683333333333332,13.240740740740744,4.8,6.0,6.213991769547326,102.22,96.96666666666665,98.76008230452678,58.2,61.93333333333334,59.73991769547327,24.0,25.166666666666668,24.074074074074076,0.4668,0.48266666666666663,0.4907119341563787,72.8,72.83333333333333,73.76954732510289,0.4024,0.4175,0.4226543209876544,29.4,30.5,31.27572016460906,0.30100000000000005,0.3056666666666667,0.27950617283950624,21.8,22.166666666666668,20.530864197530867,0.6514,0.64,0.6249465020576133,14.4,14.333333333333334,13.156378600823047,0.8,0.6666666666666666,1.037037037037037,200.0,200.0,200.0,112.22,114.85000000000001,114.60123456790126,48.7,49.13333333333333,46.75061728395062,18.6,18.5,17.31687242798354,21.4,20.0,20.818930041152267,82.6,84.83333333333333,85.78189300411523,11.04,12.083333333333334,12.746913580246918,8.4,9.166666666666666,9.798353909465021,0.37520000000000003,0.38566666666666666,0.3607407407407408,27.2,28.0,26.5925925925926,0.3486,0.3426666666666667,0.3812716049382716,9.4,9.5,10.074074074074076,53.14,55.166666666666664,52.86419753086421,42.6,43.666666666666664,41.390946502057616,0.49640000000000006,0.5085000000000001,0.512238683127572,11.559999999999999,11.25,11.06337448559671,11.0,10.666666666666666,10.63374485596708,45.6,44.833333333333336,47.176954732510296,0.44020000000000004,0.4725,0.4539670781893005,20.0,21.0,21.201646090534982,0.8434000000000001,0.8695,0.8075185185185187,3.2,2.8333333333333335,3.226337448559671
2009-12-05,"Thomas M. Ryan Center, Kingston, Rhode Island",Providence,Rhode Island,Home,50.0,15,2.0,1,107.5,63.6,28,0.508,63,0.476,30,0.349,22,0.818,18,3,200.0,102.5,33.3,11,22,82,2.5,2,0.222,14.0,0.286,4.0,50.6,39,0.558,20.7,17,49.0,0.531,26.0,0.625,5,44.0,44.68571428571429,45.86694101508917,13.8,14.0,14.543209876543212,10.26,12.914285714285715,11.59382716049383,4.8,5.714285714285714,5.4759945130315515,103.72,98.47142857142856,101.67338820301785,58.1,61.84285714285714,60.259945130315515,23.6,24.428571428571427,22.71604938271605,0.49800000000000005,0.502,0.5331412894375859,70.8,70.28571428571429,67.5130315500686,0.4382,0.43842857142857145,0.4697695473251029,30.6,30.571428571428573,31.183813443072708,0.28359999999999996,0.2957142857142857,0.2650041152263375,20.2,20.857142857142858,18.020576131687246,0.6220000000000001,0.6364285714285715,0.6216310013717422,12.8,13.428571428571429,11.437585733882031,1.2,0.8571428571428571,1.3580246913580247,200.0,200.0,200.0,111.52000000000001,114.64285714285714,114.20082304526751,45.16,48.15714285714286,45.26707818930041,16.0,17.285714285714285,14.877914951989027,22.0,19.571428571428573,19.54595336076818,82.6,83.57142857142857,82.5212620027435,11.0,11.642857142857142,11.49794238683128,8.4,8.714285714285714,8.532235939643348,0.3168,0.35914285714285715,0.30716049382716054,23.0,25.571428571428573,21.39506172839507,0.395,0.37157142857142855,0.43584773662551446,8.6,9.0,8.71604938271605,51.5,54.800000000000004,52.77613168724281,39.6,41.714285714285715,37.59396433470508,0.5192,0.5245714285714286,0.5484924554183814,12.76,12.62857142857143,14.342249657064475,11.6,11.428571428571429,12.422496570644721,47.8,44.714285714285715,46.11796982167353,0.4628,0.48614285714285715,0.4919780521262003,22.0,21.571428571428573,22.467764060356657,0.7862,0.8472857142857143,0.7763456790123459,3.8,3.142857142857143,3.817558299039781
2009-12-07,"Dunkin' Donuts Center, Providence, Rhode Island",Brown,Providence,Home,56.3,18,25.6,11,82.7,71.8,28,0.428,83,0.386,32,0.096,8,0.875,7,3,200.0,104.0,50.0,24,19,78,14.7,11,0.313,26.0,0.269,7.0,59.8,52,0.449,13.1,13,57.0,0.439,25.0,0.667,6,45.339999999999996,45.35,47.24462734339278,14.2,14.125,14.69547325102881,7.419999999999999,11.55,8.395884773662555,3.8,5.125,3.983996342021035,104.67999999999999,99.6,103.61559213534524,57.64,62.0625,61.373296753543684,23.0,24.875,24.477366255144034,0.5147999999999999,0.50275,0.5247608596250573,67.6,69.375,66.00868770004574,0.4574,0.443125,0.4718463648834019,30.6,30.5,30.789208962048473,0.2902,0.302375,0.293002743484225,19.6,21.0,19.347050754458166,0.6895999999999999,0.659125,0.6870873342478281,14.0,14.0,13.625057155921354,1.8,1.125,1.9053497942386832,200.0,200.0,200.0,110.96000000000001,113.125,110.30054869684503,43.42,46.3,41.27805212620028,14.4,16.5,13.585276634659351,21.6,19.875,20.363968907178787,83.2,83.375,82.347508001829,9.64,10.5,8.498628257887521,7.4,7.875,6.354823959762233,0.2802,0.342,0.27877366255144037,19.4,24.125,18.93004115226338,0.4084,0.360875,0.38589849108367635,8.0,8.375,7.144032921810701,50.980000000000004,54.275,52.050754458161876,37.4,41.375,38.062642889803385,0.5438,0.52875,0.5516616369455877,16.259999999999998,13.6375,16.461499771376317,14.4,12.125,13.948331047096481,48.2,45.25,47.078646547782355,0.47119999999999995,0.49175,0.5049853680841336,22.6,22.125,23.64517604023777,0.7112,0.8195,0.725897119341564,4.2,3.375,4.211705532693188
2009-12-09,"Charles E. Smith Center, Washington, District of Columbia",Providence,George Washington,Away,61.8,21,6.5,4,126.0,51.0,25,0.646,65,0.523,34,0.538,35,0.743,26,3,200.0,142.9,66.7,16,20,110,5.2,4,0.446,29.0,0.552,16.0,56.2,41,0.674,11.1,10,36.0,0.5,18.0,0.7,7,51.0,46.56666666666667,50.263084895595185,16.4,14.555555555555555,15.79698216735254,11.38,13.11111111111111,14.130589849108372,5.4,5.777777777777778,6.322664228014023,97.88,97.72222222222223,96.64372809023017,62.25999999999999,63.14444444444444,64.84886450236246,24.2,25.22222222222222,25.65157750342936,0.5196000000000001,0.49444444444444446,0.4925072397500382,70.6,70.88888888888889,71.67245846669717,0.461,0.43677777777777776,0.443230909922268,32.0,30.666666666666668,31.192805974698985,0.23299999999999996,0.27944444444444444,0.2273351623228167,16.0,19.555555555555557,15.564700502972112,0.7108000000000001,0.6831111111111111,0.7497248894985521,11.4,13.222222222222221,11.416704770614238,2.2,1.3333333333333333,2.270233196159122,200.0,200.0,200.0,110.92,112.11111111111111,108.2003657978967,43.660000000000004,46.71111111111111,44.18536808413352,15.6,17.333333333333332,17.056851089772902,20.4,19.77777777777778,19.90931260478586,83.8,82.77777777777777,80.89833866788601,11.74,10.966666666666667,10.565752171925014,9.0,8.222222222222221,7.903215973174822,0.281,0.3387777777777778,0.2901824417009603,20.4,24.333333333333332,21.28669410150892,0.41459999999999997,0.3506666666666667,0.3469323273891176,8.4,8.222222222222221,7.096021947873801,53.17999999999999,54.888888888888886,54.63383630544125,39.8,42.55555555555556,42.70842859320226,0.5401999999999999,0.519888888888889,0.5174410912970585,15.88,13.577777777777778,15.34099984758421,14.2,12.222222222222221,13.632220698064323,50.2,46.55555555555556,50.38576436518824,0.47380000000000005,0.4858888888888889,0.4829902453894224,23.6,22.444444444444443,24.096784026825183,0.6946,0.8025555555555556,0.7062647462277094,4.8,3.6666666666666665,4.807803688462125
2009-12-21,"Dunkin' Donuts Center, Providence, Rhode Island",Yale,Providence,Home,32.4,11,10.7,6,104.0,55.6,22,0.537,67,0.507,34,0.299,20,0.75,15,4,200.0,116.0,42.4,12,15,87,9.3,7,0.284,19.0,0.211,4.0,49.3,34,0.569,14.6,13,48.0,0.625,30.0,0.667,8,52.0,48.089999999999996,54.10872326373013,16.4,15.2,17.531321444901693,11.38,12.45,11.587059899405581,5.6,5.6,5.5484428186760155,107.84,100.55,106.42915206015346,60.1,61.92999999999999,60.23257633490831,24.2,25.2,25.43438500228624,0.5346,0.5096,0.5436714931666922,68.0,70.3,69.44830564446478,0.4708,0.44539999999999996,0.46982060661484537,31.4,31.0,32.128537316465994,0.279,0.3053,0.33089010821521114,18.2,21.1,22.043133668648075,0.7178,0.6891,0.7474832596657015,13.2,14.5,16.277803180409492,2.6,1.5,2.5134887974394147,200.0,200.0,200.0,114.25999999999999,115.19000000000001,119.76691053193113,45.78,48.71,51.69024538942235,15.0,17.2,16.704567393181936,19.8,19.8,19.939541736523907,84.6,85.5,90.59889244525735,8.26,10.39,8.777168114616678,6.0,7.8,6.602143982116548,0.30100000000000005,0.34950000000000003,0.34212162780064026,20.8,24.8,23.857796067672616,0.4138,0.3708,0.41528821825941176,8.6,9.0,10.064014631915867,52.68000000000001,55.02,55.15589087029417,39.2,42.4,42.13895239546817,0.5564,0.5353,0.569627394198039,14.559999999999999,13.330000000000002,13.927333231722807,12.4,12.0,12.421480465376217,47.2,45.5,45.590509576792165,0.48760000000000003,0.4873,0.4886601635929483,22.8,22.0,22.064522684550123,0.6746000000000001,0.7923,0.7041764974851397,5.4,4.0,5.538535792308084
2009-12-30,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",Providence,Notre Dame,Home,29.0,9,14.0,6,125.7,50.0,22,0.454,76,0.408,31,0.171,13,0.692,9,5,200.0,105.4,44.2,17,23,78,6.8,5,0.342,26.0,0.269,7.0,47.0,39,0.475,11.9,11,50.0,0.48,24.0,0.615,8,49.14,46.66363636363636,46.87248217582009,15.8,14.818181818181818,15.354214296601128,10.620000000000001,12.29090909090909,11.291373266270387,5.2,5.636363636363637,5.698961879117344,105.54,100.86363636363636,105.61943470676897,60.660000000000004,61.35454545454545,58.68838422327221,24.6,24.90909090909091,24.28959000152416,0.5474,0.512090909090909,0.5414476621111282,66.6,70.0,68.63220376297653,0.49119999999999997,0.451,0.4822137377432303,32.2,31.272727272727273,32.752358210977334,0.3036,0.30472727272727274,0.3202600721434741,19.6,21.0,21.362089112432052,0.7602,0.6946363636363636,0.7483221731104677,14.8,14.545454545454545,15.851868786939663,3.0,1.7272727272727273,3.0089925316262764,200.0,200.0,200.0,115.75999999999999,115.26363636363637,118.51127368795409,46.940000000000005,48.13636363636363,48.593496926281574,14.6,16.727272727272727,15.136378262121292,18.6,19.363636363636363,18.293027824349274,86.6,85.63636363636364,89.39926163017157,8.14,10.290909090909091,8.951445409744453,6.0,7.7272727272727275,6.734762654744365,0.293,0.34354545454545454,0.3227477518670935,19.8,24.272727272727273,22.238530711781745,0.3726,0.3562727272727273,0.34719214550627453,7.4,8.545454545454545,8.042676421277246,53.7,54.5,53.20392724686278,39.2,41.63636363636363,39.42596826364545,0.5742,0.5383636363636364,0.5694182627986927,16.08,13.445454545454545,14.151555487815205,13.8,12.090909090909092,12.614320310250811,46.8,45.72727272727273,46.39367305119478,0.5326000000000001,0.49981818181818183,0.5341067757286322,24.8,22.727272727272727,24.709681789700085,0.6746000000000001,0.7809090909090909,0.6917843316567598,6.2,4.363636363636363,6.359023861538723
2010-01-03,"Madison Square Garden (IV), New York, New York",Providence,St. John's (NY),Away,59.1,13,17.1,7,79.7,64.3,21,0.386,66,0.333,22,0.439,29,0.793,23,5,200.0,100.0,36.4,13,16,74,21.6,16,0.288,19.0,0.368,7.0,47.2,34,0.464,11.3,10,47.0,0.319,15.0,0.643,9,45.9,45.19166666666666,40.9149881172134,14.8,14.333333333333334,13.236142864400753,11.76,12.433333333333332,12.194248844180258,5.6,5.666666666666667,5.799307919411563,109.17999999999999,102.93333333333334,112.31295647117932,58.4,60.40833333333333,55.79225614884814,25.0,24.666666666666668,23.526393334349443,0.5146,0.50725,0.5122984414074188,70.8,70.5,71.08813584198435,0.45999999999999996,0.44741666666666663,0.45747582516215357,32.2,31.25,32.168238807318225,0.2906,0.29358333333333336,0.2705067147623161,19.6,20.333333333333332,18.574726074954704,0.7756,0.6944166666666667,0.7295481154069785,15.0,14.083333333333334,13.567912524626443,3.6,2.0,3.672661687750851,200.0,200.0,200.0,114.16000000000001,114.44166666666666,114.14084912530274,47.32,47.80833333333334,47.12899795085439,16.0,16.75,15.757585508080862,19.8,19.666666666666668,19.862018549566184,87.0,85.0,85.59950775344771,7.7,10.0,8.234296939829637,5.8,7.5,6.156508436496244,0.3214,0.3434166666666667,0.32916516791139566,22.8,24.416666666666668,23.4923538078545,0.3174,0.349,0.32112809700418304,7.6,8.416666666666666,7.695117614184831,52.58,53.875,51.13595149790852,41.0,41.416666666666664,39.2839788424303,0.5449999999999999,0.5330833333333334,0.5379455085324618,14.280000000000001,13.316666666666668,13.401036991876804,12.8,12.0,12.076213540167208,48.0,46.083333333333336,47.595782034129854,0.515,0.49816666666666665,0.5160711838190881,24.6,22.833333333333332,24.47312119313339,0.6548,0.7670833333333333,0.6661895544378399,6.8,4.666666666666667,6.906015907692483
2010-01-06,"Dunkin' Donuts Center, Providence, Rhode Island",Louisville,Providence,Away,61.5,16,6.7,2,131.4,37.0,12,0.508,59,0.441,26,0.322,19,0.526,10,6,200.0,100.0,25.7,7,19,70,10.0,7,0.356,21.0,0.381,8.0,30.6,19,0.515,14.0,10,38.0,0.474,18.0,0.6,9,47.720000000000006,46.26153846153846,46.97665874480893,14.4,14.23076923076923,13.157428576267169,14.780000000000001,12.792307692307693,13.829499229453507,6.8,5.769230769230769,6.199538612941042,103.62,101.14615384615385,101.44197098078622,58.54,60.70769230769231,58.62817076589876,23.6,24.384615384615383,22.68426222289963,0.4902000000000001,0.4979230769230769,0.4701989609382792,71.4,70.15384615384616,69.3920905613229,0.4314,0.43861538461538463,0.4159838834414357,30.6,30.53846153846154,28.778825871545486,0.30860000000000004,0.3047692307692308,0.3266711431748774,21.0,21.0,22.049817383303136,0.7706,0.702,0.7506987436046524,16.0,14.76923076923077,16.711941683084298,4.0,2.230769230769231,4.115107791833901,200.0,200.0,200.0,113.66000000000001,113.33076923076922,109.42723275020182,47.940000000000005,46.93076923076923,43.5526653005696,16.4,16.46153846153846,14.838390338720576,18.6,19.384615384615383,18.574679033044124,85.4,84.15384615384616,81.73300516896515,11.520000000000001,10.892307692307693,12.689531293219758,8.6,8.153846153846153,9.437672290997497,0.3346,0.33915384615384614,0.31544344527426377,23.8,24.0,21.99490253856967,0.3338,0.3504615384615385,0.3367520646694554,8.2,8.307692307692308,7.463411742789887,51.9,53.361538461538466,49.823967665272356,40.0,40.84615384615385,37.522652561620205,0.5262,0.5277692307692308,0.5132970056883079,12.4,13.161538461538461,12.70069132791787,11.4,11.846153846153847,11.384142360111472,47.6,46.15384615384615,47.39718802275324,0.4726,0.48438461538461536,0.45038078921272545,22.4,22.23076923076923,21.315414128755595,0.6584,0.7575384615384616,0.6584597029585599,7.6,5.0,7.604010605128322
2010-01-09,"Dunkin' Donuts Center, Providence, Rhode Island",Rutgers,Providence,Home,51.5,17,11.6,5,105.2,56.1,25,0.529,69,0.478,33,0.536,37,0.568,21,6,200.0,122.1,52.8,17,15,94,11.7,9,0.304,21.0,0.333,7.0,54.5,42,0.543,9.5,9,48.0,0.542,26.0,0.625,10,48.760000000000005,47.35,51.81777249653929,14.0,14.357142857142858,14.104952384178112,11.000000000000002,12.357142857142858,11.452999486302339,5.0,5.5,4.7996924086273625,113.35999999999999,103.30714285714285,111.42798065385749,51.58,59.01428571428572,51.41878051059918,20.4,23.5,19.122841481933087,0.5062,0.4986428571428571,0.4827993072921862,66.6,69.35714285714286,65.92806037421528,0.44239999999999996,0.4387857142857143,0.4243225889609572,29.4,30.214285714285715,27.85255058103033,0.3538,0.306,0.3251140954499183,23.2,20.857142857142858,21.03321158886876,0.7007999999999999,0.6894285714285714,0.6757991624031017,16.6,14.428571428571429,14.474627788722866,4.6,2.5,4.743405194555934,200.0,200.0,200.0,112.86000000000001,112.37857142857142,106.28482183346789,43.08,45.41428571428571,37.601776867046404,13.0,15.785714285714286,12.22559355914705,18.6,19.357142857142858,18.716452688696084,83.8,83.14285714285714,77.82200344597678,10.580000000000002,10.828571428571427,11.793020862146506,7.8,8.071428571428571,8.625114860664999,0.34319999999999995,0.34035714285714286,0.3289622968495092,22.8,23.785714285714285,21.663268359046448,0.3562,0.35264285714285715,0.35150137644630364,8.4,8.285714285714286,7.642274495193259,46.06,51.73571428571428,43.4159784435149,33.4,39.285714285714285,31.348435041080137,0.5394,0.5268571428571428,0.513864670458872,12.580000000000002,13.221428571428572,13.133794218611914,10.8,11.714285714285714,10.922761573407648,43.8,45.57142857142857,44.26479201516883,0.4796,0.48364285714285715,0.4582538594751503,21.0,21.928571428571427,20.210276085837066,0.645,0.7462857142857143,0.6389731353057067,8.2,5.285714285714286,8.069340403418881
