date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-19,"Tudor Fieldhouse, Houston, Texas",Houston,Rice,Away,53.6,15,0.0,0,124.4,57.9,22,0.566,61,0.459,28,0.492,30,0.667,20,2,200,114.1,16.7,6,19,89,9.0,7,0.508,31,0.419,13,37.8,28,0.591,12.9,11,30,0.5,15,0.667,4,56.32000000000001,56.32000000000001,58.292592592592605,14.0,14.0,14.506172839506174,10.620000000000001,10.620000000000001,8.681481481481484,4.4,4.4,3.5185185185185195,91.92,91.92,97.70740740740742,82.24,82.24,82.55308641975309,27.4,27.4,25.506172839506178,0.49420000000000003,0.49420000000000003,0.5141111111111112,59.2,59.2,57.66666666666667,0.41579999999999995,0.41579999999999995,0.4275061728395062,24.6,24.6,24.543209876543212,0.27040000000000003,0.27040000000000003,0.2955061728395062,15.8,15.8,16.8641975308642,0.7358,0.7358,0.721604938271605,11.6,11.6,12.185185185185187,1.0,1.0,1.0,200.0,200.0,200.0,95.02000000000001,95.02000000000001,96.8037037037037,23.66,23.66,22.05555555555556,8.2,8.2,7.481481481481482,15.2,15.2,15.925925925925927,70.0,70.0,71.13580246913581,9.32,9.32,9.180246913580248,7.0,7.0,6.913580246913582,0.46399999999999997,0.46399999999999997,0.476567901234568,27.4,27.4,27.46913580246914,0.33080000000000004,0.33080000000000004,0.3559012345679013,9.2,9.2,9.864197530864198,51.5,51.5,50.19876543209877,35.6,35.6,32.98765432098766,0.5238,0.5238,0.5420987654320989,18.560000000000002,18.560000000000002,18.738271604938276,15.2,15.2,15.148148148148152,31.8,31.8,30.197530864197535,0.4806,0.4806,0.48316049382716053,15.4,15.4,14.679012345679014,0.5434,0.5434,0.581530864197531,2.0,2.0,2.3950617283950617
2019-11-22,"Baha Mar Convention Center, Nassau",Rice,Milwaukee,Away,61.9,13,4.7,2,90.8,72.0,36,0.595,42,0.5,21,0.952,40,0.625,25,2,200,98.7,11.1,3,24,75,9.2,7,0.548,23,0.348,8,50.6,39,0.615,23.2,18,19,0.684,13,0.714,5,58.279999999999994,55.86666666666667,56.728395061728406,15.6,14.166666666666666,14.670781893004117,9.66,8.85,5.787654320987657,4.0,3.6666666666666665,2.34567901234568,95.38,97.33333333333333,106.60493827160495,79.0,78.18333333333332,74.33539094650206,27.8,26.5,24.337448559670786,0.5466,0.5061666666666667,0.5314074074074076,60.2,59.5,58.777777777777786,0.45039999999999997,0.423,0.43800411522633753,27.0,25.166666666666668,25.695473251028808,0.31520000000000004,0.30733333333333335,0.36100411522633746,18.8,18.166666666666668,21.242798353909468,0.7492,0.7243333333333334,0.70340329218107,13.8,13.0,14.790123456790125,1.2,1.1666666666666667,1.3333333333333335,200.0,200.0,200.0,107.71999999999998,98.2,102.56913580246915,24.94,22.5,20.270370370370376,8.6,7.833333333333333,6.987654320987655,15.8,15.833333333333334,16.95061728395062,79.2,73.16666666666667,77.09053497942388,9.0,9.266666666666667,9.1201646090535,6.6,7.0,6.942386831275721,0.47640000000000005,0.4713333333333333,0.48704526748971205,28.6,28.0,28.64609053497943,0.3986,0.3455,0.3769341563786009,11.4,9.833333333333334,10.909465020576132,51.779999999999994,49.21666666666667,46.06584362139918,36.4,34.333333333333336,31.32510288065844,0.5738,0.535,0.5583991769547326,15.6,17.616666666666667,16.79218106995885,12.6,14.5,13.765432098765435,31.6,31.5,30.13168724279836,0.4902,0.48383333333333334,0.4887736625514404,15.6,15.333333333333334,14.786008230452678,0.6768000000000001,0.5640000000000001,0.6100205761316874,2.8,2.3333333333333335,2.9300411522633745
2019-11-23,"Baha Mar Convention Center, Nassau",Liberty,Rice,Away,45.0,9,3.1,1,102.9,82.4,28,0.43,57,0.351,20,0.246,14,0.714,10,3,200,85.5,22.6,7,17,59,2.9,2,0.561,32,0.281,9,53.8,35,0.463,18.1,14,25,0.44,11,0.625,5,61.0,56.728571428571435,58.45226337448561,15.4,14.0,14.113854595336079,6.88,8.257142857142858,5.4251028806584385,2.8,3.4285714285714284,2.23045267489712,97.28,96.39999999999999,101.33662551440331,75.84,77.3,73.55692729766804,27.8,27.857142857142858,28.224965706447193,0.561,0.5188571428571429,0.5526049382716051,55.6,57.0,53.1851851851852,0.4612,0.43400000000000005,0.4586694101508917,25.4,24.571428571428573,24.130315500685874,0.46259999999999996,0.39942857142857147,0.558002743484225,24.0,21.285714285714285,27.49519890260631,0.7028000000000001,0.7101428571428572,0.6772688614540467,16.4,14.714285714285714,18.193415637860085,1.4,1.2857142857142858,1.5555555555555558,200.0,200.0,200.0,106.12,98.27142857142857,101.27942386831276,21.439999999999998,20.87142857142857,17.213580246913587,7.2,7.142857142857143,5.658436213991771,18.0,17.0,19.30041152263375,78.2,73.42857142857143,76.3936899862826,9.78,9.257142857142856,9.146776406035666,7.2,7.0,6.961591220850481,0.506,0.48228571428571426,0.5073635116598081,28.0,27.285714285714285,26.764060356652955,0.3912,0.3458571428571429,0.36728943758573396,11.0,9.571428571428571,9.939643347050755,49.8,49.41428571428571,47.577229080932796,35.0,35.0,33.88340192043896,0.5852,0.5464285714285715,0.5772661179698217,17.360000000000003,18.414285714285715,18.9281207133059,13.8,15.0,15.176954732510291,27.6,29.714285714285715,26.421124828532243,0.5296000000000001,0.5124285714285715,0.553849108367627,14.4,15.0,14.19067215363512,0.7196,0.5854285714285714,0.6446803840877916,3.6,2.7142857142857144,3.6200274348422496
2019-11-24,"Baha Mar Convention Center, Nassau",Rice,East Carolina,Away,50.0,12,1.9,1,90.8,58.1,25,0.5,56,0.429,24,0.518,29,0.724,21,3,200,101.3,28.6,8,20,77,3.9,3,0.482,27,0.296,8,46.5,33,0.552,16.9,14,29,0.552,16,0.667,6,59.239999999999995,55.2625,53.96817558299041,14.4,13.375,12.409236396890721,4.9399999999999995,7.612500000000001,4.6500685871056255,1.8,3.125,1.8203017832647468,105.92,97.2125,101.85775034293555,77.32000000000001,77.9375,76.50461819844537,26.8,27.875,28.149977137631463,0.5518,0.50775,0.5117366255144034,54.6,57.0,54.456790123456805,0.4476,0.42362500000000003,0.4227796067672612,24.2,24.0,22.75354366712392,0.48599999999999993,0.38025,0.4540018289894834,25.2,20.375,22.99679926840421,0.6956,0.710625,0.6895125743026979,17.2,14.125,15.462277091906724,1.8,1.5,2.037037037037037,200.0,200.0,200.0,103.82000000000001,96.675,96.01961591220852,18.54,21.0875,19.009053497942393,6.0,7.125,6.105624142661181,19.4,17.0,18.533607681755832,77.0,71.625,70.5957933241884,7.9799999999999995,8.4625,7.064517604023778,6.0,6.375,5.307727480566989,0.5344,0.49212500000000003,0.5252423411065388,29.2,27.875,28.509373571101975,0.39360000000000006,0.33775,0.33852629172382265,11.4,9.5,9.626428898033836,48.92,49.9625,49.651486053955196,32.8,35.0,34.255601280292645,0.5790000000000001,0.536,0.5391774119798811,17.26,18.375,18.652080475537268,13.6,14.875,14.784636488340194,25.4,29.125,25.94741655235483,0.512,0.503375,0.5158994055784181,12.8,14.5,13.127114769090081,0.7112,0.590375,0.6381202560585277,4.2,3.0,4.080018289894833
2019-12-07,"Montagne Center, Beaumont, Texas",Rice,Lamar,Home,77.8,14,5.1,2,98.6,71.9,23,0.443,53,0.34,18,0.377,20,0.65,13,4,200,81.1,25.7,9,21,60,5.4,4,0.528,28,0.393,11,47.8,32,0.48,25.4,21,25,0.28,7,0.6,6,54.239999999999995,54.67777777777778,52.64545038866028,13.2,13.222222222222221,12.272824264593815,2.38,6.977777777777778,3.733379058070417,1.0,2.888888888888889,1.5468678555098312,104.6,96.5,98.17183356195704,71.0,75.73333333333333,70.36974546563025,26.6,27.555555555555557,27.099984758420977,0.5484,0.5068888888888889,0.5078244170096022,53.8,56.888888888888886,54.97119341563787,0.45339999999999997,0.4242222222222222,0.42485307117817417,24.2,24.0,23.16902911141595,0.5096,0.39555555555555555,0.47533455265965563,26.2,21.333333333333332,24.997866178936142,0.6904,0.7121111111111111,0.7010083828684652,17.8,14.88888888888889,17.308184727937817,2.2,1.6666666666666667,2.358024691358025,200.0,200.0,200.0,103.01999999999998,97.1888888888889,97.77974394147236,19.939999999999998,21.922222222222224,22.20603566529493,6.0,7.222222222222222,6.737082761774122,19.2,17.333333333333332,19.022405121170557,76.4,72.22222222222223,72.73052888279227,6.119999999999999,7.955555555555555,6.009678402682519,4.6,6.0,4.53848498704466,0.5142,0.49100000000000005,0.5108282274043592,27.6,27.77777777777778,28.00624904740132,0.37279999999999996,0.33311111111111114,0.3243508611492151,10.2,9.333333333333334,9.084285932022558,47.92,49.577777777777776,48.6009907026368,32.6,34.77777777777778,33.8370675201951,0.5773999999999999,0.5377777777777778,0.5434516079865874,17.740000000000002,18.211111111111112,18.06805365035818,14.0,14.777777777777779,14.523090992226797,26.2,29.11111111111111,26.96494436823656,0.5424,0.5087777777777779,0.5279329370522787,14.0,14.666666666666666,14.084743179393389,0.6946000000000001,0.5988888888888889,0.6477468373723518,4.8,3.3333333333333335,4.720012193263223
2019-12-14,"Tudor Fieldhouse, Houston, Texas",Houston Baptist,Rice,Home,57.1,20,5.0,2,107.7,63.3,19,0.614,66,0.53,35,0.333,22,0.682,15,4,199,123.1,25.7,9,15,96,11.5,9,0.455,30,0.367,11,43.1,28,0.628,12.7,11,36,0.667,24,0.636,7,57.660000000000004,56.989999999999995,61.03030025910685,12.6,13.3,12.84854950972921,2.96,6.790000000000001,4.188919372046945,1.2,2.8,1.697911903673221,101.5,96.71000000000001,98.31455570797137,68.46000000000001,75.35,70.87983031042018,26.8,27.1,25.733323172280656,0.5067999999999999,0.5005,0.48621627800640155,53.8,56.5,54.31412894375858,0.41580000000000006,0.41580000000000006,0.3965687141187828,22.2,23.4,21.446019407610635,0.517,0.39370000000000005,0.4425563684397704,26.6,21.2,23.331910785957433,0.6759999999999999,0.7059,0.6840055885789769,17.8,14.7,15.872123151958547,2.8,1.9,2.9053497942386834,200.0,200.0,200.0,96.13999999999999,95.58,92.21982929431492,20.94,22.3,23.370690443529956,6.6,7.4,7.491388507849416,20.2,17.7,19.681603414113706,72.0,71.0,68.48701925519485,6.08,7.7,5.806452268455013,4.6,5.8,4.3589899913631065,0.5254000000000001,0.49470000000000003,0.5165521516029061,28.2,27.8,28.00416603160088,0.34740000000000004,0.3391,0.3472339074328101,9.8,9.5,9.722857288015039,47.3,49.4,48.33399380175787,33.4,34.5,33.22471168013007,0.5401999999999999,0.532,0.5223010719910584,19.3,18.93,20.512035766905456,15.6,15.4,16.682060661484535,25.6,28.7,26.309962912157708,0.4912000000000001,0.4859,0.4452886247015192,12.4,13.9,11.723162119595592,0.6546000000000001,0.599,0.6318312249149013,5.2,3.6,5.146674795508815
2019-12-19,"Tudor Fieldhouse, Houston, Texas","St. Thomas (TX)
			",Rice,Home,63.2,24,11.4,5,89.7,77.3,34,0.625,72,0.528,38,0.292,21,0.619,13,4,200,132.1,42.4,14,9,103,10.3,8,0.528,38,0.368,14,62.3,48,0.628,11.0,10,34,0.706,24,0.667,8,58.36,57.0,59.720200172737904,13.6,13.909090909090908,15.232366339819475,3.96,6.627272727272728,4.45927958136463,1.6,2.727272727272727,1.7986079357821474,98.16,97.7090909090909,101.44303713864758,69.54,74.25454545454545,68.35322020694679,26.2,26.363636363636363,23.488882114853773,0.5164,0.5108181818181818,0.5288108520042678,54.8,57.36363636363637,58.20941929583906,0.43,0.42618181818181816,0.4410458094125219,23.6,24.454545454545453,25.96401293840709,0.4852,0.38818181818181824,0.406037578959847,25.0,21.272727272727273,22.887940523971622,0.679,0.7037272727272726,0.6833370590526513,16.8,14.727272727272727,15.581415434639032,3.2,2.090909090909091,3.2702331961591224,199.8,199.9090909090909,199.66666666666669,97.94,98.08181818181819,102.51321952954328,22.740000000000002,22.60909090909091,24.147126962353305,7.2,7.545454545454546,7.994259005232944,19.4,17.454545454545453,18.121068942742472,73.4,73.27272727272727,77.65801283679657,6.58,8.045454545454545,7.704301512303342,5.0,6.090909090909091,5.905993327575405,0.5148,0.4910909090909091,0.4960347677352708,28.0,28.0,28.669444021067257,0.337,0.3416363636363636,0.35382260495520673,9.4,9.636363636363637,10.14857152534336,48.36,48.82727272727273,46.58932920117192,33.4,33.90909090909091,31.483141120086714,0.5476,0.5407272727272727,0.5575340479940389,19.259999999999998,18.363636363636363,17.90802384460364,15.6,15.0,14.78804044098969,26.8,29.363636363636363,29.53997527477181,0.5246000000000001,0.5023636363636363,0.5191924164676796,14.2,14.818181818181818,15.815441413063729,0.6484,0.6023636363636364,0.6332208166099342,5.8,3.909090909090909,5.764449863672544
2019-12-29,"Tudor Fieldhouse, Houston, Texas",Sam Houston State,Rice,Away,65.0,13,4.8,2,104.2,76.9,20,0.398,59,0.339,20,0.339,20,0.7,14,5,200,84.7,23.1,9,9,61,11.1,8,0.525,31,0.226,7,44.6,29,0.445,17.1,14,28,0.464,13,0.615,8,58.620000000000005,57.51666666666667,60.88013344849195,15.8,14.75,18.154910893212985,5.3,7.0249999999999995,6.772853054243086,2.2,2.9166666666666665,2.8657386238547646,97.94,97.04166666666667,97.52869142576506,70.6,74.50833333333334,71.33548013796454,25.8,27.0,26.992588076569184,0.5224,0.5203333333333333,0.5608739013361785,60.8,58.583333333333336,62.80627953055938,0.4356,0.4346666666666667,0.47003053960834795,27.0,25.583333333333332,29.976008625604727,0.3532,0.3801666666666667,0.36802505263989804,21.2,21.25,22.258627015981084,0.6778,0.6966666666666667,0.6618913727017676,14.4,14.583333333333334,14.72094362309269,3.6,2.25,3.5134887974394156,199.8,199.91666666666666,199.7777777777778,104.62,100.91666666666667,112.3754796863622,29.0,24.258333333333336,30.231417974902204,9.4,8.083333333333334,9.996172670155296,16.4,16.75,15.080712628494982,79.0,75.75,86.10534189119772,6.8,8.233333333333333,8.569534341535562,5.2,6.25,6.603995551716936,0.5108,0.49416666666666664,0.5066898451568472,31.0,28.833333333333332,31.779629347378176,0.341,0.3438333333333334,0.35854840330347115,10.6,10.0,11.432381016895574,50.7,49.949999999999996,51.82621946744795,35.2,35.083333333333336,36.98876074672448,0.5502,0.548,0.5810226986626926,16.82,17.75,15.605349229735761,14.0,14.583333333333334,13.192026960659796,29.8,29.75,31.026650183181207,0.529,0.5193333333333333,0.5814616109784531,16.4,15.583333333333334,18.54362760870915,0.639,0.60775,0.6444805444066228,6.4,4.25,6.509633242448363
2020-01-02,"Henderson Center, Huntington, West Virginia",Rice,Marshall,Home,27.3,6,0.0,0,109.9,67.9,19,0.424,59,0.373,22,0.424,25,0.76,19,6,200,85.2,8.8,3,15,69,12.3,10,0.356,21,0.286,6,35.5,22,0.487,18.6,16,38,0.421,16,0.571,8,62.620000000000005,58.0923076923077,62.253422298994636,16.6,14.615384615384615,16.43660726214199,5.64,6.853846153846154,6.115235369495391,2.4,2.8461538461538463,2.5771590825698434,98.2,97.5923076923077,99.75246095051006,69.5,74.6923076923077,73.19032009197636,24.2,26.46153846153846,24.66172538437946,0.516,0.5109230769230769,0.5065826008907857,61.2,58.61538461538461,61.53751968703959,0.4332,0.4273076923076923,0.426353693072232,27.0,25.153846153846153,26.65067241706982,0.3718,0.377,0.3583500350932654,22.4,21.153846153846153,21.50575134398739,0.675,0.696923076923077,0.6745942484678451,15.2,14.538461538461538,14.480629082061794,4.0,2.4615384615384617,4.008992531626277,199.8,199.92307692307693,199.85185185185188,104.46,99.66923076923078,103.15031979090814,29.1,24.16923076923077,27.854278649934805,9.8,8.153846153846153,9.664115113436864,14.8,16.153846153846153,13.053808418996656,79.4,74.61538461538461,77.73689459413183,8.440000000000001,8.453846153846154,9.413022894357042,6.4,6.384615384615385,7.0693303678112915,0.5036,0.49653846153846154,0.5127932301045648,30.8,29.0,31.51975289825212,0.32999999999999996,0.3347692307692308,0.31436560220231413,10.2,9.76923076923077,9.954920677930383,48.86,49.53846153846154,49.417479644965304,34.0,34.61538461538461,34.32584049781632,0.5466,0.5400769230769231,0.5356817991084617,16.619999999999997,17.7,16.103566153157175,14.0,14.538461538461538,13.461351307106531,30.4,29.615384615384617,30.017766788787473,0.5338,0.5150769230769231,0.542307740652302,16.8,15.384615384615385,16.695751739139435,0.6370000000000001,0.6083076923076923,0.6346536962710819,7.0,4.538461538461538,7.006422161632242
2020-01-04,"E.A. Diddle Arena, Bowling Green, Kentucky",Rice,Western Kentucky,Home,37.5,9,10.8,4,100.0,78.1,25,0.467,60,0.4,24,0.133,8,0.625,5,7,200,89.7,22.9,8,16,61,7.4,5,0.483,29,0.276,8,49.3,33,0.478,17.0,13,31,0.516,16,0.533,8,58.08,55.892857142857146,50.6022815326631,15.4,14.0,12.957738174761328,5.26,6.364285714285715,4.0768235796635945,2.2,2.642857142857143,1.7181060550465626,102.02000000000001,98.47142857142856,103.13497396700672,71.46,74.20714285714287,71.42688006131758,23.0,25.928571428571427,22.774483589586307,0.5008,0.5047142857142857,0.47905506726052377,61.8,58.642857142857146,60.69167979135973,0.42200000000000004,0.42342857142857143,0.4085691287148213,26.6,24.928571428571427,25.10044827804655,0.35300000000000004,0.3803571428571429,0.3802333567288436,21.6,21.428571428571427,22.670500895991594,0.6822,0.7014285714285714,0.7030628323118968,14.8,14.857142857142858,15.987086054707863,4.6,2.7142857142857144,4.6726616877508516,199.8,199.92857142857142,199.90123456790127,101.24,98.63571428571429,97.16687986060543,25.14,23.071428571428573,21.502852433289874,8.8,7.785714285714286,7.44274340895791,13.8,16.071428571428573,13.702538945997771,77.8,74.21428571428571,74.82459639608788,10.120000000000001,8.72857142857143,10.375348596238027,7.8,6.642857142857143,8.046220245207529,0.47840000000000005,0.4865,0.46052882006970985,29.6,28.428571428571427,28.01316859883475,0.328,0.3312857142857143,0.30491040146820947,9.8,9.5,8.636613785286922,46.660000000000004,48.535714285714285,44.77831976331021,31.8,33.714285714285715,30.217226998544216,0.5336000000000001,0.5362857142857143,0.5194545327389746,16.96,17.764285714285716,16.93571076877145,14.4,14.642857142857142,14.307567538071023,32.2,30.214285714285715,32.67851119252499,0.5076,0.5083571428571428,0.5018718271015348,16.8,15.428571428571429,16.463834492759624,0.6178,0.605642857142857,0.6134357975140546,7.4,4.785714285714286,7.337614774421496
