date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-26,"Barclays Center, Brooklyn, New York",Auburn,Richmond,Away,25.0,7,4.9,2,109.7,56.8,21,0.446,65,0.431,28,0.138,9,0.778,7,1,200,90.3,26.5,9,21,65,6.9,5,0.277,18,0.111,2,42.3,30,0.469,14.8,12,47,0.553,26,0.833,5,58.96,58.96,58.12592592592594,18.8,18.8,18.074074074074076,10.440000000000001,10.440000000000001,11.713580246913583,3.6,3.6,3.839506172839507,97.66,97.66,94.1814814814815,74.34,74.34,75.25925925925927,25.2,25.2,25.641975308641978,0.6054,0.6054,0.601283950617284,62.2,62.2,60.41975308641977,0.5096,0.5096,0.5080493827160495,31.6,31.6,30.66666666666667,0.22319999999999998,0.22319999999999998,0.19981481481481483,14.4,14.4,12.567901234567904,0.7846,0.7846,0.7633703703703705,11.4,11.4,9.703703703703708,0.0,0.0,0.0,210.0,210.0,207.40740740740745,118.44000000000001,118.44000000000001,115.79382716049385,25.18,25.18,23.354320987654326,7.4,7.4,6.765432098765433,17.2,17.2,17.037037037037038,86.4,86.4,82.27160493827162,11.52,11.52,11.47777777777778,8.4,8.4,8.111111111111112,0.4246,0.4246,0.40980246913580254,26.4,26.4,24.827160493827165,0.4386,0.4386,0.4388271604938272,11.8,11.8,11.234567901234572,50.8,50.8,50.60617283950618,32.6,32.6,32.40740740740741,0.6278,0.6278,0.6192716049382717,14.279999999999998,14.279999999999998,14.790123456790123,11.2,11.2,11.25925925925926,35.8,35.8,35.592592592592595,0.5549999999999999,0.5549999999999999,0.5480864197530865,19.8,19.8,19.4320987654321,1.0,1.0,1.0,3.0,3.0,3.3950617283950617
2019-11-30,"Robins Center, Richmond, Virginia",Boston College,Richmond,Home,72.0,18,7.4,2,64.7,76.2,32,0.509,58,0.431,25,0.086,5,1.0,5,1,200,94.1,9.4,3,13,64,16.2,11,0.414,24,0.375,9,47.3,35,0.53,17.8,13,34,0.471,16,0.857,6,51.379999999999995,53.300000000000004,47.08395061728396,15.8,16.833333333333332,14.382716049382719,8.7,9.516666666666667,9.442386831275723,2.8,3.3333333333333335,3.226337448559671,95.1,99.66666666666667,99.35432098765433,72.72,71.41666666666667,69.10617283950617,24.6,24.5,24.094650205761322,0.5726,0.5788333333333333,0.549522633744856,61.6,62.666666666666664,61.94650205761318,0.4928,0.4965,0.48236625514403303,30.2,31.0,29.777777777777782,0.1802,0.209,0.1792098765432099,11.4,13.5,11.37860082304527,0.7986,0.7835000000000001,0.768246913580247,9.4,10.666666666666666,8.802469135802472,0.2,0.16666666666666666,0.3333333333333333,205.0,208.33333333333334,204.9382716049383,111.5,113.75,107.29588477366256,26.48,25.400000000000002,24.402880658436217,7.8,7.666666666666667,7.510288065843622,17.8,17.833333333333332,18.358024691358025,79.4,82.83333333333333,76.51440329218109,10.9,10.75,9.951851851851853,7.8,7.833333333333333,7.074074074074076,0.3948,0.39999999999999997,0.36553497942386837,24.2,25.0,22.551440329218114,0.37120000000000003,0.38399999999999995,0.3295514403292181,9.6,10.166666666666666,8.156378600823048,50.64,49.38333333333333,47.83744855967079,32.4,32.166666666666664,31.604938271604944,0.5956,0.6013333333333334,0.5691810699588478,15.4,14.366666666666667,14.793415637860084,12.0,11.333333333333334,11.506172839506174,37.4,37.666666666666664,39.39506172839506,0.5528000000000001,0.5546666666666668,0.549724279835391,20.6,20.833333333333332,21.621399176954736,0.9666,0.9721666666666667,0.9443333333333334,3.8,3.3333333333333335,3.9300411522633745
2019-12-03,"Hampton Convocation Center, Hampton, Virginia",Richmond,Hampton,Away,84.6,22,2.9,1,103.3,66.7,22,0.588,57,0.456,26,0.316,18,0.722,13,1,200,131.1,35.5,11,14,80,9.8,6,0.509,29,0.517,15,51.6,33,0.61,8.5,6,28,0.393,11,0.875,7,55.779999999999994,55.971428571428575,55.38930041152264,16.2,17.0,15.588477366255146,9.540000000000001,9.214285714285714,8.761591220850484,3.0,3.142857142857143,2.817558299039781,85.88,94.67142857142858,87.80288065843622,73.11999999999999,72.1,71.47078189300412,26.4,25.571428571428573,26.72976680384088,0.5702,0.5688571428571428,0.5360150891632374,59.2,62.0,60.63100137174213,0.48760000000000003,0.48714285714285716,0.46524417009602204,28.8,30.142857142857142,28.18518518518519,0.1316,0.19142857142857145,0.1481399176954733,7.8,12.285714285714286,9.252400548696848,0.8246,0.8144285714285715,0.8454979423868314,6.4,9.857142857142858,7.5349794238683145,0.4,0.2857142857142857,0.5555555555555556,200.0,207.14285714285714,203.29218106995887,107.92,110.94285714285715,102.89725651577504,24.04,23.114285714285717,19.40192043895748,6.8,7.0,6.006858710562415,17.4,17.142857142857142,16.572016460905353,73.6,80.14285714285714,72.34293552812073,11.48,11.528571428571428,12.034567901234569,7.8,8.285714285714286,8.382716049382719,0.3976,0.402,0.3816899862825789,23.4,24.857142857142858,23.034293552812077,0.382,0.3827142857142857,0.34470096021947877,9.6,10.0,8.437585733882033,50.980000000000004,49.08571428571429,47.65829903978053,33.2,32.57142857142857,32.7366255144033,0.5866,0.5911428571428571,0.5561207133058985,16.54,14.857142857142858,15.795610425240058,12.4,11.571428571428571,12.00411522633745,35.8,37.142857142857146,37.59670781893004,0.5374,0.5427142857142857,0.523482853223594,19.2,20.142857142857142,19.74759945130316,0.938,0.9557142857142856,0.9152222222222223,4.6,3.7142857142857144,4.62002743484225
2019-12-08,"Robins Center, Richmond, Virginia",South Alabama,Richmond,Home,73.3,22,8.1,3,85.1,73.8,31,0.612,58,0.517,30,0.069,4,1.0,4,1,200,111.9,18.5,5,9,75,13.4,9,0.431,25,0.44,11,52.2,36,0.626,16.7,12,33,0.576,19,0.889,8,59.760000000000005,59.55,65.12620027434843,16.2,17.625,17.72565157750343,8.5,8.425,6.80772748056699,2.6,2.875,2.2117055326931876,88.56,95.75,92.96858710562415,71.16,71.425,69.88052126200276,25.6,25.125,25.153177869227257,0.554,0.57125,0.5533433927754916,58.2,61.375,59.420667581161425,0.4692,0.48325,0.4621627800640147,27.2,29.625,27.4567901234568,0.1658,0.20700000000000002,0.2040932784636489,9.6,13.0,12.168267032464566,0.8134,0.802875,0.804331961591221,7.6,10.25,9.356652949245543,0.6,0.375,0.7037037037037037,200.0,206.25,202.19478737997258,108.05999999999999,113.4625,112.29817101051671,23.439999999999998,24.6625,24.767946959304986,7.0,7.5,7.671239140374944,16.0,16.75,15.714677640603568,71.6,80.125,74.8952903520805,11.7,11.3125,11.28971193415638,7.8,8.0,7.588477366255146,0.40259999999999996,0.415375,0.4241266575217193,23.2,25.375,25.022862368541386,0.3854,0.39949999999999997,0.4021339734796525,9.6,10.625,10.625057155921356,49.3,49.4,48.97219935985369,32.6,32.625,32.8244170096022,0.5728,0.5935,0.5740804755372657,15.6,14.0625,13.363740283493375,11.6,10.875,10.002743484224968,35.0,36.0,34.39780521262003,0.49720000000000003,0.524,0.4799885688157294,17.6,19.0,16.83173296753544,0.9129999999999999,0.9456249999999999,0.9018148148148148,5.4,4.125,5.413351623228166
2019-12-14,"Robins Center, Richmond, Virginia",College of Charleston,Richmond,Home,61.3,19,8.6,3,104.4,74.3,26,0.602,59,0.525,31,0.153,9,0.778,7,1,200,114.7,25.0,7,9,78,10.3,7,0.424,25,0.36,9,52.4,33,0.616,13.7,10,34,0.647,22,0.9,9,60.220000000000006,61.07777777777778,67.85080018289895,16.2,18.11111111111111,19.15043438500229,7.26,8.38888888888889,7.238484987044661,2.2,2.888888888888889,2.474470355128792,88.82000000000001,94.56666666666666,90.34572473708278,71.06,71.6888888888889,71.1870141746685,26.6,25.77777777777778,27.102118579484838,0.5346,0.5757777777777778,0.5728955951836611,58.8,61.0,58.94711172077429,0.4598,0.487,0.4804418533760098,27.0,29.666666666666668,28.304526748971202,0.1432,0.19166666666666668,0.1590621856424326,8.4,12.0,9.445511354976379,0.8333999999999999,0.8247777777777778,0.8695546410608141,6.6,9.555555555555555,7.571101966163695,0.8,0.4444444444444444,0.8024691358024691,200.0,205.55555555555554,201.4631915866484,104.85999999999999,113.28888888888889,112.16544734034449,20.48,23.977777777777778,22.67863130620333,6.4,7.222222222222222,6.780826093583297,14.6,15.88888888888889,13.47645176040238,69.2,79.55555555555556,74.93019356805367,11.44,11.544444444444444,11.993141289437588,7.6,8.11111111111111,8.058984910836765,0.387,0.4171111111111111,0.42641777168114625,22.6,25.333333333333332,25.01524157902759,0.35919999999999996,0.404,0.4147559823197684,8.6,10.666666666666666,10.75003810394757,48.22,49.71111111111111,50.04813290656913,33.0,33.0,33.88294467306814,0.5524,0.597111111111111,0.5913869836915104,14.48,14.355555555555554,14.47582685566225,10.6,11.0,10.668495656149979,36.2,35.666666666666664,33.931870141746685,0.5012000000000001,0.5297777777777778,0.5119923792104862,18.4,19.0,17.55448864502363,0.8907999999999999,0.9393333333333334,0.8975432098765433,6.2,4.555555555555555,6.275567748818778
2019-12-18,"Ted Constant Convocation Ctr., Norfolk, Virginia",Richmond,Old Dominion,Away,66.7,14,10.0,3,85.5,85.7,24,0.461,51,0.412,21,0.373,19,0.789,15,1,200,89.9,12.9,4,17,62,11.6,8,0.373,19,0.263,5,47.5,28,0.516,16.8,12,32,0.5,16,0.909,10,63.239999999999995,61.1,65.66720012193264,17.6,18.2,19.100289590001527,6.38,8.41,7.69232332469644,2.2,2.9,2.6496469034191947,93.44,95.55,95.03048315805519,69.56,71.95,72.22467611644566,26.4,25.8,26.73474571965656,0.5513999999999999,0.5784,0.582597063455774,59.4,60.8,58.96474114718286,0.472,0.4908,0.4952945689173399,28.0,29.8,29.20301783264747,0.1524,0.18780000000000002,0.15704145709495507,9.0,11.7,9.297007569984252,0.8556000000000001,0.8201,0.8390364273738762,7.2,9.3,7.380734644109131,1.0,0.5,0.8683127572016462,200.0,205.0,200.9754610577656,108.42,113.42999999999999,113.01029822689634,22.98,24.080000000000002,23.45242087080222,7.0,7.2,6.853884062388865,13.2,15.2,11.984301173601589,72.4,79.4,75.95346237870245,11.32,11.42,11.42876085962506,7.6,8.0,7.705989940557844,0.4109999999999999,0.4178,0.42561184778743083,24.2,25.3,25.010161052685064,0.36060000000000003,0.3996,0.39650398821317895,9.2,10.5,10.166692069298382,49.160000000000004,49.980000000000004,50.83208860437942,33.4,33.0,33.58862978204543,0.5702,0.599,0.599591322461007,14.3,14.290000000000001,14.217217903774834,10.6,10.9,10.445663770766654,35.2,35.5,33.95458009449779,0.528,0.5415,0.5569949194736575,18.8,19.3,19.036325763349087,0.8708,0.9353999999999999,0.8983621399176955,7.0,5.0,7.183711832545852
2019-12-22,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",Richmond,Radford,Home,55.0,11,3.1,1,109.0,77.8,21,0.427,55,0.364,20,0.273,15,0.733,11,2,200,86.6,13.9,5,19,58,9.0,6,0.436,24,0.292,7,41.3,26,0.467,14.0,10,31,0.419,13,0.833,10,71.58,61.60909090909092,66.0114667479551,19.0,17.818181818181817,17.40019306000102,7.4,8.554545454545455,8.46154888313096,2.4,2.909090909090909,2.76643126894613,88.6,94.63636363636364,91.85365543870347,75.34,73.2,76.71645074429712,27.0,25.636363636363637,25.823163813104376,0.5544,0.5677272727272727,0.5420647089705161,56.6,59.90909090909091,56.30982743145525,0.46819999999999995,0.48363636363636364,0.46752971261155996,26.6,29.0,26.468678555098315,0.1994,0.20463636363636362,0.2290276380633034,11.0,12.363636363636363,12.531338379989503,0.8577999999999999,0.8172727272727273,0.8223576182492509,8.8,9.818181818181818,9.920489762739422,1.0,0.5454545454545454,0.9122085048010975,200.0,204.54545454545453,200.65030737184375,108.34,111.2909090909091,105.30686548459757,20.26,23.063636363636363,19.93494724720148,6.0,6.909090909090909,5.90258937492591,12.4,15.363636363636363,13.65620078240106,71.8,77.81818181818181,71.30230825246831,12.26,11.436363636363636,11.485840573083372,8.2,8.0,7.803993293705229,0.43019999999999997,0.4137272727272727,0.40807456519162055,24.4,24.727272727272727,23.006774035123378,0.39099999999999996,0.38718181818181824,0.352002658808786,9.8,10.0,8.444461379532255,50.2,49.75454545454545,49.72139240291962,33.0,32.54545454545455,31.72575318803029,0.5795999999999999,0.5914545454545455,0.5717275483073381,14.7,14.518181818181818,15.078145269183224,10.6,11.0,10.96377584717777,32.2,35.18181818181818,33.30305339633186,0.5174,0.5377272727272727,0.5379966129824384,16.8,19.0,18.024217175566058,0.8859999999999999,0.9329999999999999,0.9019080932784638,8.0,5.454545454545454,8.122474555030568
2019-12-29,"Coleman Coliseum , Tuscaloosa, Alabama",Richmond,Alabama,Home,40.7,11,5.6,2,115.4,60.5,23,0.435,69,0.391,27,0.319,22,0.818,18,3,200,100.0,24.4,10,18,78,11.5,9,0.348,24,0.25,6,41.8,33,0.491,11.3,10,45,0.467,21,0.769,10,68.17999999999999,61.05833333333334,62.340977831970065,17.6,17.25,15.266795373334013,6.540000000000001,8.1,6.674365922087308,2.2,2.75,2.177620845964087,97.46000000000001,95.83333333333333,97.56910362580231,75.66,73.58333333333333,77.07763382953141,24.8,25.25,24.215442542069585,0.5379999999999999,0.5559999999999999,0.503709805980344,56.0,59.5,55.87321828763683,0.4548,0.4736666666666667,0.4330198084077067,25.6,28.25,24.312452370065543,0.23680000000000004,0.21033333333333334,0.2436850920422023,13.0,12.583333333333334,13.35422558665967,0.8044,0.81025,0.7925717454995006,10.0,9.916666666666666,10.280326508492948,1.2,0.6666666666666666,1.2748056698673984,200.0,204.16666666666666,200.43353824789585,106.83999999999999,109.23333333333333,99.07124365639838,21.16,22.3,17.92329816480099,6.4,6.75,5.601726249950607,13.6,15.666666666666666,15.437467188267373,70.6,76.16666666666667,66.86820550164555,10.819999999999999,11.233333333333334,10.657227048722248,7.2,7.833333333333333,7.202662195803486,0.4346,0.41558333333333336,0.4173830434610804,24.4,24.666666666666668,23.33784935674892,0.3744,0.37925000000000003,0.3320017725391907,9.4,9.75,7.962974253021503,49.0,49.050000000000004,46.914261601946414,31.2,32.0,29.817168792020198,0.567,0.5810833333333333,0.5368183655382255,13.940000000000001,14.475,14.718763512788817,10.0,10.916666666666666,10.642517231451848,31.6,34.833333333333336,32.53536893088791,0.507,0.5278333333333333,0.4983310753216256,16.2,18.5,16.34947811704404,0.8812,0.9246666666666666,0.8789387288523092,8.8,5.833333333333333,8.74831637002038
2020-01-02,"Robins Center, Richmond, Virginia",St. Joseph's,Richmond,Home,51.6,16,10.0,3,69.3,77.8,28,0.538,65,0.477,31,0.215,14,1.0,14,3,200,112.0,17.6,6,9,84,12.0,9,0.385,25,0.32,8,48.6,34,0.586,10.1,8,40,0.575,23,0.786,11,59.4,59.49230769230769,55.12731855464672,15.4,16.76923076923077,13.844530248889342,7.08,7.907692307692307,6.316243948058205,2.4,2.6923076923076925,2.1184138973093916,99.88,97.33846153846154,103.51273575053489,74.42,72.57692307692308,71.55175588635427,25.0,25.076923076923077,23.81029502804639,0.5074,0.5466923076923077,0.4808065373202294,58.4,60.23076923076923,60.24881219175789,0.4418,0.4673076923076923,0.4190132056051379,25.8,28.153846153846153,25.2083015800437,0.2374,0.21869230769230769,0.2687900613614682,13.8,13.307692307692308,16.23615039110645,0.8236000000000001,0.8108461538461539,0.8010478303330004,11.0,10.538461538461538,12.853551005661966,1.6,0.8461538461538461,1.8498704465782656,200.0,203.84615384615384,200.28902549859725,100.62,108.52307692307691,99.38082910426559,18.94,22.46153846153846,20.082198776533993,6.2,7.0,7.067817499967072,14.4,15.846153846153847,16.29164479217825,70.2,76.3076923076923,70.57880366776371,11.16,11.253846153846155,10.938151365814832,7.8,7.923076923076923,7.801774797202325,0.4024,0.4103846153846154,0.39425536230738695,23.4,24.615384615384617,23.558566237832615,0.321,0.36930769230769234,0.3046678483594605,7.6,9.461538461538462,7.308649502014336,47.04,48.49230769230769,45.20950773463095,31.2,32.07692307692308,30.878112528013467,0.5431999999999999,0.5741538461538462,0.5215455770254837,14.5,14.23076923076923,13.579175675192545,10.8,10.846153846153847,10.428344820967899,35.0,35.61538461538461,36.69024595392528,0.5218,0.5231538461538462,0.48788738354775046,18.2,18.692307692307693,17.899652078029362,0.86,0.9126923076923077,0.8422924859015395,9.4,6.153846153846154,9.165544246680254
2020-01-05,"Ryan Center, Kingston, Rhode Island",Richmond,Rhode Island,Away,46.4,13,4.1,2,87.1,71.7,33,0.485,66,0.424,28,0.121,8,0.625,5,3,200,98.6,19.5,8,14,69,10.0,7,0.288,19,0.421,8,47.1,41,0.494,10.3,8,47,0.426,20,0.8,12,55.06,58.92857142857143,53.95154570309782,14.2,16.714285714285715,14.563020165926229,7.459999999999999,8.057142857142857,7.5441626320388036,2.4,2.7142857142857144,2.4122759315395945,96.72,95.33571428571429,92.1084905003566,75.22,72.95,73.63450392423618,24.4,25.285714285714285,25.20686335203093,0.49260000000000004,0.5460714285714285,0.49987102488015295,59.8,60.57142857142857,61.83254146117193,0.4338,0.46799999999999997,0.43834213707009195,26.0,28.357142857142858,27.138867720029133,0.2666,0.21842857142857142,0.25086004090764547,15.8,13.357142857142858,15.4907669274043,0.8236000000000001,0.8243571428571429,0.8673652202220004,13.0,10.785714285714286,13.235700670441311,2.0,1.0,2.2332469643855104,200.0,203.57142857142858,200.19268366573152,100.64000000000001,108.77142857142857,103.58721940284373,18.759999999999998,22.114285714285717,19.254799184355996,6.4,6.928571428571429,6.711878333311382,14.4,15.357142857142858,13.861096528118834,72.0,76.85714285714286,75.05253577850914,10.88,11.307142857142859,11.292100910543223,7.8,8.0,8.201183198134885,0.3932,0.40857142857142853,0.39117024153825797,23.4,24.642857142857142,24.03904415855508,0.29700000000000004,0.36578571428571427,0.3097785655729737,7.0,9.357142857142858,7.539099668009557,46.32,48.5,46.3396718230873,30.8,32.214285714285715,31.91874168534231,0.5352,0.5750000000000001,0.5430303846836557,13.179999999999998,13.935714285714285,12.419450450128362,10.0,10.642857142857142,9.618896547311934,36.4,35.92857142857143,37.793497302616856,0.5216000000000001,0.5268571428571429,0.5169249223651671,19.0,19.0,19.599768052019577,0.8394,0.9036428571428571,0.8235283239343597,10.0,6.5,9.777029497786836
