date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-05,"Dee Glen Smith Spectrum, Logan, Utah",SAINT-MARYS-CA,UTAH-STATE,Away,53.8,14,3.9,2,96.9,59.0,24,0.5,61,0.426,26,0.213,13,0.538,7,1,200.0,104.6,39.4,12,16,68,3.1,2,0.361,22.0,0.409,9.0,50.0,36,0.506,14.2,11,39.0,0.436,17.0,0.857,6,60.46,60.46,60.30740740740742,18.4,18.4,18.641975308641975,12.24,12.24,11.054320987654323,5.6,5.6,5.148148148148149,93.32,93.32,94.66172839506174,67.66,67.66,66.36790123456791,26.8,26.8,26.679012345679013,0.5626,0.5626,0.5706666666666668,62.0,62.0,61.74074074074075,0.48579999999999995,0.48579999999999995,0.49617283950617286,30.0,30.0,30.518518518518523,0.3218,0.3218,0.32266666666666666,19.8,19.8,19.77777777777778,0.7148,0.7148,0.6998641975308644,14.4,14.4,14.185185185185189,0.6,0.6,0.7037037037037037,200.0,200.0,200.0,116.84,116.84,116.99629629629631,42.239999999999995,42.239999999999995,41.60123456790124,11.6,11.6,11.06172839506173,20.0,20.0,20.259259259259263,84.0,84.0,84.46913580246915,8.64,8.64,8.30246913580247,6.2,6.2,6.012345679012347,0.3718,0.3718,0.3674691358024692,23.2,23.2,22.814814814814817,0.4084,0.4084,0.4014691358024692,9.6,9.6,9.246913580246915,55.42,55.42,54.60740740740742,38.4,38.4,37.74074074074075,0.5882000000000001,0.5882000000000001,0.5937037037037038,15.940000000000001,15.940000000000001,16.12962962962963,13.4,13.4,13.518518518518519,38.8,38.8,38.92592592592593,0.5264,0.5264,0.5474814814814816,20.4,20.4,21.271604938271608,0.85,0.85,0.8394444444444445,2.6,2.6,3.0246913580246915
2009-12-12,"McArthur Court, Eugene, Oregon",SAINT-MARYS-CA,OREGON,Away,38.5,10,1.8,1,116.9,51.7,18,0.555,55,0.473,26,0.436,24,0.833,20,1,200.0,124.6,42.9,9,14,81,1.5,1,0.473,26.0,0.346,9.0,47.4,27,0.61,13.2,10,29.0,0.586,17.0,0.875,7,57.1,59.35,58.13827160493828,16.4,17.666666666666668,17.09465020576132,11.2,10.85,8.669547325102883,5.2,5.0,4.098765432098767,95.03999999999999,93.91666666666667,95.40781893004117,65.46000000000001,66.21666666666667,63.91193415637861,25.4,26.333333333333332,25.786008230452676,0.5396000000000001,0.5521666666666667,0.5471111111111112,61.2,61.833333333333336,61.49382716049384,0.4664,0.47583333333333333,0.4727818930041152,28.4,29.333333333333332,29.01234567901235,0.29059999999999997,0.30366666666666664,0.28611111111111115,17.6,18.666666666666668,17.51851851851852,0.6557999999999999,0.6853333333333333,0.6459094650205763,11.8,13.166666666666666,11.790123456790127,0.8,0.6666666666666666,0.8024691358024691,200.0,200.0,200.0,111.78000000000002,114.80000000000001,112.8641975308642,41.459999999999994,41.766666666666666,40.86748971193416,12.0,11.666666666666666,11.374485596707821,18.4,19.333333333333332,18.83950617283951,77.6,81.33333333333333,78.97942386831278,7.4399999999999995,7.716666666666666,6.568312757201647,5.2,5.5,4.674897119341566,0.364,0.37000000000000005,0.36531275720164613,22.4,23.0,22.543209876543212,0.39780000000000004,0.40850000000000003,0.4039794238683128,9.0,9.5,9.164609053497944,53.7,54.51666666666667,53.07160493827162,37.4,38.0,37.1604938271605,0.5586,0.5745,0.5644691358024693,15.839999999999998,15.65,15.48641975308642,13.0,13.0,12.679012345679013,38.8,38.833333333333336,38.95061728395062,0.5008,0.5113333333333333,0.5103209876543211,19.4,19.833333333333332,19.847736625514408,0.8214,0.8511666666666667,0.8452962962962964,3.6,3.1666666666666665,4.016460905349795
2009-12-15,"McKeon Pavilion, Moraga, California",PORTLAND-STATE,SAINT-MARYS-CA,Home,57.1,24,8.0,4,109.6,77.4,24,0.676,68,0.618,42,0.162,11,0.818,9,1,200.0,138.4,50.0,13,14,101,8.2,6,0.279,19.0,0.421,8.0,64.9,37,0.69,15.1,13,49.0,0.694,34.0,0.889,8,52.660000000000004,56.371428571428574,51.592181069958855,15.0,16.571428571428573,14.729766803840882,7.0200000000000005,9.557142857142859,6.379698216735256,3.4,4.428571428571429,3.0658436213991784,101.1,97.2,102.57187928669413,62.660000000000004,64.14285714285714,59.84128943758574,24.2,25.142857142857142,23.19067215363512,0.5444000000000001,0.5525714285714286,0.5497407407407409,59.2,60.857142857142854,59.329218106995896,0.4748,0.4754285714285714,0.4728545953360769,28.0,28.857142857142858,28.0082304526749,0.3316,0.32257142857142856,0.3360740740740741,19.4,19.428571428571427,19.679012345679013,0.6758,0.7064285714285715,0.7082729766803842,13.6,14.142857142857142,14.526748971193419,1.0,0.7142857142857143,0.8683127572016462,200.0,200.0,200.0,112.82000000000001,116.2,116.77613168724281,41.7,41.92857142857143,41.544993141289446,11.0,11.285714285714286,10.582990397805215,17.6,18.571428571428573,17.226337448559676,77.8,81.28571428571429,79.65294924554186,5.0600000000000005,6.828571428571428,4.878875171467765,3.6,4.857142857142857,3.4499314128943777,0.3694,0.38471428571428573,0.40120850480109743,21.8,23.428571428571427,23.695473251028808,0.37739999999999996,0.3995714285714286,0.38465294924554194,8.2,9.428571428571429,9.10973936899863,52.48,53.5,51.18106995884775,35.2,36.42857142857143,33.77366255144034,0.5696,0.5795714285714286,0.5796460905349795,16.02,15.299999999999999,14.724279835390949,13.0,12.571428571428571,11.786008230452676,37.4,37.42857142857143,35.63374485596708,0.5346,0.522,0.5355473251028807,19.8,19.428571428571427,18.898491083676273,0.7964,0.8545714285714286,0.8551975308641977,4.6,3.7142857142857144,5.0109739368998625
2009-12-18,"McKeon Pavilion, Moraga, California",PACIFIC,SAINT-MARYS-CA,Home,53.6,15,13.6,6,104.8,58.6,17,0.593,54,0.519,28,0.37,20,0.8,16,1,200.0,129.0,38.5,10,14,80,9.7,6,0.278,15.0,0.533,8.0,49.1,27,0.63,12.5,8,39.0,0.513,20.0,0.9,9,54.480000000000004,56.4625,53.42812071330591,17.4,17.5,17.81984453589392,6.92,9.3625,6.919798811156838,3.4,4.375,3.3772290809327856,103.82000000000001,98.75,104.91458619112943,62.260000000000005,65.8,65.6941929583905,23.2,25.0,23.460448102423413,0.5862,0.5680000000000001,0.5918271604938272,60.6,61.75,62.219478737997264,0.5164,0.49324999999999997,0.521236396890718,31.4,30.5,32.6721536351166,0.2952,0.3025,0.2780493827160494,17.4,18.375,16.786008230452676,0.7156,0.720375,0.7448486511202561,12.8,13.5,12.684499314128947,1.0,0.75,0.9122085048010975,200.0,200.0,200.0,121.84,118.975,123.98408779149523,43.8,42.9375,44.36332876085963,11.0,11.5,11.388660265203477,16.4,18.0,16.150891632373117,84.0,83.75,86.76863283036124,5.359999999999999,7.0,5.98591678097851,3.8,5.0,4.299954275262919,0.363,0.3715,0.36047233653406496,21.8,22.875,22.130315500685874,0.388,0.40225,0.3967686328303613,8.4,9.25,8.739826245999087,53.8,54.925,55.75404663923184,34.2,36.5,34.8491083676269,0.609,0.593375,0.6164307270233197,15.14,15.275,14.849519890260634,12.2,12.625,12.190672153635118,38.8,38.875,40.08916323731139,0.5875999999999999,0.5435,0.5883648834019205,23.0,21.25,23.932327389117518,0.8408000000000001,0.858875,0.8664650205761318,5.8,4.25,6.007315957933242
2009-12-22,"Stan Sheriff Center, Honolulu, Hawaii",SAINT-MARYS-CA,NORTHEASTERN,Away,76.9,20,0.0,0,104.7,62.5,17,0.534,58,0.448,26,0.31,18,0.889,16,1,200.0,121.9,48.4,13,14,78,4.7,3,0.362,21.0,0.476,10.0,54.5,30,0.586,17.5,14,37.0,0.432,16.0,0.909,10,51.260000000000005,56.144444444444446,53.48541380887061,15.8,17.22222222222222,16.879896357262616,7.460000000000001,9.833333333333334,9.146532540771226,3.6,4.555555555555555,4.25148605395519,105.35999999999999,99.42222222222222,104.87639079408629,61.779999999999994,65.0,63.32946197226034,21.6,24.11111111111111,21.30696540161561,0.5744,0.5707777777777778,0.5922181069958848,60.2,60.888888888888886,59.47965249199818,0.5024,0.4961111111111111,0.5204909312604786,30.4,30.22222222222222,31.114769090077736,0.28700000000000003,0.31,0.3086995884773663,16.8,18.555555555555557,17.857338820301784,0.7103999999999999,0.7292222222222222,0.7632324340801708,12.2,13.777777777777779,13.789666209419298,1.0,0.7777777777777778,0.9414723365340651,200.0,200.0,200.0,120.97999999999999,120.08888888888889,125.65605852766349,41.019999999999996,42.44444444444444,42.40888584057309,10.8,11.333333333333334,10.925773510135652,15.8,17.555555555555557,15.433927754915413,81.6,83.33333333333333,84.5124218869075,6.4399999999999995,7.300000000000001,7.22394452065234,4.4,5.111111111111111,4.8666361835086125,0.3544,0.3611111111111111,0.33298155768937665,21.2,22.0,19.753543667123918,0.4168,0.41677777777777775,0.44217908855357424,8.6,9.11111111111111,8.493217497332726,52.0,54.27777777777778,53.53603109282123,32.4,35.44444444444444,32.23273891175127,0.5976,0.5974444444444444,0.6209538180155465,14.14,14.966666666666665,14.06634659350709,11.0,12.11111111111111,10.793781435756745,39.0,38.888888888888886,39.72610882487426,0.5534,0.5401111111111111,0.5632432556012803,21.8,21.11111111111111,22.621551592745014,0.8708,0.8634444444444445,0.8776433470507545,7.0,4.777777777777778,7.0048773052888285
2009-12-23,"Stan Sheriff Center, Honolulu, Hawaii",SOUTHERN-CALIFORNIA,SAINT-MARYS-CA,Away,56.3,9,0.0,0,93.8,76.0,21,0.358,53,0.302,16,0.34,18,0.611,11,2,200.0,76.6,32.4,10,19,49,4.7,3,0.453,24.0,0.25,6.0,50.0,31,0.398,19.8,14,29.0,0.345,10.0,0.833,10,55.98,58.220000000000006,61.29027587258041,16.6,17.5,17.919930904841745,5.460000000000001,8.85,6.097688360514151,2.6,4.1,2.8343240359701274,106.58,99.95,104.81759386272421,61.839999999999996,64.75,63.05297464817356,20.0,23.4,19.87131026774374,0.5716,0.5671,0.57281207133059,59.2,60.6,58.98643499466546,0.4968,0.4913,0.4963272875069858,29.6,29.8,29.409846060051827,0.29819999999999997,0.31,0.30913305898491084,17.2,18.5,17.904892546867856,0.7756000000000001,0.7452,0.8051549560534473,13.6,14.0,14.526444139612867,1.0,0.8,0.9609815576893768,200.0,200.0,200.0,123.7,120.27000000000001,124.40403901844235,43.839999999999996,43.04,44.405923893715396,11.4,11.5,11.617182340090435,14.4,17.2,14.955951836610275,81.6,82.8,82.34161459127168,5.4399999999999995,7.039999999999999,6.382629680434894,3.6,4.9,4.244424122339075,0.3506,0.3612,0.3426543717929178,20.6,21.9,20.169029111415945,0.437,0.4227,0.4534527257023828,8.8,9.2,8.995478331555152,53.18000000000001,54.3,53.85735406188083,31.4,34.9,31.488492607834182,0.6043999999999999,0.5963,0.6093025453436977,14.5,15.219999999999999,15.210897729004728,11.2,12.3,11.862520957171164,38.6,38.7,38.817405883249506,0.5321999999999999,0.5293,0.5194955037341868,20.8,20.6,20.41436772849668,0.8859999999999999,0.868,0.8880955647005031,8.0,5.3,8.003251536859219
2009-12-25,"Stan Sheriff Center, Honolulu, Hawaii",SAINT-MARYS-CA,HAWAII,Away,36.0,9,17.1,6,111.9,52.2,14,0.509,54,0.463,25,0.574,31,0.935,29,2,200.0,125.4,55.6,8,20,84,11.9,8,0.296,16.0,0.313,5.0,53.7,22,0.611,10.6,8,38.0,0.526,20.0,0.846,11,56.48,58.04545454545455,59.62685058172028,15.6,16.727272727272727,14.946620603227831,4.680000000000001,8.045454545454545,4.065125573676101,2.2,3.727272727272727,1.8895493573134186,105.96,99.39090909090909,101.14506257514948,65.24000000000001,65.77272727272727,67.36864976544905,19.4,23.181818181818183,20.24754017849583,0.5432,0.5480909090909091,0.5012080475537267,57.6,59.90909090909091,56.99095666311031,0.4720000000000001,0.47409090909090906,0.4315515250046572,27.6,28.545454545454547,24.939897373367884,0.3236,0.31272727272727274,0.31942203932327395,18.2,18.454545454545453,17.93659503124524,0.7901999999999999,0.7330000000000001,0.7404366373689649,14.4,13.727272727272727,13.350962759741911,1.2,0.9090909090909091,1.3073210384595846,200.0,200.0,200.0,118.1,116.3,108.46935934562823,42.44,42.07272727272727,40.403949262476935,11.0,11.363636363636363,11.078121560060291,15.0,17.363636363636363,16.30396789107352,77.8,79.72727272727273,71.22774306084779,5.76,6.827272727272727,5.821753120289929,3.8,4.7272727272727275,3.829616081559384,0.36900000000000005,0.36954545454545457,0.3794362478619452,21.0,22.09090909090909,21.44601940761063,0.40519999999999995,0.40700000000000003,0.38563515046825525,8.2,8.909090909090908,7.996985554370101,53.18000000000001,53.90909090909091,52.57156937458722,30.4,34.54545454545455,31.32566173855612,0.5828,0.5782727272727273,0.5388683635624651,15.62,15.636363636363637,16.74059848600315,11.8,12.454545454545455,12.575013971447444,36.6,37.81818181818182,35.544937255499676,0.514,0.5125454545454545,0.46133033582279126,19.4,19.636363636363637,16.942911818997786,0.8812,0.8648181818181818,0.8697303764670021,8.8,5.7272727272727275,8.668834357906146
2009-12-30,"McKeon Pavilion, Moraga, California",HOWARD,SAINT-MARYS-CA,Home,72.2,26,37.0,17,68.7,73.7,42,0.643,63,0.571,36,0.254,16,0.813,13,2,200.0,140.3,55.6,10,16,94,1.5,1,0.27,17.0,0.529,9.0,69.3,52,0.666,9.1,7,46.0,0.587,27.0,0.867,13,55.98,56.208333333333336,51.75123372114685,15.4,16.083333333333332,12.964413735485222,7.74,8.799999999999999,8.410083715784069,3.2,3.9166666666666665,3.259699571542279,104.96,100.43333333333334,104.73004171676632,65.34,64.64166666666667,62.31243317696604,18.6,22.416666666666668,18.165026785663887,0.534,0.5448333333333334,0.5038053650358179,57.4,59.416666666666664,55.99397110874021,0.47000000000000003,0.4731666666666667,0.4420343500031048,27.4,28.25,24.959931582245257,0.35119999999999996,0.3345,0.4042813595488493,19.6,19.5,22.29106335416349,0.8106,0.7498333333333332,0.80529109157931,16.2,15.0,18.56730850649461,1.4,1.0,1.5382140256397232,200.0,200.0,200.0,118.25999999999999,117.05833333333334,114.11290623041883,44.98,43.199999999999996,45.46929950831796,10.8,11.083333333333334,10.052081040040195,16.2,17.583333333333332,17.535978594049013,78.4,80.08333333333333,75.4851620405652,7.839999999999999,7.25,7.84783541352662,5.2,5.0,5.2197440543729225,0.3336,0.36341666666666667,0.3516241652412968,19.0,21.583333333333332,19.630679605073755,0.3986,0.39916666666666667,0.36142343364550356,7.4,8.583333333333334,6.997990369580068,54.44,53.89166666666667,52.94771291639148,29.4,33.5,28.217107825704083,0.583,0.5810000000000001,0.5629122423749768,15.1,15.216666666666667,14.693732324002102,11.4,12.083333333333334,11.050009314298297,38.4,37.833333333333336,36.36329150366645,0.502,0.5136666666666666,0.48288689054852757,20.0,19.666666666666668,17.96194121266519,0.8754,0.86325,0.8618202509780015,9.6,6.166666666666667,9.445889571937432
2010-01-14,"McKeon Pavilion, Moraga, California",GONZAGA,SAINT-MARYS-CA,Away,57.6,19,7.5,4,123.6,46.9,16,0.536,69,0.478,33,0.145,10,0.8,8,3,200.0,113.9,26.3,9,19,82,11.1,8,0.29,20.0,0.4,8.0,35.7,25,0.556,10.9,9,49.0,0.51,25.0,0.833,15,59.0,57.43846153846154,58.567489147431246,15.8,16.846153846153847,17.30960915699015,13.540000000000001,10.96923076923077,17.94005581052271,5.8,4.923076923076923,7.839799714361519,96.78,97.9923076923077,92.72002781117754,64.6,65.33846153846154,66.10828878464403,22.2,23.923076923076923,26.11001785710926,0.5274,0.5523846153846154,0.5502035766905453,56.4,59.69230769230769,58.32931407249348,0.4606,0.48069230769230764,0.4850229000020699,26.2,28.846153846153847,28.639954388163506,0.3696,0.3283076923076923,0.35418757303256626,20.6,19.23076923076923,20.194042236108995,0.8096,0.7546923076923077,0.80786072771954,17.0,14.846153846153847,16.71153900432974,1.6,1.0769230769230769,1.6921426837598155,200.0,200.0,200.0,118.64000000000001,118.84615384615384,122.8419374869459,46.1,44.15384615384615,48.846199672211974,10.2,11.0,10.03472069336013,16.6,17.46153846153846,17.02398572936601,77.0,81.15384615384616,81.65677469371013,6.5,6.8076923076923075,5.731890275684414,4.2,4.6923076923076925,3.813162702915282,0.3318,0.35623076923076924,0.3244161101608646,18.6,21.23076923076923,18.753786403382506,0.4202,0.40915384615384615,0.4172822890970024,7.6,8.615384615384615,7.665326913053379,55.32000000000001,55.07692307692308,58.39847527759433,32.4,34.92307692307692,36.14473855046939,0.5782,0.5875384615384616,0.5972748282499846,13.9,14.746153846153845,12.82915488266807,10.2,11.692307692307692,9.700006209532198,37.8,38.46153846153846,39.57552766911097,0.4806,0.5193076923076922,0.5175912603656851,18.6,20.23076923076923,20.97462747511013,0.8710000000000001,0.8635384615384615,0.8635468339853345,10.6,6.6923076923076925,10.630593047958289
2010-01-16,"McKeon Pavilion, Moraga, California",PORTLAND,SAINT-MARYS-CA,Home,70.8,17,4.9,2,114.3,67.6,23,0.582,49,0.49,24,0.571,28,0.714,20,3,200.0,122.2,20.0,5,18,77,7.9,5,0.347,17.0,0.529,9.0,47.5,28,0.618,8.9,5,32.0,0.469,15.0,0.842,16,59.8,57.449999999999996,58.24499276495416,16.6,17.0,17.87307277132677,12.320000000000002,10.721428571428572,14.460037207015143,5.4,4.857142857142857,6.559866476241012,100.54,99.82142857142857,103.01335187411837,62.260000000000005,64.02142857142857,59.70552585642936,22.0,23.357142857142858,22.740011904739507,0.516,0.5512142857142858,0.5454690511270303,59.4,60.357142857142854,61.886209381662326,0.4523999999999999,0.48050000000000004,0.48268193333471326,27.2,29.142857142857142,30.09330292544234,0.32459999999999994,0.3152142857142857,0.28445838202171086,18.6,18.571428571428573,16.796028157406,0.8096,0.7579285714285715,0.8052404851463602,15.4,14.357142857142858,13.80769266955316,2.0,1.2142857142857142,2.1280951225065436,200.0,200.0,200.0,115.62,118.49285714285715,119.86129165796395,43.66,42.878571428571426,41.33079978147465,10.0,10.857142857142858,9.689813795573421,17.6,17.571428571428573,17.682657152910675,77.4,81.21428571428571,81.7711831291401,6.779999999999999,7.114285714285714,7.521260183789609,4.6,4.928571428571429,5.208775135276855,0.3342,0.35150000000000003,0.3129440734405764,19.6,21.142857142857142,19.16919093558834,0.3936,0.40850000000000003,0.4115215260646683,7.6,8.571428571428571,7.776884608702254,52.64,53.69285714285714,50.83231685172956,32.0,34.214285714285715,32.42982570031293,0.5634,0.5852857142857143,0.5835165521666564,13.580000000000002,14.471428571428572,12.186103255112046,10.4,11.5,9.466670806354799,39.8,39.214285714285715,42.71701844607398,0.4800000000000001,0.5186428571428572,0.5150608402437902,19.6,20.571428571428573,22.316418316740087,0.8576,0.8613571428571428,0.853364555990223,11.8,7.285714285714286,12.087062031972193
