date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-03,"Prudential Center, Newark, New Jersey",HARTFORD,SETON-HALL,Home,60.7,17,9.3,4,76.7,65.8,26,0.542,60,0.467,28,0.55,33,0.727,24,0,200.0,121.9,48.5,15,17,89,13.7,10,0.417,25.0,0.36,9.0,57.7,41,0.588,15.8,14,35.0,0.543,19.0,1.0,6,54.339999999999996,54.339999999999996,51.10617283950618,16.0,16.0,15.246913580246918,14.12,14.12,15.970370370370372,6.8,6.8,7.962962962962964,87.92,87.92,82.88024691358027,61.5,61.5,60.80740740740742,25.6,25.6,26.333333333333336,0.5189999999999999,0.5189999999999999,0.5189135802469136,64.6,64.6,65.82716049382717,0.46319999999999995,0.46319999999999995,0.46283950617283964,30.0,30.0,30.592592592592595,0.3866,0.3866,0.36555555555555563,25.2,25.2,24.308641975308646,0.6332,0.6332,0.6379753086419753,16.2,16.2,15.765432098765434,0.0,0.0,0.0,200.0,200.0,200.0,113.22,113.22,113.13827160493828,41.64,41.64,41.43580246913581,12.6,12.6,12.530864197530867,16.6,16.6,16.32098765432099,83.4,83.4,84.35802469135804,12.6,12.6,14.051851851851854,9.4,9.4,10.592592592592592,0.3442,0.3442,0.3437777777777778,22.2,22.2,22.654320987654323,0.3216,0.3216,0.3226913580246914,7.2,7.2,7.407407407407408,52.279999999999994,52.279999999999994,51.92345679012346,38.2,38.2,38.8641975308642,0.5412,0.5412,0.5409753086419754,13.38,13.38,13.14197530864198,11.2,11.2,11.086419753086423,42.4,42.4,43.17283950617285,0.5426,0.5426,0.5390617283950618,22.8,22.8,23.185185185185187,1.0,1.0,1.0,3.0,3.0,3.3950617283950617
2009-12-07,"Prudential Center, Newark, New Jersey",MASSACHUSETTS,SETON-HALL,Home,48.4,15,21.7,10,85.0,58.8,32,0.478,69,0.449,31,0.565,39,0.513,20,0,200.0,107.5,46.5,18,17,86,13.8,11,0.217,15.0,0.267,4.0,53.2,50,0.491,12.2,12,54.0,0.5,27.0,1.0,7,52.84000000000001,55.4,54.30411522633746,16.4,16.166666666666668,15.831275720164612,12.3,13.316666666666668,13.746913580246915,5.8,6.333333333333333,6.641975308641976,87.8,86.05,80.82016460905352,62.96,62.21666666666667,62.47160493827161,25.8,25.666666666666668,26.22222222222223,0.545,0.5228333333333334,0.5266090534979424,65.2,63.833333333333336,63.884773662551446,0.47939999999999994,0.4638333333333333,0.4642263374485598,31.2,29.666666666666668,29.7283950617284,0.458,0.41383333333333333,0.4270370370370371,29.6,26.5,27.205761316872433,0.6696,0.6488333333333333,0.6676502057613168,19.8,17.5,18.510288065843625,0.0,0.0,0.0,200.0,200.0,200.0,121.54,114.66666666666667,116.05884773662552,45.279999999999994,42.78333333333333,43.790534979423875,13.8,13.0,13.35390946502058,17.0,16.666666666666668,16.547325102880663,90.6,84.33333333333333,85.9053497942387,13.52,12.783333333333333,13.934567901234571,10.2,9.5,10.395061728395062,0.36439999999999995,0.35633333333333334,0.36818518518518517,23.6,22.666666666666668,23.43621399176955,0.36019999999999996,0.328,0.33512757201646093,8.4,7.5,7.938271604938273,54.64,53.18333333333334,53.84897119341564,39.6,38.666666666666664,39.57613168724281,0.5736,0.549,0.556650205761317,12.64,13.783333333333333,14.027983539094656,11.0,11.666666666666666,12.057613168724282,41.6,41.166666666666664,40.448559670781904,0.5538000000000001,0.5426666666666667,0.5403744855967079,22.8,22.166666666666668,21.790123456790127,1.0,1.0,1.0,4.0,3.5,4.263374485596708
2009-12-12,"Prudential Center, Newark, New Jersey",VIRGINIA-MILITARY-INSTITUTE,SETON-HALL,Home,68.8,33,17.3,9,105.9,69.8,37,0.699,83,0.578,48,0.313,26,0.692,18,0,200.0,132.7,40.5,15,13,134,10.9,11,0.422,35.0,0.571,20.0,57.8,52,0.703,17.5,20,48.0,0.583,28.0,1.0,8,48.32000000000001,54.4,52.33607681755831,15.0,16.0,15.554183813443077,15.360000000000003,14.514285714285714,16.397942386831275,7.2,6.857142857142857,7.761316872427985,84.52000000000001,85.89999999999999,82.21344307270235,61.94,61.728571428571435,61.247736625514406,27.2,26.571428571428573,28.148148148148152,0.5202,0.5164285714285713,0.510406035665295,67.2,64.57142857142857,65.58984910836764,0.46420000000000006,0.46171428571428574,0.4591508916323732,31.2,29.857142857142858,30.1522633744856,0.4862,0.43542857142857144,0.4730246913580247,32.4,28.285714285714285,31.13717421124829,0.6442,0.6294285714285713,0.6161001371742112,20.6,17.857142857142858,19.00685871056242,0.0,0.0,0.0,200.0,200.0,200.0,118.54,113.64285714285714,113.20589849108369,45.62,43.31428571428571,44.693689986282585,15.2,13.714285714285714,14.902606310013722,16.6,16.714285714285715,16.698216735253776,90.4,84.57142857142857,85.93689986282581,14.580000000000002,12.928571428571429,13.88971193415638,11.2,9.714285714285714,10.596707818930042,0.323,0.3364285714285714,0.31779012345679014,21.6,21.571428571428573,20.6241426611797,0.3416,0.3192857142857143,0.3124183813443073,7.4,7.0,6.625514403292183,54.2,53.18571428571429,53.6326474622771,42.4,40.285714285714285,43.050754458161876,0.549,0.5407142857142857,0.534766803840878,11.739999999999998,13.557142857142859,13.418655692729772,10.6,11.714285714285714,12.038408779149522,45.6,43.0,44.96570644718794,0.5244000000000001,0.5365714285714286,0.5269163237311386,23.8,22.857142857142858,23.52674897119342,1.0,1.0,1.0,5.0,4.0,5.175582990397805
2009-12-19,"Prudential Center, Newark, New Jersey",TEMPLE,SETON-HALL,Away,45.5,10,20.5,8,101.4,54.8,21,0.381,63,0.349,22,0.397,25,0.68,17,1,200.0,92.9,30.8,8,19,65,14.3,10,0.317,20.0,0.2,4.0,41.4,29,0.434,9.8,8,43.0,0.419,18.0,0.889,8,53.8,56.2,57.82405121170554,19.2,18.125,21.369455875628717,17.060000000000002,14.8625,16.698628257887517,8.4,7.125,8.174211248285324,83.75999999999999,88.4,90.10896204846824,62.779999999999994,62.7375,64.09849108367627,30.2,27.875,31.09876543209877,0.5599999999999999,0.53925,0.5732706904435301,70.8,66.875,71.39323273891176,0.49060000000000004,0.47625,0.4987672610882488,35.0,32.125,36.10150891632374,0.4288,0.420125,0.41968312757201653,29.8,28.0,29.424782807498865,0.6596,0.63725,0.6414000914494742,19.4,17.875,18.671239140374947,0.0,0.0,0.0,200.0,200.0,200.0,120.35999999999999,116.025,119.70393232738914,43.98,42.9625,43.295793324188395,14.6,13.875,14.935070873342482,16.0,16.25,15.465477823502518,99.4,90.75,101.95793324188388,14.820000000000002,12.675,12.893141289437589,12.0,9.875,10.731138545953362,0.355,0.347125,0.35252674897119346,25.2,23.25,25.416095107453135,0.3734,0.35075,0.39861225422953817,10.0,8.625,11.083676268861456,54.5,53.7625,55.0217649748514,44.8,41.75,46.033836305441255,0.583,0.5609999999999999,0.5908445358939187,13.459999999999999,14.05,14.779103795153183,13.0,12.75,14.692272519433015,45.6,43.625,45.97713763145863,0.5494,0.542375,0.5456108824874257,25.0,23.5,25.01783264746228,1.0,1.0,1.0,6.0,4.5,6.117055326931871
2009-12-22,"Prudential Center, Newark, New Jersey",NAVY,SETON-HALL,Home,60.6,20,8.3,3,80.0,67.5,28,0.564,70,0.471,33,0.329,23,0.652,15,1,200.0,134.3,57.1,19,19,94,8.6,6,0.371,26.0,0.5,13.0,62.7,47,0.581,11.1,10,44.0,0.455,20.0,0.9,9,52.32000000000001,55.01111111111111,53.71603414113703,17.6,17.22222222222222,17.579637250419147,17.68,15.488888888888889,17.96575217192501,8.4,7.222222222222222,8.116140832190217,87.74,89.84444444444445,93.8726413656455,61.839999999999996,61.85555555555556,60.99899405578418,29.0,27.11111111111111,27.73251028806585,0.5347999999999999,0.5216666666666667,0.5091804602956868,68.6,66.44444444444444,68.59548849260784,0.4686,0.4621111111111111,0.44884484072549924,32.6,31.0,31.401005944215825,0.43260000000000004,0.41755555555555557,0.41212208504801107,29.2,27.666666666666668,27.949855204999245,0.6527999999999999,0.642,0.6542667276329829,18.8,17.77777777777778,18.114159426916633,0.2,0.1111111111111111,0.3333333333333333,200.0,200.0,200.0,115.47999999999999,113.45555555555556,110.76928821825943,42.36,41.611111111111114,39.13052888279226,13.8,13.222222222222221,12.623380582228322,16.4,16.555555555555557,16.643651882335014,93.4,87.88888888888889,89.63862216125594,14.219999999999999,12.855555555555556,13.362094192958395,11.2,9.88888888888889,10.487425697302243,0.34819999999999995,0.34377777777777774,0.34068449931412903,24.0,22.88888888888889,23.610730071635423,0.35960000000000003,0.334,0.3324081694863588,9.4,8.11111111111111,8.72245084590764,52.779999999999994,52.388888888888886,50.48117664990094,42.8,40.333333333333336,40.355890870294175,0.5609999999999999,0.5468888888888889,0.5385630239292791,13.719999999999999,13.577777777777778,13.119402530102125,13.2,12.222222222222221,12.461515012955344,44.6,43.55555555555556,44.984758420972426,0.5206000000000001,0.5286666666666666,0.5034072549916172,23.2,22.88888888888889,22.67855509830819,0.9778,0.9876666666666666,0.9630000000000001,6.8,4.888888888888889,6.744703551287914
2009-12-26,"Prudential Center, Newark, New Jersey",WEST-VIRGINIA,SETON-HALL,Away,35.5,11,7.7,3,109.8,68.8,24,0.415,82,0.378,31,0.402,33,0.485,16,2,225.0,102.4,32.8,17,25,84,7.3,6,0.366,30.0,0.2,6.0,45.6,41,0.43,5.9,6,52.0,0.481,25.0,0.818,9,56.8,55.57000000000001,56.010689427424694,19.0,17.5,18.386424833612764,15.420000000000002,14.77,14.743834781283343,6.8,6.8,6.4107605547934785,89.8,88.86,89.248427577097,63.339999999999996,62.42,63.16599603718946,28.8,27.2,27.821673525377236,0.5327999999999999,0.5258999999999999,0.5274536401971245,69.0,66.8,69.0636589950719,0.4628,0.46299999999999997,0.4562298938169995,32.4,31.2,31.934003962810554,0.43079999999999996,0.40869999999999995,0.38441472336534077,29.2,27.2,26.2999034699995,0.6528,0.643,0.653511151755322,18.8,17.5,17.07610628461109,0.4,0.2,0.5555555555555556,200.0,200.0,200.0,117.86000000000001,115.54,118.61285881217296,44.68,43.160000000000004,45.12035258852818,15.0,13.8,14.748920388152214,17.0,16.8,17.42910125489001,93.6,88.5,91.09241477417063,12.26,12.43,11.774729461972264,9.6,9.5,8.991617131534829,0.34879999999999994,0.3465,0.35078966620941937,24.2,23.2,24.407153381090282,0.3796,0.3506,0.3882721129909059,10.0,8.6,10.148300563938427,54.56,53.42,54.554117766600626,43.8,41.0,42.57059391352945,0.5593999999999999,0.5503,0.5527086826195194,13.280000000000001,13.330000000000002,12.446268353401416,12.8,12.0,11.641010008636897,44.8,43.6,44.65650561398162,0.5,0.5213,0.4872715033277448,22.4,22.6,21.78570339887213,0.9578,0.9789,0.9420000000000002,7.6,5.3,7.496469034191944
2009-12-29,"Prudential Center, Newark, New Jersey",SYRACUSE,SETON-HALL,Away,53.8,14,5.9,3,102.6,56.3,20,0.383,77,0.338,26,0.312,24,0.583,14,3,200.0,93.6,45.5,23,18,73,16.7,13,0.338,26.0,0.269,7.0,49.4,43,0.413,12.9,13,51.0,0.373,19.0,0.75,9,51.760000000000005,53.74545454545455,49.17379295161646,17.8,16.90909090909091,15.92428322240851,15.1,14.127272727272727,12.395889854188896,6.6,6.454545454545454,5.273840369862319,96.42,90.76363636363637,96.09895171806467,63.94,63.0,65.0439973581263,28.4,26.90909090909091,26.54778235025149,0.5074,0.5158181818181817,0.48996909346474965,73.4,68.18181818181819,73.37577266338127,0.44499999999999995,0.4552727272727273,0.4301532625446664,33.0,31.181818181818183,31.62266930854037,0.40120000000000006,0.40809090909090906,0.39027648224356054,29.2,27.727272727272727,28.53326897999967,0.6043999999999999,0.6286363636363637,0.5973407678368814,17.2,17.363636363636363,16.717404189740726,0.8,0.36363636363636365,1.037037037037037,205.0,202.27272727272728,208.33333333333334,113.96,114.34545454545454,113.20857254144866,41.54,42.21818181818182,41.01356839235212,15.4,14.090909090909092,15.499280258768144,18.6,17.545454545454547,19.95273416992667,92.6,88.0909090909091,88.72827651611377,10.98,11.963636363636363,10.283152974648177,8.8,9.181818181818182,7.99441142102322,0.3386,0.3482727272727273,0.3558597774729463,25.2,23.818181818181817,26.271435587393523,0.3476,0.3369090909090909,0.3255147419939373,9.4,8.363636363636363,8.765533709292285,52.14,52.709090909090904,51.56941184440042,43.8,41.0,42.04706260901963,0.5277999999999999,0.5393636363636364,0.5118057884130129,11.3,12.654545454545454,10.264178902267613,11.2,11.454545454545455,9.760673339091266,48.2,44.36363636363637,47.10433707598775,0.4875999999999999,0.5176363636363637,0.4851810022184966,23.6,22.818181818181817,22.85713559924809,0.9214,0.9642727272727272,0.9006666666666668,8.2,5.636363636363637,7.99764602279463
2010-01-02,"Moon Palace Resort, Cancun",VIRGINIA-TECH,SETON-HALL,Away,27.8,10,8.9,5,121.2,58.8,22,0.541,73,0.493,36,0.274,20,0.75,15,4,225.0,110.6,37.1,11,28,94,2.4,2,0.315,23.0,0.304,7.0,47.8,33,0.57,14.6,14,50.0,0.58,29.0,0.692,9,52.839999999999996,53.75,50.71586196774431,17.6,16.666666666666668,15.282855481605674,11.940000000000001,13.441666666666668,10.230593236125932,5.2,6.166666666666667,4.515893579908213,99.94,91.75,98.26596781204313,63.43999999999998,62.44166666666666,62.129331572084205,26.0,26.333333333333332,24.365188233500994,0.48840000000000006,0.5047499999999999,0.45431272897649977,75.0,68.91666666666667,74.58384844225418,0.42279999999999995,0.4455,0.3994355083631109,32.0,30.75,29.748446205693583,0.3506,0.40008333333333335,0.36418432149570706,26.2,27.416666666666668,27.022179319999783,0.6184,0.6248333333333334,0.5925605118912542,16.0,17.083333333333332,15.811602793160485,1.4,0.5833333333333334,1.691358024691358,205.0,202.08333333333334,205.55555555555557,111.17999999999999,112.61666666666667,106.6723816942991,41.339999999999996,42.49166666666667,42.509045594901416,16.4,14.833333333333334,17.999520172512096,18.8,17.583333333333332,19.301822779951117,90.0,86.83333333333333,83.48551767740918,11.559999999999999,12.358333333333334,12.422101983098784,9.2,9.5,9.662940947348813,0.3628,0.34741666666666665,0.3499065183152975,27.4,24.0,26.18095705826235,0.348,0.33125,0.3066764946626249,10.0,8.25,8.177022472861523,51.38000000000001,52.43333333333334,50.846274562933615,42.4,41.166666666666664,42.364708406013094,0.5122,0.5288333333333334,0.4788705256086753,11.440000000000001,12.674999999999999,11.142785934845076,11.4,11.583333333333334,10.840448892727512,47.6,44.916666666666664,48.402891383991836,0.4622,0.5055833333333334,0.44778733481233113,22.0,22.5,21.57142373283206,0.8714000000000001,0.9464166666666666,0.8504444444444447,8.6,5.916666666666667,8.33176401519642
2010-01-06,"Harry A. Gampel Pavilion, Storrs, Connecticut",SETON-HALL,CONNECTICUT,Home,51.9,14,8.5,4,104.4,73.1,22,0.375,76,0.355,27,0.105,8,0.75,6,5,200.0,92.6,45.2,16,18,63,8.8,6,0.211,16.0,0.188,3.0,55.9,38,0.395,8.1,6,60.0,0.4,24.0,0.643,9,44.64,51.75384615384615,43.077241311829546,13.0,16.153846153846153,13.521903654403783,10.260000000000002,13.092307692307692,9.787062157417289,4.4,6.076923076923077,4.677262386605475,103.0,94.01538461538462,105.91064520802877,61.239999999999995,62.16153846153846,61.01955438138947,23.0,26.0,23.57679215566733,0.4568,0.5075384615384615,0.48320848598433325,73.0,69.23076923076923,74.05589896150279,0.4058,0.4491538461538462,0.430623672242074,29.6,31.153846153846153,31.83229747046239,0.34280000000000005,0.3903846153846154,0.33412288099713805,25.0,26.846153846153847,24.68145287999986,0.6300000000000001,0.6344615384615384,0.6450403412608362,15.4,16.923076923076923,15.541068528773659,2.2,0.8461538461538461,2.460905349794239,210.0,203.84615384615384,212.03703703703707,106.75999999999999,112.46153846153847,107.9815877961994,40.660000000000004,42.07692307692308,40.70603039660095,15.6,14.538461538461538,15.666346781674731,21.8,18.384615384615383,22.20121518663408,82.0,87.38461538461539,86.99034511827278,9.860000000000001,11.592307692307692,9.081401322065858,7.4,8.923076923076923,7.108627298232543,0.34140000000000004,0.34492307692307694,0.33827101221019834,25.0,23.923076923076923,25.12063803884157,0.2946,0.32915384615384613,0.3057843297750833,7.4,8.153846153846153,7.784681648574349,49.38,52.07692307692308,49.83084970862241,38.6,40.53846153846154,39.24313893734207,0.4856,0.5319999999999999,0.5092470170724502,10.86,12.823076923076922,12.295190623230052,10.2,11.76923076923077,11.893632595151676,48.0,45.30769230769231,48.93526092266123,0.46159999999999995,0.5113076923076924,0.49185822320822076,22.2,23.0,24.04761582188804,0.8097999999999999,0.9268461538461538,0.7976296296296299,8.8,6.153846153846154,8.55450934346428
2010-01-09,"Prudential Center, Newark, New Jersey",CINCINNATI,SETON-HALL,Home,57.1,16,2.8,1,110.1,59.3,17,0.554,56,0.5,28,0.429,24,0.875,21,5,200.0,120.3,19.2,4,12,83,14.5,10,0.286,16.0,0.375,6.0,39.6,21,0.616,9.5,7,40.0,0.55,22.0,0.667,10,45.92,51.76428571428572,46.01816087455303,13.8,16.0,13.681269102935856,7.859999999999999,12.764285714285714,9.358041438278192,3.6,5.928571428571429,4.451508257736984,103.6,94.75714285714285,105.40709680535252,64.9,62.942857142857136,65.04636958759298,23.2,25.714285714285715,23.051194770444887,0.4556,0.49807142857142855,0.4471389906562222,75.6,69.71428571428571,74.70393264100187,0.40700000000000003,0.44242857142857145,0.405415781494716,30.6,30.857142857142858,30.221531646974928,0.28440000000000004,0.37,0.25774858733142536,21.6,25.5,19.120968586666578,0.6439999999999999,0.6427142857142857,0.6800268941738908,13.2,16.142857142857142,12.360712352515774,3.0,1.1428571428571428,3.307270233196159,210.0,203.57142857142858,208.0246913580247,106.7,111.04285714285713,102.85439186413294,43.54,42.300000000000004,42.20402026440064,17.2,14.642857142857142,15.777564521116489,21.6,18.357142857142858,20.80081012442272,81.6,85.64285714285714,78.99356341218186,8.76,11.392857142857142,8.98760088137724,6.6,8.714285714285714,6.739084865488363,0.3202,0.33535714285714285,0.2958473414734656,24.2,23.357142857142858,22.080425359227714,0.2922,0.3190714285714286,0.26652288651672223,7.2,7.785714285714286,6.1897877657162335,52.279999999999994,52.35,51.85389980574828,40.4,40.357142857142854,38.82875929156138,0.47779999999999995,0.5222142857142857,0.4711646780483002,10.52,12.485714285714286,10.896793748820036,9.8,11.357142857142858,9.929088396767785,51.4,46.357142857142854,52.62350728177416,0.45780000000000004,0.5033571428571428,0.4612388154721472,23.4,23.071428571428573,24.031743881258695,0.7605999999999999,0.9065714285714286,0.7460864197530868,9.0,6.357142857142857,8.703006228976188
