date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2010-01-16,"SHM Memorial Center, Orangeburg, South Carolina",MORGAN-STATE,SOUTH-CAROLINA-STATE,Away,50.0,12,20.0,8,96.0,57.1,26,0.366,71,0.338,24,0.282,20,0.75,15,7,200.0,89.3,42.6,18,29,67,13.3,10,0.254,18.0,0.222,4.0,49.4,44,0.416,14.0,13,53.0,0.377,20.0,0.5,7,44.92,44.92,44.94938271604939,11.2,11.2,11.246913580246915,4.68,4.68,4.093827160493828,1.8,1.8,1.654320987654321,114.52000000000001,114.52000000000001,111.08395061728396,58.82000000000001,58.82000000000001,57.57037037037038,19.0,19.0,19.839506172839506,0.5052,0.5052,0.4996543209876544,56.4,56.4,56.80246913580248,0.46159999999999995,0.46159999999999995,0.45912345679012356,26.0,26.0,26.049382716049386,0.2902,0.2902,0.3426296296296297,16.4,16.4,19.38271604938272,0.7455999999999999,0.7455999999999999,0.7258024691358025,11.8,11.8,13.69135802469136,3.8,3.8,4.061728395061729,200.0,200.0,200.0,98.1,98.1,98.9604938271605,34.06,34.06,35.12962962962963,9.2,9.2,9.641975308641976,18.2,18.2,18.283950617283953,68.6,68.6,70.2962962962963,11.4,11.4,11.781481481481483,8.0,8.0,8.395061728395063,0.2806,0.2806,0.2783950617283951,15.8,15.8,15.790123456790127,0.3056,0.3056,0.2851975308641976,4.8,4.8,4.506172839506173,46.82,46.82,46.88518518518519,28.2,28.2,29.481481481481485,0.5366,0.5366,0.5337037037037038,20.54,20.54,19.859259259259264,16.0,16.0,15.753086419753089,40.6,40.6,41.012345679012356,0.5156,0.5156,0.5187530864197532,21.2,21.2,21.54320987654321,0.6218,0.6218,0.611246913580247,6.0,6.0,6.135802469135803
2010-02-06,"SHM Memorial Center, Orangeburg, South Carolina",HAMPTON,SOUTH-CAROLINA-STATE,Home,56.0,14,2.6,1,80.0,68.6,25,0.473,56,0.446,25,0.446,25,0.76,19,8,200.0,96.0,31.0,8,19,72,14.7,11,0.161,9.0,0.333,3.0,51.6,33,0.53,18.3,14,47.0,0.468,22.0,0.6,12,41.58,45.76666666666667,46.6329218106996,11.2,11.333333333333334,11.497942386831276,7.959999999999999,7.233333333333333,9.395884773662551,3.2,2.8333333333333335,3.769547325102881,106.14000000000001,111.43333333333334,106.05596707818931,61.54,58.53333333333333,57.41358024691359,21.6,20.166666666666668,21.89300411522634,0.5005999999999999,0.482,0.4551028806584363,59.8,58.833333333333336,61.53497942386832,0.4626,0.441,0.4187489711934157,27.2,25.666666666666668,25.366255144032927,0.2874,0.28883333333333333,0.3224197530864198,17.2,17.0,19.588477366255148,0.7455999999999999,0.7463333333333333,0.7338683127572017,12.4,12.333333333333334,14.127572016460908,4.8,4.333333333333333,5.041152263374485,200.0,200.0,200.0,99.6,96.63333333333333,95.74032921810701,33.760000000000005,35.483333333333334,37.619753086419756,10.4,10.666666666666666,12.427983539094651,21.2,20.0,21.855967078189302,71.2,68.33333333333333,69.19753086419755,12.24,11.716666666666667,12.287654320987656,8.8,8.333333333333334,8.930041152263376,0.25739999999999996,0.27616666666666667,0.2702633744855968,15.4,16.166666666666668,16.52674897119342,0.29,0.2916666666666667,0.2641316872427984,4.4,4.666666666666667,4.337448559670783,47.92,47.25,47.723456790123464,32.0,30.833333333333332,34.320987654320994,0.5321999999999999,0.5165,0.4944691358024692,18.4,19.45,17.906172839506176,14.8,15.5,14.83539094650206,44.4,42.666666666666664,45.00823045267491,0.5204,0.4925,0.47150205761316877,22.8,21.0,21.02880658436214,0.579,0.6015,0.574164609053498,6.4,6.166666666666667,6.423868312757202
2010-02-08,"SHM Memorial Center, Orangeburg, South Carolina",HOWARD,SOUTH-CAROLINA-STATE,Home,58.6,17,4.3,2,91.4,65.0,27,0.492,62,0.468,29,0.323,20,0.8,16,8,200.0,110.0,42.4,13,14,77,10.0,7,0.21,13.0,0.231,3.0,54.8,40,0.538,12.4,9,49.0,0.531,26.0,0.619,13,45.879999999999995,47.228571428571435,49.755281207133066,12.0,11.714285714285714,12.331961591220852,7.18,6.571428571428571,7.130589849108368,3.0,2.5714285714285716,2.846364883401921,97.3,106.94285714285715,97.37064471879287,60.44,59.97142857142857,61.14238683127573,22.6,20.857142857142858,22.928669410150896,0.4824,0.4807142857142857,0.46106858710562426,60.0,58.42857142857143,59.689986282578886,0.4464,0.4417142857142857,0.42783264746227717,26.4,25.571428571428573,25.244170096021953,0.3438,0.31128571428571433,0.3636131687242799,20.4,18.142857142857142,21.3923182441701,0.742,0.7482857142857142,0.7425788751714678,14.8,13.285714285714286,15.751714677640607,5.8,4.857142857142857,6.027434842249657,200.0,200.0,200.0,97.9,96.54285714285713,95.82688614540467,36.12,34.84285714285714,35.41316872427984,11.0,10.285714285714286,10.951989026063101,20.8,19.857142857142858,20.903978052126202,71.8,68.85714285714286,70.13168724279836,13.060000000000002,12.142857142857142,13.091769547325104,9.6,8.714285714285714,9.620027434842251,0.24240000000000003,0.25971428571428573,0.23384224965706454,14.6,15.142857142857142,14.017832647462281,0.29500000000000004,0.2975714285714286,0.287087791495199,4.2,4.428571428571429,3.8916323731138553,48.8,47.871428571428574,49.01563786008231,33.6,31.142857142857142,33.880658436214,0.5218,0.5184285714285713,0.5063127572016461,18.68,19.285714285714285,18.037448559670786,15.2,15.285714285714286,14.55692729766804,45.4,43.285714285714285,45.67215363511661,0.495,0.489,0.47033470507544584,22.2,21.142857142857142,21.352537722908096,0.5656,0.6012857142857142,0.5827764060356654,7.6,7.0,8.282578875171469
2010-02-15,"Hill Field House, Baltimore, Maryland",SOUTH-CAROLINA-STATE,MORGAN-STATE,Away,46.4,13,2.6,1,100.0,59.4,19,0.602,49,0.571,28,0.49,24,0.5,12,9,200.0,104.4,34.8,8,18,71,11.8,8,0.143,7.0,0.429,3.0,49.1,27,0.588,21.2,16,42.0,0.595,25.0,0.609,14,48.36,48.65,52.70352080475538,13.0,12.375,13.887974394147236,7.459999999999999,6.2875,6.187059899405579,3.2,2.5,2.564243255601281,95.0,105.0,95.38042981252859,62.02,60.599999999999994,62.428257887517155,24.6,21.625,24.285779606767264,0.4673999999999999,0.48212499999999997,0.4713790580704162,62.0,58.875,60.459990855052595,0.44000000000000006,0.445,0.44122176497485144,27.0,26.0,26.49611339734797,0.3738,0.31275000000000003,0.35007544581618666,22.6,18.375,20.928212162780067,0.7242,0.75475,0.761719250114312,16.4,13.625,15.834476451760406,6.6,5.25,6.684956561499773,200.0,200.0,200.0,100.2,98.225,100.55125743026979,36.260000000000005,35.7875,37.74211248285323,11.8,10.625,11.634659350708734,19.4,19.125,18.602652034750804,73.8,69.875,72.42112482853224,12.7,11.875,12.061179698216737,9.4,8.5,8.746684956561502,0.22680000000000003,0.2535,0.2258948331047097,14.2,14.875,13.678555098308188,0.24780000000000002,0.28925,0.26839186099679935,3.4,4.25,3.594421582075904,49.760000000000005,48.7375,50.94375857338821,36.4,32.25,35.920438957476,0.5104,0.520875,0.5168751714677642,15.34,18.425,16.158299039780523,12.6,14.5,12.704618198445361,47.8,44.0,46.78143575674441,0.4984,0.49424999999999997,0.49055647005029723,23.6,21.75,22.901691815272066,0.5694,0.6035,0.5948509373571103,9.0,7.75,9.855052583447646
2010-02-22,"Echols Memorial Hall, Norfolk, Virginia",SOUTH-CAROLINA-STATE,NORFOLK-STATE,Home,46.2,12,2.3,1,107.9,69.6,18,0.5,58,0.448,26,0.172,10,0.4,4,12,200.0,81.6,29.0,7,13,62,5.3,4,0.414,24.0,0.25,6.0,46.3,25,0.494,26.1,21,34.0,0.588,20.0,0.538,14,50.059999999999995,48.400000000000006,50.602347203170254,13.4,12.444444444444445,13.591982929431492,5.9,5.877777777777777,4.9913732662703865,2.4,2.3333333333333335,2.0428288370675207,91.84,104.44444444444444,96.92028654168573,62.019999999999996,60.46666666666666,61.4188385916781,24.4,21.333333333333332,22.523853071178177,0.49380000000000007,0.4954444444444444,0.5149193720469442,58.6,57.77777777777778,56.639993903368406,0.4664,0.459,0.484481176649901,26.8,26.22222222222222,26.997408931565314,0.41720000000000007,0.33244444444444443,0.3967169638774578,23.8,19.0,21.952141441853378,0.702,0.7264444444444444,0.674479500076208,16.6,13.444444444444445,14.556317634506938,7.4,5.666666666666667,7.456637707666515,200.0,200.0,200.0,101.86,98.91111111111111,101.83417162017986,37.059999999999995,35.67777777777778,36.76140832190215,11.2,10.333333333333334,10.423106233805823,20.6,19.0,18.401768023167204,73.4,70.0,71.94741655235484,12.7,11.866666666666667,11.97411979881116,9.2,8.444444444444445,8.497789971041001,0.2008,0.2412222222222222,0.19826322206980648,12.0,14.0,11.452370065538794,0.2892,0.3047777777777778,0.3219279073311996,3.2,4.111111111111111,3.3962810547172695,50.839999999999996,48.77777777777778,50.32917238225881,35.6,31.666666666666668,32.946959304984006,0.53,0.5283333333333333,0.5405834476451762,16.580000000000002,18.733333333333334,17.83886602652035,13.2,14.666666666666666,13.803078798963575,46.6,43.77777777777778,45.187623837829605,0.5132,0.5054444444444444,0.5253709800335316,23.6,22.11111111111111,23.601127876848047,0.5821999999999999,0.6041111111111112,0.5995672915714069,10.6,8.444444444444445,11.236701722298431
2010-03-11,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",SOUTH-CAROLINA-STATE,MARYLAND-EASTERN-SHORE,Away,57.1,12,5.9,2,93.0,54.3,20,0.461,51,0.412,21,0.333,17,0.706,12,13,200.0,103.5,50.0,12,20,59,8.8,5,0.412,21.0,0.238,5.0,52.5,32,0.499,17.0,12,30.0,0.533,16.0,0.567,17,51.44,48.18,49.13489813544684,13.6,12.4,13.061321952954328,6.36,5.52,4.0942488441802585,2.6,2.2,1.6952192247116806,95.06,104.79,100.58019102779049,63.94,61.379999999999995,64.14589239445206,23.0,21.0,21.01590204745212,0.4866,0.49589999999999995,0.5099462480312962,59.2,57.8,57.09332926891227,0.4542,0.4579,0.47232078443326736,26.4,26.2,26.66493928771021,0.3426,0.3164,0.3218113092516386,19.8,18.1,17.96809429456892,0.642,0.6938,0.5829863333841387,13.2,12.5,11.037545089671294,8.8,6.3,8.971091805111012,200.0,200.0,200.0,96.25999999999999,97.17999999999999,95.08944774678659,35.96,35.010000000000005,34.17427221460144,10.8,10.0,9.282070822537216,18.6,18.4,16.60117868211147,69.8,69.2,68.63161103490323,11.02,11.209999999999999,9.74941319920744,8.0,8.0,6.998526647360668,0.2364,0.2585,0.270175481379871,14.2,15.0,15.634913377025864,0.29300000000000004,0.2993,0.29795193822079974,3.8,4.3,4.264187369811513,50.239999999999995,48.53,48.98611492150587,33.8,31.0,30.297972869989337,0.5132,0.5248999999999999,0.5250556317634508,18.4,19.47,20.592577351013567,14.6,15.3,16.202052532642384,45.0,42.8,41.4584158918864,0.5117999999999999,0.5136999999999999,0.5462473200223544,22.6,21.9,22.4007519178987,0.5732,0.5974999999999999,0.5790448610476047,12.0,9.0,12.157801148198955
2010-03-13,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",MORGAN-STATE,SOUTH-CAROLINA-STATE,Away,44.4,8,8.3,3,95.8,68.2,17,0.345,58,0.31,18,0.414,24,0.875,21,14,200.0,85.9,40.0,14,19,61,4.2,3,0.259,15.0,0.267,4.0,50.0,31,0.439,21.7,18,43.0,0.326,14.0,0.562,18,52.86,48.99090909090909,51.789932090297896,13.6,12.363636363636363,12.70754796863622,3.5400000000000005,5.554545454545455,4.696165896120172,1.4,2.1818181818181817,1.796812816474454,94.46000000000001,103.71818181818183,98.05346068519367,63.379999999999995,60.73636363636364,60.863928262968045,21.8,20.90909090909091,20.677268031634746,0.5056,0.49272727272727274,0.49363083202086416,55.2,57.18181818181818,55.06221951260819,0.469,0.4537272727272727,0.4522138562888449,25.8,25.727272727272727,24.77662619180681,0.3528,0.3179090909090909,0.32554087283442573,19.2,18.0,17.64539619637928,0.6332,0.6949090909090909,0.6239908889227592,12.6,12.454545454545455,11.358363393114196,10.0,6.909090909090909,10.314061203407341,200.0,200.0,200.0,99.1,97.75454545454545,97.8929651645244,37.44,36.372727272727275,39.449514809734296,9.6,10.181818181818182,10.188047215024811,16.8,18.545454545454547,17.734119121407648,68.2,68.27272727272727,65.42107402326883,10.12,10.990909090909092,9.43294213280496,7.0,7.7272727272727275,6.332351098240446,0.26799999999999996,0.27245454545454545,0.317450320919914,14.8,15.545454545454545,17.42327558468391,0.2962,0.2937272727272727,0.2779679588138665,4.0,4.363636363636363,4.5094582465410085,50.86,48.89090909090908,50.15740994767059,31.4,31.09090909090909,30.865315246659563,0.5298,0.5225454545454545,0.5163704211756339,19.0,19.245454545454546,19.395051567342378,14.4,15.0,14.801368355094924,40.4,41.63636363636363,37.638943927924274,0.5429999999999999,0.5154545454545455,0.5418315466815696,21.8,21.363636363636363,20.2671679452658,0.5866,0.5947272727272727,0.5750299073650698,14.0,9.727272727272727,13.771867432132638
2010-11-13,"Dale F. Halton Arena, Charlotte, North Carolina",SOUTH-CAROLINA-STATE,CHARLOTTE,Home,51.9,14,9.4,3,107.1,63.6,21,0.453,64,0.422,27,0.484,31,0.742,23,1,200.0,96.4,25.7,9,36,81,10.7,9,0.313,20.0,0.2,4.0,44.1,30,0.514,16.2,15,44.0,0.523,23.0,0.0,0,50.540000000000006,48.60833333333333,49.32662139353193,12.4,12.0,11.138365312424147,4.680000000000001,5.783333333333334,5.897443930746782,1.8,2.25,2.1978752109829696,97.62,103.05833333333334,97.30230712346244,63.3,61.35833333333333,63.30928550864537,20.2,20.583333333333332,19.451512021089833,0.48,0.48041666666666666,0.4440872213472428,55.6,57.25,56.041479675072125,0.4418,0.44175000000000003,0.40480923752589665,24.4,25.083333333333332,22.517750794537875,0.3464,0.3259166666666667,0.35502724855628387,19.0,18.5,19.763597464252854,0.6562,0.7099166666666666,0.7076605926151729,13.0,13.166666666666666,14.57224226207613,11.2,7.5,11.542707468938229,200.0,200.0,200.0,97.08000000000001,96.76666666666667,93.89531010968295,39.239999999999995,36.675000000000004,39.6330098731562,10.8,10.5,11.458698143349874,16.8,18.583333333333332,18.156079414271765,66.0,67.66666666666667,63.947382682179224,8.02,10.425,7.688628088536641,5.4,7.333333333333333,5.221567398826965,0.28759999999999997,0.2713333333333333,0.29796688061327603,16.0,15.5,16.615517056455943,0.28300000000000003,0.29150000000000004,0.27431197254257766,4.2,4.333333333333333,4.339638831027339,50.54,48.98333333333333,50.10493996511373,31.0,31.083333333333332,30.91021016443971,0.5115999999999999,0.5155833333333333,0.490580280783756,19.68,19.45,20.163367711561584,15.2,15.25,15.867578903396618,39.6,41.75,39.42596261861618,0.5146,0.49966666666666665,0.4698876977877131,20.2,20.75,18.178111963510535,0.579,0.592,0.5706866049100465,15.2,10.416666666666666,15.181244954755092
2010-11-23,"SHM Memorial Center, Orangeburg, South Carolina",FURMAN,SOUTH-CAROLINA-STATE,Away,47.4,9,5.6,1,89.4,73.1,19,0.436,47,0.404,19,0.489,23,0.609,14,2,200.0,83.3,25.8,8,26,55,10.6,7,0.277,13.0,0.231,3.0,47.4,27,0.475,22.9,17,34.0,0.471,16.0,0.5,2,49.2,48.861538461538466,50.18441426235462,11.8,12.153846153846153,12.0922435416161,5.7,6.061538461538461,7.064962620497855,2.0,2.3076923076923075,2.4652501406553133,100.76,103.36923076923077,100.56820474897498,63.02,61.53076923076923,63.40619033909691,19.0,20.615384615384617,19.967674680726557,0.47220000000000006,0.4783076923076923,0.44705814756482853,56.0,57.76923076923077,58.69431978338142,0.4326,0.4402307692307692,0.4105394916839311,24.0,25.23076923076923,24.011833863025252,0.3786,0.33807692307692305,0.39801816570418924,21.2,19.46153846153846,23.509064976168567,0.6446,0.7123846153846153,0.7191070617434486,14.4,13.923076923076923,17.38149484138409,9.8,7.0,8.02847164595882,200.0,200.0,200.0,94.35999999999999,96.73846153846154,94.73020673978864,35.9,35.830769230769235,34.9886732487708,10.0,10.384615384615385,10.639132095566584,21.2,19.923076923076923,24.104052942847844,66.8,68.6923076923077,69.63158845478615,8.16,10.446153846153846,8.692418725691095,5.8,7.461538461538462,6.48104493255131,0.3082,0.2745384615384615,0.30297792040885074,17.4,15.846153846153847,17.743678037637295,0.27680000000000005,0.28446153846153843,0.2495413150283851,4.4,4.3076923076923075,4.22642588735156,48.4,48.607692307692304,48.10329331007583,29.0,31.0,30.606806776293144,0.5067999999999999,0.5154615384615384,0.49838685385583736,20.439999999999998,19.2,18.842245141041058,16.4,15.23076923076923,15.578385935597746,38.6,41.92307692307692,40.95064174574412,0.513,0.5014615384615385,0.4875917985251421,19.6,20.923076923076923,19.785407975673692,0.45520000000000005,0.5464615384615384,0.38045773660669774,12.6,9.615384615384615,10.120829969836729
2010-11-26,"Littlejohn Coliseum, Clemson, South Carolina",SOUTH-CAROLINA-STATE,CLEMSON,Home,50.0,10,7.1,2,100.0,65.2,15,0.439,49,0.408,20,0.286,14,0.786,11,3,200.0,78.3,16.0,4,17,54,13.0,9,0.184,9.0,0.333,3.0,39.6,19,0.485,23.6,17,40.0,0.425,17.0,0.4,2,49.4,48.75714285714286,49.256276174903086,11.0,11.928571428571429,11.061495694410734,6.3,6.028571428571429,6.57664174699857,2.0,2.2142857142857144,1.9768334271035424,98.64000000000001,102.37142857142858,96.84546983265,65.75999999999999,62.357142857142854,66.6374602260646,19.0,20.5,19.645116453817707,0.43899999999999995,0.47528571428571426,0.4433720983765524,55.6,57.0,54.796213188920945,0.3992,0.4376428571428571,0.4083596611226208,22.2,24.785714285714285,22.34122257535017,0.37839999999999996,0.34885714285714287,0.4283454438027928,21.0,19.714285714285715,23.339376650779045,0.6664,0.705,0.6824047078289658,14.8,13.928571428571429,16.25432989425606,8.4,6.642857142857143,6.018981097305881,200.0,200.0,200.0,90.14,95.77857142857144,90.92013782652577,34.1,35.114285714285714,31.925782165847203,10.0,10.214285714285714,9.75942139704439,22.8,20.357142857142858,24.7360352952319,63.6,67.71428571428571,64.75439230319077,7.92,10.457142857142857,9.32827915046073,5.6,7.428571428571429,6.654029955034207,0.33499999999999996,0.27471428571428574,0.2943186136059005,18.6,15.642857142857142,16.162452025091532,0.2372,0.28064285714285714,0.2433608766855901,4.4,4.214285714285714,3.8176172582343737,48.06,48.521428571428565,47.86886220671722,29.0,30.714285714285715,29.4045378508621,0.48419999999999996,0.5125714285714286,0.4905912359038916,20.78,19.464285714285715,20.194830094027374,16.6,15.357142857142858,16.052257290398497,37.0,41.357142857142854,38.63376116382942,0.48819999999999997,0.4992857142857143,0.4820611990167614,17.8,20.571428571428573,18.523605317115795,0.43340000000000006,0.5431428571428571,0.42030515773779853,10.2,9.071428571428571,7.41388664655782
