date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-26,"Icardo Center, Bakersfield, California",Sam Houston State,Cal State Bakersfield,Away,50.0,12,10.3,4,90.3,66.7,18,0.519,53,0.453,24,0.396,21,0.905,19,3,200,102.8,13.8,4,20,74,12.5,9,0.302,16,0.438,7,39.3,22,0.588,18.4,14,37,0.459,17,0.5,3,46.9,46.9,46.5962962962963,14.8,14.8,14.962962962962969,10.02,10.02,11.571604938271607,3.2,3.2,3.6543209876543212,91.58,91.58,93.64444444444446,74.1,74.1,75.93580246913581,25.8,25.8,27.07407407407408,0.5216,0.5216,0.5430864197530865,67.2,67.2,66.69135802469137,0.45640000000000003,0.45640000000000003,0.4701111111111112,30.8,30.8,31.44444444444445,0.191,0.191,0.20332098765432102,12.8,12.8,13.49382716049383,0.7868,0.7868,0.766851851851852,9.6,9.6,10.098765432098766,1.6,1.6,1.8395061728395063,200.0,200.0,200.0,101.72,101.72,104.63950617283952,28.160000000000004,28.160000000000004,27.03827160493828,9.6,9.6,9.03703703703704,23.2,23.2,22.19753086419753,79.8,79.8,82.4567901234568,11.379999999999999,11.379999999999999,9.729629629629631,8.8,8.8,7.6296296296296315,0.3528,0.3528,0.3667530864197531,23.6,23.6,24.271604938271608,0.3628,0.3628,0.3877283950617284,8.6,8.6,9.469135802469138,51.52,51.52,52.57901234567902,35.4,35.4,36.111111111111114,0.5428,0.5428,0.5641234567901235,16.56,16.56,16.833333333333336,14.6,14.6,14.802469135802472,43.6,43.6,42.41975308641976,0.5035999999999999,0.5035999999999999,0.5111481481481481,22.2,22.2,21.975308641975314,0.5466,0.5466,0.5406913580246915,1.4,1.4,1.5555555555555558
2019-11-30,"Johnson Coliseum, Huntsville, Texas","Randall
			",Sam Houston State,Home,69.4,25,10.3,4,60.0,84.0,42,0.558,69,0.522,36,0.145,10,0.9,9,3,200,101.2,34.4,11,10,86,12.9,11,0.348,24,0.208,5,64.6,53,0.583,22.2,21,45,0.689,31,0.571,4,46.64,47.416666666666664,47.73086419753087,13.2,14.333333333333334,13.975308641975314,10.02,10.066666666666668,11.147736625514405,3.4,3.3333333333333335,3.769547325102881,95.2,91.36666666666667,92.52962962962964,70.78,72.86666666666666,72.85720164609054,23.4,24.5,24.04938271604939,0.5122,0.5211666666666667,0.5350576131687244,62.6,64.83333333333333,62.12757201646092,0.4444,0.4558333333333333,0.4644074074074075,27.8,29.666666666666668,28.96296296296297,0.2334,0.22516666666666665,0.2675473251028807,14.2,14.166666666666666,15.995884773662555,0.8392000000000002,0.8065000000000001,0.8129012345679014,11.6,11.166666666666666,13.065843621399178,2.2,1.8333333333333333,2.226337448559671,200.0,200.0,200.0,98.22,101.89999999999999,104.02633744855969,20.919999999999998,25.766666666666666,22.625514403292186,6.8,8.666666666666666,7.358024691358027,22.8,22.666666666666668,21.46502057613169,75.6,78.83333333333333,79.63786008230454,11.6,11.566666666666668,10.653086419753087,8.8,8.833333333333334,8.086419753086421,0.3448,0.3443333333333333,0.34516872427983547,21.6,22.333333333333332,21.514403292181072,0.3888,0.37533333333333335,0.4044855967078189,8.4,8.333333333333334,8.646090534979425,46.040000000000006,49.48333333333333,48.152674897119354,30.2,33.166666666666664,31.407407407407412,0.5454000000000001,0.5503333333333332,0.572082304526749,17.16,16.866666666666667,17.355555555555558,14.4,14.5,14.534979423868315,41.0,42.5,40.613168724279845,0.47139999999999993,0.49616666666666664,0.49376543209876544,19.4,21.333333333333332,20.316872427983544,0.4466,0.5388333333333334,0.527127572016461,1.8,1.6666666666666667,2.037037037037037
2019-12-03,"UTRGV Fieldhouse, Edinburg, Texas",Sam Houston State,Texas-Rio Grande Valley,Home,56.0,14,7.0,3,92.8,70.7,29,0.396,72,0.347,25,0.583,42,0.69,29,4,250,88.7,23.9,11,27,86,15.5,15,0.306,22,0.318,7,46.0,40,0.468,17.4,19,50,0.36,18,0.5,4,53.86,50.55714285714286,54.95390946502059,16.6,15.857142857142858,17.650205761316876,11.360000000000001,10.1,10.865157750342938,4.0,3.4285714285714284,3.846364883401921,87.78,86.88571428571429,81.68641975308643,75.58,74.45714285714287,76.57146776406037,28.8,27.0,30.032921810699595,0.5408000000000001,0.5264285714285715,0.5427050754458163,63.4,65.42857142857143,64.41838134430728,0.475,0.4652857142857143,0.483604938271605,30.2,30.571428571428573,31.30864197530865,0.25,0.21371428571428572,0.2266982167352538,15.4,13.571428571428571,13.997256515775039,0.8192,0.8198571428571428,0.8419341563786009,12.6,10.857142857142858,11.71056241426612,2.6,2.0,2.4842249657064475,200.0,200.0,200.0,101.64,101.8,103.08422496570647,22.8,27.0,26.550342935528125,7.2,9.0,8.572016460905353,20.0,20.857142857142858,17.64334705075446,81.2,79.85714285714286,81.75857338820303,10.7,11.757142857142856,11.402057613168726,8.6,9.142857142857142,9.05761316872428,0.3468,0.34485714285714286,0.34611248285322366,22.0,22.571428571428573,22.342935528120716,0.3758,0.3514285714285714,0.3389903978052127,8.2,7.857142857142857,7.430727023319617,51.1,51.642857142857146,53.63511659807957,36.0,36.0,38.60493827160494,0.5753999999999999,0.5549999999999999,0.5757215363511661,19.0,17.62857142857143,18.97037037037037,16.6,15.428571428571429,16.68998628257888,41.4,42.857142857142854,42.075445816186566,0.5254,0.5237142857142857,0.558843621399177,22.0,22.714285714285715,23.87791495198903,0.4608,0.5434285714285714,0.5417517146776407,2.4,2.0,2.6913580246913584
2019-12-08,"Johnson Coliseum, Huntsville, Texas",Louisiana Tech,Sam Houston State,Home,70.8,17,18.2,6,88.3,78.8,26,0.431,65,0.369,24,0.308,20,0.75,15,4,200,92.2,30.8,12,18,71,10.4,8,0.292,19,0.421,8,52.8,38,0.477,14.0,12,46,0.348,16,0.556,5,54.34000000000001,51.2375,55.30260631001373,16.4,15.625,16.433470507544584,11.540000000000001,9.7125,9.57677183356196,4.2,3.375,3.564243255601281,86.1,87.625,85.39094650205763,75.5,73.9875,74.61431184270693,29.2,27.25,29.688614540466396,0.52,0.5101249999999999,0.4938033836305442,65.0,66.25,66.94558756287152,0.4568,0.4505,0.4380699588477367,29.6,29.875,29.205761316872433,0.3104,0.25987499999999997,0.34546547782350256,20.2,17.125,23.33150434385003,0.8128,0.803625,0.791289437585734,15.8,13.125,17.473708276177412,3.0,2.25,2.9894833104709653,210.0,206.25,216.66666666666669,100.82000000000001,100.1625,98.28948331047098,23.9,26.6125,25.666895290352084,8.0,9.25,9.381344307270236,18.6,21.625,20.76223136716964,83.0,80.625,83.17238225880203,10.9,12.225,12.768038408779152,9.2,9.875,11.03840877914952,0.3454,0.34,0.33274165523548244,22.4,22.5,22.22862368541381,0.3594,0.34725,0.3319935985368085,8.0,7.75,7.287151348879745,51.36,50.9375,51.09007773205305,37.2,36.5,39.06995884773663,0.5628,0.544125,0.5398143575674441,18.66,17.6,18.446913580246914,17.0,15.875,17.459990855052588,42.6,43.75,44.716963877457715,0.5064,0.50325,0.492562414266118,21.6,22.125,21.918609967992687,0.49420000000000003,0.538,0.5278344764517605,3.0,2.25,3.1275720164609058
2019-12-15,"Johnson Coliseum, Huntsville, Texas","Wiley
			",Sam Houston State,Home,75.8,25,11.1,4,76.3,81.8,27,0.513,77,0.429,33,0.221,17,0.706,12,4,200,119.7,39.5,17,20,91,15.8,12,0.468,36,0.361,13,57.9,44,0.535,7.7,7,41,0.488,20,0.6,6,56.14,53.41111111111111,60.46840420667583,15.6,15.777777777777779,16.62231367169639,12.020000000000001,10.655555555555557,12.45118122237464,4.2,3.6666666666666665,4.376162170400854,89.96000000000001,87.69999999999999,86.36063100137176,75.03999999999999,74.52222222222223,76.00954122847128,28.4,27.11111111111111,28.45907636031093,0.4992,0.5013333333333333,0.4728689224203628,63.8,66.11111111111111,66.29705837524769,0.43479999999999996,0.4414444444444444,0.4150466392318245,27.6,29.22222222222222,27.470507544581626,0.3298,0.26522222222222225,0.33297698521566843,21.2,17.444444444444443,22.22100289590002,0.8028000000000001,0.7976666666666667,0.7775262917238227,16.4,13.333333333333334,16.649138850784944,3.4,2.4444444444444446,3.3263222069806435,210.0,205.55555555555554,211.11111111111114,98.3,99.27777777777777,96.259655540314,23.16,27.077777777777776,27.37793019356806,8.4,9.555555555555555,10.254229538180159,19.4,21.22222222222222,19.841487578113096,79.6,79.55555555555556,79.11492150586803,11.320000000000002,12.022222222222222,11.978692272519435,9.4,9.666666666666666,10.025605852766347,0.33619999999999994,0.33466666666666667,0.3191611034903217,21.4,22.11111111111111,21.152415790275874,0.377,0.35544444444444445,0.361662399024539,8.0,7.777777777777778,7.524767565919831,49.8,51.144444444444446,51.6600518213687,36.8,36.666666666666664,38.713305898491086,0.5456,0.5366666666666666,0.5188762383782961,17.7,17.200000000000003,16.964609053497945,15.8,15.444444444444445,15.639993903368394,42.4,44.0,45.14464258497181,0.4654,0.486,0.4443749428440787,19.6,21.444444444444443,19.94573997866179,0.5054000000000001,0.54,0.5372229843011738,3.6,2.5555555555555554,3.751714677640604
2019-12-18,"Johnson Coliseum, Huntsville, Texas",Northwestern State,Sam Houston State,Home,69.0,20,3.6,1,102.6,74.2,23,0.538,65,0.446,29,0.369,24,0.917,22,4,200,119.5,34.3,12,22,92,9.1,7,0.415,27,0.444,12,53.0,35,0.602,13.7,12,38,0.447,17,0.636,7,64.4,55.65,65.5789361377839,18.6,16.7,19.414875781130924,11.379999999999999,10.7,12.000787481583094,4.2,3.7,4.250774780267236,81.53999999999999,86.56,83.00708733424784,76.4,75.25,77.93969415231419,28.4,27.1,27.972717573540624,0.48339999999999994,0.5025000000000001,0.4862459482802419,67.2,67.2,69.86470558349846,0.42400000000000004,0.44020000000000004,0.419697759487883,28.4,29.6,29.313671696387754,0.3306,0.26080000000000003,0.2956513234771123,22.0,17.4,20.480668597266682,0.7901999999999999,0.7885,0.7536841944825485,16.8,13.2,15.099425900523297,3.6,2.6,3.5508814713204293,210.0,205.0,207.40740740740745,100.92,101.32000000000001,104.07310369354266,28.48,28.32,31.418620129045372,11.0,10.3,12.502819692120106,19.0,21.1,19.8943250520754,81.6,80.7,83.07661433724536,13.419999999999998,12.4,13.252461515012957,11.0,9.9,10.683737235177565,0.3432,0.348,0.3687740689935478,23.4,23.5,26.101610526850585,0.3492,0.356,0.36144159934969267,8.0,8.3,9.349845043946555,52.120000000000005,51.82000000000001,53.740034547579135,39.4,37.4,40.475537265660726,0.5302,0.5365,0.5242508255855307,15.940000000000001,16.25,13.876406035665298,14.6,14.6,12.759995935578932,43.8,43.7,43.76309505664788,0.4688,0.4862,0.4589166285627192,20.4,21.3,19.963826652441195,0.5454000000000001,0.546,0.5581486562007826,4.4,2.9,4.50114311842707
2019-12-21,"Johnson Coliseum, Huntsville, Texas",New Orleans,Sam Houston State,Home,74.2,23,11.1,4,105.3,65.4,17,0.608,60,0.517,31,0.283,17,0.824,14,4,200,116.0,29.6,8,21,87,14.7,11,0.4,24,0.458,11,47.2,25,0.639,16.2,13,36,0.556,20,0.667,8,68.2,56.86363636363637,66.7192907585226,20.2,17.0,19.609917187420617,10.04,10.054545454545455,9.200524987722064,3.6,3.4545454545454546,3.1671831868448246,84.0,88.01818181818182,89.53805822283189,77.9,75.15454545454546,76.69312943487614,29.4,26.727272727272727,26.315145049027088,0.48719999999999997,0.5057272727272727,0.5034972988534947,69.6,67.0,68.24313705566564,0.4226,0.4407272727272727,0.42846517299192205,29.4,29.545454545454547,29.209114464258505,0.3252,0.2706363636363636,0.3201008823180749,22.6,18.0,21.653779064844457,0.7926,0.8001818181818181,0.808122796321699,17.4,14.0,17.399617267015532,3.8,2.727272727272727,3.7005876475469535,210.0,204.54545454545453,204.9382716049383,104.25999999999999,102.97272727272728,109.21540246236178,32.58,28.863636363636363,32.37908008603025,12.6,10.454545454545455,12.335213128080072,19.4,21.181818181818183,20.5962167013836,85.2,81.72727272727273,86.05107622483024,12.74,12.1,11.868307676675306,10.6,9.636363636363637,9.45582482345171,0.3658,0.35409090909090907,0.3841827126623652,25.6,23.818181818181817,26.40107368456706,0.3504,0.36399999999999993,0.3889610662331284,9.0,8.636363636363637,10.233230029297705,54.86,51.92727272727273,53.49335636505276,42.0,37.18181818181818,38.65035817710715,0.5329999999999999,0.5424545454545454,0.5501672170570204,15.0,16.018181818181816,13.817604023776866,14.2,14.363636363636363,12.506663957052622,44.0,43.18181818181818,41.84206337109859,0.4664,0.48263636363636364,0.4549444190418128,20.4,20.90909090909091,18.975884434960797,0.5726,0.5541818181818182,0.5840991041338551,5.2,3.272727272727273,5.334095412284713
2019-12-29,"Tudor Fieldhouse, Houston, Texas",Sam Houston State,Rice,Away,53.3,16,0.0,0,84.7,76.9,30,0.559,59,0.508,30,0.169,10,0.9,9,4,200,104.2,23.1,6,19,75,11.1,8,0.288,17,0.353,6,55.4,36,0.588,17.0,13,42,0.571,24,0.692,9,69.16,58.30833333333334,69.21286050568173,19.8,17.5,20.739944791613745,10.2,10.141666666666667,9.833683325148042,3.6,3.5,3.4447887912298834,93.06,89.45833333333333,94.79203881522126,74.17999999999999,74.34166666666667,72.9287529565841,24.4,25.916666666666668,23.210096699351396,0.49720000000000003,0.51425,0.5383315325689966,67.8,66.41666666666667,65.4954247037771,0.4215999999999999,0.44708333333333333,0.4579767819946147,28.4,29.666666666666668,29.80607630950567,0.35279999999999995,0.27166666666666667,0.30773392154538326,24.0,17.916666666666668,20.102519376562974,0.7773999999999999,0.8021666666666666,0.8134151975477993,18.4,14.0,16.26641151134369,4.0,2.8333333333333335,3.8003917650313026,210.0,204.16666666666666,203.29218106995887,107.22,104.05833333333334,111.47693497490786,31.620000000000005,28.925,31.452720057353503,12.0,10.25,10.890142085386715,21.6,21.166666666666668,20.730811134255735,85.4,82.16666666666667,86.36738414988683,13.1,12.316666666666668,12.812205117783538,10.6,9.75,9.97054988230114,0.3762,0.35791666666666666,0.38945514177491014,25.6,23.833333333333332,25.600715789711376,0.40040000000000003,0.3718333333333333,0.411974044155419,10.2,8.833333333333334,10.488820019531804,51.379999999999995,51.53333333333333,51.39557091003518,36.4,36.166666666666664,34.1002387847381,0.5442,0.5505,0.5797781447046804,13.8,16.033333333333335,14.611736015851246,12.6,14.25,12.671109304701748,42.2,42.583333333333336,39.89470891406573,0.43979999999999997,0.48875,0.4886296126945419,18.2,20.833333333333332,19.317256289973866,0.5918,0.5635833333333333,0.6117327360892368,6.0,3.6666666666666665,6.222730274856476
2020-01-02,"H&HP Complex, Lake Charles, Louisiana",Sam Houston State,McNeese State,Away,55.6,20,11.5,3,100.0,66.7,16,0.69,63,0.571,36,0.159,10,0.7,7,4,200,125.3,17.9,5,19,94,16.0,12,0.444,28,0.536,15,40.4,21,0.694,16.2,13,35,0.6,21,0.714,10,68.61999999999999,57.92307692307692,63.908573670454494,20.2,17.384615384615383,19.159963194409166,8.8,9.361538461538462,6.555788883432029,3.0,3.230769230769231,2.2965258608199224,91.44,89.0923076923077,91.42802587681419,75.42,74.53846153846153,74.25250197105608,24.6,26.23076923076923,25.4733977995676,0.5298,0.5176923076923077,0.5452210217126645,65.2,65.84615384615384,63.3302831358514,0.45380000000000004,0.4517692307692308,0.4746511879964099,29.4,29.692307692307693,29.870717539670448,0.27,0.26376923076923076,0.26148928103025554,17.6,17.307692307692307,16.73501291770865,0.8194000000000001,0.8096923076923077,0.8422767983651995,14.4,13.615384615384615,13.844274340895796,4.0,2.923076923076923,3.866927843354202,200.0,203.84615384615384,202.19478737997258,110.32000000000001,104.06923076923077,109.05128998327191,31.46,28.476923076923075,28.66848003823567,11.0,9.923076923076923,9.260094723591145,20.0,21.0,20.153874089503823,83.2,81.61538461538461,82.57825609992456,12.22,12.223076923076924,12.24147007852236,9.2,9.615384615384615,9.313699921534095,0.3726,0.3525384615384616,0.3556367611832734,24.6,23.307692307692307,22.73381052647425,0.4074,0.3703846153846154,0.392316029436946,10.0,8.615384615384615,8.99254667968787,53.260000000000005,51.83076923076923,52.73038060669012,35.6,36.15384615384615,34.73349252315874,0.5682,0.5533846153846154,0.5825187631364536,13.719999999999999,16.107692307692307,15.407824010567499,11.4,14.153846153846153,12.780739536467834,40.6,42.53846153846154,40.59647260937716,0.48200000000000004,0.4950769230769231,0.5160864084630279,19.4,21.076923076923077,20.87817085998258,0.6302,0.5734615384615385,0.6384884907261579,7.0,4.076923076923077,7.148486849904318
2020-01-04,"Johnson Coliseum, Huntsville, Texas",Nicholls State,Sam Houston State,Away,57.1,12,0.0,0,109.4,68.8,22,0.441,51,0.412,21,0.412,21,0.619,13,5,200,90.6,21.2,7,15,58,10.9,7,0.373,19,0.158,3,44.6,29,0.476,14.2,10,32,0.563,18,0.667,10,65.58000000000001,57.75714285714286,61.13904911363633,20.8,17.571428571428573,19.439975462939444,7.459999999999999,9.514285714285714,8.203859255621353,2.4,3.2142857142857144,2.531017240546615,93.78,89.87142857142858,94.2853505845428,73.0,73.97857142857143,71.73500131403739,22.6,25.5,22.31559853304507,0.5816000000000001,0.53,0.5934806811417763,64.8,65.64285714285714,63.220188757234276,0.49420000000000003,0.4602857142857143,0.5067674586642732,31.8,30.142857142857142,31.913811693113633,0.24020000000000002,0.2562857142857143,0.2273261873535037,15.6,16.785714285714285,14.49000861180577,0.8094000000000001,0.8018571428571428,0.794851198910133,12.8,13.142857142857142,11.562849560597197,4.0,3.0,3.911285228902802,200.0,203.57142857142858,201.4631915866484,116.94000000000001,105.58571428571429,114.46752665551462,28.880000000000003,27.72142857142857,25.078986692157116,9.6,9.571428571428571,7.840063149060764,20.2,20.857142857142858,19.76924939300255,87.8,82.5,86.38550406661638,13.34,12.492857142857144,13.494313385681576,10.0,9.785714285714286,10.20913328102273,0.403,0.3590714285714286,0.3850911741221823,26.4,23.642857142857142,24.489207017649502,0.4304,0.38221428571428573,0.44021068629129734,11.4,9.071428571428571,10.995031119791914,50.779999999999994,51.01428571428572,48.62025373779342,32.2,35.07142857142857,30.155661682105826,0.6115999999999999,0.5634285714285714,0.6196791754243024,14.16,16.114285714285714,15.671882673711668,11.6,14.071428571428571,12.853826357645225,38.4,42.0,38.73098173958478,0.5324000000000001,0.5025714285714286,0.5440576056420187,20.4,21.071428571428573,20.91878057332172,0.6617999999999999,0.5835,0.6636589938174386,8.0,4.5,8.098991233269546
