date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-11-28,"Viejas Arena, San Diego, California",Northern Arizona,San Diego State,Home,52.8,19,12.0,3,72.7,74.2,24,0.586,64,0.563,36,0.375,24,0.583,14,2,200.0,134.8,57.1,15,19,89,18.2,12,0.25,16.0,0.188,3.0,66.1,39,0.59,8.6,7,48.0,0.688,33.0,0.667,4,44.44,44.44,44.781481481481485,11.8,11.8,11.666666666666668,7.159999999999999,7.159999999999999,6.683950617283952,2.8,2.8,2.5679012345679015,97.3,97.3,99.93086419753088,61.6,61.6,60.348148148148155,22.4,22.4,20.95061728395062,0.5098,0.5098,0.5143950617283951,56.8,56.8,55.8641975308642,0.45919999999999994,0.45919999999999994,0.4604691358024692,26.2,26.2,25.814814814814817,0.3154,0.3154,0.30956790123456795,17.8,17.8,17.222222222222225,0.6205999999999999,0.6205999999999999,0.6300123456790124,11.0,11.0,10.765432098765434,1.0,1.0,1.1358024691358026,200.0,200.0,200.0,105.4,105.4,107.12222222222223,44.04,44.04,44.57037037037038,12.8,12.8,12.851851851851855,16.4,16.4,17.01234567901235,69.2,69.2,68.4567901234568,12.48,12.48,12.670370370370373,8.2,8.2,8.111111111111112,0.30920000000000003,0.30920000000000003,0.3302345679012346,17.6,17.6,18.444444444444443,0.332,0.332,0.33148148148148154,5.8,5.8,6.06172839506173,53.379999999999995,53.379999999999995,52.95555555555556,35.2,35.2,33.802469135802475,0.5288,0.5288,0.5331604938271606,17.7,17.7,17.286419753086424,13.8,13.8,13.259259259259263,39.2,39.2,37.41975308641976,0.5147999999999999,0.5147999999999999,0.5195679012345681,20.4,20.4,19.75308641975309,0.7034,0.7034,0.7123950617283953,2.0,2.0,2.2592592592592595
2009-12-02,"Jenny Craig Pavillion, San Diego, California",San Diego State,San Diego,Away,30.8,8,16.7,6,98.4,65.0,27,0.559,51,0.51,26,0.353,18,0.667,12,2,225.0,109.5,43.5,9,15,69,12.7,8,0.353,18.0,0.278,5.0,57.1,36,0.579,18.1,13,33.0,0.636,21.0,0.714,5,45.0,45.833333333333336,47.45432098765433,12.4,13.0,14.111111111111112,7.8,7.966666666666666,8.455967078189303,2.8,2.8333333333333335,2.711934156378601,97.6,93.2,90.85390946502059,60.94000000000001,63.70000000000001,64.96543209876543,20.8,22.666666666666668,21.967078189300416,0.5029999999999999,0.5225,0.5382633744855967,58.8,58.0,58.57613168724281,0.4532,0.4765,0.4946460905349795,27.0,27.833333333333332,29.20987654320988,0.31639999999999996,0.3253333333333333,0.3313786008230453,18.6,18.833333333333332,19.481481481481485,0.6372,0.6143333333333333,0.6143415637860083,11.8,11.5,11.843621399176957,1.4,1.1666666666666667,1.4238683127572018,200.0,200.0,200.0,111.25999999999999,110.3,116.34814814814817,47.760000000000005,46.21666666666667,48.74691358024692,14.0,13.166666666666666,13.567901234567904,18.0,16.833333333333332,17.674897119341566,71.6,72.5,75.3045267489712,13.660000000000002,13.433333333333332,14.513580246913582,8.8,8.833333333333334,9.407407407407408,0.3258,0.29933333333333334,0.3034897119341564,19.0,17.333333333333332,17.62962962962963,0.30300000000000005,0.308,0.28365432098765436,5.8,5.333333333333333,5.041152263374487,54.17999999999999,55.5,57.33703703703704,34.8,35.833333333333336,35.53497942386832,0.5256000000000001,0.539,0.5521069958847737,14.580000000000002,16.183333333333334,14.390946502057616,11.2,12.666666666666666,11.172839506172842,39.8,40.666666666666664,40.94650205761317,0.5236,0.5436666666666666,0.5757119341563788,21.2,22.5,24.168724279835395,0.6368,0.6973333333333334,0.6972633744855969,2.6,2.3333333333333335,2.8395061728395063
2009-12-05,"The Thunderdome, Santa Barbara, California",San Diego State,UCSB,Away,40.7,11,15.2,5,96.8,54.8,18,0.557,53,0.509,27,0.34,18,0.556,10,2,200.0,109.5,46.4,12,17,69,6.3,4,0.377,20.0,0.25,5.0,50.8,30,0.561,20.8,16,33.0,0.667,22.0,0.75,6,44.160000000000004,43.68571428571429,41.90288065843622,12.6,12.285714285714286,12.074074074074076,10.02,9.214285714285714,11.203978052126203,3.6,3.2857142857142856,3.807956104252401,93.4,93.94285714285715,93.3692729766804,62.279999999999994,63.88571428571429,64.9769547325103,22.0,23.285714285714285,23.644718792866946,0.5362,0.5277142857142857,0.5451755829903979,57.8,57.0,56.050754458161876,0.4838,0.48128571428571426,0.499764060356653,28.2,27.571428571428573,28.139917695473258,0.3156,0.32928571428571424,0.3385857338820302,18.2,18.714285714285715,18.98765432098766,0.6305999999999999,0.6218571428571428,0.631894375857339,11.4,11.571428571428571,11.895747599451305,1.6,1.2857142857142858,1.6159122085048012,205.0,203.57142857142858,208.33333333333334,115.84,110.18571428571428,114.06543209876546,49.6,45.82857142857143,46.997942386831284,13.4,12.571428571428571,12.045267489711938,17.8,16.571428571428573,16.78326474622771,73.8,72.0,73.20301783264748,14.4,13.328571428571427,13.909053497942388,9.2,8.714285714285714,8.938271604938272,0.3536,0.307,0.3199931412894376,20.2,17.428571428571427,17.75308641975309,0.292,0.3037142857142857,0.28176954732510295,6.0,5.285714285714286,5.027434842249658,56.3,55.728571428571435,57.25802469135803,35.4,35.857142857142854,35.689986282578886,0.5528000000000001,0.5447142857142857,0.5610713305898491,14.64,16.45714285714286,15.627297668038413,11.0,12.714285714285714,11.78189300411523,37.6,39.57142857142857,38.29766803840879,0.5780000000000001,0.5568571428571428,0.5958079561042525,22.2,22.285714285714285,23.1124828532236,0.6796,0.6997142857142856,0.7028422496570647,3.4,2.7142857142857144,3.5596707818930042
2009-12-09,"Viejas Arena, San Diego, California",Cal State Fullerton,San Diego State,Home,64.5,20,10.0,3,97.1,86.4,21,0.566,61,0.508,31,0.525,32,0.406,13,2,200.0,117.1,47.5,17,15,82,12.9,9,0.23,14.0,0.5,7.0,61.3,38,0.538,14.8,13,47.0,0.511,24.0,0.778,7,43.160000000000004,43.3125,41.501920438957484,11.6,12.125,11.71604938271605,10.459999999999999,9.9625,12.535985368084136,3.4,3.5,4.205304069501601,97.84,94.3,94.51284865112028,62.120000000000005,62.75,61.5846364883402,20.2,22.625,21.763145861911298,0.5294,0.531375,0.549117055326932,55.2,56.5,55.033836305441255,0.4796,0.48475,0.5028427069044353,26.6,27.5,27.759945130315508,0.33199999999999996,0.330625,0.33905715592135355,18.4,18.625,18.658436213991774,0.6476000000000001,0.613625,0.6065962505715594,11.8,11.375,11.263831732967537,1.8,1.375,1.7439414723365343,205.0,203.125,205.55555555555557,113.52000000000001,110.1,112.54362139917698,47.54,45.9,46.79862825788753,12.8,12.5,12.030178326474626,17.4,16.625,16.855509830818477,70.4,71.625,71.80201188843165,12.56,12.45,11.372702331961593,7.8,8.125,7.292181069958849,0.3624,0.31575,0.33899542752629175,19.8,17.75,18.502057613168727,0.2692,0.297,0.2711796982167353,5.4,5.25,5.018289894833106,55.260000000000005,55.1125,55.10534979423869,33.0,35.125,33.793324188385924,0.549,0.54675,0.5610475537265661,15.6,17.0,17.351531778692276,11.6,13.125,13.187928669410153,35.4,38.75,36.531778692272525,0.5886,0.570625,0.6195386374028351,21.2,22.25,22.7416552354824,0.6961999999999999,0.706,0.7185614997713765,4.2,3.125,4.373113854595337
2009-12-12,"Viejas Arena, San Diego, California",Arizona,San Diego State,Home,29.6,8,28.6,10,75.4,65.5,21,0.518,56,0.482,27,0.161,9,0.556,5,2,200.0,103.3,58.6,15,20,63,16.4,10,0.232,13.0,0.308,4.0,62.1,36,0.523,24.1,18,43.0,0.535,23.0,0.8,8,45.58,45.666666666666664,49.16794695930499,13.4,13.0,14.477366255144034,11.86,9.966666666666667,11.690656912056092,3.8,3.4444444444444446,3.803536046334401,97.91999999999999,94.61111111111111,95.37523243408019,65.32000000000001,65.37777777777778,69.85642432556014,20.6,22.444444444444443,21.508763907940867,0.5536,0.5352222222222223,0.554744703551288,56.4,57.0,57.022557536960846,0.5048,0.48733333333333334,0.504561804602957,28.6,27.88888888888889,28.83996342021034,0.3752,0.3522222222222222,0.40103810394756906,21.4,20.11111111111111,23.105624142661185,0.5758,0.5905555555555556,0.539730833714373,11.8,11.555555555555555,11.842554488645025,2.0,1.4444444444444444,1.829294314891023,205.0,202.77777777777777,203.70370370370372,116.28,110.87777777777778,114.062414266118,47.94,46.077777777777776,47.03241883859169,13.2,13.0,13.686785550983085,17.6,16.444444444444443,16.237006553878985,74.4,72.77777777777777,75.20134125895444,12.48,12.5,11.881801554641061,8.0,8.222222222222221,7.861454046639233,0.3174,0.30622222222222223,0.3026636183508612,17.6,17.333333333333332,17.001371742112486,0.31320000000000003,0.3195555555555556,0.34745313214449025,5.4,5.444444444444445,5.678859929888738,56.17999999999999,55.8,57.17023319615913,33.8,35.44444444444444,35.19554945892395,0.5584,0.5457777777777778,0.5533650358177108,15.34,16.755555555555556,16.501021185794855,11.8,13.11111111111111,13.12528577960677,38.8,39.666666666666664,40.02118579484835,0.5974,0.5640000000000001,0.58335909160189,23.2,22.444444444444443,23.1611034903216,0.7018,0.714,0.7383743331809177,5.0,3.5555555555555554,5.248742569730224
2009-12-19,"Wells Fargo Arena, Tempe, Arizona",San Diego State,Arizona State,Home,55.6,10,17.4,4,85.9,77.1,28,0.443,44,0.409,18,0.432,19,0.684,13,3,200.0,81.3,48.0,11,19,52,10.9,7,0.341,15.0,0.2,3.0,65.0,39,0.49,31.4,23,29.0,0.517,15.0,0.727,8,43.68,44.06,42.64529797287,13.2,12.5,12.318244170096023,16.5,11.83,17.327104608037395,5.4,4.1,5.869024030889601,88.08,92.69,88.71682162272013,69.18,65.39,68.40428288370677,22.2,22.3,21.339175938627246,0.5572,0.5335,0.542496469034192,57.0,56.9,56.681705024640564,0.5144,0.4868,0.49704120306863797,29.4,27.8,28.22664228014023,0.3508,0.3331,0.32102540263171275,20.2,19.0,18.40374942844079,0.5536,0.5871000000000001,0.5451538891429154,10.8,10.9,9.561702992430018,2.0,1.5,1.8861962099273488,205.0,202.5,202.46913580246917,114.84,110.12,110.47494284407867,50.620000000000005,47.33,50.88827922572779,13.6,13.2,14.124523700655391,17.2,16.8,17.49133770258599,74.4,71.8,71.13422750596963,13.3,12.89,13.387867703094042,8.6,8.4,8.574302697759489,0.2884,0.2988,0.2791090789005741,16.2,16.9,15.667581161408325,0.3048,0.3184,0.3343020880963269,4.8,5.3,5.119239953259159,59.48,56.42999999999999,58.81348879743942,35.8,35.5,35.46369963928264,0.5582,0.5435000000000001,0.5432433572118072,17.28,17.490000000000002,19.034014123863237,13.4,13.6,14.750190519737847,40.8,40.0,41.014123863232236,0.6074,0.5610999999999999,0.5672393944012601,24.6,22.5,23.10740232688107,0.7418,0.7226,0.7589162221206118,6.0,4.0,6.16582837982015
2009-12-22,"Knapp Center, Des Moines, Iowa",San Diego State,Drake,Away,40.0,10,10.0,3,105.8,84.4,27,0.557,53,0.472,25,0.453,24,0.708,17,3,225.0,110.1,36.7,11,18,76,7.2,5,0.358,19.0,0.474,9.0,61.3,38,0.59,19.1,14,34.0,0.471,16.0,0.75,9,44.239999999999995,45.10909090909091,46.963531981913334,11.4,12.272727272727273,11.545496113397348,17.580000000000002,12.336363636363636,17.35140307202493,5.6,4.090909090909091,5.246016020593068,90.72,92.07272727272726,87.77788108181343,69.76,66.45454545454545,71.30285525580452,23.0,22.818181818181817,23.5594506257515,0.5286000000000001,0.5252727272727272,0.509330979356128,53.0,55.72727272727273,52.454470016427045,0.48360000000000003,0.4797272727272727,0.467694135379092,25.8,26.90909090909091,24.817761520093487,0.36219999999999997,0.34209090909090906,0.3580169350878085,19.2,19.0,18.60249961896053,0.5738000000000001,0.5959090909090908,0.591435926095277,10.6,11.090909090909092,10.707801994953346,2.2,1.6363636363636365,2.257464139951566,205.0,202.27272727272728,201.64609053497946,104.14000000000001,107.5,100.74996189605245,48.8,47.39090909090908,49.92551948381853,12.8,13.0,13.083015800436929,17.2,17.0,17.994225135057327,67.0,70.0,64.75615167064643,11.84,12.70909090909091,12.558578468729362,7.6,8.272727272727273,8.04953513183966,0.3066,0.30263636363636365,0.2997393859337161,16.0,16.727272727272727,15.445054107605552,0.30720000000000003,0.30763636363636365,0.28953472539755126,4.8,5.090909090909091,4.412826635506106,59.260000000000005,57.209090909090904,60.87565919829295,35.8,35.81818181818182,36.64246642618843,0.5382,0.5386363636363636,0.5254955714745382,21.840000000000003,18.754545454545454,23.156009415908827,16.6,14.454545454545455,17.500127013158565,37.0,39.0,37.009415908821495,0.5732,0.5570909090909091,0.5504929296008401,21.0,21.818181818181817,20.40493488458738,0.7538,0.723,0.7482774814137413,6.8,4.363636363636363,6.7772189198801005
2009-12-29,"Viejas Arena, San Diego, California",UC-Riverside,San Diego State,Home,42.1,8,20.8,10,85.5,48.1,17,0.41,50,0.38,19,0.68,34,0.5,17,3,200.0,93.5,57.1,12,15,58,11.3,7,0.4,20.0,0.15,3.0,52.7,29,0.438,16.7,12,30.0,0.533,16.0,0.769,10,46.08,44.68333333333334,44.642354654608894,11.8,12.083333333333334,11.0303307422649,16.24,12.141666666666666,14.900935381349953,5.0,4.0,4.497344013728712,92.2,93.21666666666665,93.78525405454229,73.64,67.95,75.66857017053636,23.0,23.166666666666668,24.706300417167668,0.5282,0.5279166666666667,0.5252206529040854,53.4,55.5,52.6363133442847,0.476,0.4790833333333333,0.46912942358606136,25.6,26.75,24.878507680062327,0.3822,0.35133333333333333,0.38967795672520567,20.4,19.416666666666668,20.401666412640353,0.5820000000000001,0.60525,0.6302906173968513,11.6,11.583333333333334,12.805201329968899,2.4,1.75,2.5049760933010443,205.0,204.16666666666666,209.43072702331966,104.25999999999999,107.71666666666665,103.86664126403497,47.44,46.5,45.51701298921236,13.2,12.833333333333334,12.388677200291287,17.8,17.083333333333332,17.99615009003822,68.4,70.5,68.50410111376429,10.74,12.25,10.772385645819575,7.0,8.0,7.03302342122644,0.3076,0.30725,0.3191595906224774,16.2,16.916666666666668,16.630036071737035,0.3464,0.3215,0.35102315026503417,5.6,5.416666666666667,5.9418844236707375,60.1,57.550000000000004,61.0171061321953,36.2,36.0,37.09497761745895,0.5404000000000001,0.5429166666666666,0.5469970476496921,22.04,18.783333333333335,21.804006277272553,16.8,14.416666666666666,16.333418008772377,37.2,38.583333333333336,36.00627727254766,0.5402,0.5499166666666667,0.52399528640056,20.0,21.333333333333332,18.936623256391588,0.7609999999999999,0.72525,0.7488516542758276,7.6,4.75,7.518145946586734
2010-01-05,"Viejas Arena, San Diego, California",New Mexico,San Diego State,Home,70.8,17,11.1,4,97.0,60.5,27,0.509,54,0.444,24,0.574,31,0.613,19,3,200.0,112.1,50.0,15,22,74,16.7,11,0.333,18.0,0.389,7.0,56.0,42,0.538,15.1,12,36.0,0.472,17.0,0.8,12,46.36,44.48461538461538,43.7949031030726,11.2,11.76923076923077,10.020220494843267,17.360000000000003,12.807692307692308,16.867290254233303,6.0,4.461538461538462,6.331562675819141,89.94000000000001,92.62307692307692,91.0235027030282,72.3,66.42307692307692,66.47904678035758,22.8,22.692307692307693,22.137533611445114,0.4988,0.5188461538461538,0.48681376860272363,52.8,55.07692307692308,51.75754222952314,0.4502,0.47146153846153843,0.4394196157240409,24.0,26.153846153846153,22.919005120041554,0.4502,0.37661538461538463,0.48645197115013716,23.6,20.53846153846154,24.93444427509357,0.5708,0.5971538461538461,0.5868604115979009,13.0,12.0,14.2034675533126,2.6,1.8461538461538463,2.6699840622006965,205.0,203.84615384615384,206.28715134887977,101.05999999999999,106.62307692307692,100.41109417602331,49.580000000000005,47.315384615384616,49.37800865947491,13.2,12.76923076923077,12.259118133527526,17.4,16.923076923076923,16.997433393358815,66.2,69.53846153846153,65.00273407584287,11.74,12.176923076923078,10.948257097213052,7.6,7.923076923076923,7.022015614150961,0.3122,0.3143846153846154,0.3461063937483183,16.2,17.153846153846153,17.753357381158025,0.32639999999999997,0.3083076923076923,0.2840154335100228,5.2,5.230769230769231,4.961256282447159,60.48,57.176923076923075,58.24473742146354,36.0,35.46153846153846,34.39665174497264,0.5157999999999999,0.5348461538461539,0.5106646984331281,21.220000000000002,18.623076923076923,20.102670851515036,16.0,14.23076923076923,14.888945339181586,36.6,37.92307692307692,34.004184848365114,0.5134000000000001,0.5486153846153846,0.5269968576003734,18.8,20.923076923076923,17.957748837594394,0.7647999999999999,0.7286153846153846,0.7555677695172184,8.4,5.153846153846154,8.345430631057823
2010-01-09,"Arena-Auditorium, Laramie, Wyoming",San Diego State,Wyoming,Home,67.7,21,7.9,3,121.4,59.3,19,0.616,56,0.554,31,0.411,23,0.609,14,4,200.0,118.6,57.7,12,19,83,7.1,5,0.268,15.0,0.467,7.0,58.5,31,0.62,22.3,18,41.0,0.585,24.0,0.75,12,47.62,46.364285714285714,52.79660206871507,10.6,12.142857142857142,12.346813663228845,17.580000000000002,12.685714285714285,14.94486016948887,6.2,4.428571428571429,5.554375117212761,89.92,92.93571428571428,93.01566846868548,67.11999999999999,66.0,64.48603118690505,24.0,23.0,23.75835574096341,0.48740000000000006,0.5181428571428571,0.4942091790684825,51.4,55.0,52.50502815301543,0.43740000000000007,0.46950000000000003,0.440946410482694,22.6,26.0,23.27933674669437,0.45999999999999996,0.3907142857142857,0.5156346474334248,23.4,21.285714285714285,26.956296183395715,0.6122,0.5982857142857142,0.595573607731934,14.2,12.5,15.8023117022084,2.8,1.9285714285714286,2.7799893748004645,205.0,203.57142857142858,204.19143423258652,100.05999999999999,107.01428571428572,104.30739611734887,50.080000000000005,47.50714285714286,49.58533910631661,12.8,12.928571428571429,13.172745422351685,18.8,17.285714285714285,18.664955595572543,64.6,69.85714285714286,68.00182271722858,12.5,12.5,12.865504731475369,8.0,8.142857142857142,8.348010409433975,0.33280000000000004,0.3157142857142857,0.34173759583221225,17.0,17.214285714285715,17.835571587438686,0.30419999999999997,0.3140714285714286,0.3190102890066818,5.2,5.357142857142857,5.64083752163144,59.42,57.09285714285714,57.49649161430903,36.8,35.92857142857143,36.93110116331509,0.5158,0.5350714285714285,0.5197764656220855,21.28,18.37142857142857,18.435113901010027,15.8,14.071428571428571,13.925963559454392,34.4,37.785714285714285,34.669456565576745,0.5056,0.5431428571428571,0.5086645717335823,17.4,20.642857142857142,17.63849922506293,0.7692,0.7337142857142858,0.7703785130114791,9.4,5.642857142857143,9.563620420705217
