date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-20,"Orleans Arena, Paradise, Nevada",South Florida,San Diego,Away,55.6,10,2.6,1,109.5,74.1,23,0.45,50,0.36,18,0.4,20,0.75,15,8,200.0,95.2,32.3,7,20,60,3.2,2,0.44,22.0,0.409,9.0,51.7,30,0.504,19.2,14,28.0,0.321,9.0,0.385,5,56.879999999999995,56.879999999999995,53.25555555555556,12.2,12.2,11.34567901234568,4.64,4.64,4.170370370370372,1.6,1.6,1.4567901234567906,105.3,105.3,107.64320987654324,68.06,68.06,67.77530864197533,22.2,22.2,21.049382716049386,0.5086,0.5086,0.4980000000000001,48.6,48.6,48.67901234567902,0.438,0.438,0.42646913580246926,21.0,21.0,20.71604938271605,0.504,0.504,0.5104567901234569,22.6,22.6,23.308641975308646,0.7638,0.7638,0.7698271604938272,17.8,17.8,18.506172839506178,3.6,3.6,4.407407407407408,205.0,205.0,203.70370370370372,102.94000000000001,102.94000000000001,104.28024691358026,36.480000000000004,36.480000000000004,36.31111111111112,8.8,8.8,9.012345679012347,20.0,20.0,20.370370370370374,67.0,67.0,67.16049382716051,8.98,8.98,8.81604938271605,5.8,5.8,5.641975308641976,0.3778,0.3778,0.3679876543209878,18.6,18.6,18.12345679012346,0.376,0.376,0.3939135802469136,7.2,7.2,7.222222222222223,53.67999999999999,53.67999999999999,52.84567901234569,31.0,31.0,30.061728395061735,0.5702,0.5702,0.5654691358024693,20.880000000000003,20.880000000000003,19.94320987654321,14.8,14.8,14.12345679012346,30.0,30.0,30.55555555555556,0.469,0.469,0.44545679012345685,13.8,13.8,13.49382716049383,0.5376000000000001,0.5376000000000001,0.4902592592592593,3.6,3.6,3.7407407407407414
2010-01-14,"Jenny Craig Pavillion, San Diego, California",Portland,San Diego,Away,60.0,12,7.9,3,105.0,56.0,14,0.444,54,0.37,20,0.111,6,1.0,6,11,200.0,90.0,25.8,8,21,54,10.0,6,0.426,23.0,0.348,8.0,39.3,22,0.475,17.5,12,31.0,0.387,12.0,0.421,8,56.58,56.666666666666664,54.037037037037045,12.6,11.833333333333334,10.897119341563787,4.040000000000001,4.3,3.646913580246915,1.4,1.5,1.3045267489711938,109.7,106.0,108.2621399176955,68.14,69.06666666666666,69.88353909465022,21.2,22.333333333333332,21.69958847736626,0.5229999999999999,0.4988333333333333,0.4820000000000001,49.6,48.833333333333336,49.119341563786016,0.4478,0.425,0.4043127572016462,21.8,20.5,19.81069958847737,0.4596,0.48666666666666664,0.4736378600823047,21.0,22.166666666666668,22.205761316872433,0.7638,0.7615,0.7632181069958849,16.6,17.333333333333332,17.337448559670786,5.0,4.333333333333333,5.604938271604939,205.0,204.16666666666666,202.46913580246917,104.8,101.64999999999999,101.25349794238684,36.480000000000004,35.78333333333333,34.97407407407408,8.2,8.5,8.341563786008232,18.4,20.0,20.24691358024692,68.0,65.83333333333333,64.77366255144034,7.74,8.016666666666667,6.944032921810701,5.0,5.166666666666667,4.427983539094652,0.368,0.3881666666666666,0.39199176954732523,18.6,19.166666666666668,19.415637860082306,0.4032,0.3815,0.39894238683127575,7.8,7.5,7.814814814814816,53.0,53.35,52.463786008230464,29.4,30.833333333333332,30.041152263374492,0.5766,0.5591666666666667,0.5449794238683129,20.58,20.599999999999998,19.695473251028808,14.6,14.666666666666666,14.082304526748974,31.0,29.666666666666668,29.70370370370371,0.4636,0.4443333333333333,0.4039711934156379,14.0,13.0,11.995884773662555,0.5146,0.5121666666666667,0.45517283950617293,4.4,3.8333333333333335,4.1604938271604945
2010-01-16,"Jenny Craig Pavillion, San Diego, California",Gonzaga,San Diego,Away,35.0,7,2.8,1,111.5,60.0,16,0.353,58,0.345,20,0.276,16,0.563,9,12,200.0,82.0,31.7,9,17,50,11.5,7,0.259,15.0,0.067,1.0,41.0,25,0.381,13.3,9,43.0,0.442,19.0,0.4,8,54.04,57.142857142857146,56.024691358024704,11.8,11.857142857142858,11.264746227709193,4.9799999999999995,4.814285714285715,5.064609053497944,1.8,1.7142857142857142,1.8696844993141293,111.86000000000001,105.85714285714286,107.17475994513035,64.08,67.2,65.25569272976682,18.0,21.142857142857142,19.13305898491084,0.48819999999999997,0.491,0.4693333333333334,52.8,49.57142857142857,50.746227709190684,0.406,0.41714285714285715,0.3928751714677642,21.4,20.428571428571427,19.87379972565158,0.324,0.433,0.35275857338820316,16.2,19.857142857142858,16.803840877914958,0.7971999999999999,0.7955714285714286,0.8421454046639234,12.8,15.714285714285714,13.558299039780525,7.0,5.285714285714286,7.4032921810699595,205.0,203.57142857142858,201.64609053497946,101.94000000000001,99.98571428571428,97.50233196159124,32.3,34.357142857142854,31.916049382716054,8.6,8.428571428571429,8.227709190672154,19.4,20.142857142857142,20.49794238683128,64.4,64.14285714285714,61.18244170096023,8.3,8.3,7.962688614540467,5.2,5.285714285714286,4.951989026063101,0.39,0.39357142857142857,0.4033278463648835,20.8,19.714285714285715,20.610425240054873,0.42279999999999995,0.3767142857142857,0.38196159122085055,8.8,7.571428571428571,7.876543209876544,47.28,51.34285714285714,48.07585733882031,26.6,29.571428571428573,27.360768175582997,0.5338,0.5471428571428572,0.521652949245542,17.88,20.157142857142855,18.963648834019207,12.4,14.285714285714286,13.38820301783265,32.0,29.857142857142858,30.135802469135808,0.3948,0.4361428571428571,0.39831412894375867,12.6,12.857142857142858,11.997256515775037,0.43879999999999997,0.4991428571428571,0.4437818930041153,5.2,4.428571428571429,5.440329218106997
2010-02-11,"Chiles Center, Portland, Oregon",San Diego,Portland,Home,77.3,17,2.8,1,111.1,62.5,16,0.552,48,0.458,22,0.208,10,0.3,3,17,200.0,88.9,18.5,4,15,56,11.1,7,0.396,19.0,0.474,9.0,39.2,20,0.531,22.3,15,29.0,0.448,13.0,0.346,9,50.559999999999995,54.375,49.0164609053498,11.0,11.25,9.843164151806128,4.32,4.5625,4.309739368998629,1.6,1.625,1.5797896662094195,112.26000000000002,106.5625,108.61650663008692,64.78,66.3,63.50379515317788,18.2,20.5,18.08870598994056,0.472,0.47375,0.4305555555555556,52.2,50.625,53.16415180612712,0.4062,0.40812499999999996,0.3769167809785095,21.2,20.375,19.915866483767722,0.33659999999999995,0.413375,0.32717238225880213,16.8,19.375,16.535893918609972,0.7714,0.7665,0.7490969364426157,12.8,14.875,12.03886602652035,8.8,6.125,8.935528120713307,200.0,203.125,201.09739368998632,98.66,97.7375,92.33488797439416,31.639999999999997,34.025,31.844032921810705,8.0,8.5,8.485139460448103,19.6,19.75,19.331961591220853,62.0,62.375,57.45496113397349,8.059999999999999,8.7,9.141792409693645,5.0,5.5,5.634659350708734,0.3598,0.37675,0.3552185642432557,18.8,19.125,18.740283493369915,0.34819999999999995,0.33799999999999997,0.27697439414723374,6.8,6.75,5.584362139917697,46.9,50.05,45.71723822588021,26.2,29.0,26.573845450388667,0.5178,0.526375,0.47476863283036136,17.7,19.3,17.075765889346137,12.4,13.625,11.9254686785551,33.4,31.5,34.42386831275721,0.4276,0.436875,0.4128760859625058,14.4,13.625,14.331504343850025,0.4046,0.48675,0.42918792866941025,6.0,4.875,6.293552812071331
2010-02-13,"McCarthey Athletic Center, Spokane, Washington",San Diego,Gonzaga,Home,43.5,10,10.5,4,113.9,62.5,16,0.464,56,0.411,23,0.304,17,0.765,13,18,200.0,90.3,25.8,7,20,65,9.7,7,0.304,17.0,0.353,6.0,41.8,23,0.507,21.1,17,39.0,0.436,17.0,0.333,9,53.35999999999999,56.92222222222222,58.4443072702332,10.6,11.88888888888889,12.228776101204087,3.22,4.366666666666666,3.806492912665753,1.2,1.5555555555555556,1.386526444139613,110.0,107.06666666666666,109.44433775339128,64.16,65.87777777777778,63.169196768785255,17.2,20.0,17.392470659960374,0.45099999999999996,0.4824444444444445,0.4710370370370371,51.0,50.333333333333336,51.44276787075142,0.3866,0.4136666666666666,0.4039445206523397,19.6,20.555555555555557,20.610577655845148,0.34120000000000006,0.39055555555555554,0.28744825483920144,16.8,18.333333333333332,14.35726261240665,0.6914,0.7146666666666666,0.5993979576284105,12.0,13.555555555555555,9.025910684346902,11.0,7.333333333333333,11.623685413808872,200.0,202.77777777777777,200.73159579332423,93.16,96.75555555555556,91.18992531626279,30.54,32.3,27.396021947873805,7.6,8.0,6.990092973632069,18.2,19.22222222222222,17.887974394147236,57.6,61.666666666666664,56.96997408931566,8.78,8.966666666666667,9.794528273129098,5.4,5.666666666666667,6.089772900472489,0.35760000000000003,0.3788888888888889,0.3688123761621705,18.2,19.11111111111111,18.82685566224661,0.34299999999999997,0.3531111111111111,0.3426495960981558,6.4,7.0,6.722908093278464,45.260000000000005,48.84444444444445,43.54482548392014,24.8,28.0,24.382563633592447,0.49119999999999997,0.5268888888888889,0.4935124218869076,18.3,19.633333333333333,18.81717725956409,12.8,13.777777777777779,12.950312452370067,32.8,31.22222222222222,32.61591220850481,0.39840000000000003,0.4381111111111111,0.4245840573083372,13.2,13.555555555555555,13.887669562566685,0.39380000000000004,0.47111111111111115,0.40145861911294023,7.0,5.333333333333333,7.195701874714222
2010-03-06,"Orleans Arena, Paradise, Nevada",Portland,San Diego,Away,38.9,7,6.1,2,120.0,72.0,19,0.5,43,0.419,18,0.488,21,0.667,14,21,200.0,95.0,20.8,4,21,57,6.7,4,0.442,19.0,0.368,7.0,46.9,23,0.538,17.4,11,24.0,0.458,11.0,0.344,11,54.279999999999994,55.58,53.46287151348881,11.2,11.7,11.485850734136058,5.32,4.9799999999999995,6.037661941777169,2.0,1.8,2.2576842960930756,110.2,107.75,110.92955850226086,63.019999999999996,65.53999999999999,62.946131179190175,17.0,19.6,16.928313773306918,0.45260000000000006,0.4806,0.4686913580246914,53.2,50.9,52.961845247167616,0.3888,0.41340000000000005,0.4062963471015598,20.6,20.8,21.407051770563434,0.2598,0.3819,0.29296550322613435,13.8,18.2,15.238175074937768,0.6756,0.7197,0.6545986384189404,9.2,13.5,10.350607122897935,13.2,8.4,13.749123609205915,200.0,202.5,200.48773052888282,89.28,96.11,90.89328354417519,26.82,31.65,26.86401463191587,7.0,7.9,6.993395315754713,18.6,19.3,18.59198292943149,57.0,62.0,59.64664939287711,9.1,9.040000000000001,9.763018848752733,5.8,5.8,6.393181933648327,0.365,0.3714,0.34720825077478035,19.2,18.9,18.217903774831075,0.3302,0.35309999999999997,0.34609973073210387,6.6,6.9,6.4819387288523105,42.6,48.14,42.9632169892801,24.0,27.5,23.921709089061636,0.4796,0.5248999999999999,0.4980082812579384,18.68,19.78,19.57811817304273,13.4,14.1,14.300208301580046,34.0,32.0,34.743941472336545,0.40679999999999994,0.43789999999999996,0.4283893715388915,14.0,13.9,14.925113041711125,0.377,0.45730000000000004,0.37863907940862684,7.8,5.7,7.797134583142815
2010-11-15,"Maples Pavilion, Stanford, California",San Diego,Stanford,Home,52.9,9,9.3,4,100.0,55.6,20,0.444,45,0.378,17,0.2,9,0.889,8,1,200.0,75.0,20.0,5,20,48,9.4,6,0.489,22.0,0.273,6.0,41.0,25,0.487,26.9,18,23.0,0.478,11.0,0.5,1,50.94,54.063636363636355,48.608581008992545,10.6,11.272727272727273,9.990567156090705,6.02,5.081818181818182,6.058441294518113,2.2,1.8181818181818181,2.1717895307287174,112.3,108.86363636363636,113.95303900150725,62.6,66.12727272727273,65.96408745279345,16.2,19.545454545454547,17.61887584887128,0.4626,0.4823636363636364,0.47912757201646095,51.8,50.18181818181818,49.64123016477842,0.4006,0.4139090909090909,0.4105308980677066,20.6,20.545454545454547,20.271367847042292,0.2774,0.3915454545454546,0.35797700215075623,14.0,18.454545454545453,17.158783383291848,0.659,0.7149090909090909,0.658732425612627,9.0,13.545454545454545,11.567071415265291,15.8,9.545454545454545,16.166082406137278,200.0,202.27272727272728,200.3251536859219,89.24,96.0090909090909,92.26218902945013,24.520000000000003,30.663636363636364,24.84267642127725,6.4,7.545454545454546,5.995596877169809,18.8,19.454545454545453,19.394655286287662,56.4,61.54545454545455,58.764432928584746,9.8,8.827272727272726,8.742012565835156,6.2,5.636363636363637,5.595454622432218,0.3654,0.3778181818181818,0.37880550051652023,18.6,18.90909090909091,18.47860251655405,0.32199999999999995,0.35445454545454547,0.3533998204880693,6.2,6.909090909090909,6.654625819234874,41.64,48.027272727272724,44.2754779928534,22.6,27.09090909090909,23.614472726041093,0.4864,0.526090909090909,0.511338854171959,18.32,19.563636363636363,18.852078782028485,12.8,13.818181818181818,13.200138867720032,33.2,31.272727272727273,31.162627648224365,0.43420000000000003,0.4397272727272727,0.4382595810259277,14.4,13.636363636363637,13.616742027807417,0.3688,0.447,0.36709271960575124,9.0,6.181818181818182,8.864756388761878
2010-11-19,"Jenny Craig Pavillion, San Diego, California",Boise State,San Diego,Away,60.0,12,20.0,8,95.6,62.5,20,0.5,48,0.417,20,0.313,15,0.8,12,2,200.0,88.2,10.3,3,16,60,7.4,5,0.354,17.0,0.471,8.0,37.7,23,0.544,20.4,14,31.0,0.387,12.0,0.333,1,49.519999999999996,53.96666666666667,50.039054005995034,10.0,11.083333333333334,9.66037810406047,6.3,5.433333333333334,7.138960863012077,2.4,2.0,2.7811930204858117,111.3,108.125,109.30202600100483,62.52,65.25,62.509391635195634,17.4,19.583333333333332,18.412583899247522,0.4626,0.4791666666666667,0.46741838134430735,50.0,49.75,48.09415344318562,0.4022,0.41091666666666665,0.3996872653784711,20.0,20.25,19.180911898028196,0.2952,0.3755833333333333,0.3053180014338375,14.6,17.666666666666668,14.439188922194566,0.6368,0.7294166666666667,0.7354882837417513,9.4,13.083333333333334,10.37804761017686,13.8,8.833333333333334,11.11072160409152,200.0,202.08333333333334,200.21676912394793,86.24,94.25833333333333,86.50812601963342,23.36,29.775000000000002,23.22845094751817,5.8,7.333333333333333,5.663731251446539,18.6,19.5,19.59643685752511,55.2,60.416666666666664,55.1762886190565,9.680000000000001,8.875,8.961341710556772,6.2,5.666666666666667,5.730303081621479,0.378,0.3870833333333333,0.4155370003443468,18.4,19.166666666666668,19.652401677702702,0.307,0.3476666666666666,0.32659988032537957,5.8,6.833333333333333,6.43641721282325,41.98,47.44166666666666,43.18365199523561,23.2,26.916666666666668,24.076315150694064,0.4888,0.5228333333333334,0.503225902781306,20.2,20.175,21.53471918801899,14.0,14.166666666666666,14.800092578480022,31.6,30.583333333333332,28.441751765482913,0.4524,0.4429166666666667,0.4515063873506185,14.2,13.416666666666666,12.744494685204945,0.3846,0.45141666666666663,0.4113951464038342,7.6,5.75,6.243170925841252
2010-11-21,"Jenny Craig Pavillion, San Diego, California",Cal State Fullerton,San Diego,Away,60.0,12,10.7,3,93.9,65.6,21,0.442,52,0.385,20,0.423,22,0.591,13,3,200.0,89.4,30.6,11,20,59,4.5,3,0.288,15.0,0.4,6.0,47.1,32,0.472,19.6,15,37.0,0.378,14.0,0.25,1,54.519999999999996,54.43076923076923,53.35936933733003,11.0,11.153846153846153,10.440252069373647,9.74,6.553846153846154,11.425973908674717,3.8,2.4615384615384617,4.520795346990541,108.12,107.16153846153846,104.73468400066989,63.02,65.03846153846153,62.50626109013042,18.2,19.615384615384617,18.94172259949835,0.492,0.4807692307692308,0.47827892089620494,48.0,49.61538461538461,48.06276896212375,0.4166,0.41138461538461535,0.4054581769189808,20.0,20.23076923076923,19.45394126535213,0.3026,0.3707692307692308,0.30787866762255833,14.4,17.46153846153846,14.626125948129712,0.6842,0.7348461538461539,0.7569921891611676,10.0,13.0,10.918698406784575,11.8,8.307692307692308,8.073814402727681,200.0,201.92307692307693,200.14451274929863,87.47999999999999,93.79230769230769,87.07208401308895,19.08,28.27692307692308,18.91896729834545,4.6,7.0,4.7758208342976936,18.4,19.23076923076923,18.39762457168341,57.2,60.38461538461539,56.784192412704336,8.860000000000001,8.761538461538462,8.440894473704514,5.8,5.615384615384615,5.486868721080986,0.39699999999999996,0.3845384615384615,0.3950246668962312,18.8,19.0,18.768267785135137,0.38780000000000003,0.35715384615384616,0.37473325355025305,7.2,6.923076923076923,6.957611475215501,41.32,46.69230769230769,41.355767996823744,22.8,26.615384615384617,23.717543433796045,0.5214000000000001,0.5244615384615384,0.5168172685208707,21.619999999999997,20.192307692307693,21.15647945867933,15.0,14.153846153846153,14.533395052320015,29.2,30.615384615384617,29.29450117698861,0.44139999999999996,0.43861538461538463,0.4300042582337457,12.8,13.307692307692308,12.496329790136631,0.37120000000000003,0.4423076923076923,0.3852634309358895,6.2,5.384615384615385,4.495447283894168
2010-11-28,"The Pit/Bob King Court, Albuquerque, New Mexico",San Diego,New Mexico,Home,50.0,10,3.0,1,110.3,70.4,19,0.398,54,0.37,20,0.111,6,0.5,3,4,200.0,67.6,17.2,5,19,46,5.9,4,0.333,18.0,0.167,3.0,42.9,24,0.405,23.1,17,36.0,0.472,17.0,0.2,1,51.05999999999999,54.82857142857143,55.57291289155336,10.0,11.214285714285714,10.960168046249098,11.32,6.8500000000000005,11.183982605783145,4.2,2.5,4.013863564660361,104.67999999999999,106.21428571428571,101.12312266711326,63.64000000000001,65.07857142857144,63.537507393420285,19.2,19.714285714285715,19.627815066332232,0.47000000000000003,0.47800000000000004,0.46618594726413665,48.8,49.785714285714285,49.37517930808251,0.40199999999999997,0.4095,0.3986387846126539,19.6,20.214285714285715,19.63596084356809,0.3456,0.3745,0.34625244508170555,16.8,17.785714285714285,17.084083965419808,0.7424,0.7245714285714285,0.7016614594407784,12.0,13.0,11.61246560452305,9.0,7.928571428571429,6.382542935151788,200.0,201.78571428571428,200.09634183286576,87.58000000000001,93.47857142857143,87.84805600872598,21.500000000000004,28.442857142857143,22.812644865563634,6.0,7.285714285714286,6.85054722286513,19.4,19.285714285714285,18.931749714455606,57.8,60.285714285714285,57.52279494180289,7.540000000000001,8.457142857142857,7.127262982469676,5.0,5.428571428571429,4.6579124807206576,0.3754,0.3776428571428571,0.35934977793082085,18.0,18.714285714285715,17.512178523423426,0.373,0.3602142857142857,0.3831555023668354,6.6,6.857142857142857,6.638407650143668,42.9,46.721428571428575,43.270511997882494,25.2,27.0,26.478362289197364,0.5096,0.5207142857142857,0.5018781790139138,21.08,20.150000000000002,20.637652972452887,15.0,14.214285714285714,14.688930034880011,30.8,31.071428571428573,31.863000784659075,0.4274,0.4342857142857143,0.41266950548916387,13.0,13.357142857142858,12.997553193424421,0.352,0.42857142857142855,0.34017562062392637,4.6,5.071428571428571,3.330298189262779
