date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-19,"The Pavilion at Ole Miss, Oxford, Mississippi",Seattle,Ole Miss,Home,43.8,7,9.4,3,100.0,61.5,16,0.321,56,0.286,16,0.321,18,0.889,16,4,200,80.0,30.6,11,17,52,9.2,6,0.304,17,0.235,4,43.5,27,0.403,15.8,12,39,0.308,12,0.333,2,42.8,42.8,49.208641975308645,12.6,12.6,14.271604938271606,7.24,7.24,6.88888888888889,2.6,2.6,2.320987654320988,99.14,99.14,100.75432098765434,75.26,75.26,77.8962962962963,27.6,27.6,27.32098765432099,0.4788,0.4788,0.49423456790123466,63.0,63.0,62.91358024691359,0.4412,0.4412,0.4494444444444445,27.8,27.8,28.259259259259267,0.404,0.404,0.4032345679012346,25.0,25.0,24.888888888888893,0.775,0.775,0.8111728395061729,19.6,19.6,20.160493827160494,1.6,1.6,1.8395061728395063,200.0,200.0,200.0,98.85999999999999,98.85999999999999,101.8172839506173,27.72,27.72,28.902469135802477,8.8,8.8,9.17283950617284,19.2,19.2,20.370370370370374,80.0,80.0,82.35802469135803,7.32,7.32,8.103703703703705,5.8,5.8,6.34567901234568,0.33280000000000004,0.33280000000000004,0.3543580246913581,21.0,21.0,22.308641975308646,0.2098,0.2098,0.24029629629629634,4.8,4.8,5.679012345679013,51.67999999999999,51.67999999999999,52.916049382716054,36.4,36.4,36.49382716049384,0.5284,0.5284,0.54520987654321,14.819999999999999,14.819999999999999,15.407407407407408,13.2,13.2,13.790123456790127,42.0,42.0,40.604938271604944,0.5574,0.5574,0.5614938271604939,23.0,23.0,22.580246913580254,0.5466,0.5466,0.5406913580246915,1.4,1.4,1.5555555555555558
2019-11-25,"HP Field House, Orlando, Florida",Seattle,Bucknell,Home,29.2,7,2.6,1,111.6,67.6,23,0.435,62,0.387,24,0.323,20,0.8,16,5,200,101.4,24.3,9,21,70,5.8,4,0.274,17,0.353,6,45.1,32,0.49,10.2,8,45,0.4,18,0.286,2,42.62,42.96666666666667,47.40576131687243,10.6,11.666666666666666,11.847736625514404,7.76,7.6000000000000005,7.725925925925928,2.6,2.6666666666666665,2.547325102880659,102.08,99.28333333333335,100.50288065843623,72.26,72.96666666666667,72.43086419753087,25.6,25.666666666666668,23.547325102880663,0.4176,0.45249999999999996,0.4364897119341565,60.8,61.833333333333336,60.6090534979424,0.385,0.41533333333333333,0.394962962962963,23.4,25.833333333333332,24.172839506172846,0.4114,0.3901666666666667,0.3758230452674897,24.8,23.833333333333332,22.5925925925926,0.8054,0.794,0.8371152263374487,20.0,19.0,18.77366255144033,2.4,2.0,2.5596707818930042,200.0,200.0,200.0,88.72,95.71666666666665,94.5448559670782,23.44,28.2,29.46831275720165,8.4,9.166666666666666,9.781893004115227,19.8,18.833333333333332,19.24691358024692,70.8,75.33333333333333,72.23868312757202,7.82,7.633333333333333,8.469135802469136,6.0,5.833333333333333,6.23045267489712,0.31,0.328,0.3375720164609054,18.8,20.333333333333332,20.539094650205765,0.1996,0.214,0.2385308641975309,4.0,4.666666666666667,5.1193415637860085,47.160000000000004,50.31666666666666,49.77736625514404,34.0,34.833333333333336,33.329218106995896,0.48,0.5075,0.49780658436214,15.84,14.983333333333334,15.538271604938274,13.8,13.0,13.193415637860086,42.0,41.5,40.06995884773663,0.4652,0.5158333333333334,0.4769958847736626,19.4,21.166666666666668,19.053497942386837,0.41319999999999996,0.511,0.47146090534979435,1.6,1.5,1.7037037037037042
2019-11-26,"HP Field House, Orlando, Florida",Western Michigan,Seattle,Home,42.9,9,11.8,4,87.3,74.2,23,0.421,57,0.368,21,0.333,19,0.579,11,5,200,93.7,26.8,11,14,59,7.9,5,0.386,22,0.273,6,47.2,34,0.447,10.9,8,35,0.429,15,0.375,3,44.459999999999994,41.0,41.33717421124829,11.2,11.0,10.231824417009603,6.68,6.885714285714286,6.017283950617285,2.0,2.4285714285714284,2.0315500685871064,101.74000000000001,101.04285714285713,104.2019204389575,73.78,72.2,70.82057613168725,25.4,25.285714285714285,23.364883401920444,0.43520000000000003,0.45,0.43599314128943767,61.4,61.857142857142854,61.0727023319616,0.3946,0.4112857142857143,0.39230864197530874,24.2,25.571428571428573,24.115226337448565,0.41159999999999997,0.3805714285714286,0.35821536351165983,25.0,23.285714285714285,21.7283950617284,0.8286,0.7948571428571428,0.8247434842249659,20.6,18.571428571428573,17.84910836762689,3.2,2.4285714285714284,3.3731138545953363,200.0,200.0,200.0,94.6,96.52857142857144,96.82990397805214,25.44,27.642857142857142,27.745541838134436,9.2,9.142857142857142,9.521262002743486,21.2,19.142857142857142,19.831275720164612,74.0,74.57142857142857,71.49245541838135,8.719999999999999,7.371428571428572,7.579423868312757,6.6,5.571428571428571,5.486968449931414,0.314,0.3202857142857143,0.3163813443072703,19.2,19.857142857142858,19.35939643347051,0.25680000000000003,0.23385714285714285,0.27668724279835394,5.0,4.857142857142857,5.41289437585734,48.440000000000005,49.57142857142857,48.21824417009603,34.6,34.42857142857143,32.886145404663935,0.49860000000000004,0.505,0.49520438957476004,15.080000000000002,14.299999999999999,13.758847736625516,13.2,12.285714285714286,11.462277091906724,42.2,42.0,41.713305898491086,0.4588,0.4992857142857143,0.45133058984910845,19.2,20.714285714285715,18.702331961591227,0.37039999999999995,0.4788571428571428,0.4096406035665296,1.8,1.5714285714285714,1.8024691358024696
2019-11-30,"Connolly Center, Seattle, Washington",Idaho,Seattle,Home,39.3,11,7.3,3,75.3,80.6,25,0.515,65,0.431,28,0.185,12,0.583,7,5,200,101.4,22.2,8,14,74,13.7,10,0.508,33,0.333,11,49.3,33,0.523,13.5,11,32,0.531,17,0.444,4,48.879999999999995,41.2375,41.858116140832195,12.0,10.75,9.821216278006403,9.040000000000001,7.5,7.944855967078191,2.8,2.625,2.6877000457247378,100.7,99.325,98.567946959305,73.05999999999999,72.45,71.94705075445816,24.4,25.0,23.243255601280296,0.4444,0.44637499999999997,0.4309954275262918,59.2,61.25,59.71513488797441,0.3976,0.405875,0.3842057613168725,23.6,25.0,23.076817558299044,0.41340000000000005,0.374625,0.3498102423411066,24.4,22.75,20.818930041152267,0.808,0.767875,0.7428289894833107,19.8,17.625,15.566072245084595,3.8,2.75,3.915409236396891,200.0,200.0,200.0,96.84,96.175,95.78660265203477,26.8,27.5375,27.43036122542296,9.6,9.375,10.014174668495658,19.2,18.5,17.88751714677641,72.6,72.625,67.32830361225425,7.8,7.4375,7.686282578875172,5.6,5.5,5.324645633287609,0.34120000000000006,0.3285,0.33958756287151354,20.2,20.125,20.239597622313674,0.2762,0.23875,0.2754581618655693,5.6,5.0,5.60859625057156,48.739999999999995,49.275,47.87882944673069,34.0,34.375,33.25743026977596,0.5037999999999999,0.49774999999999997,0.47913625971650675,14.98,13.875,12.805898491083678,12.8,11.75,10.308184727937817,39.0,41.125,39.475537265660726,0.4622,0.4905,0.4438870598994057,18.0,20.0,17.468221307727486,0.3788,0.465875,0.39809373571101975,2.2,1.75,2.2016460905349797
2019-12-03,"Connolly Center, Seattle, Washington",Incarnate Word,Seattle,Home,52.2,12,9.7,3,85.7,88.9,32,0.482,55,0.418,23,0.564,31,0.903,28,5,200,115.7,50.0,15,21,81,8.6,6,0.4,22,0.318,7,71.2,47,0.581,18.9,16,33,0.485,16,0.5,5,43.22,41.02222222222222,41.005410760554796,9.6,10.777777777777779,10.214144185337602,6.220000000000001,7.477777777777778,7.729903978052128,2.2,2.6666666666666665,2.7918000304831585,99.22,96.65555555555555,90.81196463953667,73.58,73.35555555555555,74.83136716963878,21.6,25.0,23.828837067520197,0.42540000000000006,0.454,0.4589969516841945,60.4,61.666666666666664,61.47675659198294,0.3686,0.4086666666666667,0.39980384087791504,22.4,25.333333333333332,24.717878372199365,0.2776,0.35355555555555557,0.29487349489407105,16.6,21.555555555555557,17.879286694101513,0.756,0.7473333333333333,0.6895526596555405,12.6,16.444444444444443,12.710714830056396,4.4,3.0,4.276939490931261,200.0,200.0,200.0,93.66,96.75555555555555,97.65773510135652,25.52,26.944444444444443,25.686907483615308,9.6,9.222222222222221,9.342783112330439,18.4,18.0,16.59167809785094,64.4,72.77777777777777,69.5522024081695,9.52,8.133333333333333,9.690855052583448,6.6,6.0,6.883097088858406,0.375,0.34844444444444445,0.3957250419143424,22.8,21.555555555555557,24.49306508154245,0.30280000000000007,0.2492222222222222,0.29463877457704624,7.0,5.666666666666667,7.405730833714374,46.54,49.27777777777778,48.35255296448713,31.2,34.22222222222222,33.17162017985064,0.4702,0.5005555555555555,0.4937575064776712,13.280000000000001,13.833333333333334,13.037265660722452,10.4,11.666666666666666,10.538789818625212,37.6,40.111111111111114,36.98369151044049,0.41459999999999997,0.495,0.47292470659960384,15.4,19.666666666666668,17.312147538484993,0.36760000000000004,0.4634444444444445,0.4133958238073465,2.6,2.0,2.801097393689987
2019-12-07,"ShoWare Center, Kent, Washington",Portland,Seattle,Home,46.2,12,6.3,2,97.3,87.5,28,0.455,66,0.394,26,0.348,23,0.565,13,5,200,100.0,29.7,11,20,73,5.5,4,0.348,23,0.348,8,56.5,39,0.474,9.5,8,43,0.419,18,0.545,6,41.48,42.14,44.736940507036536,9.2,10.9,10.809429456891735,8.16,7.7,8.386602652034753,2.8,2.7,2.861200020322106,91.97999999999999,95.56,89.10797642635778,74.55999999999999,74.91,79.52091144642586,23.8,25.7,26.552558045013466,0.43479999999999996,0.4568,0.4666646344561297,59.0,61.0,59.31783772798863,0.378,0.4096,0.40586922725194335,22.4,25.1,24.145252248132913,0.3452,0.3746,0.3845823299293807,20.0,22.5,22.252857796067673,0.7508,0.7629,0.7607017731036937,15.6,17.6,17.807143220037595,4.8,3.2,4.517959660620841,200.0,200.0,200.0,98.44,98.65,103.67182340090436,30.78,29.25,33.79127165574354,10.8,9.8,11.22852207488696,17.4,18.3,18.061118731900628,67.2,73.6,73.36813493877968,9.04,8.18,9.327236701722299,6.2,6.0,6.588731392572272,0.37439999999999996,0.3536,0.397150027942895,22.2,21.6,23.66204338769497,0.3024,0.2561,0.3024258497180308,6.8,5.8,7.27048722247625,51.260000000000005,51.470000000000006,55.96836864299143,34.6,35.5,37.78108011990043,0.4888,0.5086,0.5228383376517809,13.86,14.34,14.991510440481635,11.0,12.1,12.359193212416809,36.8,39.4,35.65579434029366,0.4306,0.49400000000000005,0.4769498043997359,15.6,19.3,16.874765025656664,0.38760000000000006,0.4671,0.442263882538231,3.2,2.3,3.534064929126658
2019-12-17,"Alaska Airlines Arena, Seattle, Washington",Seattle,Washington,Home,36.4,8,3.4,1,119.1,78.3,18,0.402,61,0.361,22,0.213,13,0.769,10,6,200,86.8,25.0,9,18,59,5.9,4,0.377,23,0.217,5,45.8,27,0.439,13.0,10,38,0.447,17,0.5,6,41.96,42.50909090909091,45.22462700469103,10.2,11.0,11.20628630459449,7.540000000000001,7.572727272727272,7.691068434689836,2.6,2.6363636363636362,2.5741333468814043,91.44,95.71818181818183,91.83865095090519,79.75999999999999,76.05454545454546,82.18060763095058,26.2,25.90909090909091,27.035038696675645,0.46159999999999995,0.4566363636363636,0.46277642297075317,61.0,61.45454545454545,61.545225151992426,0.3996,0.4081818181818182,0.4019128181679623,24.4,25.181818181818183,24.763501498755275,0.3505999999999999,0.3721818181818182,0.3723882199529205,21.0,22.545454545454547,22.50190519737845,0.6859999999999999,0.744909090909091,0.6954678487357959,15.0,17.181818181818183,16.20476214669173,5.0,3.3636363636363638,4.678639773747228,200.0,200.0,200.0,102.44000000000001,98.77272727272727,102.44788226726958,30.6,29.29090909090909,32.42751443716236,10.8,9.909090909090908,11.15234804992464,18.0,18.454545454545453,18.707412487933752,71.4,73.54545454545455,73.24542329251979,8.3,7.9363636363636365,8.051491134481534,5.8,5.818181818181818,5.7258209283815145,0.38320000000000004,0.3530909090909091,0.38076668529526336,23.4,21.727272727272727,23.441362258463315,0.325,0.26445454545454544,0.3176172331453539,7.6,6.0,7.5136581483175,53.86,51.92727272727273,56.14557909532762,37.0,35.81818181818182,38.18738674660029,0.5029999999999999,0.5054545454545454,0.506558891767854,12.6,13.9,13.16100696032109,10.2,11.727272727272727,10.906128808277874,37.6,39.72727272727273,38.10386289352911,0.45280000000000004,0.48718181818181816,0.4576332029331573,16.8,19.181818181818183,17.24984335043778,0.43,0.4741818181818182,0.47650925502548735,4.0,2.6363636363636362,4.356043286084439
2019-12-21,"Connolly Center, Seattle, Washington",Florida A&M,Seattle,Away,22.7,5,14.0,6,102.9,69.6,16,0.387,62,0.355,22,0.258,16,0.563,9,7,200,82.6,21.1,8,14,57,4.3,3,0.323,20,0.2,4,39.3,24,0.409,11.5,9,42,0.429,18,0.462,6,43.4,42.0,42.28308466979402,10.4,10.75,10.137524203062995,7.7,7.2250000000000005,6.260712289793224,2.6,2.5,2.04942223125427,92.94,97.66666666666667,100.92576730060347,81.9,76.24166666666666,80.88707175396705,25.2,25.25,24.0233591311171,0.45499999999999996,0.45208333333333334,0.4425176153138355,60.8,61.416666666666664,61.36348343466162,0.3944,0.40425,0.3882752121119749,24.0,24.916666666666668,23.84233433250352,0.32859999999999995,0.3589166666666667,0.319258813301947,19.6,21.75,19.334603464918967,0.6798,0.7469166666666668,0.719978565823864,13.8,16.583333333333332,14.13650809779449,5.2,3.5833333333333335,5.119093182498152,200.0,200.0,200.0,99.52000000000001,97.77499999999999,97.23192151151306,30.74,28.933333333333334,29.951676291441572,10.8,9.833333333333334,10.43489869994976,17.4,18.416666666666668,18.471608325289168,69.2,72.33333333333333,68.49694886167987,8.319999999999999,7.766666666666667,7.33432742298769,5.8,5.666666666666667,5.150547285587677,0.40380000000000005,0.35508333333333336,0.3795111235301756,24.6,21.833333333333332,23.294241505642212,0.29779999999999995,0.2605,0.28407815543023596,7.4,5.916666666666667,6.675772098878333,54.0,51.416666666666664,52.69705273021842,36.0,35.083333333333336,34.45825783106686,0.4927999999999999,0.4999166666666666,0.4840392611785693,13.16,13.825000000000001,13.107337973547395,10.6,11.583333333333334,10.60408587218525,36.2,39.583333333333336,38.06924192901941,0.4622,0.48383333333333334,0.4540888019554382,16.6,19.0,17.166562233625186,0.4728,0.47633333333333333,0.48433950335032494,4.8,2.9166666666666665,4.904028857389626
2019-12-23,"Connolly Center, Seattle, Washington",Long Beach State,Seattle,Home,58.6,17,12.1,4,73.1,77.4,24,0.486,69,0.42,29,0.203,14,0.857,12,7,200,101.3,25.6,10,17,79,16.7,13,0.406,28,0.321,9,48.6,34,0.522,13.8,12,41,0.488,20,0.5,7,39.36,40.51538461538462,35.75538977986268,9.6,10.307692307692308,8.42501613537533,8.14,7.746153846153846,8.840474859862148,3.0,2.769230769230769,3.366281487502847,96.05999999999999,98.06923076923077,101.58384486706899,80.97999999999999,75.73076923076923,77.12471450264471,23.8,24.53846153846154,21.3489060874114,0.44820000000000004,0.4470769230769231,0.42401174354255705,61.8,61.46153846153846,61.57565562310775,0.39180000000000004,0.4004615384615384,0.37718347474131664,24.2,24.692307692307693,23.22822288833568,0.3136,0.3511538461538461,0.29883920886796467,19.0,21.307692307692307,18.223068976612645,0.6766,0.7327692307692307,0.6676523772159093,13.4,16.0,12.424338731862994,5.6,3.8461538461538463,5.746062121665435,200.0,200.0,200.0,97.3,96.60769230769232,92.35461434100871,29.6,28.33076923076923,27.00111752762772,10.2,9.692307692307692,9.623265799966507,17.4,18.076923076923077,16.981072216859445,68.8,71.15384615384616,64.66463257445325,7.6,7.5,6.32288494865846,5.4,5.461538461538462,4.433698190391785,0.3912,0.35261538461538466,0.36067408235345044,24.2,21.692307692307693,22.196161003761475,0.2832,0.25584615384615383,0.25605210362015735,7.0,5.769230769230769,5.783848065918889,52.42,50.48461538461538,48.231368486812286,34.0,34.23076923076923,30.972171887377907,0.4852,0.4929230769230769,0.4590261741190462,13.280000000000001,13.646153846153847,12.571558649031598,10.8,11.384615384615385,10.069390581456833,37.6,39.76923076923077,39.379494619346275,0.4622,0.47961538461538467,0.4457258679702921,17.2,18.923076923076923,17.44437482241679,0.4902,0.47523076923076923,0.47689300223355,5.4,3.1538461538461537,5.2693525715930845
2019-12-28,"McKeon Pavilion, Moraga, California",Seattle,Saint Mary's,Home,42.9,9,10.3,4,127.3,74.1,20,0.435,54,0.389,21,0.241,13,0.846,11,8,200,87.9,12.5,4,16,58,0.0,0,0.333,18,0.278,5,40.7,24,0.482,14.3,10,36,0.444,16,0.467,7,43.220000000000006,41.80714285714286,43.37025985324179,10.8,10.785714285714286,11.283344090250221,9.1,8.057142857142857,9.9269832399081,3.2,2.857142857142857,3.577520991668565,95.62,96.28571428571429,92.08922991137933,80.34,75.85000000000001,77.21647633509647,23.6,24.5,22.23260405827427,0.44239999999999996,0.44985714285714284,0.44467449569503803,62.6,62.0,64.05043708207184,0.3896,0.4018571428571428,0.39145564982754444,24.4,25.0,25.15214859222379,0.3172,0.3405714285714286,0.26689280591197645,19.4,20.785714285714285,16.815379317741765,0.7314,0.741642857142857,0.7307682514772729,14.4,15.714285714285714,12.282892487908663,6.0,4.071428571428571,6.1640414144436235,200.0,200.0,200.0,97.28,96.94285714285715,95.33640956067248,30.28,28.135714285714283,26.534078351751816,10.6,9.714285714285714,9.74884386664434,18.0,18.0,16.987381477906297,69.8,71.71428571428571,69.44308838296884,8.2,8.157142857142857,9.78192329910564,6.0,6.0,7.289132126927857,0.3708,0.35642857142857143,0.37578272156896697,23.2,22.142857142857142,24.13077400250765,0.28080000000000005,0.2605,0.27770140241343827,6.6,6.0,6.855898710612593,52.279999999999994,50.35,48.354245657874856,34.2,34.214285714285715,31.981447924918605,0.485,0.495,0.4800174494126975,13.34,13.657142857142857,12.9810390993544,11.0,11.428571428571429,10.712927054304556,39.4,39.857142857142854,39.91966307956419,0.45359999999999995,0.4802142857142857,0.4598172453135281,17.8,19.0,18.296249881611196,0.5014000000000001,0.477,0.4845953348223667,6.0,3.4285714285714284,5.846235047728723
