date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-11-27,"The Colonial Life Arena, Columbia, South Carolina",Jacksonville,South Carolina,Home,14.3,5,12.2,6,109.4,66.7,22,0.623,61,0.574,35,0.492,30,0.7,21,1,200.0,114.1,25.0,8,22,97,10.6,9,0.197,12.0,0.5,6.0,46.2,30,0.645,18.6,17,49.0,0.592,29.0,0.833,5,43.9,43.9,41.491358024691365,12.2,12.2,11.370370370370372,19.6,19.6,17.322222222222226,8.2,8.2,7.185185185185186,88.26,88.26,91.5493827160494,59.44,59.44,57.69876543209877,22.0,22.0,20.77777777777778,0.4892,0.4892,0.4633580246913581,63.0,63.0,65.92592592592594,0.4386,0.4386,0.4124444444444445,27.2,27.2,26.765432098765437,0.46440000000000003,0.46440000000000003,0.39924691358024694,27.8,27.8,25.000000000000004,0.6378,0.6378,0.6148765432098766,18.2,18.2,16.086419753086425,0.2,0.2,0.3333333333333333,200.0,200.0,200.0,103.7,103.7,100.7962962962963,40.17999999999999,40.17999999999999,37.73950617283951,12.4,12.4,12.135802469135806,18.8,18.8,19.740740740740744,79.0,79.0,76.49382716049384,10.74,10.74,11.429629629629632,8.2,8.2,8.728395061728396,0.3422,0.3422,0.3560617283950618,21.8,21.8,23.901234567901234,0.284,0.284,0.27377777777777784,6.4,6.4,6.876543209876544,48.98,48.98,46.35308641975309,34.4,34.4,32.91358024691358,0.5214000000000001,0.5214000000000001,0.4946543209876544,16.9,16.9,14.980246913580249,14.6,14.6,12.987654320987659,41.2,41.2,42.0246913580247,0.5084,0.5084,0.4751234567901236,20.8,20.8,19.888888888888893,0.96,0.96,0.9333333333333333,2.8,2.8,3.0617283950617287
2009-12-02,"The Colonial Life Arena, Columbia, South Carolina",Western Kentucky,South Carolina,Home,40.0,12,20.9,9,86.2,46.2,20,0.523,66,0.455,30,0.091,6,0.833,5,1,200.0,113.8,46.9,13,18,74,13.8,9,0.333,22.0,0.409,9.0,46.5,33,0.537,14.9,12,44.0,0.477,21.0,0.857,6,38.480000000000004,38.96666666666667,32.427572016460914,10.8,11.0,9.246913580246915,17.94,18.366666666666667,15.61481481481482,7.6,7.833333333333333,6.790123456790124,97.32000000000001,91.78333333333335,97.49958847736627,60.67999999999999,60.65,60.699176954732515,21.6,22.0,21.185185185185187,0.5122,0.5115,0.5165720164609054,62.4,62.666666666666664,64.28395061728396,0.4628,0.4611666666666667,0.4662962962962963,28.4,28.5,29.510288065843625,0.4628,0.46900000000000003,0.43016460905349796,27.4,28.166666666666668,26.66666666666667,0.634,0.6481666666666667,0.6432510288065845,17.8,18.666666666666668,17.724279835390952,0.4,0.3333333333333333,0.5555555555555556,200.0,200.0,200.0,103.96,105.43333333333334,105.23086419753088,35.48,37.65,33.49300411522634,11.0,11.666666666666666,10.757201646090538,19.6,19.333333333333332,20.49382716049383,80.8,82.0,83.32921810699588,10.559999999999999,10.716666666666667,11.15308641975309,8.2,8.333333333333334,8.818930041152264,0.3066,0.318,0.3030411522633745,19.4,20.166666666666668,19.934156378600825,0.3256,0.32,0.34918518518518527,6.2,6.333333333333333,6.584362139917697,47.239999999999995,48.51666666666667,46.30205761316873,32.6,33.666666666666664,31.942386831275723,0.5392,0.542,0.544769547325103,17.22,17.183333333333334,16.186831275720166,15.0,15.0,14.32510288065844,43.0,42.5,44.34979423868313,0.5167999999999999,0.5223333333333333,0.5140823045267491,22.2,22.166666666666668,22.92592592592593,0.9266,0.9388333333333333,0.899888888888889,3.6,3.1666666666666665,3.7078189300411526
2009-12-06,"Littlejohn Coliseum, Clemson, South Carolina",South Carolina,Clemson,Home,40.0,10,8.6,3,100.0,63.3,21,0.4,70,0.357,25,0.143,10,0.5,5,2,200.0,84.7,29.5,11,15,61,19.4,14,0.314,22.0,0.273,6.0,43.2,32,0.408,11.8,10,48.0,0.396,19.0,0.75,6,33.14,39.114285714285714,34.95171467764061,9.6,11.142857142857142,10.164609053497944,16.4,18.728571428571428,17.376543209876548,7.0,8.0,7.526748971193417,98.46000000000001,90.98571428571428,93.73305898491085,58.1,58.58571428571429,55.86611796982168,20.2,21.714285714285715,20.790123456790127,0.4976,0.5131428571428571,0.5187146776406037,65.2,63.142857142857146,64.85596707818931,0.45,0.4602857142857143,0.4625308641975309,29.0,28.714285714285715,29.673525377229087,0.31179999999999997,0.415,0.31710973936899867,19.8,25.0,19.777777777777782,0.6734,0.6745714285714285,0.7065006858710563,13.2,16.714285714285715,13.482853223593969,0.6,0.42857142857142855,0.7037037037037037,200.0,200.0,200.0,104.76000000000002,106.62857142857142,108.08724279835391,35.199999999999996,38.971428571428575,37.962002743484234,11.0,11.857142857142858,11.504801097393692,20.2,19.142857142857142,19.66255144032922,77.6,80.85714285714286,80.21947873799726,11.620000000000001,11.157142857142857,12.03539094650206,8.6,8.428571428571429,8.87928669410151,0.2962,0.3201428571428572,0.3130274348422497,19.8,20.428571428571427,20.622770919067218,0.3274,0.3327142857142857,0.3691234567901235,6.4,6.714285714285714,7.389574759945131,45.58,48.228571428571435,46.36803840877916,31.2,33.57142857142857,32.29492455418382,0.5232,0.5412857142857143,0.5421796982167353,15.16,16.857142857142858,15.757887517146779,13.0,14.571428571428571,13.550068587105628,45.4,42.714285714285715,44.23319615912209,0.4934,0.5158571428571428,0.501721536351166,22.6,22.0,22.283950617283956,0.898,0.9271428571428572,0.8855925925925927,4.4,3.5714285714285716,4.471879286694103
2009-12-16,"The Colonial Life Arena, Columbia, South Carolina",Richmond,South Carolina,Home,27.6,8,25.0,11,90.6,48.4,19,0.464,69,0.42,29,0.217,15,0.8,12,2,200.0,118.8,61.5,20,12,76,14.1,9,0.275,19.0,0.316,6.0,55.7,39,0.499,14.7,13,50.0,0.46,23.0,0.778,7,31.46,39.225,36.634476451760406,8.6,11.0,10.10973936899863,14.2,17.4625,14.451028806584365,5.8,7.375,6.017832647462279,100.08,92.1125,95.82203932327391,56.96,59.175,58.344078646547786,20.0,21.625,20.860082304526752,0.4694,0.499,0.47914311842706925,67.0,64.0,66.57064471879288,0.41980000000000006,0.447375,0.42735390946502066,27.8,28.25,28.115683584819394,0.2814,0.381,0.25907315957933247,18.2,23.125,16.518518518518523,0.64,0.6527499999999999,0.6376671239140376,11.8,15.25,10.65523548239598,1.0,0.625,1.1358024691358026,200.0,200.0,200.0,100.62,103.8875,100.29149519890262,34.44,37.7875,35.141335162322825,11.4,11.75,11.336534064929129,19.4,18.625,18.10836762688615,74.2,78.375,73.81298582533151,13.6,12.1875,14.490260631001373,10.0,9.125,10.586191129401005,0.313,0.319375,0.31335162322816645,21.4,20.625,21.081847279378145,0.3248,0.32525,0.33708230452674903,6.8,6.625,6.926383173296755,44.220000000000006,47.6,45.312025605852774,31.4,33.375,32.19661636945588,0.49260000000000004,0.524625,0.49745313214449016,13.559999999999999,16.225,14.438591678097854,11.6,14.0,12.366712391403752,45.6,43.375,45.488797439414725,0.45779999999999993,0.500875,0.4664810242341107,21.0,21.625,21.189300411522638,0.8480000000000001,0.905,0.8403950617283952,5.0,3.875,4.981252857796068
2009-12-19,"Benjamin Johnson Arena, Spartanburg, South Carolina",South Carolina,Wofford,Home,31.8,7,21.7,10,109.7,43.6,20,0.51,52,0.423,22,0.231,12,0.667,8,3,200.0,98.4,52.4,8,20,61,6.5,4,0.423,22.0,0.409,9.0,46.7,28,0.529,21.8,16,30.0,0.433,13.0,0.7,7,34.38,37.93333333333334,33.6229843011736,9.6,10.666666666666666,9.406492912665755,15.2,18.299999999999997,17.96735253772291,6.6,7.777777777777778,7.678555098308186,98.5,91.94444444444444,94.08135954884928,54.92,57.977777777777774,55.029385764365195,19.8,21.333333333333332,20.240054869684503,0.4848,0.49511111111111117,0.47409541228471286,68.4,64.55555555555556,67.38042981252859,0.42960000000000004,0.44433333333333336,0.42490260631001375,29.0,28.333333333333332,28.410455723212934,0.22799999999999998,0.3627777777777778,0.24504877305288833,15.2,22.22222222222222,16.01234567901235,0.6599999999999999,0.6691111111111111,0.6917780826093585,10.0,14.88888888888889,11.10349032159732,1.4,0.7777777777777778,1.4238683127572018,200.0,200.0,200.0,103.78,105.54444444444444,106.46099679926841,37.480000000000004,40.422222222222224,43.927556774881886,12.2,12.666666666666666,14.224356043286086,18.0,17.88888888888889,16.07224508459077,75.6,78.11111111111111,74.54199055022102,14.34,12.399999999999999,14.360173754000916,10.4,9.11111111111111,10.057460752934004,0.31320000000000003,0.31444444444444447,0.3005677488187777,21.8,20.444444444444443,20.387898186252098,0.36439999999999995,0.32422222222222224,0.3300548696844994,7.6,6.555555555555555,6.617588782197838,45.08,48.5,48.774683737235186,32.0,34.0,34.46441091297059,0.502,0.5217777777777778,0.49796875476299346,14.16,16.055555555555557,14.52572778539857,12.4,13.88888888888889,12.577808260935836,46.6,44.111111111111114,46.99253162627649,0.45640000000000003,0.4963333333333333,0.46432068282274047,21.4,21.77777777777778,21.79286694101509,0.8036,0.890888888888889,0.8195967078189301,5.6,4.222222222222222,5.654168571864046
2009-12-21,"The Colonial Life Arena, Columbia, South Carolina",Furman,South Carolina,Home,48.4,15,22.5,9,76.0,54.5,18,0.576,59,0.525,31,0.356,21,0.619,13,3,200.0,108.0,40.0,10,15,81,21.3,16,0.322,19.0,0.316,6.0,48.3,28,0.587,19.0,15,40.0,0.625,25.0,0.727,8,30.740000000000002,37.32,33.01532286744907,8.4,10.3,8.604328608443836,17.68,18.64,19.21156835848194,7.8,8.0,8.45237006553879,99.17999999999999,93.72,99.28757303256619,53.64000000000001,56.54,51.2195905095768,20.4,21.2,20.16003657978967,0.5039999999999999,0.49660000000000004,0.4860636081898086,63.6,63.3,62.25361987501907,0.44580000000000003,0.4422,0.4242684042066759,28.2,27.7,26.273637148808625,0.23479999999999998,0.3496,0.24036584870192557,14.6,21.2,14.674897119341567,0.7,0.6689,0.6835187217395724,10.2,14.2,10.068993547731548,1.8,1.0,1.9492455418381347,200.0,200.0,200.0,105.96,104.83,103.77399786617895,43.06,41.62,46.75170451658792,12.0,12.2,12.149570695524059,17.4,18.1,17.381496723060515,73.8,76.4,70.02799370014735,12.879999999999999,11.809999999999999,11.740115836000612,9.0,8.6,8.038307168622671,0.3084,0.32530000000000003,0.34137849921251845,19.4,20.6,20.9252654575014,0.3814,0.3327,0.3563699131229996,7.2,6.8,7.411725854798559,47.660000000000004,48.32,48.08312249149013,32.4,33.4,32.30960727531373,0.5236,0.5225,0.5083125031753291,16.360000000000003,16.630000000000003,16.950485190265713,13.6,14.1,13.718538840623893,44.2,42.7,41.32835441751766,0.4715999999999999,0.49000000000000005,0.45388045521516035,21.0,20.9,18.861911294010064,0.7836000000000001,0.8718,0.7797311385459534,6.2,4.5,6.102779047909364
2009-12-30,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",South Carolina,Boston College,Home,29.0,9,19.6,10,116.4,50.0,19,0.486,70,0.443,31,0.186,13,0.615,8,4,200.0,104.1,36.1,12,23,76,12.3,9,0.286,20.0,0.3,6.0,43.1,31,0.499,11.7,10,50.0,0.5,25.0,0.667,8,37.56,38.32727272727273,38.14354857829939,10.4,10.727272727272727,10.736219072295892,19.740000000000002,18.990909090909092,20.30771223898796,8.4,8.090909090909092,8.63491337702586,92.5,92.10909090909091,91.52504868837747,51.2,56.35454545454545,52.313060339717865,19.6,20.90909090909091,19.440024386526446,0.4946,0.5038181818181818,0.5160424054598725,63.2,62.90909090909091,61.16907991667938,0.43600000000000005,0.44972727272727275,0.45784560280445064,27.4,28.0,27.849091432539083,0.2076,0.35018181818181815,0.2789105658012837,12.8,21.181818181818183,16.783264746227715,0.6838,0.6643636363636364,0.662012481159715,8.6,14.090909090909092,11.0459956984877,2.2,1.1818181818181819,2.29949702789209,200.0,200.0,200.0,104.73999999999998,105.11818181818181,105.1826652441193,46.06,41.47272727272727,44.50113634439195,12.4,12.0,11.433047130349372,16.0,17.818181818181817,16.587664482040346,70.6,76.81818181818181,73.68532913343157,15.02,12.672727272727274,14.926743890667076,10.4,9.272727272727273,10.69220477908178,0.33340000000000003,0.325,0.33491899947501236,20.8,20.454545454545453,20.283510305000934,0.34459999999999996,0.3311818181818182,0.3429132754153331,7.2,6.7272727272727275,6.941150569865706,48.08,48.31818181818182,48.15541499432676,32.0,32.90909090909091,30.87307151687582,0.5119999999999999,0.5283636363636364,0.5345416687835527,16.44,16.845454545454547,17.633656793510475,13.2,14.181818181818182,14.14569256041593,42.4,42.45454545454545,40.88556961167844,0.4782,0.5022727272727273,0.5109203034767735,20.2,21.272727272727273,20.907940862673378,0.7624,0.8586363636363636,0.762154092363969,6.8,4.818181818181818,6.735186031939577
2010-01-02,"The Colonial Life Arena, Columbia, South Carolina",Baylor,South Carolina,Away,41.4,12,20.0,8,113.3,48.1,15,0.398,83,0.349,29,0.241,20,0.4,8,5,200.0,98.7,38.6,20,17,74,18.7,14,0.337,28.0,0.286,8.0,41.7,35,0.4,6.1,6,55.0,0.382,21.0,0.615,8,35.36,37.550000000000004,35.09569905219959,9.8,10.583333333333334,10.157479381530596,19.48,19.041666666666668,20.071808159325307,8.6,8.25,9.089942251350575,98.53999999999999,94.13333333333333,99.81669912558499,51.96,55.824999999999996,51.542040226478576,19.4,20.75,19.29334959101763,0.48719999999999997,0.5023333333333333,0.5060282703065817,64.0,63.5,64.11271994445292,0.43360000000000004,0.44916666666666666,0.45289706853630046,27.6,28.25,28.89939428835939,0.2266,0.3365,0.24794037720085582,14.2,20.5,15.522176497485145,0.6402,0.66025,0.6463416541064767,9.2,13.583333333333334,10.0306637989918,2.8,1.4166666666666667,2.86633135192806,200.0,200.0,200.0,102.8,105.03333333333335,104.82177682941287,43.9,41.025,41.70075756292797,12.2,12.0,11.622031420232915,17.0,18.25,18.725109654693565,71.0,76.75,74.45688608895438,14.719999999999999,12.641666666666666,14.051162593778052,10.4,9.25,10.128136519387855,0.32399999999999995,0.32175000000000004,0.31861266631667495,20.4,20.416666666666668,20.189006870000625,0.3228,0.32858333333333334,0.32860885027688874,6.6,6.666666666666667,6.627433713243804,47.4,47.88333333333333,46.470276662884515,31.6,32.75,30.91538101125055,0.5044,0.5259166666666667,0.5226944458557019,15.8,16.416666666666668,15.655771195673651,12.8,13.833333333333334,12.763795040277287,43.6,43.083333333333336,43.923713074452294,0.4828,0.5020833333333333,0.5072802023178491,21.0,21.583333333333332,22.271960575115585,0.7244,0.8426666666666667,0.7304360615759795,7.2,5.083333333333333,7.1567906879597185
2010-01-05,"The Colonial Life Arena, Columbia, South Carolina",Longwood,South Carolina,Home,48.5,16,13.3,6,80.6,44.4,18,0.568,66,0.5,33,0.318,21,0.619,13,5,200.0,122.2,55.2,14,7,88,15.3,11,0.348,23.0,0.391,9.0,49.2,32,0.579,13.8,12,43.0,0.558,24.0,0.643,9,35.64,37.84615384615385,37.197132701466394,10.2,10.692307692307692,10.771652921020397,21.759999999999998,19.115384615384617,20.04787210621687,9.6,8.23076923076923,8.72662816756705,101.2,95.60769230769232,104.31113275039,48.92,55.23076923076923,50.394693484319056,18.2,20.307692307692307,17.86223306067842,0.4868,0.49430769230769234,0.4700188468710545,66.6,65.0,70.40847996296861,0.43200000000000005,0.44146153846153846,0.4182647123575337,28.4,28.307692307692307,28.93292952557293,0.24619999999999997,0.32915384615384613,0.24562691813390392,16.2,20.46153846153846,17.014784331656763,0.6202,0.6402307692307693,0.5642277694043178,9.8,13.153846153846153,9.353775865994534,3.4,1.6923076923076923,3.577554234618707,200.0,200.0,200.0,105.6,104.54615384615384,102.78118455294191,45.72,40.83846153846154,40.66717170861865,14.0,12.615384615384615,14.41468761348861,17.4,18.153846153846153,18.150073103129046,73.6,76.53846153846153,74.30459072596959,14.580000000000002,13.107692307692307,15.600775062518702,10.4,9.615384615384615,11.418757679591904,0.32860000000000006,0.322923076923077,0.32474177754445,21.6,21.0,22.792671246667084,0.3254,0.3253076923076923,0.3144059001845925,7.0,6.769230769230769,7.0849558088292035,47.10000000000001,47.4076923076923,44.880184441923014,32.2,32.92307692307692,32.27692067416704,0.5028,0.5162307692307693,0.4817962972371347,14.66,15.623076923076923,12.470514130449102,12.0,13.23076923076923,10.509196693518193,45.0,44.0,47.61580871630153,0.48,0.4928461538461538,0.46552013487856614,21.4,21.53846153846154,21.847973716743724,0.6973999999999999,0.8251538461538461,0.6919573743839864,7.6,5.3076923076923075,7.437860458639813
2010-01-09,"Beard-Eaves-Memorial, Auburn, Alabama",South Carolina,Auburn,Away,42.9,12,9.6,5,91.0,61.5,24,0.54,62,0.452,28,0.274,17,0.765,13,5,200.0,102.6,34.5,10,16,80,10.3,8,0.403,25.0,0.44,11.0,50.0,34,0.571,19.7,17,37.0,0.459,17.0,0.667,10,39.82,38.607142857142854,40.964755134310934,11.8,11.071428571428571,12.514435280680265,19.419999999999998,18.7,17.798581404144585,8.6,8.071428571428571,7.817752111711367,99.2,94.53571428571429,96.40742183359333,48.12,54.457142857142856,48.39646232287937,18.0,20.142857142857142,17.908155373785615,0.5075999999999999,0.49957142857142856,0.5026792312473697,66.0,65.07142857142857,68.93898664197908,0.44800000000000006,0.4456428571428571,0.44550980823835584,29.2,28.642857142857142,30.28861968371529,0.26639999999999997,0.32835714285714285,0.26975127875593596,17.4,20.5,18.343189554437842,0.5840000000000001,0.6387142857142857,0.5824851796028786,10.0,13.142857142857142,10.569183910663023,4.0,1.9285714285714286,4.051702823079138,200.0,200.0,200.0,106.28,105.80714285714285,109.25412303529461,44.46,41.864285714285714,45.511447805745775,12.8,12.714285714285714,14.276458408992408,16.4,17.357142857142858,14.4333820687527,76.0,77.35714285714286,78.8697271506464,14.819999999999999,13.264285714285714,15.500516708345803,10.8,9.714285714285714,11.279171786394603,0.3432,0.32471428571428573,0.3324945183629667,22.4,21.142857142857142,22.86178083111139,0.3404,0.33,0.33993726678972835,7.6,6.928571428571429,7.723303872552803,45.8,47.535714285714285,46.32012296128201,30.8,32.857142857142854,32.18461378277803,0.5187999999999999,0.5207142857142857,0.5141975314914231,14.48,15.492857142857144,12.913676086966069,11.8,13.142857142857142,11.006131129012129,43.6,43.92857142857143,46.07720581086769,0.49960000000000004,0.4975,0.4963467565857108,21.6,21.714285714285715,22.565315811162485,0.6704,0.812142857142857,0.6756382495893243,8.0,5.571428571428571,7.958573639093209
