date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-19,"Frost Arena, Brookings, South Dakota",North Alabama,South Dakota State,Home,52.2,12,8.1,3,102.8,82.9,29,0.564,47,0.489,23,0.702,33,0.758,25,2,200,109.9,33.3,9,14,78,4.2,3,0.362,17,0.412,7,61.3,38,0.622,22.6,18,30,0.533,16,0.667,4,42.5,42.5,40.71728395061729,11.6,11.6,10.95061728395062,6.340000000000001,6.340000000000001,5.858024691358025,2.4,2.4,2.4444444444444446,95.3,95.3,99.12962962962963,71.84,71.84,71.67407407407407,31.2,31.2,30.69135802469136,0.4868,0.4868,0.47387654320987654,63.4,63.4,64.07407407407409,0.4386,0.4386,0.42972839506172844,27.8,27.8,27.518518518518526,0.3512,0.3512,0.32534567901234573,22.2,22.2,20.71604938271605,0.7114,0.7114,0.6962592592592594,16.0,16.0,14.567901234567904,0.6,0.6,0.8888888888888888,209.8,209.8,207.30864197530866,97.94,97.94,94.50740740740743,29.6,29.6,27.39506172839507,11.2,11.2,10.555555555555557,20.2,20.2,20.641975308641978,77.6,77.6,75.09876543209877,7.859999999999999,7.859999999999999,7.37530864197531,6.2,6.2,5.839506172839506,0.368,0.368,0.3631851851851852,23.2,23.2,23.07407407407408,0.2544,0.2544,0.23275308641975312,6.0,6.0,5.4938271604938285,52.239999999999995,52.239999999999995,50.725925925925935,42.4,42.4,41.24691358024692,0.5236,0.5236,0.5076913580246915,16.96,16.96,16.472839506172846,15.0,15.0,14.469135802469138,40.2,40.2,41.0,0.541,0.541,0.5362345679012346,21.8,21.8,22.024691358024693,0.8699999999999999,0.8699999999999999,0.8111111111111112,2.4,2.4,2.5061728395061733
2019-11-21,"McKale Center, Tucson, Arizona",South Dakota State,Arizona,Home,59.1,13,8.3,3,102.9,61.1,22,0.543,47,0.468,22,0.404,19,0.684,13,3,200,92.8,28.0,7,26,64,8.7,6,0.404,19,0.368,7,47.5,29,0.571,27.5,21,28,0.536,15,0.571,4,42.56,44.11666666666667,44.5448559670782,11.2,11.666666666666666,11.300411522633748,7.6,6.633333333333333,6.605349794238684,2.8,2.5,2.6296296296296298,100.46000000000001,96.55,100.3530864197531,72.16,73.68333333333334,75.41604938271605,29.2,30.833333333333332,30.12757201646091,0.5012000000000001,0.4996666666666667,0.503917695473251,61.0,60.666666666666664,58.38271604938273,0.44480000000000003,0.447,0.44948559670781896,27.0,27.0,26.012345679012356,0.4204,0.4096666666666667,0.45089711934156385,24.6,24.0,24.81069958847737,0.7487999999999999,0.7191666666666667,0.7168395061728396,18.6,17.5,18.045267489711936,1.0,0.8333333333333334,1.2592592592592593,209.8,208.16666666666666,204.87242798353913,101.0,99.93333333333334,99.6382716049383,31.119999999999997,30.21666666666667,29.363374485596715,11.2,10.833333333333334,10.037037037037038,19.8,19.166666666666668,18.427983539094654,79.2,77.66666666666667,76.06584362139918,7.62,7.25,6.31687242798354,6.0,5.666666666666667,4.893004115226338,0.3828,0.367,0.3627901234567902,23.2,22.166666666666668,21.049382716049386,0.28979999999999995,0.2806666666666667,0.2925020576131687,6.6,6.166666666666667,5.995884773662553,52.94,53.75,54.250617283950625,40.4,41.666666666666664,40.16460905349795,0.5466,0.54,0.5457942386831276,18.7,17.900000000000002,18.515226337448567,16.4,15.5,15.646090534979427,37.8,38.5,37.333333333333336,0.538,0.5396666666666666,0.5351563786008231,20.4,20.833333333333332,20.016460905349795,0.8034000000000001,0.8361666666666667,0.7630740740740742,3.0,2.6666666666666665,3.004115226337449
2019-11-24,"Frost Arena, Brookings, South Dakota",Mississippi Valley State,South Dakota State,Home,57.6,19,6.7,3,79.4,78.0,32,0.638,58,0.569,33,0.259,15,0.667,10,3,200,123.5,34.8,8,7,84,7.4,5,0.431,25,0.32,8,62.5,40,0.645,13.4,10,33,0.758,25,0.625,5,46.38,46.25714285714286,49.39657064471881,11.4,11.857142857142858,11.866941015089166,6.180000000000001,6.871428571428572,7.170233196159123,2.6,2.5714285714285716,2.7530864197530867,105.58,97.45714285714287,101.20205761316873,69.26,71.88571428571429,70.6440329218107,27.4,29.571428571428573,27.418381344307274,0.5082,0.5058571428571429,0.5169451303155007,57.4,58.714285714285715,54.588477366255155,0.446,0.45,0.45565706447187937,25.4,26.285714285714285,24.674897119341573,0.42119999999999996,0.40885714285714286,0.4352647462277093,23.2,23.285714285714285,22.87379972565158,0.7318,0.7141428571428572,0.7058930041152265,17.2,16.857142857142858,16.36351165980796,1.6,1.1428571428571428,1.8395061728395063,210.0,207.0,203.24828532235944,96.61999999999999,98.91428571428571,97.35884773662553,27.24,29.900000000000002,28.908916323731145,9.0,10.285714285714286,9.024691358024693,22.0,20.142857142857142,20.951989026063103,74.8,75.71428571428571,72.04389574759946,7.219999999999999,7.457142857142857,7.11124828532236,5.6,5.714285714285714,5.262002743484226,0.39280000000000004,0.3722857142857143,0.3765267489711935,22.4,21.714285714285715,20.366255144032927,0.31120000000000003,0.29314285714285715,0.31766803840877916,6.8,6.285714285714286,6.330589849108369,50.04,52.857142857142854,52.000411522633755,36.4,39.857142857142854,36.44307270233197,0.5496,0.5444285714285714,0.5541961591220851,20.919999999999998,19.271428571428572,21.510150891632378,17.6,16.285714285714285,17.43072702331962,35.0,37.0,34.22222222222223,0.5309999999999999,0.5391428571428571,0.5354375857338821,18.6,20.0,18.344307270233198,0.7176,0.7982857142857143,0.6990493827160495,3.4,2.857142857142857,3.3360768175582995
2019-11-27,"Frost Arena, Brookings, South Dakota",Samford,South Dakota State,Home,58.6,17,7.5,3,108.5,67.7,21,0.558,60,0.483,29,0.417,25,0.76,19,3,200,121.1,45.2,14,12,86,9.9,7,0.4,24,0.375,9,56.5,35,0.598,14.5,12,36,0.556,20,0.667,6,49.9,47.675,52.13104709647921,12.8,12.75,14.244627343392779,6.9,6.8500000000000005,7.0134887974394164,2.8,2.625,2.835390946502058,100.78,95.2,93.93470507544583,71.94,72.65,73.09602194787381,27.6,29.875,28.945587562871516,0.5262,0.522375,0.5572967535436673,56.4,58.625,55.72565157750344,0.4646,0.464875,0.49343804298125293,26.0,27.125,27.449931412894383,0.3778,0.390125,0.3765098308184729,20.2,22.25,20.249199817101054,0.7051999999999999,0.70825,0.6929286694101511,14.4,16.0,14.242341106538639,2.2,1.375,2.226337448559671,200.0,206.125,202.16552354823963,100.17999999999999,101.9875,106.07256515775038,29.2,30.5125,30.87261088248743,8.8,10.0,8.683127572016463,18.6,18.5,16.301326017375402,73.0,76.75,76.02926383173298,7.1,7.45,7.207498856881574,5.2,5.625,5.174668495656151,0.40280000000000005,0.379625,0.394684499314129,22.6,22.125,21.910836762688618,0.30019999999999997,0.2965,0.31844535893918613,6.6,6.5,6.88705989940558,53.02,54.0625,55.50027434842251,36.4,39.875,37.62871513488798,0.5582,0.5569999999999999,0.5844641060813901,19.6,18.5375,18.806767261088254,15.8,15.5,14.953818015546414,33.8,36.5,33.814814814814824,0.575,0.5665,0.6096250571559214,19.4,20.625,20.5628715134888,0.6426000000000001,0.776625,0.674366255144033,3.8,3.125,3.8907178783722
2019-11-30,"Assembly Hall, Bloomington, Indiana",South Dakota State,Indiana,Home,42.1,8,5.3,2,92.8,55.6,20,0.393,56,0.339,19,0.143,8,0.75,6,4,200,72.5,15.2,5,16,50,8.7,6,0.5,28,0.214,6,36.2,25,0.418,20.1,15,28,0.464,13,0.6,6,50.32,48.888888888888886,54.28736473098614,13.6,13.222222222222221,15.163084895595187,7.9,6.9222222222222225,7.175659198292945,3.2,2.6666666666666665,2.890260631001372,100.94000000000001,96.67777777777778,98.78980338363056,72.3,72.1,71.29734796524922,26.4,28.88888888888889,26.29705837524768,0.5478,0.5263333333333333,0.5575311690291116,56.4,58.77777777777778,57.1504343850023,0.48460000000000003,0.4668888888888889,0.4899586953208353,27.2,27.333333333333332,27.96662094192959,0.40779999999999994,0.3931111111111111,0.390006553878982,22.0,22.555555555555557,21.83279987806737,0.7072,0.714,0.7152857796067674,15.8,16.333333333333332,15.828227404359094,2.6,1.5555555555555556,2.4842249657064475,200.0,205.44444444444446,201.4436823654931,107.47999999999999,104.11111111111111,111.08171010516692,33.38,32.144444444444446,35.648407254991625,9.8,10.444444444444445,10.455418381344309,15.8,17.77777777777778,14.86755067825027,77.0,77.77777777777777,79.35284255448866,7.279999999999999,7.722222222222222,8.10499923792105,5.2,5.777777777777778,5.783112330437435,0.3794,0.38188888888888894,0.39645633287608606,21.2,22.333333333333332,22.60722450845908,0.3236,0.30522222222222223,0.33729690595945744,6.8,6.777777777777778,7.591373266270387,55.08,54.333333333333336,55.83351623228168,36.2,39.333333333333336,36.75247675659199,0.5801999999999999,0.5615555555555556,0.5889760707209267,18.259999999999998,18.08888888888889,17.371178174058837,14.6,15.11111111111111,13.969212010364277,35.2,36.44444444444444,34.543209876543216,0.5828,0.5653333333333334,0.5917500381039477,20.4,20.555555555555557,20.375247675659203,0.626,0.7644444444444445,0.6719108367626887,4.4,3.4444444444444446,4.593811918914801
2019-12-05,"Max Worthington Arena, Bozeman, Montana",South Dakota State,Montana State,Home,42.3,11,11.8,4,110.0,75.9,22,0.46,62,0.419,26,0.323,20,0.65,13,5,200,100.0,25.0,10,17,70,8.6,6,0.323,20,0.25,5,46.4,32,0.49,11.3,9,42,0.5,21,0.545,6,53.92,48.21,50.22490982065743,13.8,12.7,12.775389930396791,7.1800000000000015,6.76,6.550439465528631,2.8,2.6,2.593507087334248,97.28,96.28999999999999,96.7932022557537,69.06,70.45,66.06489864349948,24.8,28.0,24.19803891683179,0.5391999999999999,0.513,0.5026874460194077,53.6,58.5,56.7669562566682,0.4696000000000001,0.45410000000000006,0.43963913021389023,25.2,26.5,24.97774729461973,0.385,0.3681,0.3076710359193213,20.0,21.1,17.221866585378248,0.7238,0.7176,0.7268571864045117,14.6,15.3,12.552151602906063,3.0,1.8,2.9894833104709653,200.0,204.9,200.96245491032874,103.96,100.95,98.22114007011129,31.3,30.45,28.832271503327753,8.6,9.9,8.636945587562874,15.0,17.6,15.24503378550018,72.4,75.0,69.56856170299244,7.779999999999999,7.82,8.3033328252807,5.4,5.8,5.855408220291624,0.4194,0.39370000000000005,0.4309708885840574,22.6,22.9,24.404816338972722,0.3378,0.2961,0.29619793730630495,7.4,6.7,7.060915510846925,52.8,52.52,49.28901082152113,33.4,37.9,32.83498450439466,0.5708,0.5471999999999999,0.5319840471472845,19.619999999999997,18.29,18.28078544937256,15.2,15.1,14.312808006909519,31.0,35.6,32.36213991769548,0.5694,0.5552,0.5491666920692985,17.8,19.8,17.916831783772803,0.626,0.748,0.6479405578417925,5.0,3.7,5.062541279276534
2019-12-10,"Moby Arena, Fort Collins, Colorado",South Dakota State,Colorado State,Home,61.5,16,6.1,2,101.4,89.7,26,0.492,60,0.433,26,0.25,15,0.6,9,6,200,95.8,22.6,7,18,68,8.5,6,0.383,23,0.304,7,55.0,33,0.507,15.3,12,37,0.514,19,0.5,6,51.94000000000001,47.67272727272727,47.58327321377162,13.6,12.545454545454545,12.183593286931195,7.92,7.218181818181819,8.300292977019087,3.0,2.727272727272727,3.0623380582228323,98.72,97.53636363636365,101.19546817050247,67.66,70.94545454545454,69.34326576233299,23.4,27.454545454545453,23.465359277887863,0.5184,0.5081818181818182,0.48845829734627183,56.6,58.81818181818182,58.51130417111214,0.4556,0.4509090909090909,0.4327594201425935,25.8,26.454545454545453,25.318498196413152,0.30920000000000003,0.36399999999999993,0.3127806906128809,17.4,21.0,18.147911056918833,0.7022,0.7114545454545455,0.7012381242696746,12.2,15.090909090909092,12.701434401937377,3.6,2.090909090909091,3.659655540313977,200.0,204.45454545454547,200.64163660688584,101.98,100.86363636363636,98.8140933800742,29.639999999999997,29.954545454545453,27.55484766888517,8.8,9.909090909090908,9.09129705837525,15.6,17.545454545454547,15.830022523666788,70.8,74.54545454545455,69.71237446866164,8.66,7.890909090909091,8.402221883520467,6.0,5.818181818181818,5.903605480194416,0.4116000000000001,0.38727272727272727,0.39498059238937167,23.2,22.636363636363637,22.93654422598182,0.3054,0.2919090909090909,0.28079862487087,7.0,6.545454545454546,6.373943673897951,49.82,51.96363636363637,48.32600721434743,32.2,37.36363636363637,32.55665633626311,0.5444,0.5419999999999999,0.5179893647648564,17.360000000000003,17.654545454545453,15.953856966248374,13.4,14.545454545454545,12.541872004606347,33.4,36.18181818181818,35.574759945130324,0.5628,0.5501818181818182,0.5327777947128657,18.8,19.90909090909091,18.944554522515205,0.6016,0.7295454545454546,0.613627038561195,5.4,3.909090909090909,5.3750275195176895
2019-12-13,"Frost Arena, Brookings, South Dakota","Nebraska-Kearney
			",South Dakota State,Home,48.0,12,7.4,2,85.5,78.6,22,0.482,57,0.439,25,0.368,21,0.524,11,6,200,106.5,33.3,12,13,66,9.7,6,0.386,22,0.227,5,53.1,34,0.493,13.1,10,35,0.571,20,0.538,7,52.42,48.824999999999996,52.22218214251441,14.2,12.833333333333334,13.455728857954131,7.4799999999999995,7.125,7.566861984679392,2.8,2.6666666666666665,2.708225372148555,98.42,97.85833333333333,101.26364544700165,73.38000000000001,72.50833333333334,76.12884384155532,24.2,27.333333333333332,24.31023951859191,0.5082000000000001,0.5068333333333334,0.48963886489751457,59.2,58.916666666666664,59.00753611407476,0.4486,0.44941666666666663,0.43283961342839566,26.6,26.416666666666668,25.545665464275437,0.2784,0.3545,0.2918537937419206,16.6,20.5,17.098607371279222,0.6854,0.7021666666666667,0.6674920828464498,11.4,14.583333333333334,11.467622934624918,4.2,2.4166666666666665,4.439770360209318,200.0,204.08333333333334,200.4277577379239,102.58,100.44166666666666,97.80939558671614,28.560000000000002,29.34166666666667,25.903231779256785,8.8,9.666666666666666,8.394198038916834,14.0,17.583333333333332,16.553348349111193,71.6,74.0,69.14158297910777,8.620000000000001,7.941666666666666,8.434814589013644,6.0,5.833333333333333,5.935736986796278,0.4074,0.38691666666666663,0.39098706159291446,24.0,22.666666666666668,22.95769615065455,0.2926,0.29291666666666666,0.28853241658058004,7.0,6.583333333333333,6.582629115931968,51.32000000000001,52.21666666666667,50.55067147623163,33.0,37.0,32.70443755750874,0.5316,0.5390833333333332,0.5143262431765709,14.919999999999998,17.458333333333332,15.735904644165583,11.6,14.333333333333334,12.3612480030709,35.2,36.25,36.04983996342022,0.5584,0.5471666666666667,0.5265185298085772,19.6,19.833333333333332,18.963036348343472,0.5873999999999999,0.7104166666666667,0.5757513590407968,5.8,4.083333333333333,5.58335167967846
2019-12-18,"Frost Arena, Brookings, South Dakota",Florida Gulf Coast,South Dakota State,Home,63.0,17,3.3,1,88.9,69.4,25,0.564,55,0.491,27,0.291,16,0.813,13,6,200,119.0,42.9,12,7,75,9.5,6,0.382,21,0.381,8,57.8,37,0.599,18.4,14,34,0.559,19,0.571,8,50.5,48.76153846153846,50.81478809500961,12.8,12.76923076923077,12.970485905302755,7.62,7.1461538461538465,7.511241323119595,2.6,2.6153846153846154,2.472150248099037,99.64,96.9076923076923,96.00909696466778,73.5,72.97692307692309,76.95256256103688,22.2,26.923076923076923,23.540159679061276,0.47700000000000004,0.5049230769230769,0.48709257659834304,59.0,58.76923076923077,58.33835740938318,0.4226,0.4486153846153846,0.4348930756189305,25.0,26.307692307692307,25.363776976183626,0.30019999999999997,0.3555384615384615,0.3172358624946138,17.8,20.53846153846154,18.399071580852816,0.6567999999999999,0.6884615384615385,0.6196613885642999,11.6,14.307692307692308,11.311748623083279,4.8,2.6923076923076925,4.959846906806212,200.0,203.76923076923077,200.28517182528262,99.17999999999999,100.9076923076923,100.70626372447744,28.26,29.646153846153844,28.36882118617119,9.6,9.846153846153847,9.596132025944556,15.2,17.23076923076923,15.368898899407462,68.0,73.38461538461539,68.09438865273852,9.08,8.076923076923077,8.85654305934243,6.2,5.846153846153846,5.957157991197519,0.3984,0.38684615384615384,0.38932470772860966,23.4,22.615384615384617,22.638464100436366,0.274,0.28784615384615386,0.26802161105372,6.4,6.461538461538462,6.05508607728798,49.44,52.284615384615385,51.40044765082109,31.8,36.76923076923077,33.13629170500583,0.5012,0.5355384615384615,0.5072174954510473,14.86,17.123076923076923,14.857269762777054,11.6,14.0,11.574165335380602,35.6,36.15384615384615,35.69989330894681,0.5210000000000001,0.549,0.5413456865390515,18.6,19.846153846153847,19.308690898895648,0.5700000000000001,0.6971538461538462,0.5631675726938645,6.2,4.3076923076923075,6.055567786452307
2019-12-21,"Frost Arena, Brookings, South Dakota",Idaho,South Dakota State,Home,64.5,20,8.3,3,75.0,91.4,32,0.57,64,0.484,31,0.359,23,0.522,12,6,200,111.8,25.0,9,18,85,13.2,10,0.375,24,0.458,11,57.7,41,0.567,10.8,9,40,0.5,20,0.6,9,51.379999999999995,49.778571428571425,54.87652539667308,12.8,13.071428571428571,14.313657270201837,6.779999999999999,6.871428571428572,6.107494215413063,2.2,2.5,1.9814334987326914,95.72,96.33571428571429,93.6393979764452,73.84,72.72142857142858,74.43504170735793,23.0,26.785714285714285,24.026773119374184,0.4782,0.5091428571428571,0.5127283843988953,58.0,58.5,57.22557160625546,0.4242,0.4516428571428572,0.45359538374595365,24.6,26.357142857142858,25.909184650789086,0.275,0.3509285714285714,0.3084905749964092,16.0,20.214285714285715,17.59938105390188,0.6674,0.6973571428571429,0.6841075923761999,10.4,14.214285714285714,11.87449908205552,5.4,2.9285714285714284,5.306564604537475,200.0,203.5,200.1901145501884,98.75999999999999,102.2,106.80417581631829,27.8,30.592857142857145,33.212547457447464,9.2,10.0,10.397421350629704,14.2,16.5,12.57926593293831,65.8,73.5,70.39625910182568,9.0,8.178571428571429,9.071028706228287,6.0,5.857142857142857,5.971438660798347,0.3948,0.3865,0.38688313848573985,22.8,22.5,22.09230940029091,0.2752,0.29450000000000004,0.30568107403581335,6.2,6.571428571428571,6.7033907181919865,49.7,52.67857142857143,53.53363176721407,32.2,36.785714285714285,34.42419447000389,0.5014000000000001,0.5400714285714285,0.5378116636340315,15.64,17.214285714285715,16.03817984185137,12.0,14.0,12.382776890253735,35.2,36.0,35.13326220596454,0.5216000000000001,0.5497142857142857,0.547230457692701,18.4,19.785714285714285,19.2057939325971,0.5508,0.6881428571428572,0.5657783817959097,6.6,4.571428571428571,6.703711857634872
