date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-26,"John Gray Gymnasium, Grand Cayman",New Mexico State,South Florida,Away,43.8,7,13.8,4,110.2,70.8,17,0.394,47,0.34,16,0.234,11,0.727,8,3,200,76.3,25.8,8,14,45,8.5,5,0.34,16,0.313,5,45.5,25,0.431,22.4,15,31,0.355,11,0.5,3,42.9,42.9,46.59876543209877,9.4,9.4,10.296296296296298,7.8,7.8,5.846913580246917,2.4,2.4,1.827160493827161,86.4,86.4,84.56172839506173,78.52000000000001,78.52000000000001,82.74197530864198,19.4,19.4,19.58024691358025,0.505,0.505,0.5370864197530865,52.0,52.0,49.802469135802475,0.43079999999999996,0.43079999999999996,0.45311111111111113,22.0,22.0,22.19753086419753,0.43220000000000003,0.43220000000000003,0.461246913580247,22.2,22.2,22.802469135802475,0.53,0.53,0.5291358024691358,12.2,12.2,12.49382716049383,1.4,1.4,1.5061728395061729,200.0,200.0,200.0,94.02000000000001,94.02000000000001,98.02345679012346,31.5,31.5,29.807407407407414,10.0,10.0,8.901234567901238,19.0,19.0,18.58024691358025,63.6,63.6,64.93827160493828,16.52,16.52,15.388888888888891,11.4,11.4,10.333333333333334,0.43220000000000003,0.43220000000000003,0.4373703703703704,22.4,22.4,21.666666666666668,0.3396,0.3396,0.3785185185185186,7.4,7.4,8.049382716049383,52.879999999999995,52.879999999999995,54.04567901234569,29.4,29.4,28.481481481481488,0.5156,0.5156,0.5428024691358025,21.16,21.16,20.951851851851856,16.6,16.6,15.839506172839508,29.6,29.6,28.135802469135804,0.5002,0.5002,0.5100493827160495,14.6,14.6,14.14814814814815,0.5866,0.5866,0.6073580246913581,1.6,1.6,1.888888888888889
2019-11-27,"John Gray Gymnasium, Grand Cayman",South Florida,Nebraska,Home,44.4,12,8.6,3,115.6,88.0,22,0.443,70,0.386,27,0.086,6,0.833,5,4,200,104.7,43.2,16,15,67,6.3,4,0.386,27,0.296,8,61.3,38,0.46,9.9,8,43,0.442,19,0.429,3,40.660000000000004,43.050000000000004,45.66584362139918,8.6,9.0,9.197530864197532,7.5200000000000005,8.799999999999999,8.497942386831278,2.2,2.6666666666666665,2.5514403292181074,96.72,90.36666666666667,93.10781893004116,76.02000000000001,77.23333333333333,78.761316872428,17.8,19.0,18.7201646090535,0.4968,0.4865,0.4893909465020577,50.6,51.166666666666664,48.86831275720165,0.4248,0.4156666666666667,0.41540740740740745,21.2,21.0,20.131687242798357,0.3494,0.39916666666666667,0.3854979423868314,17.4,20.333333333333332,18.868312757201654,0.544,0.5628333333333334,0.5950905349794239,9.2,11.5,10.995884773662553,2.0,1.6666666666666667,2.004115226337449,200.0,200.0,200.0,89.28,91.06666666666666,90.78230452674899,29.8,30.55,28.47160493827161,9.2,9.666666666666666,8.600823045267493,17.4,18.166666666666668,17.053497942386834,58.6,60.5,58.29218106995886,15.639999999999997,15.183333333333332,13.092592592592595,10.6,10.333333333333334,8.555555555555557,0.4224,0.41683333333333333,0.40491358024691365,21.4,21.333333333333332,19.77777777777778,0.3356,0.33516666666666667,0.3566790123456791,7.0,7.0,7.032921810699589,50.6,51.65,51.19711934156379,27.0,28.666666666666668,27.320987654320994,0.5025999999999999,0.5015,0.5055349794238684,22.7,21.366666666666664,21.434567901234573,17.2,16.333333333333332,15.559670781893006,29.2,29.833333333333332,29.09053497942387,0.49239999999999995,0.476,0.45836625514403306,14.2,14.0,13.098765432098768,0.4866,0.5721666666666666,0.5715720164609055,2.0,1.8333333333333333,2.2592592592592595
2019-12-02,"Sun Dome, Tampa, Florida",Furman,South Florida,Home,61.9,13,10.7,3,82.1,88.6,31,0.481,53,0.396,21,0.415,22,0.636,14,4,200,97.0,33.3,12,16,65,7.5,5,0.434,23,0.391,9,60.6,43,0.512,19.3,15,30,0.4,12,0.5,4,45.0,43.24285714285714,45.24389574759946,10.0,9.428571428571429,10.131687242798355,6.4799999999999995,8.77142857142857,8.531961591220853,2.0,2.7142857142857144,2.7009602194787385,100.36,93.97142857142856,100.60521262002744,81.47999999999999,78.77142857142857,81.840877914952,18.8,19.428571428571427,19.813443072702334,0.5034,0.4802857142857143,0.47392729766803854,52.4,53.857142857142854,55.9122085048011,0.4298,0.4114285714285714,0.405604938271605,22.2,21.857142857142858,22.42112482853224,0.3076,0.3544285714285714,0.2856652949245543,15.0,18.285714285714285,14.57887517146777,0.5993999999999999,0.6014285714285714,0.6743936899862826,8.2,10.571428571428571,8.997256515775035,2.6,2.0,2.6694101508916326,200.0,200.0,200.0,94.44000000000001,93.01428571428572,95.421536351166,32.660000000000004,32.357142857142854,33.381069958847746,10.2,10.571428571428571,11.067215363511663,15.8,17.714285714285715,16.36899862825789,60.0,61.42857142857143,61.19478737997258,12.16,13.914285714285713,10.828395061728397,7.8,9.428571428571429,7.037037037037038,0.4109999999999999,0.4124285714285714,0.39860905349794246,21.4,22.142857142857142,22.185185185185187,0.3504,0.32957142857142857,0.3364526748971194,7.4,7.142857142857143,7.355281207133061,54.38000000000001,53.028571428571425,54.56474622770919,29.0,30.0,30.880658436214,0.5084,0.49557142857142855,0.49035665294924563,20.36,19.728571428571428,17.589711934156384,15.0,15.142857142857142,13.039780521262005,31.0,31.714285714285715,33.72702331961592,0.4866,0.47114285714285714,0.45291083676268873,14.8,14.714285714285714,15.065843621399178,0.47240000000000004,0.5517142857142857,0.524048010973937,2.4,2.0,2.5061728395061733
2019-12-06,"Sun Dome, Tampa, Florida",Dartmouth,South Florida,Home,47.8,11,4.3,1,68.8,81.5,22,0.574,47,0.489,23,0.404,19,0.474,9,4,200,98.4,29.2,7,19,63,17.2,11,0.468,22,0.364,8,56.9,29,0.562,23.5,17,25,0.6,15,0.556,5,49.38,45.575,50.79593049839964,11.0,9.875,11.087791495198903,6.62,9.0125,9.254641060813903,2.0,2.75,2.800640146319159,96.5,92.4875,94.43680841335163,84.42,80.0,84.093918609968,21.6,20.875,23.54229538180156,0.5162,0.480375,0.4762848651120257,52.2,53.75,54.94147233653407,0.43500000000000005,0.40950000000000003,0.40240329218107,22.4,21.75,21.947416552354827,0.324,0.362,0.3287768632830362,15.8,18.75,17.05258344764518,0.6378,0.60575,0.6615957933241884,9.4,11.0,10.664837677183357,3.0,2.25,3.1129401005944217,200.0,200.0,200.0,98.47999999999999,93.5125,95.94769090077733,30.98,32.475,33.35404663923183,9.6,10.75,11.378143575674443,16.2,17.5,16.24599908550526,62.4,61.875,62.46319158664839,10.18,13.112499999999999,9.718930041152266,6.4,8.875,6.358024691358025,0.4126,0.415125,0.410406035665295,21.4,22.25,22.45679012345679,0.3852,0.33725,0.3546351165980796,8.2,7.375,7.903520804755375,55.660000000000004,53.975,56.57649748513947,31.2,31.625,34.920438957476,0.526,0.497625,0.49757110196616383,18.98,19.675,18.15980795610426,13.6,15.125,13.69318701417467,30.8,31.5,32.48468221307728,0.46980000000000005,0.46225,0.4352738911751258,14.2,14.375,14.043895747599453,0.5058,0.54525,0.5160320073159581,3.0,2.25,3.004115226337449
2019-12-15,"Sun Dome, Tampa, Florida",Drexel,South Florida,Home,42.9,12,5.9,1,95.3,79.2,19,0.5,63,0.444,28,0.413,26,0.692,18,4,200,126.6,50.0,17,19,81,14.1,9,0.349,22,0.318,7,62.1,36,0.537,9.7,8,41,0.512,21,0.6,6,50.48,45.82222222222222,49.797286998933096,11.0,10.0,11.058527663465936,7.4799999999999995,8.488888888888889,7.603094040542603,2.2,2.5555555555555554,2.200426764212773,92.52,89.85555555555555,85.89120560890109,84.72,80.16666666666667,83.229279073312,22.0,21.0,23.02819692120104,0.5012000000000001,0.49077777777777776,0.5088565767413504,52.2,53.0,52.294314891022715,0.4222,0.41833333333333333,0.4312688614540467,21.8,21.88888888888889,22.298277701569887,0.3324,0.36666666666666664,0.3538512421886908,16.2,18.77777777777778,17.70172229843012,0.6384000000000001,0.5911111111111111,0.5990638622161256,9.6,10.777777777777779,10.109891784788905,3.4,2.4444444444444446,3.4086267337296148,200.0,200.0,200.0,95.9,94.05555555555556,96.7651272671849,30.459999999999997,32.111111111111114,31.969364426154556,9.6,10.333333333333334,9.918762383782962,16.2,17.666666666666668,17.16399939033684,61.2,62.0,62.642127724432264,10.719999999999999,13.566666666666666,12.212620027434845,6.8,9.11111111111111,7.905349794238685,0.421,0.42100000000000004,0.42960402377686335,21.8,22.22222222222222,22.304526748971195,0.368,0.3402222222222222,0.35775674439871974,8.0,7.444444444444445,7.935680536503584,55.56,54.3,56.68433165675965,31.6,31.333333333333332,32.946959304984006,0.5132000000000001,0.5047777777777778,0.519047401310776,19.360000000000003,20.1,19.939871970736174,14.0,15.333333333333334,14.795458009449781,30.4,30.77777777777778,29.98978814205152,0.4638,0.47755555555555557,0.4901825941167506,13.8,14.444444444444445,14.362597165066303,0.517,0.5464444444444445,0.5293546715439721,3.6,2.5555555555555554,3.6694101508916326
2019-12-18,"Toyota Center, Houston, Texas",Utah State,South Florida,Away,32.1,9,3.7,1,107.0,72.4,21,0.508,60,0.467,28,0.3,18,0.722,13,5,225,104.2,30.0,9,25,74,11.3,8,0.283,17,0.294,5,50.8,30,0.54,13.9,11,43,0.535,23,0.545,6,48.16,45.53,47.49819133262206,11.0,10.2,11.372351775643958,8.66,8.23,7.035396027028402,2.4,2.4,1.800284509475182,94.4,90.4,89.02747040593407,81.61999999999999,80.07000000000001,81.88618604887466,22.2,20.8,21.685464614134027,0.47840000000000005,0.49169999999999997,0.5059043844942337,56.0,54.0,55.86287659401515,0.41100000000000003,0.42089999999999994,0.43551257430269785,23.0,22.5,24.198851801046594,0.3104,0.3713,0.37356749479246054,16.8,19.5,20.46781486562008,0.6723999999999999,0.6012000000000001,0.6300425748107504,10.8,11.5,12.739927856525938,3.8,2.6,3.6057511558197435,200.0,200.0,200.0,100.6,97.31,106.71008484478995,36.3,33.9,37.97957628410303,12.0,11.0,12.279174922521975,16.6,17.8,17.775999593557895,64.2,63.9,68.76141848295484,10.719999999999999,13.62,12.841746684956563,6.8,9.1,8.270233196159124,0.3954,0.4138,0.4027360158512423,22.0,22.2,22.203017832647465,0.3364,0.33799999999999997,0.3445044962658132,7.4,7.4,7.623787024335723,57.279999999999994,55.08,58.48955443783977,34.2,31.8,33.96463953665601,0.5004000000000001,0.508,0.5250316008738507,16.96,19.06,16.526581313824117,12.6,14.6,12.530305339633188,34.0,31.8,33.65985876136768,0.46180000000000004,0.48100000000000004,0.49745506274450046,15.6,15.1,16.575064776710867,0.517,0.5518,0.552903114362648,4.2,2.9,4.446273433927756
2019-12-21,"BB&T Center, Sunrise, Florida",Florida State,South Florida,Away,20.8,5,3.6,1,90.4,72.4,21,0.455,56,0.429,24,0.268,15,0.6,9,6,200,82.2,26.1,6,17,60,11.0,8,0.268,15,0.2,3,51.9,27,0.475,24.2,20,41,0.512,21,0.5,6,45.82000000000001,44.309090909090905,42.36546088841472,11.4,10.090909090909092,10.581567850429305,6.640000000000001,7.818181818181818,5.923597351352269,1.8,2.272727272727273,1.5335230063167882,93.75999999999999,91.9090909090909,95.01831360395605,81.94,79.37272727272727,78.72412403258312,23.0,20.818181818181817,21.456976409422687,0.5012000000000001,0.49318181818181817,0.5066029229961558,58.6,54.54545454545455,57.241917729343434,0.4364,0.42509090909090913,0.4460083828684653,25.4,23.0,25.46590120069773,0.3236,0.3648181818181818,0.34904499652830706,18.2,19.363636363636363,19.64520991041339,0.6714,0.6121818181818182,0.6606950498738337,11.8,11.636363636363637,12.826618571017292,4.2,2.8181818181818183,4.070500770546496,205.0,202.27272727272728,208.33333333333334,106.17999999999999,97.93636363636364,105.87338989652665,37.14,33.54545454545455,35.31971752273536,12.2,10.818181818181818,11.186116615014651,18.8,18.454545454545453,20.183999729038597,70.0,64.81818181818181,70.5076123219699,11.279999999999998,13.409090909090908,12.327831123304378,7.4,9.0,8.180155464106083,0.384,0.40190909090909094,0.3628240105674949,22.2,21.727272727272727,20.46867855509831,0.33259999999999995,0.334,0.32766966417720883,7.4,7.181818181818182,6.749191349557149,58.339999999999996,54.690909090909095,55.92636962522651,35.2,31.636363636363637,32.64309302443734,0.5222,0.5109090909090909,0.5300210672492338,15.26,18.59090909090909,15.65105420921608,11.8,14.272727272727273,12.020203559755458,36.4,32.81818181818182,36.77323917424512,0.49779999999999996,0.4859090909090909,0.5099700418296671,18.0,15.818181818181818,18.71670985114058,0.526,0.5511818181818181,0.5502687429084321,4.8,3.1818181818181817,4.964182289285171
2019-12-29,"Sun Dome, Tampa, Florida",Florida Atlantic,South Florida,Home,55.0,11,9.7,3,98.3,69.2,18,0.556,45,0.444,20,0.4,18,0.556,10,6,200,101.7,30.4,7,12,60,8.5,5,0.444,20,0.5,10,51.0,25,0.56,19.7,13,25,0.4,10,0.538,7,41.1,42.35,35.176973925609815,10.0,9.666666666666666,8.721045233619538,5.64,7.466666666666666,5.1490649009015135,1.4,2.1666666666666665,1.3556820042111921,88.72,91.78333333333335,93.4788757359707,78.82000000000001,78.79166666666667,76.61608268838876,22.8,20.833333333333332,21.304650939615126,0.5035999999999999,0.49,0.4894019486641039,55.8,54.666666666666664,56.82794515289562,0.445,0.4254166666666667,0.44033892191231017,24.8,23.083333333333332,24.97726746713182,0.36,0.35674999999999996,0.3220299976855381,20.0,19.0,18.09680660694226,0.6248,0.6111666666666666,0.6404633665825558,12.6,11.416666666666666,11.551079047344862,4.6,3.0833333333333335,4.713667180364331,205.0,202.08333333333334,205.55555555555557,101.67999999999999,96.625,97.98225993101778,33.720000000000006,32.925000000000004,32.24647834849024,10.2,10.416666666666666,9.457411076676435,19.2,18.333333333333332,19.122666486025732,68.6,64.41666666666667,67.00507488131328,12.219999999999999,13.208333333333334,11.885220748869585,8.2,8.916666666666666,8.120103642737389,0.3604,0.39075,0.33121600704499665,19.8,21.166666666666668,18.645785703398875,0.3134,0.32283333333333336,0.28511310945147256,6.4,6.833333333333333,5.499460899704767,56.46,54.458333333333336,54.58424641681768,33.0,31.25,30.762062016291562,0.5252000000000001,0.5079166666666667,0.5116807114994892,18.119999999999997,19.058333333333334,18.500702806144055,14.2,14.75,14.68013570650364,36.0,33.5,38.18215944949675,0.5118,0.48808333333333337,0.5106466945531114,18.4,16.25,19.477806567427052,0.5402,0.5469166666666666,0.5335124952722881,5.4,3.4166666666666665,5.309454859523448
2020-01-01,"Moody Coliseum, Dallas, Texas",South Florida,SMU,Home,56.0,14,3.3,1,115.5,75.0,18,0.453,64,0.391,25,0.172,11,0.545,6,7,200,90.1,29.3,12,10,64,14.1,10,0.344,22,0.364,8,46.2,30,0.462,15.9,13,42,0.405,17,0.5,7,39.72,43.323076923076925,41.78464928373988,9.6,9.76923076923077,9.480696822413027,5.4399999999999995,7.638461538461538,6.666043267267676,1.4,2.230769230769231,1.9037880028074614,91.96,92.28461538461539,95.08591715731382,74.94000000000001,78.05384615384615,74.14405512559252,20.2,20.615384615384617,20.203100626410084,0.5186,0.4950769230769231,0.5116012991094027,54.2,53.92307692307692,52.88529676859709,0.4546,0.4268461538461539,0.4415592812748734,24.6,22.846153846153847,23.318178311421214,0.357,0.36007692307692307,0.3480199984570254,19.2,18.923076923076923,18.06453773796151,0.6088,0.6069230769230769,0.6123089110550373,11.8,11.307692307692308,11.034052698229909,5.0,3.3076923076923075,5.142444786909554,205.0,201.92307692307693,203.70370370370372,102.62,97.01538461538462,99.22150662067853,33.14,32.73076923076923,31.630985565660165,9.2,10.153846153846153,8.638274051117623,18.4,17.846153846153847,16.748444324017157,67.6,64.07692307692308,64.67004992087553,12.419999999999998,12.846153846153847,10.756813832579724,8.2,8.615384615384615,7.08006909515826,0.3624,0.39484615384615385,0.3688106713633311,19.2,21.076923076923077,19.097190468932585,0.33520000000000005,0.3364615384615384,0.35674207296764837,6.6,7.076923076923077,6.999640599803178,54.54,54.19230769230769,53.38949761121179,29.4,30.76923076923077,28.84137467752771,0.5348,0.5119230769230769,0.5277871409996595,18.199999999999996,19.107692307692307,18.90046853742937,13.8,14.615384615384615,14.120090471002428,35.0,32.84615384615385,33.788106299664506,0.5118,0.48130769230769227,0.47376446303540765,18.0,15.76923076923077,16.318537711618035,0.5478,0.5462307692307692,0.5350083301815254,6.0,3.6923076923076925,5.872969906348965
2020-01-04,"Sun Dome, Tampa, Florida",UConn,South Florida,Home,58.3,14,5.3,2,87.0,78.1,25,0.519,52,0.462,24,0.558,29,0.724,21,7,200,108.7,31.3,10,18,75,15.9,11,0.269,14,0.429,6,54.7,35,0.57,14.5,11,38,0.474,18,0.533,8,41.36,44.228571428571435,46.523099522493254,10.2,10.071428571428571,10.987131214942018,5.24,7.328571428571428,5.544028844845117,1.4,2.142857142857143,1.6025253352049744,101.3,93.94285714285715,101.89061143820922,73.64000000000001,77.83571428571429,74.42937008372834,19.4,20.428571428571427,19.468733750940057,0.49440000000000006,0.4920714285714286,0.4920675327396018,57.6,54.642857142857146,56.590197845731396,0.43499999999999994,0.4242857142857143,0.4247061875165823,25.0,23.0,23.878785540947476,0.3106,0.34664285714285714,0.289346665638017,17.6,18.357142857142858,15.709691825307672,0.623,0.6025,0.5898726073700249,11.2,10.928571428571429,9.356035132153274,5.6,3.5714285714285716,5.7616298579397025,205.0,201.78571428571428,202.46913580246917,100.96000000000001,96.52142857142857,96.18100441378569,33.160000000000004,32.48571428571429,30.85399037710678,10.2,10.285714285714286,9.758849367411749,16.6,17.285714285714285,14.498962882678107,67.8,64.07142857142857,64.44669994725035,11.799999999999999,12.935714285714285,11.871209221719816,8.0,8.714285714285714,8.053379396772174,0.33759999999999996,0.39121428571428574,0.3605404475755541,19.2,21.142857142857142,20.064793645955056,0.3352,0.3384285714285714,0.3591613819784323,6.6,7.142857142857143,7.333093733202119,52.4,53.621428571428574,50.99299840747453,29.6,30.714285714285715,29.22758311835181,0.5147999999999999,0.5083571428571428,0.505858093999773,16.68,18.87857142857143,17.900312358286246,13.0,14.5,13.746726980668285,38.4,33.5,36.52540419977634,0.4728,0.47585714285714287,0.45084297535693846,18.4,15.857142857142858,16.545691807745357,0.5366,0.5429285714285714,0.5233388867876836,6.4,3.9285714285714284,6.248646604232643
