date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-24,"Freedom Hall Civic Center, Johnson City, Tennessee",Southern Utah,ETSU,Home,17.4,4,13.0,3,100.0,83.3,25,0.431,58,0.397,23,0.276,16,0.5,8,3,200,82.9,21.6,8,21,58,11.4,8,0.276,16,0.25,4,49.3,33,0.442,18.7,15,42,0.452,19,0.5,3,44.160000000000004,44.160000000000004,45.81358024691359,13.6,13.6,14.000000000000004,12.260000000000002,12.260000000000002,11.3641975308642,5.2,5.2,4.740740740740742,82.54,82.54,79.1888888888889,79.53999999999999,79.53999999999999,79.07654320987655,32.2,32.2,31.148148148148152,0.501,0.501,0.5130987654320989,64.0,64.0,62.333333333333336,0.46419999999999995,0.46419999999999995,0.47128395061728406,29.8,29.8,29.55555555555556,0.3206,0.3206,0.3274938271604939,20.8,20.8,20.71604938271605,0.7016,0.7016,0.7332469135802471,14.2,14.2,14.69135802469136,1.0,1.0,1.2592592592592593,210.0,210.0,204.9382716049383,96.84,96.84,99.67037037037038,29.24,29.24,31.46913580246914,9.6,9.6,9.629629629629632,20.4,20.4,19.48148148148148,78.6,78.6,79.08641975308643,11.26,11.26,11.892592592592594,9.2,9.2,9.518518518518519,0.2972,0.2972,0.3005185185185186,19.2,19.2,18.876543209876544,0.22999999999999998,0.22999999999999998,0.2644074074074075,4.8,4.8,5.283950617283952,56.660000000000004,56.660000000000004,57.671604938271614,41.8,41.8,40.777777777777786,0.5304,0.5304,0.5457654320987655,18.5,18.5,18.729629629629635,16.2,16.2,16.12345679012346,44.8,44.8,43.4567901234568,0.5534,0.5534,0.5524320987654322,25.0,25.0,24.27160493827161,0.7534,0.7534,0.7062222222222223,2.0,2.0,2.135802469135803
2019-11-29,"Centrum, Cedar City, Utah","West Coast Baptist
			",Southern Utah,Home,59.6,31,2.9,1,50.0,92.1,35,0.818,74,0.703,52,0.108,8,0.625,5,3,200,157.5,41.7,10,14,126,21.3,17,0.432,32,0.531,17,72.6,45,0.81,13.4,12,42,0.833,35,0.571,4,35.14,39.699999999999996,36.342386831275725,9.4,12.0,10.666666666666671,11.680000000000001,12.383333333333333,11.909465020576134,4.4,4.833333333333333,4.160493827160495,88.2,85.45,86.12592592592594,79.38,80.16666666666667,80.48436213991769,29.8,31.0,29.09876543209877,0.4652,0.48933333333333334,0.48573251028806597,61.0,63.0,60.8888888888889,0.434,0.453,0.4465226337448561,26.4,28.666666666666668,27.370370370370374,0.2826,0.31316666666666665,0.310329218106996,17.2,20.0,19.1440329218107,0.678,0.668,0.6554979423868315,11.6,13.166666666666666,12.46090534979424,1.6,1.3333333333333333,1.8395061728395063,210.0,208.33333333333334,203.29218106995887,89.5,94.51666666666667,94.08024691358025,28.160000000000004,27.96666666666667,28.17942386831276,9.2,9.333333333333334,9.086419753086421,21.2,20.5,19.987654320987655,68.2,75.16666666666667,72.05761316872429,10.06,11.283333333333333,11.728395061728396,7.6,9.0,9.012345679012347,0.284,0.2936666666666667,0.29234567901234576,17.4,18.666666666666668,17.91769547325103,0.20800000000000002,0.2333333333333333,0.259604938271605,3.8,4.666666666666667,4.855967078189302,54.92,55.43333333333334,54.881069958847746,39.0,40.333333333333336,38.18518518518519,0.49539999999999995,0.5156666666666666,0.5111769547325103,19.5,18.533333333333335,18.719753086419757,16.4,16.0,15.74897119341564,43.6,44.333333333333336,42.97119341563787,0.5146,0.5365,0.5189547325102881,22.6,24.0,22.514403292181075,0.6534,0.7111666666666667,0.6374814814814815,2.4,2.1666666666666665,2.423868312757202
2019-12-01,"Albert Gersten Pavilion, Los Angeles, California",Southern Utah,Loyola Marymount,Home,43.8,7,2.8,1,103.4,65.2,15,0.404,47,0.34,16,0.383,18,0.722,13,4,200,86.4,46.2,12,17,51,1.7,1,0.553,26,0.231,6,55.1,27,0.459,24.7,18,21,0.476,10,0.5,4,40.6,42.542857142857144,44.09492455418382,13.6,14.714285714285714,17.444444444444446,9.28,11.028571428571428,8.906310013717423,3.2,4.285714285714286,3.106995884773664,80.85999999999999,80.38571428571429,74.08395061728396,81.14,81.87142857142855,84.3562414266118,28.8,31.571428571428573,31.065843621399182,0.542,0.5362857142857143,0.596488340192044,60.6,64.57142857142857,65.25925925925927,0.493,0.4887142857142857,0.5320150891632375,30.6,32.0,35.580246913580254,0.24900000000000003,0.28385714285714286,0.24288614540466402,14.6,18.285714285714285,15.429355281207135,0.6792,0.6618571428571428,0.645331961591221,10.0,12.0,9.973936899862828,2.2,1.5714285714285714,2.226337448559671,200.0,207.14285714285714,202.19478737997258,103.44000000000001,103.51428571428572,115.22016460905351,30.72,29.928571428571427,32.68628257887518,8.6,9.428571428571429,9.390946502057615,19.4,19.571428571428573,17.991769547325106,77.6,82.42857142857143,90.03840877914953,12.760000000000002,12.714285714285714,14.918930041152265,9.6,10.142857142857142,11.674897119341566,0.30979999999999996,0.31342857142857145,0.33889711934156386,19.2,20.571428571428573,22.611796982167355,0.2794,0.27585714285714286,0.35006995884773673,6.4,6.428571428571429,8.9039780521262,58.04,57.885714285714286,60.78737997256516,37.4,41.0,40.4567901234568,0.5656,0.5577142857142857,0.6107846364883402,19.02,17.8,16.946502057613174,15.6,15.428571428571429,14.49931412894376,41.4,44.0,42.64746227709192,0.5794,0.5788571428571428,0.6236364883401921,24.2,25.571428571428573,26.67626886145405,0.5676,0.6911428571428572,0.6153209876543211,2.8,2.4285714285714284,2.9492455418381347
2019-12-07,"Centrum, Cedar City, Utah",Utah Valley,Southern Utah,Home,28.6,6,8.6,3,92.3,87.1,27,0.379,62,0.339,21,0.516,32,0.813,26,4,200,93.6,38.5,15,20,73,10.3,8,0.258,16,0.313,5,60.0,42,0.473,19.1,18,46,0.348,16,0.556,5,41.5,42.7,43.99661636945588,12.8,13.75,13.962962962962965,6.68,10.0,6.870873342478283,2.2,3.875,2.404663923182443,82.66,83.2625,83.85596707818931,77.96,79.7875,77.97082761774121,25.8,29.5,25.710562414266125,0.5227999999999999,0.51975,0.5323255601280293,58.8,62.375,59.17283950617285,0.461,0.470125,0.46801005944215834,28.2,30.0,29.053497942386837,0.2898,0.29625,0.2895907636031093,16.2,18.25,16.28623685413809,0.6836,0.6693749999999999,0.6708879743941474,11.2,12.125,10.982624599908553,2.8,1.875,2.817558299039781,200.0,206.25,201.4631915866484,103.22,101.375,105.61344307270235,34.78,31.962500000000002,37.19085505258346,9.6,9.75,10.260631001371744,18.8,19.25,17.66117969821674,75.2,78.5,77.02560585276636,11.440000000000001,11.3375,10.512620027434844,8.6,9.0,8.116598079561046,0.37760000000000005,0.343375,0.41026474622770925,22.0,21.25,23.741197988111573,0.3256,0.27025,0.31037997256515787,7.6,6.375,7.935985368084134,57.5,57.5375,58.89158664837678,35.4,39.25,35.97119341563787,0.5536000000000001,0.5453749999999999,0.5601897576588936,19.36,18.6625,19.531001371742114,15.6,15.75,15.666209419295841,36.8,41.125,35.431641518061284,0.5474,0.5660000000000001,0.5744243255601281,20.6,23.625,21.1175125743027,0.5342,0.66725,0.576880658436214,3.2,2.625,3.29949702789209
2019-12-14,"Centrum, Cedar City, Utah",UCSB,Southern Utah,Home,31.8,7,8.3,3,95.3,70.6,24,0.49,48,0.458,22,0.438,21,0.714,15,4,201,96.9,7.7,2,22,62,9.4,6,0.271,13,0.231,3,43.3,26,0.535,12.3,8,35,0.543,19,0.6,6,39.22,41.13333333333333,38.86441091297059,12.4,12.88888888888889,11.308641975308644,7.5200000000000005,9.844444444444443,7.447248894985522,2.4,3.7777777777777777,2.603109282121629,81.64,84.26666666666667,86.67064471879289,81.86,80.6,81.01388507849414,26.6,29.22222222222222,26.140374942844087,0.5182,0.5041111111111111,0.48121704008535293,60.0,62.333333333333336,60.11522633744857,0.4574,0.4555555555555555,0.4250067062947723,28.4,29.0,26.368998628257895,0.3108,0.32066666666666666,0.36506050906873955,18.0,19.77777777777778,21.524157902758727,0.707,0.6853333333333333,0.7182586495960983,13.2,13.666666666666666,15.988416399939036,3.2,2.111111111111111,3.2117055326931876,200.0,205.55555555555554,200.9754610577656,106.3,100.51111111111112,101.60896204846824,38.84,32.68888888888889,37.62723670172231,11.4,10.333333333333334,11.840420667581164,17.2,19.333333333333332,18.440786465477828,77.6,77.88888888888889,75.68373723517757,11.440000000000001,11.222222222222221,10.441746684956563,8.6,8.88888888888889,8.077732053040698,0.3614,0.3338888888888889,0.3595098308184729,21.4,20.666666666666668,21.16079865874105,0.3356,0.275,0.31125331504343856,7.6,6.222222222222222,6.957323578722757,60.839999999999996,57.8111111111111,59.261057765584525,38.0,39.55555555555556,37.98079561042525,0.5569999999999999,0.5373333333333333,0.5311265051059291,19.080000000000002,18.711111111111112,19.38733424782808,15.8,16.0,16.444139612863893,38.6,41.666666666666664,38.954427678707525,0.5359999999999999,0.5417777777777778,0.49894955037341876,20.8,22.77777777777778,19.411675049535134,0.5454000000000001,0.6548888888888889,0.5699204389574761,3.8,2.888888888888889,3.86633135192806
2019-12-19,"The Walter Pyramid, Long Beach, California",Southern Utah,Long Beach State,Away,61.3,19,11.1,4,85.1,78.6,22,0.592,65,0.477,31,0.2,13,0.538,7,4,200,113.5,36.4,12,16,84,13.5,10,0.462,30,0.5,15,55.7,34,0.59,18.5,16,35,0.457,16,0.636,7,36.239999999999995,40.2,36.509607275313726,11.0,12.3,9.872427983539097,7.119999999999999,9.690000000000001,7.731499263323682,2.2,3.7,2.735406188081086,88.2,85.37,89.54709647919526,79.66,79.6,77.54259005232943,25.2,28.7,25.426916628562726,0.5044000000000001,0.5027,0.4841446933902353,57.8,60.9,56.07681755829905,0.4474,0.4558,0.43600447086318156,26.8,28.3,24.912665752171932,0.3442,0.33240000000000003,0.389373672712493,19.0,19.9,21.349438601839154,0.6748,0.6881999999999999,0.7168390997307322,13.4,13.8,15.658944266626024,3.6,2.3,3.4744703551287923,200.2,205.1,200.9836407051771,103.46,100.15,100.03930803231216,31.140000000000004,30.190000000000005,27.651491134481542,9.4,9.5,8.56028044505411,18.8,19.6,19.62719097698522,74.0,76.3,71.12249149011839,10.82,11.040000000000001,10.094497789971042,8.0,8.6,7.385154702027132,0.358,0.3276,0.3300065538789819,20.6,19.9,18.4405324391607,0.31120000000000003,0.2706,0.28450221002895903,7.0,5.9,5.638215719148506,56.06,56.36,53.94070517705635,34.6,38.2,33.987197073616834,0.5438000000000001,0.5371,0.5324176700706194,17.64,18.07,17.024889498552053,14.2,15.2,13.62942640857593,37.2,41.0,37.63628511913835,0.5304,0.5419,0.5136330335822792,19.8,22.4,19.274450033023424,0.5454000000000001,0.6494,0.5799469593049841,4.4,3.2,4.577554234618708
2019-12-30,"Peter W. Stott Center, Portland, Oregon",Southern Utah,Portland State,Away,48.4,15,10.9,5,111.0,73.8,31,0.596,57,0.544,31,0.368,21,0.714,15,4,200,113.7,35.7,10,15,83,4.1,3,0.281,16,0.375,6,58.6,41,0.62,18.5,15,41,0.61,25,0.667,8,45.02,42.11818181818182,44.77307151687582,14.0,12.909090909090908,12.914951989026065,6.739999999999999,9.818181818181818,8.854332842215788,2.4,3.727272727272727,3.156937458720724,85.22,85.34545454545454,88.06473098613017,78.72,79.5090909090909,77.89506003488628,24.6,28.09090909090909,24.284611085708484,0.5366,0.5108181818181818,0.5200964622601569,59.2,61.27272727272727,59.0512117055327,0.46340000000000003,0.45772727272727276,0.44966964724212105,28.4,28.545454545454547,26.941777168114623,0.329,0.32036363636363635,0.32624911514166205,18.4,19.272727272727273,18.566292401226104,0.6824,0.6745454545454546,0.6572260664871549,13.2,13.181818181818182,12.772629511084016,3.8,2.4545454545454546,3.649646903419195,200.2,204.63636363636363,200.65576047011808,109.58000000000001,101.36363636363636,104.52620535487478,34.1,30.754545454545454,30.56766075632103,10.2,9.727272727272727,9.706853630036074,17.8,19.272727272727273,18.418127317990148,79.2,77.0,75.4149943267456,11.239999999999998,11.263636363636364,11.229665193314029,8.4,8.727272727272727,8.256769801351421,0.39520000000000005,0.3398181818181818,0.3740043692526547,23.4,20.818181818181817,22.2936882927738,0.3612,0.29145454545454547,0.3563348066859727,9.2,6.7272727272727275,8.758810479432338,57.339999999999996,56.3,54.52713678470424,34.8,37.81818181818182,33.991464715744556,0.5734,0.5419090909090909,0.5516117800470797,17.6,18.10909090909091,17.516592999034703,14.4,15.272727272727273,14.419617605717288,35.8,40.45454545454545,36.7575234127589,0.5314,0.5341818181818182,0.49475535572151946,19.2,21.818181818181817,18.182966688682285,0.5726,0.6481818181818182,0.5986313062033227,5.2,3.5454545454545454,5.385036156412472
2020-01-02,"Centrum, Cedar City, Utah",Montana,Southern Utah,Away,20.0,4,17.8,8,89.6,86.2,25,0.422,51,0.392,20,0.412,21,0.714,15,5,200,86.6,28.1,9,14,58,4.5,3,0.255,13,0.231,3,55.7,34,0.476,19.9,15,38,0.447,17,0.615,8,42.779999999999994,42.641666666666666,45.982047677917215,10.8,13.083333333333334,13.609967992684044,8.34,9.908333333333333,9.536221894810526,3.2,3.8333333333333335,3.7712916391471496,97.42,87.48333333333333,95.70982065742012,75.05999999999999,79.03333333333333,76.53004002325753,23.8,28.333333333333332,26.52307405713899,0.49219999999999997,0.5179166666666667,0.5453976415067714,55.8,60.916666666666664,58.36747447035514,0.4316000000000001,0.46491666666666664,0.48111309816141407,24.2,28.75,28.294518112076418,0.381,0.32433333333333336,0.34016607676110805,21.0,19.416666666666668,19.37752826748407,0.7001999999999999,0.6778333333333334,0.6761507109914366,15.2,13.333333333333334,13.515086340722679,4.0,2.5833333333333335,3.76643126894613,200.2,204.25,200.4371736467454,100.82000000000001,102.39166666666667,107.58413690324986,32.9,31.166666666666668,32.278440504214025,10.2,9.75,9.804569086690716,18.0,18.916666666666668,17.278751545326767,70.6,77.5,77.94332955116374,7.8,10.666666666666666,8.85311012887602,5.6,8.25,6.504513200900948,0.365,0.3349166666666667,0.34300291283510315,20.2,20.416666666666668,20.195792195182534,0.32999999999999996,0.29841666666666666,0.3625565377906485,7.0,6.666666666666667,7.839206986288226,54.54,56.49166666666667,55.8847578564695,34.0,38.083333333333336,36.327643143829704,0.5354,0.5484166666666667,0.5744078533647199,18.62,18.141666666666666,17.844395332689803,15.0,15.25,14.613078403811526,35.6,40.5,38.1716822751726,0.4868,0.5405,0.5331702371476796,17.2,22.083333333333332,20.455311125788192,0.5918,0.6497499999999999,0.6214208708022152,6.0,3.9166666666666665,6.256690770941648
2020-01-04,"Centrum, Cedar City, Utah",Montana State,Southern Utah,Home,44.4,8,20.5,8,76.8,76.9,30,0.355,55,0.327,18,0.455,25,0.8,20,5,200,85.5,17.1,6,22,59,7.2,5,0.4,22,0.136,3,48.6,36,0.441,9.6,7,33,0.455,15,0.643,9,38.019999999999996,40.900000000000006,37.32136511861148,10.2,12.384615384615385,10.406645328456031,11.34,10.515384615384615,12.29081459654035,4.6,4.153846153846154,5.180861092764767,94.66,87.64615384615385,93.67321377161342,79.26,79.58461538461538,79.75336001550502,25.8,28.076923076923077,26.01538270475933,0.4958,0.5105384615384615,0.5042650943378476,56.6,60.15384615384615,55.911649646903435,0.442,0.4593076923076923,0.4514087321076094,25.0,28.076923076923077,25.52967874138428,0.3868,0.3310769230769231,0.3641107178407387,21.6,19.53846153846154,19.918352178322714,0.6986,0.6806153846153845,0.6887671406609578,15.6,13.461538461538462,14.010057560481787,4.2,2.769230769230769,4.177620845964087,200.2,203.92307692307693,200.29144909783028,100.86,101.17692307692307,100.58942460216657,29.28,30.930769230769233,30.885627002809354,9.6,9.692307692307692,9.536379391127145,17.4,18.53846153846154,16.18583436355118,72.0,76.0,71.29555303410916,8.36,10.192307692307692,7.402073419250681,6.0,7.846153846153846,5.336342133933965,0.3054,0.32876923076923076,0.31366860855673545,17.6,19.846153846153847,17.797194796788357,0.32999999999999996,0.29323076923076924,0.31870435852709905,6.4,6.384615384615385,6.226137990858818,54.660000000000004,56.43076923076923,55.823171904313,35.4,37.76923076923077,35.551762095886474,0.5388,0.5428461538461539,0.54160523557648,17.66,18.276923076923076,18.52959688845987,14.4,15.23076923076923,14.742052269207685,39.0,40.30769230769231,38.11445485011507,0.481,0.5333076923076923,0.5044468247651198,18.6,21.692307692307693,19.303540750525464,0.6148,0.6470769230769231,0.6192805805348102,6.8,4.230769230769231,6.837793847294433
2020-01-09,"Reed Gym, Pocatello, Idaho",Southern Utah,Idaho State,Away,38.5,10,16.2,6,85.9,67.6,23,0.538,53,0.491,26,0.358,19,0.737,14,5,200,110.9,20.7,6,18,71,12.5,8,0.208,11,0.455,5,46.0,29,0.572,8.9,6,42,0.5,21,0.667,10,41.18,41.15,39.68091007907432,10.6,12.071428571428571,9.604430218970688,13.719999999999999,11.228571428571428,15.0272097310269,5.6,4.428571428571429,6.120574061843178,91.55999999999999,86.87142857142858,88.04880918107561,77.22,79.39285714285714,78.80224001033669,26.4,28.214285714285715,27.343588469839556,0.491,0.49942857142857144,0.45451006289189844,55.2,59.785714285714285,55.607766431268956,0.4396,0.44985714285714284,0.4099391547384063,24.4,27.357142857142858,23.019785827589523,0.3746,0.33992857142857147,0.39440714522715914,20.2,19.928571428571427,21.612234785548473,0.696,0.6891428571428572,0.7258447604406386,14.4,13.928571428571429,16.006705040321194,4.4,2.9285714285714284,4.4517472306427255,200.2,203.64285714285714,200.19429939855354,99.24000000000001,100.05714285714285,95.55961640144439,25.000000000000004,29.942857142857147,26.290418001872904,7.8,9.428571428571429,8.35758626075143,17.8,18.785714285714285,18.123889575700787,69.2,74.78571428571429,67.19703535607277,7.74,9.978571428571428,7.334715612833788,5.4,7.642857142857143,5.22422808928931,0.3338,0.3338571428571429,0.34244573903782366,18.8,20.0,19.198129864525573,0.29460000000000003,0.282,0.25780290568473274,6.0,6.142857142857143,5.150758660572546,52.38000000000001,55.871428571428574,53.415447936208665,34.2,37.642857142857146,35.701174730590985,0.5324,0.5355714285714286,0.5080701570509867,15.76,17.657142857142855,15.553064592306582,12.2,14.642857142857142,12.16136817947179,36.4,39.785714285714285,36.40963656674338,0.5024,0.5277142857142857,0.48796454984341325,18.4,21.214285714285715,17.869027167016977,0.6322,0.6467857142857143,0.6271870536898735,7.6,4.571428571428571,7.558529231529623
