date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-21,"Maples Pavilion, Stanford, California",William & Mary,Stanford,Home,42.3,11,18.2,6,70.4,88.6,31,0.638,47,0.553,26,0.638,30,0.7,21,0,200,114.1,20.0,4,19,81,11.3,8,0.34,16,0.5,8,63.6,35,0.661,18.9,14,31,0.581,18,1.0,6,52.620000000000005,52.620000000000005,54.06296296296297,15.0,15.0,15.185185185185187,8.92,8.92,8.966666666666669,3.0,3.0,2.9753086419753094,82.8,82.8,83.45802469135805,76.67999999999999,76.67999999999999,77.05802469135804,24.8,24.8,24.382716049382722,0.5796,0.5796,0.5865925925925927,54.2,54.2,53.4567901234568,0.5156000000000001,0.5156000000000001,0.5189629629629631,28.0,28.0,27.765432098765437,0.3804,0.3804,0.38451851851851854,19.8,19.8,19.95061728395062,0.7644,0.7644,0.7720493827160495,14.4,14.4,14.851851851851855,0.0,0.0,0.0,200.0,200.0,200.0,109.34,109.34,110.32839506172841,21.32,21.32,23.088888888888892,6.2,6.2,6.407407407407407,14.6,14.6,14.271604938271606,77.4,77.4,77.62962962962965,12.76,12.76,12.886419753086422,9.0,9.0,9.037037037037038,0.3082,0.3082,0.304246913580247,16.8,16.8,16.333333333333336,0.41400000000000003,0.41400000000000003,0.4400864197530865,7.0,7.0,7.246913580246915,50.3,50.3,51.52716049382717,31.0,31.0,30.790123456790127,0.6086,0.6086,0.617493827160494,17.28,17.28,18.171604938271606,13.2,13.2,13.88888888888889,37.4,37.4,37.12345679012346,0.5622,0.5622,0.5529753086419754,21.0,21.0,20.51851851851852,1.0,1.0,1.0,3.0,3.0,3.3950617283950617
2019-11-25,"Sprint Center, Kansas City, Missouri",Stanford,Oklahoma,Away,48.0,12,9.1,4,71.1,87.8,36,0.462,65,0.385,25,0.292,19,0.684,13,0,200,96.1,35.3,12,15,73,13.2,10,0.385,25,0.4,10,64.0,48,0.493,14.1,12,40,0.375,15,1.0,7,51.46,50.9,50.14197530864199,14.6,14.333333333333334,13.790123456790125,9.440000000000001,10.466666666666667,12.044444444444446,3.2,3.5,3.9835390946502063,78.9,80.73333333333333,79.1053497942387,78.1,78.66666666666667,80.9053497942387,26.6,25.833333333333332,26.588477366255148,0.5942000000000001,0.5893333333333334,0.6037283950617285,52.8,53.0,51.3045267489712,0.5262,0.5218333333333334,0.5303086419753087,27.8,27.666666666666668,27.176954732510296,0.4598,0.42333333333333334,0.4690123456790124,23.2,21.5,23.30041152263375,0.7198,0.7536666666666667,0.7480329218106997,16.2,15.5,16.901234567901238,0.0,0.0,0.0,200.0,200.0,200.0,111.0,110.13333333333333,111.58559670781895,24.58,21.099999999999998,22.059259259259264,6.8,5.833333333333333,5.604938271604938,16.0,15.333333333333334,15.847736625514404,79.0,78.0,78.7530864197531,11.260000000000002,12.516666666666666,12.357613168724281,8.0,8.833333333333334,8.69135802469136,0.31320000000000003,0.3135,0.3161646090534981,16.6,16.666666666666668,16.222222222222225,0.4316000000000001,0.4283333333333334,0.4600576131687244,7.2,7.166666666666667,7.4979423868312765,54.5,52.51666666666667,55.55144032921811,33.4,31.666666666666668,32.193415637860085,0.6194,0.6173333333333334,0.6319958847736626,18.44,17.55,18.41440329218107,14.2,13.333333333333334,13.925925925925927,36.2,36.333333333333336,35.08230452674898,0.5702,0.5653333333333334,0.5623168724279837,20.6,20.5,19.679012345679013,1.0,1.0,1.0,4.0,3.5,4.263374485596708
2019-11-26,"Sprint Center, Kansas City, Missouri",Stanford,Butler,Home,69.2,18,8.6,3,109.7,61.5,16,0.622,49,0.531,26,0.184,9,0.667,6,1,200,108.1,26.1,6,10,67,9.7,6,0.408,20,0.45,9,44.9,22,0.629,22.1,15,29,0.586,17,0.875,7,53.06,50.48571428571428,49.42798353909466,15.0,14.0,13.193415637860085,9.1,10.271428571428572,11.062962962962965,3.2,3.5714285714285716,3.9890260631001375,78.11999999999999,79.35714285714286,76.43689986282581,82.16,79.97142857142856,83.20356652949248,28.4,27.285714285714285,29.725651577503434,0.5766000000000001,0.5711428571428572,0.556485596707819,55.8,54.714285714285715,55.86968449931413,0.5032,0.5022857142857143,0.48187242798353913,27.8,27.285714285714285,26.451303155006865,0.41419999999999996,0.4045714285714285,0.410008230452675,21.8,21.142857142857142,21.866941015089168,0.7412,0.7437142857142857,0.7266886145404665,15.8,15.142857142857142,15.600823045267493,0.0,0.0,0.0,200.0,200.0,200.0,110.78,108.12857142857142,106.42373113854597,29.22,23.128571428571426,26.472839506172843,8.4,6.714285714285714,7.7366255144032925,15.6,15.285714285714286,15.565157750342937,79.6,77.28571428571429,76.83539094650207,11.959999999999999,12.614285714285714,12.638408779149522,8.6,9.0,9.127572016460906,0.3222,0.32371428571428573,0.33910973936899874,18.2,17.857142857142858,19.148148148148152,0.45280000000000004,0.4242857142857143,0.4400384087791497,8.2,7.571428571428571,8.331961591220852,58.8,54.15714285714286,58.367626886145416,36.8,34.0,37.46227709190673,0.6058,0.5995714285714285,0.5856639231824419,17.34,17.057142857142857,16.976268861454045,13.6,13.142857142857142,13.283950617283953,37.6,36.857142857142854,36.72153635116599,0.524,0.5381428571428571,0.49987791495198913,19.6,19.714285714285715,18.11934156378601,1.0,1.0,1.0,5.0,4.0,5.175582990397805
2019-12-01,"Maples Pavilion, Stanford, California",UNC Wilmington,Stanford,Home,60.7,17,14.7,5,83.1,86.2,25,0.593,54,0.519,28,0.204,11,0.727,8,1,200,110.8,21.4,6,8,72,9.2,6,0.463,25,0.32,8,54.4,31,0.608,14.5,10,29,0.69,20,0.889,8,53.760000000000005,52.825,56.01865569272978,14.0,14.5,14.795610425240058,10.18,10.0625,10.241975308641976,3.6,3.5,3.659350708733425,83.72,83.15,87.52459990855054,78.84,77.6625,75.96904435299498,26.6,25.875,25.150434385002292,0.5780000000000001,0.5775,0.5783237311385461,52.6,54.0,53.57978966620942,0.5018,0.5058750000000001,0.49824828532235943,26.0,27.125,26.300868770004577,0.42940000000000006,0.377,0.3346721536351167,22.2,19.625,17.577960676726114,0.7032,0.734125,0.7067924096936444,15.8,14.0,12.400548696844996,0.2,0.125,0.3333333333333333,200.0,200.0,200.0,108.17999999999999,108.125,106.98248742569733,27.98,23.5,26.348559670781896,7.6,6.625,7.157750342935529,15.2,14.625,13.710105166895293,75.8,76.0,73.55692729766805,11.36,12.25,11.658939186099682,8.0,8.625,8.085048010973939,0.333,0.33425,0.3620731595793325,17.6,18.125,19.4320987654321,0.4558,0.4275,0.4433589391860998,8.0,7.75,8.554641060813902,56.65999999999999,53.0,53.87841792409695,34.2,32.5,32.30818472793782,0.6058,0.6032500000000001,0.600109282121628,18.979999999999997,17.6875,18.684179240969364,14.4,13.375,13.855967078189304,35.0,35.875,34.14769090077733,0.5222,0.544125,0.5285852766346595,18.0,19.375,17.746227709190673,0.975,0.984375,0.9583333333333334,5.8,4.375,5.783721993598537
2019-12-14,"San Jose State Event Center, San Jose, California",Stanford,San Jose State,Away,36.7,11,15.4,4,75.3,80.5,33,0.533,60,0.5,30,0.4,24,0.583,14,1,200,101.3,30.3,10,19,78,9.1,7,0.267,16,0.25,4,58.1,43,0.546,20.3,18,44,0.591,26,0.9,9,55.9,53.7,57.579103795153195,14.8,14.777777777777779,15.530406950160039,11.940000000000001,10.577777777777778,11.727983539094652,4.2,3.6666666666666665,4.106233805822283,83.03999999999999,83.14444444444445,86.04973327236704,79.2,78.61111111111111,79.37936290199667,26.2,25.77777777777778,25.10028959000153,0.5890000000000001,0.5792222222222222,0.5832158207590308,53.0,54.0,53.719859777472955,0.5056,0.5073333333333333,0.5051655235482396,26.4,27.22222222222222,26.867245846669718,0.3356,0.3577777777777778,0.29111476909007783,17.4,18.666666666666668,15.38530711781741,0.7,0.7333333333333333,0.7135282731290963,12.2,13.333333333333334,10.933699131229998,0.4,0.2222222222222222,0.5555555555555556,200.0,200.0,200.0,108.17999999999999,108.42222222222222,108.25499161713157,26.639999999999997,23.266666666666666,24.699039780521264,7.0,6.555555555555555,6.77183356195702,12.8,13.88888888888889,11.806736777930196,73.8,75.55555555555556,73.0379515317787,11.040000000000001,11.911111111111111,10.839292790733122,7.6,8.333333333333334,7.39003200731596,0.3872,0.34855555555555556,0.39571543971955503,20.6,18.88888888888889,21.288065843621403,0.4398000000000001,0.41555555555555557,0.4022392927907332,8.8,7.777777777777778,8.369760707209268,56.279999999999994,53.15555555555555,54.05227861606464,33.2,32.333333333333336,31.872123151958547,0.608,0.6037777777777777,0.6027395214144187,18.86,17.333333333333332,17.28945282731291,14.0,13.0,12.57064471879287,32.4,35.111111111111114,32.43179393385155,0.5554,0.5603333333333333,0.5823901844231063,17.6,19.444444444444443,18.49748513946045,0.9528000000000001,0.9737777777777777,0.9352222222222223,6.6,4.777777777777778,6.522481329065691
2019-12-17,"Maples Pavilion, Stanford, California",San Francisco,Stanford,Home,26.1,6,18.5,5,75.7,80.6,25,0.521,48,0.479,23,0.396,19,0.737,14,1,200,86.5,18.5,5,11,64,8.1,6,0.229,11,0.364,4,51.7,30,0.561,25.2,19,37,0.514,19,0.909,10,51.379999999999995,52.0,50.619402530102136,13.8,14.4,14.020271300106693,13.2,11.059999999999999,12.951989026063101,4.4,3.7,4.070822537214855,81.92,82.36,82.4664888482447,80.92,78.8,79.75290860133111,28.2,26.5,27.733526393334355,0.5696,0.5746,0.5664772138393539,55.0,54.6,55.81323985164864,0.4976,0.5065999999999999,0.5034436823654931,27.0,27.5,27.91149723111315,0.3436,0.362,0.3274098460600519,18.6,19.2,18.256871411878272,0.6721999999999999,0.7182999999999999,0.6700188487527309,12.4,13.4,11.95579942082,0.6,0.3,0.7037037037037037,200.0,200.0,200.0,106.08,107.71,105.93666107808772,26.619999999999997,23.97,26.566026520347513,7.6,6.9,7.84788904130468,14.2,14.4,14.204491185286798,74.2,75.8,74.69196768785247,10.5,11.629999999999999,10.259528527155416,7.4,8.2,7.26002133821064,0.37260000000000004,0.3404,0.35281029314637,20.4,18.6,19.525377229080938,0.384,0.399,0.35149286186048884,7.8,7.4,6.9131738048061795,57.0,53.65,55.401519077376435,35.8,33.4,35.581415434639034,0.5873999999999999,0.5980000000000001,0.5838263476096125,17.979999999999997,17.630000000000003,18.292968551541943,13.8,13.5,14.38042981252858,34.6,36.0,36.2878626225677,0.5646,0.5634,0.5852601229487375,19.2,20.1,20.998323426306968,0.9328,0.9663999999999999,0.9234814814814816,7.4,5.2,7.348320886043795
2019-12-21,"Chase Center, San Francisco, California",Stanford,San Diego,Away,47.8,11,11.9,5,77.6,81.1,30,0.509,53,0.434,23,0.264,14,0.571,8,1,200,81.6,21.9,7,10,62,10.5,8,0.396,21,0.381,8,53.6,37,0.52,25.3,20,32,0.469,15,0.917,11,48.14,49.64545454545455,42.44626835340142,12.8,13.636363636363637,11.346847533404462,13.26,11.736363636363636,14.801326017375402,4.2,3.8181818181818183,4.380548358143237,82.97999999999999,81.75454545454545,80.21099256549647,79.32000000000001,78.96363636363637,80.03527240088741,27.0,26.363636363636363,26.82235092888957,0.5462,0.5697272727272727,0.5513181425595693,55.2,54.0,53.20882656776576,0.4828,0.504090909090909,0.49529578824366205,26.4,27.09090909090909,26.274331487408766,0.2952,0.3650909090909091,0.3502732307067013,16.4,19.181818181818183,18.504580941252183,0.6796,0.72,0.6923458991684872,11.0,13.454545454545455,12.63719961388,0.8,0.36363636363636365,0.8024691358024691,200.0,200.0,200.0,100.55999999999999,105.78181818181817,99.45777405205848,26.32,23.472727272727273,23.87735101356501,7.8,6.7272727272727275,6.898592694203121,12.6,14.090909090909092,13.136327456857867,70.8,74.72727272727273,71.12797845856832,9.86,11.30909090909091,9.539685684770278,7.0,8.0,6.840014225473761,0.3504,0.3302727272727273,0.3115401954309134,19.4,17.90909090909091,16.683584819387292,0.3568,0.39581818181818185,0.3556619079069926,7.0,7.090909090909091,5.942115869870786,54.620000000000005,53.472727272727276,54.167679384917626,34.8,33.09090909090909,33.720943623092694,0.5673999999999999,0.5946363636363636,0.576217565073075,19.240000000000002,18.318181818181817,20.59531236769463,14.8,14.0,15.920286541685723,35.8,36.09090909090909,36.52524174837847,0.5512,0.5589090909090909,0.5615067486324917,19.4,20.0,20.33221561753798,0.9146000000000001,0.9611818181818182,0.9186543209876545,8.2,5.636363636363637,8.232213924029196
2019-12-29,"Maples Pavilion, Stanford, California",Kansas,Stanford,Away,52.6,10,8.3,3,97.3,60.0,18,0.44,50,0.38,19,0.32,16,0.75,12,2,200,75.7,10.7,3,16,56,13.5,10,0.4,20,0.3,6,36.2,21,0.486,24.0,18,30,0.433,13,0.846,11,48.1,49.49166666666667,44.230845568934285,12.6,13.416666666666666,11.231231688936308,13.820000000000002,11.75,13.834217344916937,4.4,3.9166666666666665,4.587032238762158,84.28,81.40833333333333,79.34066171033098,77.97999999999999,79.14166666666667,80.3901816005916,25.8,26.666666666666668,27.881567285926383,0.5556,0.5646666666666667,0.5372120950397129,52.8,53.916666666666664,53.13921771184384,0.49260000000000004,0.49825,0.4748638588291081,26.0,26.75,25.182887658272513,0.28959999999999997,0.3566666666666667,0.32151548713780087,15.4,18.75,17.00305396083479,0.657,0.7075833333333333,0.6518972661123248,10.0,13.0,11.091466409253334,1.0,0.4166666666666667,0.8683127572016462,200.0,200.0,200.0,97.66,103.76666666666667,93.50518270137232,23.64,23.341666666666665,23.218234009043343,6.8,6.75,6.932395129468747,11.6,13.75,12.09088497123858,68.6,73.66666666666667,68.08531897237889,9.319999999999999,11.241666666666667,9.859790456513519,6.6,8.0,7.226676150315841,0.3526,0.33575,0.3396934636206089,18.6,18.166666666666668,18.12238987959153,0.353,0.39458333333333334,0.36410793860466173,6.6,7.166666666666667,6.628077246580524,52.54,53.48333333333333,53.978452923278425,32.6,33.416666666666664,34.81396241539513,0.5728,0.5884166666666667,0.5574783767153834,21.479999999999997,18.900000000000002,22.16354157846309,16.4,14.5,17.280191027790483,34.2,35.75,35.01682783225232,0.5700000000000001,0.5514166666666667,0.5306711657549945,19.4,19.583333333333332,18.55481041169199,0.898,0.9575,0.9181028806584364,9.0,6.083333333333333,9.15480928268613
2020-01-02,"Maples Pavilion, Stanford, California",California,Stanford,Home,56.0,14,12.2,5,75.4,68.6,24,0.546,54,0.463,25,0.259,14,0.643,9,2,200,98.6,14.3,4,13,68,11.6,8,0.426,23,0.391,9,44.4,28,0.561,14.3,10,31,0.516,16,0.857,12,44.78000000000001,49.73076923076923,47.02056371262286,11.0,13.153846153846153,10.82082112595754,13.76,11.484615384615385,11.989478229944627,4.4,3.8461538461538463,4.0580214925081055,81.79999999999998,82.63076923076923,85.32710780688731,77.67999999999999,77.66923076923078,73.5934544003944,26.2,26.0,24.587711523950926,0.5192,0.5550769230769231,0.5048080633598087,53.0,53.61538461538461,52.0928118078959,0.4624,0.48915384615384616,0.44324257255273875,24.6,26.153846153846153,23.12192510551501,0.3168,0.3538461538461538,0.32101032475853397,16.8,18.53846153846154,16.66870264055653,0.6736000000000001,0.7108461538461538,0.6845981774082166,11.2,12.923076923076923,11.394310939502223,1.2,0.5384615384615384,1.245541838134431,200.0,200.0,200.0,91.17999999999999,101.6076923076923,87.57012180091489,20.559999999999995,22.36923076923077,19.04548933936223,6.2,6.461538461538462,5.6215967529791655,12.8,13.923076923076923,13.393923314159053,66.4,72.3076923076923,64.05687931491926,10.08,11.415384615384616,11.07319363767568,7.4,8.153846153846153,8.151117433543895,0.351,0.34069230769230774,0.3597956424137393,18.6,18.307692307692307,18.748259919727687,0.323,0.3873076923076923,0.34273862573644115,6.0,7.076923076923077,6.418718164387017,50.8,52.15384615384615,48.05230194885229,32.4,32.46153846153846,30.20930827693009,0.5442,0.5805384615384616,0.5336522511435889,21.86,19.292307692307695,22.775694385642062,17.0,14.76923076923077,17.520127351860324,34.4,35.30769230769231,33.34455188816821,0.5394,0.5423076923076923,0.4981141105033297,18.6,19.076923076923077,16.703206941127995,0.8922000000000001,0.948923076923077,0.8940685871056242,9.8,6.461538461538462,9.769872855124088
2020-01-09,"Maples Pavilion, Stanford, California",Washington,Stanford,Home,77.3,17,8.6,3,79.7,57.9,22,0.482,57,0.386,22,0.211,12,0.5,6,2,200,88.4,21.9,7,23,61,14.5,10,0.526,30,0.367,11,41.4,29,0.486,19.4,15,27,0.407,11,0.867,13,43.839999999999996,50.17857142857143,50.01370914174858,10.4,13.214285714285714,11.880547417305028,13.26,11.535714285714286,12.059652153296419,4.4,3.9285714285714284,4.372014328338738,80.26,82.11428571428571,82.01807187125821,74.16,77.02142857142857,71.92896960026295,26.0,25.857142857142858,24.391807682633953,0.5098,0.5544285714285715,0.5185387089065392,53.0,53.642857142857146,52.72854120526394,0.45119999999999993,0.48728571428571427,0.4498283817018259,24.0,26.071428571428573,23.747950070343343,0.3278,0.3470714285714286,0.3003402165056893,17.4,18.214285714285715,15.779135093704353,0.6567999999999999,0.7060000000000001,0.6707321182721444,11.4,12.642857142857142,10.596207293001482,1.4,0.6428571428571429,1.4970278920896207,200.0,200.0,200.0,88.74,101.39285714285714,91.2467478672766,19.14,21.79285714285714,17.463659559574822,5.8,6.285714285714286,5.081064501986111,13.8,13.857142857142858,13.262615542772703,65.6,72.0,65.37125287661284,10.56,11.428571428571429,11.248795758450452,7.8,8.142857142857142,8.10074495569593,0.3436,0.3467857142857143,0.3818637616091596,18.2,18.642857142857142,20.16550661315179,0.3372,0.38757142857142857,0.35882575049096077,6.2,7.214285714285714,7.279145442924679,48.800000000000004,51.6,46.83486796590153,31.8,32.142857142857146,29.472872184620062,0.5347999999999999,0.5791428571428572,0.5427681674290593,21.82,18.935714285714287,19.950462923761375,17.0,14.428571428571429,15.01341823457355,34.8,35.0,32.563034592112146,0.5045999999999999,0.5404285714285714,0.5040760736688865,17.8,18.857142857142858,16.468804627418663,0.8858,0.9423571428571428,0.8817123914037495,10.6,6.857142857142857,10.513248570082727
