date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-25,"Viejas Arena, San Diego, California",Tennessee State,San Diego State,Home,64.7,11,8.6,3,92.5,80.6,25,0.427,48,0.354,17,0.208,10,0.8,8,3,200,73.1,15.4,4,22,49,7.5,5,0.521,25,0.28,7,50.9,29,0.464,24.5,17,23,0.435,10,0.5,3,48.980000000000004,48.980000000000004,51.253086419753096,15.0,15.0,14.827160493827163,12.52,12.52,11.501234567901237,4.6,4.6,4.098765432098767,91.85999999999999,91.85999999999999,93.60370370370372,75.86,75.86,74.9814814814815,27.0,27.0,26.1604938271605,0.5711999999999999,0.5711999999999999,0.5563703703703705,59.8,59.8,58.83950617283951,0.4992,0.4992,0.48100000000000004,30.4,30.4,29.086419753086425,0.24020000000000002,0.24020000000000002,0.27502469135802476,14.2,14.2,15.802469135802472,0.6279999999999999,0.6279999999999999,0.6532592592592593,9.2,9.2,10.60493827160494,1.0,1.0,1.1358024691358026,196.2,196.2,193.66666666666669,106.2,106.2,106.10864197530866,31.880000000000003,31.880000000000003,31.871604938271613,9.6,9.6,9.777777777777779,23.6,23.6,23.95061728395062,78.6,78.6,77.60493827160495,6.4,6.4,7.079012345679013,4.8,4.8,5.271604938271606,0.4288,0.4288,0.4653703703703705,25.4,25.4,26.901234567901238,0.3262,0.3262,0.3189506172839507,8.6,8.6,8.827160493827162,56.02,56.02,55.0172839506173,36.6,36.6,35.93827160493828,0.5908,0.5908,0.5895061728395062,20.82,20.82,20.88271604938272,17.2,17.2,17.12345679012346,34.4,34.4,31.938271604938276,0.628,0.628,0.6144814814814816,21.8,21.8,20.259259259259263,0.7034,0.7034,0.7123950617283953,2.0,2.0,2.2592592592592595
2019-11-28,"Orleans Arena, Paradise, Nevada",Tennessee State,Cal Poly,Away,55.6,15,9.7,3,94.7,80.6,25,0.58,56,0.482,27,0.411,23,0.739,17,3,200,107.9,37.0,10,26,82,7.9,6,0.339,19,0.579,11,60.3,35,0.613,22.3,19,37,0.432,16,0.571,4,49.72,51.6,55.735390946502065,12.2,14.333333333333334,13.55144032921811,10.82,11.866666666666667,10.534156378600827,3.8,4.333333333333333,3.732510288065845,93.43999999999998,91.96666666666665,93.23580246913582,77.1,76.64999999999999,76.85432098765433,25.6,26.666666666666668,25.773662551440335,0.497,0.5471666666666667,0.5132469135802471,57.0,57.833333333333336,55.22633744855968,0.4378,0.47500000000000003,0.4386666666666667,25.6,28.166666666666668,25.057613168724288,0.23020000000000002,0.23483333333333334,0.2526831275720165,13.0,13.5,13.86831275720165,0.7003999999999999,0.6566666666666666,0.7021728395061729,9.4,9.0,9.736625514403293,1.6,1.3333333333333333,1.757201646090535,196.2,196.83333333333334,195.7777777777778,93.64000000000001,100.68333333333334,95.10576131687245,29.359999999999996,29.13333333333333,26.381069958847743,9.0,8.666666666666666,7.851851851851853,23.8,23.333333333333332,23.30041152263375,67.2,73.66666666666667,68.06995884773664,6.36,6.583333333333333,7.219341563786009,4.6,4.833333333333333,5.181069958847738,0.4234,0.44416666666666665,0.48391358024691367,23.6,25.333333333333332,26.26748971193416,0.2822,0.3185,0.30596707818930047,6.6,8.333333333333334,8.218106995884774,54.720000000000006,55.166666666666664,53.6448559670782,34.6,35.333333333333336,33.625514403292186,0.5314,0.5696666666666667,0.5476707818930042,21.96,21.433333333333334,22.088477366255148,17.4,17.166666666666668,17.082304526748974,33.4,32.5,28.958847736625522,0.5436,0.5958333333333333,0.5546543209876544,19.0,19.833333333333332,16.83950617283951,0.6033999999999999,0.6695000000000001,0.6415967078189302,2.4,2.1666666666666665,2.5061728395061733
2019-11-29,"Orleans Arena, Paradise, Nevada",Tennessee State,North Florida,Away,70.0,21,29.0,9,98.6,68.6,24,0.589,56,0.536,30,0.411,23,0.652,15,3,200,109.5,38.5,10,16,81,8.1,6,0.286,16,0.375,6,55.7,34,0.605,19.5,16,40,0.6,24,0.625,5,53.64,52.17142857142857,55.69026063100138,13.4,14.428571428571429,14.034293552812075,10.320000000000002,11.557142857142859,10.25610425240055,3.4,4.142857142857143,3.488340192043897,95.76,92.35714285714286,93.72386831275722,78.46000000000001,77.21428571428571,78.10288065843622,24.4,26.428571428571427,25.515775034293558,0.5182,0.5518571428571428,0.5354979423868313,56.8,57.57142857142857,55.48422496570646,0.4464,0.47600000000000003,0.45311111111111113,26.0,28.0,25.705075445816195,0.29479999999999995,0.25999999999999995,0.3054554183813443,16.6,14.857142857142858,16.9122085048011,0.7282,0.6684285714285715,0.714448559670782,12.2,10.142857142857142,12.157750342935529,2.0,1.5714285714285714,2.171467764060357,196.2,197.28571428571428,197.18518518518522,99.16,101.71428571428571,99.37050754458164,34.17999999999999,30.25714285714286,29.920713305898495,10.2,8.857142857142858,8.567901234567902,24.6,23.714285714285715,24.2002743484225,72.2,74.85714285714286,72.7133058984911,7.38,6.771428571428571,7.446227709190673,5.4,5.0,5.454046639231826,0.4386,0.42914285714285716,0.4356090534979425,24.4,24.428571428571427,23.844993141289443,0.3446,0.35571428571428576,0.3969780521262003,8.0,8.714285714285714,9.145404663923184,57.2,55.9,55.863237311385475,34.6,35.285714285714285,34.08367626886146,0.558,0.5758571428571428,0.5694471879286696,22.380000000000003,21.557142857142857,22.158984910836768,18.2,17.428571428571427,17.721536351165984,32.4,33.142857142857146,31.639231824417017,0.53,0.5724285714285714,0.5137695473251029,18.0,19.285714285714285,16.559670781893008,0.6176,0.6554285714285715,0.6180644718792868,3.0,2.4285714285714284,3.004115226337449
2019-12-06,"Gentry Center Complex, Nashville, Tennessee",Chicago State,Tennessee State,Home,69.2,18,10.0,3,101.4,77.4,24,0.528,54,0.481,26,0.574,31,0.742,23,3,200,109.6,33.3,11,18,80,9.6,7,0.389,21,0.238,5,54.7,35,0.582,17.1,14,33,0.636,21,0.667,6,58.25999999999999,54.4,60.46017375400092,14.6,15.25,16.356195701874718,12.6,13.7375,16.50406950160037,4.0,4.75,5.325560128029265,94.67999999999999,93.1375,95.34924554183814,75.04,76.1375,74.93525377229082,24.4,26.125,25.01051668952904,0.514,0.5565,0.5533319615912209,56.2,57.375,55.656149977137645,0.4452,0.48350000000000004,0.4807407407407408,25.6,28.25,27.136716963877465,0.33299999999999996,0.278875,0.34063694558756286,18.6,15.875,18.94147233653407,0.751,0.6663749999999999,0.6936323731138547,13.8,10.75,13.105166895290354,2.4,1.75,2.447645176040238,196.2,197.625,198.1234567901235,100.0,102.6875,102.74700502972111,33.0,31.2875,32.780475537265666,9.8,9.0,9.045267489711936,22.6,22.75,21.466849565615,72.6,75.625,75.47553726566073,8.2,6.9375,7.664151806127116,6.0,5.125,5.636031092821217,0.42119999999999996,0.41125,0.3857393689986284,23.2,23.375,21.229995427526298,0.3468,0.358125,0.38965203475080024,7.6,8.375,8.096936442615457,55.24000000000001,55.875,55.808824874256985,34.2,35.125,34.05578417924097,0.5578,0.5795,0.5812981252857797,21.2,21.3,21.272656607224512,17.0,17.25,17.147690900777324,33.0,34.0,34.42615454961135,0.5202,0.575875,0.5425130315500687,18.0,19.875,19.039780521262006,0.6092000000000001,0.651625,0.6203763145861912,3.6,2.75,3.6694101508916326
2019-12-10,"Jack Stephens Center, Little Rock, Arkansas",Tennessee State,Little Rock,Home,42.9,9,12.5,5,110.3,75.0,21,0.431,58,0.362,21,0.466,27,0.444,12,4,200,79.5,33.3,13,28,62,12.8,10,0.466,27,0.296,8,50.7,34,0.438,22.3,20,31,0.419,13,0.6,6,63.160000000000004,56.044444444444444,63.37344916933395,14.8,15.555555555555555,16.90413046791648,12.940000000000001,13.322222222222223,14.336046334400248,4.0,4.555555555555555,4.550373418686177,98.3,94.05555555555556,97.36616369455876,75.82000000000001,76.27777777777777,75.75683584819389,24.2,25.88888888888889,24.673677793019362,0.506,0.5533333333333333,0.5448879743941473,52.4,57.0,55.104099984758435,0.4372,0.4832222222222222,0.48082716049382723,23.2,28.0,26.757811309251643,0.3958,0.31166666666666665,0.4184246303917086,21.0,17.555555555555557,22.96098155768938,0.731,0.6747777777777778,0.7097549154092365,15.2,12.11111111111111,16.403444596860236,2.8,1.8888888888888888,2.631763450693492,196.2,197.88888888888889,198.74897119341568,96.54,103.45555555555556,105.03133668648074,28.479999999999997,31.511111111111113,32.953650358177114,8.2,9.222222222222221,9.69684499314129,21.6,22.22222222222222,20.311233043743336,68.8,76.11111111111111,76.9836915104405,8.059999999999999,7.2333333333333325,8.309434537418078,5.8,5.333333333333333,6.090687395214145,0.4196,0.4087777777777778,0.3868262459990856,21.6,23.11111111111111,21.15333028501753,0.34619999999999995,0.34477777777777774,0.3391013565005335,7.2,8.0,7.064624295076971,53.239999999999995,55.74444444444444,55.43921658283799,32.4,35.111111111111114,34.37052278616065,0.5536000000000001,0.5797777777777777,0.5815320835238532,21.34,20.833333333333332,19.88177107148301,16.6,16.88888888888889,16.098460600518216,30.8,33.888888888888886,33.9507696997409,0.5064,0.5825555555555556,0.5736753543667125,16.0,20.0,19.693187014174672,0.5926,0.6533333333333333,0.6359175430574608,4.2,3.111111111111111,4.446273433927756
2019-12-15,"Rose Hill Gym, Bronx, New York",Tennessee State,Fordham,Away,45.8,11,5.1,2,95.3,66.7,22,0.5,55,0.436,24,0.327,18,0.611,11,4,200,103.1,48.4,15,16,66,7.8,5,0.273,15,0.467,7,57.8,37,0.519,20.3,16,40,0.425,17,0.636,7,60.48,54.73,56.5489661128893,14.8,14.9,14.269420311944321,13.959999999999999,13.24,13.724030889600165,4.6,4.6,4.700248945790785,99.5,95.67999999999999,101.67744246303918,76.44,76.15,75.50455723212926,23.8,25.4,23.449118528679577,0.511,0.5410999999999999,0.5069253162627649,54.4,57.1,56.069399989838956,0.44299999999999995,0.4711,0.4412181069958848,24.2,27.3,24.838540872834432,0.414,0.3271,0.43428308692780576,22.8,18.5,24.307321038459587,0.6754,0.6517000000000001,0.6211699436061577,15.0,12.1,14.935629731240159,3.2,2.1,3.087842300462328,200.0,198.1,199.16598079561047,95.92,101.06,96.5208911243205,31.5,31.689999999999998,33.06910023878474,9.6,9.6,10.797896662094194,22.0,22.8,22.874155362495557,70.8,74.7,71.989127673627,9.18,7.790000000000001,9.806289691612053,6.8,5.8,7.3937915968094305,0.4002,0.41450000000000004,0.4132174973327238,21.6,23.5,23.10222019001169,0.3536,0.3399,0.32473423766702236,7.4,8.0,7.376416196717981,54.46,55.239999999999995,53.859477721892,33.4,35.0,34.247015190773766,0.5404,0.5656,0.5336880556825688,21.14,20.98,20.68784738098867,17.2,17.2,17.39897373367881,32.8,33.6,32.96717979982727,0.5044,0.5662,0.5221169029111417,16.8,19.3,17.46212467611645,0.5926,0.648,0.6239450287049739,4.8,3.4,4.964182289285171
2019-12-18,"Hulman Center, Terre Haute, Indiana",Tennessee State,Indiana State,Home,50.0,14,12.8,5,102.6,81.6,31,0.5,59,0.475,28,0.458,27,0.481,13,5,200,94.7,30.8,12,29,72,3.9,3,0.322,19,0.158,3,55.8,43,0.501,18.4,16,40,0.625,25,0.583,7,56.7,53.91818181818182,52.96597740859287,14.8,14.545454545454545,13.179613541296215,13.26,12.5,10.849353926400111,4.4,4.363636363636363,3.800165963860523,100.06,95.64545454545454,99.5516283086928,73.66,75.2909090909091,72.56970482141952,23.2,25.09090909090909,22.966079019119718,0.5256000000000001,0.5373636363636364,0.50461687750851,55.8,56.90909090909091,55.71293332655931,0.45940000000000003,0.46790909090909094,0.43947873799725656,25.6,27.0,24.55902724855629,0.4378,0.3270909090909091,0.3985220579518705,24.4,18.454545454545453,22.204880692306393,0.6376,0.648,0.6177799624041052,15.6,12.0,13.623753154160106,3.4,2.272727272727273,3.3918948669748854,200.0,198.27272727272728,199.44398719707365,101.91999999999999,101.24545454545455,98.71392741621366,38.1,33.20909090909091,38.179400159189825,11.8,10.090909090909092,12.198597774729464,20.8,22.181818181818183,20.582770241663706,74.2,73.9090909090909,69.992751782418,9.239999999999998,7.790909090909091,9.137526461074703,6.8,5.7272727272727275,6.595861064539621,0.3506,0.4016363636363636,0.3664783315551492,19.6,22.727272727272727,20.40148012667446,0.391,0.35145454545454546,0.37215615844468164,7.4,7.909090909090909,7.250944131145321,55.839999999999996,55.472727272727276,55.172985147928,35.0,35.18181818181818,35.16467679384918,0.5513999999999999,0.5613636363636364,0.5287920371217125,20.3,20.918181818181818,20.558564920659116,17.0,17.09090909090909,16.932649155785874,36.2,34.18181818181818,35.31145319988485,0.5024,0.5533636363636364,0.48974460194076114,18.2,19.09090909090909,17.308083117410966,0.6198,0.6469090909090909,0.6279633524699827,5.6,3.727272727272727,5.642788192856781
2019-12-21,"Gentry Center Complex, Nashville, Tennessee","Blue Mountain College
			",Tennessee State,Home,42.4,14,10.0,3,100.0,89.3,25,0.652,56,0.589,33,0.357,20,0.65,13,5,200,121.1,43.5,10,12,86,8.5,6,0.411,23,0.304,7,68.6,35,0.656,17.8,14,33,0.788,26,0.615,8,55.58,53.59166666666667,51.97731827239525,14.6,14.5,13.453075694197477,13.879999999999999,12.525,11.499569284266741,4.8,4.416666666666667,4.200110642573682,101.64,96.22500000000001,100.56775220579522,73.86,75.81666666666666,75.57980321427968,24.4,25.583333333333332,25.644052679413146,0.5096,0.53425,0.5030779183390067,56.4,57.083333333333336,56.80862221770621,0.458,0.46849999999999997,0.45131915866483774,25.8,27.083333333333332,25.706018165704194,0.44719999999999993,0.338,0.41834803863458037,25.2,19.166666666666668,23.80325379487093,0.5860000000000001,0.6340833333333333,0.5721866416027368,14.8,12.083333333333334,13.41583543610674,3.8,2.5,3.9279299113165904,200.0,198.41666666666666,199.6293247980491,99.28,100.7,97.37595161080911,36.86,33.00833333333333,35.71960010612655,12.2,10.25,12.13239851648631,21.4,22.75,23.38851349444247,72.2,73.75,70.66183452161201,8.44,7.466666666666666,7.3916843073831355,6.2,5.5,5.397240709693081,0.34720000000000006,0.395,0.3516522210367662,19.6,22.416666666666668,19.93432008444964,0.3068,0.3353333333333333,0.30077077229645444,5.8,7.5,5.8339627540968815,54.94,55.5,55.38199009861867,36.6,35.833333333333336,37.776451195899455,0.529,0.5563333333333333,0.5195280247478083,19.52,20.708333333333332,19.839043280439412,16.4,17.0,16.62176610385725,36.8,34.666666666666664,36.87430213325657,0.541,0.5593333333333333,0.5348297346271741,20.0,19.583333333333332,19.872055411607313,0.6222,0.6415833333333333,0.6129755683133218,6.2,4.0,6.095192128571187
2020-01-02,"Gentry Center Complex, Nashville, Tennessee",Eastern Illinois,Tennessee State,Home,48.0,12,15.8,6,111.3,75.8,25,0.543,58,0.431,25,0.379,22,0.955,21,5,200,118.3,29.0,9,21,84,5.6,4,0.448,26,0.5,13,53.1,34,0.614,12.9,10,32,0.375,12,0.643,9,50.06,52.73076923076923,48.7848788482635,13.2,14.461538461538462,13.635383796131652,10.08,12.330769230769231,10.999712856177828,3.6,4.3076923076923075,3.800073761715788,101.92,96.51538461538462,100.37850147053015,78.0,76.85384615384615,80.15320214285313,24.6,25.53846153846154,25.4293684529421,0.5222,0.5433076923076923,0.5527186122260045,56.4,57.0,56.539081478470806,0.4686,0.4777692307692308,0.49721277244322515,26.4,27.53846153846154,28.137345443802797,0.4364,0.3394615384615385,0.3978986924230536,24.6,19.23076923076923,22.535502529913956,0.5856,0.6353076923076924,0.5981244277351578,14.4,12.153846153846153,13.277223624071162,4.2,2.6923076923076925,4.285286607544394,200.0,198.53846153846155,199.7528831986994,101.6,102.26923076923077,105.28396774053941,37.86,33.815384615384616,38.3130667374177,12.2,10.23076923076923,11.421599010990874,20.6,21.923076923076923,19.592342329628316,73.2,74.6923076923077,75.77455634774134,8.52,7.546153846153846,7.761122871588757,6.2,5.538461538461538,5.598160473128721,0.3722,0.3962307692307692,0.37143481402451084,21.0,22.46153846153846,20.956213389633096,0.2926,0.33292307692307693,0.3018471815309697,6.0,7.461538461538462,6.222641836064588,57.52,56.50769230769231,59.78799339907911,36.8,35.76923076923077,36.850967463932975,0.5392,0.564,0.5650186831652055,19.18,20.484615384615385,19.159362186959612,16.0,16.76923076923077,15.747844069238168,35.4,34.53846153846154,35.582868088837714,0.5786,0.5769230769230769,0.6192198230847827,20.4,20.076923076923077,21.91470360773821,0.6202,0.6395384615384615,0.6136503788755479,6.8,4.3076923076923075,6.730128085714126
2020-01-04,"Gentry Center Complex, Nashville, Tennessee",SIU-Edwardsville,Tennessee State,Home,67.9,19,0.0,0,101.4,85.2,23,0.667,48,0.583,28,0.438,21,0.714,15,5,200,108.2,17.4,4,20,79,8.2,6,0.375,18,0.444,8,54.0,27,0.681,26.8,21,30,0.667,20,0.667,10,45.82000000000001,52.392857142857146,48.523252565509004,12.0,14.285714285714286,13.09025586408777,11.24,12.578571428571427,12.59980857078522,4.2,4.428571428571429,4.533382507810526,103.9,97.57142857142857,104.01900098035344,77.67999999999999,76.77857142857144,78.7021347619021,24.8,25.5,25.286245635294733,0.5252,0.5432857142857143,0.5494790748173364,57.2,57.07142857142857,57.02605431898054,0.4586,0.4744285714285715,0.47514184829548345,26.2,27.357142857142858,27.091563629201865,0.39740000000000003,0.34228571428571425,0.3915991282820358,22.8,19.428571428571427,22.357001686609305,0.6282,0.6581428571428571,0.7170829518234385,14.0,12.785714285714286,15.851482416047443,4.6,2.857142857142857,4.523524405029596,200.0,198.64285714285714,199.8352554657996,103.33999999999999,103.41428571428571,109.62264516035961,37.0,33.471428571428575,35.20871115827847,11.8,10.142857142857142,10.614399340660583,21.2,21.857142857142858,20.061561553085546,74.0,75.35714285714286,78.51637089849423,7.720000000000001,7.4071428571428575,7.040748581059171,5.6,5.428571428571429,5.065440315419147,0.384,0.39992857142857147,0.39695654268300723,22.0,22.714285714285715,22.63747559308873,0.34500000000000003,0.34485714285714286,0.36789812102064645,7.6,7.857142857142857,8.481761224043058,57.2,56.26428571428572,57.55866226605275,36.6,35.642857142857146,35.900644975955316,0.5456,0.5675714285714285,0.5813457887768037,18.34,19.942857142857143,17.072908124639742,15.2,16.285714285714285,13.831896046158779,35.2,34.357142857142854,34.38857872589181,0.5264,0.5625,0.5378132153898552,18.6,19.5,18.60980240515881,0.6154,0.6397857142857143,0.6234335859170319,7.4,4.642857142857143,7.486752057142751
