date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-20,"Golden 1 Center, Sacramento, California",Sacramento State,UC-Davis,Away,55.6,10,5.1,2,93.8,68.0,17,0.375,48,0.375,18,0.375,18,0.833,15,4,200,78.5,17.2,5,20,51,4.6,3,0.104,5,0.0,0,40.7,22,0.451,21.2,15,43,0.419,18,0.333,2,56.760000000000005,56.760000000000005,58.397530864197535,16.0,16.0,15.827160493827163,4.38,4.38,4.6567901234567906,1.8,1.8,1.9876543209876545,102.03999999999999,102.03999999999999,105.60740740740742,70.2,70.2,68.84444444444446,24.2,24.2,24.074074074074076,0.5432,0.5432,0.5201728395061729,57.4,57.4,57.65432098765433,0.4826,0.4826,0.4636790123456791,27.8,27.8,26.69135802469136,0.27240000000000003,0.27240000000000003,0.2947901234567902,16.0,16.0,17.4320987654321,0.7092,0.7092,0.698641975308642,12.0,12.0,12.851851851851853,1.6,1.6,1.888888888888889,210.0,210.0,216.66666666666669,99.2,99.2,95.85925925925928,23.46,23.46,22.50246913580247,6.6,6.6,6.901234567901236,17.0,17.0,17.567901234567906,74.6,74.6,72.76543209876544,7.720000000000001,7.720000000000001,7.227160493827162,5.8,5.8,5.481481481481483,0.3548,0.3548,0.3625308641975309,20.2,20.2,20.790123456790127,0.34559999999999996,0.34559999999999996,0.3123950617283951,7.0,7.0,6.530864197530865,47.98,47.98,46.244444444444454,30.8,30.8,30.975308641975314,0.5688,0.5688,0.5495925925925926,20.3,20.3,20.27407407407408,16.2,16.2,16.358024691358025,37.2,37.2,36.8641975308642,0.561,0.561,0.5517160493827161,20.8,20.8,20.160493827160497,0.41340000000000005,0.41340000000000005,0.392641975308642,1.4,1.4,1.5061728395061729
2019-11-23,"Chiles Center, Portland, Oregon",UC-Davis,Portland,Home,72.7,16,6.1,2,110.8,84.6,22,0.446,56,0.393,22,0.304,17,0.706,12,5,200,95.4,32.4,11,18,62,6.2,4,0.304,17,0.353,6,55.0,33,0.484,15.9,12,39,0.41,16,0.286,2,59.3,56.56666666666667,57.46502057613169,16.2,15.0,13.884773662551442,4.12,4.5,4.804526748971194,1.6,1.8333333333333333,1.9917695473251031,97.38000000000001,100.66666666666667,101.67160493827163,67.96000000000001,69.83333333333333,68.56296296296298,23.8,23.0,21.71604938271605,0.5391999999999999,0.5151666666666667,0.47178189300411527,55.6,55.833333333333336,54.436213991769556,0.484,0.4646666666666666,0.4341193415637861,27.2,26.166666666666668,23.794238683127578,0.3194,0.28950000000000004,0.3215267489711935,18.0,16.333333333333332,17.621399176954736,0.8008,0.7298333333333332,0.7434279835390947,14.4,12.5,13.567901234567904,2.2,2.0,2.5925925925925926,210.0,208.33333333333334,211.11111111111114,101.17999999999999,95.75,90.07283950617285,24.119999999999997,22.416666666666668,20.734979423868317,6.6,6.333333333333333,6.267489711934157,18.6,17.5,18.37860082304527,75.2,70.66666666666667,65.51028806584364,7.780000000000001,7.2,6.351440329218108,5.8,5.333333333333333,4.654320987654322,0.31599999999999995,0.313,0.27635390946502064,17.8,17.666666666666668,15.526748971193419,0.3104,0.288,0.20826337448559676,6.4,5.833333333333333,4.353909465020577,48.12,46.76666666666667,44.396296296296306,30.4,29.333333333333332,27.98353909465021,0.58,0.5491666666666667,0.5167283950617285,20.78,20.45,20.58271604938272,16.4,16.0,15.905349794238685,37.8,38.166666666666664,38.909465020576135,0.5548,0.5373333333333333,0.5074773662551442,20.8,20.333333333333332,19.440329218107,0.48,0.39999999999999997,0.37276131687242803,1.8,1.5,1.6707818930041154
2019-11-26,"Haas Pavilion, Berkeley, California",UC-Davis,California,Home,39.1,9,0.0,0,107.5,88.9,16,0.467,61,0.377,23,0.213,13,0.692,9,6,200,98.5,11.1,4,18,66,6.0,4,0.443,27,0.407,11,37.0,20,0.491,5.7,4,34,0.353,12,0.25,2,62.34000000000001,58.871428571428574,62.54334705075447,14.8,15.142857142857142,14.58984910836763,4.68,4.728571428571429,5.236351165980796,1.8,1.8571428571428572,1.9945130315500688,103.97999999999999,102.11428571428571,104.71440329218109,68.67999999999999,71.94285714285715,73.90864197530865,21.4,22.857142857142858,21.81069958847737,0.4862,0.5052857142857142,0.4631879286694102,54.0,55.857142857142854,54.95747599451304,0.43760000000000004,0.45442857142857146,0.42041289437585744,23.6,25.571428571428573,23.196159122085053,0.3146,0.29157142857142854,0.315684499314129,17.2,16.428571428571427,17.414266117969824,0.7706,0.7264285714285714,0.7309519890260632,13.2,12.428571428571429,13.045267489711938,3.0,2.4285714285714284,3.3950617283950617,210.0,207.14285714285714,207.40740740740745,93.34,95.7,91.84855967078191,23.599999999999998,23.842857142857138,24.623319615912212,7.4,7.0,7.844993141289439,18.8,17.571428571428573,18.252400548696848,65.8,69.42857142857143,64.34019204389577,6.8,7.057142857142857,6.300960219478739,4.8,5.142857142857143,4.436213991769549,0.3174,0.3117142857142857,0.28556927297668044,17.4,17.571428571428573,16.017832647462278,0.2652,0.29728571428571426,0.2565089163237312,5.4,5.857142857142857,4.902606310013718,45.9,47.94285714285714,47.93086419753087,28.8,29.857142857142858,29.65569272976681,0.5294,0.5398571428571428,0.5058189300411524,20.56,19.8,19.02181069958848,15.8,15.428571428571429,14.603566529492458,36.6,38.285714285714285,38.93964334705076,0.5079999999999999,0.5191428571428571,0.4749849108367628,18.2,19.714285714285715,18.293552812071333,0.4372,0.38371428571428573,0.34384087791495205,2.0,1.5714285714285714,1.7805212620027437
2019-11-29,"Jon M. Huntsman Center, Salt Lake City, Utah",UC-Davis,Utah,Home,46.2,12,12.5,3,118.5,81.0,17,0.565,54,0.481,26,0.278,15,0.8,12,7,200,112.3,23.1,6,20,73,4.6,3,0.315,17,0.529,9,48.9,23,0.597,15.4,11,37,0.459,17,0.222,2,58.160000000000004,56.400000000000006,54.728898033836316,13.6,14.375,12.726566072245088,3.6,4.1375,3.4909007773205314,1.4,1.625,1.3296753543667126,106.08,102.7875,105.64293552812073,73.56,74.0625,78.90576131687244,20.6,22.0,19.87379972565158,0.4702,0.5005,0.4644586191129402,55.6,56.5,56.9716506630087,0.41859999999999997,0.44475,0.40594192958390496,23.2,25.25,23.130772748056703,0.3232,0.28175,0.281456332876086,18.0,16.0,15.942844078646552,0.7534000000000001,0.722125,0.7179679926840421,13.6,12.0,11.696844993141292,4.0,2.875,4.263374485596708,210.0,206.25,204.9382716049383,93.34,96.05,94.06570644718795,21.68,22.25,20.115546410608143,7.0,6.625,6.563328760859626,19.0,17.625,18.168267032464566,66.0,69.0,64.89346136259718,6.18,6.925,6.20064014631916,4.4,5.0,4.290809327846366,0.3268,0.328125,0.3380461819844537,18.6,18.75,19.678555098308188,0.2704,0.311,0.30667261088248743,6.0,6.5,6.935070873342479,44.64,46.575,44.287242798353915,27.6,28.625,26.437128486511206,0.5142,0.53375,0.5008792866941016,17.54,18.0375,14.581207133058989,13.6,14.0,11.069044352994974,37.0,37.75,37.29309556470051,0.47240000000000004,0.498375,0.4343232738911752,17.2,18.75,16.195701874714224,0.3538,0.367,0.3125605852766347,2.0,1.625,1.8536808413351626
2019-12-04,"Rolle Activity Center, Flagstaff, Arizona",UC-Davis,Northern Arizona,Away,50.0,15,3.8,1,98.5,74.3,26,0.7,50,0.6,30,0.32,16,0.938,15,7,200,126.9,35.0,7,19,85,9.0,6,0.38,19,0.526,10,60.0,33,0.738,20.8,15,31,0.645,20,0.3,3,57.0,55.26666666666667,51.88593202255755,13.4,14.11111111111111,12.484377381496726,6.1,5.066666666666666,6.493933851547021,2.0,1.7777777777777777,1.886450236244475,107.55999999999999,104.53333333333333,109.92862368541383,78.14,74.83333333333333,79.60384087791496,20.4,21.444444444444443,18.915866483767722,0.469,0.5076666666666667,0.49797241274196014,56.6,56.22222222222222,55.981100442005804,0.4128,0.4487777777777777,0.43096128638927,23.4,25.333333333333332,24.087181832037803,0.3216,0.2813333333333333,0.2803042219173907,18.2,15.88888888888889,15.628562719097703,0.7562,0.7307777777777777,0.7453119951226947,13.8,12.0,11.797896662094196,5.0,3.3333333333333335,5.175582990397805,210.0,205.55555555555554,203.29218106995887,97.18,97.85555555555555,100.1438042981253,21.5,22.344444444444445,21.110364273738764,7.0,6.555555555555555,6.375552507239751,19.4,17.88888888888889,18.77884468830971,67.2,69.44444444444444,67.59564090839812,5.720000000000001,6.666666666666667,5.667093430879441,4.0,4.777777777777778,3.860539551897578,0.3082,0.32666666666666666,0.33036412132296916,18.0,18.555555555555557,18.785703398872126,0.3162,0.3352222222222222,0.380781740588325,6.6,6.777777777777778,7.62338058222832,45.84,46.833333333333336,45.82482853223594,27.4,28.0,25.291418991007475,0.5132,0.5407777777777778,0.5329195244627345,14.919999999999998,17.744444444444444,14.854138088705993,11.4,13.666666666666666,11.046029568663316,38.6,37.666666666666664,37.195397043133674,0.4332,0.494,0.44254884926078353,16.8,18.555555555555557,16.463801249809485,0.2982,0.35088888888888886,0.2823737235177565,2.0,1.6666666666666667,1.902453894223442
2019-12-07,"The Pavilion, Davis, California",Northern Illinois,UC-Davis,Home,34.8,8,3.6,1,87.7,73.5,25,0.542,48,0.479,23,0.354,17,0.824,14,7,200,101.5,13.0,3,17,66,4.6,3,0.438,21,0.286,6,49.1,28,0.588,16.5,11,27,0.63,17,0.364,4,52.720000000000006,54.739999999999995,51.25728801503837,12.4,14.2,13.322918254331151,5.5,4.9399999999999995,5.595955901031347,1.6,1.7,1.5909668241629835,105.82000000000001,103.92999999999999,106.11908245694255,79.36,74.78,77.83589391860997,19.6,21.9,21.277244322511816,0.5105999999999999,0.5269,0.5653149418279735,53.8,55.6,53.987400294670536,0.4452,0.46390000000000003,0.4873075242595134,23.8,25.8,26.058121221358537,0.298,0.2852,0.2935361479449271,15.8,15.9,15.752375146065138,0.7937999999999998,0.7515,0.8095413300817965,12.6,12.3,12.865264441396132,5.8,3.7,5.783721993598537,200.0,205.0,202.19478737997258,102.32000000000001,100.76,109.06253619875021,23.759999999999998,23.61,25.740242849159177,6.6,6.6,6.583701671493168,19.0,18.0,18.85256312553981,67.4,71.0,73.39709393893209,6.08,6.9,6.778062287252961,4.0,4.9,4.573693034598385,0.3092,0.33199999999999996,0.3469094142153128,17.0,18.6,18.857135599248085,0.36300000000000004,0.3543,0.42918782705888336,7.2,7.1,8.41558705481888,48.32000000000001,48.15,50.549885688157296,26.2,28.5,27.860945994004986,0.5522,0.5605,0.6012796829751563,15.8,18.05,16.83609205913733,11.4,13.8,12.36401971244221,36.8,37.0,35.130264695422454,0.45719999999999994,0.5091,0.5100325661738557,16.6,18.7,17.642534166539658,0.2782,0.3458,0.2882491490118377,2.2,1.8,2.2683025961489616
2019-12-14,"Jenny Craig Pavillion, San Diego, California",UC-Davis,San Diego,Home,44.4,8,9.4,3,84.1,80.0,24,0.345,58,0.31,18,0.31,18,0.778,14,8,200,78.3,14.3,5,17,54,11.6,8,0.328,19,0.211,4,44.6,29,0.406,10.8,8,39,0.359,14,0.333,4,48.56,52.92727272727273,45.77152534335892,12.0,13.636363636363637,11.5486121695541,5.199999999999999,4.818181818181818,4.930637267354232,1.4,1.6363636363636365,1.3939778827753224,104.6,102.45454545454545,99.97938830462837,80.46000000000001,74.66363636363636,76.39059594573999,21.2,22.181818181818183,22.518162881674545,0.5439999999999999,0.5282727272727272,0.5575432945519824,53.8,54.90909090909091,51.99160019644703,0.466,0.4652727272727273,0.48453834950634234,24.8,25.545454545454547,25.03874748090569,0.29379999999999995,0.29145454545454547,0.3136907652966181,15.6,16.0,16.16825009737676,0.792,0.7580909090909091,0.8143608867211977,12.4,12.454545454545455,13.243509627597422,6.4,4.0,6.189147995732358,200.0,204.54545454545453,201.4631915866484,106.92,100.82727272727271,106.54169079916682,22.919999999999998,22.645454545454545,21.493495232772787,6.2,6.2727272727272725,5.389134447662113,18.4,17.90909090909091,18.23504208369321,70.4,70.54545454545455,70.93139595928807,6.08,6.6909090909090905,6.052041524835308,4.0,4.7272727272727275,4.049128689732257,0.376,0.3416363636363636,0.3772729428102085,20.2,18.818181818181817,19.57142373283206,0.4202,0.34809090909090906,0.38145855137258894,8.4,7.0,7.610391369879254,50.0,48.23636363636364,50.066590458771536,27.4,28.454545454545453,27.907297329336657,0.5795999999999999,0.563,0.5968531219834375,14.86,17.90909090909091,16.72406137275822,10.6,13.545454545454545,11.909346474961474,33.6,36.09090909090909,32.42017646361497,0.49939999999999996,0.520090909090909,0.5500217107825706,16.4,18.545454545454547,17.42835611102644,0.2844,0.34745454545454546,0.3134994326745585,2.6,2.0,2.845535064099308
2019-12-16,"The Pavilion, Davis, California",Loyola Marymount,UC-Davis,Home,68.2,15,8.3,2,101.6,85.7,18,0.563,48,0.458,22,0.354,17,0.765,13,8,200,104.7,15.4,4,16,67,18.8,12,0.5,24,0.417,10,46.8,22,0.597,20.1,14,24,0.5,12,0.385,5,42.9,52.21666666666667,45.314350228905944,10.4,13.166666666666666,10.365741446369402,5.86,5.2,6.420424844902822,1.6,1.75,1.9293185885168818,99.26,100.925,94.68625886975225,79.54,75.10833333333333,77.59373063049333,21.6,22.333333333333332,23.012108587783032,0.5237999999999999,0.513,0.4866955297013216,54.2,55.166666666666664,53.99440013096469,0.44939999999999997,0.4523333333333333,0.4263588996708949,24.0,24.916666666666668,22.692498320603796,0.29500000000000004,0.293,0.31246051019774546,15.8,16.166666666666668,16.778833398251173,0.8064,0.7597499999999999,0.8022405911474652,12.8,12.583333333333334,13.495673085064949,7.0,4.333333333333333,6.792765330488239,200.0,204.16666666666666,200.9754610577656,103.5,98.95,97.12779386611122,19.3,21.95,19.095663488515193,5.0,6.166666666666667,5.259422965108076,18.2,17.833333333333332,17.823361389128806,68.8,69.16666666666667,65.28759730619205,7.159999999999999,7.1000000000000005,7.901361016556872,4.8,5.0,5.366085793154838,0.38079999999999997,0.3405,0.36084862854013905,20.6,18.833333333333332,19.380949155221373,0.39180000000000004,0.33666666666666667,0.3246390342483927,8.0,6.75,6.406927579919503,47.92,47.93333333333334,48.24439363918103,26.6,28.5,28.271531552891105,0.564,0.5499166666666667,0.5332354146556251,13.84,17.316666666666666,14.749374248505482,9.8,13.083333333333334,10.60623098330765,33.6,36.333333333333336,34.61345097574332,0.48919999999999997,0.5066666666666667,0.4863478071883804,16.0,18.166666666666668,16.285570740684292,0.2938,0.34625,0.31999962178303903,3.0,2.1666666666666665,3.2303567093995387
2019-12-21,"War Memorial Gymnasium, San Francisco, California",UC-Davis,San Francisco,Home,32.1,9,8.3,3,124.0,65.6,21,0.564,55,0.509,28,0.436,24,0.917,22,9,200,112.0,23.1,6,23,84,8.0,6,0.345,19,0.316,6,46.6,27,0.633,16.5,13,36,0.611,22,0.357,5,48.720000000000006,53.44615384615385,52.94290015260397,11.6,13.307692307692308,11.910494297579602,7.5200000000000005,5.438461538461539,7.046949896601882,2.0,1.7692307692307692,1.9528790590112548,98.08,100.97692307692309,96.99083924650151,78.9,75.92307692307692,80.2958204203289,22.0,22.0,21.34140572518869,0.5429999999999999,0.5168461538461538,0.5121303531342145,51.6,54.61538461538461,51.996266753976464,0.46559999999999996,0.45276923076923076,0.43690593311393,23.8,24.692307692307693,22.4616655470692,0.32320000000000004,0.2976923076923077,0.326307006798497,16.6,16.23076923076923,16.852555598834115,0.821,0.7601538461538462,0.7898270607649769,13.6,12.615384615384615,13.330448723376634,7.4,4.615384615384615,7.19517688699216,200.0,203.84615384615384,200.65030737184375,104.74000000000001,99.39230769230768,99.65186257740748,20.160000000000004,21.446153846153848,17.86377565901013,5.0,6.0,4.839615310072051,17.8,17.692307692307693,17.215574259419206,69.0,69.0,65.85839820412804,9.72,8.0,11.534240677704581,6.4,5.538461538461538,7.577390528769892,0.3922,0.3527692307692308,0.4072324190267594,20.0,19.23076923076923,20.920632770147584,0.39380000000000004,0.34284615384615386,0.35542602283226177,7.8,7.0,7.604618386613002,49.88,47.84615384615385,47.76292909278736,27.0,28.0,26.181021035260738,0.5852,0.5535384615384615,0.5544902764370834,16.720000000000002,17.53076923076923,16.532916165670322,11.8,13.153846153846153,11.737487322205101,31.6,35.38461538461539,31.075633983828883,0.5186,0.5061538461538462,0.4908985381255869,16.0,17.692307692307693,14.857047160456196,0.3208,0.34923076923076923,0.34166641452202606,3.6,2.3846153846153846,3.820237806266359
2019-12-29,"The Pit, Albuquerque, New Mexico",UC-Davis,New Mexico,Home,70.8,17,2.6,1,100.0,51.4,19,0.509,58,0.414,24,0.293,17,0.588,10,10,200,93.2,35.3,12,26,69,12.2,9,0.448,26,0.423,11,43.7,31,0.522,23.4,20,32,0.406,13,0.333,5,45.9,51.92142857142857,45.995266768402644,11.0,13.0,10.940329531719735,6.6800000000000015,5.642857142857143,7.464633264401256,2.0,1.8571428571428572,2.30191937267417,99.17999999999999,102.62142857142858,105.993892831001,75.82000000000001,75.18571428571428,75.3972136135526,22.8,21.928571428571427,21.22760381679246,0.5428,0.5202142857142856,0.5294202354228097,51.8,54.642857142857146,52.99751116931765,0.47119999999999995,0.45678571428571424,0.4609372887426201,24.2,24.928571428571427,24.307777031379466,0.3548,0.30757142857142855,0.36287133786566467,18.4,16.785714285714285,19.23503706588941,0.8443999999999999,0.7713571428571429,0.8322180405099846,15.6,13.285714285714286,16.220299148917757,7.8,4.928571428571429,7.796784591328107,200.0,203.57142857142858,200.43353824789585,104.67999999999999,100.29285714285713,103.76790838493832,20.160000000000004,21.564285714285713,19.609183772673422,5.0,6.0,5.226410206714701,18.4,18.071428571428573,19.14371617294614,71.2,70.07142857142857,71.90559880275202,10.4,8.0,10.356160451803055,7.0,5.571428571428571,7.051593685846595,0.3982,0.3522142857142857,0.38648827935117297,20.4,19.214285714285715,20.28042184676506,0.3512,0.3409285714285714,0.34228401522150786,7.2,6.928571428571429,7.0697455910753355,49.42,47.75714285714286,47.37528606185824,27.8,27.928571428571427,26.45401402350716,0.5923999999999999,0.5592142857142857,0.580660184291389,16.94,17.45714285714286,16.52194411044688,12.2,13.142857142857142,12.158324881470069,31.4,35.42857142857143,32.717089322552596,0.5489999999999999,0.5136428571428572,0.5309323587503914,17.0,18.0,17.23803144030413,0.3478,0.3497857142857143,0.34677760968135074,4.2,2.5714285714285716,4.21349187084424
