date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-24,"Ed Clark High School, Las Vegas, Nevada",Detroit,UC-Irvine,Away,63.0,17,8.7,2,113.2,78.8,26,0.42,69,0.391,27,0.275,19,0.842,16,4,200,97.4,32.4,12,22,74,6.6,5,0.348,24,0.167,4,54.3,38,0.474,13.4,12,45,0.511,23,0.429,3,52.779999999999994,52.779999999999994,50.96790123456791,13.0,13.0,12.074074074074076,10.68,10.68,12.123456790123457,4.0,4.0,4.5925925925925934,95.14,95.14,93.64691358024692,76.9,76.9,75.68271604938272,28.0,28.0,28.012345679012352,0.4838,0.4838,0.47003703703703714,54.6,54.6,53.85185185185186,0.44560000000000005,0.44560000000000005,0.4346172839506174,24.4,24.4,23.46913580246914,0.3028,0.3028,0.30139506172839514,16.4,16.4,16.111111111111118,0.8086,0.8086,0.8204814814814816,12.8,12.8,12.765432098765434,1.4,1.4,1.691358024691358,200.0,200.0,200.0,92.17999999999999,92.17999999999999,89.91234567901236,32.739999999999995,32.739999999999995,34.98641975308642,8.6,8.6,8.71604938271605,20.0,20.0,18.58024691358025,65.8,65.8,63.55555555555557,8.760000000000002,8.760000000000002,8.825925925925928,6.2,6.2,6.185185185185185,0.24,0.24,0.22200000000000003,13.2,13.2,12.049382716049385,0.30779999999999996,0.30779999999999996,0.30486419753086424,4.2,4.2,3.851851851851852,58.02,58.02,58.78148148148149,36.6,36.6,36.7283950617284,0.5252,0.5252,0.5145061728395062,21.84,21.84,22.550617283950622,17.2,17.2,17.666666666666668,41.4,41.4,41.802469135802475,0.487,0.487,0.4684691358024692,20.2,20.2,19.61728395061729,0.67,0.67,0.6580246913580248,2.2,2.2,2.407407407407408
2019-11-26,"Ed Clark High School, Las Vegas, Nevada",Louisiana,UC-Irvine,Home,65.7,23,2.4,1,91.8,80.0,36,0.684,57,0.614,35,0.333,19,0.737,14,4,200,126.0,33.3,7,20,92,8.2,6,0.333,19,0.421,8,65.2,43,0.697,17.6,14,38,0.711,27,0.5,4,54.98,54.48333333333333,54.97860082304528,13.8,13.666666666666666,13.71604938271605,11.3,10.35,10.982304526748973,4.0,3.6666666666666665,3.7283950617283956,97.78,98.14999999999999,100.16460905349795,78.22,77.21666666666667,76.72181069958847,28.0,27.666666666666668,27.341563786008237,0.46959999999999996,0.4731666666666667,0.4533580246913581,57.8,57.0,58.90123456790125,0.42940000000000006,0.43650000000000005,0.42007818930041163,24.8,24.833333333333332,24.64609053497943,0.25599999999999995,0.2981666666666667,0.2925967078189301,14.8,16.833333333333332,17.07407407407408,0.7991999999999999,0.8141666666666666,0.8276543209876545,11.2,13.333333333333334,13.843621399176957,2.2,1.8333333333333333,2.460905349794239,200.0,200.0,200.0,90.84,93.05,92.40823045267491,31.4,32.68333333333333,34.12427983539095,9.2,9.166666666666666,9.810699588477368,20.0,20.333333333333332,19.7201646090535,65.4,67.16666666666667,67.03703703703705,8.720000000000002,8.4,8.083950617283952,6.2,6.0,5.790123456790123,0.26799999999999996,0.258,0.264,15.8,15.0,16.03292181069959,0.3048,0.2843333333333333,0.2589094650205762,4.6,4.166666666666667,3.901234567901235,57.019999999999996,57.4,57.28765432098767,37.2,36.833333333333336,37.1522633744856,0.5046,0.5166666666666667,0.5010041152263375,20.56,20.433333333333334,19.500411522633748,16.4,16.333333333333332,15.77777777777778,42.0,42.0,42.86831275720165,0.4795999999999999,0.49099999999999994,0.4826460905349795,20.2,20.666666666666668,20.744855967078195,0.5558,0.6298333333333334,0.5816831275720166,2.6,2.3333333333333335,2.6049382716049387
2019-11-30,"Bren Events Center, Irvine, California",Eastern Michigan,UC-Irvine,Home,71.4,20,15.0,6,72.7,85.7,36,0.614,57,0.491,28,0.246,14,0.5,7,4,200,100.0,19.4,6,21,77,13.0,10,0.561,32,0.438,14,57.5,42,0.605,21.2,17,25,0.56,14,0.556,5,55.82000000000001,56.08571428571429,58.55240054869685,15.2,15.0,16.81069958847737,10.56,9.214285714285714,8.121536351165982,3.8,3.2857142857142856,2.818930041152264,94.44,97.24285714285715,97.37640603566531,78.6,77.61428571428571,77.81454046639232,30.2,28.857142857142858,30.22770919067216,0.5046,0.5032857142857143,0.5302386831275722,58.0,57.0,58.26748971193417,0.45940000000000003,0.46185714285714285,0.48471879286694114,26.6,26.285714285714285,28.09739368998629,0.23680000000000004,0.3031428571428571,0.30606447187928676,13.8,17.142857142857142,17.716049382716054,0.8131999999999999,0.8031428571428572,0.7974362139917697,10.8,13.428571428571429,13.895747599451305,2.8,2.142857142857143,2.973936899862826,200.0,200.0,200.0,95.48,97.75714285714285,103.60548696844995,31.580000000000002,32.77142857142857,33.84951989026064,8.4,8.857142857142858,8.87379972565158,20.0,20.285714285714285,19.813443072702334,69.2,70.71428571428571,75.35802469135804,8.1,8.371428571428572,8.122633744855968,5.8,6.0,5.860082304526749,0.2774,0.26871428571428574,0.28700000000000003,16.4,15.571428571428571,17.02194787379973,0.3263999999999999,0.3038571428571428,0.3129396433470508,5.2,4.714285714285714,5.267489711934157,59.15999999999999,58.51428571428572,59.92510288065845,38.6,37.714285714285715,39.10150891632374,0.5356,0.5424285714285714,0.5663360768175584,20.82,20.02857142857143,18.866941015089168,16.6,16.0,15.185185185185187,41.6,41.42857142857143,41.245541838134436,0.5168,0.5224285714285715,0.558764060356653,21.4,21.571428571428573,22.82990397805213,0.5558,0.6112857142857143,0.5544554183813444,3.2,2.5714285714285716,3.069958847736626
2019-12-07,"Bren Events Center, Irvine, California",California Baptist,UC-Irvine,Away,39.1,9,14.3,6,98.6,76.7,23,0.377,65,0.354,23,0.308,20,0.55,11,5,200,87.0,21.4,9,18,60,8.7,6,0.338,22,0.136,3,44.4,32,0.403,5.1,4,43,0.465,20,0.5,5,59.06,58.0,62.83493369913124,16.0,15.625,17.87379972565158,11.8,9.9375,10.41435756744399,4.4,3.625,3.8792866941015096,93.2,94.175,89.15093735711022,78.9,78.625,80.44302697759488,31.0,29.75,32.15180612711478,0.5206000000000001,0.5171250000000001,0.5581591220850481,57.6,57.0,57.84499314128945,0.45920000000000005,0.4655,0.48681252857796076,26.4,26.5,28.06492912665753,0.25880000000000003,0.296,0.2860429812528579,15.0,16.75,16.477366255144037,0.7632,0.76525,0.6982908093278465,11.0,12.625,11.597165066300871,3.4,2.375,3.3159579332418843,200.0,200.0,200.0,97.32000000000001,98.0375,102.40365797896663,31.46,31.1,29.03301326017376,8.6,8.5,7.91586648376772,18.6,20.375,20.208962048468223,70.8,71.5,75.9053497942387,9.379999999999999,8.95,9.748422496570646,6.8,6.5,7.240054869684499,0.33199999999999996,0.30525,0.3783333333333334,19.4,17.625,22.014631915866488,0.3552,0.320625,0.35462642889803386,7.0,5.875,8.178326474622772,58.92,58.3875,59.116735253772305,39.6,38.25,40.0676726108825,0.5468,0.55025,0.5792240512117056,20.580000000000002,20.175,19.644627343392777,16.4,16.125,15.790123456790125,38.2,39.375,35.83036122542296,0.5146,0.527125,0.5591760402377688,19.4,20.625,19.886602652034753,0.517,0.604375,0.5549702789208963,3.6,2.875,3.7133058984910843
2019-12-14,"Bren Events Center, Irvine, California","Pacific Union
			",UC-Irvine,Home,62.2,28,12.5,4,74.1,89.5,34,0.699,68,0.662,45,0.441,30,0.833,25,5,200,141.2,56.5,13,19,120,11.8,10,0.221,15,0.333,5,77.0,47,0.729,16.5,16,53,0.755,40,0.545,6,57.36,55.900000000000006,54.923289132754164,15.8,14.88888888888889,14.91586648376772,11.319999999999999,10.422222222222222,11.709571711629327,4.2,3.888888888888889,4.586191129401007,92.61999999999999,94.66666666666667,92.30062490474015,78.46000000000001,78.41111111111111,79.19535131839659,29.6,29.0,29.101204084743188,0.5035999999999999,0.5015555555555555,0.4977727480566988,60.0,57.888888888888886,60.229995427526305,0.4508,0.45311111111111113,0.44254168571864055,26.8,26.11111111111111,26.376619417771686,0.3054,0.29733333333333334,0.29336198750190523,18.2,17.11111111111111,17.65157750342936,0.6732,0.7413333333333333,0.6488605395518977,12.4,12.444444444444445,11.398110044200582,4.0,2.6666666666666665,3.877305288827923,200.0,200.0,200.0,99.14000000000001,96.8111111111111,97.2691053193111,30.4,30.022222222222222,26.48867550678251,8.8,8.555555555555555,8.277244322511814,18.8,20.11111111111111,19.472641365645483,72.2,70.22222222222223,70.60356652949247,9.36,8.922222222222222,9.398948331047098,6.8,6.444444444444445,6.826703246456334,0.3468,0.3088888888888889,0.36488888888888893,21.0,18.11111111111111,22.00975461057766,0.2824,0.3001111111111111,0.28175095259868926,6.2,5.555555555555555,6.452217649748515,56.61999999999999,56.833333333333336,54.21115683584821,38.4,37.55555555555556,37.378448407255,0.5307999999999999,0.5338888888888889,0.5204827008078038,15.86,18.5,14.796418228928518,12.8,14.777777777777779,11.860082304526752,39.0,39.77777777777778,38.220240816948646,0.5357999999999999,0.5202222222222223,0.5277840268251792,20.6,20.555555555555557,19.92440176802317,0.497,0.5927777777777777,0.536646852613931,4.0,3.111111111111111,4.14220393232739
2019-12-16,"Don Haskins Center, El Paso, Texas",Kent State,UC-Irvine,Home,53.6,15,8.0,2,91.9,82.8,24,0.492,61,0.459,28,0.295,18,0.778,14,5,200,100.0,24.2,8,15,74,8.1,6,0.23,14,0.286,4,51.6,32,0.532,15.9,13,47,0.511,24,0.583,7,60.28000000000001,56.53000000000001,57.34885942183612,19.4,16.2,19.277244322511812,10.58,10.629999999999999,11.973047807752884,3.8,3.9,4.390794086267338,90.08,92.61,86.23374993649344,82.14,79.52000000000001,82.6302342122644,31.0,29.5,30.73413605649546,0.5588,0.5213,0.564848498704466,63.2,58.9,62.8199969516842,0.5024,0.47400000000000003,0.5156944571457605,31.6,28.0,32.58441294518113,0.3206,0.3117,0.3425746583346035,20.4,18.4,21.767718335619573,0.6923999999999999,0.7505,0.7102403597012652,14.6,13.7,15.932073362800388,4.4,2.9,4.251536859218616,200.0,200.0,200.0,110.32000000000001,101.25,111.91273687954073,32.6,32.67,36.492450337855004,9.4,9.0,9.851496215007877,20.0,20.0,19.315094243763657,84.6,75.2,87.06904435299498,9.66,9.209999999999999,10.199298887364733,7.4,6.8,7.8844688309708895,0.36019999999999996,0.3001,0.31692592592592594,22.4,17.8,19.673169740385106,0.29900000000000004,0.3034,0.2988339683991262,6.8,5.5,5.968145099832343,59.67999999999999,58.85,61.807437890565474,40.4,38.5,40.585632271503336,0.5816,0.5534,0.5899884672052025,14.76,18.3,15.36427881928568,12.6,14.9,13.240054869684503,40.8,41.1,43.1468272112991,0.6003999999999999,0.5437000000000001,0.6035226845501195,24.8,22.5,26.61626784534878,0.506,0.588,0.539431235075954,4.6,3.4,4.76146928821826
2019-12-17,"Don Haskins Center, El Paso, Texas",UC-Irvine,UTEP,Home,43.5,10,8.3,3,98.5,73.7,28,0.481,54,0.426,23,0.204,11,0.818,9,6,200,89.7,41.4,12,25,61,2.9,2,0.389,21,0.286,6,59.7,40,0.515,27.2,22,33,0.515,17,0.538,7,58.4,56.26363636363636,56.09923961455742,19.0,16.09090909090909,17.851496215007877,10.440000000000001,10.39090909090909,10.648698538501923,3.8,3.727272727272727,3.5938627241782255,85.82,92.54545454545455,88.1224999576623,82.94,79.81818181818181,82.68682280817627,30.6,29.0,28.489424037663643,0.5731999999999999,0.5186363636363637,0.5405656658029774,61.6,59.09090909090909,62.21333130112281,0.516,0.47263636363636363,0.4967963047638403,31.8,28.0,31.05627529678742,0.32459999999999994,0.31018181818181817,0.32671643888973567,20.2,18.363636363636363,20.511812223746382,0.6796,0.753,0.7328269064675101,14.2,13.727272727272727,15.288048908533593,4.6,3.090909090909091,4.501024572812411,200.0,200.0,200.0,110.84,101.13636363636364,107.9418245863605,30.959999999999997,31.9,32.39496689190334,8.6,8.909090909090908,9.234330810005252,18.6,19.545454545454547,17.87672949584244,84.6,75.0909090909091,82.71269623532999,9.96,9.10909090909091,9.49953259157649,7.6,6.7272727272727275,7.256312553980593,0.33659999999999995,0.2937272727272727,0.28795061728395066,20.4,17.454545454545453,17.78211316025674,0.3228,0.3018181818181818,0.29455597893275076,6.8,5.363636363636363,5.312096733221562,59.14,58.190909090909095,58.40495859371032,39.2,37.90909090909091,37.72375484766889,0.5932000000000001,0.5514545454545454,0.5706589781368017,15.26,18.081818181818182,15.542852546190453,12.8,14.727272727272727,13.160036579789669,41.2,41.63636363636363,44.431218140866065,0.6003999999999999,0.5407272727272727,0.5726817897000798,25.0,22.636363636363637,25.744178563565857,0.5368,0.5875454545454546,0.5539541567173027,5.4,3.727272727272727,5.507646192145506
2019-12-20,"UIC Pavilion, Chicago, Illinois",UC-Irvine,UIC,Home,66.7,16,8.6,3,101.3,85.7,24,0.458,59,0.407,24,0.39,23,0.565,13,7,200,89.3,29.4,10,20,67,10.7,8,0.288,17,0.353,6,54.8,34,0.479,16.8,14,42,0.429,18,0.5,7,53.96,55.199999999999996,51.89949307637162,16.4,15.583333333333334,15.234330810005254,11.620000000000001,10.216666666666667,9.86579902566795,4.2,3.6666666666666665,3.395908482785484,87.16,93.04166666666667,91.58166663844153,81.67999999999999,79.30833333333334,79.69121520545086,29.0,28.916666666666668,28.326282691775763,0.5326,0.5155,0.5207104438686516,61.0,58.666666666666664,59.47555420074854,0.4784,0.46875,0.4731975365092269,29.4,27.583333333333332,28.37085019785828,0.2988,0.30133333333333334,0.2858109592598238,18.6,17.75,17.341208149164256,0.6958,0.7584166666666666,0.7612179376450068,13.2,13.333333333333334,13.192032605689063,5.0,3.3333333333333335,5.000683048541608,200.0,200.0,200.0,103.58,100.18333333333334,101.861216390907,32.58,32.69166666666667,35.39664459460223,9.6,9.166666666666666,10.156220540003503,19.6,20.0,20.251152997228296,78.4,73.91666666666667,75.47513082355333,8.9,8.591666666666667,7.299688394384327,6.8,6.333333333333333,5.504208369320397,0.3478,0.3016666666666667,0.3216337448559671,20.8,17.75,18.854742106837826,0.2958,0.3005,0.2917039859551672,6.4,5.416666666666667,5.541397822147708,58.04,58.31666666666666,58.83663906247355,38.6,38.083333333333336,38.48250323177926,0.5568,0.5484166666666667,0.5521059854245345,17.18,18.841666666666665,19.428568364126967,14.4,15.333333333333334,16.106691053193114,40.2,40.916666666666664,40.620812093910715,0.5612,0.5385833333333333,0.5534545264667199,23.0,22.166666666666668,22.829452375710574,0.5444,0.5834166666666667,0.5486361044782019,6.0,4.0,6.005097461430338
2019-12-28,"Bren Events Center, Irvine, California",Pacific,UC-Irvine,Home,52.4,11,11.3,6,82.4,62.8,27,0.454,54,0.389,21,0.463,25,0.8,20,7,200,101.5,30.3,10,19,69,8.8,6,0.241,13,0.538,7,48.7,37,0.524,14.5,11,41,0.341,14,0.533,8,53.02,56.08461538461539,56.83299538424775,15.6,15.615384615384615,15.489553873336838,10.34,10.092307692307692,9.443866017111967,3.6,3.6153846153846154,3.2639389885236563,92.88000000000001,93.67692307692307,94.82111109229436,81.67999999999999,79.80000000000001,81.69414347030057,26.6,28.53846153846154,26.884188461183843,0.5014,0.5110769230769231,0.4998069625791011,61.4,58.69230769230769,59.31703613383236,0.46159999999999995,0.464,0.4511316910061513,28.6,27.307692307692307,26.913900131905525,0.3276,0.30815384615384617,0.3205406395065492,20.4,18.153846153846153,19.22747209944284,0.7088,0.7435384615384616,0.6958119584300047,14.4,13.307692307692308,13.128021737126044,5.6,3.6153846153846154,5.667122032361072,200.0,200.0,200.0,101.44,99.34615384615384,97.67414426060468,34.58,32.43846153846154,33.397763063068155,10.4,9.23076923076923,10.104147026669002,19.4,20.0,20.16743533148553,76.4,73.38461538461539,72.65008721570223,8.440000000000001,8.753846153846153,8.433125596256218,6.4,6.461538461538462,6.336138912880265,0.2932,0.3006153846153846,0.31042249657064475,17.8,17.692307692307693,18.236494737891885,0.2788,0.30453846153846154,0.31213599063677816,4.8,5.461538461538462,5.694265214765139,57.5,58.04615384615385,57.491092708315705,37.0,37.76923076923077,36.988335487852844,0.5316,0.543076923076923,0.5277373236163564,16.3,18.684615384615384,18.55237890941798,13.8,15.23076923076923,15.404460702128743,43.6,41.0,41.08054139594048,0.5349999999999999,0.5301538461538462,0.5119696843111466,23.8,21.846153846153847,21.219634917140382,0.5332,0.5770000000000001,0.5324240696521346,6.4,4.230769230769231,6.336731640953559
2020-01-04,"Lavietes Pavilion, Boston, Massachusetts",UC-Irvine,Harvard,Home,41.7,10,0.0,0,113.2,73.3,22,0.475,60,0.4,24,0.267,16,1.0,16,8,200,107.4,36.1,13,19,73,13.2,9,0.283,17,0.529,9,53.0,35,0.54,15.2,12,43,0.349,15,0.5,8,55.67999999999999,55.82142857142857,55.355330256165175,16.0,15.285714285714286,13.993035915557893,9.74,10.178571428571429,10.062577344741312,3.6,3.7857142857142856,4.175959325682438,89.64,92.87142857142858,90.68074072819624,78.9,78.58571428571429,75.39609564686705,27.4,28.428571428571427,26.922792307455897,0.5168,0.507,0.4845379750527341,59.2,58.357142857142854,57.54469075588825,0.4686,0.4586428571428572,0.4304211273374342,28.2,26.857142857142858,24.94260008793702,0.35860000000000003,0.31921428571428573,0.36802709300436615,21.4,18.642857142857142,21.151648066295223,0.7587999999999999,0.7475714285714286,0.7305413056200032,16.2,13.785714285714286,15.41868115808403,6.0,3.857142857142857,6.111414688240715,200.0,200.0,200.0,104.34,99.5,98.9494295070698,36.36,32.285714285714285,32.36517537537877,10.6,9.285714285714286,10.06943135111267,19.6,19.928571428571427,19.778290220990357,78.2,73.07142857142857,71.43339147713482,8.459999999999999,8.757142857142856,8.555417064170813,6.4,6.428571428571429,6.224092608586844,0.2738,0.2963571428571429,0.28728166438042985,16.0,17.357142857142858,16.490996491927923,0.3592,0.32121428571428573,0.38742399375785214,5.6,5.571428571428571,6.129510143176759,58.36,57.378571428571426,54.56072847221048,38.0,37.714285714285715,36.99222365856856,0.5558,0.5417142857142857,0.526491549077571,18.18,18.385714285714283,17.201585939611988,15.2,14.928571428571429,13.936307134752496,43.2,41.0,41.053694263960324,0.5102,0.5166428571428572,0.45497978954076446,22.6,21.285714285714285,18.813089944760257,0.5398,0.573857142857143,0.5326160464347565,7.0,4.5,6.891154427302373
