date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-11-28,"Orleans Arena, Paradise, Nevada",OKLAHOMA-STATE,UTAH,Away,41.2,7,5.6,2,120.3,82.8,24,0.356,52,0.327,17,0.385,20,0.9,18,3,200.0,85.9,28.1,9,19,55,3.1,2,0.269,14.0,0.214,3.0,54.1,33,0.447,15.3,11,38.0,0.368,14.0,0.5,3,45.18,45.18,41.75185185185186,12.2,12.2,11.049382716049385,11.72,11.72,10.77777777777778,4.8,4.8,4.530864197530864,95.42,95.42,95.18641975308644,66.96,66.96,67.09135802469137,24.6,24.6,24.518518518518523,0.5012000000000001,0.5012000000000001,0.48950617283950626,59.0,59.0,58.049382716049394,0.44139999999999996,0.44139999999999996,0.43758024691358033,26.2,26.2,25.543209876543216,0.35760000000000003,0.35760000000000003,0.3729506172839507,21.0,21.0,21.567901234567906,0.7484,0.7484,0.7380493827160495,15.8,15.8,16.074074074074076,1.4,1.4,1.5555555555555558,200.0,200.0,200.0,105.12,105.12,102.09135802469139,33.14,33.14,32.75802469135803,9.6,9.6,9.580246913580249,19.2,19.2,19.740740740740744,75.4,75.4,73.38271604938272,10.900000000000002,10.900000000000002,10.679012345679016,7.8,7.8,7.666666666666668,0.3962,0.3962,0.3691728395061729,23.6,23.6,21.75308641975309,0.29,0.29,0.26420987654320993,7.2,7.2,6.222222222222223,51.4,51.4,51.582716049382725,34.2,34.2,34.09876543209877,0.5448000000000001,0.5448000000000001,0.534925925925926,16.02,16.02,16.951851851851856,13.0,13.0,13.716049382716053,35.4,35.4,36.296296296296305,0.5342,0.5342,0.5300370370370371,19.0,19.0,19.32098765432099,0.45339999999999997,0.45339999999999997,0.45930864197530863,1.6,1.6,1.8395061728395063
2009-12-02,"Dee Events Center, Ogden, Utah",UTAH,WEBER-STATE,Home,36.0,9,21.3,10,125.8,56.8,21,0.55,50,0.5,25,0.54,27,0.778,21,4,200.0,115.2,33.3,8,23,76,4.5,3,0.2,10.0,0.5,5.0,47.5,29,0.605,13.9,10,40.0,0.5,20.0,0.429,3,42.8,44.51666666666667,41.56790123456791,10.2,11.333333333333334,9.699588477366257,10.940000000000001,10.700000000000001,9.051851851851854,4.4,4.333333333333333,3.6872427983539096,95.67999999999999,99.56666666666666,103.55761316872429,71.39999999999999,69.6,72.32757201646092,25.2,24.5,24.345679012345684,0.46180000000000004,0.47700000000000004,0.44500411522633754,56.2,57.833333333333336,56.032921810699605,0.4098,0.4223333333333333,0.4007201646090536,23.2,24.666666666666668,22.695473251028815,0.371,0.3621666666666667,0.3769670781893005,20.8,20.833333333333332,21.04526748971194,0.7950000000000002,0.7736666666666667,0.7920329218106996,16.6,16.166666666666668,16.71604938271605,1.8,1.6666666666666667,2.037037037037037,200.0,200.0,200.0,100.28,101.91666666666667,96.6942386831276,31.660000000000004,32.300000000000004,31.20534979423869,9.4,9.5,9.386831275720166,18.8,19.166666666666668,19.49382716049383,69.0,72.0,67.25514403292182,9.74,9.6,8.152674897119345,6.8,6.833333333333333,5.7777777777777795,0.36819999999999997,0.375,0.3357818930041153,21.0,22.0,19.168724279835395,0.2662,0.2773333333333333,0.24747325102880663,6.0,6.5,5.14814814814815,52.54,51.85,52.421810699588484,34.6,34.0,33.73251028806585,0.5196,0.5285,0.5056172839506173,15.940000000000001,15.9,16.401234567901238,12.4,12.666666666666666,12.81069958847737,35.2,35.833333333333336,36.8641975308642,0.48980000000000007,0.5065000000000001,0.4760246913580247,17.2,18.166666666666668,17.547325102880663,0.5534,0.46116666666666667,0.4728724279835391,2.2,1.8333333333333333,2.226337448559671
2009-12-05,"Jon M. Huntsman Center, Salt Lake City, Utah",IDAHO-STATE,UTAH,Home,54.5,12,12.2,6,91.8,52.8,19,0.463,54,0.407,22,0.537,29,0.621,18,4,200.0,111.5,50.0,15,14,68,13.1,8,0.333,18.0,0.333,6.0,51.5,34,0.502,11.9,9,36.0,0.444,16.0,0.5,4,41.660000000000004,43.300000000000004,39.71193415637861,10.0,11.0,9.466392318244171,12.040000000000001,12.214285714285714,13.134567901234568,5.2,5.142857142857143,5.791495198902606,101.14,103.31428571428572,110.97174211248287,68.76,67.77142857142857,67.15171467764061,25.2,24.0,23.230452674897126,0.47000000000000003,0.48742857142857143,0.48000274348422506,55.0,56.714285714285715,54.02194787379974,0.42400000000000004,0.4334285714285714,0.4338134430727024,23.4,24.714285714285715,23.46364883401921,0.429,0.38757142857142857,0.4313113854595337,23.4,21.714285714285715,23.030178326474626,0.7933999999999999,0.7742857142857142,0.7873552812071332,18.6,16.857142857142858,18.1440329218107,2.4,2.0,2.6913580246913584,200.0,200.0,200.0,103.32000000000001,103.81428571428572,102.86282578875173,35.1,32.44285714285714,31.90356652949246,10.0,9.285714285714286,8.924554183813445,20.4,19.714285714285715,20.66255144032922,70.6,72.57142857142857,70.17009602194788,8.580000000000002,8.871428571428572,6.935116598079564,6.0,6.285714285714286,4.851851851851853,0.3154,0.35000000000000003,0.2905212620027436,17.8,20.285714285714285,16.112482853223597,0.297,0.3091428571428571,0.3316488340192044,5.2,6.285714285714286,5.098765432098767,53.52,51.228571428571435,50.781207133059,35.2,33.285714285714285,32.15500685871057,0.532,0.5394285714285714,0.5387448559670782,15.940000000000001,15.614285714285714,15.56748971193416,12.4,12.285714285714286,11.87379972565158,37.2,36.42857142857143,37.909465020576135,0.48980000000000007,0.5055714285714286,0.4840164609053499,18.2,18.428571428571427,18.364883401920444,0.5392,0.4565714285714286,0.4582482853223594,2.6,2.0,2.4842249657064475
2009-12-09,"Jon M. Huntsman Center, Salt Lake City, Utah",MICHIGAN,UTAH,Home,67.9,19,25.0,7,82.5,73.3,22,0.573,55,0.509,28,0.164,9,0.556,5,4,200.0,107.9,48.0,12,19,68,14.3,9,0.436,24.0,0.292,7.0,61.8,34,0.574,22.4,17,31.0,0.677,21.0,0.556,5,40.68000000000001,44.7,44.64128943758574,8.6,11.125,10.310928212162782,12.52,12.2125,12.823045267489713,5.6,5.25,5.8609967992684044,105.78,101.875,104.58116140832192,62.96,65.89999999999999,62.36780978509374,21.4,23.375,21.820301783264753,0.44860000000000005,0.484375,0.47433516232281675,53.0,56.375,54.014631915866495,0.40540000000000004,0.430125,0.42487562871513496,21.4,24.375,22.975765889346143,0.47700000000000004,0.40625,0.46654092363968913,25.4,22.625,25.020118884316418,0.7598,0.755125,0.7319035208047555,19.2,17.0,18.0960219478738,3.0,2.25,3.1275720164609058,200.0,200.0,200.0,100.47999999999999,104.775,105.74188385916784,35.44,34.6375,37.93571101966164,10.6,10.0,10.949702789208963,20.2,19.0,18.44170096021948,66.6,72.0,69.44673068129859,9.2,9.4,8.990077732053043,6.2,6.5,5.901234567901236,0.2914,0.347875,0.30468084133516243,15.6,20.0,16.741655235482398,0.3016,0.312125,0.3320992226794696,4.6,6.25,5.3991769547325115,50.12,51.2625,51.020804755372666,32.0,33.375,32.77000457247372,0.5118,0.5347500000000001,0.5264965706447189,15.680000000000001,15.15,14.344993141289441,12.0,11.875,10.91586648376772,37.4,36.375,37.27297668038409,0.44720000000000004,0.497875,0.47067764060356665,16.8,18.125,17.576588934613632,0.5058,0.462,0.4721655235482396,3.0,2.25,2.9894833104709653
2009-12-12,"Jon M. Huntsman Center, Salt Lake City, Utah",OKLAHOMA,UTAH,Away,51.9,14,29.5,13,102.6,62.5,29,0.44,67,0.403,27,0.328,22,0.636,14,5,225.0,96.1,36.8,10,25,73,9.2,7,0.358,24.0,0.208,5.0,50.0,39,0.471,15.4,14,43.0,0.512,22.0,0.5,5,44.260000000000005,47.27777777777778,52.3941929583905,10.4,12.0,13.207285474775189,14.02,13.633333333333333,16.882030178326474,5.6,5.444444444444445,6.240664532845603,100.9,99.72222222222223,97.22077427221463,69.13999999999999,66.72222222222223,66.01187319006249,22.8,23.22222222222222,21.88020118884317,0.4808,0.4942222222222223,0.5072234415485445,52.6,56.22222222222222,54.343087943911,0.437,0.4388888888888889,0.45291708581009005,23.0,24.77777777777778,24.65051059289743,0.3906,0.37933333333333336,0.36569394909312614,20.4,21.11111111111111,19.68007925621095,0.7121999999999999,0.7330000000000001,0.6732690138698371,14.8,15.666666666666666,13.730681298582535,3.4,2.4444444444444446,3.418381344307271,200.0,200.0,200.0,101.50000000000001,105.12222222222222,106.4612559061119,36.160000000000004,36.12222222222223,41.29047401310776,10.0,10.222222222222221,11.299801859472643,18.4,19.0,18.627800640146322,65.4,71.55555555555556,68.96448712086573,8.440000000000001,9.944444444444445,10.760051821368696,5.4,6.777777777777778,6.934156378600824,0.3014,0.3576666666666667,0.34845389422344164,16.0,20.444444444444443,19.1611034903216,0.2964,0.3098888888888889,0.31873281511964646,4.6,6.333333333333333,5.932784636488341,53.779999999999994,52.43333333333333,54.613869836915114,32.8,33.44444444444444,33.18000304831581,0.5254,0.5391111111111111,0.5423310470964793,16.72,15.955555555555556,17.029995427526295,12.4,12.444444444444445,12.94391098917848,36.6,35.77777777777778,35.18198445358939,0.5084000000000001,0.5177777777777778,0.5394517604023779,18.4,18.444444444444443,18.71772595640909,0.517,0.47244444444444444,0.5001103490321598,3.6,2.5555555555555554,3.659655540313977
2009-12-19,"Jon M. Huntsman Center, Salt Lake City, Utah",ILLINOIS-STATE,UTAH,Away,54.5,12,14.0,6,104.3,73.1,22,0.436,55,0.4,22,0.327,18,0.833,15,6,200.0,90.0,34.4,8,22,63,11.4,8,0.345,19.0,0.211,4.0,51.7,30,0.496,21.3,17,36.0,0.5,18.0,0.455,5,50.3,47.74,52.22946197226033,12.2,12.2,13.471523649850127,18.72,15.219999999999999,21.088020118884316,7.6,6.2,8.493776355230402,104.6,100.01,99.01384951480975,65.63999999999999,66.3,64.841248793375,23.0,23.8,24.25346745922878,0.47640000000000005,0.4888,0.4848156276990297,55.6,57.3,58.562058629274006,0.42919999999999997,0.43529999999999996,0.43627805720672674,23.8,25.0,25.43367372859829,0.39080000000000004,0.3742,0.3531292993954175,21.4,21.2,20.4533861708073,0.6982,0.7233,0.6608460092465581,15.2,15.5,13.820454199055025,4.0,2.7,3.945587562871514,205.0,202.5,208.33333333333334,103.32000000000001,104.22,103.00750393740795,39.239999999999995,36.19,39.793649342071845,10.8,10.2,10.866534572981763,20.0,19.6,20.75186709343088,68.0,71.7,70.30965808057715,8.84,9.870000000000001,10.240034547579132,5.8,6.8,6.95610425240055,0.31920000000000004,0.3577,0.35163592948229444,18.0,20.8,20.774068993547736,0.3094,0.29969999999999997,0.281821876746431,5.2,6.2,5.621856424325561,52.98,52.19,53.075913224610076,33.8,34.0,35.12000203221054,0.5198,0.5323,0.5185540313976529,15.780000000000001,15.9,16.486663618350864,12.2,12.6,13.29594065945232,37.6,36.5,37.78798963572626,0.5002000000000001,0.5172000000000001,0.5303011736015852,18.6,18.8,19.81181730427273,0.49700000000000005,0.47519999999999996,0.5000735660214399,4.0,2.8,4.106437026875985
2009-12-23,"Firestone Fieldhouse, Malibu, California",UTAH,PEPPERDINE,Home,65.2,15,10.6,5,105.6,43.8,14,0.482,56,0.411,23,0.268,15,0.667,10,7,200.0,88.9,27.3,9,27,64,8.3,6,0.446,25.0,0.32,8.0,35.4,23,0.507,21.4,17,31.0,0.484,15.0,0.417,5,52.96,48.35454545454545,52.98630798150689,13.2,12.181818181818182,12.981015766566752,20.4,15.109090909090908,18.725346745922877,8.4,6.181818181818182,7.662517570153602,101.4,100.4,100.77589967653984,63.7,66.91818181818181,67.59416586225001,22.6,23.636363636363637,23.502311639485853,0.49240000000000006,0.484,0.46854375179935315,56.2,57.09090909090909,57.37470575284934,0.4438000000000001,0.4320909090909091,0.4241853714711512,24.8,24.727272727272727,24.28911581906553,0.37920000000000004,0.3699090909090909,0.3444195329302783,21.0,20.90909090909091,19.6355907805382,0.6848000000000001,0.7332727272727273,0.7182306728310388,14.6,15.454545454545455,14.213636132703352,4.6,3.0,4.63039170858101,205.0,202.27272727272728,205.55555555555557,104.14000000000001,102.92727272727274,98.67166929160531,40.49999999999999,36.02727272727273,37.9957662280479,10.6,10.0,9.91102304865451,20.6,19.818181818181817,21.16791139562059,69.6,70.9090909090909,67.87310538705144,10.5,10.00909090909091,10.626689698386087,7.0,6.909090909090909,7.304069501600367,0.33440000000000003,0.35654545454545455,0.3494239529881963,19.0,20.636363636363637,20.18271266236516,0.3088,0.29163636363636364,0.2582145844976207,5.4,6.0,5.081237616217041,52.5,52.14545454545455,52.61727548307339,33.2,33.63636363636363,33.41333468814037,0.5296000000000001,0.529,0.5110360209317686,16.98,16.39090909090909,18.091109078900576,13.4,13.0,14.530627106301548,37.2,36.45454545454545,37.191993090484175,0.5266,0.5156363636363637,0.5202007824010568,19.4,18.727272727272727,19.207878202848487,0.488,0.4733636363636364,0.48504904401429333,4.4,3.0,4.404291351250657
2009-12-29,"Jon M. Huntsman Center, Salt Lake City, Utah",TEXAS-SAN-ANTONIO,UTAH,Home,46.7,14,29.4,10,79.7,69.7,23,0.613,53,0.566,30,0.094,5,0.8,4,7,200.0,116.9,35.3,6,16,69,10.2,6,0.283,15.0,0.333,5.0,58.0,29,0.623,16.6,11,38.0,0.658,25.0,0.462,6,58.8,49.75833333333333,57.05753865433793,14.4,12.416666666666666,13.654010511044502,18.259999999999998,14.733333333333334,16.016897830615253,7.4,6.083333333333333,6.775011713435735,97.35999999999999,100.83333333333333,102.38393311769323,61.1,64.99166666666666,59.66277724150001,21.2,22.833333333333332,20.334874426323903,0.47879999999999995,0.48383333333333334,0.4730291678662355,57.4,57.0,56.91647050189956,0.42600000000000005,0.4303333333333333,0.4197902476474341,24.4,24.583333333333332,23.85941054604369,0.32480000000000003,0.36141666666666666,0.3189463552868522,18.6,20.416666666666668,18.090393853692134,0.6626,0.72775,0.7011537818873592,12.4,15.0,12.809090755135568,5.2,3.3333333333333335,5.420261139054007,205.0,202.08333333333334,203.70370370370372,98.88000000000001,101.75833333333333,95.41444619440355,39.3,35.3,34.4305108186986,10.8,9.916666666666666,9.607348699103007,21.4,20.416666666666668,23.111940930413727,67.2,70.33333333333333,66.58207025803429,11.260000000000002,9.866666666666667,9.851126465590726,7.6,6.833333333333333,6.869379667733578,0.3836,0.36400000000000005,0.38161596865879754,22.0,21.0,21.78847510824344,0.2728,0.294,0.2788097229984138,6.0,6.166666666666667,6.054158410811361,50.08,50.75,46.878183655382266,32.0,32.75,29.942223125426914,0.51,0.5271666666666667,0.5096906806211791,18.48,16.808333333333334,19.19407271926705,14.8,13.333333333333334,15.353751404201033,35.4,36.0,35.12799539365612,0.5234,0.513,0.508133854934038,18.4,18.416666666666668,17.805252135232326,0.4856,0.4686666666666666,0.4623660293428622,4.8,3.1666666666666665,4.602860900833772
2010-01-02,"Maravich Assembly Center, Baton Rouge, Louisiana",UTAH,LOUISIANA-STATE,Away,47.6,10,16.3,8,103.5,47.2,18,0.522,45,0.467,21,0.4,18,0.778,14,7,200.0,107.0,36.4,7,19,61,10.5,6,0.333,15.0,0.333,5.0,43.1,25,0.57,17.2,10,30.0,0.533,16.0,0.5,7,57.24000000000001,49.52307692307693,53.60502576955862,14.8,12.538461538461538,13.769340340696335,21.7,15.86153846153846,20.477931887076835,8.2,6.384615384615385,7.850007808957157,94.94,99.20769230769231,94.82262207846216,64.47999999999999,65.35384615384615,63.00851816100001,22.0,22.846153846153847,21.22324961754927,0.5088,0.49376923076923074,0.5196861119108237,57.2,56.69230769230769,55.61098033459971,0.45780000000000004,0.4407692307692308,0.4685268317649561,26.0,25.0,25.90627369736246,0.23620000000000002,0.34084615384615385,0.2439642368579015,13.8,19.23076923076923,13.726929235794756,0.6984000000000001,0.7333076923076922,0.7341025212582395,9.6,14.153846153846153,9.87272717009038,5.8,3.6153846153846154,5.946840759369339,205.0,201.92307692307693,202.46913580246917,99.96000000000001,102.92307692307692,102.57629746293571,36.36,35.3,34.72034054579907,9.0,9.615384615384615,8.404899132735338,21.8,20.076923076923077,20.74129395360915,67.4,70.23076923076923,67.38804683868953,10.680000000000001,9.892307692307693,9.967417643727151,7.2,6.769230769230769,6.579586445155719,0.3736,0.35776923076923073,0.3487439791058651,21.4,20.53846153846154,19.525650072162293,0.27280000000000004,0.297,0.2968731486656092,5.8,6.076923076923077,5.702772273874242,51.379999999999995,51.30769230769231,50.585455770254846,31.0,32.46153846153846,29.62814875028461,0.5342,0.5345384615384615,0.5474604537474528,19.419999999999998,16.792307692307695,18.3293818128447,15.2,13.153846153846153,13.902500936134022,35.8,36.15384615384615,36.08533026243742,0.5662,0.5241538461538462,0.5580892366226919,20.2,18.923076923076923,20.20350142348822,0.47800000000000004,0.4681538461538462,0.4622440195619082,5.2,3.3846153846153846,5.068573933889182
2010-01-09,"Jon M. Huntsman Center, Salt Lake City, Utah",TEXAS-CHRISTIAN,UTAH,Home,52.2,12,22.2,8,75.0,64.9,24,0.542,48,0.479,23,0.313,15,0.867,13,7,200.0,108.3,13.0,3,15,65,18.3,11,0.375,18.0,0.333,6.0,45.0,27,0.59,14.2,6,30.0,0.567,17.0,0.533,8,53.17999999999999,49.385714285714286,51.60335051303909,13.0,12.357142857142858,12.512893560464224,19.96,15.892857142857142,19.085287924717893,8.4,6.5,7.900005205971439,99.14,99.51428571428572,97.71508138564144,59.260000000000005,64.05714285714285,57.739012107333345,21.2,22.5,20.14883307836618,0.4986,0.4957857142857143,0.5204574079405492,55.2,55.857142857142854,52.07398688973314,0.44939999999999997,0.44264285714285717,0.4680178878433041,24.6,24.714285714285715,24.270849131574977,0.2834,0.3450714285714286,0.29597615790526766,15.6,19.142857142857142,15.151286157196505,0.7428,0.7365,0.7487350141721597,11.4,14.142857142857142,11.248484780060252,6.4,3.857142857142857,6.29789383957956,205.0,201.78571428571428,201.64609053497946,99.78,103.21428571428571,104.0508649752905,34.04,35.378571428571426,35.280227030532714,8.0,9.428571428571429,7.9365994218235585,21.8,20.0,20.160862635739434,66.0,69.57142857142857,65.2586978924597,9.919999999999998,9.935714285714285,10.144945095818102,6.6,6.714285714285714,6.3863909634371465,0.353,0.356,0.34349598607057674,19.6,20.142857142857142,18.017100048108198,0.281,0.29957142857142854,0.3089154324437395,5.4,6.0,5.468514849249495,47.64,50.721428571428575,48.09030384683657,29.2,31.928571428571427,28.08543250018974,0.5334,0.5370714285714285,0.5549736358316352,18.380000000000003,16.821428571428573,17.952921208563133,13.8,12.928571428571429,12.601667290756016,35.6,35.714285714285715,34.056886841624944,0.5374,0.5247857142857143,0.5497261577484613,19.2,18.714285714285715,18.802334282325482,0.4668,0.4704285714285715,0.4748293463746055,5.6,3.642857142857143,5.712382622592788
