date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-01,"Carver-Hawkeye Arena, Iowa City, Iowa",VIRGINIA-TECH,IOWA,Away,48.1,13,13.6,3,108.5,76.9,21,0.5,58,0.466,27,0.293,17,0.706,12,1,200.0,118.6,38.7,11,12,70,8.5,5,0.259,15.0,0.267,4.0,56.1,32,0.53,7.1,5,43.0,0.535,23.0,0.833,5,49.82,49.82,49.36790123456791,11.6,11.6,11.370370370370374,12.98,12.98,11.579012345679017,4.8,4.8,4.246913580246915,89.02000000000001,89.02000000000001,91.97283950617286,64.02000000000001,64.02000000000001,62.408641975308655,21.2,21.2,21.395061728395063,0.4288,0.4288,0.422888888888889,59.2,59.2,59.71604938271606,0.387,0.387,0.3786913580246914,22.8,22.8,22.506172839506178,0.36419999999999997,0.36419999999999997,0.38216049382716055,21.6,21.6,23.0,0.6508,0.6508,0.6702222222222223,14.2,14.2,15.555555555555557,0.4,0.4,0.5555555555555556,205.0,205.0,208.33333333333334,100.17999999999999,100.17999999999999,101.40370370370371,42.62,42.62,41.87160493827161,13.2,13.2,13.246913580246915,18.0,18.0,19.45679012345679,64.6,64.6,65.75308641975309,10.540000000000001,10.540000000000001,9.680246913580248,6.8,6.8,6.271604938271606,0.279,0.279,0.28520987654320995,16.4,16.4,16.97530864197531,0.27880000000000005,0.27880000000000005,0.29639506172839514,4.8,4.8,5.185185185185186,52.9,52.9,51.7888888888889,34.4,34.4,34.64197530864198,0.4664,0.4664,0.4661234567901235,13.419999999999998,13.419999999999998,12.934567901234571,10.6,10.6,10.283950617283953,42.8,42.8,42.74074074074075,0.4226,0.4226,0.40800000000000003,18.0,18.0,17.32098765432099,0.9099999999999999,0.9099999999999999,0.877777777777778,2.6,2.6,2.8395061728395063
2009-12-06,"Cassell Coliseum, Blacksburg, Virginia",GEORGIA,VIRGINIA-TECH,Home,48.0,12,7.9,3,100.0,57.7,17,0.528,53,0.472,25,0.358,19,0.947,18,1,200.0,119.4,50.0,11,18,74,6.5,4,0.264,14.0,0.429,6.0,53.8,28,0.597,18.6,13,39.0,0.487,19.0,0.857,6,47.89999999999999,49.53333333333333,48.945267489711945,11.2,11.833333333333334,11.913580246913583,12.66,13.083333333333334,12.252674897119345,4.4,4.5,3.83127572016461,93.26,92.26666666666667,97.48189300411525,64.74,66.16666666666667,67.23909465020577,20.8,21.166666666666668,21.26337448559671,0.4234,0.4406666666666667,0.44859259259259265,59.6,59.0,59.144032921810705,0.3874,0.4001666666666666,0.40779423868312764,23.0,23.5,24.004115226337454,0.35860000000000003,0.35233333333333333,0.3524403292181071,21.4,20.833333333333332,21.0,0.6808,0.66,0.6821481481481482,14.6,13.833333333333334,14.370370370370372,0.6,0.5,0.7037037037037037,205.0,204.16666666666666,205.55555555555557,102.0,103.25,107.13580246913581,43.46,41.96666666666667,40.814403292181076,13.6,12.833333333333334,12.497942386831276,17.2,17.0,16.971193415637863,64.8,65.5,67.1687242798354,10.66,10.200000000000001,9.286831275720166,6.8,6.5,5.847736625514404,0.27,0.27566666666666667,0.27647325102880665,16.0,16.166666666666668,16.31687242798354,0.24980000000000002,0.2768333333333333,0.2865967078189301,4.2,4.666666666666667,4.790123456790124,53.28000000000001,53.43333333333334,53.225925925925935,34.4,34.0,33.76131687242799,0.46560000000000007,0.47700000000000004,0.48741563786008235,12.620000000000001,12.366666666666667,10.989711934156382,10.0,9.666666666666666,8.52263374485597,43.6,42.833333333333336,42.827160493827165,0.43220000000000003,0.44133333333333336,0.4503333333333334,18.8,18.833333333333332,19.213991769547327,0.8766,0.8971666666666667,0.862851851851852,3.4,3.0,3.5596707818930042
2009-12-09,"Cassell Coliseum, Blacksburg, Virginia",VIRGINIA-MILITARY-INSTITUTE,VIRGINIA-TECH,Home,47.4,18,33.3,15,86.9,67.4,31,0.458,84,0.452,38,0.333,28,0.75,21,1,200.0,116.7,61.4,25,19,98,7.1,6,0.095,8.0,0.125,1.0,64.4,56,0.504,13.5,15,76.0,0.487,37.0,0.875,7,50.0,49.31428571428571,48.630178326474635,11.8,11.857142857142858,11.942386831275723,9.84,12.342857142857143,10.80178326474623,3.2,4.285714285714286,3.5541838134430734,99.32000000000001,93.37142857142858,98.32126200274351,65.24000000000001,64.95714285714287,64.05939643347051,20.6,20.571428571428573,19.842249657064475,0.4524,0.4531428571428572,0.4750617283950618,57.4,58.142857142857146,57.09602194787381,0.40679999999999994,0.4104285714285715,0.42919615912208514,23.2,23.714285714285715,24.336076817558304,0.374,0.35314285714285715,0.3542935528120714,21.6,20.571428571428573,20.333333333333336,0.759,0.701,0.7704320987654322,16.2,14.428571428571429,15.580246913580249,0.8,0.5714285714285714,0.8024691358024691,205.0,203.57142857142858,203.70370370370372,108.0,105.55714285714285,111.22386831275722,42.2,43.114285714285714,43.87626886145405,12.6,12.571428571428571,11.998628257887518,18.4,17.142857142857142,17.314128943758575,67.8,66.71428571428571,69.44581618655694,8.919999999999998,9.671428571428573,8.357887517146779,5.6,6.142857142857143,5.231824417009603,0.2822,0.274,0.2723155006858711,16.2,15.857142857142858,15.544581618655695,0.32020000000000004,0.29857142857142854,0.33406447187928673,5.2,4.857142857142857,5.193415637860083,52.9,53.48571428571428,53.41728395061729,33.2,33.142857142857146,31.840877914951996,0.5035999999999999,0.49414285714285716,0.5239437585733883,13.48,13.257142857142858,13.526474622770923,10.2,10.142857142857142,10.015089163237313,41.2,42.285714285714285,41.55144032921811,0.4394,0.44785714285714284,0.46255555555555566,18.0,18.857142857142858,19.14266117969822,0.8480000000000001,0.8914285714285715,0.8609012345679014,4.2,3.4285714285714284,4.373113854595337
2009-12-12,"Bryce Jordan Center, University Park, Pennsylvania",VIRGINIA-TECH,PENN-STATE,Away,33.3,8,7.3,3,97.0,60.5,27,0.482,55,0.436,24,0.345,19,0.684,13,1,200.0,100.0,26.7,7,20,66,6.1,4,0.273,15.0,0.333,5.0,46.6,34,0.515,14.8,11,40.0,0.475,19.0,0.889,8,45.32,49.075,48.22011888431643,12.0,12.625,13.961591220850483,14.080000000000002,14.962499999999999,18.30118884316415,5.4,5.625,7.3694558756287165,97.02000000000001,92.5625,94.51417466849568,64.44000000000001,65.2625,65.17293095564702,22.8,21.875,23.56149977137632,0.44220000000000004,0.45375000000000004,0.4693744855967079,63.4,61.375,66.06401463191588,0.40840000000000004,0.415625,0.4367974394147235,26.0,25.5,28.890717878372207,0.3518,0.350625,0.3471957018747143,22.4,21.5,22.888888888888893,0.7756000000000001,0.707125,0.7636213991769548,17.2,15.25,17.38683127572017,1.0,0.625,0.8683127572016462,205.0,203.125,202.46913580246917,108.05999999999999,106.95,113.04924554183816,45.379999999999995,45.4,49.7175125743027,14.6,14.125,16.33241883859168,18.6,17.375,17.87608596250572,73.2,70.625,78.96387745770463,7.720000000000001,9.35,7.938591678097852,5.2,6.125,5.4878829446730695,0.2346,0.251625,0.21321033379058074,14.2,14.875,13.029721079103798,0.2674,0.276875,0.2643763145861912,4.0,4.375,3.795610425240056,54.3,54.85,57.07818930041153,37.4,36.0,39.893918609968,0.4958,0.495375,0.5172958390489255,13.260000000000002,13.287500000000001,13.51764974851395,11.0,10.75,11.676726108824877,49.2,46.5,53.03429355281207,0.4424,0.45275,0.4707037037037038,22.0,21.125,25.095107453132144,0.8230000000000001,0.889375,0.8656008230452676,5.0,3.875,5.248742569730224
2009-12-19,"Cassell Coliseum, Blacksburg, Virginia",CHARLESTON-SOUTHERN,VIRGINIA-TECH,Home,55.6,15,18.4,7,74.6,57.1,22,0.633,49,0.551,27,0.327,16,0.688,11,1,200.0,109.0,42.1,6,19,73,22.4,15,0.429,21.0,0.381,8.0,51.9,28,0.645,25.3,19,28.0,0.679,19.0,0.9,9,44.92,47.32222222222222,43.24674592287762,12.4,12.11111111111111,11.974394147233657,14.48,14.11111111111111,14.63412589544277,5.6,5.333333333333333,5.912970583752478,98.47999999999999,93.05555555555556,95.34278311233047,61.84000000000001,64.73333333333333,63.61528730376468,23.0,22.444444444444443,24.70766651425088,0.4736000000000001,0.4568888888888889,0.47358299039780527,63.0,60.666666666666664,62.37600975461059,0.43600000000000005,0.4178888888888889,0.43653162627648234,27.4,25.333333333333332,27.260478585581474,0.36119999999999997,0.35,0.3464638012498096,22.8,21.22222222222222,21.592592592592595,0.7594000000000001,0.7045555555555556,0.7370809327846366,17.2,15.0,15.924554183813449,1.0,0.6666666666666666,0.9122085048010975,205.0,202.77777777777777,201.64609053497946,113.35999999999999,106.17777777777778,108.69949702789211,45.6,43.32222222222222,42.045008382868474,14.2,13.333333333333334,13.221612559061121,18.6,17.666666666666668,18.584057308337147,76.4,70.11111111111111,74.64258497180309,7.459999999999999,8.988888888888889,7.325727785398569,5.0,5.888888888888889,4.99192196311538,0.2366,0.254,0.23314022252705385,14.2,14.88888888888889,13.686480719402534,0.294,0.2831111111111111,0.28725087639079416,4.4,4.444444444444445,4.197073616826704,54.040000000000006,53.93333333333334,53.58545953360769,37.2,35.77777777777778,37.929279073312,0.522,0.49755555555555553,0.5165305593659504,12.860000000000003,13.455555555555556,13.945099832342635,10.6,10.777777777777779,11.451150739216585,48.8,45.77777777777778,48.689529035208054,0.4708,0.4552222222222222,0.4721358024691359,23.0,20.88888888888889,23.063404968754764,0.8507999999999999,0.8893333333333333,0.8734005486968451,6.0,4.333333333333333,6.16582837982015
2009-12-22,"Cassell Coliseum, Blacksburg, Virginia",MARYLAND-BALTIMORE-COUNTY,VIRGINIA-TECH,Home,57.7,15,26.5,9,51.5,66.7,24,0.509,57,0.456,26,0.421,24,0.542,13,1,200.0,107.6,63.0,13,16,71,12.1,8,0.228,13.0,0.462,6.0,64.9,37,0.519,17.2,14,44.0,0.455,20.0,0.909,10,46.480000000000004,48.15,47.36449728191842,13.2,12.4,12.982929431489104,16.1,14.540000000000001,15.889417263628514,6.2,5.5,6.275313722501652,93.4,91.21000000000001,88.42852207488698,63.92,63.970000000000006,61.44352486917646,23.6,22.4,23.80511100950059,0.5202,0.47450000000000003,0.5267219935985369,59.8,59.5,57.917339836407066,0.47539999999999993,0.4312,0.47468775085098824,28.2,25.5,27.17365239038765,0.33120000000000005,0.3477,0.3399758674998731,19.8,20.7,19.7283950617284,0.755,0.7029,0.7207206218564244,15.0,14.6,14.283036122542299,1.0,0.7,0.9414723365340651,200.0,202.5,201.09739368998632,112.73999999999998,106.46,108.7996646852614,43.78,43.2,42.06333892191232,12.0,12.6,10.814408372707415,17.6,17.8,18.722704872224767,76.2,70.4,74.09505664786873,10.12,10.33,12.350485190265712,6.8,6.8,8.327947975410254,0.264,0.27149999999999996,0.2984268150180359,14.6,15.5,16.124320479601693,0.307,0.29290000000000005,0.31850058426052946,4.8,4.8,5.464715744551136,54.56,53.73,53.02363968907179,35.6,35.0,34.619519382208004,0.5582,0.5123,0.559353706243967,15.860000000000003,14.64,17.73006655489509,12.6,11.6,13.96743382614439,45.2,44.0,41.793019356805374,0.5326000000000001,0.47759999999999997,0.5410905349794239,23.4,20.7,21.70893664583651,0.8708,0.8904,0.8822670324645634,7.0,4.8,7.1105522532134335
2009-12-30,"Cassell Coliseum, Blacksburg, Virginia",LONGWOOD,VIRGINIA-TECH,Home,50.0,15,14.5,8,62.5,71.4,36,0.608,51,0.588,30,0.804,41,0.561,23,1,200.0,106.3,27.6,7,15,85,8.8,7,0.118,6.0,0.333,2.0,55.1,43,0.603,20.7,18,45.0,0.622,28.0,0.917,11,48.4,49.01818181818182,50.80966485461228,13.6,12.636363636363637,13.655286287659404,18.68,15.627272727272727,19.426278175752344,7.4,5.818181818181818,7.183542481667769,82.0,87.60000000000001,76.11901471659132,61.879999999999995,64.21818181818183,63.195683246117646,24.2,22.545454545454547,23.870074006333727,0.522,0.4776363636363637,0.5208146623990246,59.6,59.27272727272727,57.61155989093805,0.4734,0.4334545454545454,0.4684585005673255,28.0,25.545454545454547,26.782434926925106,0.35679999999999995,0.3543636363636364,0.36698391166658206,21.2,21.0,21.1522633744856,0.7222000000000001,0.6882727272727273,0.6611470812376163,15.2,14.454545454545455,13.855357415028202,1.0,0.7272727272727273,0.9609815576893768,200.0,202.27272727272728,200.73159579332423,110.54,106.56363636363636,108.39977645684094,48.64,45.0,49.042225947941546,12.4,12.636363636363637,11.542938915138278,18.4,17.636363636363637,17.81513658148318,76.4,70.45454545454545,73.06337109857915,10.84,10.49090909090909,12.266990126843808,7.4,6.909090909090909,8.218631983606837,0.2578,0.26754545454545453,0.27495121001202394,14.2,15.272727272727273,15.082880319734464,0.346,0.30827272727272725,0.36633372284035304,5.2,4.909090909090909,5.643143829700758,56.32000000000001,54.74545454545455,56.9824264593812,36.6,35.18181818181818,35.413012921472,0.556,0.512909090909091,0.5459024708293113,17.880000000000003,14.872727272727273,17.553377703263394,14.4,11.818181818181818,13.978289217429595,45.4,44.0,42.52867957120358,0.5166,0.47554545454545455,0.5123936899862827,22.8,20.636363636363637,21.13929109722434,0.8859999999999999,0.8920909090909092,0.8911780216430423,8.0,5.2727272727272725,8.073701502142288
2010-01-02,"Moon Palace Resort, Cancun",VIRGINIA-TECH,SETON-HALL,Away,41.9,13,10.0,5,110.6,62.9,24,0.508,66,0.47,31,0.652,43,0.837,36,1,225.0,121.2,41.2,12,22,103,9.4,8,0.152,10.0,0.5,5.0,52.2,36,0.596,14.2,13,56.0,0.464,26.0,0.923,12,48.8,49.1,50.53977656974152,14.2,12.833333333333334,14.103524191772937,20.0,15.533333333333333,17.784185450501564,8.4,6.0,7.455694987778513,74.5,85.50833333333333,71.57934314439422,64.62,64.81666666666668,65.93045549741177,28.0,23.666666666666668,27.913382670889153,0.538,0.4885,0.5498764415993498,59.2,58.583333333333336,55.4077065939587,0.49660000000000004,0.4463333333333333,0.5083056670448837,29.0,25.916666666666668,27.854956617950073,0.446,0.3918333333333333,0.5126559411110547,25.6,22.666666666666668,27.768175582990402,0.645,0.6776666666666666,0.6277647208250776,16.2,15.166666666666666,16.9035716100188,1.0,0.75,0.9739877051262513,200.0,202.08333333333334,200.48773052888282,107.92,106.54166666666667,107.6998509712273,44.16,43.550000000000004,41.8948172986277,11.6,12.166666666666666,10.028625943425519,17.8,17.416666666666668,16.87675772098879,78.6,71.66666666666667,77.04224739905277,11.3,10.35,11.111326751229207,8.0,6.916666666666667,7.812421322404559,0.22859999999999997,0.25508333333333333,0.22263414000801598,12.6,14.5,12.055253546489643,0.3268,0.31033333333333335,0.3552224818935687,4.4,4.666666666666667,4.428762553133839,56.580000000000005,54.775000000000006,56.354950972920804,39.6,35.833333333333336,37.94200861431467,0.5572,0.5204166666666666,0.5649349805528743,18.3,15.358333333333334,18.602251802175598,15.4,12.333333333333334,15.318859478286397,46.6,44.083333333333336,43.352453047469055,0.5436,0.48774999999999996,0.5489291266575218,24.6,21.25,23.42619406481623,0.898,0.8941666666666667,0.8997853477620282,9.0,5.75,9.049134334761526
2010-01-10,"Dean Smith Center, Chapel Hill, North Carolina",VIRGINIA-TECH,NORTH-CAROLINA,Home,45.8,11,8.3,3,109.9,58.3,16,0.388,67,0.358,24,0.269,18,0.667,12,2,200.0,90.1,40.5,15,19,64,14.1,10,0.269,18.0,0.222,4.0,47.0,31,0.424,13.8,12,49.0,0.408,20.0,0.857,12,47.7,48.54615384615385,47.65985104649435,13.2,12.846153846153847,13.735682794515292,15.34,15.107692307692307,15.189456967001043,6.4,5.923076923076923,6.637129991852342,79.24,87.43846153846154,84.58622876292947,63.720000000000006,64.66923076923078,64.92030366494119,26.6,23.692307692307693,26.60892178059277,0.5479999999999999,0.49,0.5359176277328999,55.6,59.15384615384615,58.93847106263914,0.5002000000000001,0.4481538461538462,0.49553711136325584,27.6,26.307692307692307,28.903304411966715,0.5098,0.41184615384615386,0.5591039607407031,28.6,24.23076923076923,32.84545038866027,0.6624000000000001,0.6899230769230769,0.6975098138833851,19.2,16.76923076923077,23.269047740012535,1.0,0.7692307692307693,0.9826584700841676,205.0,203.84615384615384,208.65848701925523,108.82000000000001,107.66923076923078,112.19990064748487,40.12,43.36923076923077,41.66321153241847,9.0,12.153846153846153,10.685750628950347,18.4,17.76923076923077,18.58450514732586,79.6,74.07692307692308,85.69483159936851,11.76,10.276923076923076,10.540884500819471,8.4,7.0,7.874947548269706,0.24,0.24715384615384617,0.19908942667201068,13.0,14.153846153846153,11.370169030993097,0.4018,0.3249230769230769,0.4034816545957125,5.2,4.6923076923076925,4.619175035422559,54.14,54.57692307692308,54.96996731528054,35.6,35.84615384615385,37.29467240954312,0.5756,0.5262307692307693,0.5752899870352495,18.44,15.26923076923077,17.13483453478373,15.0,12.384615384615385,14.5459063188576,42.6,45.0,47.56830203164604,0.539,0.48592307692307696,0.5206194177716812,22.4,21.615384615384617,24.284129376544154,0.9076000000000001,0.8963846153846154,0.9075235651746856,10.0,6.230769230769231,10.032756223174351
2010-01-13,"Cassell Coliseum, Blacksburg, Virginia",MIAMI-FL,VIRGINIA-TECH,Home,68.0,17,17.6,6,89.2,67.4,33,0.538,53,0.472,25,0.623,33,0.727,24,2,200.0,109.5,34.5,8,23,81,5.4,4,0.302,16.0,0.438,7.0,54.7,41,0.59,18.2,14,37.0,0.486,18.0,0.867,13,50.2,48.35,47.0399006976629,13.8,12.714285714285714,12.823788529676861,15.540000000000001,14.62142857142857,12.89297131133403,6.4,5.714285714285714,5.424753327901562,81.82000000000001,89.04285714285713,93.02415250861965,63.28000000000001,64.21428571428571,62.71353577662746,24.4,23.142857142857142,23.07261452039518,0.5292,0.4827142857142857,0.4866117518219333,58.0,59.714285714285715,61.62564737509277,0.48460000000000003,0.4417142857142857,0.44969140757550397,27.6,26.142857142857142,27.268869607977813,0.4946,0.40164285714285713,0.46240264049380214,28.4,23.785714285714285,27.896966925773516,0.659,0.6882857142857143,0.6873398759222568,19.0,16.428571428571427,19.51269849334169,1.2,0.8571428571428571,1.3217723133894452,205.0,203.57142857142858,205.7723246795035,106.83999999999999,106.41428571428571,104.83326709832325,42.88,43.16428571428571,41.27547435494565,10.6,12.357142857142858,12.123833752633566,18.2,17.857142857142858,18.723003431550573,79.2,73.35714285714286,78.46322106624568,13.36,10.549999999999999,11.727256333879648,9.6,7.214285714285714,8.583298365513137,0.2392,0.24871428571428572,0.2223929511146738,13.6,14.428571428571429,13.580112687328732,0.37960000000000005,0.31757142857142856,0.34298776973047507,5.0,4.642857142857143,4.412783356948373,54.220000000000006,54.035714285714285,52.31331154352036,35.0,35.5,35.19644827302875,0.5574,0.5189285714285714,0.524859991356833,18.240000000000002,15.164285714285715,16.023223023189153,15.2,12.357142857142858,13.6972708792384,44.4,45.285714285714285,48.04553468776403,0.5256000000000001,0.4803571428571428,0.48307961184778747,22.6,21.5,22.85608625102944,0.9012,0.8935714285714286,0.8906823767831238,10.8,6.642857142857143,10.6885041487829
