date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-11-28,"The Palestra, Philadelphia, Pennsylvania",Cornell,Vermont,Away,70.0,14,10.0,4,100.0,51.4,19,0.478,45,0.444,20,0.533,24,0.667,16,4,200.0,88.1,29.2,7,20,59,9.0,6,0.289,13.0,0.231,3.0,42.6,26,0.523,25.5,19,32.0,0.531,17.0,0.333,2,51.239999999999995,51.239999999999995,52.016049382716055,10.8,10.8,10.753086419753089,12.239999999999998,12.239999999999998,11.50740740740741,5.2,5.2,4.987654320987656,105.38,105.38,108.53827160493829,55.96,55.96,56.33333333333334,20.0,20.0,19.77777777777778,0.3972,0.3972,0.3970617283950618,59.0,59.0,58.13580246913581,0.3644,0.3644,0.36129629629629634,21.6,21.6,21.098765432098766,0.4418,0.4418,0.468283950617284,25.8,25.8,26.98765432098766,0.7112,0.7112,0.688135802469136,18.2,18.2,18.45679012345679,1.6,1.6,1.888888888888889,200.0,200.0,200.0,90.02000000000001,90.02000000000001,89.01234567901236,38.86,38.86,37.916049382716054,11.8,11.8,11.740740740740742,18.4,18.4,17.97530864197531,65.2,65.2,64.7283950617284,11.540000000000001,11.540000000000001,10.570370370370373,8.4,8.4,7.765432098765434,0.25880000000000003,0.25880000000000003,0.2595432098765432,15.2,15.2,15.012345679012348,0.2492,0.2492,0.26833333333333337,3.8,3.8,4.074074074074074,46.42,46.42,45.91481481481482,31.8,31.8,31.518518518518523,0.4566,0.4566,0.4554938271604939,17.34,17.34,17.660493827160497,15.0,15.0,15.283950617283953,43.8,43.8,43.12345679012346,0.40099999999999997,0.40099999999999997,0.38929629629629636,17.8,17.8,17.024691358024693,0.41340000000000005,0.41340000000000005,0.392641975308642,1.4,1.4,1.5061728395061729
2009-11-29,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Vermont,Toledo,Away,68.8,22,6.8,3,73.1,60.0,22,0.563,63,0.508,32,0.286,18,0.611,11,4,200.0,122.4,43.8,10,14,82,9.0,6,0.349,22.0,0.318,7.0,51.6,32,0.573,13.4,11,41.0,0.61,25.0,0.429,3,54.720000000000006,54.36666666666667,58.01069958847738,11.6,11.333333333333334,11.83539094650206,10.6,11.866666666666667,11.00493827160494,4.4,5.0,4.658436213991771,103.44000000000001,104.48333333333333,105.69218106995886,58.5,55.199999999999996,54.6888888888889,20.6,19.833333333333332,19.51851851851852,0.4178,0.4106666666666667,0.4240411522633746,56.8,56.666666666666664,53.75720164609054,0.3854,0.37766666666666665,0.3888641975308642,21.8,21.333333333333332,20.732510288065846,0.4306,0.457,0.48985596707818935,24.0,25.5,25.99176954732511,0.6992,0.7038333333333333,0.6810905349794241,16.6,17.833333333333332,17.637860082304528,2.2,2.0,2.5925925925925926,200.0,200.0,200.0,89.3,89.7,88.70823045267491,35.019999999999996,37.25,35.01069958847737,11.0,11.0,10.160493827160495,18.4,18.666666666666668,18.650205761316876,63.8,64.16666666666667,62.81893004115227,11.4,11.116666666666667,10.046913580246915,8.2,8.0,7.17695473251029,0.2666,0.2638333333333333,0.26936213991769553,15.0,14.833333333333334,14.341563786008233,0.23820000000000002,0.24616666666666667,0.25588888888888894,3.6,3.6666666666666665,3.71604938271605,46.239999999999995,45.78333333333333,44.80987654320988,31.6,30.833333333333332,29.67901234567902,0.4692,0.4676666666666667,0.47799588477366267,18.740000000000002,18.7,20.27366255144033,15.6,15.666666666666666,16.52263374485597,41.8,41.833333333333336,39.41563786008231,0.4358000000000001,0.4226666666666667,0.43653086419753095,18.2,17.666666666666668,17.016460905349795,0.48,0.39999999999999997,0.37276131687242803,1.8,1.5,1.6707818930041154
2009-12-01,"Leede Arena, Hanover, New Hampshire",Vermont,Dartmouth,Away,40.9,9,6.7,3,84.1,78.0,32,0.47,50,0.44,22,0.38,19,0.842,16,4,200.0,91.3,28.6,8,16,63,7.2,5,0.14,7.0,0.429,3.0,58.0,40,0.534,23.6,16,43.0,0.442,19.0,0.5,4,56.48,56.42857142857143,61.60713305898492,13.6,12.857142857142858,15.223593964334707,10.42,11.142857142857142,9.60329218106996,4.4,4.714285714285714,4.105624142661181,101.3,100.0,94.8281207133059,57.36,55.885714285714286,56.45925925925927,20.0,20.142857142857142,20.34567901234568,0.457,0.43242857142857144,0.4703607681755831,57.4,57.57142857142857,56.83813443072703,0.4204,0.3962857142857143,0.42857613168724285,24.2,22.857142857142858,24.4883401920439,0.4244,0.43257142857142855,0.42190397805212626,23.8,24.428571428571427,23.32784636488341,0.674,0.6905714285714285,0.6577270233196161,16.0,16.857142857142858,15.425240054869686,2.8,2.2857142857142856,3.0617283950617287,200.0,200.0,200.0,96.72,94.37142857142858,99.93882030178328,37.120000000000005,38.18571428571429,37.94046639231825,10.8,10.857142857142858,10.106995884773664,17.4,18.0,17.100137174211252,68.6,66.71428571428571,69.21262002743485,10.84,10.814285714285715,9.697942386831278,7.8,7.714285714285714,6.784636488340194,0.273,0.27599999999999997,0.2959080932784637,15.6,15.857142857142858,16.894375857338822,0.2596,0.2564285714285714,0.27659259259259267,4.2,4.142857142857143,4.810699588477366,46.84,46.614285714285714,47.073251028806595,30.8,31.0,30.45267489711935,0.4998,0.4827142857142857,0.5096639231824418,18.64,17.942857142857143,17.982441700960223,15.6,15.0,14.681755829903981,41.8,41.714285714285715,39.94375857338821,0.4798,0.4494285714285714,0.49435390946502067,20.0,18.714285714285715,19.67764060356653,0.46580000000000005,0.4041428571428572,0.39150754458161874,2.2,1.7142857142857142,2.1138545953360772
2009-12-05,"Prudential Center, Newark, New Jersey",Vermont,NJIT,Away,63.3,19,15.2,5,77.8,69.4,25,0.684,49,0.612,30,0.633,31,0.677,21,4,200.0,139.7,50.0,12,18,88,14.3,9,0.224,11.0,0.636,7.0,61.7,37,0.69,16.1,12,38.0,0.605,23.0,0.556,5,57.519999999999996,54.4875,54.70475537265662,13.4,12.375,13.149062642889806,8.42,10.5875,8.635528120713307,3.8,4.5,3.737082761774121,98.12,98.0125,91.25208047553727,60.660000000000004,58.650000000000006,63.63950617283952,22.6,21.625,24.230452674897123,0.45879999999999993,0.437125,0.4702405121170554,54.6,56.625,54.558756287151354,0.4208,0.40175,0.4323840877914953,23.0,22.75,23.658893461362602,0.4316,0.426,0.4079359853680842,23.2,23.75,21.885230909922274,0.6788000000000001,0.7095,0.7191513488797441,15.6,16.75,15.61682670324646,3.4,2.5,3.374485596707819,200.0,200.0,200.0,93.28,93.9875,97.0592135345222,33.96,36.9875,34.826977594878834,9.8,10.5,9.404663923182444,16.8,17.75,16.733424782807504,65.8,66.25,67.14174668495657,8.620000000000001,10.3625,8.865294924554185,6.2,7.375,6.189757658893463,0.2604,0.259,0.24393872885230913,14.4,14.75,13.596250571559217,0.2992,0.278,0.3273950617283951,4.2,4.0,4.207133058984911,48.120000000000005,48.0375,50.71550068587106,32.4,32.125,33.63511659807957,0.5032,0.48912500000000003,0.5177759487882946,20.36,18.65,19.854961133973482,16.2,15.125,15.121170553269323,40.2,41.875,40.962505715592144,0.4702,0.4485,0.4769026063100138,18.8,18.75,19.451760402377687,0.4324,0.416125,0.4276716963877458,2.6,2.0,2.7425697302240515
2009-12-07,"John J. Lee Ampitheater, New Haven, Connecticut",Vermont,Yale,Away,62.5,15,4.5,2,89.6,55.9,21,0.596,47,0.511,24,0.489,23,0.696,16,4,200.0,107.5,29.2,5,16,72,13.4,9,0.362,17.0,0.471,8.0,44.8,26,0.621,21.9,15,30.0,0.533,16.0,0.6,6,60.17999999999999,55.46666666666667,57.56983691510442,15.0,13.11111111111111,15.099375095259873,8.72,11.1,10.823685413808871,3.4,4.555555555555555,4.158055174516081,88.44,95.76666666666667,86.76805365035818,65.76000000000002,59.84444444444445,65.55967078189302,24.0,22.0,24.486968449931418,0.5189999999999999,0.46455555555555555,0.5414936747447037,52.4,55.77777777777778,52.705837524767574,0.46980000000000005,0.4251111111111111,0.4922560585276635,24.6,23.555555555555557,25.772595640908403,0.46820000000000006,0.44900000000000007,0.4829573235787228,24.0,24.555555555555557,24.923487273281516,0.6808,0.7058888888888889,0.7051008992531628,16.2,17.22222222222222,17.41121780216431,3.8,2.6666666666666665,3.5829903978052133,200.0,200.0,200.0,105.97999999999999,99.06666666666666,111.2728090230148,36.32000000000001,38.43333333333333,39.88465172991923,9.6,10.666666666666666,10.269775948788297,16.8,17.77777777777778,17.15561652187167,70.6,68.66666666666667,74.09449778997106,9.34,10.8,10.676863283036123,6.2,7.555555555555555,7.126505105928976,0.2586,0.25511111111111107,0.23729248590153942,13.8,14.333333333333334,12.730833714372812,0.39780000000000004,0.3177777777777778,0.43026337448559676,5.2,4.333333333333333,5.13808870598994,52.2,49.55555555555556,54.37700045724738,33.6,32.666666666666664,34.75674439871972,0.5534,0.5114444444444444,0.5751839658588631,18.74,18.366666666666667,18.60330742264899,14.0,14.777777777777779,14.080780368846217,38.6,41.44444444444444,39.97500381039477,0.5042,0.46588888888888885,0.5196017375400093,19.4,19.22222222222222,20.63450693491846,0.4436,0.4316666666666667,0.4704477975918306,3.2,2.3333333333333335,3.4950464868160345
2009-12-13,"Roy L. Patrick Gymnasium, Burlington, Vermont",Quinnipiac,Vermont,Home,44.0,11,7.4,4,101.3,65.6,21,0.519,54,0.463,25,0.593,32,0.75,24,4,200.0,105.3,17.9,5,15,80,9.2,7,0.241,13.0,0.462,6.0,43.3,26,0.578,16.0,13,41.0,0.463,19.0,0.636,7,61.1,56.17,59.21322461006962,15.8,13.3,15.066250063506583,8.64,10.44,8.715790275872582,3.4,4.3,3.438703449677387,84.92,95.15,87.71203576690546,62.94000000000001,59.45,62.339780521262014,23.8,21.9,23.324645633287613,0.5582,0.4777,0.5596624498298024,50.8,54.9,50.803891683178385,0.503,0.4337,0.49850403901844237,25.6,23.6,25.18173042727227,0.46420000000000006,0.453,0.48497154905248185,23.0,24.4,24.282324848854344,0.6986,0.7049,0.7020672661687752,16.0,17.1,16.94081186810954,4.0,2.8,3.721993598536809,200.0,200.0,200.0,109.8,99.91,110.01520601534321,36.160000000000004,37.510000000000005,36.32310115327949,8.4,10.1,8.513183965858865,16.8,17.6,16.770411014581114,72.8,69.0,73.3963318599807,10.58,11.059999999999999,11.584575522024084,7.0,7.7,7.751003403952651,0.2728,0.2658,0.27886165726769296,14.0,14.6,14.153889142915208,0.417,0.3331,0.44384224965706454,5.6,4.7,6.092059137326627,51.739999999999995,49.08,51.18466697149825,32.2,32.0,31.83782959914648,0.5882,0.5224,0.5904559772392421,20.1,18.72,19.70220494843266,14.6,14.8,14.387186912564145,36.8,40.3,36.65000254026318,0.5442,0.4726,0.5240678250266729,20.0,18.9,19.08967128994564,0.48360000000000003,0.4485,0.5136318650612204,4.0,2.7,4.330030991210689
2009-12-20,"Roy L. Patrick Gymnasium, Burlington, Vermont",Delaware,Vermont,Away,47.1,8,5.4,2,82.4,55.6,21,0.33,56,0.304,17,0.393,22,0.591,13,5,200.0,73.5,32.4,11,17,50,20.6,14,0.357,20.0,0.15,3.0,43.8,32,0.376,15.4,12,36.0,0.389,14.0,0.583,7,55.9,55.06363636363637,54.14214974004641,15.2,13.090909090909092,13.710833375671056,8.120000000000001,10.163636363636364,8.277193517248389,3.4,4.2727272727272725,3.625802299784925,85.17999999999999,95.7090909090909,92.24135717793698,65.78,60.00909090909091,63.42652034750802,24.2,21.818181818181817,22.549763755525078,0.5664,0.48145454545454547,0.546108299886535,52.6,54.81818181818182,51.86926112211893,0.5067999999999999,0.43636363636363634,0.48666935934562827,26.6,23.727272727272727,25.121153618181516,0.47619999999999996,0.46572727272727277,0.5209810327016546,24.6,25.09090909090909,26.854883232569563,0.7152000000000001,0.709,0.7180448441125169,17.6,17.727272727272727,19.293874578739697,4.0,2.909090909090909,3.81466239902454,200.0,200.0,200.0,113.24000000000001,100.4,108.44347067689547,33.9,35.72727272727273,30.18206743551966,8.0,9.636363636363637,7.34212264390591,15.8,17.363636363636363,16.180274009720744,77.0,70.0,75.59755457332048,10.620000000000001,10.89090909090909,10.789717014682722,7.2,7.636363636363637,7.500668935968434,0.2632,0.2635454545454545,0.26624110484512864,14.0,14.454545454545455,13.769259428610141,0.46319999999999995,0.34481818181818186,0.4498948331047097,6.2,4.818181818181818,6.061372758217752,51.879999999999995,48.554545454545455,48.5564446476655,32.2,31.454545454545453,29.891886399430987,0.5992,0.5274545454545454,0.5863039848261615,18.2,18.472727272727273,18.46813663228844,13.4,14.636363636363637,13.924791275042764,38.6,40.36363636363637,38.10000169350879,0.5306000000000001,0.4717272727272727,0.5037118833511154,20.4,18.90909090909091,19.059780859963762,0.5442,0.4655454545454546,0.554421243374147,5.0,3.090909090909091,5.220020660807126
2009-12-28,"McCann Recreation Center, Poughkeepsie, New York",Vermont,Marist,Away,27.3,6,20.0,6,98.4,61.3,20,0.461,51,0.431,22,0.784,40,0.625,25,5,200.0,114.3,80.6,24,18,72,19.0,12,0.314,16.0,0.188,3.0,71.0,44,0.514,19.9,17,35.0,0.543,19.0,0.615,8,51.56,54.4,51.79476649336428,12.4,12.666666666666666,11.80722225044737,7.839999999999999,9.766666666666667,7.318129011498926,3.2,4.083333333333333,3.083868199856617,87.03999999999999,94.60000000000001,88.96090478529132,64.9,59.64166666666667,60.817680231672014,24.0,21.75,22.03317583701672,0.5198,0.4688333333333334,0.4740721999243567,51.2,54.916666666666664,53.24617408141262,0.466,0.42533333333333334,0.42577957289708557,23.6,23.166666666666668,22.41410241212101,0.4976,0.45966666666666667,0.4783206884677698,25.4,24.833333333333332,25.236588821713042,0.7112,0.6991666666666667,0.675696562741678,18.0,17.333333333333332,17.195916385826465,4.2,3.0833333333333335,4.209774932683027,200.0,200.0,200.0,103.46,98.15833333333335,96.79564711793033,31.619999999999997,35.449999999999996,30.92137829034644,8.2,9.75,8.561415095937274,16.4,17.333333333333332,16.4535160064805,70.6,68.33333333333333,67.06503638221366,12.939999999999998,11.700000000000001,14.059811343121815,8.8,8.166666666666666,9.667112623978955,0.26480000000000004,0.27133333333333337,0.2964940698967524,13.6,14.916666666666666,15.84617295240676,0.42960000000000004,0.32858333333333334,0.3499298887364731,5.4,4.666666666666667,5.040915172145168,50.32,48.15833333333333,46.970963098443676,32.2,31.5,30.59459093295399,0.5598000000000001,0.5148333333333334,0.5162026565507744,18.6,18.216666666666665,17.44542442152563,13.6,14.416666666666666,13.283194183361845,37.6,40.0,37.40000112900586,0.4864,0.4648333333333334,0.4654745889007436,18.2,18.5,17.37318723997584,0.575,0.47533333333333333,0.5639474955827647,5.8,3.4166666666666665,5.813347107204751
2009-12-30,"Knott Arena, Emmitsburg, Maryland",Vermont,Mount St. Mary's,Away,30.4,7,8.9,4,95.8,65.7,25,0.464,56,0.411,23,0.536,30,0.633,19,5,200.0,98.6,44.4,14,24,71,11.1,8,0.268,15.0,0.4,6.0,54.9,39,0.505,20.6,18,41.0,0.415,17.0,0.643,9,48.839999999999996,52.315384615384616,43.62984432890953,11.8,12.153846153846153,9.871481500298248,10.5,10.553846153846154,11.545419340999285,3.8,4.230769230769231,4.0559121332377455,89.9,94.89230769230768,92.10726985686088,61.56,59.76923076923077,60.978453487781344,21.6,21.615384615384617,21.35545055801115,0.518,0.46823076923076923,0.46971479994957116,51.4,54.61538461538461,52.49744938760842,0.46420000000000006,0.4257692307692308,0.42751971526472377,23.6,23.076923076923077,22.27606827474734,0.5784,0.4846153846153846,0.5802137923118466,29.6,26.0,30.157725881142028,0.6678000000000001,0.6934615384615385,0.6587977084944521,19.8,17.923076923076923,19.797277590550976,4.4,3.230769230769231,4.473183288455352,200.0,200.0,200.0,108.05999999999999,99.4,102.63043141195355,42.019999999999996,38.92307692307692,47.48091886023096,11.4,10.846153846153847,13.707610063958183,16.8,17.384615384615383,16.969010670987,72.4,68.61538461538461,68.71002425480911,15.3,12.261538461538462,15.706540895414545,10.2,8.461538461538462,10.444741749319304,0.2996,0.2746153846153846,0.30232937993116826,15.4,15.0,15.897448634937842,0.38139999999999996,0.3177692307692308,0.29595325915764875,5.4,4.538461538461538,4.360610114763446,52.92,49.91538461538461,54.98064206562912,33.0,32.46153846153846,35.06306062196933,0.5558,0.5147692307692308,0.5154684377005163,17.86,18.346153846153847,18.263616281017086,13.8,14.615384615384615,14.522129455574564,36.0,39.61538461538461,36.600000752670574,0.5066,0.47084615384615386,0.49131639260049575,18.2,18.53846153846154,17.915458159983896,0.5980000000000001,0.4860769230769231,0.5809649970551765,6.6,3.769230769230769,6.542231404803168
2010-01-02,"Roy L. Patrick Gymnasium, Burlington, Vermont",UMBC,Vermont,Home,61.5,16,15.7,8,85.3,78.9,30,0.546,54,0.481,26,0.407,22,0.636,14,5,200.0,107.4,36.0,9,16,73,2.9,2,0.352,19.0,0.368,7.0,61.9,39,0.566,17.0,13,35.0,0.543,19.0,0.667,10,42.260000000000005,50.75,39.219896219273025,9.4,11.785714285714286,8.914321000198832,9.239999999999998,10.435714285714285,10.663612893999524,3.6,4.214285714285714,4.037274755491831,93.5,94.95714285714287,93.33817990457393,60.82000000000001,60.19285714285714,62.55230232518757,21.6,21.857142857142858,22.570300372007434,0.47400000000000003,0.4679285714285714,0.46780986663304747,52.8,54.714285714285715,53.66496625840561,0.42400000000000004,0.4247142857142857,0.4220131435098159,22.2,23.071428571428573,22.517378849831562,0.5589999999999999,0.4882857142857143,0.5654758615412311,29.4,26.285714285714285,30.10515058742802,0.659,0.6891428571428572,0.6501984723296348,19.4,18.0,19.53151839370065,4.6,3.357142857142857,4.648788858970235,200.0,200.0,200.0,99.83999999999999,99.34285714285714,101.2869542746357,40.9,39.31428571428571,46.45394590682064,11.8,11.071428571428571,13.805073375972123,18.0,17.857142857142858,19.312673780658002,69.0,68.78571428571429,69.47334950320608,14.66,12.178571428571429,14.171027263609696,10.0,8.428571428571429,9.629827832879537,0.3084,0.27414285714285713,0.29088625328744555,16.2,15.0,15.598299089958562,0.3342,0.3236428571428572,0.3306355061050992,5.2,4.642857142857143,4.9070734098422975,51.56,50.271428571428565,54.95376137708608,33.4,32.92857142857143,36.37537374797955,0.5187999999999999,0.5140714285714286,0.5119789584670109,18.759999999999998,18.50714285714286,19.042410854011393,15.0,14.857142857142858,15.68141963704971,36.6,39.714285714285715,38.066667168447054,0.4686,0.4668571428571429,0.46587759506699716,17.0,18.428571428571427,17.610305439989265,0.6154,0.4972857142857143,0.6016433313701177,7.4,4.142857142857143,7.361487603202113
