date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-24,"Mohegan Sun Arena, Uncasville, Connecticut",Virginia,Arizona State,Away,33.3,6,21.7,5,77.6,87.0,20,0.418,49,0.367,18,0.143,7,1.0,7,0,200,82.8,28.0,7,13,48,6.9,4,0.327,16,0.313,5,56.3,27,0.459,20.0,13,33,0.394,13,1.0,6,48.54,48.54,48.43827160493828,11.0,11.0,10.777777777777779,17.86,17.86,14.656790123456794,4.6,4.6,3.716049382716051,68.12,68.12,71.72592592592594,82.2,82.2,83.13086419753088,30.0,30.0,29.67901234567902,0.4606,0.4606,0.46567901234567904,55.4,55.4,53.358024691358025,0.4178,0.4178,0.4238395061728395,23.0,23.0,22.51851851851852,0.2116,0.2116,0.21900000000000003,11.8,11.8,11.753086419753087,0.6606,0.6606,0.6963333333333335,7.8,7.8,8.271604938271606,0.0,0.0,0.0,200.0,200.0,200.0,93.32000000000001,93.32000000000001,93.75925925925927,28.98,28.98,28.44691358024692,9.4,9.4,8.802469135802472,10.4,10.4,11.037037037037038,58.4,58.4,57.67901234567901,9.819999999999999,9.819999999999999,9.67530864197531,6.2,6.2,5.987654320987655,0.3706,0.3706,0.3660864197530865,20.2,20.2,19.259259259259263,0.23359999999999997,0.23359999999999997,0.22529629629629633,4.6,4.6,4.370370370370371,57.46,57.46,57.96913580246914,39.4,39.4,38.48148148148149,0.4822,0.4822,0.4916790123456791,15.1,15.1,15.490123456790126,10.6,10.6,10.617283950617285,35.2,35.2,34.09876543209877,0.5408,0.5408,0.5483950617283951,18.4,18.4,18.148148148148152,1.0,1.0,1.0,3.0,3.0,3.3950617283950617
2019-11-27,"John Paul Jones Arena, Charlottesville, Virginia",Maine,Virginia,Home,41.2,7,17.6,3,46.4,73.3,22,0.455,44,0.386,17,0.159,7,0.857,6,0,200,82.1,11.1,2,10,46,16.1,9,0.409,18,0.333,6,50.0,24,0.486,18.9,11,26,0.423,11,1.0,7,41.2,46.0,43.39218106995885,9.4,10.166666666666666,9.185185185185187,19.119999999999997,18.5,17.004526748971195,4.8,4.666666666666667,4.144032921810701,72.3,69.7,73.68395061728395,82.1,83.0,84.42057613168726,27.0,28.333333333333332,26.45267489711935,0.45439999999999997,0.4535,0.4497860082304527,55.4,54.333333333333336,51.90534979423869,0.4096,0.4093333333333333,0.40489300411522633,22.6,22.166666666666668,21.01234567901235,0.2158,0.2001666666666667,0.1936666666666667,12.0,11.0,10.168724279835391,0.7272000000000001,0.7171666666666666,0.7975555555555557,8.4,7.666666666666667,7.847736625514404,0.0,0.0,0.0,200.0,200.0,200.0,93.88,91.56666666666666,90.10617283950619,28.160000000000004,28.816666666666666,28.29794238683128,9.0,9.0,8.201646090534982,11.6,10.833333333333334,11.69135802469136,58.4,56.666666666666664,54.452674897119344,9.86,9.333333333333334,8.750205761316874,6.2,5.833333333333333,5.325102880658437,0.33399999999999996,0.36333333333333334,0.35305761316872436,18.4,19.5,18.172839506172842,0.26420000000000005,0.24683333333333332,0.2545308641975309,4.8,4.666666666666667,4.580246913580248,55.779999999999994,57.26666666666667,57.412757201646095,36.0,37.333333333333336,34.65432098765433,0.4814,0.47833333333333333,0.4807860082304528,14.6,15.916666666666666,16.993415637860085,10.2,11.0,11.411522633744857,37.0,34.833333333333336,33.73251028806585,0.4862,0.5163333333333333,0.49693004115226347,17.8,17.5,16.4320987654321,1.0,1.0,1.0,4.0,3.5,4.263374485596708
2019-12-04,"Mackey Arena, West Lafayette, Indiana",Virginia,Purdue,Home,50.0,8,14.3,4,121.1,70.0,21,0.419,43,0.372,16,0.186,8,0.5,4,1,200,70.2,16.0,4,14,40,5.3,3,0.558,24,0.167,4,45.5,25,0.427,24.4,15,19,0.632,12,0.875,7,40.98,45.31428571428571,42.661454046639236,8.6,9.714285714285714,8.456790123456791,17.18,18.37142857142857,17.203017832647465,4.2,4.428571428571429,3.7626886145404677,71.86,66.37142857142858,64.58930041152264,79.76,81.61428571428571,80.71371742112484,24.6,27.428571428571427,24.968449931412902,0.46299999999999997,0.45371428571428574,0.4515240054869685,50.6,52.857142857142854,49.270233196159126,0.4104,0.406,0.3985953360768176,20.8,21.428571428571427,19.674897119341566,0.2064,0.19428571428571426,0.18211111111111114,10.6,10.428571428571429,9.112482853223595,0.7699999999999999,0.7371428571428572,0.8173703703703705,7.8,7.428571428571429,7.231824417009603,0.0,0.0,0.0,200.0,200.0,200.0,91.72,90.21428571428571,87.4374485596708,24.18,26.285714285714285,22.565294924554188,6.8,8.0,6.1344307270233225,11.6,10.714285714285714,11.127572016460906,54.6,55.142857142857146,51.63511659807956,10.8,10.299999999999999,11.20013717421125,6.4,6.285714285714286,6.550068587105625,0.3422,0.36985714285714283,0.3717050754458162,17.0,19.285714285714285,18.11522633744856,0.2988,0.2591428571428572,0.28068724279835394,5.2,4.857142857142857,5.053497942386832,54.32000000000001,56.228571428571435,54.94183813443073,31.4,35.42857142857143,31.102880658436224,0.4915999999999999,0.4794285714285714,0.48252400548696855,16.0,16.342857142857145,17.628943758573392,10.4,11.0,11.274348422496573,33.6,33.57142857142857,31.15500685871057,0.46840000000000004,0.503,0.47228669410150903,15.6,16.571428571428573,14.621399176954736,1.0,1.0,1.0,5.0,4.0,5.175582990397805
2019-12-08,"John Paul Jones Arena, Charlottesville, Virginia",UNC,Virginia,Home,56.3,9,9.4,3,74.6,75.0,21,0.388,49,0.327,16,0.51,25,0.72,18,1,200,88.9,27.3,9,18,56,12.7,8,0.347,17,0.353,6,49.2,30,0.46,16.7,12,32,0.313,10,0.889,8,42.64,45.9,45.107636031092824,8.2,9.5,8.304526748971195,14.9,17.8625,16.235345221764977,3.2,4.375,3.841792409693645,82.74,73.2125,83.42620027434842,79.32000000000001,80.1625,77.1424782807499,23.6,26.625,23.645633287608604,0.457,0.44937499999999997,0.4406826703246457,47.4,51.625,47.18015546410609,0.4034,0.40175,0.38973022405121177,19.2,20.75,18.44993141289438,0.1962,0.19325,0.18340740740740744,9.4,10.125,8.741655235482398,0.7699999999999999,0.7075,0.7115802469135803,7.2,7.0,6.1545496113397355,0.2,0.125,0.3333333333333333,200.0,200.0,200.0,86.72,87.7125,81.69163237311386,20.72,25.0,20.376863283036126,5.4,7.5,5.422953818015548,12.6,11.125,12.085048010973939,50.6,53.25,47.75674439871972,9.319999999999999,9.675,9.2334247828075,5.4,5.875,5.366712391403751,0.4064,0.39337500000000003,0.43380338363054416,19.0,19.875,20.07681755829904,0.26080000000000003,0.247625,0.24279149519890264,5.0,4.75,4.702331961591222,52.7,54.8875,51.79455875628716,29.0,34.125,29.06858710562415,0.4856,0.472875,0.46401600365797907,18.46,17.35,19.885962505715597,11.6,11.5,12.516232281664383,28.4,31.75,27.10333790580705,0.5104,0.5191250000000001,0.5255244627343394,14.2,16.0,13.747599451303158,0.975,0.984375,0.9583333333333334,5.8,4.375,5.783721993598537
2019-12-18,"John Paul Jones Arena, Charlottesville, Virginia",Stony Brook,Virginia,Home,52.4,11,16.7,4,77.2,69.2,18,0.452,52,0.404,21,0.231,12,0.75,9,1,200,98.2,27.6,8,8,56,7.0,4,0.308,16,0.313,5,47.3,26,0.485,14.9,10,36,0.444,16,0.9,9,44.339999999999996,47.05555555555556,48.83842402072855,7.8,9.444444444444445,8.536351165980797,13.440000000000001,16.922222222222224,13.956896814509985,3.2,4.222222222222222,3.561194939795764,79.02000000000001,73.36666666666666,80.48413351623228,78.7,79.58888888888889,76.42831885383328,22.8,26.0,22.763755525072405,0.4244,0.4425555555555556,0.42312178021643054,47.4,51.333333333333336,47.78677030940406,0.375,0.39344444444444443,0.36882014936747454,17.8,20.22222222222222,17.633287608596255,0.2534,0.22844444444444445,0.29227160493827165,12.2,11.777777777777779,14.161103490321597,0.7867999999999999,0.7088888888888889,0.7143868312757202,9.4,8.222222222222221,10.103033074226492,0.4,0.2222222222222222,0.5555555555555556,200.0,200.0,200.0,83.82000000000001,87.84444444444445,84.09442158207591,22.479999999999997,25.255555555555556,22.684575522024083,6.2,7.666666666666667,6.615302545343699,13.8,11.88888888888889,14.056698673982627,49.6,53.55555555555556,50.504496265813145,10.5,10.011111111111111,10.388949855204999,6.2,6.111111111111111,6.244474927602501,0.382,0.3882222222222222,0.40486892242036276,17.8,19.555555555555557,19.051211705532694,0.26180000000000003,0.25933333333333336,0.2795276634659351,4.6,4.888888888888889,5.1348879743941485,52.379999999999995,54.25555555555556,50.92970583752478,29.0,33.666666666666664,29.379058070416104,0.4652,0.4714444444444445,0.46267733577198605,18.939999999999998,17.27777777777778,18.823975003810396,12.2,11.555555555555555,12.344154854442923,29.6,31.77777777777778,28.735558603871368,0.45760000000000006,0.49622222222222223,0.4546829751562263,13.2,15.333333333333334,12.498399634202105,0.9528000000000001,0.9737777777777777,0.9352222222222223,6.6,4.777777777777778,6.522481329065691
2019-12-22,"John Paul Jones Arena, Charlottesville, Virginia",South Carolina,Virginia,Away,72.2,13,12.5,4,111.1,75.0,18,0.512,41,0.439,18,0.537,22,0.773,17,2,200,93.7,29.2,7,16,59,9.5,6,0.439,18,0.333,6,52.1,25,0.573,27.3,19,23,0.522,12,0.818,9,46.64,47.589999999999996,50.02561601381903,8.2,9.6,9.357567443987199,15.939999999999998,16.9,14.871264543006658,3.8,4.2,3.7074632931971765,79.38,73.75,79.38942234415487,74.9,78.55,74.01887923588886,20.4,25.2,21.175837016714937,0.4264,0.44349999999999995,0.4327478534776204,47.4,51.4,49.19118020626938,0.3712,0.39449999999999996,0.38054676624498307,17.6,20.3,18.755525072397504,0.24580000000000002,0.2287,0.2718477366255144,11.8,11.8,13.440735660214399,0.7654,0.713,0.7262578875171468,8.8,8.3,9.735355382817662,0.6,0.3,0.7037037037037037,200.0,200.0,200.0,84.44,88.88,88.79628105471728,22.0,25.490000000000002,24.323050348016057,6.0,7.7,7.0768683635624665,12.6,11.5,12.037799115988419,49.2,53.8,52.33633084387543,9.6,9.709999999999999,9.25929990347,5.6,5.9,5.496316618401668,0.38980000000000004,0.3802,0.37257928161357523,18.2,19.2,18.0341411370218,0.2958,0.2647,0.29068510897729005,5.2,4.9,5.089925316262766,49.660000000000004,53.56,49.71980389168319,26.4,32.9,28.252705380277405,0.46340000000000003,0.4728,0.47011822384799073,18.98,17.04,17.5159833358736,12.2,11.4,11.56276990296195,29.2,32.2,31.15703906924758,0.4412,0.491,0.4511219834374842,12.4,15.4,13.665599756134739,0.9328,0.9663999999999999,0.9234814814814816,7.4,5.2,7.348320886043795
2019-12-29,"John Paul Jones Arena, Charlottesville, Virginia",Navy,Virginia,Home,72.0,18,24.1,7,100.0,76.9,20,0.617,47,0.532,25,0.213,10,0.7,7,2,200,116.1,22.7,5,14,65,7.1,4,0.404,19,0.421,8,52.1,25,0.628,13.5,8,28,0.607,17,0.833,10,54.42,49.82727272727273,57.41707734254602,9.6,9.909090909090908,10.571711629324799,14.1,16.5,14.080843028671106,3.6,4.181818181818182,3.804975528798118,86.08,77.14545454545454,89.95961489610325,72.5,78.22727272727273,74.34591949059258,20.0,24.545454545454547,20.117224677809958,0.4452,0.44972727272727275,0.45916523565174694,45.8,50.45454545454545,46.46078680417959,0.3856,0.3985454545454546,0.4000311774966554,17.6,20.09090909090909,18.503683381598336,0.3246,0.2567272727272727,0.3602318244170096,14.8,12.727272727272727,16.293823773476266,0.72,0.7184545454545455,0.7418385916780978,10.8,9.090909090909092,12.15690358854511,1.0,0.45454545454545453,1.1358024691358026,200.0,200.0,200.0,86.61999999999999,89.31818181818181,90.4308540364782,22.240000000000002,25.827272727272728,25.948700232010708,6.0,7.636363636363637,7.051245575708311,13.2,11.909090909090908,13.358532743992281,51.4,54.27272727272727,54.55755389591695,10.120000000000001,9.69090909090909,9.33953326898,6.0,5.909090909090909,5.6642110789344455,0.4122,0.3855454545454545,0.39471952107571684,18.6,19.09090909090909,18.022760758014535,0.29979999999999996,0.27090909090909093,0.30479007265152674,5.4,5.0,5.393283544175178,48.82,53.42727272727273,50.513202594455464,26.0,32.18181818181818,27.168470253518272,0.4862,0.4819090909090909,0.5044121492319938,20.44,17.972727272727273,20.777322223915732,13.4,12.090909090909092,14.041846601974633,27.2,31.363636363636363,28.438026046165056,0.4668,0.4938181818181819,0.4747479889583228,12.2,15.090909090909092,13.110399837423161,0.8964000000000001,0.9529090909090908,0.8883209876543211,8.0,5.545454545454546,7.898880590695864
2020-01-04,"John Paul Jones Arena, Charlottesville, Virginia",Virginia Tech,Virginia,Home,56.0,14,8.7,2,63.9,90.9,30,0.528,54,0.463,25,0.185,10,0.8,8,2,200,106.6,24.0,6,11,65,9.8,6,0.389,21,0.333,7,62.1,36,0.553,13.4,9,33,0.545,18,0.846,11,60.58,51.675000000000004,62.27805156169735,11.8,10.583333333333334,13.0478077528832,15.4,17.133333333333333,17.420562019114072,4.4,4.416666666666667,4.869983685865412,96.79999999999998,79.05,93.3064099307355,73.22,78.11666666666666,75.19727966039505,19.6,24.166666666666668,20.07814978520664,0.47759999999999997,0.46366666666666667,0.5117768237678313,46.4,50.166666666666664,46.64052453611973,0.41479999999999995,0.4096666666666667,0.4440207849977703,19.2,20.5,20.669122254398893,0.33540000000000003,0.2530833333333333,0.31115454961133976,15.4,12.5,14.195882515650844,0.6886,0.7169166666666666,0.7278923944520652,11.0,8.916666666666666,10.43793572569674,1.4,0.5833333333333334,1.4238683127572018,200.0,200.0,200.0,93.42,91.55,98.9872360243188,24.56,25.566666666666666,24.865800154673806,6.6,7.416666666666667,6.367497050472208,14.0,12.083333333333334,13.572355162661522,55.2,55.166666666666664,58.03836926394464,8.32,9.475,8.59302217932,5.0,5.75,5.109474052622964,0.4112,0.3870833333333333,0.3978130140504779,18.8,19.083333333333332,18.34850717200969,0.3174,0.28341666666666665,0.34352671510101784,5.8,5.25,6.262189029450119,49.239999999999995,53.31666666666666,51.04213506297032,26.2,31.583333333333332,26.44564683567885,0.5146,0.4940833333333334,0.5456080994879959,19.36,17.599999999999998,18.351548149277157,12.8,11.75,12.027897734649756,27.6,31.083333333333332,28.292017364110038,0.5036,0.50325,0.5188319926388819,13.4,15.25,14.406933224948775,0.8629999999999999,0.9429166666666666,0.8698806584362141,8.6,5.916666666666667,8.599253727130577
2020-01-07,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",Virginia,Boston College,Home,58.8,10,10.0,3,93.8,84.6,22,0.356,52,0.327,17,0.385,20,0.8,16,3,200,82.8,27.6,8,18,53,10.9,7,0.308,16,0.188,3,54.5,30,0.431,14.1,10,36,0.389,14,0.786,11,61.779999999999994,52.00769230769231,60.185367707798235,13.0,10.846153846153847,13.365205168588801,14.280000000000001,16.484615384615385,14.513708012742715,4.0,4.230769230769231,3.9133224572436083,85.36,77.88461538461539,83.504273287157,77.4,79.1,80.4315197735967,21.4,24.615384615384617,23.38543319013776,0.49939999999999996,0.46861538461538466,0.5171845491785543,48.6,50.46153846153846,49.09368302407982,0.433,0.4137692307692307,0.4503471899985136,21.0,20.846153846153847,22.112748169599264,0.3352,0.24784615384615385,0.2691030330742265,15.8,12.307692307692308,12.797255010433897,0.7485999999999999,0.7233076923076923,0.7519282629680435,11.8,8.846153846153847,9.625290483797826,1.6,0.6923076923076923,1.6159122085048012,200.0,200.0,200.0,100.7,92.70769230769231,101.52482401621255,26.160000000000004,25.446153846153848,24.577200103115874,7.0,7.3076923076923075,6.244998033648139,13.4,12.0,12.714903441774348,60.2,55.92307692307692,60.35891284262976,9.22,9.5,8.995348119546668,5.6,5.769230769230769,5.406316035081977,0.3774,0.3872307692307692,0.39487534270031865,18.2,19.23076923076923,19.232338114673126,0.35059999999999997,0.28723076923076923,0.34001781006734527,6.4,5.384615384615385,6.508126019633413,52.56,53.99230769230769,54.72809004198021,28.4,31.923076923076923,29.6304312237859,0.5398,0.4986153846153846,0.5480720663253307,17.160000000000004,17.276923076923076,16.701032099518105,11.6,11.538461538461538,11.018598489766505,30.4,31.23076923076923,29.861344909406693,0.4862,0.5064615384615384,0.5275546617592547,14.6,15.461538461538462,15.60462214996585,0.8572,0.9354615384615385,0.8619204389574762,9.4,6.3076923076923075,9.399502484753718
2020-01-11,"John Paul Jones Arena, Charlottesville, Virginia",Syracuse,Virginia,Away,71.4,15,9.7,3,88.7,73.2,30,0.366,67,0.313,21,0.164,11,0.545,6,4,225,77.5,33.3,14,18,55,8.5,6,0.463,31,0.226,7,53.0,44,0.381,17.3,15,36,0.389,14,0.733,11,62.279999999999994,52.49285714285714,59.723578471865494,13.2,10.785714285714286,12.243470112392536,14.4,16.021428571428572,13.009138675161811,4.0,4.142857142857143,3.608881638162406,89.2,79.02142857142857,86.93618219143801,79.32000000000001,79.49285714285715,81.8210131823978,21.6,24.428571428571427,22.92362212675851,0.49300000000000005,0.4605714285714286,0.4634563661190362,49.2,50.57142857142857,50.06245534938655,0.433,0.40757142857142853,0.40923145999900906,21.2,20.571428571428573,20.408498779732845,0.31020000000000003,0.2576428571428572,0.3077353553828177,14.8,12.857142857142858,15.198170006955932,0.7646,0.7287857142857143,0.7679521753120291,11.4,9.357142857142858,11.750193655865218,2.0,0.8571428571428571,2.0772748056698678,200.0,200.0,200.0,99.47999999999999,92.0,95.28321601080837,26.22,25.599999999999998,25.584800068743917,6.8,7.357142857142857,6.82999868909876,13.4,12.428571428571429,14.476602294516233,59.6,55.714285714285715,57.905941895086514,8.86,9.6,9.630232079697779,5.4,5.857142857142857,5.937544023387985,0.36960000000000004,0.38157142857142856,0.36591689513354575,18.0,19.0,18.154892076448753,0.3176,0.28014285714285714,0.28934520671156355,5.8,5.214285714285714,5.338750679755609,53.620000000000005,54.028571428571425,54.652060027986806,28.4,31.785714285714285,29.75362081585727,0.534,0.49378571428571433,0.5090480442168872,16.64,17.05,15.834021399678738,11.2,11.428571428571429,10.679065659844337,31.2,31.571428571428573,31.907563272937796,0.5014,0.49807142857142855,0.4813697745061698,15.4,15.357142857142858,15.069748099977234,0.8366,0.9247857142857142,0.8366136259716509,10.0,6.642857142857143,9.93300165650248
