date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-22,"Gallagher-Iba Arena, Stillwater, Oklahoma",Western Michigan,Oklahoma State,Home,56.5,13,0.0,0,102.9,62.8,27,0.482,57,0.404,23,0.263,15,0.533,8,2,200,92.6,17.6,6,19,63,7.4,5,0.509,29,0.31,9,42.9,33,0.491,12.4,9,28,0.5,14,0.667,4,43.82,43.82,43.24197530864198,11.6,11.6,11.567901234567902,6.2,6.2,5.428395061728396,2.8,2.8,2.3333333333333335,97.3,97.3,93.09506172839508,73.5,73.5,75.4172839506173,27.8,27.8,28.45679012345679,0.5072,0.5072,0.514604938271605,61.2,61.2,61.296296296296305,0.43620000000000003,0.43620000000000003,0.44082716049382725,26.8,26.8,27.185185185185187,0.5469999999999999,0.5469999999999999,0.4909382716049383,33.8,33.8,30.234567901234577,0.762,0.762,0.7615185185185187,25.8,25.8,23.01234567901235,0.4,0.4,0.5555555555555556,215.0,215.0,207.40740740740745,108.46,108.46,110.03333333333335,25.9,25.9,26.550617283950622,8.4,8.4,8.395061728395063,18.4,18.4,15.913580246913584,88.2,88.2,86.54320987654322,7.06,7.06,7.488888888888891,5.6,5.6,5.777777777777779,0.41859999999999997,0.41859999999999997,0.4359135802469137,25.6,25.6,26.679012345679016,0.36879999999999996,0.36879999999999996,0.3641975308641976,8.8,8.8,9.160493827160495,51.220000000000006,51.220000000000006,52.851851851851855,36.2,36.2,36.85185185185186,0.5644,0.5644,0.5656913580246914,13.919999999999998,13.919999999999998,13.31851851851852,12.8,12.8,11.765432098765434,35.6,35.6,34.61728395061729,0.5014000000000001,0.5014000000000001,0.5153209876543211,18.0,18.0,18.024691358024693,0.9099999999999999,0.9099999999999999,0.877777777777778,2.6,2.6,2.8395061728395063
2019-11-25,"HP Field House, Orlando, Florida",Yale,Western Michigan,Away,31.3,5,7.4,2,114.1,63.6,21,0.333,54,0.296,16,0.333,18,0.833,15,3,200,79.7,13.5,5,17,51,7.8,5,0.407,22,0.182,4,37.1,26,0.408,11.4,8,32,0.375,12,0.571,4,45.6,45.93333333333334,47.66131687242799,12.2,11.833333333333334,12.045267489711936,5.08,5.166666666666667,3.6189300411522645,2.4,2.3333333333333335,1.5555555555555558,99.04,98.23333333333333,96.36337448559672,70.44,71.71666666666667,71.21152263374486,28.2,27.666666666666668,27.971193415637863,0.5122000000000001,0.503,0.5037366255144033,61.0,60.5,59.86419753086421,0.4446,0.43083333333333335,0.4285514403292182,27.2,26.166666666666668,25.790123456790127,0.5029999999999999,0.4996666666666667,0.41495884773662556,31.2,30.666666666666668,25.156378600823054,0.7114,0.7238333333333333,0.6853456790123459,23.0,22.833333333333332,18.0082304526749,0.8,0.6666666666666666,1.037037037037037,215.0,212.5,204.9382716049383,105.24000000000001,105.81666666666666,104.22222222222223,24.419999999999998,24.516666666666666,23.567078189300418,7.8,8.0,7.596707818930043,18.8,18.5,16.942386831275723,85.8,84.0,78.69547325102882,5.9399999999999995,7.116666666666667,7.4592592592592615,4.8,5.5,5.518518518518519,0.41,0.4336666666666667,0.46027572016460916,25.0,26.166666666666668,27.452674897119344,0.362,0.359,0.3461316872427984,8.4,8.833333333333334,9.106995884773664,49.8,49.833333333333336,49.534567901234574,36.0,35.666666666666664,35.56790123456791,0.5574000000000001,0.5521666666666667,0.5407942386831276,14.819999999999999,13.666666666666666,13.012345679012347,13.4,12.166666666666666,10.843621399176957,36.0,34.333333333333336,32.411522633744866,0.5244,0.5011666666666666,0.5102139917695474,18.8,17.333333333333332,16.683127572016463,0.8434000000000001,0.8695,0.8075185185185187,3.2,2.8333333333333335,3.226337448559671
2019-11-26,"HP Field House, Orlando, Florida",Western Michigan,Seattle,Home,47.6,10,11.4,4,93.7,73.2,30,0.42,56,0.375,21,0.179,10,0.8,8,4,200,87.3,25.8,8,19,55,7.9,5,0.393,22,0.227,5,52.8,38,0.453,15.4,11,34,0.471,16,0.5,4,43.86,43.84285714285714,42.20754458161866,10.8,10.857142857142858,9.69684499314129,4.7,5.485714285714286,4.87928669410151,1.8,2.2857142857142856,1.7037037037037042,101.86,100.5,102.27558299039782,70.46000000000001,70.55714285714285,68.67434842249658,25.8,26.714285714285715,25.64746227709191,0.4744,0.4787142857142857,0.44682441700960224,58.4,59.57142857142857,57.90946502057614,0.4142,0.4115714285714286,0.38436762688614545,24.4,24.714285714285715,22.52674897119342,0.3994,0.47585714285714287,0.38763923182441706,23.4,28.857142857142858,22.77091906721537,0.7202,0.7394285714285714,0.7345637860082306,17.0,21.714285714285715,17.005486968449937,1.4,1.0,1.691358024691358,200.0,210.71428571428572,203.29218106995887,100.28,102.08571428571429,96.04814814814816,23.24,22.942857142857143,20.211385459533613,7.4,7.571428571428571,6.731138545953362,15.6,18.285714285714285,16.961591220850483,73.0,79.28571428571429,69.46364883401921,6.4,7.214285714285714,7.5728395061728415,4.6,5.428571428571429,5.34567901234568,0.4168,0.4298571428571428,0.44251714677640613,24.4,25.571428571428573,25.635116598079563,0.3184,0.3337142857142857,0.2914211248285323,7.2,8.142857142857142,7.404663923182443,48.12,48.01428571428572,45.38971193415639,33.2,34.285714285714285,32.378600823045275,0.5168,0.5315714285714286,0.49652949245541844,13.24,13.342857142857143,12.474897119341566,10.6,11.571428571428571,9.895747599451305,34.0,34.0,32.27434842249658,0.5042,0.48314285714285715,0.4651426611796983,17.2,16.571428571428573,15.122085048010977,0.7576,0.8268571428571428,0.7286790123456792,3.6,3.0,3.4842249657064475
2019-12-03,"University Arena, Kalamazoo, Michigan",Oakland,Western Michigan,Away,55.0,11,3.0,1,114.3,79.2,19,0.393,61,0.328,20,0.344,21,0.667,14,5,200,98.4,31.0,13,21,62,12.7,8,0.574,35,0.229,8,48.5,32,0.437,6.6,5,26,0.462,12,0.444,4,43.72,44.3125,44.00502972107911,10.0,10.75,9.797896662094194,5.64,6.225,7.0528577960676735,2.0,2.5,2.469135802469136,98.4,99.65,99.41705532693189,69.94000000000001,70.8875,70.18289894833106,26.8,27.125,27.098308184727944,0.4462,0.471375,0.4378829446730682,58.2,59.125,57.2729766803841,0.3874,0.40700000000000003,0.38124508459076367,22.8,24.25,22.01783264746228,0.3018,0.43875,0.3180928212162781,17.8,26.5,18.513946044810247,0.738,0.747,0.7563758573388204,13.2,20.0,14.003657978966626,2.2,1.375,2.460905349794239,200.0,209.375,202.19478737997258,92.8,100.2375,93.1320987654321,21.940000000000005,23.3,22.074256973022408,7.0,7.625,7.154092363968909,16.6,18.375,17.641060813900324,65.8,76.25,64.6424325560128,7.44,7.3,7.681893004115228,5.2,5.375,5.23045267489712,0.4532,0.42525,0.4260114311842708,26.4,25.125,24.423411065386375,0.2638,0.320375,0.2699474165523549,7.0,7.75,6.603109282121629,47.739999999999995,48.6125,47.85980795610426,33.8,34.75,34.252400548696855,0.4862,0.52175,0.48201966163694565,14.36,13.6,13.449931412894378,11.2,11.5,10.263831732967537,31.8,34.0,32.84956561499772,0.4962,0.48162499999999997,0.4670951074531322,15.8,16.5,15.414723365340652,0.6576000000000001,0.786,0.6524526748971196,3.8,3.125,3.6561499771376322
2019-12-07,"University Arena, Kalamazoo, Michigan",Youngstown State,Western Michigan,Home,39.1,9,6.7,2,104.9,73.3,22,0.491,54,0.426,23,0.37,20,0.65,13,5,200,108.2,27.3,9,15,66,3.3,2,0.352,19,0.368,7,49.2,31,0.52,10.0,7,35,0.457,16,0.5,5,45.72,45.5,47.67001981405274,10.4,10.777777777777779,10.198597774729464,4.9399999999999995,5.866666666666666,5.70190519737845,1.6,2.3333333333333335,1.9794238683127574,99.17999999999999,101.27777777777777,104.37803688462127,72.2,71.8111111111111,73.18859929888737,26.8,26.22222222222222,24.398872123151964,0.4486,0.4626666666666666,0.42292196311537883,58.6,59.333333333333336,58.515317786922736,0.38520000000000004,0.39822222222222226,0.3634967230605092,22.8,23.77777777777778,21.345221764974855,0.313,0.4282222222222222,0.3267285474775187,18.6,25.88888888888889,19.342630696540166,0.7184,0.738111111111111,0.7265839048925471,13.4,19.333333333333332,14.002438652644418,3.0,1.7777777777777777,3.307270233196159,200.0,208.33333333333334,201.4631915866484,97.42,100.03333333333333,94.8880658436214,23.3,24.155555555555555,25.049504648681605,8.0,8.222222222222221,9.10272824264594,17.0,18.666666666666668,18.760707209266883,66.6,74.66666666666667,63.76162170400854,8.68,7.8999999999999995,9.35459533607682,5.8,5.666666666666667,6.15363511659808,0.4596,0.44177777777777777,0.4753409541228472,27.0,26.22222222222222,27.948940710257588,0.27840000000000004,0.3102222222222222,0.25629827770156993,7.6,7.777777777777778,7.06873952141442,48.58,48.599999999999994,48.07320530406951,34.8,34.44444444444444,33.501600365797906,0.48719999999999997,0.5123333333333333,0.4670131077579638,11.239999999999998,12.822222222222223,11.166620941929585,8.4,10.777777777777779,8.509221155311693,31.6,33.111111111111114,30.566377076665148,0.4774,0.4794444444444445,0.46539673830208816,15.2,16.0,14.276482243560435,0.5964,0.748,0.5829684499314131,4.0,3.2222222222222223,3.770766651425088
2019-12-14,"Draddy Gymnasium, Riverdale, New York",Western Michigan,Manhattan,Away,57.9,11,0.0,0,84.1,70.6,24,0.422,51,0.373,19,0.608,31,0.516,16,5,200,85.5,17.6,6,20,59,14.5,10,0.294,15,0.333,5,44.1,30,0.449,14.5,11,36,0.389,14,0.545,6,45.9,44.86,44.81334654270183,9.6,10.6,9.799065183152976,5.7,5.95,6.034603464918967,1.8,2.3,1.986282578875172,105.97999999999999,101.64,104.55202458974752,70.42,71.96000000000001,73.22573286592491,23.8,25.8,23.59924808210131,0.42380000000000007,0.4655,0.44561464207691925,56.4,58.8,57.0102118579485,0.3658,0.40099999999999997,0.38433114870700613,20.6,23.7,21.896814509983237,0.29779999999999995,0.4224,0.3411523649850125,16.8,25.3,19.561753797693445,0.6966,0.7293000000000001,0.7010559365950315,11.6,18.7,13.66829243509628,3.8,2.1,3.8715134887974396,200.0,207.5,200.9754610577656,93.24,100.85,99.32537722908094,23.04,24.47,25.79966976578774,8.2,8.3,9.068485495097294,18.2,18.3,17.507138139511255,59.4,73.8,64.50774780267236,7.82,7.44,7.33639689071788,5.0,5.3,4.769090077732054,0.44699999999999995,0.4328,0.4342273027485648,25.4,25.5,24.96596047350506,0.2632,0.316,0.29353218513437995,6.6,7.7,7.045826347609614,46.1,48.660000000000004,48.44880353604634,32.0,34.1,32.667733577198604,0.46180000000000004,0.5131,0.4846754051719759,11.16,12.540000000000001,10.777747294619724,8.0,10.4,8.006147436874462,31.0,33.3,32.044251384443434,0.45299999999999996,0.4772,0.46259782553472545,14.0,16.0,14.850988162373625,0.5364000000000001,0.7232000000000001,0.5553122999542754,4.2,3.4,4.180511100950059
2019-12-18,"University Arena, Kalamazoo, Michigan","Aquinas
			",Western Michigan,Home,46.9,15,7.1,3,83.6,81.3,26,0.657,54,0.593,32,0.37,20,0.65,13,5,200,115.1,32.0,8,15,84,9.6,7,0.333,18,0.389,7,59.6,34,0.661,19.3,15,36,0.694,25,0.583,7,46.18,46.04545454545455,49.17556436180122,9.2,10.636363636363637,10.199376788768651,5.7,5.409090909090909,4.023068976612645,1.8,2.090909090909091,1.3241883859167813,102.22,100.04545454545455,97.73468305983168,71.97999999999999,71.83636363636364,72.35048857728327,23.2,25.636363636363637,23.73283205473421,0.41179999999999994,0.46154545454545454,0.4377430947179462,55.2,58.09090909090909,55.006807905299006,0.3596,0.39845454545454545,0.3805540991380041,19.8,23.272727272727273,20.931209673322158,0.3668,0.43927272727272726,0.43010157665667503,20.0,25.818181818181817,23.374502531795628,0.6932,0.7099090909090909,0.6393706243966877,13.2,18.454545454545453,14.445528290064189,4.4,2.3636363636363638,4.247675659198293,200.0,206.8181818181818,200.65030737184375,91.82000000000001,99.45454545454545,94.71691815272064,23.04,23.845454545454547,23.066446510525164,8.2,8.090909090909092,8.04565699673153,18.4,18.454545454545453,18.338092093007504,58.6,72.45454545454545,62.67183186844824,9.24,8.081818181818182,9.72426459381192,6.0,5.7272727272727275,6.512726718488036,0.404,0.42018181818181816,0.38748486849904323,22.6,24.545454545454547,21.643973649003375,0.2678,0.3175454545454545,0.30668812342292,5.8,7.454545454545454,6.363884231739743,46.339999999999996,48.24545454545455,46.999202357364226,31.4,33.72727272727273,31.778489051465737,0.45339999999999997,0.5072727272727273,0.472783603447984,11.579999999999998,12.718181818181819,12.01849819641315,8.4,10.454545454545455,9.004098291249642,32.6,33.54545454545455,33.36283425629563,0.43079999999999996,0.46918181818181814,0.4380652170231503,14.0,15.818181818181818,14.567325441582417,0.512,0.707,0.5518748666361837,4.6,3.6363636363636362,4.787007400633373
2019-12-29,"Breslin Events Center, East Lansing, Michigan",Western Michigan,Michigan State,Home,73.1,19,0.0,0,137.7,50.0,16,0.476,62,0.419,26,0.097,6,0.5,3,6,200,89.9,19.4,7,19,62,5.8,4,0.419,26,0.269,7,33.8,23,0.478,14.5,11,36,0.528,19,0.538,7,49.3,46.11666666666667,48.41704290786748,11.2,11.0,11.799584525845768,5.640000000000001,5.55,5.048712651075096,2.0,2.1666666666666665,1.8827922572778544,96.12,98.675,93.0231220398878,75.52000000000001,72.625,75.33365905152219,24.2,25.666666666666668,24.48855470315614,0.4766,0.47783333333333333,0.5108287298119641,55.2,57.75,54.671205270199344,0.41899999999999993,0.4146666666666667,0.4513693994253361,23.0,24.0,24.62080644888144,0.3742,0.4335,0.4100677177711167,20.4,25.333333333333332,22.24966835453042,0.6566,0.7049166666666666,0.6429137495977919,12.8,18.0,13.963685526709462,4.8,2.5833333333333335,4.498450439465529,200.0,206.25,200.43353824789585,98.9,100.75833333333333,101.51127876848042,26.74,24.525000000000002,26.044297673683445,8.8,8.083333333333334,8.030437997821021,18.0,18.166666666666668,17.22539472867167,65.2,73.41666666666667,69.78122124563217,9.6,8.208333333333334,9.68284306254128,6.4,5.833333333333333,6.675151145658691,0.38919999999999993,0.41291666666666665,0.36932324566602887,21.8,24.0,20.42931576600225,0.30920000000000003,0.3235,0.33412541561528,6.4,7.416666666666667,6.575922821159828,50.84,49.19166666666666,51.19946823824282,33.0,33.75,32.51899270097716,0.504,0.5200833333333333,0.535522402298656,13.16,13.266666666666666,14.445665464275434,9.8,10.833333333333334,11.002732194166429,33.4,33.75,34.24188950419709,0.4946,0.4879166666666667,0.5233768113487669,16.6,16.583333333333332,18.04488362772161,0.5144,0.6966666666666667,0.5622499110907891,5.2,3.9166666666666665,5.5246716004222485
2020-01-04,"University Arena, Kalamazoo, Michigan",Ohio,Western Michigan,Home,43.5,10,5.3,2,90.3,71.4,30,0.491,54,0.426,23,0.519,28,0.857,24,6,200,106.9,17.6,6,20,77,2.8,2,0.37,20,0.35,7,47.4,36,0.572,13.1,10,34,0.471,16,0.571,8,54.4,48.19230769230769,56.64469527191166,13.0,11.615384615384615,14.199723017230513,3.3600000000000003,5.123076923076923,3.3658084340500647,1.2,2.0,1.2551948381852365,104.91999999999999,101.67692307692307,107.91541469325853,70.88,70.88461538461539,66.88910603434813,21.4,24.923076923076923,21.65903646877076,0.4878,0.4776923076923077,0.49921915320797616,56.4,58.07692307692308,57.11413684679957,0.42779999999999996,0.415,0.44057959961689075,24.0,24.153846153846153,25.080537632587628,0.3578,0.40761538461538466,0.3057118118474112,19.6,23.846153846153847,16.833112236353614,0.5966,0.6891538461538461,0.5952758330651946,11.8,16.846153846153847,10.309123684472976,5.2,2.8461538461538463,4.9989669596436865,200.0,205.76923076923077,200.28902549859725,99.42,99.92307692307692,97.6408525123203,25.459999999999997,24.13076923076923,23.829531782455632,8.6,8.0,7.686958665214014,18.0,18.23076923076923,17.81692981911445,66.6,72.53846153846153,67.18748083042145,9.18,8.023076923076923,8.388562041694188,6.2,5.6923076923076925,5.783434097105794,0.3944,0.41338461538461535,0.3858821637773526,22.6,24.153846153846153,22.28621051066817,0.3176,0.3193076923076923,0.31241694374352,6.8,7.384615384615385,6.7172818807732195,47.04,48.00769230769231,45.39964549216189,30.0,32.92307692307692,29.345995133984772,0.509,0.5168461538461538,0.5163482681991041,12.98,13.36153846153846,14.463776976183624,9.8,10.846153846153847,11.00182146277762,33.8,33.92307692307692,34.8279263361314,0.506,0.491,0.5249178742325114,17.2,16.76923076923077,18.363255751814407,0.522,0.6844615384615385,0.5541666073938595,5.8,4.153846153846154,6.016447733614832
2020-01-07,"James A. Rhodes Arena, Akron, Ohio",Western Michigan,Akron,Home,37.5,9,9.4,3,116.7,72.4,21,0.598,46,0.522,24,0.413,19,0.737,14,7,200,95.8,11.5,3,21,69,5.6,4,0.326,15,0.467,7,43.6,24,0.627,26.9,20,31,0.548,17,0.533,8,52.1,47.857142857142854,52.26313018127444,12.8,11.5,12.799815344820342,3.8200000000000003,5.135714285714286,4.010538956033377,1.4,2.0,1.5034632254568243,100.12,100.86428571428571,102.04360979550569,69.32,70.92142857142856,68.39273735623209,23.6,25.285714285714285,24.439357645847174,0.5074000000000001,0.4786428571428572,0.49647943547198414,55.0,57.785714285714285,56.07609123119972,0.4474,0.41578571428571426,0.4357197330779272,24.6,24.071428571428573,24.387025088391752,0.3928,0.41557142857142854,0.3768078745649408,21.0,24.142857142857142,20.555408157569076,0.6346,0.7011428571428572,0.682517222043463,13.8,17.357142857142858,14.872749122981984,5.4,3.0714285714285716,5.332644639762458,200.0,205.35714285714286,200.19268366573152,101.12,100.42142857142858,100.72723500821354,22.779999999999998,23.664285714285715,21.753021188303755,7.2,7.857142857142857,7.1246391101426765,17.8,18.357142857142858,18.544619879409634,69.6,72.85714285714286,70.4583205536143,7.2,7.6499999999999995,6.525708027796126,5.0,5.428571428571429,4.52228939807053,0.3536,0.41028571428571425,0.3805881091849018,19.6,23.857142857142858,21.52414034044545,0.3418,0.3215,0.3249446291623467,6.6,7.357142857142857,6.811521253848813,46.82,47.964285714285715,46.06643032810793,30.8,33.142857142857146,31.56399675598985,0.5359999999999999,0.5207857142857143,0.5348988454660695,14.279999999999998,13.342857142857143,14.009184650789084,10.8,10.785714285714286,10.667880975185081,35.4,33.92857142857143,34.55195089075427,0.5078,0.4895714285714286,0.5069452494883409,18.0,16.714285714285715,17.57550383454294,0.5474,0.6763571428571428,0.559777738262573,6.6,4.428571428571429,6.677631822409889
