date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-23,"Bryce Jordan Center, University Park, Pennsylvania",Yale,Penn State,Home,45.5,10,9.5,4,86.6,68.9,31,0.52,51,0.431,22,0.216,11,0.273,3,3,200,83.6,9.4,3,15,56,3.0,2,0.451,23,0.391,9,44.2,34,0.498,21.2,15,28,0.464,13,0.5,3,62.1,62.1,63.653086419753095,17.4,17.4,18.370370370370374,14.0,14.0,13.929629629629632,6.0,6.0,6.691358024691359,85.14,85.14,89.02345679012348,75.6,75.6,74.0962962962963,31.6,31.6,33.0,0.5218,0.5218,0.523567901234568,61.8,61.8,63.28395061728396,0.446,0.446,0.4451481481481482,27.4,27.4,28.18518518518519,0.42040000000000005,0.42040000000000005,0.37318518518518523,25.4,25.4,23.481481481481485,0.6534,0.6534,0.6500617283950618,16.6,16.6,15.283950617283955,1.0,1.0,1.2592592592592593,225.0,225.0,233.641975308642,101.14,101.14,98.78641975308642,25.419999999999998,25.419999999999998,21.9283950617284,8.6,8.6,7.8641975308642,17.8,17.8,18.92592592592593,80.8,80.8,81.60493827160494,8.26,8.26,6.960493827160495,6.4,6.4,5.51851851851852,0.4184,0.4184,0.43399999999999994,25.8,25.8,27.271604938271608,0.3716,0.3716,0.3688641975308642,9.4,9.4,9.950617283950619,52.36,52.36,50.3172839506173,40.2,40.2,40.8641975308642,0.5444,0.5444,0.5442839506172841,16.2,16.2,16.75061728395062,14.0,14.0,14.666666666666668,36.0,36.0,36.012345679012356,0.502,0.502,0.5076296296296297,18.0,18.0,18.23456790123457,0.7534,0.7534,0.7062222222222223,2.0,2.0,2.135802469135803
2019-11-25,"HP Field House, Orlando, Florida",Yale,Western Michigan,Away,58.3,14,9.4,3,79.7,86.5,32,0.575,53,0.453,24,0.358,19,0.632,12,3,200,114.1,36.4,12,12,73,1.6,1,0.491,26,0.5,13,62.9,44,0.588,17.5,13,27,0.407,11,0.571,4,59.339999999999996,59.333333333333336,57.60205761316873,16.2,16.166666666666668,15.58024691358025,12.78,13.25,12.453086419753088,5.4,5.666666666666667,5.794238683127573,85.64000000000001,85.38333333333333,88.21563786008232,75.16,74.48333333333333,72.3641975308642,31.4,31.5,32.333333333333336,0.5357999999999999,0.5215,0.5223786008230453,58.0,60.0,59.189300411522645,0.45499999999999996,0.4435,0.44043209876543216,26.4,26.5,26.123456790123463,0.40940000000000004,0.38633333333333336,0.3207901234567902,23.8,23.0,19.32098765432099,0.5922,0.59,0.524374485596708,15.0,14.333333333333334,11.189300411522638,1.6,1.3333333333333333,1.8395061728395063,220.0,220.83333333333334,222.42798353909467,99.82000000000001,98.21666666666665,93.72427983539094,22.3,22.75,17.7522633744856,7.0,7.666666666666667,6.242798353909467,17.2,17.333333333333332,17.61728395061729,77.2,76.66666666666667,73.06995884773663,6.9,7.383333333333333,5.640329218106998,5.2,5.666666666666667,4.3456790123456805,0.43439999999999995,0.42383333333333334,0.43966666666666665,25.2,25.333333333333332,25.847736625514408,0.3806,0.37483333333333335,0.3762427983539095,9.4,9.333333333333334,9.63374485596708,51.54,51.0,48.27818930041154,38.4,39.166666666666664,38.57613168724281,0.5504,0.5366666666666666,0.5288559670781894,17.78,17.033333333333335,18.233744855967082,14.6,14.166666666666666,14.77777777777778,32.8,34.666666666666664,33.34156378600824,0.5130000000000001,0.4956666666666667,0.4930864197530865,17.0,17.166666666666668,16.489711934156382,0.6534,0.7111666666666667,0.6374814814814815,2.4,2.1666666666666665,2.423868312757202
2019-11-26,"HP Field House, Orlando, Florida",Yale,Bucknell,Away,41.9,13,16.0,4,87.1,86.1,31,0.623,53,0.585,31,0.321,17,0.882,15,3,200,115.7,23.8,5,8,81,14.3,10,0.302,16,0.25,4,63.2,36,0.663,17.7,13,37,0.73,27,0.625,5,56.339999999999996,59.18571428571429,57.834705075445825,14.6,15.857142857142858,15.053497942386834,10.82,12.700000000000001,11.435390946502059,5.0,5.285714285714286,4.8628257887517155,91.44,84.57142857142857,85.37709190672156,74.88,76.2,77.0761316872428,32.0,31.571428571428573,32.22222222222223,0.5244,0.5291428571428571,0.5399190672153635,58.0,59.0,57.126200274348435,0.4324,0.44485714285714284,0.44462139917695476,25.2,26.142857142857142,25.41563786008231,0.3188,0.3822857142857143,0.33319341563786015,19.0,22.428571428571427,19.213991769547327,0.5930000000000001,0.596,0.5602496570644719,12.0,14.0,11.45953360768176,2.2,1.5714285714285714,2.226337448559671,220.0,217.85714285714286,214.95198902606313,96.88,100.48571428571428,100.5161865569273,19.580000000000002,24.7,23.9681755829904,6.8,8.285714285714286,8.16186556927298,17.2,16.571428571428573,15.744855967078193,73.0,76.14285714285714,73.04663923182443,4.2,6.557142857142857,4.293552812071332,3.2,5.0,3.230452674897121,0.47219999999999995,0.4334285714285714,0.45677777777777784,27.2,25.428571428571427,25.898491083676277,0.39299999999999996,0.39271428571428574,0.41749519890260633,10.6,9.857142857142858,10.755829903978054,49.88,52.699999999999996,53.15212620027437,38.8,39.857142857142854,40.384087791495205,0.5399999999999999,0.5439999999999999,0.5485706447187929,17.82,17.1,17.989163237311388,14.2,14.0,14.185185185185187,30.8,33.57142857142857,31.22770919067216,0.47000000000000003,0.48300000000000004,0.4643909465020577,14.6,16.285714285714285,14.659807956104256,0.5676,0.6911428571428572,0.6153209876543211,2.8,2.4285714285714284,2.9492455418381347
2019-12-01,"John J. Lee Ampitheater, New Haven, Connecticut",Vermont,Yale,Home,68.2,15,3.2,1,77.6,79.5,31,0.481,52,0.423,22,0.327,17,0.882,15,3,200,97.0,20.7,6,13,65,11.9,8,0.365,19,0.316,6,54.4,37,0.541,17.9,13,33,0.485,16,0.667,6,56.38000000000001,57.025,52.52313671696389,15.2,15.5,14.368998628257891,12.059999999999999,13.1125,12.95692729766804,5.0,5.125,4.575217192501144,87.6,84.8875,85.95139460448104,77.74,77.4375,80.08408779149521,32.6,31.5,31.81481481481482,0.5569999999999999,0.540875,0.5676127114769091,56.0,58.25,55.750800182898956,0.4732,0.462375,0.4914142661179699,26.6,26.75,27.27709190672154,0.2942,0.374625,0.32912894375857343,16.8,21.75,18.47599451303155,0.6194000000000001,0.63175,0.6674997713763147,10.8,14.125,12.63968907178784,2.6,1.75,2.4842249657064475,215.0,215.625,209.9679926840421,100.02000000000001,102.3875,105.5774577046182,21.78,24.5875,23.912117055326938,6.8,7.875,7.107910379515321,14.8,15.5,13.163237311385462,73.4,76.75,75.69775948788296,5.8,7.525,7.629035208047554,4.2,5.625,5.486968449931414,0.4468,0.417,0.4051851851851852,25.0,24.25,22.598994055784186,0.369,0.374875,0.3616634659350709,9.4,9.125,8.503886602652036,54.06,54.0125,56.50141746684959,39.4,39.375,38.92272519433014,0.569,0.558875,0.586713763145862,19.66,17.175,17.892775491540927,15.4,13.875,13.790123456790127,31.0,34.0,33.151806127114774,0.5382,0.513875,0.5529272976680385,17.2,17.625,18.773205304069506,0.5592,0.682875,0.6185473251028808,3.4,2.75,3.632830361225423
2019-12-04,"SEFCU Arena, Albany, New York",Yale,Albany (NY),Away,56.5,13,3.7,1,83.9,84.4,27,0.571,49,0.469,23,0.163,8,0.625,5,3,200,98.4,15.4,4,9,61,9.7,6,0.469,23,0.435,10,53.4,31,0.578,19.8,13,26,0.5,13,0.7,7,57.64000000000001,58.266666666666666,57.74875781130927,15.6,15.444444444444445,14.579332418838595,10.96,12.011111111111111,9.704618198445361,4.4,4.666666666666667,3.3834781283340964,85.34,84.07777777777778,83.16759640298736,78.64,77.66666666666667,79.88939186099681,32.8,31.444444444444443,31.543209876543216,0.5603999999999999,0.5342222222222222,0.5387418076512727,55.4,57.55555555555556,54.50053345526598,0.4814,0.45799999999999996,0.4686095107453133,26.8,26.22222222222222,25.518061271147694,0.3268,0.3693333333333333,0.328419295839049,18.4,21.22222222222222,17.983996342021037,0.6624,0.6595555555555556,0.7389998475842099,12.6,14.222222222222221,13.426459381191895,2.8,1.8888888888888888,2.656149977137632,215.0,213.88888888888889,206.64532845602807,103.58,101.78888888888889,102.71830513641214,20.619999999999997,24.155555555555555,22.84141137021796,6.2,7.666666666666667,6.738606919676881,14.2,15.222222222222221,13.108824874256975,75.0,75.44444444444444,72.13183965858865,6.8,8.011111111111111,9.05269013869837,4.8,5.888888888888889,6.324645633287609,0.40700000000000003,0.4112222222222222,0.39179012345679015,22.6,23.666666666666668,21.399329370522793,0.3742,0.36833333333333335,0.34644231062338066,8.8,8.777777777777779,7.669257735101358,54.4,54.05555555555556,55.80094497789973,39.0,39.111111111111114,38.2818167962201,0.581,0.556888888888889,0.5714758420972414,18.18,17.255555555555556,17.895183661027286,14.0,13.777777777777779,13.52674897119342,32.8,33.888888888888886,33.10120408474319,0.5352,0.5106666666666667,0.5302848651120257,18.0,17.444444444444443,17.84880353604634,0.5926,0.6811111111111111,0.634698216735254,4.2,3.111111111111111,4.421886907483616
2019-12-07,"Stabler Arena, Bethlehem, Pennsylvania",Yale,Lehigh,Away,75.0,21,9.5,4,91.5,80.8,21,0.573,55,0.509,28,0.4,22,0.682,15,3,200,109.9,25.0,8,13,78,9.9,7,0.418,23,0.304,7,50.0,29,0.596,14.5,11,32,0.656,21,0.727,8,54.08,58.089999999999996,57.33250520753951,13.0,15.2,14.05288827922573,8.360000000000001,11.18,7.703078798963575,2.6,4.3,2.588985418889398,82.97999999999999,84.06,83.41173093532491,81.08,78.34,81.39292790733121,30.4,31.0,30.028806584362147,0.554,0.5378999999999999,0.5494945384341818,51.6,56.7,52.66702230351066,0.47219999999999995,0.4591,0.4687396738302089,24.4,25.9,24.678707514098463,0.277,0.3487,0.27327953055936605,14.4,19.9,14.655997561347359,0.6588,0.6561,0.7009998983894733,10.0,13.3,10.617639587461264,3.0,2.0,2.770766651425088,200.0,212.5,204.4302189706854,101.76,101.45,101.27887009094144,21.139999999999997,23.28,20.36094091347864,6.0,7.3,5.825737946451254,11.4,14.6,11.739216582837985,67.2,74.0,68.4212264390591,8.1,8.18,9.268460092465581,5.4,5.9,6.21643042219174,0.41559999999999997,0.417,0.41752674897119346,21.4,23.6,21.932886247015198,0.37839999999999996,0.375,0.37596154041558716,8.4,8.9,8.446171823400906,55.61999999999999,53.989999999999995,55.00062998526649,36.4,38.3,35.8545445308134,0.5736,0.5589999999999999,0.5736505613981611,18.82,17.509999999999998,18.530122440684856,13.4,13.7,13.351165980795614,30.2,33.1,30.73413605649546,0.5172000000000001,0.5096,0.5201899100746838,16.0,17.0,16.23253569069756,0.6126,0.683,0.6564654778235026,5.0,3.5,5.28125793832241
2019-12-11,"Mullins Center, Amherst, Massachusetts",Yale,UMass,Away,76.5,26,7.7,3,103.9,83.3,25,0.617,64,0.531,34,0.094,6,0.667,4,3,225,107.8,21.4,6,11,83,7.8,6,0.422,27,0.407,11,53.4,31,0.621,18.4,15,37,0.622,23,0.75,9,59.98,59.627272727272725,63.22167013835968,15.2,15.727272727272727,16.368592186150487,8.36,11.027272727272727,8.302052532642383,2.6,4.2727272727272725,3.059323612592932,83.96,84.73636363636363,86.10782062354994,83.46000000000001,78.56363636363636,81.19528527155416,28.4,30.09090909090909,27.019204389574767,0.5646,0.5410909090909091,0.5573296922894546,52.4,56.54545454545455,53.44468153567378,0.4878,0.4636363636363636,0.4821597825534727,25.6,26.09090909090909,25.785805009398977,0.31379999999999997,0.3533636363636364,0.3155196870395774,16.6,20.09090909090909,17.103998374231573,0.7406,0.6584545454545455,0.6946665989263157,12.4,13.454545454545455,12.078426391640843,3.0,2.090909090909091,2.8471777676167256,200.0,211.36363636363637,202.95347931379027,107.02000000000001,102.21818181818183,104.15258006062763,24.259999999999998,23.436363636363637,21.907293942319093,7.0,7.363636363636363,6.550491964300837,11.0,14.454545454545455,12.15947772189199,71.6,74.36363636363636,71.61415095937274,9.48,8.336363636363636,9.478973394977054,6.4,6.0,6.47762028146116,0.409,0.4170909090909091,0.417684499314129,21.4,23.545454545454547,22.288590831343466,0.361,0.36854545454545456,0.35197436027705814,8.0,8.727272727272727,7.964114548933938,56.779999999999994,53.627272727272725,53.333753323511,35.4,37.45454545454545,33.5696963538756,0.5932,0.5623636363636364,0.5811003742654408,17.48,17.236363636363635,17.186748293789904,12.6,13.454545454545455,12.567443987197077,31.0,33.0,31.15609070433031,0.5556000000000001,0.5229090909090909,0.5654599400497893,17.6,17.363636363636363,17.821690460465042,0.658,0.687,0.6799769852156684,6.0,3.909090909090909,6.18750529221494
2019-12-22,"Littlejohn Coliseum, Clemson, South Carolina",Yale,Clemson,Away,50.0,10,3.7,1,71.4,84.4,27,0.479,47,0.426,20,0.277,13,0.692,9,3,200,85.7,26.1,6,16,54,12.7,8,0.426,20,0.25,5,60.0,33,0.508,26.5,19,27,0.556,15,0.769,10,63.620000000000005,61.03333333333333,67.6477800922398,17.6,16.583333333333332,19.57906145743366,8.02,10.75,8.101368355094923,2.6,4.166666666666667,3.039549075061955,88.8,86.33333333333333,92.03854708236663,82.82,78.95833333333333,81.89685684770278,27.0,29.666666666666668,26.346136259716513,0.573,0.5474166666666667,0.5772197948596365,54.6,57.166666666666664,56.96312102378252,0.5034,0.46925,0.49843985503564847,27.6,26.75,28.523870006265987,0.261,0.33175000000000004,0.2416797913597183,14.0,18.916666666666668,13.402665582821049,0.7476,0.6591666666666667,0.6854443992842105,10.8,12.666666666666666,9.38561759442723,3.0,2.1666666666666665,2.898118511744484,205.0,212.5,210.30231954252687,105.76000000000002,102.68333333333334,105.36838670708508,21.26,23.266666666666666,21.73819596154606,5.8,7.25,6.366994642867225,10.8,14.166666666666666,11.772985147927994,73.6,75.08333333333333,75.40943397291517,10.72,8.291666666666666,8.91931559665137,7.4,6.0,6.318413520974107,0.39519999999999994,0.4175,0.41912299954275267,21.6,23.833333333333332,23.85906055422898,0.3424,0.37175,0.37031624018470544,7.6,8.916666666666666,8.97607636595596,54.879999999999995,53.60833333333333,53.35583554900733,32.8,36.916666666666664,32.713130902583735,0.5998,0.56725,0.5944002495102939,17.66,17.333333333333332,17.59116552919327,13.0,13.583333333333334,13.37829599146472,33.0,33.333333333333336,33.104060469553545,0.5986,0.5311666666666667,0.5843066266998596,20.0,17.833333333333332,19.54779364031003,0.6938,0.69225,0.7033179901437789,7.0,4.333333333333333,7.125003528143294
2019-12-30,"Dean Smith Center, Chapel Hill, North Carolina",Yale,UNC,Home,60.0,12,13.5,7,95.9,68.8,33,0.444,54,0.37,20,0.407,22,0.864,19,4,200,91.8,3.2,1,17,67,6.8,5,0.5,27,0.296,8,43.0,34,0.52,13.6,10,27,0.444,12,0.714,10,65.24000000000001,60.184615384615384,61.76518672815987,17.0,16.076923076923077,16.386040971622442,5.5600000000000005,10.207692307692307,6.634245570063283,2.0,3.923076923076923,2.359699383374637,85.66,85.1846153846154,85.15903138824443,82.47999999999999,79.37692307692308,82.73123789846852,26.2,29.46153846153846,26.564090839811012,0.5442,0.5421538461538462,0.5444798632397577,53.4,56.38461538461539,53.64208068252168,0.4716,0.4659230769230769,0.47429323669043233,25.4,26.23076923076923,25.682580004177325,0.25220000000000004,0.32753846153846156,0.2534531942398122,13.2,18.46153846153846,13.2684437218807,0.7096,0.6616923076923077,0.687629599522807,9.6,12.384615384615385,9.257078396284822,3.0,2.230769230769231,2.932079007829656,205.0,211.53846153846155,206.86821302835125,99.75999999999999,101.37692307692308,98.81225780472339,21.72,23.484615384615385,23.192130641030708,6.0,7.153846153846154,6.244663095244817,12.4,14.307692307692308,13.181990098618662,68.2,73.46153846153847,68.27295598194345,10.4,8.63076923076923,10.179543731100914,7.0,6.153846153846154,6.878942347316071,0.42000000000000004,0.41815384615384615,0.42141533302850176,22.4,23.53846153846154,22.572707036152654,0.3424,0.3623846153846154,0.3302108267898036,7.8,8.615384615384615,7.650717577303974,54.239999999999995,54.099999999999994,55.57055703267156,32.2,36.61538461538461,32.808753935055826,0.5688,0.5626923076923076,0.5656001663401959,19.419999999999998,18.03846153846154,20.56077701946218,14.2,14.0,15.252197327643149,31.0,32.84615384615385,31.069373646369034,0.5638000000000001,0.533076923076923,0.5748710844665731,17.6,17.615384615384617,18.031862426873353,0.7226,0.6981538461538462,0.725211993429186,8.0,4.769230769230769,8.083335685428864
2020-01-12,"John J. Lee Ampitheater, New Haven, Connecticut","Johnson &amp; Wales (RI)
			",Yale,Home,70.0,28,11.8,4,77.3,82.2,37,0.645,69,0.58,40,0.377,26,0.731,19,4,200,144.0,57.1,16,16,108,4.0,3,0.348,24,0.375,9,72.6,53,0.664,11.1,10,45,0.689,31,0.733,11,63.6,60.17142857142857,61.17679115210658,16.4,15.785714285714286,14.924027314414962,7.62,10.442857142857141,8.922830380042189,3.2,4.142857142857143,3.906466255583091,89.32000000000001,85.95,88.73935425882962,80.34,78.62142857142858,78.08749193231236,26.6,29.714285714285715,28.709393893207345,0.5368,0.5351428571428571,0.5109865754931718,53.8,56.214285714285715,53.761387121681125,0.461,0.4590714285714285,0.4395288244602883,25.0,25.785714285714285,23.788386669451555,0.2682,0.33321428571428574,0.3046354628265415,14.2,18.714285714285715,16.1789624812538,0.7060000000000001,0.676142857142857,0.7464197330152047,10.4,12.857142857142858,12.504718930856548,3.2,2.357142857142857,3.2880526718864376,205.0,210.71428571428572,204.5788086855675,98.72,100.69285714285715,96.47483853648227,18.220000000000002,22.035714285714285,16.528087094020474,5.0,6.714285714285714,4.496442063496545,13.2,14.5,14.454660065745776,68.6,73.0,67.84863732129564,9.379999999999999,8.5,9.053029154067277,6.4,6.071428571428571,6.252628231544048,0.44699999999999995,0.424,0.44761022201900125,24.0,23.785714285714285,24.048471357435105,0.3384,0.3576428571428571,0.3188072178598691,8.2,8.571428571428571,7.767145051535984,51.96,53.30714285714286,51.38037135511438,31.6,36.42857142857143,33.205835956703886,0.5646,0.5596428571428571,0.550400110893464,18.56,17.72142857142857,18.24051801297479,13.6,13.714285714285714,13.501464885095434,29.8,32.42857142857143,29.712915764246024,0.5556000000000001,0.5267142857142857,0.5312473896443821,16.8,17.214285714285715,16.02124161791557,0.732,0.6992857142857142,0.721474662286124,8.8,5.142857142857143,8.72222379028591
