date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-23,"G.B. Hodge Center, Spartanburg, South Carolina",Youngstown State,USC Upstate,Away,44.4,8,15.2,5,82.4,86.7,26,0.41,50,0.36,18,0.64,32,0.781,25,3,200,89.2,19.4,6,14,66,8.1,6,0.34,17,0.294,5,52.5,32,0.506,16.9,13,33,0.394,13,0.5,3,36.82,36.82,37.2246913580247,10.4,10.4,10.481481481481485,7.4799999999999995,7.4799999999999995,8.498765432098766,2.8,2.8,3.0987654320987654,95.8,95.8,95.64320987654321,80.32000000000001,80.32000000000001,80.25925925925927,24.8,24.8,25.395061728395067,0.421,0.421,0.4197160493827161,68.4,68.4,68.39506172839508,0.3786,0.3786,0.3796296296296297,26.2,26.2,26.24691358024692,0.2472,0.2472,0.26038271604938273,17.0,17.0,17.888888888888893,0.6237999999999999,0.6237999999999999,0.6342592592592593,10.4,10.4,11.086419753086421,1.6,1.6,1.8395061728395063,200.0,200.0,200.0,93.4,93.4,93.65185185185186,35.96,35.96,36.217283950617286,14.6,14.6,14.469135802469138,16.6,16.6,16.82716049382716,68.6,68.6,69.08641975308643,10.02,10.02,10.317283950617286,7.4,7.4,7.641975308641976,0.3744,0.3744,0.35376543209876554,25.6,25.6,24.20987654320988,0.2244,0.2244,0.22487654320987657,5.8,5.8,5.506172839506173,54.779999999999994,54.779999999999994,55.353086419753105,39.4,39.4,39.8641975308642,0.4448,0.4448,0.4460864197530865,13.34,13.34,13.207407407407409,11.6,11.6,11.530864197530866,42.8,42.8,44.18518518518519,0.47059999999999996,0.47059999999999996,0.46625925925925926,20.4,20.4,20.740740740740744,0.5466,0.5466,0.5406913580246915,1.4,1.4,1.5555555555555558
2019-11-27,"Beeghly Center, Youngstown, Ohio","Westminster
			",Youngstown State,Home,52.8,19,9.8,4,87.0,62.1,18,0.565,69,0.522,36,0.319,22,0.682,15,3,200,120.8,35.5,11,16,93,15.6,12,0.304,21,0.286,6,48.3,29,0.585,10.3,9,48,0.625,30,0.571,4,34.480000000000004,38.083333333333336,39.616460905349804,7.4,10.0,9.654320987654323,9.3,8.766666666666667,10.732510288065845,3.2,3.1666666666666665,3.7325102880658436,99.5,93.56666666666666,91.22880658436215,81.0,81.38333333333334,82.40617283950618,24.0,25.0,25.59670781893005,0.3888,0.41916666666666663,0.4164773662551441,62.8,65.33333333333333,62.26337448559672,0.34540000000000004,0.3755,0.3730864197530865,21.6,24.833333333333332,23.49794238683128,0.3188,0.31266666666666665,0.38692181069958853,19.0,19.5,22.592592592592595,0.671,0.65,0.6831728395061729,13.0,12.833333333333334,15.724279835390947,2.2,1.8333333333333333,2.226337448559671,200.0,200.0,200.0,86.9,92.7,92.16790123456792,31.420000000000005,33.199999999999996,30.61152263374486,12.6,13.166666666666666,11.646090534979427,17.2,16.166666666666668,15.884773662551442,61.6,68.16666666666667,68.05761316872429,8.98,9.700000000000001,9.578189300411525,6.4,7.166666666666667,7.094650205761318,0.368,0.3686666666666667,0.3491769547325104,23.2,24.166666666666668,21.806584362139922,0.23500000000000001,0.236,0.24791769547325104,5.4,5.666666666666667,5.337448559670783,52.84000000000001,54.4,54.40205761316874,36.6,38.166666666666664,37.24279835390947,0.43179999999999996,0.455,0.4660576131687244,14.860000000000003,13.933333333333332,14.438271604938274,12.4,11.833333333333334,12.020576131687244,39.6,41.166666666666664,40.4567901234568,0.41059999999999997,0.4578333333333333,0.4421728395061729,16.2,19.166666666666668,18.160493827160497,0.4466,0.5388333333333334,0.527127572016461,1.8,1.6666666666666667,2.037037037037037
2019-11-30,"McGuirk Arena, Mt. Pleasant, Michigan",Youngstown State,Central Michigan,Home,40.7,11,5.3,2,122.2,59.5,22,0.492,65,0.415,27,0.2,13,0.615,8,4,200,100.0,35.1,13,20,72,4.2,3,0.415,27,0.37,10,47.3,35,0.506,14.5,12,38,0.447,17,0.5,4,40.279999999999994,40.18571428571429,44.01097393689987,10.2,11.285714285714286,12.769547325102883,10.8,8.914285714285715,10.42167352537723,3.8,3.2857142857142856,3.8216735253772294,93.96,92.62857142857142,89.81920438957476,77.3,78.62857142857142,75.6374485596708,22.6,24.0,23.064471879286703,0.4316,0.44,0.46598491083676274,63.2,65.85714285714286,64.50891632373114,0.38720000000000004,0.39642857142857146,0.422724279835391,24.6,26.428571428571427,27.66529492455419,0.33480000000000004,0.31357142857142856,0.36428120713305906,20.2,19.857142857142858,22.395061728395063,0.7074,0.6545714285714286,0.6827818930041154,14.4,13.142857142857142,15.482853223593965,2.6,2.0,2.4842249657064475,200.0,200.0,200.0,94.88,96.71428571428571,101.71193415637862,31.579999999999995,33.528571428571425,32.24101508916324,11.4,12.857142857142858,11.43072702331962,17.8,16.142857142857142,15.923182441700963,69.2,71.71428571428571,76.37174211248286,10.919999999999998,10.542857142857143,11.585459533607683,8.0,7.857142857142857,8.729766803840878,0.34819999999999995,0.35942857142857143,0.33411796982167363,22.0,23.714285714285715,21.537722908093283,0.2552,0.24314285714285713,0.2606117969821674,5.6,5.714285714285714,5.558299039780522,52.0,53.528571428571425,52.36803840877917,34.0,36.857142857142854,34.49519890260632,0.475,0.4735714285714286,0.5057050754458163,14.34,13.414285714285715,13.058847736625518,12.0,11.428571428571429,11.01371742112483,41.2,42.142857142857146,42.97119341563787,0.4556,0.4817142857142857,0.5031152263374487,19.0,20.714285714285715,22.106995884773667,0.4608,0.5434285714285714,0.5417517146776407,2.4,2.0,2.6913580246913584
2019-12-04,"Beeghly Center, Youngstown, Ohio",Robert Morris,Youngstown State,Home,53.6,15,4.9,2,90.9,81.1,30,0.525,61,0.459,28,0.377,23,0.739,17,4,200,105.2,28.1,9,15,81,7.8,6,0.311,19,0.421,8,56.5,39,0.563,14.4,12,42,0.476,20,0.556,5,40.6,40.25,42.90731595793325,10.6,11.25,12.179698216735256,10.72,8.4625,8.714449016918154,3.8,3.125,3.214449016918153,98.94000000000001,96.325,100.61280292638318,73.53999999999999,76.2375,70.25829903978054,23.4,23.75,22.70964791952447,0.44939999999999997,0.4465,0.47465660722450853,62.8,65.75,64.67261088248743,0.4016,0.39875,0.42014951989026067,25.4,26.5,27.443529949702796,0.34199999999999997,0.299375,0.30952080475537275,20.6,19.0,19.26337448559671,0.7032,0.649625,0.6601879286694103,14.6,12.5,12.98856881572931,3.0,2.25,2.9894833104709653,200.0,200.0,200.0,98.62,97.125,101.14128943758575,33.1,33.725,33.194010059442164,11.8,12.875,11.953818015546414,16.8,16.625,17.28212162780064,71.4,71.75,74.91449474165525,9.620000000000001,9.75,9.123639689071789,7.0,7.25,6.819844535893919,0.3386,0.366375,0.36107864654778243,21.2,24.125,23.358481938728858,0.27759999999999996,0.259,0.29707453132144496,6.0,6.25,7.038866026520348,52.260000000000005,52.75,50.67869227251945,35.2,36.625,34.66346593507088,0.4918,0.47762499999999997,0.5058033836305442,13.780000000000001,13.55,13.539231824417012,11.4,11.5,11.342478280749887,41.6,41.625,41.31412894375858,0.46159999999999995,0.477375,0.4844101508916324,19.4,20.25,20.404663923182447,0.49420000000000003,0.538,0.5278344764517605,3.0,2.25,3.1275720164609058
2019-12-07,"University Arena, Kalamazoo, Michigan",Youngstown State,Western Michigan,Home,30.4,7,5.7,2,108.2,72.7,24,0.52,51,0.451,23,0.373,19,0.579,11,5,200,104.9,26.7,8,21,64,4.9,3,0.412,21,0.333,7,50.8,32,0.533,13.2,9,30,0.533,16,0.5,5,44.66,41.733333333333334,46.471543971955505,12.0,11.666666666666666,13.119798811156839,8.92,8.066666666666666,7.44296601127877,3.2,3.0,2.8096326779454355,98.36,95.72222222222223,97.37520195092213,73.76,76.77777777777777,73.8721993598537,24.6,24.444444444444443,25.139765279682983,0.469,0.4552222222222222,0.4914377381496724,62.6,65.22222222222223,63.44840725499162,0.41600000000000004,0.40544444444444444,0.4330996799268405,26.2,26.666666666666668,27.629019966468533,0.369,0.30800000000000005,0.33201386983691517,22.2,19.444444444444443,20.508916323731142,0.6776,0.6595555555555556,0.6864586191129403,15.4,13.0,14.325712543819542,3.4,2.4444444444444446,3.3263222069806435,200.0,200.0,200.0,99.03999999999999,98.02222222222223,102.49419295839051,30.139999999999997,33.099999999999994,31.49600670629478,10.6,12.444444444444445,10.969212010364277,16.8,16.444444444444443,16.521414418533762,74.4,72.77777777777777,76.94299649443684,9.0,9.533333333333333,8.682426459381194,6.8,7.111111111111111,6.54656302392928,0.3298,0.3602222222222222,0.3443857643651883,20.6,23.555555555555557,21.90565462581924,0.3164,0.27699999999999997,0.3383830208809633,6.6,6.444444444444445,7.359244017680233,51.56,53.166666666666664,52.61912818167964,35.2,36.888888888888886,36.10897729004726,0.509,0.48711111111111116,0.5248689224203629,13.9,13.644444444444444,13.826154549611342,11.6,11.555555555555555,11.561652187166592,42.0,41.666666666666664,41.54275262917239,0.46179999999999993,0.4772222222222222,0.4816067672610883,19.6,20.22222222222222,20.2697759487883,0.5054000000000001,0.54,0.5372229843011738,3.6,2.5555555555555554,3.751714677640604
2019-12-15,"Beeghly Center, Youngstown, Ohio",Southeast Missouri State,Youngstown State,Home,53.8,14,10.0,4,73.5,78.0,32,0.559,51,0.51,26,0.294,15,0.533,8,5,200,95.6,25.0,7,16,65,8.8,6,0.353,18,0.278,5,56.5,39,0.559,21.7,16,33,0.636,21,0.545,6,44.38,40.6,41.11436264797034,12.0,11.2,11.07986587410456,8.180000000000001,7.83,6.861977340852514,3.0,2.9,2.5397551186302905,98.14000000000001,96.97,100.98346796728143,72.41999999999999,76.37,73.48146623990246,24.0,24.4,24.759843519788657,0.5024,0.4617,0.5009584920997816,59.2,63.8,59.29893816999442,0.44140000000000007,0.41000000000000003,0.43906645328456034,26.4,26.3,26.086013310979027,0.38180000000000003,0.3145,0.3456759132246101,21.8,19.4,20.00594421582076,0.6792,0.6515,0.6506390794086269,15.2,12.8,13.217141695879695,3.8,2.7,3.8842148046537623,200.0,200.0,200.0,104.02000000000001,98.71000000000001,103.29612863892702,28.96,32.46,29.89733780419652,9.4,12.0,9.979474673576185,17.2,16.9,18.01427627902251,75.2,71.9,72.62866432962457,8.120000000000001,9.07,7.421617639587463,6.0,6.7,5.364375349286187,0.3564,0.3654,0.36692384291012553,21.0,23.3,21.60376975054616,0.3408,0.2826,0.3365886805873089,7.2,6.5,7.239496011786822,51.08,52.92999999999999,52.01275212111976,33.4,36.4,34.73931819336484,0.5386,0.49169999999999997,0.5275792816135753,13.86,13.6,13.617436366407563,11.0,11.3,10.70776812477773,38.2,40.5,37.695168419448265,0.49499999999999994,0.48279999999999995,0.4987378448407256,19.2,19.8,18.8465172991922,0.5254000000000001,0.536,0.5248153228674493,4.2,2.8,4.167809785093736
2019-12-18,"Beeghly Center, Youngstown, Ohio",Binghamton,Youngstown State,Home,56.7,17,6.9,2,79.7,93.9,31,0.478,69,0.435,30,0.217,15,0.467,7,5,200,105.8,40.0,14,13,73,10.1,7,0.362,25,0.24,6,66.2,45,0.479,7.4,6,44,0.545,24,0.583,7,46.260000000000005,41.800000000000004,45.34290843198023,13.2,11.454545454545455,12.053243916069707,7.140000000000001,8.027272727272727,7.907984893901676,2.8,3.0,3.026503412420194,96.36000000000001,94.83636363636364,91.82231197818763,70.67999999999999,76.51818181818182,74.98764415993497,25.2,25.09090909090909,27.17322901319244,0.5322000000000001,0.47054545454545454,0.5203056613998545,59.4,62.63636363636363,56.532625446662955,0.47140000000000004,0.4190909090909091,0.4627109688563736,28.0,26.272727272727273,26.05734220731935,0.31260000000000004,0.31263636363636366,0.32845060881640675,18.4,19.0,18.337296143880508,0.6296,0.6407272727272727,0.6114260529390846,11.8,12.363636363636363,11.478094463919797,4.2,2.909090909090909,4.256143203102509,200.0,200.0,200.0,105.3,98.42727272727274,100.73075242595135,30.080000000000002,31.781818181818185,28.26489186946435,9.6,11.545454545454545,8.98631644905079,17.6,16.818181818181817,17.342850852681675,75.0,71.27272727272727,70.08577621974972,8.26,9.045454545454545,7.881078426391643,6.0,6.636363636363637,5.576250232857459,0.359,0.36427272727272725,0.3622825619400837,21.2,22.818181818181817,20.402513167030776,0.3376,0.2821818181818182,0.3170591203915393,7.2,6.363636363636363,6.492997341191215,51.879999999999995,53.25454545454545,53.508501414079845,34.8,36.63636363636363,36.15954546224323,0.5492,0.4978181818181818,0.5380528544090502,14.819999999999999,14.336363636363636,16.31162424427171,11.6,11.727272727272727,12.471845416518487,38.2,39.81818181818182,36.13011227963218,0.5433999999999999,0.4967272727272727,0.5444918965604838,20.8,19.90909090909091,19.564344866128135,0.5344,0.5368181818181819,0.5315435485782996,4.8,3.090909090909091,4.778539856729157
2019-12-21,"Covelli Centre, Youngstown, Ohio",West Virginia,Youngstown State,Away,50.0,10,2.1,1,105.6,63.9,23,0.427,55,0.364,20,0.436,24,0.708,17,6,200,90.1,35.1,13,22,64,11.3,8,0.436,24,0.292,7,49.3,36,0.482,19.6,16,31,0.419,13,0.538,7,47.04,43.041666666666664,49.128605621320155,12.8,11.916666666666666,13.702162610713138,6.5600000000000005,7.933333333333334,7.571989929267785,2.4,2.9166666666666665,2.6843356082801293,94.9,93.575,87.78154131879175,77.04,77.96666666666667,81.29176277328999,27.8,25.583333333333332,28.448819342128296,0.5147999999999999,0.4711666666666667,0.5062037742665697,59.4,63.166666666666664,60.68841696444198,0.454,0.42041666666666666,0.45347397923758237,26.8,26.583333333333332,27.371561471546237,0.29219999999999996,0.3046666666666667,0.29130040587760453,17.0,18.666666666666668,17.22486409592034,0.5866,0.62625,0.5632840352927231,10.2,11.916666666666666,9.985396309279865,4.6,3.0833333333333335,4.504095468735006,200.0,200.0,200.0,102.3,99.04166666666667,102.42050161730091,30.98,32.46666666666667,32.1765945796429,10.2,11.75,10.657544299367192,17.0,16.5,15.895233901787783,71.0,71.41666666666667,71.05718414649982,7.159999999999999,9.133333333333333,8.620718950927763,5.0,6.666666666666667,6.050833488571639,0.3706,0.3640833333333333,0.3621883746267225,22.0,23.0,21.935008778020517,0.3284,0.2786666666666667,0.2913727469276929,7.2,6.333333333333333,6.328664894127477,55.459999999999994,54.333333333333336,57.7390009427199,38.0,37.333333333333336,39.10636364149549,0.528,0.49625,0.5183685696060335,14.24,13.758333333333333,13.341082829514473,11.0,11.25,10.314563611012327,37.4,40.166666666666664,38.75340818642145,0.5273999999999999,0.50075,0.5446612643736559,19.6,20.25,21.04289657741876,0.5368,0.5406666666666666,0.5486956990521997,5.4,3.4166666666666665,5.5190265711527715
2019-12-28,"Indiana Farmers Coliseum, Indianapolis, Indiana",Youngstown State,IUPUI,Away,48.4,15,9.1,3,100.0,62.2,23,0.602,59,0.525,31,0.237,14,0.857,12,6,200,113.7,38.5,10,25,83,12.3,9,0.373,22,0.409,9,52.4,33,0.632,22.6,19,37,0.595,22,0.571,8,48.9,43.57692307692308,49.41907041421344,12.6,11.76923076923077,12.468108407142093,5.92,7.484615384615385,5.747993286178524,2.2,2.769230769230769,2.1228904055200863,91.58000000000001,94.5,93.72102754586118,77.92,76.88461538461539,75.49450851552666,28.0,25.384615384615383,26.63254622808553,0.5018,0.4677692307692307,0.47980251617771313,57.4,62.53846153846154,58.792277976294656,0.4438,0.41607692307692307,0.4236493194917216,25.4,26.076923076923077,24.91437431436416,0.33940000000000003,0.31476923076923075,0.33953360391840304,19.2,19.076923076923077,19.48324273061356,0.6052,0.6325384615384616,0.6115226901951487,12.0,12.307692307692308,12.323597539519909,5.0,3.3076923076923075,5.002730312490004,200.0,200.0,200.0,100.32000000000001,98.35384615384615,98.31366774486729,30.98,32.669230769230765,33.15106305309527,10.2,11.846153846153847,11.438362866244795,17.4,16.923076923076923,17.93015593452519,69.4,70.84615384615384,68.70478943099988,8.580000000000002,9.3,9.513812633951844,6.0,6.769230769230769,6.70055565904776,0.37479999999999997,0.36961538461538457,0.38679224975114834,21.4,23.076923076923077,22.623339185347014,0.3128,0.2796923076923077,0.2915818312851286,6.6,6.384615384615385,6.552443262751652,55.86,53.94615384615384,54.92600062847993,38.2,37.23076923076923,38.07090909433033,0.5232,0.49515384615384617,0.506245713070689,15.260000000000002,14.207692307692307,15.42738855300965,11.8,11.615384615384615,12.209709074008218,36.0,39.46153846153846,36.168938790947635,0.5218,0.49446153846153845,0.502774176249104,18.8,19.692307692307693,18.36193105161251,0.5444,0.5404615384615384,0.5451304660347999,6.0,3.6923076923076925,6.012684380768515
2019-12-30,"UIC Pavilion, Chicago, Illinois",Youngstown State,UIC,Away,29.2,7,4.5,2,91.4,66.7,22,0.464,56,0.429,24,0.464,26,0.692,18,6,200,100.0,35.7,10,16,70,15.7,11,0.321,18,0.222,4,52.5,32,0.512,14.0,11,38,0.526,20,0.6,9,47.86,43.92142857142857,49.079380276142295,12.6,12.0,13.312072271428063,6.76,7.6000000000000005,6.865328857452349,2.4,2.7857142857142856,2.4152602703467245,93.4,94.89285714285714,95.81401836390745,74.14,75.83571428571429,71.06300567701777,26.6,25.214285714285715,25.421697485390354,0.5172,0.47735714285714287,0.5205350107851421,57.0,62.285714285714285,58.861518650863104,0.457,0.4238571428571429,0.45743287966114776,26.0,26.428571428571427,26.942916209576108,0.3114,0.3092142857142857,0.30535573594560206,17.4,18.714285714285715,17.655495153742375,0.6288,0.6485714285714286,0.6933484601300992,11.0,12.285714285714286,12.215731693013273,5.4,3.5,5.335153541660003,200.0,200.0,200.0,102.02000000000001,99.45,103.44244516324486,33.06,33.08571428571428,34.93404203539685,10.4,11.714285714285714,10.95890857749653,19.4,17.5,20.286770623016793,69.8,71.71428571428571,73.4698596206666,9.48,9.514285714285714,10.442541755967895,6.6,6.928571428571429,7.467037106031841,0.3872,0.36985714285714283,0.3821948331674323,22.0,23.0,22.41555945689801,0.3104,0.2889285714285714,0.3307212208567524,6.8,6.571428571428571,7.3682955085011015,55.04,53.83571428571429,54.08400041898662,37.0,36.92857142857143,36.38060606288689,0.537,0.5049285714285714,0.5481638087137928,16.9,14.807142857142859,17.818259035339768,13.2,12.142857142857142,14.473139382672148,35.0,39.285714285714285,36.445959193965095,0.5456000000000001,0.5016428571428572,0.5335161174994028,19.2,19.857142857142858,19.574620701075006,0.5474,0.5426428571428571,0.5537536440231999,6.6,4.0,6.675122920512344
